rank,stock_id,name,industry,industry_canon,sector_l1,sector_l2,industry_ambiguous,gics_sector,gics_zh,gics_mixed,yf_sector,yf_super,icb_industry,yf_ticker,is_cyclical,cyclical_sector,date,revenue,revenue_prev_year,cum_revenue,cum_revenue_prev_year,yoy,mom,cum_yoy,cum_yoy_slope,cum_yoy_declining,consec_pos_yoy,mean_yoy_6m,std_yoy_6m,yoy_accelerating,seasonality,cagr_2y,n_months,pattern,score,tier
27,1008,模擬1008,數位雲端,數位雲端,電子,數位雲端,False,Information Technology,資訊科技,False,Technology,Sensitive,Technology,1008.TW,False,,2026-05-01,94695749,73441080.0,518809076,397221594.0,28.94,-11.29,30.61,0.47828571428571376,False,36,30.313333333333333,3.633444952413923,True,淡季正常,27.213710277185733,36,穩定成長型,94.1,優選
28,2120,模擬2120,金融保險業,金融保險,金融,金融保險,False,Financials,金融,False,Financial Services,Cyclical,Financials,2120.TWO,False,,2026-05-01,79592302,60094884.0,401053168,307858339.0,32.44,1.7,30.27,0.9145714285714283,False,36,29.68166666666666,2.9461919866536554,True,淡季正常,32.91373517459888,36,穩定成長型,94.1,優選
29,2566,模擬2566,資訊服務業,資訊服務業,電子,資訊服務,False,Information Technology,資訊科技,False,Technology,Sensitive,Technology,2566.TW,False,,2026-05-01,23250769,16912383.0,120615972,91426464.0,37.48,-1.06,31.93,1.1205714285714286,False,36,32.05166666666666,3.751539313698074,True,淡季正常,28.01801701475948,36,穩定成長型,94.1,優選
30,2214,模擬2214,光電業,光電業,電子,光電,False,Information Technology,資訊科技,False,Technology,Sensitive,Technology,2214.TW,False,,2026-05-01,41734040,29912972.0,205940838,161817433.0,39.52,11.2,27.27,0.3874285714285714,False,36,27.438333333333336,6.609693428762202,True,淡季不淡(強訊),27.521281487294715,36,穩定成長型,94.1,優選
31,1602,模擬1602,貿易百貨業,貿易百貨,非電子,民生消費,False,Consumer Discretionary,非必需消費,True,Consumer Cyclical,Cyclical,Consumer Discretionary,1602.TW,False,,2026-05-01,33716940,24846677.0,169591531,128993272.0,35.7,4.59,31.47,0.791142857142857,False,36,30.37166666666667,3.8874902643679468,True,淡季正常,33.144855819568456,36,穩定成長型,94.0,優選
32,2886,兆豐金,金融保險,金融保險,金融,金融保險,False,Financials,金融,False,Financial Services,Cyclical,Financials,2886.TW,False,,2026-05-01,114923598,81985609.0,579427871,442269727.0,40.18,0.1,31.01,0.8942857142857148,False,36,31.28,4.235138722639437,True,淡季正常,30.793884705597364,36,穩定成長型,93.9,優選
33,1600,模擬1600,食品工業,食品工業,非電子,民生消費,False,Consumer Staples,必需消費,False,Consumer Defensive,Defensive,Consumer Staples,1600.TW,False,,2026-05-01,77680264,58382941.0,381901581,300150051.0,33.05,11.62,27.24,0.05599999999999962,False,36,26.23,5.080508504733229,True,淡季不淡(強訊),27.77401416273124,36,穩定成長型,93.9,優選
34,1439,模擬1439,電腦及週邊設備業,電腦及週邊設備業,電子,電腦及週邊,False,Information Technology,資訊科技,False,Technology,Sensitive,Technology,1439.TW,False,,2026-05-01,100933992,75082723.0,515890740,392746051.0,34.43,-0.53,31.35,0.9339999999999999,False,36,30.87666666666667,5.349637578586256,True,淡季正常,29.475200863050134,36,穩定成長型,93.7,優選
35,2554,模擬2554,文化創意業,文化創意業,非電子,文化創意,False,Communication Services,通訊服務,False,Communication Services,Sensitive,Telecommunications,2554.TW,False,,2026-05-01,102146748,72855785.0,519142824,387309358.0,40.2,-0.01,34.04,1.6837142857142857,False,36,33.535000000000004,5.119429492954594,True,淡季正常,27.52342421237215,36,穩定成長型,93.7,優選
36,2212,模擬2212,半導體業,半導體業,電子,半導體,False,Information Technology,資訊科技,False,Technology,Sensitive,Technology,2212.TW,False,,2026-05-01,127156041,98773219.0,653034440,503925225.0,28.74,-1.59,29.59,0.25057142857142845,False,36,29.850000000000005,3.7274209135361507,True,淡季正常,32.94459258112532,36,穩定成長型,93.5,優選
37,1076,模擬1076,金融保險業,金融保險,金融,金融保險,False,Financials,金融,False,Financial Services,Cyclical,Financials,1076.TW,False,,2026-05-01,90494927,65977143.0,457572966,350603365.0,37.16,-2.82,30.51,0.45514285714285735,False,36,29.826666666666668,5.6127879782590115,True,淡季正常,30.994765362159683,36,穩定成長型,93.5,優選
38,1678,模擬1678,光電業,光電業,電子,光電,False,Information Technology,資訊科技,False,Technology,Sensitive,Technology,1678.TW,False,,2026-05-01,109470693,83353242.0,557569602,437404007.0,31.33,3.82,27.47,0.821142857142857,False,36,25.13,6.219383677932511,True,淡季不淡(強訊),26.965034231872732,36,穩定成長型,93.4,優選
39,2382,廣達,電腦及週邊設備業,電腦及週邊設備業,電子,電腦及週邊,False,Information Technology,資訊科技,False,Technology,Sensitive,Technology,2382.TW,False,,2026-05-01,139116588,105221992.0,701663531,534407659.0,32.21,1.92,31.3,2.0185714285714282,False,36,30.31833333333333,6.645468171786109,True,淡季正常,29.76084967571937,36,穩定成長型,93.3,優選
40,1425,模擬1425,觀光事業,觀光餐旅,非電子,民生消費,False,Consumer Discretionary,非必需消費,False,Consumer Cyclical,Cyclical,Consumer Discretionary,1425.TW,False,,2026-05-01,68458019,52998494.0,363052872,279645123.0,29.17,-6.8,29.83,0.9999999999999998,False,36,29.49333333333333,5.54631609469044,True,淡季正常,30.480604151194868,36,穩定成長型,93.2,優選
41,1556,模擬1556,半導體業,半導體業,電子,半導體,False,Information Technology,資訊科技,False,Technology,Sensitive,Technology,1556.TW,False,,2026-05-01,172688011,130801185.0,852314201,658697031.0,32.02,0.93,29.39,0.1971428571428571,False,36,30.700000000000003,4.853084929540522,True,淡季正常,34.33473680080452,36,穩定成長型,93.1,優選
42,2178,模擬2178,文化創意業,文化創意業,非電子,文化創意,False,Communication Services,通訊服務,False,Communication Services,Sensitive,Telecommunications,2178.TW,False,,2026-05-01,63117285,48394217.0,330643053,256531089.0,30.42,-3.13,28.89,0.3651428571428574,False,36,29.034999999999997,0.9861330201009063,True,淡季正常,27.213471517620768,36,穩定成長型,93.0,優選
43,2200,模擬2200,居家生活,居家生活,非電子,民生消費,False,Consumer Discretionary,非必需消費,False,Consumer Cyclical,Cyclical,Consumer Discretionary,2200.TW,False,,2026-05-01,25208530,18942733.0,123711466,98183629.0,33.08,8.23,26.0,0.451142857142857,False,36,27.5,5.390429791151475,True,淡季不淡(強訊),29.43564134483765,36,穩定成長型,92.9,優選
44,2481,強茂,汽車工業,汽車工業,非電子,機電工業,False,Consumer Discretionary,非必需消費,False,Consumer Cyclical,Cyclical,Consumer Discretionary,2481.TW,False,,2026-05-01,134003922,106676555.0,692118034,546541988.0,25.62,6.1,26.64,0.10828571428571426,False,36,25.653333333333332,5.993667955063539,True,淡季不淡(強訊),26.788870767078876,36,穩定成長型,92.7,優選
45,1002,模擬1002,光電業,光電業,電子,光電,False,Information Technology,資訊科技,False,Technology,Sensitive,Technology,1002.TW,False,,2026-05-01,143613939,108754295.0,719191980,557113066.0,32.05,5.78,29.09,0.3211428571428571,False,36,29.193333333333328,4.222146636750341,True,淡季正常,32.14329889336695,36,穩定成長型,92.5,優選
46,1437,模擬1437,其他業,其他,非電子,其他,False,,,True,,,,1437.TW,False,,2026-05-01,99250533,73230161.0,505689024,391056971.0,35.53,-0.24,29.31,0.46314285714285663,False,36,28.583333333333332,4.651622178217926,True,淡季正常,26.768517790566392,36,穩定成長型,92.4,優選
47,2190,模擬2190,資訊服務業,資訊服務業,電子,資訊服務,False,Information Technology,資訊科技,False,Technology,Sensitive,Technology,2190.TW,False,,2026-05-01,77149829,57534080.0,372937800,294911043.0,34.09,7.01,26.46,0.5877142857142856,False,36,24.918333333333333,5.193314345279795,True,淡季不淡(強訊),30.548013135389198,36,穩定成長型,92.4,優選
48,1620,模擬1620,半導體業,半導體業,電子,半導體,False,Information Technology,資訊科技,False,Technology,Sensitive,Technology,1620.TWO,False,,2026-05-01,11636328,8336391.0,56832131,44908344.0,39.58,8.91,26.55,0.031142857142856833,False,36,25.645,6.933896812038667,True,淡季不淡(強訊),29.590799583227057,36,穩定成長型,92.4,優選
49,2131,模擬2131,通信網路業,通信網路業,電子,通信網路,False,Information Technology,資訊科技,True,Technology,Sensitive,Technology,2131.TW,False,,2026-05-01,30756995,14361241.0,144301976,71277979.0,114.17,4.72,102.45,21.80314285714286,False,6,99.78833333333334,10.213819750166385,True,淡季正常,-1.3554523908907878,36,穩定成長型,92.4,優選
50,1760,模擬1760,綠能環保,綠能環保,非電子,綠能環保,False,Industrials,工業,True,Industrials,Sensitive,Industrials,1760.TW,False,,2026-05-01,246279060,153469370.0,1096294913,734403986.0,60.47,6.9,49.28,3.765714285714286,False,36,45.815,10.57855968456954,True,旺季正常,44.88805936780062,36,穩定成長型,92.4,優選
51,1800,模擬1800,電子零組件業,電子零組件業,電子,電子零組件,False,Information Technology,資訊科技,False,Technology,Sensitive,Technology,1800.TW,False,,2026-05-01,40282919,31259638.0,203368819,156888268.0,28.87,-3.01,29.63,1.4145714285714284,False,36,28.186666666666667,5.619898180176892,True,淡季正常,33.43285098573754,36,穩定成長型,92.4,優選
52,1843,模擬1843,建材營造業,建材營造,非電子,建材營造,False,Real Estate,不動產,True,Real Estate,Cyclical,Real Estate,1843.TW,False,,2026-05-01,19356083,9064321.0,90745416,45559680.0,113.54,1.08,99.18,20.780857142857144,False,6,96.08,11.10916288475419,True,淡季正常,-1.9533744421214916,36,穩定成長型,92.2,優選
53,9003,真突破丙,電機機械,電機機械,非電子,機電工業,False,Industrials,工業,False,Industrials,Sensitive,Industrials,9003.TW,False,,2026-05-01,175174164,106829599.0,775669475,519273116.0,63.98,5.08,49.38,3.617142857142858,False,36,46.318333333333335,11.668469503561964,True,淡季正常,46.514674965447014,36,穩定成長型,92.1,優選
54,1384,模擬1384,光電業,光電業,電子,光電,False,Information Technology,資訊科技,False,Technology,Sensitive,Technology,1384.TWO,False,,2026-05-01,37509903,23313598.0,168900140,112075747.0,60.89,2.91,50.7,4.030571428571429,False,36,48.14333333333334,11.753017579422835,True,淡季正常,46.098677366796295,36,穩定成長型,92.1,優選
55,1011,模擬1011,汽車工業,汽車工業,非電子,機電工業,False,Consumer Discretionary,非必需消費,False,Consumer Cyclical,Cyclical,Consumer Discretionary,1011.TW,False,,2026-05-01,146883333,88291877.0,654311985,433628553.0,66.36,5.41,50.89,3.9277142857142864,False,36,47.828333333333326,11.780617438072685,True,淡季正常,46.915262951096956,36,穩定成長型,92.1,優選
56,2184,模擬2184,半導體業,半導體業,電子,半導體,False,Information Technology,資訊科技,False,Technology,Sensitive,Technology,2184.TW,False,,2026-05-01,59575543,27509960.0,282341250,135516256.0,116.56,1.01,108.34,22.830571428571428,False,6,104.27500000000002,11.867407397293366,True,旺季正常,-2.5016010684244416,36,穩定成長型,92.0,優選
57,1682,模擬1682,資訊服務業,資訊服務業,電子,資訊服務,False,Information Technology,資訊科技,False,Technology,Sensitive,Technology,1682.TW,False,,2026-05-01,176479574,106877363.0,775218414,514542899.0,65.12,7.49,50.66,4.103142857142856,False,36,47.535,11.989524246885974,True,淡季正常,45.99543451592054,36,穩定成長型,92.0,優選
58,3661,世芯-KY,半導體業,半導體業,電子,半導體,False,Information Technology,資訊科技,False,Technology,Sensitive,Technology,3661.TW,False,,2026-05-01,31925969,19158695.0,142303414,93520445.0,66.64,7.07,52.16,4.304571428571427,False,36,48.51833333333334,12.170227903462706,True,淡季正常,45.84032319185025,36,穩定成長型,92.0,優選
59,2222,模擬2222,電器電纜,電器電纜,非電子,機電工業,False,Industrials,工業,False,Industrials,Sensitive,Industrials,2222.TWO,False,,2026-05-01,21900206,16867924.0,113002192,87930664.0,29.83,-2.28,28.51,0.4231428571428573,False,36,29.05666666666666,3.8387613743092817,True,淡季正常,31.626145113494132,36,穩定成長型,91.9,優選
60,1608,模擬1608,生技醫療業,生技醫療業,非電子,生技醫療,False,Health Care,醫療保健,False,Healthcare,Defensive,Health Care,1608.TWO,False,,2026-05-01,44601279,27027393.0,198979088,132429867.0,65.02,5.65,50.25,3.931428571428571,False,36,46.68833333333333,12.530631025167443,True,淡季正常,45.63044686301969,36,穩定成長型,91.9,優選
61,1502,模擬1502,數位雲端,數位雲端,電子,數位雲端,False,Information Technology,資訊科技,False,Technology,Sensitive,Technology,1502.TW,False,,2026-05-01,24701009,11161156.0,116474514,56514660.0,121.31,0.59,106.1,22.517142857142858,False,6,102.31833333333333,12.986479400600546,True,淡季正常,-2.0644354202274506,36,穩定成長型,91.8,優選
62,2373,模擬2373,電腦及週邊設備業,電腦及週邊設備業,電子,電腦及週邊,False,Information Technology,資訊科技,False,Technology,Sensitive,Technology,2373.TW,False,,2026-05-01,52763468,32428343.0,235728893,155760656.0,62.71,5.2,51.34,3.9788571428571444,False,36,46.846666666666664,12.920635519285504,True,旺季正常,45.65853949642575,36,穩定成長型,91.8,優選
63,1905,模擬1905,農業科技業,農業科技業,非電子,農業科技,False,Consumer Staples,必需消費,False,Consumer Defensive,Defensive,Consumer Staples,1905.TW,False,,2026-05-01,166338996,100110990.0,728583841,484863876.0,66.15,7.59,50.27,4.040857142857144,False,36,46.88166666666667,12.724986465829957,True,旺季正常,45.73878575800971,36,穩定成長型,91.8,優選
64,2455,模擬2455,居家生活,居家生活,非電子,民生消費,False,Consumer Discretionary,非必需消費,False,Consumer Cyclical,Cyclical,Consumer Discretionary,2455.TW,False,,2026-05-01,171113306,100601939.0,731577328,483787937.0,70.09,11.82,51.22,4.283142857142857,False,36,47.92833333333334,13.0032168028616,True,旺季正常,46.89164844435476,36,穩定成長型,91.7,優選
65,1231,模擬1231,半導體業,半導體業,電子,半導體,False,Information Technology,資訊科技,False,Technology,Sensitive,Technology,1231.TW,False,,2026-05-01,79005864,47645858.0,349944816,231962423.0,65.82,5.93,50.86,4.013142857142857,False,36,47.245000000000005,13.104785067549434,True,淡季正常,46.54314482789539,36,穩定成長型,91.7,優選
66,2182,模擬2182,綜合,綜合,非電子,其他,False,Industrials,工業,False,Industrials,Sensitive,Industrials,2182.TW,False,,2026-05-01,9586882,7349583.0,50354376,39058311.0,30.44,-5.73,28.92,0.3922857142857146,False,36,27.978333333333335,4.828369002284542,True,淡季正常,25.192954192638183,36,穩定成長型,91.7,優選
67,1788,模擬1788,綠能環保,綠能環保,非電子,綠能環保,False,Industrials,工業,True,Industrials,Sensitive,Industrials,1788.TW,False,,2026-05-01,77600828,35611853.0,361110108,173886260.0,117.91,3.31,107.67,22.578285714285716,False,6,103.38166666666666,13.036319031417145,True,旺季正常,-0.4680465766446873,36,穩定成長型,91.7,優選
68,2140,模擬2140,食品工業,食品工業,非電子,民生消費,False,Consumer Staples,必需消費,False,Consumer Defensive,Defensive,Consumer Staples,2140.TW,False,,2026-05-01,169409038,100755396.0,757187108,499119830.0,68.14,4.3,51.7,3.9425714285714286,False,36,47.88333333333333,13.36479039200474,True,淡季正常,47.44665189123416,36,穩定成長型,91.7,優選
69,9102,低基期假象乙,紡織纖維,紡織纖維,非電子,民生消費,False,Consumer Discretionary,非必需消費,True,Consumer Cyclical,Cyclical,Consumer Discretionary,9102.TW,False,,2026-05-01,75478476,34383203.0,343383299,165637661.0,119.52,6.71,107.31,22.093999999999998,False,6,103.23166666666668,13.034156943286444,True,旺季正常,0.8440302431905522,36,穩定成長型,91.7,優選
70,1060,模擬1060,電子零組件業,電子零組件業,電子,電子零組件,False,Information Technology,資訊科技,False,Technology,Sensitive,Technology,1060.TWO,False,,2026-05-01,61324240,28784320.0,289819952,142478370.0,113.05,-0.54,103.41,21.212285714285716,False,6,98.26666666666667,13.349929671059027,True,淡季正常,-2.278034518684513,36,穩定成長型,91.7,優選
71,1519,華城,電機機械,電機機械,非電子,機電工業,False,Industrials,工業,False,Industrials,Sensitive,Industrials,1519.TW,False,,2026-05-01,188992371,117802836.0,854237055,565265879.0,60.43,3.88,51.12,4.131999999999999,False,36,46.251666666666665,13.582227869126953,True,旺季正常,45.38566499981946,36,穩定成長型,91.6,優選
72,2542,模擬2542,電器電纜,電器電纜,非電子,機電工業,False,Industrials,工業,False,Industrials,Sensitive,Industrials,2542.TW,False,,2026-05-01,45751508,21007337.0,211340589,105069159.0,117.79,5.07,101.14,21.01285714285714,False,6,96.55166666666666,14.006024199925148,True,淡季正常,-0.06771035412486137,36,穩定成長型,91.5,優選
73,1120,模擬1120,電腦及週邊設備業,電腦及週邊設備業,電子,電腦及週邊,False,Information Technology,資訊科技,False,Technology,Sensitive,Technology,1120.TW,False,,2026-05-01,53779249,24416378.0,247269806,121179021.0,120.26,2.06,104.05,22.69685714285714,False,6,102.56333333333333,14.386450415427552,True,淡季正常,0.015308674417724433,36,穩定成長型,91.4,優選
74,1562,模擬1562,電子通路業,電子通路業,電子,電子通路,False,Information Technology,資訊科技,False,Technology,Sensitive,Technology,1562.TWO,False,,2026-05-01,21459483,9928268.0,98924338,49207965.0,116.15,4.12,101.03,22.070571428571434,False,6,97.875,14.512028057212865,True,旺季正常,-0.5999196783395222,36,穩定成長型,91.4,優選
75,2136,模擬2136,數位雲端,數位雲端,電子,數位雲端,False,Information Technology,資訊科技,False,Technology,Sensitive,Technology,2136.TW,False,,2026-05-01,45411542,34884513.0,230869523,183795977.0,30.18,4.47,25.61,1.0451428571428572,False,36,24.28333333333333,4.338858016677762,True,淡季不淡(強訊),22.896397327890682,36,穩定成長型,91.3,優選
76,2386,模擬2386,電器電纜,電器電纜,非電子,機電工業,False,Industrials,工業,False,Industrials,Sensitive,Industrials,2386.TW,False,,2026-05-01,42243902,32388811.0,216054808,167984301.0,30.43,1.23,28.62,0.9637142857142856,False,36,27.805000000000003,4.4935092077350856,True,旺季正常,25.61291121282059,36,穩定成長型,91.3,優選
77,2358,模擬2358,生技醫療業,生技醫療業,非電子,生技醫療,False,Health Care,醫療保健,False,Healthcare,Defensive,Health Care,2358.TW,False,,2026-05-01,79278804,35143410.0,365352676,176796273.0,125.59,1.97,106.65,21.936857142857146,False,6,101.80833333333334,14.970632826377855,True,淡季正常,-1.0323443416513034,36,穩定成長型,91.3,優選
78,1032,模擬1032,電子零組件業,電子零組件業,電子,電子零組件,False,Information Technology,資訊科技,False,Technology,Sensitive,Technology,1032.TW,False,,2026-05-01,16584055,12105214.0,82446667,65505003.0,37.0,5.36,25.86,0.14828571428571433,False,36,25.035,6.8766822184345076,True,淡季不淡(強訊),31.088252616047107,36,穩定成長型,91.3,優選
