"ToolID","ToolName","FileName","Path","ToolType","Status","Risk","EntryMode"
"VIA-SUP-0021","NEXUSCORE_PROGRESS","NEXUSCORE_PROGRESS.html","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_ai_onboarding\RUN_20260610_161210\NEXUSCORE_PROGRESS.html","html","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0022","NEXUSCORE_TOOL_MATRIX","NEXUSCORE_TOOL_MATRIX.csv","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_ai_onboarding\RUN_20260610_161210\NEXUSCORE_TOOL_MATRIX.csv","csv","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0023","NEXUSCORE_TOOL_MATRIX","NEXUSCORE_TOOL_MATRIX.html","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_ai_onboarding\RUN_20260610_161210\NEXUSCORE_TOOL_MATRIX.html","html","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0024","NEXUSCORE_TOOL_MATRIX","NEXUSCORE_TOOL_MATRIX.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_ai_onboarding\RUN_20260610_161210\NEXUSCORE_TOOL_MATRIX.json","json","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0025","NEXUSCORE_ENVMANAGER_PLAN","NEXUSCORE_ENVMANAGER_PLAN.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_full_registry\RUN_20260610_163856\_supportive_env\NEXUSCORE_ENVMANAGER_PLAN.json","json","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0026","NEXUSCORE_HARDGATE_POLICY","NEXUSCORE_HARDGATE_POLICY.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_full_registry\RUN_20260610_163856\_supportive_hardgate\NEXUSCORE_HARDGATE_POLICY.json","json","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0027","NEXUSCORE_CELERITAS_ACCELERATION_PLAN","NEXUSCORE_CELERITAS_ACCELERATION_PLAN.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_full_registry\RUN_20260610_163856\_supportive_install_plans\NEXUSCORE_CELERITAS_ACCELERATION_PLAN.json","json","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0028","NEXUSCORE_FULL_SUPPORTIVE_REGISTRY","NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.csv","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_full_registry\RUN_20260610_163856\_supportive_registry\NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.csv","csv","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0029","NEXUSCORE_FULL_SUPPORTIVE_REGISTRY","NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.html","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_full_registry\RUN_20260610_163856\_supportive_registry\NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.html","html","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0030","NEXUSCORE_FULL_SUPPORTIVE_REGISTRY","NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_full_registry\RUN_20260610_163856\_supportive_registry\NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json","json","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0031","NEXUSCORE_FINAL_CAPABILITY_MATRIX","NEXUSCORE_FINAL_CAPABILITY_MATRIX.html","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_full_registry\RUN_20260610_163856\_supportive_reports\NEXUSCORE_FINAL_CAPABILITY_MATRIX.html","html","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0032","Invoke-VeritasNexusCore.ps1","Invoke-VeritasNexusCore.ps1.backup_20260610_201023","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_master_orchestrator\RUN_20260610_201023\_backup\Invoke-VeritasNexusCore.ps1.backup_20260610_201023","other","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0033","NEXUSCORE_MASTER_ORCHESTRATOR","NEXUSCORE_MASTER_ORCHESTRATOR.log","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_master_orchestrator\RUN_20260610_201023\_logs\NEXUSCORE_MASTER_ORCHESTRATOR.log","other","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0034","NEXUSCORE_MASTER_PROGRESS","NEXUSCORE_MASTER_PROGRESS.html","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_master_orchestrator\RUN_20260610_201023\_reports\NEXUSCORE_MASTER_PROGRESS.html","html","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0035","NEXUSCORE_CELERITAS_ACCELERATION_PLAN","NEXUSCORE_CELERITAS_ACCELERATION_PLAN.html","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_master_orchestrator\RUN_20260610_201023\_supportive_acceleration\NEXUSCORE_CELERITAS_ACCELERATION_PLAN.html","html","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0036","NEXUSCORE_CELERITAS_ACCELERATION_PLAN","NEXUSCORE_CELERITAS_ACCELERATION_PLAN.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_master_orchestrator\RUN_20260610_201023\_supportive_acceleration\NEXUSCORE_CELERITAS_ACCELERATION_PLAN.json","json","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0037","NEXUSCORE_ENVMANAGER_PLAN","NEXUSCORE_ENVMANAGER_PLAN.html","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_master_orchestrator\RUN_20260610_201023\_supportive_env\NEXUSCORE_ENVMANAGER_PLAN.html","html","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0038","NEXUSCORE_ENVMANAGER_PLAN","NEXUSCORE_ENVMANAGER_PLAN.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_master_orchestrator\RUN_20260610_201023\_supportive_env\NEXUSCORE_ENVMANAGER_PLAN.json","json","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0039","NEXUSCORE_HARDGATE_POLICY","NEXUSCORE_HARDGATE_POLICY.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_master_orchestrator\RUN_20260610_201023\_supportive_hardgate\NEXUSCORE_HARDGATE_POLICY.json","json","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0040","NEXUSCORE_FULL_SUPPORTIVE_REGISTRY","NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.csv","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_master_orchestrator\RUN_20260610_201023\_supportive_registry\NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.csv","csv","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0041","NEXUSCORE_FULL_SUPPORTIVE_REGISTRY","NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.html","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_master_orchestrator\RUN_20260610_201023\_supportive_registry\NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.html","html","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0042","NEXUSCORE_FULL_SUPPORTIVE_REGISTRY","NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_master_orchestrator\RUN_20260610_201023\_supportive_registry\NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json","json","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0043","Invoke-VeritasNexusCore.snapshot","Invoke-VeritasNexusCore.snapshot.txt","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_supportive_nexuscore_onboarding\RUN_20260610_153602\Invoke-VeritasNexusCore.snapshot.txt","other","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0044","Read_Me_VeritasNexusCore.snapshot","Read_Me_VeritasNexusCore.snapshot.txt","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_supportive_nexuscore_onboarding\RUN_20260610_153602\Read_Me_VeritasNexusCore.snapshot.txt","other","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0045","supportive_modules_onboarding_report","supportive_modules_onboarding_report.html","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_supportive_nexuscore_onboarding\RUN_20260610_153602\supportive_modules_onboarding_report.html","html","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0046","supportive_modules_registry","supportive_modules_registry.csv","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_supportive_nexuscore_onboarding\RUN_20260610_153602\supportive_modules_registry.csv","csv","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0047","supportive_modules_registry","supportive_modules_registry.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_supportive_nexuscore_onboarding\RUN_20260610_153602\supportive_modules_registry.json","json","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0048","Invoke-VeritasNexusCore.snapshot","Invoke-VeritasNexusCore.snapshot.txt","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_supportive_nexuscore_onboarding\RUN_20260610_154007\Invoke-VeritasNexusCore.snapshot.txt","other","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0049","Read_Me_VeritasNexusCore.snapshot","Read_Me_VeritasNexusCore.snapshot.txt","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_supportive_nexuscore_onboarding\RUN_20260610_154007\Read_Me_VeritasNexusCore.snapshot.txt","other","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0050","supportive_modules_onboarding_report","supportive_modules_onboarding_report.html","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_supportive_nexuscore_onboarding\RUN_20260610_154007\supportive_modules_onboarding_report.html","html","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0051","supportive_modules_registry","supportive_modules_registry.csv","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_supportive_nexuscore_onboarding\RUN_20260610_154007\supportive_modules_registry.csv","csv","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0052","supportive_modules_registry","supportive_modules_registry.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_supportive_nexuscore_onboarding\RUN_20260610_154007\supportive_modules_registry.json","json","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0053","VIA_Runtime_Bridge_All_in_One.cpython-313","VIA_Runtime_Bridge_All_in_One.cpython-313.pyc","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\10_Core_Runtime\__pycache__\VIA_Runtime_Bridge_All_in_One.cpython-313.pyc","other","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0054","VIA_RuntimeImportFirewall.cpython-313","VIA_RuntimeImportFirewall.cpython-313.pyc","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\10_Core_Runtime\__pycache__\VIA_RuntimeImportFirewall.cpython-313.pyc","other","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0055","VIA_Supportive_Runtime_HardGate_Bridge.cpython-313","VIA_Supportive_Runtime_HardGate_Bridge.cpython-313.pyc","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\10_Core_Runtime\__pycache__\VIA_Supportive_Runtime_HardGate_Bridge.cpython-313.pyc","other","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0056","VIA_Runtime_Bridge_All_in_One","VIA_Runtime_Bridge_All_in_One.py","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\10_Core_Runtime\VIA_Runtime_Bridge_All_in_One.py","python","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0057","VIA_Runtime_Bridge_All_in_One.py.freeze.lock","VIA_Runtime_Bridge_All_in_One.py.freeze.lock.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\10_Core_Runtime\VIA_Runtime_Bridge_All_in_One.py.freeze.lock.json","json","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0058","VIA_RuntimeImportFirewall","VIA_RuntimeImportFirewall.py","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\10_Core_Runtime\VIA_RuntimeImportFirewall.py","python","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0059","VIA_RuntimeImportFirewall.py.freeze.lock","VIA_RuntimeImportFirewall.py.freeze.lock.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\10_Core_Runtime\VIA_RuntimeImportFirewall.py.freeze.lock.json","json","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0060","VIA_Supportive_Runtime_HardGate_Bridge","VIA_Supportive_Runtime_HardGate_Bridge.py","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\10_Core_Runtime\VIA_Supportive_Runtime_HardGate_Bridge.py","python","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0061","VIA_Supportive_Runtime_HardGate_Bridge.py.freeze.lock","VIA_Supportive_Runtime_HardGate_Bridge.py.freeze.lock.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\10_Core_Runtime\VIA_Supportive_Runtime_HardGate_Bridge.py.freeze.lock.json","json","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0062","VIA_RegistryCore_v1.cpython-313","VIA_RegistryCore_v1.cpython-313.pyc","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\20_Registry_SSOT\__pycache__\VIA_RegistryCore_v1.cpython-313.pyc","other","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0063","VIA_SSOT_Unified.cpython-313","VIA_SSOT_Unified.cpython-313.pyc","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\20_Registry_SSOT\__pycache__\VIA_SSOT_Unified.cpython-313.pyc","other","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0064","VIA_RegistryCore_v1","VIA_RegistryCore_v1.py","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\20_Registry_SSOT\VIA_RegistryCore_v1.py","python","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0065","VIA_RegistryCore_v1.py.freeze.lock","VIA_RegistryCore_v1.py.freeze.lock.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\20_Registry_SSOT\VIA_RegistryCore_v1.py.freeze.lock.json","json","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0066","VIA_SSOT_Unified","VIA_SSOT_Unified.py","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\20_Registry_SSOT\VIA_SSOT_Unified.py","python","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0067","VIA_SSOT_Unified.py.freeze.lock","VIA_SSOT_Unified.py.freeze.lock.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\20_Registry_SSOT\VIA_SSOT_Unified.py.freeze.lock.json","json","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0068","VIS_Supportive_Module_Index","VIS_Supportive_Module_Index.html","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\20_Registry_SSOT\VIS_Supportive_Module_Index.html","html","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0069","VIS_Supportive_Module_Index.html.freeze.lock","VIS_Supportive_Module_Index.html.freeze.lock.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\20_Registry_SSOT\VIS_Supportive_Module_Index.html.freeze.lock.json","json","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0070","VIS_Supportive_Module_Index","VIS_Supportive_Module_Index.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\20_Registry_SSOT\VIS_Supportive_Module_Index.json","json","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0071","VIS_Supportive_Module_Index.json.freeze.lock","VIS_Supportive_Module_Index.json.freeze.lock.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\20_Registry_SSOT\VIS_Supportive_Module_Index.json.freeze.lock.json","json","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0072","VIA_HardGate_SealEngine.cpython-313","VIA_HardGate_SealEngine.cpython-313.pyc","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\30_HardGate_Governance\__pycache__\VIA_HardGate_SealEngine.cpython-313.pyc","other","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0073","VIA_Panorama_AST_RuntimeInjector.cpython-313","VIA_Panorama_AST_RuntimeInjector.cpython-313.pyc","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\30_HardGate_Governance\__pycache__\VIA_Panorama_AST_RuntimeInjector.cpython-313.pyc","other","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0074","VIA_HardGate_SealEngine","VIA_HardGate_SealEngine.py","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\30_HardGate_Governance\VIA_HardGate_SealEngine.py","python","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0075","VIA_HardGate_SealEngine.py.freeze.lock","VIA_HardGate_SealEngine.py.freeze.lock.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\30_HardGate_Governance\VIA_HardGate_SealEngine.py.freeze.lock.json","json","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0076","VIA_Panorama_AST_RuntimeInjector","VIA_Panorama_AST_RuntimeInjector.py","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\30_HardGate_Governance\VIA_Panorama_AST_RuntimeInjector.py","python","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0077","VIA_Panorama_AST_RuntimeInjector.py.freeze.lock","VIA_Panorama_AST_RuntimeInjector.py.freeze.lock.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\30_HardGate_Governance\VIA_Panorama_AST_RuntimeInjector.py.freeze.lock.json","json","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0078","VIA_Supportive_HardGate_Seal","VIA_Supportive_HardGate_Seal.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\30_HardGate_Governance\VIA_Supportive_HardGate_Seal.json","json","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0079","VIA_Supportive_HardGate_Seal.json.freeze.lock","VIA_Supportive_HardGate_Seal.json.freeze.lock.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\30_HardGate_Governance\VIA_Supportive_HardGate_Seal.json.freeze.lock.json","json","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0080","VIA_Supportive_HardGate_Seal","VIA_Supportive_HardGate_Seal.ps1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\30_HardGate_Governance\VIA_Supportive_HardGate_Seal.ps1","powershell","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0081","VIA_Supportive_HardGate_Seal.ps1.freeze.lock","VIA_Supportive_HardGate_Seal.ps1.freeze.lock.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\30_HardGate_Governance\VIA_Supportive_HardGate_Seal.ps1.freeze.lock.json","json","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0082","VIA_VRN_HardGate_Bridge_Seal","VIA_VRN_HardGate_Bridge_Seal.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\30_HardGate_Governance\VIA_VRN_HardGate_Bridge_Seal.json","json","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0083","VIA_VRN_HardGate_Bridge_Seal.json.freeze.lock","VIA_VRN_HardGate_Bridge_Seal.json.freeze.lock.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\30_HardGate_Governance\VIA_VRN_HardGate_Bridge_Seal.json.freeze.lock.json","json","FOUND","LOW","NexusCoreManaged"
"VIA-SUP-0084","VIA_EnvManager.cpython-313","VIA_EnvManager.cpython-313.pyc","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\40_Environment_Health\__pycache__\VIA_EnvManager.cpython-313.pyc","other","FOUND","LOW","NexusCoreManaged"
