type,name,context,code,series
EXT,央行政策利率,N · 匯率/利率/利差/股市吸引力 (新增),VIA-EXT-9ED62B,MI-v2
EXT,利差 carry,N · 匯率/利率/利差/股市吸引力 (新增),VIA-EXT-F844B5,MI-v2
EXT,指數 forward earnings,N · 匯率/利率/利差/股市吸引力 (新增),VIA-EXT-B56018,MI-v2
EXT,Forward P/E 轉換,N · 匯率/利率/利差/股市吸引力 (新增),VIA-EXT-BA7098,MI-v2
EXT,股市吸引力,N · 匯率/利率/利差/股市吸引力 (新增),VIA-EXT-21E38C,MI-v2
EXT,三因子合成,N · 匯率/利率/利差/股市吸引力 (新增),VIA-EXT-8DA6EC,MI-v2
CAT,L · 真值/交叉驗證源 (彙總),擷取矩陣,VIA-CAT-677939,MI-v2
EXT,台股源,L · 真值/交叉驗證源 (彙總),VIA-EXT-280F8C,MI-v2
EXT,美股/全球源,L · 真值/交叉驗證源 (彙總),VIA-EXT-534E22,MI-v2
EXT,情緒/加密源,L · 真值/交叉驗證源 (彙總),VIA-EXT-F95874,MI-v2
IDX,加權指數 TAIEX ^TWII,區域:台灣,VIA-IDX-FD8FE8,MI-v2
IDX,櫃買指數 TPEX ^TWOII,區域:台灣,VIA-IDX-6654E7,MI-v2
IDX,日經225 ^N225,區域:日本,VIA-IDX-86EAEF,MI-v2
IDX,TOPIX 東證,區域:日本,VIA-IDX-34D828,MI-v2
IDX,KOSPI ^KS11,區域:韓國,VIA-IDX-8C8454,MI-v2
IDX,NIFTY 50 ^NSEI,區域:印度,VIA-IDX-E83F2B,MI-v2
IDX,滬深300 000300.SS,區域:中國,VIA-IDX-42D980,MI-v2
IDX,恒生指數 ^HSI,區域:香港,VIA-IDX-4A7572,MI-v2
IDX,恒生科技 ^HSTECH,區域:香港,VIA-IDX-98EBFF,MI-v2
IDX,恒生國企 ^HSCE,區域:香港,VIA-IDX-2E2F95,MI-v2
IDX,STOXX 600 歐洲600,區域:歐洲,VIA-IDX-EDBD2F,MI-v2
IDX,EURO STOXX 50 ^STOXX50E,區域:歐洲,VIA-IDX-C63589,MI-v2
IDX,DAX ^GDAXI,區域:歐洲,VIA-IDX-319A26,MI-v2
IDX,FTSE 100 ^FTSE,區域:歐洲,VIA-IDX-7A0E83,MI-v2
IDX,CAC 40 ^FCHI,區域:歐洲,VIA-IDX-15F2A0,MI-v2
IDX,MSCI ACWI ACWI,區域:全球,VIA-IDX-EA59A1,MI-v2
IDX,MSCI 新興 EEM,區域:全球,VIA-IDX-C7B5D3,MI-v2
IDX,MSCI 已開發除美 EFA,區域:全球,VIA-IDX-5358E3,MI-v2
USB,S&P 500 ^GSPC,美股廣基/非產業,VIA-USB-733EB0,MI-v2
USB,NASDAQ 100 ^NDX,美股廣基/非產業,VIA-USB-302A43,MI-v2
USB,NASDAQ 綜合 ^IXIC,美股廣基/非產業,VIA-USB-93793E,MI-v2
USB,道瓊工業 ^DJI,美股廣基/非產業,VIA-USB-1487DC,MI-v2
USB,羅素2000 ^RUT,美股廣基/非產業,VIA-USB-872070,MI-v2
USB,S&P 400 中型 ^MID,美股廣基/非產業,VIA-USB-6E34FE,MI-v2
USB,S&P 500 等權 RSP,美股廣基/非產業,VIA-USB-FC7B12,MI-v2
USB,VIX 波動率 ^VIX,美股廣基/非產業,VIA-USB-20192E,MI-v2
USB,道瓊運輸(確認指標) ^DJT,美股廣基/非產業,VIA-USB-43ACC2,MI-v2
GOV,美債 1M,殖利率 FRED:DGS1MO,VIA-GOV-EA7CD2,MI-v2
GOV,美債 3M,殖利率 FRED:DGS3MO,VIA-GOV-DB6BBF,MI-v2
GOV,美債 6M,殖利率 FRED:DGS6MO,VIA-GOV-A1AD0D,MI-v2
GOV,美債 1Y,殖利率 FRED:DGS1,VIA-GOV-FDF32C,MI-v2
GOV,美債 2Y,殖利率 FRED:DGS2,VIA-GOV-D317E2,MI-v2
GOV,美債 5Y,殖利率 FRED:DGS5,VIA-GOV-2487AF,MI-v2
GOV,美債 7Y,殖利率 FRED:DGS7,VIA-GOV-24E387,MI-v2
GOV,美債 10Y,殖利率 FRED:DGS10,VIA-GOV-C321C1,MI-v2
GOV,美債 20Y,殖利率 FRED:DGS20,VIA-GOV-E46E78,MI-v2
GOV,美債 30Y,殖利率 FRED:DGS30,VIA-GOV-34D3E2,MI-v2
GOV,美債 10Y 實質,殖利率 FRED:DFII10,VIA-GOV-F39CEF,MI-v2
GOV,T-Bill 0-1Y SHV·BIL,公債 ETF 存量梯,VIA-GOV-48473A,MI-v2
GOV,短天期 1-3Y SHY,公債 ETF 存量梯,VIA-GOV-AEF0B1,MI-v2
GOV,中天期 7-10Y IEF,公債 ETF 存量梯,VIA-GOV-EE251C,MI-v2
GOV,長天期 20Y+ TLT,公債 ETF 存量梯,VIA-GOV-CE67A3,MI-v2
GOV,全天期 GOVT,公債 ETF 存量梯,VIA-GOV-2BD3AF,MI-v2
GOV,抗通膨 TIPS TIP·VTIP,公債 ETF 存量梯,VIA-GOV-2EEE46,MI-v2
GOV,台灣掛牌美債20年 00679B,公債 ETF 存量梯,VIA-GOV-1194F1,MI-v2
CRP,投資等級 IG LQD·VCIT·VCSH·IGIB,公司債/信用,VIA-CRP-E33CCF,MI-v2
CRP,高收益 HY HYG·JNK,公司債/信用,VIA-CRP-B51BF0,MI-v2
CRP,銀行貸款(浮動) BKLN,公司債/信用,VIA-CRP-CD096C,MI-v2
CRP,可轉債 CWB,公司債/信用,VIA-CRP-23783A,MI-v2
CRP,新興硬通貨 EMB,公司債/信用,VIA-CRP-26FABF,MI-v2
CRP,新興當地貨幣 EMLC,公司債/信用,VIA-CRP-B1CF96,MI-v2
CRP,HY 利差 OAS FRED:BAMLH0A0HYM2,公司債/信用,VIA-CRP-F73713,MI-v2
CRP,IG 利差 OAS FRED:BAMLC0A0CM,公司債/信用,VIA-CRP-6B781E,MI-v2
CRY,Bitcoin BTC,加密,VIA-CRY-4D3669,MI-v2
CRY,Ethereum ETH,加密,VIA-CRY-5BCBAB,MI-v2
CRY,Solana SOL,加密,VIA-CRY-AB0870,MI-v2
CRY,XRP XRP,加密,VIA-CRY-26363E,MI-v2
CRY,BTC 現貨 ETF IBIT,加密,VIA-CRY-B8A700,MI-v2
CRY,ETH 現貨 ETF ETHA,加密,VIA-CRY-FC7A90,MI-v2
CMD,黃金 現貨/實體 GLD·IAU,持金噸數=真流,VIA-CMD-C1B905,MI-v2
CMD,黃金 期貨部位 COT,管理基金淨部位,VIA-CMD-726561,MI-v2
CMD,WTI 原油 USO·CL,EIA 庫存+COT,VIA-CMD-CDD6A2,MI-v2
CMD,Brent 原油 BNO·BZ,ICE COT,VIA-CMD-76F546,MI-v2
CMD,金銀比/背離監測,現貨×期貨雙軌,VIA-CMD-260DA5,MI-v2
TAX,台股族群分類法 v1.1,File1 SSOT · 149檔31群,VIA-TAX-7D89E3,MI-v2
TAX,面向:依族群,族群分類法,VIA-TAX-00298F,MI-v2
TAX,面向:依角色 L/P/G,族群分類法,VIA-TAX-7B58B5,MI-v2
TAX,面向:依市場 上市/上櫃,族群分類法,VIA-TAX-B6AAA1,MI-v2
TAX,面向:依規模(動態 P90/P60 滾動),族群分類法,VIA-TAX-6D4920,MI-v2
TAX,角色:Leader,hot×lead 雙高,VIA-TAX-3191B7,MI-v2
TAX,角色:Peer,同群跟隨,VIA-TAX-D54B05,MI-v2
TAX,角色:Laggard,補漲/落後,VIA-TAX-9B17FD,MI-v2
