id,code,severity,category,target,detail
VIA-ERR-d3bfb354261334e1,REQUIREMENTS_PARSER_MISSING,WARN,Sequence-Dependent,C:\Users\tonyk\OneDrive\Documents\movies-dataset\VeritasIntelligenceAnalytics\functional modules\TALib\vendor\TA-Lib-ta-lib-python-2384b72\requirements_test.txt,宣告交叉解析未執行
VIA-ERR-650fad493673a97d,COMPLEXITY_REVIEW,WARN,Sequence-Dependent,C:\Users\tonyk\OneDrive\Documents\movies-dataset\VeritasIntelligenceAnalytics\functional modules\TALib\vendor\TA-Lib-ta-lib-python-2384b72\talib\__init__.py,_wrapper: branches=27
VIA-ERR-95a73e0f907e5a61,COMPLEXITY_REVIEW,WARN,Sequence-Dependent,C:\Users\tonyk\OneDrive\Documents\movies-dataset\VeritasIntelligenceAnalytics\functional modules\TALib\vendor\TA-Lib-ta-lib-python-2384b72\talib\__init__.py,wrapper: branches=27
VIA-ERR-12622c1742dfea57,FILE_SIZE_LIMIT,WARN,Sequence-Dependent,C:\Users\tonyk\OneDrive\Documents\movies-dataset\VeritasIntelligenceAnalytics\functional modules\VAP\VDF_MacroRawWide.json,超出解析大小，未完整掃描
VIA-ERR-1e2f46c6d2b68fc7,FILE_SIZE_LIMIT,WARN,Sequence-Dependent,C:\Users\tonyk\OneDrive\Documents\movies-dataset\VeritasIntelligenceAnalytics\functional modules\VAP\VDF_MacroRawWide.pre_20260825_144554.json,超出解析大小，未完整掃描
VIA-ERR-d6b635ad047b8aa2,FILE_SIZE_LIMIT,WARN,Sequence-Dependent,C:\Users\tonyk\OneDrive\Documents\movies-dataset\VeritasIntelligenceAnalytics\functional modules\VAP\VDF_MacroRawWide_sha640eef6e0b96.json,超出解析大小，未完整掃描
VIA-ERR-d77cb972e937461a,FILE_SIZE_LIMIT,WARN,Sequence-Dependent,C:\Users\tonyk\OneDrive\Documents\movies-dataset\VeritasIntelligenceAnalytics\functional modules\VAP\VDF_MacroTransformedLong.json,超出解析大小，未完整掃描
VIA-ERR-f9ea8df03c6c913e,FILE_SIZE_LIMIT,WARN,Sequence-Dependent,C:\Users\tonyk\OneDrive\Documents\movies-dataset\VeritasIntelligenceAnalytics\functional modules\VAP\VDF_MacroTransformedLong_sha701dd06ad302.json,超出解析大小，未完整掃描
VIA-ERR-73f3a437b77c279d,FILE_SIZE_LIMIT,WARN,Sequence-Dependent,C:\Users\tonyk\OneDrive\Documents\movies-dataset\VeritasIntelligenceAnalytics\functional modules\VAP\VDF_MacroTransformedWide.json,超出解析大小，未完整掃描
VIA-ERR-eb4eeedf65a6d866,FILE_SIZE_LIMIT,WARN,Sequence-Dependent,C:\Users\tonyk\OneDrive\Documents\movies-dataset\VeritasIntelligenceAnalytics\functional modules\VAP\VDF_MacroTransformedWide_shacdb707192e0f.json,超出解析大小，未完整掃描
VIA-ERR-2462e3d50faef079,COMPLEXITY_REVIEW,WARN,Sequence-Dependent,C:\Users\tonyk\OneDrive\Documents\movies-dataset\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VAP\_output\VAP_PANORAMA_MATURITY_OPT_20260507_110152\vap_panorama_maturity_optimizer.py,def_score_layer: branches=35
VIA-ERR-55acbc59c1f3ea4c,COMPLEXITY_REVIEW,WARN,Sequence-Dependent,C:\Users\tonyk\OneDrive\Documents\movies-dataset\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VAP\_output\VAP_PANORAMA_MATURITY_OPT_20260507_230210\vap_panorama_maturity_optimizer.py,def_score_layer: branches=35
VIA-ERR-47d16e2fade4633a,COMPLEXITY_REVIEW,WARN,Sequence-Dependent,C:\Users\tonyk\OneDrive\Documents\movies-dataset\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VAP\charts\vap_chart_dashboard.py,compute_kpis: branches=26
VIA-ERR-540aa74abe3f8ad5,COMPLEXITY_REVIEW,WARN,Sequence-Dependent,C:\Users\tonyk\OneDrive\Documents\movies-dataset\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VAP\charts\vap_chart_technical.py,build: branches=34
VIA-ERR-389413b0b7873bed,COMPLEXITY_REVIEW,WARN,Sequence-Dependent,C:\Users\tonyk\OneDrive\Documents\movies-dataset\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL014_vrn_final_control_center_v061575__MODULE__v061575.py,def_main: branches=29
VIA-ERR-b4883013b4656312,COMPLEXITY_REVIEW,WARN,Sequence-Dependent,C:\Users\tonyk\OneDrive\Documents\movies-dataset\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL015_vrn_final_production_lock_registry_v061573__SUPPORT_RULE__v061573.py,def_main: branches=41
VIA-ERR-d6cd3b8c3cacb8d2,COMPLEXITY_REVIEW,WARN,Sequence-Dependent,C:\Users\tonyk\OneDrive\Documents\movies-dataset\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL016_vrn_final_integration_governance_seal_v0615703__GOVERNANCE__v0615703.py,def_main: branches=47
VIA-ERR-5b11f8c98ef2a986,COMPLEXITY_REVIEW,WARN,Sequence-Dependent,C:\Users\tonyk\OneDrive\Documents\movies-dataset\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL035_vrn_real_commit_argfix_backup_postcheck_v0615711__MODULE__v0615711.py,def_main: branches=80
VIA-ERR-b9f9a6347c1b4884,COMPLEXITY_REVIEW,WARN,Sequence-Dependent,C:\Users\tonyk\OneDrive\Documents\movies-dataset\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL036_vrn_real_commit_backup_postcheck_rollback_v061571__MODULE__v061571.py,def_main: branches=80
VIA-ERR-a85ed7986efbf484,COMPLEXITY_REVIEW,WARN,Sequence-Dependent,C:\Users\tonyk\OneDrive\Documents\movies-dataset\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL048_vrn_final_handover_commit_blocker_seal_v0615702__GOVERNANCE__v0615702.py,def_main: branches=29
VIA-ERR-b8497e0ed69bec93,COMPLEXITY_REVIEW,WARN,Sequence-Dependent,C:\Users\tonyk\OneDrive\Documents\movies-dataset\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL049_v0569_canonical_english_system_seal_fix__GOVERNANCE__v0569.py,def_main: branches=30
VIA-ERR-79b653b7ba14dd8f,COMPLEXITY_REVIEW,WARN,Sequence-Dependent,C:\Users\tonyk\OneDrive\Documents\movies-dataset\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL092_vrn_post_commit_production_seal_v0615721__GOVERNANCE__v0615721.py,def_main: branches=65
VIA-ERR-1c47c218fcc91972,COMPLEXITY_REVIEW,WARN,Sequence-Dependent,C:\Users\tonyk\OneDrive\Documents\movies-dataset\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL094_vrn_commit_candidate_pack_approval_gate_v061570__MODULE__v061570.py,def_main: branches=47
VIA-ERR-93c99c25d8c23fcc,COMPLEXITY_REVIEW,WARN,Sequence-Dependent,C:\Users\tonyk\OneDrive\Documents\movies-dataset\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL098_vrn_financial_ssot_complete_trust_integration_v0608__FINANCIALDATA__v0608.py,def_main: branches=26
VIA-ERR-c6b92f45f8b2f0b7,FILE_SIZE_LIMIT,WARN,Sequence-Dependent,C:\Users\tonyk\OneDrive\Documents\movies-dataset\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL100_VRN_Complete_ProjectDryRun__MODULE__v0_0.json,超出解析大小，未完整掃描
VIA-ERR-b309356a7f98c0a1,SYNTAX_OR_CONFIG_ERROR,ERROR,Parallel-Fixable,C:\Users\tonyk\OneDrive\Documents\movies-dataset\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL120_VRN_GO_ExtractorPy_M01_Smoke_v1_0_16__MODULE__v1_0.json,Invalid control character at: line 1321 column 291 (char 284902)
VIA-ERR-fb65716438dc4873,SYNTAX_OR_CONFIG_ERROR,ERROR,Parallel-Fixable,C:\Users\tonyk\OneDrive\Documents\movies-dataset\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL140_VRN_GO_M01_60PDF_Full_v1_0_20__MODULE__v1_0.json,Invalid control character at: line 89 column 283 (char 18923)
VIA-ERR-5e64e15412ad94c8,SYNTAX_OR_CONFIG_ERROR,ERROR,Parallel-Fixable,C:\Users\tonyk\OneDrive\Documents\movies-dataset\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL141_VRN_GO_M01_30PDF_Smoke_v1_0_19__MODULE__v1_0.json,Invalid control character at: line 56 column 285 (char 11396)
VIA-ERR-063ed0f3e42fff58,SYNTAX_OR_CONFIG_ERROR,ERROR,Parallel-Fixable,C:\Users\tonyk\OneDrive\Documents\movies-dataset\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL142_VRN_GO_M01_10PDF_Smoke_v1_0_18__MODULE__v1_0.json,Invalid control character at: line 36 column 285 (char 6494)
VIA-ERR-66d214172e75e46c,SYNTAX_OR_CONFIG_ERROR,ERROR,Parallel-Fixable,C:\Users\tonyk\OneDrive\Documents\movies-dataset\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL143_VRN_GO_M01_3PDF_Smoke_v1_0_17__MODULE__v1_0.json,Invalid control character at: line 29 column 283 (char 4774)
VIA-ERR-b136f8d51f03e574,SYNTAX_OR_CONFIG_ERROR,ERROR,Parallel-Fixable,C:\Users\tonyk\OneDrive\Documents\movies-dataset\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL144_VRN_GO_M01_Smoke_Dry_Executor_v1_0_15__MODULE__v1_0.json,Invalid control character at: line 34 column 286 (char 5760)
VIA-ERR-895c3bb30eb3e7a8,SYNTAX_OR_CONFIG_ERROR,ERROR,Parallel-Fixable,C:\Users\tonyk\OneDrive\Documents\movies-dataset\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL145_VRN_GO_Direct_Dry_Executor_v1_0_14__MODULE__v1_0.json,Invalid control character at: line 31 column 287 (char 4708)
VIA-ERR-e9f7b42d61e62c86,SYNTAX_OR_CONFIG_ERROR,ERROR,Parallel-Fixable,C:\Users\tonyk\OneDrive\Documents\movies-dataset\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL146_VRN_GO_Direct_Dry_Executor_v1_0_13__MODULE__v1_0.json,Invalid control character at: line 31 column 287 (char 4774)
VIA-ERR-ddd44c05e9a16a83,COMPLEXITY_REVIEW,WARN,Sequence-Dependent,C:\Users\tonyk\OneDrive\Documents\movies-dataset\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL210_VRN_v070_AllInOne__MODULE__v070.py,def_main: branches=58
VIA-ERR-86a950575dafa4f0,COMPLEXITY_REVIEW,WARN,Sequence-Dependent,C:\Users\tonyk\OneDrive\Documents\movies-dataset\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL218_vrn_financial_data_confirm_verify_v06125__FINANCIALDATA__v06125.py,def_validate_financial_rows: branches=31
VIA-ERR-a03fa832d54a3bf1,COMPLEXITY_REVIEW,WARN,Sequence-Dependent,C:\Users\tonyk\OneDrive\Documents\movies-dataset\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL218_vrn_financial_data_confirm_verify_v06125__FINANCIALDATA__v06125.py,def_main: branches=31
VIA-ERR-170280cf2d9fa5e6,COMPLEXITY_REVIEW,WARN,Sequence-Dependent,C:\Users\tonyk\OneDrive\Documents\movies-dataset\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL227_vrn_business_validation_report_v061574__REPORT__v061574.py,def_main: branches=44
VIA-ERR-aff8589ae8c3ef6f,COMPLEXITY_REVIEW,WARN,Sequence-Dependent,C:\Users\tonyk\OneDrive\Documents\movies-dataset\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL228_vrn_business_validation_report_v061574__REPORT__v061574.py,def_main: branches=44
VIA-ERR-4f421fa303ddf602,COMPLEXITY_REVIEW,WARN,Sequence-Dependent,C:\Users\tonyk\OneDrive\Documents\movies-dataset\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL230_vrn_final_staging_evidence_seal_v0615694__GOVERNANCE__v0615694.py,def_main: branches=43
VIA-ERR-2f83c5e0e7169bc8,COMPLEXITY_REVIEW,WARN,Sequence-Dependent,C:\Users\tonyk\OneDrive\Documents\movies-dataset\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL233_vrn_final_validation_router_materialization_gate_v061569__GOVERNANCE__v061569.py,def_main: branches=29
VIA-ERR-7c1b2188d821faba,COMPLEXITY_REVIEW,WARN,Sequence-Dependent,C:\Users\tonyk\OneDrive\Documents\movies-dataset\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL235_vrn_official_fetch_dryrun_parser_ready_v06156551__DATA_SOURCE__v06156551.py,def_main: branches=41
VIA-ERR-865acdc9ff85af21,COMPLEXITY_REVIEW,WARN,Sequence-Dependent,C:\Users\tonyk\OneDrive\Documents\movies-dataset\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL238_vrn_account_period_value_parser_preflight_v0615651__MODULE__v0615651.py,def_main: branches=29
VIA-ERR-56f923b2298f203f,COMPLEXITY_REVIEW,WARN,Sequence-Dependent,C:\Users\tonyk\OneDrive\Documents\movies-dataset\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL247_vrn_broker_english_abbrev_ssot_normalize_v06134__SUPPORT_RULE__v06134.py,def_extract_possible_broker_map_from_ast: branches=34
VIA-ERR-41709489d067ad45,COMPLEXITY_REVIEW,WARN,Sequence-Dependent,C:\Users\tonyk\OneDrive\Documents\movies-dataset\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL251_vrn_input_file_coverage_reconcile_v06128__MODULE__v06128.py,def_main: branches=32
VIA-ERR-07f64833d7c9c078,COMPLEXITY_REVIEW,WARN,Sequence-Dependent,C:\Users\tonyk\OneDrive\Documents\movies-dataset\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL254_vrn_financial_rescue_ssot_alias_v06126__FINANCIALDATA__v06126.py,def_main: branches=34
VIA-ERR-770fa1db574f6bc8,COMPLEXITY_REVIEW,WARN,Sequence-Dependent,C:\Users\tonyk\OneDrive\Documents\movies-dataset\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL255_vrn_master_bridge_functional_smoke_test_v06122__GOVERNANCE__v06122.py,def_main: branches=31
VIA-ERR-2c2d975cea3339e0,COMPLEXITY_REVIEW,WARN,Sequence-Dependent,C:\Users\tonyk\OneDrive\Documents\movies-dataset\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL261_vrn_firstpage_sourcebank_valuation_repair_v0594__MODULE__v0594.py,def_extract_valuation_for_row: branches=29
VIA-ERR-d4ee28f5f2387777,COMPLEXITY_REVIEW,WARN,Sequence-Dependent,C:\Users\tonyk\OneDrive\Documents\movies-dataset\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL265_v0572_canonical_duckdb_view_repair__MODULE__v0572.py,def_main: branches=31
VIA-ERR-a434a260ff06e6cb,COMPLEXITY_REVIEW,WARN,Sequence-Dependent,C:\Users\tonyk\OneDrive\Documents\movies-dataset\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL001_TWEquityEngine.py,print_rich_summary_matrix: branches=34
VIA-ERR-1f1880b1f93a75b0,COMPLEXITY_REVIEW,WARN,Sequence-Dependent,C:\Users\tonyk\OneDrive\Documents\movies-dataset\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL001_TWEquityEngine.py,run_extraction: branches=28
VIA-ERR-33ee73b4ce4019f4,COMPLEXITY_REVIEW,WARN,Sequence-Dependent,C:\Users\tonyk\OneDrive\Documents\movies-dataset\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL001_TWEquityEngine.py,run_extraction: branches=34
VIA-ERR-f3a4acc86291d391,COMPLEXITY_REVIEW,WARN,Sequence-Dependent,C:\Users\tonyk\OneDrive\Documents\movies-dataset\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL002_YFinanceFetchingEngine.py,print_rich_summary_matrix: branches=28
VIA-ERR-cf43e7adb8918fe1,COMPLEXITY_REVIEW,WARN,Sequence-Dependent,C:\Users\tonyk\OneDrive\Documents\movies-dataset\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL003_SentimentMacroEngine.py,print_rich_summary_matrix: branches=55
VIA-ERR-d4542a26addd472b,COMPLEXITY_REVIEW,WARN,Sequence-Dependent,C:\Users\tonyk\OneDrive\Documents\movies-dataset\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL003_SentimentMacroEngine.py,run: branches=34
VIA-ERR-32250447821caf97,COMPLEXITY_REVIEW,WARN,Sequence-Dependent,C:\Users\tonyk\OneDrive\Documents\movies-dataset\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL004_TWFullMarketEngine.py,_print_rich_summary: branches=31
VIA-ERR-879b4f7a45affaaf,COMPLEXITY_REVIEW,WARN,Sequence-Dependent,C:\Users\tonyk\OneDrive\Documents\movies-dataset\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL005_TWStockFilter.py,print_rich_summary: branches=38
