"Flow","Language","Rank","Library","Use","InstallMode","Risk"
"Visual Template / Chart","JavaScript","3","Chart.js","圖表、流程、視覺模板預覽","NpmLocal","LOW"
"Visual Template / Chart","JavaScript","4","D3.js","圖表、流程、視覺模板預覽","NpmLocal","LOW"
"Visual Template / Chart","JavaScript","5","Vega-Lite","圖表、流程、視覺模板預覽","NpmLocal","LOW"
"Visual Template / Chart","JavaScript","6","uPlot","圖表、流程、視覺模板預覽","NpmLocal","LOW"
"Visual Template / Chart","JavaScript","7","Observable Plot","圖表、流程、視覺模板預覽","NpmLocal","LOW"
"Visual Template / Chart","JavaScript","8","ApexCharts","圖表、流程、視覺模板預覽","NpmLocal","LOW"
"Visual Template / Chart","JavaScript","9","Billboard.js","圖表、流程、視覺模板預覽","NpmLocal","LOW"
"Visual Template / Chart","JavaScript","10","Mermaid","圖表、流程、視覺模板預覽","NpmLocal","LOW"
"HTML Parse / Component Split","Python","1","BeautifulSoup4","HTML 解析、CSS 規格、元件切割","VenvPip","LOW"
"HTML Parse / Component Split","Python","2","lxml","HTML 解析、CSS 規格、元件切割","VenvPip","LOW"
"HTML Parse / Component Split","Python","3","html5lib","HTML 解析、CSS 規格、元件切割","VenvPip","LOW"
"HTML Parse / Component Split","Python","4","Jinja2","HTML 解析、CSS 規格、元件切割","VenvPip","LOW"
"HTML Parse / Component Split","Python","5","MarkupSafe","HTML 解析、CSS 規格、元件切割","VenvPip","LOW"
"HTML Parse / Component Split","Python","6","Pydantic","HTML 解析、CSS 規格、元件切割","VenvPip","LOW"
"HTML Parse / Component Split","Python","7","jsonschema","HTML 解析、CSS 規格、元件切割","VenvPip","LOW"
"HTML Parse / Component Split","Python","8","TinyCSS2","HTML 解析、CSS 規格、元件切割","VenvPip","LOW"
"HTML Parse / Component Split","Python","9","cssselect","HTML 解析、CSS 規格、元件切割","VenvPip","LOW"
"HTML Parse / Component Split","Python","10","Premailer","HTML 解析、CSS 規格、元件切割","VenvPip","LOW"
"Image / Icon Management","Python","1","Pillow","圖像尺寸、視覺 hash、SVG/PNG 管理","VenvPip","LOW"
"Image / Icon Management","Python","2","cairosvg","圖像尺寸、視覺 hash、SVG/PNG 管理","VenvPip","LOW"
"Image / Icon Management","Python","3","imagehash","圖像尺寸、視覺 hash、SVG/PNG 管理","VenvPip","LOW"
"Image / Icon Management","Python","4","opencv-python","圖像尺寸、視覺 hash、SVG/PNG 管理","VenvPip","LOW"
"Image / Icon Management","Python","5","scikit-image","圖像尺寸、視覺 hash、SVG/PNG 管理","VenvPip","LOW"
"Image / Icon Management","Python","6","svgpathtools","圖像尺寸、視覺 hash、SVG/PNG 管理","VenvPip","LOW"
"Image / Icon Management","Python","7","rembg","圖像尺寸、視覺 hash、SVG/PNG 管理","VenvPip","LOW"
"Image / Icon Management","Python","8","wand","圖像尺寸、視覺 hash、SVG/PNG 管理","VenvPip","LOW"
"Image / Icon Management","Python","9","pypng","圖像尺寸、視覺 hash、SVG/PNG 管理","VenvPip","LOW"
"Image / Icon Management","Python","10","fonttools","圖像尺寸、視覺 hash、SVG/PNG 管理","VenvPip","LOW"
"CSS Compact Layout","CSS","1","CSS Grid","緊湊方格、自適應、不可重疊","BuiltInOrLocalAsset","LOW"
"CSS Compact Layout","CSS","2","Flexbox","緊湊方格、自適應、不可重疊","BuiltInOrLocalAsset","LOW"
"CSS Compact Layout","CSS","3","Container Queries","緊湊方格、自適應、不可重疊","BuiltInOrLocalAsset","LOW"
"CSS Compact Layout","CSS","4","CSS Variables","緊湊方格、自適應、不可重疊","BuiltInOrLocalAsset","LOW"
"CSS Compact Layout","CSS","5","CSS Clamp","緊湊方格、自適應、不可重疊","BuiltInOrLocalAsset","LOW"
"CSS Compact Layout","CSS","6","CSS Layers","緊湊方格、自適應、不可重疊","BuiltInOrLocalAsset","LOW"
"CSS Compact Layout","CSS","7","CSS Animations","緊湊方格、自適應、不可重疊","BuiltInOrLocalAsset","LOW"
"CSS Compact Layout","CSS","8","CSS Scroll Snap","緊湊方格、自適應、不可重疊","BuiltInOrLocalAsset","LOW"
"CSS Compact Layout","CSS","9","CSS Subgrid","緊湊方格、自適應、不可重疊","BuiltInOrLocalAsset","LOW"
"CSS Compact Layout","CSS","10","CSS Nesting","緊湊方格、自適應、不可重疊","BuiltInOrLocalAsset","LOW"
"Node Build","Node","1","vite","本地打包、壓縮、格式化、預覽","NpmLocal","LOW"
"Node Build","Node","2","esbuild","本地打包、壓縮、格式化、預覽","NpmLocal","LOW"
"Node Build","Node","3","rollup","本地打包、壓縮、格式化、預覽","NpmLocal","LOW"
"Node Build","Node","4","terser","本地打包、壓縮、格式化、預覽","NpmLocal","LOW"
"Node Build","Node","5","postcss","本地打包、壓縮、格式化、預覽","NpmLocal","LOW"
"Node Build","Node","6","autoprefixer","本地打包、壓縮、格式化、預覽","NpmLocal","LOW"
"Node Build","Node","7","eslint","本地打包、壓縮、格式化、預覽","NpmLocal","LOW"
"Node Build","Node","8","prettier","本地打包、壓縮、格式化、預覽","NpmLocal","LOW"
"Node Build","Node","9","stylelint","本地打包、壓縮、格式化、預覽","NpmLocal","LOW"
"Node Build","Node","10","browser-sync","本地打包、壓縮、格式化、預覽","NpmLocal","LOW"
"Testing Debug Optimize","Mixed","1","Playwright","UI 測試、效能、回歸、語法","PlanOnly","LOW"
"Testing Debug Optimize","Mixed","2","Puppeteer","UI 測試、效能、回歸、語法","PlanOnly","LOW"
"Testing Debug Optimize","Mixed","3","Lighthouse","UI 測試、效能、回歸、語法","PlanOnly","LOW"
"Testing Debug Optimize","Mixed","4","axe-core","UI 測試、效能、回歸、語法","PlanOnly","LOW"
"Testing Debug Optimize","Mixed","5","Vitest","UI 測試、效能、回歸、語法","PlanOnly","LOW"
"Testing Debug Optimize","Mixed","6","Jest","UI 測試、效能、回歸、語法","PlanOnly","LOW"
"Testing Debug Optimize","Mixed","7","pytest","UI 測試、效能、回歸、語法","PlanOnly","LOW"
"Testing Debug Optimize","Mixed","8","ruff","UI 測試、效能、回歸、語法","PlanOnly","LOW"
"Testing Debug Optimize","Mixed","9","PSScriptAnalyzer","UI 測試、效能、回歸、語法","PlanOnly","LOW"
"Testing Debug Optimize","Mixed","10","Pester","UI 測試、效能、回歸、語法","PlanOnly","LOW"
"Secure Packaging","Rust","1","tauri","未來單檔封裝、安全 payload","CargoPlan","LOW"
"Secure Packaging","Rust","2","serde","未來單檔封裝、安全 payload","CargoPlan","LOW"
"Secure Packaging","Rust","3","serde_json","未來單檔封裝、安全 payload","CargoPlan","LOW"
"Secure Packaging","Rust","4","walkdir","未來單檔封裝、安全 payload","CargoPlan","LOW"
"Secure Packaging","Rust","5","zip","未來單檔封裝、安全 payload","CargoPlan","LOW"
"Secure Packaging","Rust","6","aes-gcm","未來單檔封裝、安全 payload","CargoPlan","LOW"
"Secure Packaging","Rust","7","sha2","未來單檔封裝、安全 payload","CargoPlan","LOW"
"Secure Packaging","Rust","8","anyhow","未來單檔封裝、安全 payload","CargoPlan","LOW"
"Secure Packaging","Rust","9","mime_guess","未來單檔封裝、安全 payload","CargoPlan","LOW"
"Secure Packaging","Rust","10","tokio","未來單檔封裝、安全 payload","CargoPlan","LOW"
