"Function","Language","Rank","Library","InstallMode","Risk","Note"
"Image / Icon Processing","Python","6","svgpathtools","VenvPip","LOW","Local/free preferred; install later only inside isolated environment."
"Image / Icon Processing","Python","7","rembg","VenvPip","LOW","Local/free preferred; install later only inside isolated environment."
"Image / Icon Processing","Python","8","wand","VenvPip","LOW","Local/free preferred; install later only inside isolated environment."
"Image / Icon Processing","Python","9","pypng","VenvPip","LOW","Local/free preferred; install later only inside isolated environment."
"Image / Icon Processing","Python","10","fonttools","VenvPip","LOW","Local/free preferred; install later only inside isolated environment."
"SVG / Raster Optimize","Node","1","svgo","NpmLocal","LOW","Local/free preferred; install later only inside isolated environment."
"SVG / Raster Optimize","Node","2","sharp","NpmLocal","LOW","Local/free preferred; install later only inside isolated environment."
"SVG / Raster Optimize","Node","3","jimp","NpmLocal","LOW","Local/free preferred; install later only inside isolated environment."
"SVG / Raster Optimize","Node","4","canvas","NpmLocal","LOW","Local/free preferred; install later only inside isolated environment."
"SVG / Raster Optimize","Node","5","pngjs","NpmLocal","LOW","Local/free preferred; install later only inside isolated environment."
"SVG / Raster Optimize","Node","6","image-size","NpmLocal","LOW","Local/free preferred; install later only inside isolated environment."
"SVG / Raster Optimize","Node","7","file-type","NpmLocal","LOW","Local/free preferred; install later only inside isolated environment."
"SVG / Raster Optimize","Node","8","icojs","NpmLocal","LOW","Local/free preferred; install later only inside isolated environment."
"SVG / Raster Optimize","Node","9","potrace","NpmLocal","LOW","Local/free preferred; install later only inside isolated environment."
"SVG / Raster Optimize","Node","10","pixelmatch","NpmLocal","LOW","Local/free preferred; install later only inside isolated environment."
"HTML Gallery UI","JavaScript","1","Tabulator","NpmLocal","LOW","Local/free preferred; install later only inside isolated environment."
"HTML Gallery UI","JavaScript","2","DataTables","NpmLocal","LOW","Local/free preferred; install later only inside isolated environment."
"HTML Gallery UI","JavaScript","3","GridStack.js","NpmLocal","LOW","Local/free preferred; install later only inside isolated environment."
"HTML Gallery UI","JavaScript","4","SortableJS","NpmLocal","LOW","Local/free preferred; install later only inside isolated environment."
"HTML Gallery UI","JavaScript","5","Interact.js","NpmLocal","LOW","Local/free preferred; install later only inside isolated environment."
"HTML Gallery UI","JavaScript","6","Fuse.js","NpmLocal","LOW","Local/free preferred; install later only inside isolated environment."
"HTML Gallery UI","JavaScript","7","Floating UI","NpmLocal","LOW","Local/free preferred; install later only inside isolated environment."
"HTML Gallery UI","JavaScript","8","Masonry","NpmLocal","LOW","Local/free preferred; install later only inside isolated environment."
"HTML Gallery UI","JavaScript","9","Isotope","NpmLocal","LOW","Local/free preferred; install later only inside isolated environment."
"HTML Gallery UI","JavaScript","10","Prism.js","NpmLocal","LOW","Local/free preferred; install later only inside isolated environment."
"Visual Template Preview","JavaScript","1","Plotly.js","NpmLocal","LOW","Local/free preferred; install later only inside isolated environment."
"Visual Template Preview","JavaScript","2","Apache ECharts","NpmLocal","LOW","Local/free preferred; install later only inside isolated environment."
"Visual Template Preview","JavaScript","3","Chart.js","NpmLocal","LOW","Local/free preferred; install later only inside isolated environment."
"Visual Template Preview","JavaScript","4","D3.js","NpmLocal","LOW","Local/free preferred; install later only inside isolated environment."
"Visual Template Preview","JavaScript","5","Vega-Lite","NpmLocal","LOW","Local/free preferred; install later only inside isolated environment."
"Visual Template Preview","JavaScript","6","uPlot","NpmLocal","LOW","Local/free preferred; install later only inside isolated environment."
"Visual Template Preview","JavaScript","7","Observable Plot","NpmLocal","LOW","Local/free preferred; install later only inside isolated environment."
"Visual Template Preview","JavaScript","8","ApexCharts","NpmLocal","LOW","Local/free preferred; install later only inside isolated environment."
"Visual Template Preview","JavaScript","9","Billboard.js","NpmLocal","LOW","Local/free preferred; install later only inside isolated environment."
"Visual Template Preview","JavaScript","10","Mermaid","NpmLocal","LOW","Local/free preferred; install later only inside isolated environment."
"Compact Layout","CSS","1","CSS Grid","BuiltInOrLocalAsset","LOW","Local/free preferred; install later only inside isolated environment."
"Compact Layout","CSS","2","Flexbox","BuiltInOrLocalAsset","LOW","Local/free preferred; install later only inside isolated environment."
"Compact Layout","CSS","3","Container Queries","BuiltInOrLocalAsset","LOW","Local/free preferred; install later only inside isolated environment."
"Compact Layout","CSS","4","CSS Variables","BuiltInOrLocalAsset","LOW","Local/free preferred; install later only inside isolated environment."
"Compact Layout","CSS","5","CSS Clamp","BuiltInOrLocalAsset","LOW","Local/free preferred; install later only inside isolated environment."
"Compact Layout","CSS","6","CSS Layers","BuiltInOrLocalAsset","LOW","Local/free preferred; install later only inside isolated environment."
"Compact Layout","CSS","7","CSS Animations","BuiltInOrLocalAsset","LOW","Local/free preferred; install later only inside isolated environment."
"Compact Layout","CSS","8","CSS Scroll Snap","BuiltInOrLocalAsset","LOW","Local/free preferred; install later only inside isolated environment."
"Compact Layout","CSS","9","CSS Subgrid","BuiltInOrLocalAsset","LOW","Local/free preferred; install later only inside isolated environment."
"Compact Layout","CSS","10","CSS Nesting","BuiltInOrLocalAsset","LOW","Local/free preferred; install later only inside isolated environment."
"HTML Component Split","Python","1","BeautifulSoup4","VenvPip","LOW","Local/free preferred; install later only inside isolated environment."
"HTML Component Split","Python","2","lxml","VenvPip","LOW","Local/free preferred; install later only inside isolated environment."
"HTML Component Split","Python","3","html5lib","VenvPip","LOW","Local/free preferred; install later only inside isolated environment."
"HTML Component Split","Python","4","Jinja2","VenvPip","LOW","Local/free preferred; install later only inside isolated environment."
"HTML Component Split","Python","5","MarkupSafe","VenvPip","LOW","Local/free preferred; install later only inside isolated environment."
"HTML Component Split","Python","6","Pydantic","VenvPip","LOW","Local/free preferred; install later only inside isolated environment."
"HTML Component Split","Python","7","jsonschema","VenvPip","LOW","Local/free preferred; install later only inside isolated environment."
"HTML Component Split","Python","8","TinyCSS2","VenvPip","LOW","Local/free preferred; install later only inside isolated environment."
"HTML Component Split","Python","9","cssselect","VenvPip","LOW","Local/free preferred; install later only inside isolated environment."
"HTML Component Split","Python","10","Premailer","VenvPip","LOW","Local/free preferred; install later only inside isolated environment."
"Test Debug Optimize","Mixed","1","Playwright","PlanOnly","LOW","Local/free preferred; install later only inside isolated environment."
"Test Debug Optimize","Mixed","2","Puppeteer","PlanOnly","LOW","Local/free preferred; install later only inside isolated environment."
"Test Debug Optimize","Mixed","3","Lighthouse","PlanOnly","LOW","Local/free preferred; install later only inside isolated environment."
"Test Debug Optimize","Mixed","4","axe-core","PlanOnly","LOW","Local/free preferred; install later only inside isolated environment."
"Test Debug Optimize","Mixed","5","Vitest","PlanOnly","LOW","Local/free preferred; install later only inside isolated environment."
"Test Debug Optimize","Mixed","6","Jest","PlanOnly","LOW","Local/free preferred; install later only inside isolated environment."
"Test Debug Optimize","Mixed","7","pytest","PlanOnly","LOW","Local/free preferred; install later only inside isolated environment."
"Test Debug Optimize","Mixed","8","ruff","PlanOnly","LOW","Local/free preferred; install later only inside isolated environment."
"Test Debug Optimize","Mixed","9","PSScriptAnalyzer","PlanOnly","LOW","Local/free preferred; install later only inside isolated environment."
"Test Debug Optimize","Mixed","10","Pester","PlanOnly","LOW","Local/free preferred; install later only inside isolated environment."
"Secure Package / Desktop App","Rust","1","tauri","CargoPlan","LOW","Local/free preferred; install later only inside isolated environment."
"Secure Package / Desktop App","Rust","2","serde","CargoPlan","LOW","Local/free preferred; install later only inside isolated environment."
"Secure Package / Desktop App","Rust","3","serde_json","CargoPlan","LOW","Local/free preferred; install later only inside isolated environment."
"Secure Package / Desktop App","Rust","4","walkdir","CargoPlan","LOW","Local/free preferred; install later only inside isolated environment."
"Secure Package / Desktop App","Rust","5","zip","CargoPlan","LOW","Local/free preferred; install later only inside isolated environment."
"Secure Package / Desktop App","Rust","6","aes-gcm","CargoPlan","LOW","Local/free preferred; install later only inside isolated environment."
"Secure Package / Desktop App","Rust","7","sha2","CargoPlan","LOW","Local/free preferred; install later only inside isolated environment."
"Secure Package / Desktop App","Rust","8","anyhow","CargoPlan","LOW","Local/free preferred; install later only inside isolated environment."
"Secure Package / Desktop App","Rust","9","mime_guess","CargoPlan","LOW","Local/free preferred; install later only inside isolated environment."
"Secure Package / Desktop App","Rust","10","tokio","CargoPlan","LOW","Local/free preferred; install later only inside isolated environment."
