"Flow","Language","Rank","Library","Use","InstallMode","Risk"
"HTML Component Split","Python","5","MarkupSafe","HTML/CSS parsing、component split","VenvPip","LOW"
"HTML Component Split","Python","6","Pydantic","HTML/CSS parsing、component split","VenvPip","LOW"
"HTML Component Split","Python","7","jsonschema","HTML/CSS parsing、component split","VenvPip","LOW"
"HTML Component Split","Python","8","TinyCSS2","HTML/CSS parsing、component split","VenvPip","LOW"
"HTML Component Split","Python","9","cssselect","HTML/CSS parsing、component split","VenvPip","LOW"
"HTML Component Split","Python","10","Premailer","HTML/CSS parsing、component split","VenvPip","LOW"
"Image Icon Management","Python","1","Pillow","圖像尺寸、同圖不同大小、SVG/PNG","VenvPip","LOW"
"Image Icon Management","Python","2","cairosvg","圖像尺寸、同圖不同大小、SVG/PNG","VenvPip","LOW"
"Image Icon Management","Python","3","imagehash","圖像尺寸、同圖不同大小、SVG/PNG","VenvPip","LOW"
"Image Icon Management","Python","4","opencv-python","圖像尺寸、同圖不同大小、SVG/PNG","VenvPip","LOW"
"Image Icon Management","Python","5","scikit-image","圖像尺寸、同圖不同大小、SVG/PNG","VenvPip","LOW"
"Image Icon Management","Python","6","svgpathtools","圖像尺寸、同圖不同大小、SVG/PNG","VenvPip","LOW"
"Image Icon Management","Python","7","rembg","圖像尺寸、同圖不同大小、SVG/PNG","VenvPip","LOW"
"Image Icon Management","Python","8","wand","圖像尺寸、同圖不同大小、SVG/PNG","VenvPip","LOW"
"Image Icon Management","Python","9","pypng","圖像尺寸、同圖不同大小、SVG/PNG","VenvPip","LOW"
"Image Icon Management","Python","10","fonttools","圖像尺寸、同圖不同大小、SVG/PNG","VenvPip","LOW"
"Compact Layout","CSS","1","CSS Grid","緊湊 layout、不可重疊、響應式","BuiltInOrLocalAsset","LOW"
"Compact Layout","CSS","2","Flexbox","緊湊 layout、不可重疊、響應式","BuiltInOrLocalAsset","LOW"
"Compact Layout","CSS","3","Container Queries","緊湊 layout、不可重疊、響應式","BuiltInOrLocalAsset","LOW"
"Compact Layout","CSS","4","CSS Variables","緊湊 layout、不可重疊、響應式","BuiltInOrLocalAsset","LOW"
"Compact Layout","CSS","5","CSS Clamp","緊湊 layout、不可重疊、響應式","BuiltInOrLocalAsset","LOW"
"Compact Layout","CSS","6","CSS Layers","緊湊 layout、不可重疊、響應式","BuiltInOrLocalAsset","LOW"
"Compact Layout","CSS","7","CSS Animations","緊湊 layout、不可重疊、響應式","BuiltInOrLocalAsset","LOW"
"Compact Layout","CSS","8","CSS Scroll Snap","緊湊 layout、不可重疊、響應式","BuiltInOrLocalAsset","LOW"
"Compact Layout","CSS","9","CSS Subgrid","緊湊 layout、不可重疊、響應式","BuiltInOrLocalAsset","LOW"
"Compact Layout","CSS","10","CSS Nesting","緊湊 layout、不可重疊、響應式","BuiltInOrLocalAsset","LOW"
"Local Build","Node","1","vite","本地打包、格式化、壓縮、預覽","NpmLocal","LOW"
"Local Build","Node","2","esbuild","本地打包、格式化、壓縮、預覽","NpmLocal","LOW"
"Local Build","Node","3","rollup","本地打包、格式化、壓縮、預覽","NpmLocal","LOW"
"Local Build","Node","4","terser","本地打包、格式化、壓縮、預覽","NpmLocal","LOW"
"Local Build","Node","5","postcss","本地打包、格式化、壓縮、預覽","NpmLocal","LOW"
"Local Build","Node","6","autoprefixer","本地打包、格式化、壓縮、預覽","NpmLocal","LOW"
"Local Build","Node","7","eslint","本地打包、格式化、壓縮、預覽","NpmLocal","LOW"
"Local Build","Node","8","prettier","本地打包、格式化、壓縮、預覽","NpmLocal","LOW"
"Local Build","Node","9","stylelint","本地打包、格式化、壓縮、預覽","NpmLocal","LOW"
"Local Build","Node","10","browser-sync","本地打包、格式化、壓縮、預覽","NpmLocal","LOW"
"Test Debug Optimize","Mixed","1","Playwright","UI 測試、效能、語法、回歸","PlanOnly","LOW"
"Test Debug Optimize","Mixed","2","Puppeteer","UI 測試、效能、語法、回歸","PlanOnly","LOW"
"Test Debug Optimize","Mixed","3","Lighthouse","UI 測試、效能、語法、回歸","PlanOnly","LOW"
"Test Debug Optimize","Mixed","4","axe-core","UI 測試、效能、語法、回歸","PlanOnly","LOW"
"Test Debug Optimize","Mixed","5","Vitest","UI 測試、效能、語法、回歸","PlanOnly","LOW"
"Test Debug Optimize","Mixed","6","Jest","UI 測試、效能、語法、回歸","PlanOnly","LOW"
"Test Debug Optimize","Mixed","7","pytest","UI 測試、效能、語法、回歸","PlanOnly","LOW"
"Test Debug Optimize","Mixed","8","ruff","UI 測試、效能、語法、回歸","PlanOnly","LOW"
"Test Debug Optimize","Mixed","9","PSScriptAnalyzer","UI 測試、效能、語法、回歸","PlanOnly","LOW"
"Test Debug Optimize","Mixed","10","Pester","UI 測試、效能、語法、回歸","PlanOnly","LOW"
"Secure Future Package","Rust","1","tauri","未來單檔、安全封裝、payload","CargoPlan","LOW"
"Secure Future Package","Rust","2","serde","未來單檔、安全封裝、payload","CargoPlan","LOW"
"Secure Future Package","Rust","3","serde_json","未來單檔、安全封裝、payload","CargoPlan","LOW"
"Secure Future Package","Rust","4","walkdir","未來單檔、安全封裝、payload","CargoPlan","LOW"
"Secure Future Package","Rust","5","zip","未來單檔、安全封裝、payload","CargoPlan","LOW"
"Secure Future Package","Rust","6","aes-gcm","未來單檔、安全封裝、payload","CargoPlan","LOW"
"Secure Future Package","Rust","7","sha2","未來單檔、安全封裝、payload","CargoPlan","LOW"
"Secure Future Package","Rust","8","anyhow","未來單檔、安全封裝、payload","CargoPlan","LOW"
"Secure Future Package","Rust","9","mime_guess","未來單檔、安全封裝、payload","CargoPlan","LOW"
"Secure Future Package","Rust","10","tokio","未來單檔、安全封裝、payload","CargoPlan","LOW"
