"Flow","Language","Rank","Library","Use","InstallMode","Risk"
"Image / Icon Processing","Python","3","imagehash","尺寸、SVG、PNG、相似圖、同圖不同大小","VenvPip","LOW"
"Image / Icon Processing","Python","4","opencv-python","尺寸、SVG、PNG、相似圖、同圖不同大小","VenvPip","LOW"
"Image / Icon Processing","Python","5","scikit-image","尺寸、SVG、PNG、相似圖、同圖不同大小","VenvPip","LOW"
"Image / Icon Processing","Python","6","svgpathtools","尺寸、SVG、PNG、相似圖、同圖不同大小","VenvPip","LOW"
"Image / Icon Processing","Python","7","rembg","尺寸、SVG、PNG、相似圖、同圖不同大小","VenvPip","LOW"
"Image / Icon Processing","Python","8","wand","尺寸、SVG、PNG、相似圖、同圖不同大小","VenvPip","LOW"
"Image / Icon Processing","Python","9","pypng","尺寸、SVG、PNG、相似圖、同圖不同大小","VenvPip","LOW"
"Image / Icon Processing","Python","10","fonttools","尺寸、SVG、PNG、相似圖、同圖不同大小","VenvPip","LOW"
"SVG / Raster Optimize","Node","1","svgo","SVG 壓縮、PNG/JPG/WebP 分析與差異比對","NpmLocal","LOW"
"SVG / Raster Optimize","Node","2","sharp","SVG 壓縮、PNG/JPG/WebP 分析與差異比對","NpmLocal","LOW"
"SVG / Raster Optimize","Node","3","jimp","SVG 壓縮、PNG/JPG/WebP 分析與差異比對","NpmLocal","LOW"
"SVG / Raster Optimize","Node","4","canvas","SVG 壓縮、PNG/JPG/WebP 分析與差異比對","NpmLocal","LOW"
"SVG / Raster Optimize","Node","5","pngjs","SVG 壓縮、PNG/JPG/WebP 分析與差異比對","NpmLocal","LOW"
"SVG / Raster Optimize","Node","6","image-size","SVG 壓縮、PNG/JPG/WebP 分析與差異比對","NpmLocal","LOW"
"SVG / Raster Optimize","Node","7","file-type","SVG 壓縮、PNG/JPG/WebP 分析與差異比對","NpmLocal","LOW"
"SVG / Raster Optimize","Node","8","icojs","SVG 壓縮、PNG/JPG/WebP 分析與差異比對","NpmLocal","LOW"
"SVG / Raster Optimize","Node","9","potrace","SVG 壓縮、PNG/JPG/WebP 分析與差異比對","NpmLocal","LOW"
"SVG / Raster Optimize","Node","10","pixelmatch","SVG 壓縮、PNG/JPG/WebP 分析與差異比對","NpmLocal","LOW"
"HTML Gallery UI","JavaScript","1","Tabulator","圖格、搜尋、篩選、全選、刪除計畫","NpmLocal","LOW"
"HTML Gallery UI","JavaScript","2","DataTables","圖格、搜尋、篩選、全選、刪除計畫","NpmLocal","LOW"
"HTML Gallery UI","JavaScript","3","GridStack.js","圖格、搜尋、篩選、全選、刪除計畫","NpmLocal","LOW"
"HTML Gallery UI","JavaScript","4","SortableJS","圖格、搜尋、篩選、全選、刪除計畫","NpmLocal","LOW"
"HTML Gallery UI","JavaScript","5","Interact.js","圖格、搜尋、篩選、全選、刪除計畫","NpmLocal","LOW"
"HTML Gallery UI","JavaScript","6","Fuse.js","圖格、搜尋、篩選、全選、刪除計畫","NpmLocal","LOW"
"HTML Gallery UI","JavaScript","7","Floating UI","圖格、搜尋、篩選、全選、刪除計畫","NpmLocal","LOW"
"HTML Gallery UI","JavaScript","8","Masonry","圖格、搜尋、篩選、全選、刪除計畫","NpmLocal","LOW"
"HTML Gallery UI","JavaScript","9","Isotope","圖格、搜尋、篩選、全選、刪除計畫","NpmLocal","LOW"
"HTML Gallery UI","JavaScript","10","Prism.js","圖格、搜尋、篩選、全選、刪除計畫","NpmLocal","LOW"
"Visual Template Preview","JavaScript","1","Plotly.js","模板、圖表、流程圖預覽","NpmLocal","LOW"
"Visual Template Preview","JavaScript","2","Apache ECharts","模板、圖表、流程圖預覽","NpmLocal","LOW"
"Visual Template Preview","JavaScript","3","Chart.js","模板、圖表、流程圖預覽","NpmLocal","LOW"
"Visual Template Preview","JavaScript","4","D3.js","模板、圖表、流程圖預覽","NpmLocal","LOW"
"Visual Template Preview","JavaScript","5","Vega-Lite","模板、圖表、流程圖預覽","NpmLocal","LOW"
"Visual Template Preview","JavaScript","6","uPlot","模板、圖表、流程圖預覽","NpmLocal","LOW"
"Visual Template Preview","JavaScript","7","Observable Plot","模板、圖表、流程圖預覽","NpmLocal","LOW"
"Visual Template Preview","JavaScript","8","ApexCharts","模板、圖表、流程圖預覽","NpmLocal","LOW"
"Visual Template Preview","JavaScript","9","Billboard.js","模板、圖表、流程圖預覽","NpmLocal","LOW"
"Visual Template Preview","JavaScript","10","Mermaid","模板、圖表、流程圖預覽","NpmLocal","LOW"
"Compact Layout","CSS","1","CSS Grid","緊湊圖格、不可重疊、響應式","BuiltInOrLocalAsset","LOW"
"Compact Layout","CSS","2","Flexbox","緊湊圖格、不可重疊、響應式","BuiltInOrLocalAsset","LOW"
"Compact Layout","CSS","3","Container Queries","緊湊圖格、不可重疊、響應式","BuiltInOrLocalAsset","LOW"
"Compact Layout","CSS","4","CSS Variables","緊湊圖格、不可重疊、響應式","BuiltInOrLocalAsset","LOW"
"Compact Layout","CSS","5","CSS Clamp","緊湊圖格、不可重疊、響應式","BuiltInOrLocalAsset","LOW"
"Compact Layout","CSS","6","CSS Layers","緊湊圖格、不可重疊、響應式","BuiltInOrLocalAsset","LOW"
"Compact Layout","CSS","7","CSS Animations","緊湊圖格、不可重疊、響應式","BuiltInOrLocalAsset","LOW"
"Compact Layout","CSS","8","CSS Scroll Snap","緊湊圖格、不可重疊、響應式","BuiltInOrLocalAsset","LOW"
"Compact Layout","CSS","9","CSS Subgrid","緊湊圖格、不可重疊、響應式","BuiltInOrLocalAsset","LOW"
"Compact Layout","CSS","10","CSS Nesting","緊湊圖格、不可重疊、響應式","BuiltInOrLocalAsset","LOW"
"HTML Component Split","Python","1","BeautifulSoup4","HTML/CSS parsing、component split","VenvPip","LOW"
"HTML Component Split","Python","2","lxml","HTML/CSS parsing、component split","VenvPip","LOW"
"HTML Component Split","Python","3","html5lib","HTML/CSS parsing、component split","VenvPip","LOW"
"HTML Component Split","Python","4","Jinja2","HTML/CSS parsing、component split","VenvPip","LOW"
"HTML Component Split","Python","5","MarkupSafe","HTML/CSS parsing、component split","VenvPip","LOW"
"HTML Component Split","Python","6","Pydantic","HTML/CSS parsing、component split","VenvPip","LOW"
"HTML Component Split","Python","7","jsonschema","HTML/CSS parsing、component split","VenvPip","LOW"
"HTML Component Split","Python","8","TinyCSS2","HTML/CSS parsing、component split","VenvPip","LOW"
"HTML Component Split","Python","9","cssselect","HTML/CSS parsing、component split","VenvPip","LOW"
"HTML Component Split","Python","10","Premailer","HTML/CSS parsing、component split","VenvPip","LOW"
"Test Debug Optimize","Mixed","1","Playwright","UI 測試、效能、語法、回歸","PlanOnly","LOW"
"Test Debug Optimize","Mixed","2","Puppeteer","UI 測試、效能、語法、回歸","PlanOnly","LOW"
"Test Debug Optimize","Mixed","3","Lighthouse","UI 測試、效能、語法、回歸","PlanOnly","LOW"
"Test Debug Optimize","Mixed","4","axe-core","UI 測試、效能、語法、回歸","PlanOnly","LOW"
"Test Debug Optimize","Mixed","5","Vitest","UI 測試、效能、語法、回歸","PlanOnly","LOW"
"Test Debug Optimize","Mixed","6","Jest","UI 測試、效能、語法、回歸","PlanOnly","LOW"
"Test Debug Optimize","Mixed","7","pytest","UI 測試、效能、語法、回歸","PlanOnly","LOW"
"Test Debug Optimize","Mixed","8","ruff","UI 測試、效能、語法、回歸","PlanOnly","LOW"
"Test Debug Optimize","Mixed","9","PSScriptAnalyzer","UI 測試、效能、語法、回歸","PlanOnly","LOW"
"Test Debug Optimize","Mixed","10","Pester","UI 測試、效能、語法、回歸","PlanOnly","LOW"
"Secure Future Package","Rust","1","tauri","未來單檔、安全封裝、payload","CargoPlan","LOW"
"Secure Future Package","Rust","2","serde","未來單檔、安全封裝、payload","CargoPlan","LOW"
"Secure Future Package","Rust","3","serde_json","未來單檔、安全封裝、payload","CargoPlan","LOW"
"Secure Future Package","Rust","4","walkdir","未來單檔、安全封裝、payload","CargoPlan","LOW"
"Secure Future Package","Rust","5","zip","未來單檔、安全封裝、payload","CargoPlan","LOW"
"Secure Future Package","Rust","6","aes-gcm","未來單檔、安全封裝、payload","CargoPlan","LOW"
"Secure Future Package","Rust","7","sha2","未來單檔、安全封裝、payload","CargoPlan","LOW"
"Secure Future Package","Rust","8","anyhow","未來單檔、安全封裝、payload","CargoPlan","LOW"
"Secure Future Package","Rust","9","mime_guess","未來單檔、安全封裝、payload","CargoPlan","LOW"
"Secure Future Package","Rust","10","tokio","未來單檔、安全封裝、payload","CargoPlan","LOW"
