"def_priority","def_lane","def_target","def_owner","def_action","def_parallel_safe"
"P0","DOMAIN_DECISION","TW_TICKER_REGEX","VDF","Review and freeze canonical owner/value","false"
"P0","DOMAIN_DECISION","RequiredFields","VDF","Review and freeze canonical owner/value","false"
"P0","DOMAIN_DECISION","changed_units","VRN/VDF","Review and freeze canonical owner/value","false"
"P0","DOMAIN_DECISION","unit_x","VRN/VDF","Review and freeze canonical owner/value","false"
"P0","DOMAIN_DECISION","target_field","VRN/VDF","Review and freeze canonical owner/value","false"
"P0","DOMAIN_DECISION","mixing_policy","VDF","Review and freeze canonical owner/value","false"
"P0","DOMAIN_DECISION","calendar_policy","VIA","Review and freeze canonical owner/value","false"
"P0","DOMAIN_DECISION","fill_policy","VIA","Review and freeze canonical owner/value","false"
"P0","DOMAIN_DECISION","left_ticker","VDF","Review and freeze canonical owner/value","false"
"P0","DOMAIN_DECISION","alignment_policy","VDF","Review and freeze canonical owner/value","false"
"P0","DOMAIN_DECISION","addFields","VDF","Review and freeze canonical owner/value","false"
"P0","DOMAIN_DECISION","right_ticker","VDF","Review and freeze canonical owner/value","false"
"P0","DOMAIN_DECISION","schemas","VRN/VDF","Review and freeze canonical owner/value","false"
"P0","DOMAIN_DECISION","EXTRA_TICKERS","VDF","Review and freeze canonical owner/value","false"
"P0","DOMAIN_DECISION","weekend_holiday_policy","VIA","Review and freeze canonical owner/value","false"
"P0","DOMAIN_DECISION","unit_twd","VRN/VDF","Review and freeze canonical owner/value","false"
"P0","DOMAIN_DECISION","fred_api_key_exists","VDF","Review and freeze canonical owner/value","false"
"P0","DOMAIN_DECISION","merge_policy_gate","VDF","Review and freeze canonical owner/value","false"
"P0","DOMAIN_DECISION","vrn_merge_yfinance_ticker","VDF","Review and freeze canonical owner/value","false"
"P0","DOMAIN_DECISION","ticker_regex","VDF","Review and freeze canonical owner/value","false"
"P0","DOMAIN_DECISION","schema_gate","VRN/VDF","Review and freeze canonical owner/value","false"
"P0","DOMAIN_DECISION","factset_tw_ticker","VDF","Review and freeze canonical owner/value","false"
"P0","DOMAIN_DECISION","factset_tw_yfinance_ticker","VDF","Review and freeze canonical owner/value","false"
"P0","DOMAIN_DECISION","yf_tw_ticker","VDF","Review and freeze canonical owner/value","false"
"P0","DOMAIN_DECISION","vrn_merge_ticker","VDF","Review and freeze canonical owner/value","false"
"P0","DOMAIN_DECISION","schema_id","VDF","Review and freeze canonical owner/value","false"
"P0","DOMAIN_DECISION","yf_tw_yfinance_ticker","VDF","Review and freeze canonical owner/value","false"
"P0","DOMAIN_DECISION","schema_rows","VRN/VDF","Review and freeze canonical owner/value","false"
"P0","DOMAIN_DECISION","ticker_summary_csv","VDF","Review and freeze canonical owner/value","false"
"P0","DOMAIN_DECISION","missing_unit","VRN/VDF","Review and freeze canonical owner/value","false"
"P0","DOMAIN_DECISION","unit_band_yellow","VRN/VDF","Review and freeze canonical owner/value","false"
"P0","DOMAIN_DECISION","before_missing_ticker","VDF","Review and freeze canonical owner/value","false"
"P0","DOMAIN_DECISION","ticker_tokens","VDF","Review and freeze canonical owner/value","false"
"P0","DOMAIN_DECISION","def_PARAM_HARDGATE_DIR","VRN/VDF","Review and freeze canonical owner/value","false"
"P0","DOMAIN_DECISION","unit_band_green","VRN/VDF","Review and freeze canonical owner/value","false"
"P0","DOMAIN_DECISION","unit_review_rows","VRN/VDF","Review and freeze canonical owner/value","false"
"P0","DOMAIN_DECISION","after_missing_ticker","VDF","Review and freeze canonical owner/value","false"
"P0","DOMAIN_DECISION","unit_review_csv","VRN/VDF","Review and freeze canonical owner/value","false"
"P0","DOMAIN_DECISION","required_fields","VDF","Review and freeze canonical owner/value","false"
"P0","DOMAIN_DECISION","policy_id","VIA","Review and freeze canonical owner/value","false"
"P0","DOMAIN_DECISION","tw_bloomberg_ticker","VDF","Review and freeze canonical owner/value","false"
"P0","DOMAIN_DECISION","write_policy","VDF","Review and freeze canonical owner/value","false"
"P0","DOMAIN_DECISION","MACRO_CHINA","VIA_REVIEW_BOARD","Review and freeze canonical owner/value","false"
"P0","DOMAIN_DECISION","VDF_Global_Macro","VDF","Review and freeze canonical owner/value","false"
"P0","DOMAIN_DECISION","text_fields","VRN/VDF","Review and freeze canonical owner/value","false"
"P0","DOMAIN_DECISION","recommended_fields","VDF","Review and freeze canonical owner/value","false"
"P0","DOMAIN_DECISION","fred_keys","VDF","Review and freeze canonical owner/value","false"
"P0","DOMAIN_DECISION","VRN_TickerRegexSSOT","VDF","Review and freeze canonical owner/value","false"
"P0","DOMAIN_DECISION","VDF_Global_Commodity_AkShare_Candidate","VDF","Review and freeze canonical owner/value","false"
"P0","DOMAIN_DECISION","schema_warn_count","VRN/VDF","Review and freeze canonical owner/value","false"
"P0","DOMAIN_DECISION","has_yfinance_data","VDF","Review and freeze canonical owner/value","false"
"P0","DOMAIN_DECISION","schema_role","VRN/VDF","Review and freeze canonical owner/value","false"
"P0","DOMAIN_DECISION","akshare_import","VDF","Review and freeze canonical owner/value","false"
"P0","DOMAIN_DECISION","EQUITY_FLAT_SCHEMA","VDF","Review and freeze canonical owner/value","false"
"P0","DOMAIN_DECISION","consensus_by_ticker","VDF","Review and freeze canonical owner/value","false"
"P0","DOMAIN_DECISION","akshare_version","VDF","Review and freeze canonical owner/value","false"
"P0","DOMAIN_DECISION","schema_run","VRN/VDF","Review and freeze canonical owner/value","false"
"P1","PATH_ALIAS","FUNCTIONAL_MODULES_DOWNLOADS","VIA/VDF","Replace hard path with alias in future generated scripts only","false"
"P1","PATH_ALIAS","PYTHON_ENV_ONEDRIVE","VIA/VDF","Replace hard path with alias in future generated scripts only","false"
"P1","PATH_ALIAS","SUPPORTIVE_MODULES_DOWNLOADS","VIA/VDF","Replace hard path with alias in future generated scripts only","false"
"P1","PATH_ALIAS","USER_DOWNLOADS","VIA/VDF","Replace hard path with alias in future generated scripts only","false"
"P1","PATH_ALIAS","VDF_DIR_DOWNLOADS","VIA/VDF","Replace hard path with alias in future generated scripts only","false"
"P1","PATH_ALIAS","VIA_ROOT_DOWNLOADS","VIA/VDF","Replace hard path with alias in future generated scripts only","false"
"P1","PATH_ALIAS","VIA_ROOT_DOWNLOADS","VIA/VDF","Replace hard path with alias in future generated scripts only","false"
"P1","PATH_ALIAS","VIA_ROOT_DOWNLOADS","VIA/VDF","Replace hard path with alias in future generated scripts only","false"
"P1","PATH_ALIAS","VIA_ROOT_DOWNLOADS","VIA/VDF","Replace hard path with alias in future generated scripts only","false"
"P1","PATH_ALIAS","VIA_ROOT_DOWNLOADS","VIA/VDF","Replace hard path with alias in future generated scripts only","false"
"P1","PATH_ALIAS","VIA_ROOT_DOWNLOADS","VIA/VDF","Replace hard path with alias in future generated scripts only","false"
"P1","PATH_ALIAS","VIA_ROOT_ONEDRIVE_LEGACY","VIA/VDF","Replace hard path with alias in future generated scripts only","false"
"P2","ENGINE_BRIDGE","VDF","VDF","Create sandbox adapter bridge and smoke test","true_after_P0_P1"
"P2","ENGINE_BRIDGE","VIA","VIA","Create sandbox adapter bridge and smoke test","true_after_P0_P1"
"P2","ENGINE_BRIDGE","VRN","VRN","Create sandbox adapter bridge and smoke test","true_after_P0_P1"
"P3","FLOW_CLOSEOUT","FLOW_01_SUPPORTIVE_MODULES","VIA","parameter contract + invocation contract","scan parallel; repair sequential"
"P3","FLOW_CLOSEOUT","FLOW_02_FUNCTIONAL_MODULES","VIA","schema owner and visual owner lock","read-only parallel"
"P3","FLOW_CLOSEOUT","FLOW_03_PARAMETERS_SSOT","VIA","freeze P0 owner decisions","P0 sequential; P3 parallel"
"P3","FLOW_CLOSEOUT","FLOW_04_ENGINE_BRIDGE","VIA","adapter bridge smoke test","one child per subsystem after P0/P1"
"P3","FLOW_CLOSEOUT","FLOW_05_UI_ONE_INTERFACE","VIA","equal-height layout + no-wrap overflow control","safe after data contract stable"
