"Round","Phase","Layer","Item","Status","Risk","Class","Message","Path"
"1","Comprehensive Fix Planning","ANCHOR","JsonOutput","MISSING_OR_NOT_APPLICABLE","LOW","PARALLEL_FIXABLE","Category=REPORT; Count=0","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_via_safe_polyglot_optimizer\RUN_20260619_132723_VIA_SAFE_POLYGLOT_OPTIMIZER_v0102\sandbox\Read_Me_VeritasNexusCore.md"
"1","Comprehensive Fix Planning","ANCHOR","CsvOutput","MISSING_OR_NOT_APPLICABLE","LOW","PARALLEL_FIXABLE","Category=REPORT; Count=0","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_via_safe_polyglot_optimizer\RUN_20260619_132723_VIA_SAFE_POLYGLOT_OPTIMIZER_v0102\sandbox\Read_Me_VeritasNexusCore.md"
"1","Comprehensive Fix Planning","ANCHOR","Sandbox","MISSING_OR_NOT_APPLICABLE","LOW","PARALLEL_FIXABLE","Category=SAFETY; Count=0","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_via_safe_polyglot_optimizer\RUN_20260619_132723_VIA_SAFE_POLYGLOT_OPTIMIZER_v0102\sandbox\Read_Me_VeritasNexusCore.md"
"1","Comprehensive Fix Planning","ANCHOR","SelfTest","MISSING_OR_NOT_APPLICABLE","LOW","PARALLEL_FIXABLE","Category=VALIDATION; Count=0","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_via_safe_polyglot_optimizer\RUN_20260619_132723_VIA_SAFE_POLYGLOT_OPTIMIZER_v0102\sandbox\Read_Me_VeritasNexusCore.md"
"1","Comprehensive Fix Planning","ANCHOR","OpenReport","MISSING_OR_NOT_APPLICABLE","LOW","PARALLEL_FIXABLE","Category=UI; Count=0","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_via_safe_polyglot_optimizer\RUN_20260619_132723_VIA_SAFE_POLYGLOT_OPTIMIZER_v0102\sandbox\Read_Me_VeritasNexusCore.md"
"1","Comprehensive Fix Planning","ANCHOR","Functions","FOUND","LOW","PARALLEL_FIXABLE","Category=STRUCTURE; Count=15","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_via_safe_polyglot_optimizer\RUN_20260619_132723_VIA_SAFE_POLYGLOT_OPTIMIZER_v0102\sandbox\Invoke-VeritasNexusCore.ps1"
"1","Comprehensive Fix Planning","ANCHOR","def_Functions","FOUND","LOW","PARALLEL_FIXABLE","Category=STRUCTURE; Count=15","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_via_safe_polyglot_optimizer\RUN_20260619_132723_VIA_SAFE_POLYGLOT_OPTIMIZER_v0102\sandbox\Invoke-VeritasNexusCore.ps1"
"1","Comprehensive Fix Planning","ANCHOR","ParamBlock","FOUND","LOW","PARALLEL_FIXABLE","Category=ENTRY; Count=4","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_via_safe_polyglot_optimizer\RUN_20260619_132723_VIA_SAFE_POLYGLOT_OPTIMIZER_v0102\sandbox\Invoke-VeritasNexusCore.ps1"
"1","Comprehensive Fix Planning","ANCHOR","HtmlReport","FOUND","LOW","PARALLEL_FIXABLE","Category=REPORT; Count=8","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_via_safe_polyglot_optimizer\RUN_20260619_132723_VIA_SAFE_POLYGLOT_OPTIMIZER_v0102\sandbox\Invoke-VeritasNexusCore.ps1"
"1","Comprehensive Fix Planning","ANCHOR","JsonOutput","FOUND","LOW","PARALLEL_FIXABLE","Category=REPORT; Count=8","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_via_safe_polyglot_optimizer\RUN_20260619_132723_VIA_SAFE_POLYGLOT_OPTIMIZER_v0102\sandbox\Invoke-VeritasNexusCore.ps1"
"1","Comprehensive Fix Planning","ANCHOR","CsvOutput","FOUND","LOW","PARALLEL_FIXABLE","Category=REPORT; Count=2","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_via_safe_polyglot_optimizer\RUN_20260619_132723_VIA_SAFE_POLYGLOT_OPTIMIZER_v0102\sandbox\Invoke-VeritasNexusCore.ps1"
"1","Comprehensive Fix Planning","ANCHOR","Sandbox","MISSING_OR_NOT_APPLICABLE","LOW","PARALLEL_FIXABLE","Category=SAFETY; Count=0","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_via_safe_polyglot_optimizer\RUN_20260619_132723_VIA_SAFE_POLYGLOT_OPTIMIZER_v0102\sandbox\Invoke-VeritasNexusCore.ps1"
"1","Comprehensive Fix Planning","ANCHOR","SelfTest","MISSING_OR_NOT_APPLICABLE","LOW","PARALLEL_FIXABLE","Category=VALIDATION; Count=0","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_via_safe_polyglot_optimizer\RUN_20260619_132723_VIA_SAFE_POLYGLOT_OPTIMIZER_v0102\sandbox\Invoke-VeritasNexusCore.ps1"
"1","Comprehensive Fix Planning","ANCHOR","OpenReport","FOUND","LOW","PARALLEL_FIXABLE","Category=UI; Count=7","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_via_safe_polyglot_optimizer\RUN_20260619_132723_VIA_SAFE_POLYGLOT_OPTIMIZER_v0102\sandbox\Invoke-VeritasNexusCore.ps1"
"1","Comprehensive Fix Planning","ANCHOR","Functions","FOUND","LOW","PARALLEL_FIXABLE","Category=STRUCTURE; Count=15","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_via_safe_polyglot_optimizer\RUN_20260619_132723_VIA_SAFE_POLYGLOT_OPTIMIZER_v0102\sandbox\Invoke-VIA-PolyglotCheckTestRepair-v0101.ps1"
"1","Comprehensive Fix Planning","ANCHOR","def_Functions","FOUND","LOW","PARALLEL_FIXABLE","Category=STRUCTURE; Count=14","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_via_safe_polyglot_optimizer\RUN_20260619_132723_VIA_SAFE_POLYGLOT_OPTIMIZER_v0102\sandbox\Invoke-VIA-PolyglotCheckTestRepair-v0101.ps1"
"1","Comprehensive Fix Planning","ANCHOR","ParamBlock","FOUND","LOW","PARALLEL_FIXABLE","Category=ENTRY; Count=8","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_via_safe_polyglot_optimizer\RUN_20260619_132723_VIA_SAFE_POLYGLOT_OPTIMIZER_v0102\sandbox\Invoke-VIA-PolyglotCheckTestRepair-v0101.ps1"
"1","Comprehensive Fix Planning","ANCHOR","HtmlReport","FOUND","LOW","PARALLEL_FIXABLE","Category=REPORT; Count=1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_via_safe_polyglot_optimizer\RUN_20260619_132723_VIA_SAFE_POLYGLOT_OPTIMIZER_v0102\sandbox\Invoke-VIA-PolyglotCheckTestRepair-v0101.ps1"
"1","Comprehensive Fix Planning","ANCHOR","JsonOutput","FOUND","LOW","PARALLEL_FIXABLE","Category=REPORT; Count=3","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_via_safe_polyglot_optimizer\RUN_20260619_132723_VIA_SAFE_POLYGLOT_OPTIMIZER_v0102\sandbox\Invoke-VIA-PolyglotCheckTestRepair-v0101.ps1"
"1","Comprehensive Fix Planning","ANCHOR","CsvOutput","FOUND","LOW","PARALLEL_FIXABLE","Category=REPORT; Count=4","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_via_safe_polyglot_optimizer\RUN_20260619_132723_VIA_SAFE_POLYGLOT_OPTIMIZER_v0102\sandbox\Invoke-VIA-PolyglotCheckTestRepair-v0101.ps1"
"1","Comprehensive Fix Planning","ANCHOR","Sandbox","MISSING_OR_NOT_APPLICABLE","LOW","PARALLEL_FIXABLE","Category=SAFETY; Count=0","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_via_safe_polyglot_optimizer\RUN_20260619_132723_VIA_SAFE_POLYGLOT_OPTIMIZER_v0102\sandbox\Invoke-VIA-PolyglotCheckTestRepair-v0101.ps1"
"1","Comprehensive Fix Planning","ANCHOR","SelfTest","MISSING_OR_NOT_APPLICABLE","LOW","PARALLEL_FIXABLE","Category=VALIDATION; Count=0","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_via_safe_polyglot_optimizer\RUN_20260619_132723_VIA_SAFE_POLYGLOT_OPTIMIZER_v0102\sandbox\Invoke-VIA-PolyglotCheckTestRepair-v0101.ps1"
"1","Comprehensive Fix Planning","ANCHOR","OpenReport","MISSING_OR_NOT_APPLICABLE","LOW","PARALLEL_FIXABLE","Category=UI; Count=0","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_via_safe_polyglot_optimizer\RUN_20260619_132723_VIA_SAFE_POLYGLOT_OPTIMIZER_v0102\sandbox\Invoke-VIA-PolyglotCheckTestRepair-v0101.ps1"
"1","Comprehensive Fix Planning","SUBPROJECT_DISCOVERY","_activation","DISCOVERED","LOW","PARALLEL_FIXABLE","Python=False; PowerShell=True; JavaScript=False; Protected=False","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_activation"
"1","Comprehensive Fix Planning","SUBPROJECT_DISCOVERY","_active","DISCOVERED","LOW","PARALLEL_FIXABLE","Python=False; PowerShell=False; JavaScript=False; Protected=False","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_active"
"1","Comprehensive Fix Planning","SUBPROJECT_DISCOVERY","_audit","DISCOVERED","LOW","PARALLEL_FIXABLE","Python=True; PowerShell=False; JavaScript=False; Protected=False","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_audit"
"1","Comprehensive Fix Planning","SUBPROJECT_DISCOVERY","_disk_audit","DISCOVERED","LOW","PARALLEL_FIXABLE","Python=False; PowerShell=False; JavaScript=False; Protected=False","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_disk_audit"
"1","Comprehensive Fix Planning","SUBPROJECT_DISCOVERY","_engine_forge","DISCOVERED","LOW","PARALLEL_FIXABLE","Python=False; PowerShell=False; JavaScript=False; Protected=False","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_engine_forge"
"1","Comprehensive Fix Planning","SUBPROJECT_DISCOVERY","_freeze","DISCOVERED","LOW","PARALLEL_FIXABLE","Python=False; PowerShell=True; JavaScript=False; Protected=False","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_freeze"
"1","Comprehensive Fix Planning","SUBPROJECT_DISCOVERY","_oneclick","DISCOVERED","LOW","PARALLEL_FIXABLE","Python=False; PowerShell=True; JavaScript=False; Protected=False","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_oneclick"
"1","Comprehensive Fix Planning","SUBPROJECT_DISCOVERY","_via_anchor_matrix_runs","DISCOVERED","LOW","PARALLEL_FIXABLE","Python=False; PowerShell=False; JavaScript=False; Protected=False","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_via_anchor_matrix_runs"
"1","Comprehensive Fix Planning","SUBPROJECT_DISCOVERY","_via_bootstrap_scripts","DISCOVERED","LOW","PARALLEL_FIXABLE","Python=False; PowerShell=True; JavaScript=False; Protected=False","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_via_bootstrap_scripts"
"1","Comprehensive Fix Planning","SUBPROJECT_DISCOVERY","_via_code_artifact_reclaimer_runs","DISCOVERED","LOW","PARALLEL_FIXABLE","Python=False; PowerShell=False; JavaScript=False; Protected=False","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_via_code_artifact_reclaimer_runs"
"1","Comprehensive Fix Planning","SUBPROJECT_DISCOVERY","_via_deep_reclaim_survey_runs","DISCOVERED","LOW","PARALLEL_FIXABLE","Python=False; PowerShell=True; JavaScript=False; Protected=False","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_via_deep_reclaim_survey_runs"
"1","Comprehensive Fix Planning","SUBPROJECT_DISCOVERY","_via_disk_first_stabilizer_runs","DISCOVERED","LOW","PARALLEL_FIXABLE","Python=False; PowerShell=False; JavaScript=False; Protected=False","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_via_disk_first_stabilizer_runs"
"1","Comprehensive Fix Planning","SUBPROJECT_DISCOVERY","_via_disk_guardian_deepmap_runs","DISCOVERED","LOW","PARALLEL_FIXABLE","Python=False; PowerShell=False; JavaScript=False; Protected=False","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_via_disk_guardian_deepmap_runs"
"1","Comprehensive Fix Planning","SUBPROJECT_DISCOVERY","_via_disk_guardian_runs","DISCOVERED","LOW","PARALLEL_FIXABLE","Python=False; PowerShell=False; JavaScript=False; Protected=False","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_via_disk_guardian_runs"
"1","Comprehensive Fix Planning","SUBPROJECT_DISCOVERY","_via_emergency_space_release_runs","DISCOVERED","LOW","PARALLEL_FIXABLE","Python=False; PowerShell=False; JavaScript=False; Protected=False","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_via_emergency_space_release_runs"
"1","Comprehensive Fix Planning","SUBPROJECT_DISCOVERY","_via_false_positive_rule_lock_runs","DISCOVERED","LOW","PARALLEL_FIXABLE","Python=False; PowerShell=False; JavaScript=False; Protected=False","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_via_false_positive_rule_lock_runs"
"1","Comprehensive Fix Planning","SUBPROJECT_DISCOVERY","_via_final_sandbox_consolidation_runs","DISCOVERED","LOW","PARALLEL_FIXABLE","Python=False; PowerShell=True; JavaScript=False; Protected=False","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_via_final_sandbox_consolidation_runs"
"1","Comprehensive Fix Planning","SUBPROJECT_DISCOVERY","_via_final_usertest_safe_probe_runs","DISCOVERED","LOW","PARALLEL_FIXABLE","Python=False; PowerShell=True; JavaScript=False; Protected=False","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_via_final_usertest_safe_probe_runs"
"1","Comprehensive Fix Planning","SUBPROJECT_DISCOVERY","_via_fiveflow_completion_runs","DISCOVERED","LOW","PARALLEL_FIXABLE","Python=False; PowerShell=True; JavaScript=False; Protected=False","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_via_fiveflow_completion_runs"
"1","Comprehensive Fix Planning","SUBPROJECT_DISCOVERY","_via_guarded_root_entry_promotion_runs","DISCOVERED","LOW","PARALLEL_FIXABLE","Python=False; PowerShell=True; JavaScript=False; Protected=False","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_via_guarded_root_entry_promotion_runs"
"1","Comprehensive Fix Planning","SUBPROJECT_DISCOVERY","_via_large_archive_delete_gate_runs","DISCOVERED","LOW","PARALLEL_FIXABLE","Python=False; PowerShell=False; JavaScript=False; Protected=False","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_via_large_archive_delete_gate_runs"
"1","Comprehensive Fix Planning","SUBPROJECT_DISCOVERY","_via_manual_reclaim_activation_hold_runs","DISCOVERED","LOW","PARALLEL_FIXABLE","Python=False; PowerShell=True; JavaScript=False; Protected=False","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_via_manual_reclaim_activation_hold_runs"
"1","Comprehensive Fix Planning","SUBPROJECT_DISCOVERY","_via_onedrive_localcopy_reclaimer_runs","DISCOVERED","LOW","PARALLEL_FIXABLE","Python=False; PowerShell=False; JavaScript=False; Protected=False","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_via_onedrive_localcopy_reclaimer_runs"
"1","Comprehensive Fix Planning","SUBPROJECT_DISCOVERY","_via_onedrive_release_runs","DISCOVERED","LOW","PARALLEL_FIXABLE","Python=False; PowerShell=False; JavaScript=False; Protected=False","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_via_onedrive_release_runs"
"1","Comprehensive Fix Planning","SUBPROJECT_DISCOVERY","_via_panorama_auditor_runs","DISCOVERED","LOW","PARALLEL_FIXABLE","Python=False; PowerShell=False; JavaScript=False; Protected=False","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_via_panorama_auditor_runs"
"1","Comprehensive Fix Planning","SUBPROJECT_DISCOVERY","_via_post_onedrive_release_verify_runs","DISCOVERED","LOW","PARALLEL_FIXABLE","Python=False; PowerShell=False; JavaScript=False; Protected=False","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_via_post_onedrive_release_verify_runs"
"1","Comprehensive Fix Planning","SUBPROJECT_DISCOVERY","_via_production_readiness_runs","DISCOVERED","LOW","PARALLEL_FIXABLE","Python=False; PowerShell=True; JavaScript=False; Protected=False","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_via_production_readiness_runs"
"1","Comprehensive Fix Planning","SUBPROJECT_DISCOVERY","_via_project_review_runs","DISCOVERED","LOW","PARALLEL_FIXABLE","Python=False; PowerShell=False; JavaScript=False; Protected=False","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_via_project_review_runs"
"1","Comprehensive Fix Planning","SUBPROJECT_DISCOVERY","_via_real_vrn_candidate_runs","DISCOVERED","LOW","PARALLEL_FIXABLE","Python=False; PowerShell=True; JavaScript=False; Protected=False","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_via_real_vrn_candidate_runs"
"1","Comprehensive Fix Planning","SUBPROJECT_DISCOVERY","_via_remaining_work_runs","DISCOVERED","LOW","PARALLEL_FIXABLE","Python=False; PowerShell=True; JavaScript=False; Protected=False","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_via_remaining_work_runs"
"1","Comprehensive Fix Planning","SUBPROJECT_DISCOVERY","_via_safe_cleanup_planner_runs","DISCOVERED","LOW","PARALLEL_FIXABLE","Python=False; PowerShell=False; JavaScript=False; Protected=False","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_via_safe_cleanup_planner_runs"
"1","Comprehensive Fix Planning","SUBPROJECT_DISCOVERY","_via_safe_wrapper_execution_monitor_runs","DISCOVERED","LOW","PARALLEL_FIXABLE","Python=False; PowerShell=True; JavaScript=False; Protected=False","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_via_safe_wrapper_execution_monitor_runs"
"1","Comprehensive Fix Planning","SUBPROJECT_DISCOVERY","_via_sandbox_execution_monitor_runs","DISCOVERED","LOW","PARALLEL_FIXABLE","Python=False; PowerShell=True; JavaScript=False; Protected=False","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_via_sandbox_execution_monitor_runs"
"1","Comprehensive Fix Planning","SUBPROJECT_DISCOVERY","_via_sandbox_production_gate_runs","DISCOVERED","LOW","PARALLEL_FIXABLE","Python=False; PowerShell=True; JavaScript=False; Protected=False","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_via_sandbox_production_gate_runs"
"1","Comprehensive Fix Planning","SUBPROJECT_DISCOVERY","_via_sixlane_sandbox_wrapper_forge_runs","DISCOVERED","LOW","PARALLEL_FIXABLE","Python=False; PowerShell=True; JavaScript=False; Protected=False","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_via_sixlane_sandbox_wrapper_forge_runs"
"1","Comprehensive Fix Planning","SUBPROJECT_DISCOVERY","_via_source_blocker_patch_runs","DISCOVERED","LOW","PARALLEL_FIXABLE","Python=False; PowerShell=False; JavaScript=False; Protected=False","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_via_source_blocker_patch_runs"
"1","Comprehensive Fix Planning","SUBPROJECT_DISCOVERY","_via_stability_activation_preflight_runs","DISCOVERED","LOW","PARALLEL_FIXABLE","Python=False; PowerShell=False; JavaScript=False; Protected=False","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_via_stability_activation_preflight_runs"
"1","Comprehensive Fix Planning","SUBPROJECT_DISCOVERY","_via_vrn_entry_design_runs","DISCOVERED","LOW","PARALLEL_FIXABLE","Python=False; PowerShell=True; JavaScript=False; Protected=False","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_via_vrn_entry_design_runs"
"1","Comprehensive Fix Planning","SUBPROJECT_DISCOVERY","_vrn_vdf_active_script_line_inspector_runs","DISCOVERED","LOW","PARALLEL_FIXABLE","Python=False; PowerShell=False; JavaScript=False; Protected=False","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_vrn_vdf_active_script_line_inspector_runs"
"1","Comprehensive Fix Planning","SUBPROJECT_DISCOVERY","_vrn_vdf_false_positive_crusher_runs","DISCOVERED","LOW","PARALLEL_FIXABLE","Python=False; PowerShell=False; JavaScript=False; Protected=False","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_vrn_vdf_false_positive_crusher_runs"
"1","Comprehensive Fix Planning","SUBPROJECT_DISCOVERY","_vrn_vdf_final_active_lock_authorization_runs","DISCOVERED","LOW","PARALLEL_FIXABLE","Python=False; PowerShell=False; JavaScript=False; Protected=False","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_vrn_vdf_final_active_lock_authorization_runs"
"1","Comprehensive Fix Planning","SUBPROJECT_DISCOVERY","_vrn_vdf_final_active_lock_review_package_runs","DISCOVERED","LOW","PARALLEL_FIXABLE","Python=False; PowerShell=False; JavaScript=False; Protected=False","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_vrn_vdf_final_active_lock_review_package_runs"
"1","Comprehensive Fix Planning","SUBPROJECT_DISCOVERY","_vrn_vdf_final_candidate_seal_runs","DISCOVERED","LOW","PARALLEL_FIXABLE","Python=False; PowerShell=False; JavaScript=False; Protected=False","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_vrn_vdf_final_candidate_seal_runs"
"1","Comprehensive Fix Planning","SUBPROJECT_DISCOVERY","_vrn_vdf_final_risk_downgrade_runs","DISCOVERED","LOW","PARALLEL_FIXABLE","Python=False; PowerShell=False; JavaScript=False; Protected=False","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_vrn_vdf_final_risk_downgrade_runs"
"1","Comprehensive Fix Planning","SUBPROJECT_DISCOVERY","_vrn_vdf_high_risk_context_refiner_runs","DISCOVERED","LOW","PARALLEL_FIXABLE","Python=False; PowerShell=False; JavaScript=False; Protected=False","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_vrn_vdf_high_risk_context_refiner_runs"
"1","Comprehensive Fix Planning","SUBPROJECT_DISCOVERY","_vrn_vdf_integrated_closeout_nextgate","DISCOVERED","LOW","PARALLEL_FIXABLE","Python=False; PowerShell=False; JavaScript=False; Protected=False","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_vrn_vdf_integrated_closeout_nextgate"
"1","Comprehensive Fix Planning","SUBPROJECT_DISCOVERY","_vrn_vdf_integrated_closeout_ui","DISCOVERED","LOW","PARALLEL_FIXABLE","Python=False; PowerShell=False; JavaScript=False; Protected=False","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_vrn_vdf_integrated_closeout_ui"
