Group,Subgroup,Rank,Ticker,YFTicker,Name,MarketRaw,Market,Dimension,CountingFlag,SourceID,EvidenceStatus,Attribution,Positioning,SourceMetricUse,MembershipKey
A5 矽晶圓 / 靶材 / 研磨材,A 上游材料,P,3583,3583.TW,辛耘,上市,TWSE,D02_SUBGROUP_SSOT_V0100,DISPLAY_ONLY,SUBGROUP_SSOT_V0100,SSOT_ROSTER_ROW,SECONDARY,SAT,DISPLAY_ONLY_NOT_LIVE_CRITERIA,D02_SUBGROUP_SSOT_V0100|A5 矽晶圓 / 靶材 / 研磨材|3583
A5 矽晶圓 / 靶材 / 研磨材,A 上游材料,,1785,1785.TWO,光洋科,上櫃,TPEX,D02_SUBGROUP_SSOT_V0100,COUNT,SUBGROUP_SSOT_V0100,SSOT_ROSTER_ROW,PRIMARY,SAT,DISPLAY_ONLY_NOT_LIVE_CRITERIA,D02_SUBGROUP_SSOT_V0100|A5 矽晶圓 / 靶材 / 研磨材|1785
B1 ABF / FC-BGA 載板,B 載板與 PCB,L,3037,3037.TW,欣興,上市,TWSE,D02_SUBGROUP_SSOT_V0100,COUNT,SUBGROUP_SSOT_V0100,SSOT_ROSTER_ROW,PRIMARY,CORE,DISPLAY_ONLY_NOT_LIVE_CRITERIA,D02_SUBGROUP_SSOT_V0100|B1 ABF / FC-BGA 載板|3037
B1 ABF / FC-BGA 載板,B 載板與 PCB,P,8046,8046.TW,南電,上市,TWSE,D02_SUBGROUP_SSOT_V0100,COUNT,SUBGROUP_SSOT_V0100,SSOT_ROSTER_ROW,PRIMARY,CORE,DISPLAY_ONLY_NOT_LIVE_CRITERIA,D02_SUBGROUP_SSOT_V0100|B1 ABF / FC-BGA 載板|8046
B1 ABF / FC-BGA 載板,B 載板與 PCB,P,3189,3189.TW,景碩,上市,TWSE,D02_SUBGROUP_SSOT_V0100,COUNT,SUBGROUP_SSOT_V0100,SSOT_ROSTER_ROW,PRIMARY,CORE,DISPLAY_ONLY_NOT_LIVE_CRITERIA,D02_SUBGROUP_SSOT_V0100|B1 ABF / FC-BGA 載板|3189
B1 ABF / FC-BGA 載板,B 載板與 PCB,L,4958,4958.TW,臻鼎-KY,上市,TWSE,D02_SUBGROUP_SSOT_V0100,DISPLAY_ONLY,SUBGROUP_SSOT_V0100,SSOT_ROSTER_ROW,SECONDARY,SAT,DISPLAY_ONLY_NOT_LIVE_CRITERIA,D02_SUBGROUP_SSOT_V0100|B1 ABF / FC-BGA 載板|4958
B2 BT 載板 / 記憶體載板,B 載板與 PCB,P,8046,8046.TW,南電,上市,TWSE,D02_SUBGROUP_SSOT_V0100,DISPLAY_ONLY,SUBGROUP_SSOT_V0100,SSOT_ROSTER_ROW,SECONDARY,SAT,DISPLAY_ONLY_NOT_LIVE_CRITERIA,D02_SUBGROUP_SSOT_V0100|B2 BT 載板 / 記憶體載板|8046
B2 BT 載板 / 記憶體載板,B 載板與 PCB,P,3189,3189.TW,景碩,上市,TWSE,D02_SUBGROUP_SSOT_V0100,DISPLAY_ONLY,SUBGROUP_SSOT_V0100,SSOT_ROSTER_ROW,SECONDARY,SAT,DISPLAY_ONLY_NOT_LIVE_CRITERIA,D02_SUBGROUP_SSOT_V0100|B2 BT 載板 / 記憶體載板|3189
B2 BT 載板 / 記憶體載板,B 載板與 PCB,L,3037,3037.TW,欣興,上市,TWSE,D02_SUBGROUP_SSOT_V0100,DISPLAY_ONLY,SUBGROUP_SSOT_V0100,SSOT_ROSTER_ROW,SECONDARY,SAT,DISPLAY_ONLY_NOT_LIVE_CRITERIA,D02_SUBGROUP_SSOT_V0100|B2 BT 載板 / 記憶體載板|3037
B2 BT 載板 / 記憶體載板,B 載板與 PCB,L,2313,2313.TW,華通,上市,TWSE,D02_SUBGROUP_SSOT_V0100,COUNT,SUBGROUP_SSOT_V0100,SSOT_ROSTER_ROW,PRIMARY,SAT,DISPLAY_ONLY_NOT_LIVE_CRITERIA,D02_SUBGROUP_SSOT_V0100|B2 BT 載板 / 記憶體載板|2313
B3 AI 高速板 / HDI / 主板 PCB,B 載板與 PCB,L,2368,2368.TW,金像電,上市,TWSE,D02_SUBGROUP_SSOT_V0100,COUNT,SUBGROUP_SSOT_V0100,SSOT_ROSTER_ROW,PRIMARY,CORE,DISPLAY_ONLY_NOT_LIVE_CRITERIA,D02_SUBGROUP_SSOT_V0100|B3 AI 高速板 / HDI / 主板 PCB|2368
B3 AI 高速板 / HDI / 主板 PCB,B 載板與 PCB,L,3044,3044.TW,健鼎,上市,TWSE,D02_SUBGROUP_SSOT_V0100,COUNT,SUBGROUP_SSOT_V0100,SSOT_ROSTER_ROW,PRIMARY,CORE,DISPLAY_ONLY_NOT_LIVE_CRITERIA,D02_SUBGROUP_SSOT_V0100|B3 AI 高速板 / HDI / 主板 PCB|3044
B3 AI 高速板 / HDI / 主板 PCB,B 載板與 PCB,L,4958,4958.TW,臻鼎-KY,上市,TWSE,D02_SUBGROUP_SSOT_V0100,COUNT,SUBGROUP_SSOT_V0100,SSOT_ROSTER_ROW,PRIMARY,CORE,DISPLAY_ONLY_NOT_LIVE_CRITERIA,D02_SUBGROUP_SSOT_V0100|B3 AI 高速板 / HDI / 主板 PCB|4958
B3 AI 高速板 / HDI / 主板 PCB,B 載板與 PCB,L,2313,2313.TW,華通,上市,TWSE,D02_SUBGROUP_SSOT_V0100,DISPLAY_ONLY,SUBGROUP_SSOT_V0100,SSOT_ROSTER_ROW,SECONDARY,SAT,DISPLAY_ONLY_NOT_LIVE_CRITERIA,D02_SUBGROUP_SSOT_V0100|B3 AI 高速板 / HDI / 主板 PCB|2313
B3 AI 高速板 / HDI / 主板 PCB,B 載板與 PCB,L,2367,2367.TW,燿華,上市,TWSE,D02_SUBGROUP_SSOT_V0100,COUNT,SUBGROUP_SSOT_V0100,SSOT_ROSTER_ROW,PRIMARY,SAT,DISPLAY_ONLY_NOT_LIVE_CRITERIA,D02_SUBGROUP_SSOT_V0100|B3 AI 高速板 / HDI / 主板 PCB|2367
B3 AI 高速板 / HDI / 主板 PCB,B 載板與 PCB,P,5469,5469.TW,瀚宇博,上市,TWSE,D02_SUBGROUP_SSOT_V0100,COUNT,SUBGROUP_SSOT_V0100,SSOT_ROSTER_ROW,PRIMARY,SAT,DISPLAY_ONLY_NOT_LIVE_CRITERIA,D02_SUBGROUP_SSOT_V0100|B3 AI 高速板 / HDI / 主板 PCB|5469
B3 AI 高速板 / HDI / 主板 PCB,B 載板與 PCB,,3715,3715.TWO,定穎投控,上櫃,TPEX,D02_SUBGROUP_SSOT_V0100,COUNT,SUBGROUP_SSOT_V0100,SSOT_ROSTER_ROW,PRIMARY,SAT,DISPLAY_ONLY_NOT_LIVE_CRITERIA,D02_SUBGROUP_SSOT_V0100|B3 AI 高速板 / HDI / 主板 PCB|3715
B3 AI 高速板 / HDI / 主板 PCB,B 載板與 PCB,,2355,2355.TW,敬鵬,上市,TWSE,D02_SUBGROUP_SSOT_V0100,COUNT,SUBGROUP_SSOT_V0100,SSOT_ROSTER_ROW,PRIMARY,SAT,DISPLAY_ONLY_NOT_LIVE_CRITERIA,D02_SUBGROUP_SSOT_V0100|B3 AI 高速板 / HDI / 主板 PCB|2355
B4 軟板 FPC,B 載板與 PCB,L,4958,4958.TW,臻鼎-KY,上市,TWSE,D02_SUBGROUP_SSOT_V0100,DISPLAY_ONLY,SUBGROUP_SSOT_V0100,SSOT_ROSTER_ROW,SECONDARY,SAT,DISPLAY_ONLY_NOT_LIVE_CRITERIA,D02_SUBGROUP_SSOT_V0100|B4 軟板 FPC|4958
B4 軟板 FPC,B 載板與 PCB,L,6269,6269.TW,台郡,上市,TWSE,D02_SUBGROUP_SSOT_V0100,COUNT,SUBGROUP_SSOT_V0100,SSOT_ROSTER_ROW,PRIMARY,CORE,DISPLAY_ONLY_NOT_LIVE_CRITERIA,D02_SUBGROUP_SSOT_V0100|B4 軟板 FPC|6269
B4 軟板 FPC,B 載板與 PCB,L,6153,6153.TWO,嘉聯益,上櫃,TPEX,D02_SUBGROUP_SSOT_V0100,COUNT,SUBGROUP_SSOT_V0100,SSOT_ROSTER_ROW,PRIMARY,CORE,DISPLAY_ONLY_NOT_LIVE_CRITERIA,D02_SUBGROUP_SSOT_V0100|B4 軟板 FPC|6153
B4 軟板 FPC,B 載板與 PCB,L,3390,3390.TWO,旭軟,上櫃,TPEX,D02_SUBGROUP_SSOT_V0100,COUNT,SUBGROUP_SSOT_V0100,SSOT_ROSTER_ROW,PRIMARY,SAT,DISPLAY_ONLY_NOT_LIVE_CRITERIA,D02_SUBGROUP_SSOT_V0100|B4 軟板 FPC|3390
B4 軟板 FPC,B 載板與 PCB,,2402,2402.TWO,毅嘉,上櫃,TPEX,D02_SUBGROUP_SSOT_V0100,COUNT,SUBGROUP_SSOT_V0100,SSOT_ROSTER_ROW,PRIMARY,SAT,DISPLAY_ONLY_NOT_LIVE_CRITERIA,D02_SUBGROUP_SSOT_V0100|B4 軟板 FPC|2402
B5 PCB 設備 / 鑽針 / 檢測,B 載板與 PCB,,3563,3563.TWO,牧德,上櫃,TPEX,D02_SUBGROUP_SSOT_V0100,COUNT,SUBGROUP_SSOT_V0100,SSOT_ROSTER_ROW,PRIMARY,CORE,DISPLAY_ONLY_NOT_LIVE_CRITERIA,D02_SUBGROUP_SSOT_V0100|B5 PCB 設備 / 鑽針 / 檢測|3563
B5 PCB 設備 / 鑽針 / 檢測,B 載板與 PCB,,3455,3455.TWO,由田,上櫃,TPEX,D02_SUBGROUP_SSOT_V0100,COUNT,SUBGROUP_SSOT_V0100,SSOT_ROSTER_ROW,PRIMARY,CORE,DISPLAY_ONLY_NOT_LIVE_CRITERIA,D02_SUBGROUP_SSOT_V0100|B5 PCB 設備 / 鑽針 / 檢測|3455
B5 PCB 設備 / 鑽針 / 檢測,B 載板與 PCB,G,2467,2467.TW,志聖,上市,TWSE,D02_SUBGROUP_SSOT_V0100,COUNT,SUBGROUP_SSOT_V0100,SSOT_ROSTER_ROW,PRIMARY,CORE,DISPLAY_ONLY_NOT_LIVE_CRITERIA,D02_SUBGROUP_SSOT_V0100|B5 PCB 設備 / 鑽針 / 檢測|2467
B5 PCB 設備 / 鑽針 / 檢測,B 載板與 PCB,,6207,6207.TW,雷科,上市,TWSE,D02_SUBGROUP_SSOT_V0100,COUNT,SUBGROUP_SSOT_V0100,SSOT_ROSTER_ROW,PRIMARY,CORE,DISPLAY_ONLY_NOT_LIVE_CRITERIA,D02_SUBGROUP_SSOT_V0100|B5 PCB 設備 / 鑽針 / 檢測|6207
B5 PCB 設備 / 鑽針 / 檢測,B 載板與 PCB,,8021,8021.TWO,尖點,上櫃,TPEX,D02_SUBGROUP_SSOT_V0100,COUNT,SUBGROUP_SSOT_V0100,SSOT_ROSTER_ROW,PRIMARY,SAT,DISPLAY_ONLY_NOT_LIVE_CRITERIA,D02_SUBGROUP_SSOT_V0100|B5 PCB 設備 / 鑽針 / 檢測|8021
B5 PCB 設備 / 鑽針 / 檢測,B 載板與 PCB,G,3167,3167.TWO,大量,上櫃,TPEX,D02_SUBGROUP_SSOT_V0100,COUNT,SUBGROUP_SSOT_V0100,SSOT_ROSTER_ROW,PRIMARY,SAT,DISPLAY_ONLY_NOT_LIVE_CRITERIA,D02_SUBGROUP_SSOT_V0100|B5 PCB 設備 / 鑽針 / 檢測|3167
B5 PCB 設備 / 鑽針 / 檢測,B 載板與 PCB,,6432,6432.TW,興普,上市,TWSE,D02_SUBGROUP_SSOT_V0100,COUNT,SUBGROUP_SSOT_V0100,SSOT_ROSTER_ROW,PRIMARY,WATCH,DISPLAY_ONLY_NOT_LIVE_CRITERIA,D02_SUBGROUP_SSOT_V0100|B5 PCB 設備 / 鑽針 / 檢測|6432
C1 晶圓代工,C 半導體製造與封裝,L,2330,2330.TW,台積電,上市,TWSE,D02_SUBGROUP_SSOT_V0100,COUNT,SUBGROUP_SSOT_V0100,SSOT_ROSTER_ROW,PRIMARY,CORE,DISPLAY_ONLY_NOT_LIVE_CRITERIA,D02_SUBGROUP_SSOT_V0100|C1 晶圓代工|2330
C1 晶圓代工,C 半導體製造與封裝,P,2303,2303.TW,聯電,上市,TWSE,D02_SUBGROUP_SSOT_V0100,COUNT,SUBGROUP_SSOT_V0100,SSOT_ROSTER_ROW,PRIMARY,CORE,DISPLAY_ONLY_NOT_LIVE_CRITERIA,D02_SUBGROUP_SSOT_V0100|C1 晶圓代工|2303
C1 晶圓代工,C 半導體製造與封裝,G,5347,5347.TWO,世界先進,上櫃,TPEX,D02_SUBGROUP_SSOT_V0100,COUNT,SUBGROUP_SSOT_V0100,SSOT_ROSTER_ROW,PRIMARY,CORE,DISPLAY_ONLY_NOT_LIVE_CRITERIA,D02_SUBGROUP_SSOT_V0100|C1 晶圓代工|5347
C1 晶圓代工,C 半導體製造與封裝,G,6770,6770.TW,力積電,上市,TWSE,D02_SUBGROUP_SSOT_V0100,COUNT,SUBGROUP_SSOT_V0100,SSOT_ROSTER_ROW,PRIMARY,CORE,DISPLAY_ONLY_NOT_LIVE_CRITERIA,D02_SUBGROUP_SSOT_V0100|C1 晶圓代工|6770
C2 先進封裝設備 (CoWoS / SoIC),C 半導體製造與封裝,G,3131,3131.TWO,弘塑,上櫃,TPEX,D02_SUBGROUP_SSOT_V0100,COUNT,SUBGROUP_SSOT_V0100,SSOT_ROSTER_ROW,PRIMARY,CORE,DISPLAY_ONLY_NOT_LIVE_CRITERIA,D02_SUBGROUP_SSOT_V0100|C2 先進封裝設備 (CoWoS / SoIC)|3131
C2 先進封裝設備 (CoWoS / SoIC),C 半導體製造與封裝,P,3583,3583.TW,辛耘,上市,TWSE,D02_SUBGROUP_SSOT_V0100,COUNT,SUBGROUP_SSOT_V0100,SSOT_ROSTER_ROW,PRIMARY,CORE,DISPLAY_ONLY_NOT_LIVE_CRITERIA,D02_SUBGROUP_SSOT_V0100|C2 先進封裝設備 (CoWoS / SoIC)|3583
C2 先進封裝設備 (CoWoS / SoIC),C 半導體製造與封裝,P,6187,6187.TWO,萬潤,上櫃,TPEX,D02_SUBGROUP_SSOT_V0100,COUNT,SUBGROUP_SSOT_V0100,SSOT_ROSTER_ROW,PRIMARY,CORE,DISPLAY_ONLY_NOT_LIVE_CRITERIA,D02_SUBGROUP_SSOT_V0100|C2 先進封裝設備 (CoWoS / SoIC)|6187
C2 先進封裝設備 (CoWoS / SoIC),C 半導體製造與封裝,,6640,6640.TWO,均華,上櫃,TPEX,D02_SUBGROUP_SSOT_V0100,COUNT,SUBGROUP_SSOT_V0100,SSOT_ROSTER_ROW,PRIMARY,CORE,DISPLAY_ONLY_NOT_LIVE_CRITERIA,D02_SUBGROUP_SSOT_V0100|C2 先進封裝設備 (CoWoS / SoIC)|6640
C2 先進封裝設備 (CoWoS / SoIC),C 半導體製造與封裝,G,2467,2467.TW,志聖,上市,TWSE,D02_SUBGROUP_SSOT_V0100,DISPLAY_ONLY,SUBGROUP_SSOT_V0100,SSOT_ROSTER_ROW,SECONDARY,CORE,DISPLAY_ONLY_NOT_LIVE_CRITERIA,D02_SUBGROUP_SSOT_V0100|C2 先進封裝設備 (CoWoS / SoIC)|2467
C2 先進封裝設備 (CoWoS / SoIC),C 半導體製造與封裝,P,3413,3413.TWO,京鼎,上櫃,TPEX,D02_SUBGROUP_SSOT_V0100,COUNT,SUBGROUP_SSOT_V0100,SSOT_ROSTER_ROW,PRIMARY,CORE,DISPLAY_ONLY_NOT_LIVE_CRITERIA,D02_SUBGROUP_SSOT_V0100|C2 先進封裝設備 (CoWoS / SoIC)|3413
C2 先進封裝設備 (CoWoS / SoIC),C 半導體製造與封裝,L,3680,3680.TWO,家登,上櫃,TPEX,D02_SUBGROUP_SSOT_V0100,COUNT,SUBGROUP_SSOT_V0100,SSOT_ROSTER_ROW,PRIMARY,CORE,DISPLAY_ONLY_NOT_LIVE_CRITERIA,D02_SUBGROUP_SSOT_V0100|C2 先進封裝設備 (CoWoS / SoIC)|3680
C2 先進封裝設備 (CoWoS / SoIC),C 半導體製造與封裝,P,2464,2464.TW,盟立,上市,TWSE,D02_SUBGROUP_SSOT_V0100,COUNT,SUBGROUP_SSOT_V0100,SSOT_ROSTER_ROW,PRIMARY,SAT,DISPLAY_ONLY_NOT_LIVE_CRITERIA,D02_SUBGROUP_SSOT_V0100|C2 先進封裝設備 (CoWoS / SoIC)|2464
C2 先進封裝設備 (CoWoS / SoIC),C 半導體製造與封裝,P,6279,6279.TWO,漢民,上櫃,TPEX,D02_SUBGROUP_SSOT_V0100,COUNT,SUBGROUP_SSOT_V0100,SSOT_ROSTER_ROW,PRIMARY,SAT,DISPLAY_ONLY_NOT_LIVE_CRITERIA,D02_SUBGROUP_SSOT_V0100|C2 先進封裝設備 (CoWoS / SoIC)|6279
