Group,MemberCount,WithinMedianCorr,WithinMeanCorr,PositiveCorrRatio,PC1Ratio,NullMedianCorr,NullPositiveCorrRatio,NullPC1Ratio,CorrLiftVsNull,PositiveLiftVsNull,PC1LiftVsNull,ValidityState,ValidityConfidence,GroupValidity
J1 MLCC 積層陶瓷電容,5,0.037086578628672796,0.08909654822425803,0.6,0.39967202882169683,-0.02106085758066365,0.4,0.29252063253798033,0.05814743620933645,0.19999999999999996,0.1071513962837165,MID,0.7786768396894569,MONITOR_GROUP
J2 晶片電阻 Chip Resistor,2,0.0759193075214621,0.0759193075214621,1.0,0.5445135354592847,-0.013008227031481363,0.0,0.550207280586121,0.08892753455294347,1.0,-0.0056937451268362915,LOW,0.999150046188141,NEEDS_SPLIT_OR_REVIEW
J3 電感 / TLVR / 磁性元件,7,0.029120226329466696,0.06324844027709806,0.6190476190476191,0.35533680628391107,0.02612021222694823,0.7142857142857143,0.21402290525840886,0.0030000141025184647,-0.09523809523809523,0.1413139010255022,LOW,0.7926474937425955,NEEDS_SPLIT_OR_REVIEW
J4 鋁電解 / 固態電容,4,0.012630551633619834,0.12345875286265069,0.6666666666666666,0.6351376797663405,-0.04479158544277708,0.16666666666666666,0.4155380557804353,0.057422137076396915,0.5,0.2195996239859052,LOW,0.7563649464993752,NEEDS_SPLIT_OR_REVIEW
J5 保護元件,3,0.11311788972583807,0.0390709943696363,0.6666666666666666,0.6056366094326765,-0.017643983492735382,0.3333333333333333,0.4713175399111461,0.13076187321857347,0.3333333333333333,0.1343190695215304,MID,0.9916187661810061,MONITOR_GROUP
J6 石英 / 頻率元件,3,0.0007815827092688741,-0.0038632668120125746,0.6666666666666666,0.3732693563131046,-0.05900564052859042,0.3333333333333333,0.596576352082173,0.059787223237859295,0.3333333333333333,-0.22330699576906837,LOW,0.9999998632177571,NEEDS_SPLIT_OR_REVIEW
J7 LTCC / 高頻被動模組,1,,,,,,,,,,,UNCLASSIFIED,,DATA_INSUFFICIENT
J8 變壓器 / PoE 磁性元件,2,0.005815741442261409,0.005815741442261409,1.0,0.5860327911369837,0.10322513872445241,1.0,0.5626530870994801,-0.097409397282191,0.0,0.023379704037503557,LOW,0.9823190222917199,NEEDS_SPLIT_OR_REVIEW
J9 被動元件材料 / 設備,2,0.15238204241106174,0.15238204241106174,1.0,0.7553387209311656,-0.1213634528923444,0.0,0.7326377139333805,0.27374549530340614,1.0,0.0227010069977851,MID,0.9977210920818889,MONITOR_GROUP
K1 AI PC 品牌,2,-0.2621413084013714,-0.2621413084013714,0.0,0.6371284097961105,-0.0651497761887206,0.0,0.5325903800717894,-0.1969915322126508,0.0,0.10453802972432114,LOW,0.9370598130169868,NEEDS_SPLIT_OR_REVIEW
K2 NB / PC 代工 ODM,2,-0.010804842141004072,-0.010804842141004072,0.0,0.5112175243503809,0.08288081983086412,1.0,0.5422657884161725,-0.0936856619718682,-1.0,-0.03104826406579153,LOW,1.0,NEEDS_SPLIT_OR_REVIEW
K3 AI PC 零組件 · IC,1,,,,,,,,,,,UNCLASSIFIED,,DATA_INSUFFICIENT
K5 AI PC 零組件 · 電池電源,2,-0.09829883905898945,-0.09829883905898945,0.0,0.5680923239436246,-0.08720300835967341,0.0,0.5479890378963637,-0.011095830699316037,0.0,0.02010328604726097,LOW,0.9903447516988954,NEEDS_SPLIT_OR_REVIEW
L1 光學鏡頭 / CIS,5,0.19280914684682696,0.25430350499732746,1.0,0.4101422301652,-0.0261555770904743,0.4,0.3548392133205394,0.21896472393730126,0.6,0.0553030168446606,MID,0.9988483727354047,MONITOR_GROUP
L2 低軌衛星 / 衛星通訊,5,-0.006099798120507252,0.039006104789183635,0.4,0.44512470414204713,-0.0196901310700147,0.3,0.3438965325871938,0.013590332949507447,0.10000000000000003,0.10122817155485331,LOW,0.6052128262147835,NEEDS_SPLIT_OR_REVIEW
L3 軍工航太,5,0.019362277080533737,0.08813209728056892,0.7,0.4550574698986916,0.0023782152548705894,0.5,0.32424244685496695,0.016984061825663147,0.19999999999999996,0.13081502304372467,MID,0.6188234224526954,MONITOR_GROUP
L4 機器人 / 自動化,5,0.1075538297051485,0.13683785352307218,0.8,0.3975796054251831,-0.036857529870200405,0.2,0.3542888123186141,0.1444113595753489,0.6000000000000001,0.043290793106569025,MID,0.9352451455910993,MONITOR_GROUP
L5 電動車 / 車用零組件,3,-0.01597759726105526,0.014606008755255709,0.3333333333333333,0.40077530774196496,-0.02361716287370091,0.3333333333333333,0.5564232741875133,0.00763956561264565,0.0,-0.1556479664455483,LOW,0.9999999597229213,NEEDS_SPLIT_OR_REVIEW
L6 資安 / 系統整合,5,0.11093856974562358,0.13945924416728978,0.8,0.4164362555237345,-0.05303357713130194,0.1,0.37080430669737174,0.16397214687692552,0.7000000000000001,0.045631948826362734,MID,0.951854419307634,MONITOR_GROUP
L7 工控 / 物流 / 供應鏈周邊,5,0.1434820595256841,0.31265542869067964,0.9,0.4594250916431484,-0.03126877069870099,0.4,0.4061556430551595,0.1747508302243851,0.5,0.05326944858798888,MID,0.9898802020084813,MONITOR_GROUP
L8 生技醫療,5,0.16598028538863985,0.23788602533451814,1.0,0.3996892666788006,0.025576945705163022,0.5,0.34768470699633386,0.14040333968347682,0.5,0.052004559682466756,MID,0.9554024163135559,MONITOR_GROUP
M1 貨櫃航運,3,0.1450226420602425,0.1212603527028422,1.0,0.4196191725364411,-0.02436349716797435,0.3333333333333333,0.46049850046076235,0.16938613922821685,0.6666666666666667,-0.04087932792432125,MID,0.6806290839711154,MONITOR_GROUP
M2 散裝航運,7,0.09232755887698704,0.25657345765101686,0.9523809523809523,0.426208764504678,0.016458313857914533,0.5238095238095238,0.28859762365869945,0.07586924501907251,0.4285714285714285,0.13761114084597853,MID,0.860618001485635,MONITOR_GROUP
M3 航空,3,0.17227593691719506,0.1618875592586527,1.0,0.4543001443001215,0.06955276460142876,0.6666666666666666,0.3833263309939393,0.1027231723157663,0.33333333333333337,0.07097381330618219,MID,0.8894341902297307,MONITOR_GROUP
M4 鋼鐵 · 扁鋼 / 不鏽鋼,6,0.18854136158649415,0.25121388645702436,0.8666666666666667,0.4114329878828064,0.04157753036607558,0.6,0.26654673772257725,0.14696383122041856,0.2666666666666667,0.14488625016022916,MID,0.9963338973298103,MONITOR_GROUP
M5 鋼鐵 · 條鋼 / 型鋼,5,0.0011885390246231904,0.012156919147128013,0.6,0.23412753162419958,-0.026399401662058706,0.3,0.33569379990017195,0.027587940686681897,0.3,-0.10156626827597237,LOW,0.9990394791975864,NEEDS_SPLIT_OR_REVIEW
M6 金融,5,0.007300473045071681,0.00181239634645129,0.5,0.25241842282628446,-0.03555558447909102,0.4,0.29546413479003225,0.0428560575241627,0.09999999999999998,-0.04304571196374779,LOW,0.9986613411144056,NEEDS_SPLIT_OR_REVIEW
M7 觀光餐飲,5,0.1476067557053392,0.23535642252821357,1.0,0.40696274658537857,-0.014645859980060252,0.4,0.330686741980926,0.16225261568539945,0.6,0.07627600460445255,MID,0.986409522598869,MONITOR_GROUP
M8 傳產材料 / 其他,3,0.08884235500867141,0.10947399715523139,1.0,0.41356210185650505,-0.006586525552105125,0.3333333333333333,0.5810442482207737,0.09542888056077653,0.6666666666666667,-0.16748214636426867,LOW,0.9994501937495234,NEEDS_SPLIT_OR_REVIEW
