stock_id,name,parent,group,role,market,source,status,flag
3013,晟銘電,AI 伺服器,AI 機殼/機櫃,P,上市,"財報狗 tags/1234,14547 + 今周刊/豹投資 2026-08 (role=推論)",,
5284,jpp-KY,AI 伺服器,AI 機殼/機櫃,G,上市,"財報狗 tags/1234,14547 + 今周刊/豹投資 2026-08 (role=推論)",,
2354,鴻準,AI 伺服器,AI 機殼/機櫃,P,上市,"財報狗 tags/1234,14547 + 今周刊/豹投資 2026-08 (role=推論)",excluded,"規模稀釋:伺服器機殼佔自身營收比重過低, 加權後失真"
2474,可成,AI 伺服器,AI 機殼/機櫃,P,上市,"財報狗 tags/1234,14547 + 今周刊/豹投資 2026-08 (role=推論)",excluded,"規模稀釋:伺服器機殼佔自身營收比重過低, 加權後失真"
4931,新盛力,AI 伺服器,BBU 備援電池,L,上市,VIA v1.1,,
6781,AES-KY,AI 伺服器,BBU 備援電池,P,上市,VIA v1.1,,
3323,加百裕,AI 伺服器,BBU 備援電池,P,上市,VIA v1.1,,
3211,順達,AI 伺服器,BBU 備援電池,G,上市,VIA v1.1,,
3081,聯亞,AI 伺服器,CPO 共封裝光學,L,上櫃,VIA v1.1,,
6442,光聖,AI 伺服器,CPO 共封裝光學,P,上櫃,VIA v1.1,,
3363,上詮,AI 伺服器,CPO 共封裝光學,P,上市,VIA v1.1,,
4979,華星光,AI 伺服器,CPO 共封裝光學,G,上櫃,VIA v1.1,,
3163,波若威,AI 伺服器,CPO 共封裝光學,P,上櫃,VIA v1.1,,
4977,眾達-KY,AI 伺服器,CPO 共封裝光學,P,上櫃,VIA v1.1,,
3324,雙鴻,AI 伺服器,散熱,L,上市,VIA v1.1,,
3017,奇鋐,AI 伺服器,散熱,L,上市,VIA v1.1,,
2421,建準,AI 伺服器,散熱,P,上市,VIA v1.1,,
3338,泰碩,AI 伺服器,散熱,G,上櫃,VIA v1.1,,
6275,元山,AI 伺服器,散熱,P,上櫃,VIA v1.1,,
3483,力致,AI 伺服器,散熱,P,上市,VIA v1.1,,
6591,動力-KY,AI 伺服器,散熱,P,上市,VIA v1.1,,
6125,廣運,AI 伺服器,散熱,G,上市,VIA v1.1,,
3653,健策,AI 伺服器,液冷/水冷板,L,上市,"財報狗 tags/1234,14547 + 今周刊/豹投資 2026-08 (role=推論)",,
6805,富世達,AI 伺服器,液冷/水冷板,P,上市,"財報狗 tags/1234,14547 + 今周刊/豹投資 2026-08 (role=推論)",,
3324,雙鴻,AI 伺服器,液冷/水冷板,P,上市,"財報狗 tags/1234,14547 + 今周刊/豹投資 2026-08 (role=推論)",,
3017,奇鋐,AI 伺服器,液冷/水冷板,P,上市,"財報狗 tags/1234,14547 + 今周刊/豹投資 2026-08 (role=推論)",,
2731,雄獅,內需消費,觀光餐飲,L,上市,VIA v1.1,,
2727,王品,內需消費,觀光餐飲,L,上市,VIA v1.1,,
2729,瓦城,內需消費,觀光餐飲,P,上市,VIA v1.1,,
2707,晶華,內需消費,觀光餐飲,P,上市,VIA v1.1,,
5706,鳳凰,內需消費,觀光餐飲,G,上市,VIA v1.1,,
3037,欣興,半導體,ABF 載板,L,上市,VIA v1.1,,
8046,南電,半導體,ABF 載板,P,上市,VIA v1.1,,
3189,景碩,半導體,ABF 載板,P,上市,VIA v1.1,,
3167,大量,半導體,ABF 載板,G,上櫃,VIA v1.1,,
3661,世芯-KY,半導體,ASIC 設計服務,L,上市,VIA v1.1,,
3443,創意,半導體,ASIC 設計服務,L,上市,VIA v1.1,,
3035,智原,半導體,ASIC 設計服務,P,上市,VIA v1.1,,
2569,揚智,半導體,ASIC 設計服務,G,上市,VIA v1.1,,
3711,日月光投控,半導體,CoWoS,L,上市,SinoTrade richclub 2026-09 (role=推論),,
2449,京元電子,半導體,CoWoS,P,上市,SinoTrade richclub 2026-09 (role=推論),,
3680,家登,半導體,CoWoS,P,上櫃,SinoTrade richclub 2026-09 (role=推論),,
3583,辛耘,半導體,CoWoS,P,上市,SinoTrade richclub 2026-09 (role=推論),,
6223,旺矽,半導體,CoWoS,P,上櫃,SinoTrade richclub 2026-09 (role=推論),,
6515,穎崴,半導體,CoWoS,P,上櫃,SinoTrade richclub 2026-09 (role=推論),,
3443,創意,半導體,CoWoS,P,上市,SinoTrade richclub 2026-09 (role=推論),,
3037,欣興,半導體,CoWoS,P,上市,SinoTrade richclub 2026-09 (role=推論),,
8046,南電,半導體,CoWoS,P,上市,SinoTrade richclub 2026-09 (role=推論),,
3189,景碩,半導體,CoWoS,P,上市,SinoTrade richclub 2026-09 (role=推論),,
1560,中砂,半導體,CoWoS,G,上市,SinoTrade richclub 2026-09 (role=推論),,
2316,楠梓電,半導體,CoWoS,G,上市,SinoTrade richclub 2026-09 (role=推論),,
3131,弘塑,半導體,CoWoS,G,上櫃,SinoTrade richclub 2026-09 (role=推論),,
6187,萬潤,半導體,CoWoS,G,上櫃,SinoTrade richclub 2026-09 (role=推論),,
7856,漢測,半導體,CoWoS,G,興櫃,SinoTrade richclub 2026-09 (role=推論),,
3034,聯詠,半導體,IC設計,L,上市,VIA v1.1,,
2379,瑞昱,半導體,IC設計,P,上市,VIA v1.1,,
6415,矽力-KY,半導體,IC設計,P,上市,VIA v1.1,,
3545,敦泰,半導體,IC設計,G,上市,VIA v1.1,,
2454,聯發科,半導體,IC設計,L,上市,細分補列 (原扁平半導體群成員),,
2330,台積電,半導體,半導體,L,上市,VIA v1.1,superseded,已細分→晶圓代工/IC設計/封測 OSAT/矽晶圓等
2454,聯發科,半導體,半導體,P,上市,VIA v1.1,superseded,已細分→晶圓代工/IC設計/封測 OSAT/矽晶圓等
2303,聯電,半導體,半導體,P,上市,VIA v1.1,superseded,已細分→晶圓代工/IC設計/封測 OSAT/矽晶圓等
5347,世界先進,半導體,半導體,G,上櫃,VIA v1.1,superseded,已細分→晶圓代工/IC設計/封測 OSAT/矽晶圓等
6770,力積電,半導體,半導體,G,上市,VIA v1.1,superseded,已細分→晶圓代工/IC設計/封測 OSAT/矽晶圓等
3711,日月光投控,半導體,半導體,L,上市,VIA v1.1,superseded,已細分→晶圓代工/IC設計/封測 OSAT/矽晶圓等
6488,環球晶,半導體,半導體,P,上櫃,VIA v1.1,superseded,已細分→晶圓代工/IC設計/封測 OSAT/矽晶圓等
1560,中砂,半導體,半導體材料/耗材,L,上市,"財報狗 tags/1435,1385 + 財報狗個股頁 (role=推論)",,
4749,新應材,半導體,半導體材料/耗材,P,上市,"財報狗 tags/1435,1385 + 財報狗個股頁 (role=推論)",,
4772,台特化,半導體,半導體材料/耗材,P,上市,"財報狗 tags/1435,1385 + 財報狗個股頁 (role=推論)",,
4755,三福化,半導體,半導體材料/耗材,P,上市,"財報狗 tags/1435,1385 + 財報狗個股頁 (role=推論)",,
5234,達興材料,半導體,半導體材料/耗材,P,上市,"財報狗 tags/1435,1385 + 財報狗個股頁 (role=推論)",,
8028,昇陽半導體,半導體,半導體材料/耗材,G,上市,"財報狗 tags/1435,1385 + 財報狗個股頁 (role=推論)",,
4768,晶呈科技,半導體,半導體材料/耗材,G,上市,"財報狗 tags/1435,1385 + 財報狗個股頁 (role=推論)",,
2360,致茂,半導體,半導體設備,L,上市,VIA v1.1,,
3680,家登,半導體,半導體設備,L,上櫃,VIA v1.1,,
3583,辛耘,半導體,半導體設備,P,上市,VIA v1.1,,
6187,萬潤,半導體,半導體設備,P,上櫃,VIA v1.1,,
2467,志聖,半導體,半導體設備,G,上市,VIA v1.1,,
5434,崇越,半導體,半導體通路/代理,L,上市,"財報狗 tags/1435,1385 + 財報狗個股頁 (role=推論)",,
3010,華立,半導體,半導體通路/代理,P,上市,"財報狗 tags/1435,1385 + 財報狗個股頁 (role=推論)",,
3388,崇越電,半導體,半導體通路/代理,P,上市,"財報狗 tags/1435,1385 + 財報狗個股頁 (role=推論)",,
6196,帆宣,半導體,台積電擴廠,L,上市,VIA v1.1,,
2404,漢唐,半導體,台積電擴廠,L,上市,VIA v1.1,,
6139,亞翔,半導體,台積電擴廠,P,上市,VIA v1.1,,
6667,信紘科,半導體,台積電擴廠,P,上櫃,VIA v1.1,,
3413,京鼎,半導體,台積電擴廠,P,上櫃,VIA v1.1,,
3131,弘塑,半導體,台積電擴廠,G,上櫃,VIA v1.1,,
3711,日月光投控,半導體,封測 OSAT,L,上市,"財報狗 tags/1435,1385 + 財報狗個股頁 (role=推論)",,
6239,力成,半導體,封測 OSAT,P,上市,"財報狗 tags/1435,1385 + 財報狗個股頁 (role=推論)",,
2449,京元電子,半導體,封測 OSAT,P,上市,"財報狗 tags/1435,1385 + 財報狗個股頁 (role=推論)",,
3264,欣銓,半導體,封測 OSAT,P,上市,"財報狗 tags/1435,1385 + 財報狗個股頁 (role=推論)",,
6257,矽格,半導體,封測 OSAT,P,上市,"財報狗 tags/1435,1385 + 財報狗個股頁 (role=推論)",,
6147,頎邦,半導體,封測 OSAT,P,上市,"財報狗 tags/1435,1385 + 財報狗個股頁 (role=推論)",,
2441,超豐,半導體,封測 OSAT,G,上市,"財報狗 tags/1435,1385 + 財報狗個股頁 (role=推論)",,
2330,台積電,半導體,晶圓代工,L,上市,SinoTrade richclub 2026-09 (role=推論),,
2303,聯電,半導體,晶圓代工,P,上市,SinoTrade richclub 2026-09 (role=推論),,
6770,力積電,半導體,晶圓代工,G,上市,SinoTrade richclub 2026-09 (role=推論),,
5347,世界先進,半導體,晶圓代工,P,上市,細分補列 (原扁平半導體群成員),,
6223,旺矽,半導體,測試介面/探針卡,L,上市,"財報狗 tags/1435,1385 + 財報狗個股頁 (role=推論)",,
6515,穎崴,半導體,測試介面/探針卡,L,上市,"財報狗 tags/1435,1385 + 財報狗個股頁 (role=推論)",,
6510,精測,半導體,測試介面/探針卡,P,上市,"財報狗 tags/1435,1385 + 財報狗個股頁 (role=推論)",,
6488,環球晶,半導體,矽晶圓,L,上櫃,SinoTrade richclub 2026-09 (role=推論),,
3532,台勝科,半導體,矽晶圓,P,上市,SinoTrade richclub 2026-09 (role=推論),,
6182,合晶,半導體,矽晶圓,P,上櫃,SinoTrade richclub 2026-09 (role=推論),,
3016,嘉晶,半導體,矽晶圓,P,上櫃,SinoTrade richclub 2026-09 (role=推論),,
6103,合邦,半導體,矽晶圓,G,上櫃,SinoTrade richclub 2026-09 (role=推論),flagged,"誤植:合邦電子為IC設計公司(半導體業),非矽晶圓廠 — 疑為SEO關鍵字與「合晶」混淆"
8028,昇陽半導體,半導體,矽晶圓,G,上櫃,SinoTrade richclub 2026-09 (role=推論),,
1560,中砂,半導體,矽晶圓,G,上市,SinoTrade richclub 2026-09 (role=推論),,
3529,力旺,半導體,矽智財 IP,L,上櫃,VIA v1.1,,
6533,晶心科,半導體,矽智財 IP,P,上櫃,VIA v1.1,,
6643,M31,半導體,矽智財 IP,P,上櫃,VIA v1.1,,
3707,漢磊,半導體,第三代半導體,L,上櫃,SinoTrade richclub 2026-09 (role=推論),,
3105,穩懋,半導體,第三代半導體,L,上櫃,SinoTrade richclub 2026-09 (role=推論),,
3016,嘉晶,半導體,第三代半導體,P,上櫃,SinoTrade richclub 2026-09 (role=推論),,
6488,環球晶,半導體,第三代半導體,P,上櫃,SinoTrade richclub 2026-09 (role=推論),,
6182,合晶,半導體,第三代半導體,P,上櫃,SinoTrade richclub 2026-09 (role=推論),,
4934,太極,半導體,第三代半導體,P,上市,SinoTrade richclub 2026-09 (role=推論),,
3714,富采,半導體,第三代半導體,P,上市,SinoTrade richclub 2026-09 (role=推論),,
3081,聯亞,半導體,第三代半導體,P,上櫃,SinoTrade richclub 2026-09 (role=推論),,
3532,台勝科,半導體,第三代半導體,G,上市,SinoTrade richclub 2026-09 (role=推論),,
8121,越峰,半導體,第三代半導體,G,上櫃,SinoTrade richclub 2026-09 (role=推論),,
1560,中砂,半導體,第三代半導體,G,上市,SinoTrade richclub 2026-09 (role=推論),,
2408,南亞科,半導體,記憶體,L,上市,VIA v1.1,,
2344,華邦電,半導體,記憶體,P,上市,VIA v1.1,,
2337,旺宏,半導體,記憶體,P,上市,VIA v1.1,,
8299,群聯,半導體,記憶體,G,上櫃,VIA v1.1,,
3260,威剛,半導體,記憶體,P,上市,VIA v1.1,,
2015,豐興,原物料週期,條鋼,L,上市,VIA v1.1,,
2006,東和鋼鐵,原物料週期,條鋼,P,上市,VIA v1.1,,
2028,威致,原物料週期,條鋼,P,上市,VIA v1.1,,
2012,春雨,原物料週期,條鋼,G,上市,VIA v1.1,,
2002,中鋼,原物料週期,鋼鐵,L,上市,VIA v1.1,,
2014,中鴻,原物料週期,鋼鐵,P,上市,VIA v1.1,,
2023,燁輝,原物料週期,鋼鐵,P,上市,VIA v1.1,,
2017,官田鋼,原物料週期,鋼鐵,G,上市,VIA v1.1,,
9957,燁聯,原物料週期,鋼鐵,P,上市,VIA v1.1,,
2029,盛餘,原物料週期,鋼鐵,G,上市,VIA v1.1,,
2049,上銀,智造與國防,機器人,L,上市,VIA v1.1,,
2308,台達電,智造與國防,機器人,P,上市,VIA v1.1,,
2359,所羅門,智造與國防,機器人,P,上市,VIA v1.1,,
1597,直得,智造與國防,機器人,G,上櫃,VIA v1.1,,
1590,亞德客-KY,智造與國防,機器人,L,上市,VIA v1.1,,
2464,盟立,智造與國防,機器人,P,上市,VIA v1.1,,
6690,安碁資訊,智造與國防,資安/系統整合,L,上櫃,VIA v1.1,,
2480,敦陽科,智造與國防,資安/系統整合,P,上市,VIA v1.1,,
6214,精誠,智造與國防,資安/系統整合,P,上櫃,VIA v1.1,,
3029,零壹,智造與國防,資安/系統整合,G,上市,VIA v1.1,,
2634,漢翔,智造與國防,軍工航太,L,上市,VIA v1.1,,
8033,雷虎,智造與國防,軍工航太,P,上市,VIA v1.1,,
8222,寶一,智造與國防,軍工航太,P,上市,VIA v1.1,,
8383,千附,智造與國防,軍工航太,G,上市,VIA v1.1,,
6472,保瑞,生技醫療,CDMO,L,上櫃,SinoTrade richclub 2026-09 (role=推論),,
6589,台康生技,生技醫療,CDMO,P,上櫃,SinoTrade richclub 2026-09 (role=推論),,
4726,永昕,生技醫療,CDMO,P,上櫃,SinoTrade richclub 2026-09 (role=推論),,
4105,東洋,生技醫療,CDMO,P,上市,SinoTrade richclub 2026-09 (role=推論),,
4746,台耀,生技醫療,CDMO,P,上櫃,SinoTrade richclub 2026-09 (role=推論),,
6541,泰福-KY,生技醫療,CDMO,P,上櫃,SinoTrade richclub 2026-09 (role=推論),,
4147,中裕,生技醫療,CDMO,G,上櫃,SinoTrade richclub 2026-09 (role=推論),,
6586,醣基,生技醫療,CDMO,G,上櫃,SinoTrade richclub 2026-09 (role=推論),,
8436,大江,生技醫療,CDMO,G,上櫃,SinoTrade richclub 2026-09 (role=推論),,
3118,進階,生技醫療,CDMO,G,上櫃,SinoTrade richclub 2026-09 (role=推論),,
4166,友霖,生技醫療,CDMO,G,上櫃,SinoTrade richclub 2026-09 (role=推論),,
6472,保瑞,生技醫療,生技醫療,L,上櫃,VIA v1.1,,
6446,藥華藥,生技醫療,生技醫療,L,上市,VIA v1.1,,
1795,美時,生技醫療,生技醫療,P,上市,VIA v1.1,,
4162,智擎,生技醫療,生技醫療,G,上櫃,VIA v1.1,,
6562,聯亞藥,生技醫療,生技醫療,G,上櫃,VIA v1.1,,
6244,茂迪,綠能與電力,太陽能,L,上市,SinoTrade richclub 2026-09 (role=推論),,
3576,聯合再生,綠能與電力,太陽能,L,上市,SinoTrade richclub 2026-09 (role=推論),,
6443,元晶,綠能與電力,太陽能,P,上市,SinoTrade richclub 2026-09 (role=推論),,
2406,國碩,綠能與電力,太陽能,P,上市,SinoTrade richclub 2026-09 (role=推論),,
6806,森崴能源,綠能與電力,太陽能,P,上櫃,SinoTrade richclub 2026-09 (role=推論),,
6196,帆宣,綠能與電力,太陽能,P,上市,SinoTrade richclub 2026-09 (role=推論),,
5443,均豪,綠能與電力,太陽能,P,上櫃,SinoTrade richclub 2026-09 (role=推論),,
1717,長興,綠能與電力,太陽能,G,上市,SinoTrade richclub 2026-09 (role=推論),,
1711,永光,綠能與電力,太陽能,G,上市,SinoTrade richclub 2026-09 (role=推論),,
5234,達興材料,綠能與電力,太陽能,G,上櫃,SinoTrade richclub 2026-09 (role=推論),,
3583,辛耘,綠能與電力,太陽能,G,上市,SinoTrade richclub 2026-09 (role=推論),,
6189,豐藝,綠能與電力,太陽能,G,上市,SinoTrade richclub 2026-09 (role=推論),flagged,"關聯薄弱:豐藝為電子通路商,非太陽能製造"
1519,華城,綠能與電力,重電,L,上市,VIA v1.1,,
1503,士電,綠能與電力,重電,P,上市,VIA v1.1,,
1513,中興電,綠能與電力,重電,P,上市,VIA v1.1,,
1514,亞力,綠能與電力,重電,G,上市,VIA v1.1,,
1504,東元,綠能與電力,重電,P,上市,VIA v1.1,,
2371,大同,綠能與電力,重電,P,上市,VIA v1.1,,
9958,世紀鋼,綠能與電力,離岸風電,L,上市,SinoTrade richclub 2026-09 (role=推論),,
3708,上緯投控,綠能與電力,離岸風電,L,上市,SinoTrade richclub 2026-09 (role=推論),,
2072,世紀風電,綠能與電力,離岸風電,P,上市,SinoTrade richclub 2026-09 (role=推論),,
2013,中鋼構,綠能與電力,離岸風電,P,上市,SinoTrade richclub 2026-09 (role=推論),,
6793,天力離岸,綠能與電力,離岸風電,P,上櫃,SinoTrade richclub 2026-09 (role=推論),,
1589,永冠-KY,綠能與電力,離岸風電,P,上市,SinoTrade richclub 2026-09 (role=推論),,
9933,中鼎,綠能與電力,離岸風電,P,上市,SinoTrade richclub 2026-09 (role=推論),,
1605,華新,綠能與電力,離岸風電,P,上市,SinoTrade richclub 2026-09 (role=推論),,
1609,大亞,綠能與電力,離岸風電,P,上市,SinoTrade richclub 2026-09 (role=推論),,
1503,士電,綠能與電力,離岸風電,P,上市,SinoTrade richclub 2026-09 (role=推論),,
1519,華城,綠能與電力,離岸風電,P,上市,SinoTrade richclub 2026-09 (role=推論),,
8463,潤泰材,綠能與電力,離岸風電,G,上櫃,SinoTrade richclub 2026-09 (role=推論),,
1612,宏泰,綠能與電力,離岸風電,G,上市,SinoTrade richclub 2026-09 (role=推論),,
1618,合機,綠能與電力,離岸風電,G,上市,SinoTrade richclub 2026-09 (role=推論),,
3023,信邦,綠能與電力,離岸風電,G,上市,SinoTrade richclub 2026-09 (role=推論),,
1514,亞力,綠能與電力,離岸風電,G,上市,SinoTrade richclub 2026-09 (role=推論),,
3491,昇達科,網通與通訊,低軌衛星,L,上櫃,VIA v1.1,,
2314,台揚,網通與通訊,低軌衛星,P,上市,VIA v1.1,,
6285,啟碁,網通與通訊,低軌衛星,P,上市,VIA v1.1,,
6271,同欣電,網通與通訊,低軌衛星,G,上市,VIA v1.1,,
2345,智邦,網通與通訊,網通設備,L,上市,VIA v1.1,,
3596,智易,網通與通訊,網通設備,P,上市,VIA v1.1,,
5388,中磊,網通與通訊,網通設備,P,上市,VIA v1.1,,
3380,明泰,網通與通訊,網通設備,G,上市,VIA v1.1,,
2637,慧洋-KY,航運運輸,散裝航運,L,上市,VIA v1.1,,
2606,裕民,航運運輸,散裝航運,P,上市,VIA v1.1,,
2605,新興,航運運輸,散裝航運,P,上市,VIA v1.1,,
5608,四維航,航運運輸,散裝航運,G,上市,VIA v1.1,,
2612,中航,航運運輸,散裝航運,P,上市,VIA v1.1,,
2617,台航,航運運輸,散裝航運,P,上市,VIA v1.1,,
2641,正德,航運運輸,散裝航運,G,上市,VIA v1.1,,
2618,長榮航,航運運輸,航空,L,上市,VIA v1.1,,
2610,華航,航運運輸,航空,P,上市,VIA v1.1,,
2646,星宇,航運運輸,航空,G,上市,VIA v1.1,,
2603,長榮,航運運輸,貨櫃航運,L,上市,VIA v1.1,,
2609,陽明,航運運輸,貨櫃航運,P,上市,VIA v1.1,,
2615,萬海,航運運輸,貨櫃航運,G,上市,VIA v1.1,,
3552,同致,車輛與電動車,ADAS車用電子,L,上市,SinoTrade richclub 2026-09 (role=推論),,
2231,為升,車輛與電動車,ADAS車用電子,L,上市,SinoTrade richclub 2026-09 (role=推論),,
8255,朋程,車輛與電動車,ADAS車用電子,P,上櫃,SinoTrade richclub 2026-09 (role=推論),,
2481,強茂,車輛與電動車,ADAS車用電子,P,上市,SinoTrade richclub 2026-09 (role=推論),,
5425,台半,車輛與電動車,ADAS車用電子,P,上市,SinoTrade richclub 2026-09 (role=推論),,
3675,德微,車輛與電動車,ADAS車用電子,P,上市,SinoTrade richclub 2026-09 (role=推論),,
3673,TPK-KY,車輛與電動車,ADAS車用電子,P,上市,SinoTrade richclub 2026-09 (role=推論),,
2379,瑞昱,車輛與電動車,ADAS車用電子,P,上市,SinoTrade richclub 2026-09 (role=推論),,
2458,義隆,車輛與電動車,ADAS車用電子,P,上市,SinoTrade richclub 2026-09 (role=推論),,
3019,亞光,車輛與電動車,ADAS車用電子,P,上市,SinoTrade richclub 2026-09 (role=推論),,
2497,怡利電,車輛與電動車,ADAS車用電子,P,上市,SinoTrade richclub 2026-09 (role=推論),,
4915,致伸,車輛與電動車,ADAS車用電子,P,上市,SinoTrade richclub 2026-09 (role=推論),,
6271,同欣電,車輛與電動車,ADAS車用電子,P,上市,SinoTrade richclub 2026-09 (role=推論),,
6573,虹揚-KY,車輛與電動車,ADAS車用電子,G,上市,SinoTrade richclub 2026-09 (role=推論),,
6129,普誠,車輛與電動車,ADAS車用電子,G,上市,SinoTrade richclub 2026-09 (role=推論),,
4976,佳凌,車輛與電動車,ADAS車用電子,G,上市,SinoTrade richclub 2026-09 (role=推論),,
3701,大眾控,車輛與電動車,ADAS車用電子,G,上市,SinoTrade richclub 2026-09 (role=推論),,
3294,英濟,車輛與電動車,ADAS車用電子,G,上市,SinoTrade richclub 2026-09 (role=推論),,
6205,詮欣,車輛與電動車,ADAS車用電子,G,上櫃,SinoTrade richclub 2026-09 (role=推論),,
5309,系統電,車輛與電動車,ADAS車用電子,G,上櫃,SinoTrade richclub 2026-09 (role=推論),,
2233,宇隆,車輛與電動車,ADAS車用電子,G,上市,SinoTrade richclub 2026-09 (role=推論),,
2308,台達電,車輛與電動車,充電樁,L,上市,SinoTrade richclub 2026-09 (role=推論),,
2301,光寶科,車輛與電動車,充電樁,P,上市,SinoTrade richclub 2026-09 (role=推論),,
6282,康舒,車輛與電動車,充電樁,P,上市,SinoTrade richclub 2026-09 (role=推論),,
2457,飛宏,車輛與電動車,充電樁,P,上市,SinoTrade richclub 2026-09 (role=推論),,
3023,信邦,車輛與電動車,充電樁,P,上市,SinoTrade richclub 2026-09 (role=推論),,
3665,貿聯-KY,車輛與電動車,充電樁,P,上市,SinoTrade richclub 2026-09 (role=推論),,
6290,良維,車輛與電動車,充電樁,G,上櫃,SinoTrade richclub 2026-09 (role=推論),,
3003,健和興,車輛與電動車,充電樁,G,上市,SinoTrade richclub 2026-09 (role=推論),,
3665,貿聯-KY,車輛與電動車,電動車,L,上市,VIA v1.1,,
1536,和大,車輛與電動車,電動車,P,上市,VIA v1.1,,
2231,為升,車輛與電動車,電動車,P,上市,VIA v1.1,,
8255,朋程,車輛與電動車,電動車,G,上櫃,VIA v1.1,,
2881,富邦金,金融,金融,L,上市,VIA v1.1,,
2882,國泰金,金融,金融,P,上市,VIA v1.1,,
2886,兆豐金,金融,金融,P,上市,VIA v1.1,,
2884,玉山金,金融,金融,G,上市,VIA v1.1,,
2383,台光電,電子零組件,PCB,L,上市,VIA v1.1,,
4958,臻鼎-KY,電子零組件,PCB,L,上市,VIA v1.1,,
3044,健鼎,電子零組件,PCB,P,上市,VIA v1.1,,
2368,金像電,電子零組件,PCB,P,上市,VIA v1.1,,
2367,燿華,電子零組件,PCB,G,上市,VIA v1.1,,
3008,大立光,電子零組件,光學,L,上市,VIA v1.1,,
3406,玉晶光,電子零組件,光學,P,上市,VIA v1.1,,
3019,亞光,電子零組件,光學,G,上市,VIA v1.1,,
3362,先進光,電子零組件,光學,P,上市,VIA v1.1,,
2327,國巨,電子零組件,被動元件,L,上市,VIA v1.1,,
2492,華新科,電子零組件,被動元件,P,上市,VIA v1.1,,
3026,禾伸堂,電子零組件,被動元件,G,上櫃,VIA v1.1,,
6173,信昌電,電子零組件,被動元件,P,上櫃,VIA v1.1,,
2308,台達電,電子零組件,電源管理,L,上市,VIA v1.1,,
2301,光寶科,電子零組件,電源管理,P,上市,VIA v1.1,,
3015,全漢,電子零組件,電源管理,P,上市,VIA v1.1,,
5263,僑威,電子零組件,電源管理,G,上櫃,VIA v1.1,,
