def_engine_file,def_path,def_project,def_file_role,def_ext,def_sha12,def_engine_param_count,def_total_param_count,def_engine_keys_preview
VDF_MDL401_RegistrySchema (1).json,C:\Users\tonyk\Downloads\VDF_MDL401_RegistrySchema (1).json,VDF,REGISTRY,.json,fffc87e8c61a,7,248,definitions.ExtractionItem.properties.downstream_modules.type; definitions.ExtractionItem.properties.downstream_modules.description; definitions.ExtractionItem.properties.downstream_modules.items.type; definitions.ExtractionItem.properties.downstream_modules.items.pattern; definitions.ExtractionItem.properties.downstream_modules.items.examples[0]; definitions.ExtractionItem.properties.downstream_modules.items.examples[1]; definitions.ExtractionItem.properties.downstream_modules.items.examples[2]
VDF_MDL402_RegistrySample.json,C:\Users\tonyk\Downloads\VDF_MDL402_RegistrySample.json,VDF,REGISTRY,.json,49a5bb5914c0,22,475,items[0].downstream_modules[0]; items[0].downstream_modules[1]; items[1].downstream_modules[0]; items[2].downstream_modules[0]; items[3].downstream_modules[0]; items[4].downstream_modules[0]; items[5].downstream_modules[0]; items[6].downstream_modules[0]; items[7].downstream_modules[0]; items[8].downstream_modules[0]; items[9].downstream_modules[0]; items[10].downstream_modules[0]; items[11].downstream_modules[0]; items[12].downstream_modules[0]; items[13].downstream_modules[0]; items[14].downstream_modules[0]; items[15].downstream_modules[0]; items[15].downstream_modules[1]; items[16].downstream_modules[0]; items[16].downstream_modules[1]
VDF_MDL403_RegistryFull.json,C:\Users\tonyk\Downloads\VDF_MDL403_RegistryFull.json,VDF,REGISTRY,.json,bd1a251ff4a8,241,5162,meta.description; items[0].downstream_modules[0]; items[1].downstream_modules[0]; items[2].downstream_modules[0]; items[3].downstream_modules[0]; items[4].downstream_modules[0]; items[5].downstream_modules[0]; items[6].downstream_modules[0]; items[7].downstream_modules[0]; items[8].downstream_modules[0]; items[9].downstream_modules[0]; items[10].downstream_modules[0]; items[11].downstream_modules[0]; items[12].downstream_modules[0]; items[13].downstream_modules[0]; items[14].downstream_modules[0]; items[15].downstream_modules[0]; items[16].downstream_modules[0]; items[17].downstream_modules[0]; items[18].downstream_modules[0]
VDF_MDL004_TWFullMarketEngine (2).py,C:\Users\tonyk\Downloads\VDF_MDL004_TWFullMarketEngine (2).py,VDF,ENGINE_MODULE,.py,b5748ea4a583,20,113,HTTP_USER_AGENT; function._log; class.TWSEFullMarketFetcher; function.__init__; class.TPEXFullMarketFetcher; function.__init__; class.YFHistoryBulkFetcher; function.__init__; class.YFConsensusFetcher; function.__init__; class.FactSetConsensusFetcher; function.__init__; class.SMAVolMcapCalculator; class.TWFullMarketEngine; function.__init__; function.show_header; function._print_rich_summary; function.f; function._plain_summary; function.main
VDF_MDL007_SSOTResolver (1).py,C:\Users\tonyk\Downloads\VDF_MDL007_SSOTResolver (1).py,VDF,ENGINE_MODULE,.py,af23fd2db2b9,27,101,PROJECT_NAME; HTTP_USER_AGENT; function._log; class.TickerResolver; function.register_name; class.TWSESource; function.__init__; function._cached; function._store; class.TPEXSource; function.__init__; function._cached; function._store; class.MOPSSource; function.__init__; function.register_codes; class.YFinanceSource; function.__init__; class.FactSetSource; function.__init__
VIS_ReleaseRegistry.json,C:\Users\tonyk\Downloads\VIS_ReleaseRegistry.json,VIS,REGISTRY,.json,05ca0a0ee3ee,3,39,Releases[0].Version; Releases[0].Verification.Cycles[3].Result; Releases[0].Principles[3]
VIA_HomeLauncher_Optimized_Consolidated_v1_1_0.html,C:\Users\tonyk\Downloads\VIA_HomeLauncher_Optimized_Consolidated_v1_1_0.html,VIA,UI_VISUAL,.html,6e53d72624d2,3,158,data-sub; data-sub; const HERO
VIA_Main (2).html,C:\Users\tonyk\Downloads\VIA_Main (2).html,VIA,UI_VISUAL,.html,ce07f8546f1c,3,183,data-sub; data-sub; const HERO
VIA_Main.html,C:\Users\tonyk\Downloads\VIA_Main.html,VIA,UI_VISUAL,.html,430809de202f,1,102,const HERO
VIA_AutoPlot_Console (3).html,C:\Users\tonyk\Downloads\VIA_AutoPlot_Console (3).html,VIA,UI_VISUAL,.html,fd23b484494a,1,250,DISPLAY
VIA_AutoPlot_Console (2).html,C:\Users\tonyk\Downloads\VIA_AutoPlot_Console (2).html,VIA,UI_VISUAL,.html,6f32acb29219,1,250,DISPLAY
VIA_AutoPlot_Console (1).html,C:\Users\tonyk\Downloads\VIA_AutoPlot_Console (1).html,VIA,UI_VISUAL,.html,24b40ebb7050,1,188,DISPLAY
VIA_TW_Universe_Builder.py,C:\Users\tonyk\Downloads\VIA_TW_Universe_Builder.py,VIA,UI_VISUAL,.py,43619b80d4a5,7,14,function._req; function.probe; function.fetch_twse; function.fetch_tpex; function.offline_demo; function.write_outputs; function.main
VIA_Inject.py,C:\Users\tonyk\Downloads\VIA_Inject.py,VIA,SOURCE,.py,b76410bfb2c8,8,16,function._axis; function.build_equity; function.col; function.build_etf; function.aum_flow; function.inject_html; function.offline_demo_real; function.main
VIA_TW_Resonance_Stock_Stack (17).html,C:\Users\tonyk\Downloads\VIA_TW_Resonance_Stock_Stack (17).html,VIA,UI_VISUAL,.html,76516baae06a,1,1307,DISPLAY
VIA_ActiveETF_Console (8).html,C:\Users\tonyk\Downloads\VIA_ActiveETF_Console (8).html,VIA,UI_VISUAL,.html,165cde35611f,1,190,const VLOGO
VIA_Governance_Unified_NotionBeginning_Detailed_Anchored_SSOT.runtime.json,C:\Users\tonyk\Downloads\VIA_Governance_Unified_NotionBeginning_Detailed_Anchored_SSOT.runtime.json,VIA,SOURCE,.json,c277310b106c,45,1772,def_anchor_index.anchors[13].anchor_id; def_hardgate_taiwan_stock_ticker_identity.owner_engine; def_udc_contract.owner_engine; def_io_encoding_database_governance.owner_engine; def_vrn_report_ssot.owner_engine; def_vrn_report_ssot.broker_alias_compatibility.source_module; def_vrn_report_ssot.broker_alias_extension.source_module; def_vrn_report_ssot.broker_analyst_adapter_registry.source_module; def_vrn_financial_account_ssot.owner_engine; def_vrn_financial_account_ssot.primary_v0608.source_module; def_vrn_financial_account_ssot.reference_v0599.source_module; def_vrn_financial_account_ssot.reference_v0599.metadata.module; def_vrn_financial_account_ssot.rescue_rules_v06126.source_module; def_environment_governance_from_notion.owner_engine; def_ui_schema_governance.owner_engine; def_source_module_registry.anchor_id; def_source_module_registry.mutability; def_source_module_registry.modules[0].module_name; def_source_module_registry.modules[0].sha256_12; def_source_module_registry.modules[0].bytes
VIA_Governance_Unified_NotionBeginning_Detailed_Anchored_SSOT.yaml,C:\Users\tonyk\Downloads\VIA_Governance_Unified_NotionBeginning_Detailed_Anchored_SSOT.yaml,VIA,SOURCE,.yaml,0c3b984d98f6,23,956,- anchor_id; owner_engine; owner_engine; owner_engine; owner_engine; source_module; source_module; source_module; owner_engine; source_module; source_module; module; source_module; owner_engine; owner_engine; anchor_id; - module_name; - module_name; - module_name; - module_name
VIA_TW_Resonance_Stock_Stack (13).html,C:\Users\tonyk\Downloads\VIA_TW_Resonance_Stock_Stack (13).html,VIA,UI_VISUAL,.html,42109f2a7056,1,1289,DISPLAY
VIA_EnvDetect_Phase1c.ps1,C:\Users\tonyk\Downloads\VIA_EnvDetect_Phase1c.ps1,VIA,SOURCE,.ps1,d2a4789e8468,7,26,function.L; function.Test-PyCandidate; function.Resolve-Py; function.Invoke-EnvManager; function.Parse-Json; function.Get-CachedState; function.Main
VIA_EnvDetect_Phase1b.ps1,C:\Users\tonyk\Downloads\VIA_EnvDetect_Phase1b.ps1,VIA,SOURCE,.ps1,169b2b125e9b,6,26,function.L; function.Test-PyCandidate; function.Resolve-Py; function.Invoke-EnvManager; function.Parse-Json; function.Main
VIA_ActiveETF_Control.ps1,C:\Users\tonyk\Downloads\VIA_ActiveETF_Control.ps1,VIA,SOURCE,.ps1,56c971915eff,16,30,function.L; function.Test-Admin; function.Get-Pwsh7Path; function.Test-ServerUp; function.Test-PortListening; function.Action-Diagnose; function.Action-UpgradePwsh; function.Action-SetupEnv; function.Action-Activate; function.Action-Update; function.Action-Health; function.Action-Stop; function.Action-OpenFolder; function.Action-DeployAll; function.Show-Banner; function.Show-Menu
VIA_ActiveETF_MakeSharePack.ps1,C:\Users\tonyk\Downloads\VIA_ActiveETF_MakeSharePack.ps1,VIA,SOURCE,.ps1,af7c821cedf2,4,16,function.L; function.Get-LatestAio; function.Make-Portable; function.Main
VDF_MDL001_TWEquityEngine.py,C:\Users\tonyk\Downloads\VDF_MDL001_TWEquityEngine.py,VDF,ENGINE_MODULE,.py,f89f2a53f8a5,51,137,SYSTEM_NAME; class.IntelligentDependencyChecker; function.__init__; function._scan_installed_packages; function._display_scan_summary; function._display_installation_summary; class.IntelligentModuleImporter; function.__init__; function._load_veritas; function._set_availability_flags; POLARS_AVAILABLE; PYARROW_AVAILABLE; RICH_AVAILABLE; MATPLOTLIB_AVAILABLE; function._log; function.print_raw_response; class.IndexFileManager; function.__init__; function.save_holiday_dates; function.cleanup_old_backups
VDF_MDL001_TWUniverse_Verify.py,C:\Users\tonyk\Downloads\VDF_MDL001_TWUniverse_Verify.py,VDF,ENGINE_MODULE,.py,67ef6fce465f,10,53,PROJECT_NAME; class.TWUniverseFetcher; function.__init__; class.TWUniverseVerifier; function.__init__; class.OutputManager; function.__init__; function.print_summary_matrix; function._print_plain; function.main
VDF_MDL005_TWStockFilter (1).py,C:\Users\tonyk\Downloads\VDF_MDL005_TWStockFilter (1).py,VDF,ENGINE_MODULE,.py,49861a44fcf1,18,86,UNIVERSE_SOURCE; class.YFinanceConsensusFetcher; function.__init__; class.FactSetConsensusFetcher; function.__init__; class.UpsideCalculator; class.UniverseLoader; function.__init__; class.OutputManager; function.__init__; function._backup; class.StockFilterEngine; function.__init__; function.show_header; function.print_rich_summary; function.f; function._plain; function.main
VDF_OutputManager.py,C:\Users\tonyk\Downloads\VDF_OutputManager.py,VDF,SOURCE,.py,dd77e5ebc763,2,35,class.OutputManager; function._backup
via_structure_forge.py,C:\Users\tonyk\Downloads\via_structure_forge.py,VIA,SOURCE,.py,2374cb2b0bb6,14,24,MODULE_LAYER; SUPPORTIVE_LAYER; MODULE_EXTRAS; function.banner; class.StructureForge; function.__init__; function._mkdir; function._write; function.forge; function.cmd_catalog; function.cmd_header; function.cmd_forge; function.wizard; function.main
VIA_DeployAll.ps1,C:\Users\tonyk\Downloads\VIA_DeployAll.ps1,VIA,SOURCE,.ps1,bdd4854e1e18,3,12,function.Write-Status; function.Invoke-Proc; function.Get-Probe
VIA_ActiveETF_Deploy.ps1,C:\Users\tonyk\Downloads\VIA_ActiveETF_Deploy.ps1,VIA,SOURCE,.ps1,319e2ed34afe,5,15,function.Write-Status; function.Resolve-Python; function.Invoke-Py; function.Get-PkgVersion; function.Test-VersionLt
veritaspulse_VPL-DEMO-01.json,C:\Users\tonyk\Downloads\veritaspulse_VPL-DEMO-01.json,VPL,SOURCE,.json,9e7ff0445901,97,675,project.tasks[2].name; project.tasks[6].name; project.milestones[2].name; project.budget[0].category; project.ledger[2].category; project.ledger[4].category; project.team[1].role; modules[0].id; modules[0].group; modules[0].label; modules[0].icon; modules[0].enabled; modules[1].id; modules[1].group; modules[1].label; modules[1].icon; modules[1].enabled; modules[2].id; modules[2].group; modules[2].label
VeritasPulse_App (3).html,C:\Users\tonyk\Downloads\VeritasPulse_App (3).html,VPL,UI_VISUAL,.html,9dc1a72c13b6,1,306,const P
VDF_FetchSmokeTest_20260517.json,C:\Users\tonyk\Downloads\VDF_FetchSmokeTest_20260517.json,VDF,TEST_VALIDATION,.json,c0b255ff5a25,98,427,engines[0].id; engines[0].group; engines[0].role; engines[0].pattern; engines[0].found; engines[0].file; engines[0].module; engines[0].size; engines[0].last_write; engines[1].id; engines[1].group; engines[1].role; engines[1].pattern; engines[1].found; engines[1].file; engines[1].module; engines[1].size; engines[1].last_write; engines[2].id; engines[2].group
VDF_FetchSmokeTest_20260517_025947.json,C:\Users\tonyk\Downloads\VDF_FetchSmokeTest_20260517_025947.json,VDF,TEST_VALIDATION,.json,c0b255ff5a25,98,427,engines[0].id; engines[0].group; engines[0].role; engines[0].pattern; engines[0].found; engines[0].file; engines[0].module; engines[0].size; engines[0].last_write; engines[1].id; engines[1].group; engines[1].role; engines[1].pattern; engines[1].found; engines[1].file; engines[1].module; engines[1].size; engines[1].last_write; engines[2].id; engines[2].group
VRN_StockOnlyVisualFull_v2.2 (1).ps1,C:\Users\tonyk\Downloads\VRN_StockOnlyVisualFull_v2.2 (1).ps1,VRN,UI_VISUAL,.ps1,9062da570822,7,21,function.Save-PhaseLog; function.Ensure-Dir; function.Get-Python; function.Get-VisualTemplate; function.Write-TextAtomic; function.Write-PythonExtractor; function.Invoke-Main
Invoke-VIA-SSOT-v22-Append.ps1,C:\Users\tonyk\Downloads\Invoke-VIA-SSOT-v22-Append.ps1,VIA,SOURCE,.ps1,d53cf8060fef,5,15,function.Save-Log; function.Get-Python; function.Test-AlreadyAppended; function.Invoke-Append; function.Invoke-Verify
VIA_LL34_Append.ps1,C:\Users\tonyk\Downloads\VIA_LL34_Append.ps1,VIA,SOURCE,.ps1,c7856b8a58ed,1,14,function.Write-Stage
LL34_entry.md,C:\Users\tonyk\Downloads\LL34_entry.md,LL34,SOURCE,.md,8293ceaf88d6,1,28,heading.2
VIA_SSOT_PanoramicAugmenter_v2.ps1,C:\Users\tonyk\Downloads\VIA_SSOT_PanoramicAugmenter_v2.ps1,VIA,SOURCE,.ps1,4444132714fd,3,26,function.Write-Stage; function.Get-FileSha256; function.Invoke-PyScript
VRN_HealthCheck_Summary.json,C:\Users\tonyk\Downloads\VRN_HealthCheck_Summary.json,VRN,REPORT,.json,499c9b49edad,41,410,checks[5].name; checks[7].name; checks[8].name; checks[11].name; checks[13].name; checks[24].name; checks[32].name; checks[33].name; checks[36].name; checks[37].name; checks[38].name; checks[41].name; checks[42].name; checks[45].name; checks[46].name; checks[63].name; checks[64].name; checks[65].name; checks[66].name; checks[67].name
cross_validation_summary.json,C:\Users\tonyk\Downloads\cross_validation_summary.json,UNKNOWN,REPORT,.json,55cf671d912f,29,173,set_A.mdl001_conv; set_A.mdl002_tables; set_A.self_verify.mdl001; set_A.self_verify.mdl002; set_A.self_verify.mdl006; set_A.self_verify.mdl007; set_A.self_verify.mdl008; set_B.mdl001_conv; set_B.mdl002_tables; set_B.self_verify.mdl001; set_B.self_verify.mdl002; set_B.self_verify.mdl006; set_B.self_verify.mdl007; set_B.self_verify.mdl008; cross_validation.checks[2].name; cross_validation.checks[3].name; cross_validation.checks[4].name; cross_validation.checks[5].name; cross_validation.checks[11].name; cross_validation.checks[12].name
panorama_summary.json,C:\Users\tonyk\Downloads\panorama_summary.json,UNKNOWN,REPORT,.json,7dbdb017ce80,32,48,modules.mdl001.version; modules.mdl001.ok; modules.mdl001.elapsed; modules.mdl001.converted; modules.mdl001.self_verify; modules.mdl002.version; modules.mdl002.ok; modules.mdl002.elapsed; modules.mdl002.tables; modules.mdl002.self_verify; modules.mdl006.version; modules.mdl006.ok; modules.mdl006.elapsed; modules.mdl006.match_rate; modules.mdl006.self_verify; modules.mdl007.version; modules.mdl007.ok; modules.mdl007.elapsed; modules.mdl007.rows; modules.mdl007.self_verify
VIF_AllInOne (6).py,C:\Users\tonyk\Downloads\VIF_AllInOne (6).py,UNKNOWN,SOURCE,.py,23431a3145c8,19,65,class.ProcessOptions; function.__post_init__; function._lazy_import; class.ColorizeOptions; function.create_flask_app; function.index; function.api_version; function.api_environment; function.api_via_report; function.api_output_dir; function.api_size_presets; function.api_palettes; function.api_preflight_rembg; function.api_process; function.api_process_batch; function.api_open_output; function.api_output_files; function.api_output_file; function._open_browser
yfinance_universal_engine_v5 (2).py,C:\Users\tonyk\Downloads\yfinance_universal_engine_v5 (2).py,UNKNOWN,ENGINE_MODULE,.py,104ab4c574be,17,108,function.check_and_install_dependencies; class.FileManager; function.__init__; function.cleanup_old_backups; class.DataValidator; class.FinancialDataFetcher; function.__init__; class.YFinanceUniverseTool; function.__init__; function.show_header; function.show_summary; function.save_stock_list; function.run; function.main; function.interactive_menu; function.view_existing_data; function.cleanup_backups
16_d2_d5_schema_chain.json,C:\Users\tonyk\Downloads\16_d2_d5_schema_chain.json,UNKNOWN,SOURCE,.json,d77758a1fb0f,72,197,d2_payloads.VDF_D2_DataEngines_v1.py[0]; d2_payloads.VDF_D2_DataEngines_v1.py[1]; d2_payloads.VDF_D2_DataEngines_v1.py[2]; d2_payloads.VDF_D2_DataEngines_v1.py[3]; d2_payloads.VDF_D2_DataEngines_v1.py[4]; d2_payloads.VDF_D2_DataEngines_v1.py[5]; d2_payloads.VDF_D2_DataEngines_v1.py[6]; d2_payloads.VDF_D2_DataEngines_v1.py[7]; d2_payloads.VDF_D2_DataEngines_v1.py[8]; d2_payloads.VDF_D2_FREDEngine_v2.py[0]; d2_payloads.VDF_D2_FREDEngine_v2.py[1]; d2_payloads.VDF_D2_GlobalUniverseEngine_v2.py[0]; d2_payloads.VDF_D2_GlobalUniverseEngine_v2.py[1]; d2_payloads.VDF_D2_GlobalUniverseEngine_v2.py[2]; d2_payloads.VDF_D2_GlobalUniverseEngine_v2.py[3]; d2_payloads.VDF_D2_GlobalUniverseEngine_v2.py[4]; d2_payloads.VDF_D2_GlobalUniverseEngine_v2.py[5]; d2_payloads.VDF_D2_YFinanceEngine_v2.py[0]; d2_payloads.VDF_D2_YFinanceEngine_v2.py[1]; d2_payloads.VDF_D2_YFinanceEngine_v2.py[2]
VPF_MDL005_族群輪動.py,C:\Users\tonyk\Downloads\VPF_MDL005_族群輪動.py,VPF,ENGINE_MODULE,.py,fc4ad65ce8ab,22,52,class.M00_ThemeLoader; function.__init__; class.M01_FlowLoader; function.__init__; class.M02_ThemeAggregator; function.__init__; class.M03_RotationStore; function.__init__; function._duckdb; function.close; function._write_table; class.M04_AegisSelfTest; function.__init__; class.M05_DashboardRenderer; function.__init__; function._render_snapshot; function.td; function._render_nday; function.td; function._render_heatmap
VDF_NexusCore_SentimentStrength_Input.json,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_vdf_inputs\VDF_NexusCore_SentimentStrength_Input.json,VDF,SOURCE,.json,1689053a00c3,8,28,action; module; registry_json; registry_csv; supportive_tools.nexus_readme; supportive_tools.nexus_ps1; supportive_tools.polyglot_check_test_repair_ps1; import_policy.create_engine_if_missing
VDF_SentimentStrength_Input.json,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_vdf_inputs\VDF_SentimentStrength_Input.json,VDF,SOURCE,.json,d6f512a30690,3,53,module; router_name; paths.engine_dir
VDF_SupportiveTools_Implement_Input.json,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_vdf_inputs\VDF_SupportiveTools_Implement_Input.json,VDF,SOURCE,.json,5a2ba2bc7124,11,95,module; supportive_tools.static_validation_json; supportive_tools.safe_polyglot_optimizer; supportive_tools.safe_polyglot_optimizer_aio; supportive_tools.safe_polyglot_optimizer_readme; supportive_tools.nexus_readme; supportive_tools.nexus_core; supportive_tools.polyglot_check_test_repair; registry.registry_json; registry.registry_csv; registry.active_pointer_json
VDF_SentimentStrength_Registry.json,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_vdf_registry\VDF_SentimentStrength_Registry.json,VDF,REGISTRY,.json,9ac7e98087fd,3,30,rows[0].def_engine_file; rows[1].def_engine_file; rows[2].def_engine_file
VDF_SupportiveTools_Implement_Summary.json,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_vdf_logs\RUN_20260619_130434_VDF_SUPPORTIVE_TOOLS_IMPLEMENT_v0100\VDF_SupportiveTools_Implement_Summary.json,VDF,REPORT,.json,0e8dc2fd10a0,4,290,registry_json; registry_csv; active_pointer_json; report_html
VDF_SentimentStrength_Import_Summary.json,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_vdf_logs\RUN_20260619_131457_VDF_SENTIMENT_STRENGTH_v0100\VDF_SentimentStrength_Import_Summary.json,VDF,REPORT,.json,a6fa76bc3e9c,4,22,status; generated_files.aaii_engine; generated_files.cnn_proxy_engine; generated_files.strength_engine
VDF_SupportiveTools_Implement_Summary.json,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_vdf_logs\RUN_20260619_131549_VDF_SUPPORTIVE_TOOLS_IMPLEMENT_v0100\VDF_SupportiveTools_Implement_Summary.json,VDF,REPORT,.json,6a1649f063d6,4,290,registry_json; registry_csv; active_pointer_json; report_html
VDF_SupportiveTools_Implement_Summary.json,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_vdf_logs\RUN_20260619_131814_VDF_SUPPORTIVE_TOOLS_IMPLEMENT_v0100\VDF_SupportiveTools_Implement_Summary.json,VDF,REPORT,.json,65c745ff0fda,4,290,registry_json; registry_csv; active_pointer_json; report_html
chartspec_registry.json,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\chartspec_registry.json,UNKNOWN,REGISTRY,.json,65758292949b,3,34,chartspec.finance.engine; chartspec.econ.engine; chartspec.map.engine
Invoke-VeritasNexusCore.ps1,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\Invoke-VeritasNexusCore.ps1,UNKNOWN,SOURCE,.ps1,f00501761ef6,15,42,function.def_WriteLine; function.def_EnsureDir; function.def_EnsureOutputDirs; function.def_ResolvePython; function.def_WriteHtmlTable; function.def_Action_Matrix; function.def_Action_ScanOnly; function.def_Action_BuildRegistry; function.def_Action_HardGate; function.def_Action_EnvPlan; function.def_Action_AccelerationPlan; function.def_Action_DownloadOnly; function.def_Action_Validate; function.def_Action_Install; function.def_Main
Invoke-VIA-PolyglotCheckTestRepair-v0101.ps1,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\Invoke-VIA-PolyglotCheckTestRepair-v0101.ps1,VIA,TEST_VALIDATION,.ps1,265cef36c198,16,76,function.Invoke-VIA-PolyglotCheckTestRepair-v0101; function.def_Stamp; function.def_Iso; function.def_Mkdir; function.def_Html; function.def_WriteText; function.def_WriteJson; function.def_Csv; function.def_Hash; function.def_Phase; function.def_AddRow; Module; function.def_Proc; function.def_Grade; function.def_Excluded; function.def_Tool
Invoke-VIA-SafePolyglotOptimizer-AIO-v0102.ps1,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\Invoke-VIA-SafePolyglotOptimizer-AIO-v0102.ps1,VIA,SOURCE,.ps1,9b31dc0b6600,31,138,function.def_ResolveDefaultPaths; function.def_WriteLine; function.def_EnsureDirectory; function.def_GetSha256; function.def_ReadTextSafe; function.def_WriteTextSafe; function.def_ToJsonFile; function.def_NewRunDirectory; function.def_GetSafetyPolicyRows; function.def_GetForbiddenPatternRows; function.def_ScanForbiddenPatterns; function.def_TestProtectedAnchorPath; function.def_GetInputManifest; function.def_CopyInputsToSandbox; function.def_FindOperationOptimizerHtml; function.def_ParsePowerShellAstSafe; function.def_ScanCodeAnchors; function.def_FindSubProjectsSafe; function.def_ClassifyIssue; function.def_NewToolRow
Invoke-VIA-UltimateEngineForge-AIO-v060.ps1,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\Invoke-VIA-UltimateEngineForge-AIO-v060.ps1,VEF,ENGINE_MODULE,.ps1,a3d947cf0439,81,233,BuildEngineStubs; def_PARAM_RUN_ID; def_ENGINE_FORGE_DIR; def_ENGINE_DIR; def_ENGINE_CONFIG_DIR; def_ENGINE_REGISTRY_DIR; def_ENGINE_FREEZE_DIR; def_ENGINE_REGISTRY_JSON; def_ENGINE_REGISTRY_CSV; def_ENGINE_CAPABILITY_CSV; def_ENGINE_DEPENDENCY_CSV; def_ENGINE_FREEZE_JSON; def_ENGINE_FREEZE_CSV; def_ENGINE_CONFIG_JSON; function.def_EnsureDirectory; function.def_AsPlainArray; function.def_CountSafe; function.def_HtmlEncode; function.def_WriteLog; function.def_GetPercent
Read_Me_VeritasNexusCore.md,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\Read_Me_VeritasNexusCore.md,UNKNOWN,SOURCE,.md,e17a9d1312f6,2,45,heading.2; C
schema_registry.json,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\schema_registry.json,UNKNOWN,REGISTRY,.json,0fe89f3562b2,8,42,schemas.database_engine.required[0]; schemas.database_engine.required[1]; schemas.database_engine.required[2]; schemas.database_engine.required[3]; schemas.database_engine.allowed[0]; schemas.database_engine.allowed[1]; schemas.database_engine.allowed[2]; schemas.database_engine.allowed[3]
vap_orchestrator.js,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\vap_orchestrator.js,UNKNOWN,SOURCE,.js,9f6115b45188,6,7,function.def_log; function.def_emit; function.def_setGlobalTime; function.def_setPage; function.def_setRegion; function.def_setAsset
VIA_EngineForge_Config.template.json,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\VIA_EngineForge_Config.template.json,VEF,CONFIG_TEMPLATE,.json,b14ba6667bae,2,28,schema; build_engine_stubs
