"def_bridge_type","def_project","def_engine_file","def_file_role","def_engine_param_count","def_total_param_count","def_next_action","def_path","def_keys_preview"
"PARAMETER_ENGINE","VDF","VDF_MDL401_RegistrySchema (1).json","REGISTRY","7","248","KEEP_AND_REGISTER","C:\Users\tonyk\Downloads\VDF_MDL401_RegistrySchema (1).json","definitions.ExtractionItem.properties.downstream_modules.type; definitions.ExtractionItem.properties.downstream_modules.description; definitions.ExtractionItem.properties.downstream_modules.items.type; definitions.ExtractionItem.properties.downstream_modules.items.pattern; definitions.ExtractionItem.properties.downstream_modules.items.examples[0]; definitions.ExtractionItem.properties.downstream_modules.items.examples[1]; definitions.ExtractionItem.properties.downstream_modules.items.examples[2]"
"PARAMETER_ENGINE","VDF","VDF_MDL402_RegistrySample.json","REGISTRY","22","475","KEEP_AND_REGISTER","C:\Users\tonyk\Downloads\VDF_MDL402_RegistrySample.json","items[0].downstream_modules[0]; items[0].downstream_modules[1]; items[1].downstream_modules[0]; items[2].downstream_modules[0]; items[3].downstream_modules[0]; items[4].downstream_modules[0]; items[5].downstream_modules[0]; items[6].downstream_modules[0]; items[7].downstream_modules[0]; items[8].downstream_modules[0]; items[9].downstream_modules[0]; items[10].downstream_modules[0]; items[11].downstream_modules[0]; items[12].downstream_modules[0]; items[13].downstream_modules[0]; items[14].downstream_modules[0]; items[15].downstream_modules[0]; items[15].downstream_modules[1]; items[16].downstr..."
"PARAMETER_ENGINE","VDF","VDF_MDL403_RegistryFull.json","REGISTRY","241","5162","KEEP_AND_REGISTER","C:\Users\tonyk\Downloads\VDF_MDL403_RegistryFull.json","meta.description; items[0].downstream_modules[0]; items[1].downstream_modules[0]; items[2].downstream_modules[0]; items[3].downstream_modules[0]; items[4].downstream_modules[0]; items[5].downstream_modules[0]; items[6].downstream_modules[0]; items[7].downstream_modules[0]; items[8].downstream_modules[0]; items[9].downstream_modules[0]; items[10].downstream_modules[0]; items[11].downstream_modules[0]; items[12].downstream_modules[0]; items[13].downstream_modules[0]; items[14].downstream_modules[0]; items[15].downstream_modules[0]; items[16].downstream_modules[0]; items[17].downstream_modules[0]..."
"PARAMETER_ENGINE","VDF","VDF_MDL004_TWFullMarketEngine (2).py","ENGINE_MODULE","20","113","KEEP_AND_REGISTER","C:\Users\tonyk\Downloads\VDF_MDL004_TWFullMarketEngine (2).py","HTTP_USER_AGENT; function._log; class.TWSEFullMarketFetcher; function.__init__; class.TPEXFullMarketFetcher; function.__init__; class.YFHistoryBulkFetcher; function.__init__; class.YFConsensusFetcher; function.__init__; class.FactSetConsensusFetcher; function.__init__; class.SMAVolMcapCalculator; class.TWFullMarketEngine; function.__init__; function.show_header; function._print_rich_summary; function.f; function._plain_summary; function.main"
"PARAMETER_ENGINE","VDF","VDF_MDL007_SSOTResolver (1).py","ENGINE_MODULE","27","101","KEEP_AND_REGISTER","C:\Users\tonyk\Downloads\VDF_MDL007_SSOTResolver (1).py","PROJECT_NAME; HTTP_USER_AGENT; function._log; class.TickerResolver; function.register_name; class.TWSESource; function.__init__; function._cached; function._store; class.TPEXSource; function.__init__; function._cached; function._store; class.MOPSSource; function.__init__; function.register_codes; class.YFinanceSource; function.__init__; class.FactSetSource; function.__init__"
"PARAMETER_ENGINE","VIS","VIS_ReleaseRegistry.json","REGISTRY","3","39","KEEP_AND_REGISTER","C:\Users\tonyk\Downloads\VIS_ReleaseRegistry.json","Releases[0].Version; Releases[0].Verification.Cycles[3].Result; Releases[0].Principles[3]"
"PARAMETER_ENGINE","VIA","VIA_HomeLauncher_Optimized_Consolidated_v1_1_0.html","UI_VISUAL","3","158","KEEP_AND_REGISTER","C:\Users\tonyk\Downloads\VIA_HomeLauncher_Optimized_Consolidated_v1_1_0.html","data-sub; data-sub; const HERO"
"PARAMETER_ENGINE","VIA","VIA_Main (2).html","UI_VISUAL","3","183","KEEP_AND_REGISTER","C:\Users\tonyk\Downloads\VIA_Main (2).html","data-sub; data-sub; const HERO"
"PARAMETER_ENGINE","VIA","VIA_Main.html","UI_VISUAL","1","102","KEEP_AND_REGISTER","C:\Users\tonyk\Downloads\VIA_Main.html","const HERO"
"PARAMETER_ENGINE","VIA","VIA_AutoPlot_Console (3).html","UI_VISUAL","1","250","KEEP_AND_REGISTER","C:\Users\tonyk\Downloads\VIA_AutoPlot_Console (3).html","DISPLAY"
"PARAMETER_ENGINE","VIA","VIA_AutoPlot_Console (2).html","UI_VISUAL","1","250","KEEP_AND_REGISTER","C:\Users\tonyk\Downloads\VIA_AutoPlot_Console (2).html","DISPLAY"
"PARAMETER_ENGINE","VIA","VIA_AutoPlot_Console (1).html","UI_VISUAL","1","188","KEEP_AND_REGISTER","C:\Users\tonyk\Downloads\VIA_AutoPlot_Console (1).html","DISPLAY"
"PARAMETER_ENGINE","VIA","VIA_TW_Universe_Builder.py","UI_VISUAL","7","14","KEEP_AND_REGISTER","C:\Users\tonyk\Downloads\VIA_TW_Universe_Builder.py","function._req; function.probe; function.fetch_twse; function.fetch_tpex; function.offline_demo; function.write_outputs; function.main"
"PARAMETER_ENGINE","VIA","VIA_Inject.py","SOURCE","8","16","KEEP_AND_REGISTER","C:\Users\tonyk\Downloads\VIA_Inject.py","function._axis; function.build_equity; function.col; function.build_etf; function.aum_flow; function.inject_html; function.offline_demo_real; function.main"
"PARAMETER_ENGINE","VIA","VIA_TW_Resonance_Stock_Stack (17).html","UI_VISUAL","1","1307","KEEP_AND_REGISTER","C:\Users\tonyk\Downloads\VIA_TW_Resonance_Stock_Stack (17).html","DISPLAY"
"PARAMETER_ENGINE","VIA","VIA_ActiveETF_Console (8).html","UI_VISUAL","1","190","KEEP_AND_REGISTER","C:\Users\tonyk\Downloads\VIA_ActiveETF_Console (8).html","const VLOGO"
"PARAMETER_ENGINE","VIA","VIA_Governance_Unified_NotionBeginning_Detailed_Anchored_SSOT.runtime.json","SOURCE","45","1772","KEEP_AND_REGISTER","C:\Users\tonyk\Downloads\VIA_Governance_Unified_NotionBeginning_Detailed_Anchored_SSOT.runtime.json","def_anchor_index.anchors[13].anchor_id; def_hardgate_taiwan_stock_ticker_identity.owner_engine; def_udc_contract.owner_engine; def_io_encoding_database_governance.owner_engine; def_vrn_report_ssot.owner_engine; def_vrn_report_ssot.broker_alias_compatibility.source_module; def_vrn_report_ssot.broker_alias_extension.source_module; def_vrn_report_ssot.broker_analyst_adapter_registry.source_module; def_vrn_financial_account_ssot.owner_engine; def_vrn_financial_account_ssot.primary_v0608.source_module; def_vrn_financial_account_ssot.reference_v0599.source_module; def_vrn_financial_account_ssot.refe..."
"PARAMETER_ENGINE","VIA","VIA_Governance_Unified_NotionBeginning_Detailed_Anchored_SSOT.yaml","SOURCE","23","956","KEEP_AND_REGISTER","C:\Users\tonyk\Downloads\VIA_Governance_Unified_NotionBeginning_Detailed_Anchored_SSOT.yaml","- anchor_id; owner_engine; owner_engine; owner_engine; owner_engine; source_module; source_module; source_module; owner_engine; source_module; source_module; module; source_module; owner_engine; owner_engine; anchor_id; - module_name; - module_name; - module_name; - module_name"
"PARAMETER_ENGINE","VIA","VIA_TW_Resonance_Stock_Stack (13).html","UI_VISUAL","1","1289","KEEP_AND_REGISTER","C:\Users\tonyk\Downloads\VIA_TW_Resonance_Stock_Stack (13).html","DISPLAY"
"PARAMETER_ENGINE","VIA","VIA_EnvDetect_Phase1c.ps1","SOURCE","7","26","KEEP_AND_REGISTER","C:\Users\tonyk\Downloads\VIA_EnvDetect_Phase1c.ps1","function.L; function.Test-PyCandidate; function.Resolve-Py; function.Invoke-EnvManager; function.Parse-Json; function.Get-CachedState; function.Main"
"PARAMETER_ENGINE","VIA","VIA_EnvDetect_Phase1b.ps1","SOURCE","6","26","KEEP_AND_REGISTER","C:\Users\tonyk\Downloads\VIA_EnvDetect_Phase1b.ps1","function.L; function.Test-PyCandidate; function.Resolve-Py; function.Invoke-EnvManager; function.Parse-Json; function.Main"
"PARAMETER_ENGINE","VIA","VIA_ActiveETF_Control.ps1","SOURCE","16","30","KEEP_AND_REGISTER","C:\Users\tonyk\Downloads\VIA_ActiveETF_Control.ps1","function.L; function.Test-Admin; function.Get-Pwsh7Path; function.Test-ServerUp; function.Test-PortListening; function.Action-Diagnose; function.Action-UpgradePwsh; function.Action-SetupEnv; function.Action-Activate; function.Action-Update; function.Action-Health; function.Action-Stop; function.Action-OpenFolder; function.Action-DeployAll; function.Show-Banner; function.Show-Menu"
"PARAMETER_ENGINE","VIA","VIA_ActiveETF_MakeSharePack.ps1","SOURCE","4","16","KEEP_AND_REGISTER","C:\Users\tonyk\Downloads\VIA_ActiveETF_MakeSharePack.ps1","function.L; function.Get-LatestAio; function.Make-Portable; function.Main"
"PARAMETER_ENGINE","VDF","VDF_MDL001_TWEquityEngine.py","ENGINE_MODULE","51","137","KEEP_AND_REGISTER","C:\Users\tonyk\Downloads\VDF_MDL001_TWEquityEngine.py","SYSTEM_NAME; class.IntelligentDependencyChecker; function.__init__; function._scan_installed_packages; function._display_scan_summary; function._display_installation_summary; class.IntelligentModuleImporter; function.__init__; function._load_veritas; function._set_availability_flags; POLARS_AVAILABLE; PYARROW_AVAILABLE; RICH_AVAILABLE; MATPLOTLIB_AVAILABLE; function._log; function.print_raw_response; class.IndexFileManager; function.__init__; function.save_holiday_dates; function.cleanup_old_backups"
"PARAMETER_ENGINE","VDF","VDF_MDL001_TWUniverse_Verify.py","ENGINE_MODULE","10","53","KEEP_AND_REGISTER","C:\Users\tonyk\Downloads\VDF_MDL001_TWUniverse_Verify.py","PROJECT_NAME; class.TWUniverseFetcher; function.__init__; class.TWUniverseVerifier; function.__init__; class.OutputManager; function.__init__; function.print_summary_matrix; function._print_plain; function.main"
"PARAMETER_ENGINE","VDF","VDF_MDL005_TWStockFilter (1).py","ENGINE_MODULE","18","86","KEEP_AND_REGISTER","C:\Users\tonyk\Downloads\VDF_MDL005_TWStockFilter (1).py","UNIVERSE_SOURCE; class.YFinanceConsensusFetcher; function.__init__; class.FactSetConsensusFetcher; function.__init__; class.UpsideCalculator; class.UniverseLoader; function.__init__; class.OutputManager; function.__init__; function._backup; class.StockFilterEngine; function.__init__; function.show_header; function.print_rich_summary; function.f; function._plain; function.main"
"PARAMETER_ENGINE","VDF","VDF_OutputManager.py","SOURCE","2","35","KEEP_AND_REGISTER","C:\Users\tonyk\Downloads\VDF_OutputManager.py","class.OutputManager; function._backup"
"PARAMETER_ENGINE","VIA","via_structure_forge.py","SOURCE","14","24","KEEP_AND_REGISTER","C:\Users\tonyk\Downloads\via_structure_forge.py","MODULE_LAYER; SUPPORTIVE_LAYER; MODULE_EXTRAS; function.banner; class.StructureForge; function.__init__; function._mkdir; function._write; function.forge; function.cmd_catalog; function.cmd_header; function.cmd_forge; function.wizard; function.main"
"PARAMETER_ENGINE","VIA","VIA_DeployAll.ps1","SOURCE","3","12","KEEP_AND_REGISTER","C:\Users\tonyk\Downloads\VIA_DeployAll.ps1","function.Write-Status; function.Invoke-Proc; function.Get-Probe"
"PARAMETER_ENGINE","VIA","VIA_ActiveETF_Deploy.ps1","SOURCE","5","15","KEEP_AND_REGISTER","C:\Users\tonyk\Downloads\VIA_ActiveETF_Deploy.ps1","function.Write-Status; function.Resolve-Python; function.Invoke-Py; function.Get-PkgVersion; function.Test-VersionLt"
"PARAMETER_ENGINE","VPL","veritaspulse_VPL-DEMO-01.json","SOURCE","97","675","KEEP_AND_REGISTER","C:\Users\tonyk\Downloads\veritaspulse_VPL-DEMO-01.json","project.tasks[2].name; project.tasks[6].name; project.milestones[2].name; project.budget[0].category; project.ledger[2].category; project.ledger[4].category; project.team[1].role; modules[0].id; modules[0].group; modules[0].label; modules[0].icon; modules[0].enabled; modules[1].id; modules[1].group; modules[1].label; modules[1].icon; modules[1].enabled; modules[2].id; modules[2].group; modules[2].label"
"PARAMETER_ENGINE","VPL","VeritasPulse_App (3).html","UI_VISUAL","1","306","KEEP_AND_REGISTER","C:\Users\tonyk\Downloads\VeritasPulse_App (3).html","const P"
"PARAMETER_ENGINE","VDF","VDF_FetchSmokeTest_20260517.json","TEST_VALIDATION","98","427","KEEP_AND_REGISTER","C:\Users\tonyk\Downloads\VDF_FetchSmokeTest_20260517.json","engines[0].id; engines[0].group; engines[0].role; engines[0].pattern; engines[0].found; engines[0].file; engines[0].module; engines[0].size; engines[0].last_write; engines[1].id; engines[1].group; engines[1].role; engines[1].pattern; engines[1].found; engines[1].file; engines[1].module; engines[1].size; engines[1].last_write; engines[2].id; engines[2].group"
"PARAMETER_ENGINE","VDF","VDF_FetchSmokeTest_20260517_025947.json","TEST_VALIDATION","98","427","KEEP_AND_REGISTER","C:\Users\tonyk\Downloads\VDF_FetchSmokeTest_20260517_025947.json","engines[0].id; engines[0].group; engines[0].role; engines[0].pattern; engines[0].found; engines[0].file; engines[0].module; engines[0].size; engines[0].last_write; engines[1].id; engines[1].group; engines[1].role; engines[1].pattern; engines[1].found; engines[1].file; engines[1].module; engines[1].size; engines[1].last_write; engines[2].id; engines[2].group"
"PARAMETER_ENGINE","VRN","VRN_StockOnlyVisualFull_v2.2 (1).ps1","UI_VISUAL","7","21","KEEP_AND_REGISTER","C:\Users\tonyk\Downloads\VRN_StockOnlyVisualFull_v2.2 (1).ps1","function.Save-PhaseLog; function.Ensure-Dir; function.Get-Python; function.Get-VisualTemplate; function.Write-TextAtomic; function.Write-PythonExtractor; function.Invoke-Main"
"PARAMETER_ENGINE","VIA","Invoke-VIA-SSOT-v22-Append.ps1","SOURCE","5","15","KEEP_AND_REGISTER","C:\Users\tonyk\Downloads\Invoke-VIA-SSOT-v22-Append.ps1","function.Save-Log; function.Get-Python; function.Test-AlreadyAppended; function.Invoke-Append; function.Invoke-Verify"
"PARAMETER_ENGINE","VIA","VIA_LL34_Append.ps1","SOURCE","1","14","KEEP_AND_REGISTER","C:\Users\tonyk\Downloads\VIA_LL34_Append.ps1","function.Write-Stage"
"PARAMETER_ENGINE","LL34","LL34_entry.md","SOURCE","1","28","KEEP_AND_REGISTER","C:\Users\tonyk\Downloads\LL34_entry.md","heading.2"
"PARAMETER_ENGINE","VIA","VIA_SSOT_PanoramicAugmenter_v2.ps1","SOURCE","3","26","KEEP_AND_REGISTER","C:\Users\tonyk\Downloads\VIA_SSOT_PanoramicAugmenter_v2.ps1","function.Write-Stage; function.Get-FileSha256; function.Invoke-PyScript"
"PARAMETER_ENGINE","VRN","VRN_HealthCheck_Summary.json","REPORT","41","410","KEEP_AND_REGISTER","C:\Users\tonyk\Downloads\VRN_HealthCheck_Summary.json","checks[5].name; checks[7].name; checks[8].name; checks[11].name; checks[13].name; checks[24].name; checks[32].name; checks[33].name; checks[36].name; checks[37].name; checks[38].name; checks[41].name; checks[42].name; checks[45].name; checks[46].name; checks[63].name; checks[64].name; checks[65].name; checks[66].name; checks[67].name"
"PARAMETER_ENGINE","UNKNOWN","cross_validation_summary.json","REPORT","29","173","CLASSIFY_PROJECT","C:\Users\tonyk\Downloads\cross_validation_summary.json","set_A.mdl001_conv; set_A.mdl002_tables; set_A.self_verify.mdl001; set_A.self_verify.mdl002; set_A.self_verify.mdl006; set_A.self_verify.mdl007; set_A.self_verify.mdl008; set_B.mdl001_conv; set_B.mdl002_tables; set_B.self_verify.mdl001; set_B.self_verify.mdl002; set_B.self_verify.mdl006; set_B.self_verify.mdl007; set_B.self_verify.mdl008; cross_validation.checks[2].name; cross_validation.checks[3].name; cross_validation.checks[4].name; cross_validation.checks[5].name; cross_validation.checks[11].name; cross_validation.checks[12].name"
"PARAMETER_ENGINE","UNKNOWN","panorama_summary.json","REPORT","32","48","CLASSIFY_PROJECT","C:\Users\tonyk\Downloads\panorama_summary.json","modules.mdl001.version; modules.mdl001.ok; modules.mdl001.elapsed; modules.mdl001.converted; modules.mdl001.self_verify; modules.mdl002.version; modules.mdl002.ok; modules.mdl002.elapsed; modules.mdl002.tables; modules.mdl002.self_verify; modules.mdl006.version; modules.mdl006.ok; modules.mdl006.elapsed; modules.mdl006.match_rate; modules.mdl006.self_verify; modules.mdl007.version; modules.mdl007.ok; modules.mdl007.elapsed; modules.mdl007.rows; modules.mdl007.self_verify"
"PARAMETER_ENGINE","UNKNOWN","VIF_AllInOne (6).py","SOURCE","19","65","CLASSIFY_PROJECT","C:\Users\tonyk\Downloads\VIF_AllInOne (6).py","class.ProcessOptions; function.__post_init__; function._lazy_import; class.ColorizeOptions; function.create_flask_app; function.index; function.api_version; function.api_environment; function.api_via_report; function.api_output_dir; function.api_size_presets; function.api_palettes; function.api_preflight_rembg; function.api_process; function.api_process_batch; function.api_open_output; function.api_output_files; function.api_output_file; function._open_browser"
"PARAMETER_ENGINE","UNKNOWN","yfinance_universal_engine_v5 (2).py","ENGINE_MODULE","17","108","CLASSIFY_PROJECT","C:\Users\tonyk\Downloads\yfinance_universal_engine_v5 (2).py","function.check_and_install_dependencies; class.FileManager; function.__init__; function.cleanup_old_backups; class.DataValidator; class.FinancialDataFetcher; function.__init__; class.YFinanceUniverseTool; function.__init__; function.show_header; function.show_summary; function.save_stock_list; function.run; function.main; function.interactive_menu; function.view_existing_data; function.cleanup_backups"
"PARAMETER_ENGINE","UNKNOWN","16_d2_d5_schema_chain.json","SOURCE","72","197","CLASSIFY_PROJECT","C:\Users\tonyk\Downloads\16_d2_d5_schema_chain.json","d2_payloads.VDF_D2_DataEngines_v1.py[0]; d2_payloads.VDF_D2_DataEngines_v1.py[1]; d2_payloads.VDF_D2_DataEngines_v1.py[2]; d2_payloads.VDF_D2_DataEngines_v1.py[3]; d2_payloads.VDF_D2_DataEngines_v1.py[4]; d2_payloads.VDF_D2_DataEngines_v1.py[5]; d2_payloads.VDF_D2_DataEngines_v1.py[6]; d2_payloads.VDF_D2_DataEngines_v1.py[7]; d2_payloads.VDF_D2_DataEngines_v1.py[8]; d2_payloads.VDF_D2_FREDEngine_v2.py[0]; d2_payloads.VDF_D2_FREDEngine_v2.py[1]; d2_payloads.VDF_D2_GlobalUniverseEngine_v2.py[0]; d2_payloads.VDF_D2_GlobalUniverseEngine_v2.py[1]; d2_payloads.VDF_D2_GlobalUniverseEngine_v2.py[2]; d..."
"PARAMETER_ENGINE","VPF","VPF_MDL005_族群輪動.py","ENGINE_MODULE","22","52","KEEP_AND_REGISTER","C:\Users\tonyk\Downloads\VPF_MDL005_族群輪動.py","class.M00_ThemeLoader; function.__init__; class.M01_FlowLoader; function.__init__; class.M02_ThemeAggregator; function.__init__; class.M03_RotationStore; function.__init__; function._duckdb; function.close; function._write_table; class.M04_AegisSelfTest; function.__init__; class.M05_DashboardRenderer; function.__init__; function._render_snapshot; function.td; function._render_nday; function.td; function._render_heatmap"
"PARAMETER_ENGINE","VDF","VDF_NexusCore_SentimentStrength_Input.json","SOURCE","8","28","KEEP_AND_REGISTER","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_vdf_inputs\VDF_NexusCore_SentimentStrength_Input.json","action; module; registry_json; registry_csv; supportive_tools.nexus_readme; supportive_tools.nexus_ps1; supportive_tools.polyglot_check_test_repair_ps1; import_policy.create_engine_if_missing"
"PARAMETER_ENGINE","VDF","VDF_SentimentStrength_Input.json","SOURCE","3","53","KEEP_AND_REGISTER","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_vdf_inputs\VDF_SentimentStrength_Input.json","module; router_name; paths.engine_dir"
"PARAMETER_ENGINE","VDF","VDF_SupportiveTools_Implement_Input.json","SOURCE","11","95","KEEP_AND_REGISTER","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_vdf_inputs\VDF_SupportiveTools_Implement_Input.json","module; supportive_tools.static_validation_json; supportive_tools.safe_polyglot_optimizer; supportive_tools.safe_polyglot_optimizer_aio; supportive_tools.safe_polyglot_optimizer_readme; supportive_tools.nexus_readme; supportive_tools.nexus_core; supportive_tools.polyglot_check_test_repair; registry.registry_json; registry.registry_csv; registry.active_pointer_json"
"PARAMETER_ENGINE","VDF","VDF_SentimentStrength_Registry.json","REGISTRY","3","30","KEEP_AND_REGISTER","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_vdf_registry\VDF_SentimentStrength_Registry.json","rows[0].def_engine_file; rows[1].def_engine_file; rows[2].def_engine_file"
"PARAMETER_ENGINE","VDF","VDF_SupportiveTools_Implement_Summary.json","REPORT","4","290","KEEP_AND_REGISTER","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_vdf_logs\RUN_20260619_130434_VDF_SUPPORTIVE_TOOLS_IMPLEMENT_v0100\VDF_SupportiveTools_Implement_Summary.json","registry_json; registry_csv; active_pointer_json; report_html"
"PARAMETER_ENGINE","VDF","VDF_SentimentStrength_Import_Summary.json","REPORT","4","22","KEEP_AND_REGISTER","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_vdf_logs\RUN_20260619_131457_VDF_SENTIMENT_STRENGTH_v0100\VDF_SentimentStrength_Import_Summary.json","status; generated_files.aaii_engine; generated_files.cnn_proxy_engine; generated_files.strength_engine"
"PARAMETER_ENGINE","VDF","VDF_SupportiveTools_Implement_Summary.json","REPORT","4","290","KEEP_AND_REGISTER","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_vdf_logs\RUN_20260619_131549_VDF_SUPPORTIVE_TOOLS_IMPLEMENT_v0100\VDF_SupportiveTools_Implement_Summary.json","registry_json; registry_csv; active_pointer_json; report_html"
"PARAMETER_ENGINE","VDF","VDF_SupportiveTools_Implement_Summary.json","REPORT","4","290","KEEP_AND_REGISTER","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_vdf_logs\RUN_20260619_131814_VDF_SUPPORTIVE_TOOLS_IMPLEMENT_v0100\VDF_SupportiveTools_Implement_Summary.json","registry_json; registry_csv; active_pointer_json; report_html"
"PARAMETER_ENGINE","UNKNOWN","chartspec_registry.json","REGISTRY","3","34","CLASSIFY_PROJECT","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\chartspec_registry.json","chartspec.finance.engine; chartspec.econ.engine; chartspec.map.engine"
"PARAMETER_ENGINE","UNKNOWN","Invoke-VeritasNexusCore.ps1","SOURCE","15","42","CLASSIFY_PROJECT","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\Invoke-VeritasNexusCore.ps1","function.def_WriteLine; function.def_EnsureDir; function.def_EnsureOutputDirs; function.def_ResolvePython; function.def_WriteHtmlTable; function.def_Action_Matrix; function.def_Action_ScanOnly; function.def_Action_BuildRegistry; function.def_Action_HardGate; function.def_Action_EnvPlan; function.def_Action_AccelerationPlan; function.def_Action_DownloadOnly; function.def_Action_Validate; function.def_Action_Install; function.def_Main"
"PARAMETER_ENGINE","VIA","Invoke-VIA-PolyglotCheckTestRepair-v0101.ps1","TEST_VALIDATION","16","76","KEEP_AND_REGISTER","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\Invoke-VIA-PolyglotCheckTestRepair-v0101.ps1","function.Invoke-VIA-PolyglotCheckTestRepair-v0101; function.def_Stamp; function.def_Iso; function.def_Mkdir; function.def_Html; function.def_WriteText; function.def_WriteJson; function.def_Csv; function.def_Hash; function.def_Phase; function.def_AddRow; Module; function.def_Proc; function.def_Grade; function.def_Excluded; function.def_Tool"
"PARAMETER_ENGINE","VIA","Invoke-VIA-SafePolyglotOptimizer-AIO-v0102.ps1","SOURCE","31","138","KEEP_AND_REGISTER","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\Invoke-VIA-SafePolyglotOptimizer-AIO-v0102.ps1","function.def_ResolveDefaultPaths; function.def_WriteLine; function.def_EnsureDirectory; function.def_GetSha256; function.def_ReadTextSafe; function.def_WriteTextSafe; function.def_ToJsonFile; function.def_NewRunDirectory; function.def_GetSafetyPolicyRows; function.def_GetForbiddenPatternRows; function.def_ScanForbiddenPatterns; function.def_TestProtectedAnchorPath; function.def_GetInputManifest; function.def_CopyInputsToSandbox; function.def_FindOperationOptimizerHtml; function.def_ParsePowerShellAstSafe; function.def_ScanCodeAnchors; function.def_FindSubProjectsSafe; function.def_ClassifyIssu..."
