"Time","Round","System","Layer","Name","Status","Risk","Class","Priority","Metric","Value","Message","Path"
"2026-06-15T14:36:19.786+08:00","Round2","VRN","PARQUET_SSOT","Latest BasicInfo Candidate","OK_FOUND","LOW","PARALLEL_SAFE","P0","version","1C.4.1","Broker-backfilled BasicInfo candidate found.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VRN_BROKER_BACKFILL_GATE_v029VRN1C41_20260615_131852\stage_parquet\VRN_ReportBasicInfo_StageFixed_v029VRN1C41.parquet"
"2026-06-15T14:36:19.787+08:00","Round2","VRN","PARQUET_SSOT","Latest ReportText Candidate","OK_FOUND","LOW","PARALLEL_SAFE","P0","version","1C.3","ReportText SSOT candidate found.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VRN_PARQUET_UNIFIED_STAGE_REPAIR_GATE_v029VRN1C3_20260615_125541\stage_parquet\VRN_ReportText_StageFixed_v029VRN1C3.parquet"
"2026-06-15T14:36:19.788+08:00","Round2","VRN","MANIFEST","1C.3 Parquet Manifest","OK_FOUND","LOW","PARALLEL_SAFE","P0","manifest","found","Parquet unified stage manifest found.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VRN_PARQUET_UNIFIED_STAGE_REPAIR_GATE_v029VRN1C3_20260615_125541\registry\VRN_ParquetUnifiedStageManifest_v029VRN1C3.json"
"2026-06-15T14:36:19.794+08:00","Round2","VRN","BROKER_SSOT","Broker Backfill Runtime","WARN_REVIEW_REQUIRED","MEDIUM","SEQUENTIAL_REQUIRED","P1","filled/missing","0/33","Broker dictionary coverage remains incomplete if missing > 0.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VRN_BROKER_BACKFILL_GATE_v029VRN1C41_20260615_131852\runtime\VRN_BrokerBackfill_PythonRuntime_v029VRN1C41.json"
"2026-06-15T14:36:20.347+08:00","Round2","VDF","POINTER","Final Operations Pointer","WARN_MISSING","MEDIUM","SEQUENTIAL_REQUIRED","P1","pointer","missing","Final operations pointer not found under active root.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active"
"2026-06-15T14:36:20.352+08:00","Round2","VDF","SEAL","Final Operations Seal","OK_FOUND","LOW","PARALLEL_SAFE","P0","status","VIA_DUAL_PROJECT_OPERATIONS_SEALED_READY","Final operations seal runtime found.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_FINAL_OPERATIONS_SEAL_v02876_20260611_230723\runtime\VIA_FinalOperationsSeal_Runtime_v02876.json"
"2026-06-15T14:36:20.356+08:00","Round2","VDF","HEALTH","Daily Health","OK_FOUND","LOW","PARALLEL_SAFE","P1","status","DUAL_PROJECT_DAILY_HEALTH_READY","Daily health runtime found.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DAILY_HEALTH_NONTHROWING_MONITOR_v028754_20260611_225535\runtime\VIA_DailyHealthNonThrowingMonitor_Runtime_v028754.json"
"2026-06-15T14:38:15.896+08:00","Round2","VIA","INVENTORY","Parquet Files","OK_FOUND","LOW","PARALLEL_SAFE","P2","files","150","Parquet files found. Parquet is current SSOT data format.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics"
"2026-06-15T14:38:15.897+08:00","Round2","VIA","INVENTORY","DuckDB / DB Files","OK_FOUND","LOW","PARALLEL_SAFE","P2","files","14","DuckDB should be serving layer, not truth source.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics"
"2026-06-15T14:38:15.898+08:00","Round2","VIA","INVENTORY","Schema / SSOT JSON","OK_FOUND","LOW","PARALLEL_SAFE","P2","files","57","Schema/SSOT JSON candidates found.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics"
"2026-06-15T14:38:15.930+08:00","Round3","VIA","SSOT_SCORE","SSOT Completeness","VIA_SSOT_NEXUSCORE_STATUS_READY","LOW","SEQUENTIAL_GATED","P0","score","90","SSOT status assessed from NexusCore, pointer, manifest, parquet and runtime records.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_SSOT_NEXUSCORE_STATUS_INSPECTOR_v029SSOT1A_20260615_143518"
