def_normalized_key,def_occurrences,def_distinct_values,def_groups,def_projects,def_sample_values,def_sample_files,def_severity
target_path,55,54,PATH_IO,UNKNOWN;VIA;VIS;VRN,"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\10_Core_Runtime\VIA_Runtime_Bridge_All_in_One.py || C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\10_Core_Runtime\VIA_RuntimeImportFirewall.py || C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\10_Core_Runtime\VIA_Supportive_Runtime_HardGate_Bridge.py || record.get(""path"", """") || C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\20_Registry_SSOT\VIA_RegistryCore_v1.py || C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\20_Registry_SSOT\VIA_SSOT_Unified.py || C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\20_Registry_SSOT\VIS_Supportive_Module_Index.html || C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\20_Registry_SSOT\VIS_Supportive_Module_Index.json",VETF_VIA_RegistryCore_v1.py; VIA_RegistryCore_v1.py; VIA_RegistryCore_v1.py.freeze.lock.json; VIA_RuntimeImportFirewall.py.freeze.lock.json; VIA_Runtime_Bridge_All_in_One.py.freeze.lock.json; VIA_SSOT_Unified.py.freeze.lock.json; VIA_Supportive_Runtime_HardGate_Bridge.py.freeze.lock.json; VIS_Supportive_Module_Index.html.freeze.lock.json; VIS_Supportive_Module_Index.json.freeze.lock.json,HIGH
target_file,53,53,PATH_IO,UNKNOWN;VIA;VIS;VRN,VIA_Runtime_Bridge_All_in_One.py || VIA_RuntimeImportFirewall.py || VIA_Supportive_Runtime_HardGate_Bridge.py || VIA_RegistryCore_v1.py || VIA_SSOT_Unified.py || VIS_Supportive_Module_Index.html || VIS_Supportive_Module_Index.json || VIA_HardGate_SealEngine.py,VIA_HardGate_SealEngine.py.freeze.lock.json; VIA_RegistryCore_v1.py.freeze.lock.json; VIA_RuntimeImportFirewall.py.freeze.lock.json; VIA_Runtime_Bridge_All_in_One.py.freeze.lock.json; VIA_SSOT_Unified.py.freeze.lock.json; VIA_Supportive_Runtime_HardGate_Bridge.py.freeze.lock.json; VIS_Supportive_Module_Index.html.freeze.lock.json; VIS_Supportive_Module_Index.json.freeze.lock.json,HIGH
block_start,150,49,ENGINE;PATH_IO;SCHEMA_FIELD;VISUAL_LOCK,UNKNOWN;VEF;VIA;VRN,"param( || param([string]$Level,[string]$Message) || param([string[]]$Cand) || param([string[]]$SubArgs,[int]$TimeoutSec,[string]$ActivityLabel) || param([string[]]$SubArgs) || param([string]$Text) || param([int]$P) || param([string]$AioText)",Invoke-VIA-ALL.ps1; Invoke-VIA-UltimateEngineForge-AIO-v060.ps1; VIA_ActiveETF_Control.ps1; VIA_ActiveETF_MakeSharePack.ps1; VIA_EnvDetect_Phase1b.ps1; VIA_EnvDetect_Phase1c.ps1,HIGH
sha256,55,44,GENERAL,UNKNOWN;VIA;VIS;VRN,9b31dc0b660015e154bf8d861f0f4f245db5894b97f3b3ba76325d595c539e29 || b5bdd7a1f29df1325c2e2d9c26a62e7f287f05951ad27ef907ab7e6cb43e442f || 44e6514c7d2b242208611a36e9d725e2ad27a0bc05f16d731ded8f95a2a80900 || 7bed139672c8e1b9c3f61fe12af23781fb865f10954a29bea4d9608755556fa6 || f69dab6bd6c78f8bb012f2eda69064d08570221149777b2a9ab5269ccb8fdfdd || 613700c560aa1c95958f88cfb998f40d162dabfa955d26553279b345dc00c441 || 8a38c287d890fc14051215c986e4a66fab557ad62f5434e9ecfb0e5dc899b4c2 || d8226503e7d46077ddec8024a46fc691020bc183d478b191c2c475a4b243c63a,VETF_VIA_RegistryCore_v1.py.freeze.lock.json; VETF_VIA_RuntimeImportFirewall.py.freeze.lock.json; VETF_VIA_Runtime_Bridge_All_in_One.py.freeze.lock.json; VETF_VIA_SSOT_Unified.py.freeze.lock.json; VETF_VIA_Supportive_Runtime_HardGate_Bridge.py.freeze.lock.json; VIA_RegistryCore_v1.py.freeze.lock.json; VIA_RuntimeImportFirewall.py.freeze.lock.json; VIA_Runtime_Bridge_All_in_One.py.freeze.lock.json; VIA_SSOT_Unified.py.freeze.lock.json; VIA_SafePolyglotOptimizer_v0102_StaticValidation.json; VIA_Supportive_Runtime_HardGate_Bridge.py.freeze.lock.json; VIS_Supportive_Module_Index.html.freeze.lock.json; VIS_Supportive_Module_Index.json.freeze.lock.json,HIGH
source_file,54,44,PATH_IO,UNKNOWN;VIA;VIS;VRN,VIA_Runtime_Bridge_All_in_One.py || VIA_RuntimeImportFirewall.py || VIA_Supportive_Runtime_HardGate_Bridge.py || VIA_RegistryCore_v1.py || VIA_SSOT_Unified.py || VIS_Supportive_Module_Index.html || VIS_Supportive_Module_Index.json || VIA_HardGate_SealEngine.py,VETF_VIA_HardGate_SealEngine.py.freeze.lock.json; VETF_VIA_RegistryCore_v1.py.freeze.lock.json; VETF_VIA_RuntimeImportFirewall.py.freeze.lock.json; VETF_VIA_Runtime_Bridge_All_in_One.py.freeze.lock.json; VETF_VIA_SSOT_Unified.py.freeze.lock.json; VETF_VIA_Supportive_Runtime_HardGate_Bridge.py.freeze.lock.json; VIA_HardGate_SealEngine.py.freeze.lock.json; VIA_RegistryCore_v1.py.freeze.lock.json; VIA_RuntimeImportFirewall.py.freeze.lock.json; VIA_Runtime_Bridge_All_in_One.py.freeze.lock.json; VIA_SSOT_Unified.py.freeze.lock.json; VIA_Supportive_Runtime_HardGate_Bridge.py.freeze.lock.json; VIS_Supportive_Module_Index.html.freeze.lock.json; VIS_Supportive_Module_Index.json.freeze.lock.json,HIGH
source_path,53,43,PATH_IO,UNKNOWN;VIA;VIS;VRN,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\supportive_module\VIA_Runtime_Bridge_All_in_One.py || C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\supportive_module\VIA_RuntimeImportFirewall.py || C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\supportive_module\VIA_Supportive_Runtime_HardGate_Bridge.py || C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\supportive_module\VIA_RegistryCore_v1.py || C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\supportive_module\VIA_SSOT_Unified.py || C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_package_runs\VRN_PACKAGE_COMPAT_SMOKE_V061576_20260524_020553\VRN_PRODUCTION_PACKAGE_v061576\html_reports\VIS_Supportive_Module_Index.html || C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\supportive_module\VIS_Supportive_Module_Index.json || C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\supportive_module\VIA_HardGate_SealEngine.py,VETF_VIA_HardGate_SealEngine.py.freeze.lock.json; VETF_VIA_RegistryCore_v1.py.freeze.lock.json; VETF_VIA_RuntimeImportFirewall.py.freeze.lock.json; VETF_VIA_Runtime_Bridge_All_in_One.py.freeze.lock.json; VETF_VIA_SSOT_Unified.py.freeze.lock.json; VETF_VIA_Supportive_Runtime_HardGate_Bridge.py.freeze.lock.json; VIA_HardGate_SealEngine.py.freeze.lock.json; VIA_RegistryCore_v1.py.freeze.lock.json; VIA_RuntimeImportFirewall.py.freeze.lock.json; VIA_Runtime_Bridge_All_in_One.py.freeze.lock.json; VIA_SSOT_Unified.py.freeze.lock.json; VIA_Supportive_Runtime_HardGate_Bridge.py.freeze.lock.json; VIS_Supportive_Module_Index.html.freeze.lock.json; VIS_Supportive_Module_Index.json.freeze.lock.json,HIGH
function_init,94,39,DATA_SOURCE;ENGINE;GENERAL;MARKET_UNIVERSE;PATH_IO;VISUAL_LOCK,UNKNOWN;VDF;VIA;VPF,"self, config: dict || self, config: dict = None || self || self, api_key: str = FACTSET_API_KEY, username: str = FACTSET_USERNAME || self, base: Path, projects: List[str], dry_run: bool = False || self, seal_path, provenance_path=None, strict=True || self, name: str || self, max_failures: int = 3",VDF_MDL004_TWFullMarketEngine (2).py; VDF_MDL005_TWStockFilter (1).py; VETF_VIA_RuntimeImportFirewall.py; VIA_RuntimeImportFirewall.py; VPF_MDL005_族群輪動.py; VPF_MDL006_個股訊號 (2).py; VeritasAegisNexus.py; VeritasCeleritas.py; via_structure_forge.py,HIGH
line,71,31,GENERAL;VISUAL_LOCK,UNKNOWN;VEF;VIA;VIS;VPL,"col || #dbd9d3 || { color: col, width: opts.width || 1.2, dash: opts.dash || 'solid' }, || {width:0}, hoverinfo:'skip', showlegend:false, name:'BB area' || { color:'#7a6daa', width:1.4 }, || {color:'rgba(0,0,0,0.30)', width:1, dash:'dot'}}); || {color:'rgba(90,158,111,0.35)', width:1, dash:'dot'}}); || {color:'rgba(90,158,111,0.50)', width:1, dash:'dot'}});",VEF.docx; VIA_HomeLauncher_Optimized_Consolidated_v1_1_0.html; VIA_Main (2).html; VIA_Main.html; VIA_TW_Resonance_Stock_Stack (13).html; VIA_TW_Resonance_Stock_Stack (17).html,HIGH
spec,29,29,GENERAL;VISUAL_LOCK,VIA,"pip --upgrade || setuptools --upgrade || wheel --upgrade || numpy==1.26.4 || pandas>=2.0.0,<2.2 || scipy>=1.11.0,<1.13 || polars>=0.20.0 || pyarrow>=14.0.0,<17",VIA_Governance_Unified_NotionBeginning_Detailed_Anchored_SSOT.yaml,HIGH
check_message,53,28,GENERAL,UNKNOWN;VIA;VIS;VRN,Python static readable. Lines=700 Def=45 Class=1. No execution performed. || Python static readable. Lines=272 Def=16 Class=1. No execution performed. || Python static readable. Lines=415 Def=11 Class=2. No execution performed. || Python static readable. Lines=1197 Def=61 Class=3. No execution performed. || Python static readable. Lines=8332 Def=205 Class=3. No execution performed. || Static asset accepted. || JSON parse OK. || Python static readable. Lines=133 Def=6 Class=0. No execution performed.,VETF_VIA_HardGate_SealEngine.py.freeze.lock.json; VETF_VIA_RegistryCore_v1.py.freeze.lock.json; VETF_VIA_RuntimeImportFirewall.py.freeze.lock.json; VETF_VIA_Runtime_Bridge_All_in_One.py.freeze.lock.json; VETF_VIA_SSOT_Unified.py.freeze.lock.json; VETF_VIA_Supportive_Runtime_HardGate_Bridge.py.freeze.lock.json; VIA_HardGate_SealEngine.py.freeze.lock.json; VIA_RegistryCore_v1.py.freeze.lock.json; VIA_RuntimeImportFirewall.py.freeze.lock.json; VIA_Runtime_Bridge_All_in_One.py.freeze.lock.json; VIA_SSOT_Unified.py.freeze.lock.json; VIA_Supportive_HardGate_Seal.json.freeze.lock.json; VIA_Supportive_Runtime_HardGate_Bridge.py.freeze.lock.json; VIA_VRN_HardGate_Bridge_Seal.json.freeze.lock.json; VIS_Supportive_Module_Index.html.freeze.lock.json; VIS_Supportive_Module_Index.json.freeze.lock.json,HIGH
version,50,28,GOVERNANCE_POLICY;SCHEMA_FIELD;VERSION_RELEASE,UNKNOWN;VDF;VEF;VIA;VIS;VRN,"v0.6.2 || v0.6.0 || v01.02 || v01.00 || v01.01 || ""2.0.0"" || ""2.0.0-stub"" || ""1.0.0""",VDF_MDL004_TWFullMarketEngine (2).py; VDF_MDL007_SSOTResolver (1).py; VIA_EngineForge_Config.template.json; VIA_EngineForge_Config.v062.template.json; VRN_BROKER_LIST_v01.json; VRN_S05_FieldRegistry_v0101.json; VRN_S05_FieldRegistry_v0102.json,HIGH
official,28,28,DATA_SOURCE;GENERAL;VISUAL_LOCK,VIA,Long Term Investments || Short Term Borrowings || Non Current Liabilities || Capital Surplus || Other Equity || Total Equity || Total Liabilities || Total Assets,VIA_Governance_Unified_NotionBeginning_Detailed_Anchored_SSOT.yaml,HIGH
url,163,26,DATA_SOURCE;MARKET_UNIVERSE,VDF;VIA;VIS;VPL,https://fonts.googleapis.com || https://fonts.googleapis.com/css2?family=Syne:wght@600;700;800&family=DM+Sans:wght@400;500;700&family=DM+Mono:wght@400;500&display=swap || https://cdnjs.cloudflare.com/ajax/libs/plotly.js/2.35.2/plotly.min.js || https://cdn.plot.ly/plotly-2.35.2.min.js || https://cdn.jsdelivr.net/npm/plotly.js-dist-min@2.35.2/plotly.min.js || https://unpkg.com/plotly.js-dist-min@2.35.2/plotly.min.js || https://fonts.gstatic.com || https://fonts.googleapis.com/css2?family=Syne:wght@600;700;800&family=DM+Mono:wght@300;400;500&family=DM+Sans:wght@400;500;600;700&display=swap,VIA_AutoPlot_Console (2).html; VIA_AutoPlot_Console (3).html; VIA_HomeLauncher_Optimized_Consolidated_v1_1_0.html; VIA_Main (2).html; VIA_Main.html; VIA_P7_TWFocus.html; VIA_TW_ActiveETF_Matrix.html; VIA_TW_Resonance_Stock_Stack (13).html; VIA_TW_Resonance_Stock_Stack (17).html; VIA_Visual_Lock_v1.md,HIGH
w,52,25,GENERAL,UNKNOWN,4.8% || 44.44% || 10.51% || 5.71% || 4.5% || 5.11% || 10.21% || 14.71%,NEXUSCORE_PROGRESS.html,HIGH
type,59,23,SCHEMA_FIELD,VDF;VIA,"object || 'bar', x, y, name, xaxis:xAxis, yaxis:yAxis, || 'scatter', mode:'lines', x, y, name, || 'scatter', mode:'lines', || 'candlestick', x, open:D.open, high:D.high, low:D.low, close:D.close, || 'scatter', mode:'lines', x, y:arr, || 'bar', x, y:D.dollar_vol, name:'Dollar Vol', xaxis:xAxis, yaxis:yAxis, || 'scatter', mode:'lines', x, y:D.dvol_ma20,",VDF_MDL401_RegistrySchema (1).json; VIA_TW_Resonance_Stock_Stack (13).html; VIA_TW_Resonance_Stock_Stack (17).html,HIGH
const_r,42,23,DATA_SOURCE;GENERAL,VIA;VPL,"tgt.getBoundingClientRect(); || rnd(42); || it.getBoundingClientRect(),ox=e.clientX-r.left,oy=e.clientY-r.top,axis=box.dataset.axis||'x'; || it.getBoundingClientRect(),ox=e.clientX-r.left,oy=e.clientY-r.top; || mulberry32(seed); const out=[1000]; for(let i=1;i<n;i++){ out.push(out[i-1]*(1+drift+(r()-0.5)*sigma)); } return out; || mulberry32(seed); const out=[base]; || parseInt(c.slice(1,3),16), g=parseInt(c.slice(3,5),16), b=parseInt(c.slice(5,7),16); || _rangeOfArrays([D.volume, D.volume_MA20]);",VIA_AutoPlot_Console (1).html; VIA_AutoPlot_Console (2).html; VIA_AutoPlot_Console (3).html; VIA_Main (2).html; VIA_TW_ActiveETF_Matrix.html; VIA_TW_Resonance_Stock_Stack (13).html; VIA_TW_Resonance_Stock_Stack (17).html,HIGH
column_003,48,22,PATH_IO;SCHEMA_FIELD,UNKNOWN;VDF;VIA,style || def_category_lv2 || def_path || SourcePath || Category || ModifiedTime || Path || Risk,07_SandboxSelfTest.csv; NEXUSCORE_ACTION_REGISTRY.csv; NEXUSCORE_ACTION_RUNNER_PATCH_REPORT.csv; NEXUSCORE_EXTERNAL_BRIDGE_PATCH_REPORT.csv; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.csv; NEXUSCORE_SCANONLY_INVENTORY.csv; VDF_NexusCore_ModuleRegistry.csv; VDF_SentimentStrength_Registry.csv; VDF_SupportiveTools_Registry.csv; VIA_ETF_Performance_Ranking.csv; VeritasNexusCore_FREEZE_Manifest_v03.csv,HIGH
column_002,51,21,PATH_IO;SCHEMA_FIELD,UNKNOWN;VDF;VIA,name || def_category_lv1 || def_tool_type || FileName || SizeBytes || Path || Layer || TargetAction,03_ThreeRoundMatrix.csv; NEXUSCORE_ACTION_RUNNER_PATCH_REPORT.csv; NEXUSCORE_DEEP_INTEGRATION_CONTRACT.csv; NEXUSCORE_EXTERNAL_BRIDGE_REPORT.csv; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.csv; NEXUSCORE_SCANONLY_INVENTORY.csv; NEXUSCORE_TOOL_MATRIX.csv; VDF_SentimentStrength_Registry.csv; VDF_SupportiveTools_Registry.csv; VIA_ETF_Performance_Ranking.csv; VeritasNexusCore_FREEZE_Manifest_v03.csv,HIGH
heading_1,33,21,ENGINE;GENERAL;GOVERNANCE_POLICY;MACRO_SENTIMENT;PATH_IO;SCHEMA_FIELD;VERSION_RELEASE;VISUAL_LOCK,LL34;UNKNOWN;VEF;VIA;VIS;VRN,VIA Safe Polyglot Optimizer AIO v0102 || SAP MM 截取 Prompt · 流程圖 / 通訊錄 / 工廠 / 供應商 → CSV || 再加中風險 gated 模組 || 可調:- || 預設:分析 + 導入網路模組 + 導入三個 supportive(child-isolated)+ 產 bridge || 不裝網路模組 / 不執行 supportive(只 parse-check) || 重新掃 + 出 triage 報告(把 backup/鏡 || 直接吃 v0.2 已產出的 parse CSV(更快),VEF.docx; VIA_SafePolyglotOptimizer_v0102_README.md; sap_mm_intake_prompt.md,HIGH
column_001,52,20,MARKET_UNIVERSE;PATH_IO;SCHEMA_FIELD,UNKNOWN;VDF;VIA,ticker || def_indicator_name_zh || def_tool_file || Group || ToolName || Path || Status || ToolPath,NEXUSCORE_ACTION_REGISTRY.csv; NEXUSCORE_ACTION_RUNNER_PATCH_REPORT.csv; NEXUSCORE_ACTION_RUNNER_TEST.csv; NEXUSCORE_EXTERNAL_BRIDGE_PATCH_REPORT.csv; NEXUSCORE_EXTERNAL_BRIDGE_REPORT.csv; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.csv; NEXUSCORE_SCANONLY_INVENTORY.csv; VDF_SentimentStrength_Registry.csv; VDF_SupportiveTools_Registry.csv; VIA_ETF_Performance_Ranking.csv; VeritasNexusCore_FREEZE_Manifest_v03.csv,HIGH
el_innerhtml,20,20,PATH_IO;SCHEMA_FIELD;VISUAL_LOCK,VIA;VPL,"'<svg class=""peer-spark"" viewBox=""0 0 120 34"" preserveAspectRatio=""none""><path d=""'+sp.area+'"" fill=""'+col+'""/><path d=""'+sp.d+'"" fill=""none"" stroke=""'+col+'"" stroke-width=""1.4""/></svg>' || `<div class=""wgrid"">${clockW}${weatherW}${worldW}${attW}${newsW}${weeklyW}${allocW}${kpiW}${seqW}</div>`; || panel(""聯絡人 Contacts"",""tap to connect"",rows); || panel(""團隊管理 Team"",""allocation / workload"",head+rows); || `<div class=""notes-wrap""><div class=""notes-tree"">${noteTree(0)}</div><div class=""note-doc"">${md(note.body)}</div></div>`; || panel(""LLM Notebook"",""ask · note · summarize"",`<div class=""nb-msgs"" id=""nbMsgs"">${msgs}</div><div class=""nb-input""><input id=""nbIn"" placeholder=""問問題或記筆記… (Enter)""><button class=""btn primary"" id=""nbSend"">送出</button></div>`); || panel(""進度矩陣 Matrix"",""專案 / 個人計畫 · roadmap"",`<table class=""mtx"">${head}${rows}</table>`); || panel(""連線 Connections"",""Google · Notion · 工具自動同步"",rows+'<div style=""font-family:var(--fm);font-size:10px;color:var(--ink-faint);margin-top:8px"">OAuth 與即時抓取由後端 SyncBridge 處理,並遵循 Aegis 網路治理。</div>');",VIA_TW_Resonance_Stock_Stack (17).html; VeritasPulse_App (3).html,HIGH
generated_at,76,19,VERSION_RELEASE,UNKNOWN;VDF;VIA;VIS;VRN,2026-06-17 20:17:24 || 2026-05-31T16:30:00+08:00 || 2026-05-31T15:45:00+08:00 || 2026-05-31T15:30:00+08:00 || 2026-06-19T13:15:10 || 2026-06-19T13:18:20 || 2026-06-19T13:05:34 || 2026-06-19T13:16:44,VDF_NexusCore_SentimentStrength_Input.json; VDF_SentimentStrength_Input.json; VDF_SentimentStrength_Registry.json; VDF_SupportiveTools_Implement_Input.json; VDF_SupportiveTools_Implement_Summary.json; VDF_SupportiveTools_Registry.json; VIA_SafePolyglotOptimizer_v0102_StaticValidation.json; VRN_BROKER_LIST_v01.json; VRN_S05_FieldRegistry_v0101.json; VRN_S05_FieldRegistry_v0102.json,HIGH
column_004,44,19,PATH_IO;SCHEMA_FIELD,UNKNOWN;VDF;VIA,5D || def_provider || def_exists || TargetPath || Layer || Status || ToolType || Path,03_ThreeRoundMatrix.csv; NEXUSCORE_ACTION_REGISTRY.csv; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.csv; NEXUSCORE_SCANONLY_INVENTORY.csv; NEXUSCORE_TOOL_MATRIX.csv; VDF_NexusCore_ModuleRegistry.csv; VDF_SentimentStrength_Registry.csv; VDF_SupportiveTools_Registry.csv; VIA_ETF_Performance_Ranking.csv; VeritasNexusCore_FREEZE_Manifest_v03.csv; supportive_modules_registry.csv,HIGH
argparse_add_argument,20,19,DATA_SOURCE;GENERAL;PATH_IO;SCHEMA_FIELD;VISUAL_LOCK,VIA;VPF,"""--universe"", choices=[""themed"", ""market""], default=None || ""--start"", dest=""start_date"", default=None || ""--end"", dest=""end_date"", default=None || ""--n-streak"", type=int, default=None || ""--validate"", action=""store_true"" || ""--probe-urls"",action=""store_true"" || ""--out"",default=""tw_universe.json"" || ""--real""",VIA_Inject.py; VIA_TW_Universe_Builder.py; VPF_MDL006_個股訊號 (2).py,HIGH
column_000,52,18,PATH_IO;SCHEMA_FIELD,UNKNOWN;VDF;VIA,rank || def_indicator_id || def_order || Time || ToolID || FileName || Step || ToolName,NEXUSCORE_ACTION_REGISTRY.csv; NEXUSCORE_ACTION_RUNNER_PATCH_REPORT.csv; NEXUSCORE_EXTERNAL_BRIDGE_PATCH_REPORT.csv; NEXUSCORE_EXTERNAL_BRIDGE_REPORT.csv; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.csv; NEXUSCORE_MASTER_ORCHESTRATOR_REPORT.csv; NEXUSCORE_SCANONLY_INVENTORY.csv; VDF_SentimentStrength_Registry.csv; VDF_SupportiveTools_Registry.csv; VIA_ETF_Performance_Ranking.csv; VeritasNexusCore_FREEZE_Manifest_v03.csv; supportive_modules_registry.csv,HIGH
const_w,20,18,GENERAL,VIA;VPL,"panels.map(({def,state}) => { || (state.height_weight_override != null ? state.height_weight_override : def.height_weight); || opt.W||460,H=opt.H||210,L=34,R=36,Tp=10,B=20,pw=W-L-R,ph=H-Tp-B,n=5; || 380,H=200,L=30,Rr=8,T=8,B=24,pw=W-L-Rr,ph=H-T-B; || 380,H=200,L=34,Rr=30,T=10,B=22,pw=W-L-Rr,ph=H-T-B; || Math.max(190,Math.min(340,e.clientX));document.documentElement.style.setProperty('--side',w+'px');}); || 900,H=300,L=42,R=10,Tp=8,B=20,pw=W-L-R,ph=H-Tp-B,n=O.length; || 270,H=720,Tp=24,B=24,ph=H-Tp-B,t=D.targets,eps=D.eps['2026'].mean;",VIA_ETF_Performance_Ranking.html; VIA_Equity_Valuation_Terminal.html; VIA_Macro_GDP_Identity_Console (2).html; VIA_TW_Resonance_Stock_Stack (13).html; VIA_TW_Resonance_Stock_Stack (17).html; VIA_US_Macro_Template.html,HIGH
