def_path,def_exists,def_file_name,def_ext,def_project,def_file_role,def_size_bytes,def_sha12,def_status,def_encoding,def_error,def_param_count,def_json_valid,def_json_error,def_csv_valid,def_csv_error,def_columns
C:\Users\tonyk\Downloads\VDF_MDL403_RegistryFull.json,True,VDF_MDL403_RegistryFull.json,.json,VDF,REGISTRY,198561,bd1a251ff4a8,OK,utf-8-sig,,5162,True,,,,
C:\Users\tonyk\Downloads\VDF_MDL004_TWFullMarketEngine (2).py,True,VDF_MDL004_TWFullMarketEngine (2).py,.py,VDF,ENGINE_MODULE,47065,b5748ea4a583,OK,utf-8-sig,,113,,,,,
C:\Users\tonyk\Downloads\VDF_MDL007_SSOTResolver (1).py,True,VDF_MDL007_SSOTResolver (1).py,.py,VDF,ENGINE_MODULE,54262,af23fd2db2b9,OK,utf-8-sig,,101,,,,,
C:\Users\tonyk\Downloads\VIS_ReleaseRegistry.json,True,VIS_ReleaseRegistry.json,.json,VIS,REGISTRY,1719,05ca0a0ee3ee,OK,utf-8-sig,,39,True,,,,
C:\Users\tonyk\Downloads\VIA_HomeLauncher_Optimized_Consolidated_v1_1_0.html,True,VIA_HomeLauncher_Optimized_Consolidated_v1_1_0.html,.html,VIA,UI_VISUAL,38906,6e53d72624d2,OK,utf-8-sig,,158,,,,,
C:\Users\tonyk\Downloads\VIA_Main (2).html,True,VIA_Main (2).html,.html,VIA,UI_VISUAL,48773,ce07f8546f1c,OK,utf-8-sig,,183,,,,,
C:\Users\tonyk\Downloads\VIA_VDF_Console_overview.png,True,VIA_VDF_Console_overview.png,.png,VDF,UI_VISUAL,364500,3c92756b5692,OK,,,1,,,,,
C:\Users\tonyk\Downloads\VIA_VDF_Console_product.png,True,VIA_VDF_Console_product.png,.png,VDF,UI_VISUAL,349800,33cee37c7684,OK,,,1,,,,,
C:\Users\tonyk\Downloads\VIA_Main_governance_tabs_prompt.png,True,VIA_Main_governance_tabs_prompt.png,.png,VIA,UI_VISUAL,205100,fd205bf6842b,OK,,,1,,,,,
C:\Users\tonyk\Downloads\VIA_Main.html,True,VIA_Main.html,.html,VIA,UI_VISUAL,25595,430809de202f,OK,utf-8-sig,,102,,,,,
C:\Users\tonyk\Downloads\VIA_TW_ActiveETF_Matrix.html,True,VIA_TW_ActiveETF_Matrix.html,.html,VIA,UI_VISUAL,23344,43ff81b9886d,OK,utf-8-sig,,90,,,,,
C:\Users\tonyk\Downloads\VIA_AutoPlot_Console (3).html,True,VIA_AutoPlot_Console (3).html,.html,VIA,UI_VISUAL,97430,fd23b484494a,OK,utf-8-sig,,250,,,,,
C:\Users\tonyk\Downloads\VIA_AutoPlot_Console (2).html,True,VIA_AutoPlot_Console (2).html,.html,VIA,UI_VISUAL,91907,6f32acb29219,OK,utf-8-sig,,250,,,,,
C:\Users\tonyk\Downloads\VIA_AutoPlot_Console (1).html,True,VIA_AutoPlot_Console (1).html,.html,VIA,UI_VISUAL,56046,24b40ebb7050,OK,utf-8-sig,,188,,,,,
C:\Users\tonyk\Downloads\VIA_TW_Universe_Builder.py,True,VIA_TW_Universe_Builder.py,.py,VIA,UI_VISUAL,6274,43619b80d4a5,OK,utf-8-sig,,14,,,,,
C:\Users\tonyk\Downloads\VIA_Inject.py,True,VIA_Inject.py,.py,VIA,SOURCE,7859,b76410bfb2c8,OK,utf-8-sig,,16,,,,,
C:\Users\tonyk\Downloads\VIA_TW_Resonance_Stock_Stack (17).html,True,VIA_TW_Resonance_Stock_Stack (17).html,.html,VIA,UI_VISUAL,176303,76516baae06a,OK,utf-8-sig,,1307,,,,,
C:\Users\tonyk\Downloads\VIA_ActiveETF_Console (8).html,True,VIA_ActiveETF_Console (8).html,.html,VIA,UI_VISUAL,1074723,165cde35611f,OK,utf-8-sig,,190,,,,,
C:\Users\tonyk\Downloads\VIA_Governance_Unified_NotionBeginning_Detailed_Anchored_SSOT.runtime.json,True,VIA_Governance_Unified_NotionBeginning_Detailed_Anchored_SSOT.runtime.json,.json,VIA,SOURCE,75603,c277310b106c,OK,utf-8-sig,,1772,True,,,,
C:\Users\tonyk\Downloads\VIA_Governance_Unified_NotionBeginning_Detailed_Anchored_SSOT.yaml,True,VIA_Governance_Unified_NotionBeginning_Detailed_Anchored_SSOT.yaml,.yaml,VIA,SOURCE,53535,0c3b984d98f6,OK,utf-8-sig,,956,,,,,
C:\Users\tonyk\Downloads\VIA_Visual_Lock_v1.md,True,VIA_Visual_Lock_v1.md,.md,VIS,LOCK_REGISTRY,15747,d83a7398c92b,OK,utf-8-sig,,97,,,,,
C:\Users\tonyk\Downloads\VIA_TW_Resonance_Stock_Stack (13).html,True,VIA_TW_Resonance_Stock_Stack (13).html,.html,VIA,UI_VISUAL,169394,42109f2a7056,OK,utf-8-sig,,1289,,,,,
C:\Users\tonyk\Downloads\VIA_Yield_Curve_Spread.html,True,VIA_Yield_Curve_Spread.html,.html,VIA,UI_VISUAL,28648,49cfd57b5fa2,OK,utf-8-sig,,68,,,,,
C:\Users\tonyk\Downloads\VIA_US_Macro_Template (1).html,True,VIA_US_Macro_Template (1).html,.html,VIA,CONFIG_TEMPLATE,38525,d14861b83400,OK,utf-8-sig,,100,,,,,
C:\Users\tonyk\Downloads\VIA_EnvDetect_Phase1c.ps1,True,VIA_EnvDetect_Phase1c.ps1,.ps1,VIA,SOURCE,15443,d2a4789e8468,OK,utf-8-sig,,26,,,,,
C:\Users\tonyk\Downloads\VIA_EnvDetect_Phase1b.ps1,True,VIA_EnvDetect_Phase1b.ps1,.ps1,VIA,SOURCE,13988,169b2b125e9b,OK,utf-8-sig,,26,,,,,
C:\Users\tonyk\Downloads\VIA_ActiveETF_Control.ps1,True,VIA_ActiveETF_Control.ps1,.ps1,VIA,SOURCE,14332,56c971915eff,OK,utf-8-sig,,30,,,,,
C:\Users\tonyk\Downloads\VIA_ActiveETF_MakeSharePack.ps1,True,VIA_ActiveETF_MakeSharePack.ps1,.ps1,VIA,SOURCE,11270,af7c821cedf2,OK,utf-8-sig,,16,,,,,
C:\Users\tonyk\Downloads\VIA_US_Macro_Template.html,True,VIA_US_Macro_Template.html,.html,VIA,CONFIG_TEMPLATE,24362,4aac936ec98d,OK,utf-8-sig,,86,,,,,
C:\Users\tonyk\Downloads\VIA_Macro_GDP_Identity_Console (2).html,True,VIA_Macro_GDP_Identity_Console (2).html,.html,VIA,UI_VISUAL,34308,69394de931c3,OK,utf-8-sig,,83,,,,,
C:\Users\tonyk\Downloads\VDF_MDL001_TWEquityEngine.py,True,VDF_MDL001_TWEquityEngine.py,.py,VDF,ENGINE_MODULE,108742,f89f2a53f8a5,OK,utf-8-sig,,137,,,,,
C:\Users\tonyk\Downloads\VDF_MDL001_TWUniverse_Verify.py,True,VDF_MDL001_TWUniverse_Verify.py,.py,VDF,ENGINE_MODULE,26227,67ef6fce465f,OK,utf-8-sig,,53,,,,,
C:\Users\tonyk\Downloads\VDF_MDL005_TWStockFilter (1).py,True,VDF_MDL005_TWStockFilter (1).py,.py,VDF,ENGINE_MODULE,45762,49861a44fcf1,OK,utf-8-sig,,86,,,,,
C:\Users\tonyk\Downloads\VDF_OutputManager.py,True,VDF_OutputManager.py,.py,VDF,SOURCE,14620,dd77e5ebc763,OK,utf-8-sig,,35,,,,,
C:\Users\tonyk\Downloads\via_structure_forge.py,True,via_structure_forge.py,.py,VIA,SOURCE,17041,2374cb2b0bb6,OK,utf-8-sig,,24,,,,,
C:\Users\tonyk\Downloads\VIA_ActiveETF_mx.png,True,VIA_ActiveETF_mx.png,.png,VIA,UI_VISUAL,916273,262ee67a44fe,OK,,,1,,,,,
C:\Users\tonyk\Downloads\VIA_DeployAll.ps1,True,VIA_DeployAll.ps1,.ps1,VIA,SOURCE,11505,bdd4854e1e18,OK,utf-8-sig,,12,,,,,
C:\Users\tonyk\Downloads\VIA_ActiveETF_Deploy.ps1,True,VIA_ActiveETF_Deploy.ps1,.ps1,VIA,SOURCE,11390,319e2ed34afe,OK,utf-8-sig,,15,,,,,
C:\Users\tonyk\Downloads\VIA_ActiveETF_PackList (1).json,True,VIA_ActiveETF_PackList (1).json,.json,VIA,SOURCE,8319,bfc948e82f5f,OK,utf-8-sig,,115,True,,,,
C:\Users\tonyk\Downloads\VIA_ActiveETF_PackList.json,True,VIA_ActiveETF_PackList.json,.json,VIA,SOURCE,4478,55d405b6a952,OK,utf-8-sig,,76,True,,,,
C:\Users\tonyk\Downloads\VIA_ETF_Performance_Ranking.csv,True,VIA_ETF_Performance_Ranking.csv,.csv,VIA,SOURCE,2628,4e0f37debcf7,OK,utf-8-sig,,14,,,True,,"['rank', 'ticker', 'name', 'style', '5D', '10D', '20D', '60D', '120D', '240D', 'YTD', 'adj_close', 'aum', 'net_flow_YTD']"
C:\Users\tonyk\Downloads\VIA_ETF_Performance_Ranking.html,True,VIA_ETF_Performance_Ranking.html,.html,VIA,UI_VISUAL,153290,805eedaf0da6,OK,utf-8-sig,,124,,,,,
C:\Users\tonyk\Downloads\VIA_Equity_Valuation_Terminal.html,True,VIA_Equity_Valuation_Terminal.html,.html,VIA,UI_VISUAL,30178,9bf6099e733f,OK,utf-8-sig,,91,,,,,
C:\Users\tonyk\Downloads\VIA_Macro_Master_Template.html,True,VIA_Macro_Master_Template.html,.html,VIA,CONFIG_TEMPLATE,62012,6ff3d8a1b771,OK,utf-8-sig,,80,,,,,
C:\Users\tonyk\Downloads\veritaspulse_VPL-DEMO-01.json,True,veritaspulse_VPL-DEMO-01.json,.json,VPL,SOURCE,20925,9e7ff0445901,OK,utf-8-sig,,675,True,,,,
C:\Users\tonyk\Downloads\VeritasPulse_App (3).html,True,VeritasPulse_App (3).html,.html,VPL,UI_VISUAL,83598,9dc1a72c13b6,OK,utf-8-sig,,306,,,,,
C:\Users\tonyk\Downloads\VDF_FetchSmokeTest_20260517.json,True,VDF_FetchSmokeTest_20260517.json,.json,VDF,TEST_VALIDATION,16545,c0b255ff5a25,OK,utf-8-sig,,427,True,,,,
C:\Users\tonyk\Downloads\VDF_FetchSmokeTest_20260517_025947.json,True,VDF_FetchSmokeTest_20260517_025947.json,.json,VDF,TEST_VALIDATION,16545,c0b255ff5a25,OK,utf-8-sig,,427,True,,,,
C:\Users\tonyk\Downloads\VDF_LatestPanorama_20260517.json,True,VDF_LatestPanorama_20260517.json,.json,VDF,TEST_VALIDATION,21271,9859b2160c8f,OK,utf-8-sig,,500,True,,,,
C:\Users\tonyk\Downloads\VDF_LatestPanorama_20260517_023734.json,True,VDF_LatestPanorama_20260517_023734.json,.json,VDF,TEST_VALIDATION,21271,9859b2160c8f,OK,utf-8-sig,,500,True,,,,
C:\Users\tonyk\Downloads\VDF_LatestPanorama_20260517_021949.log,True,VDF_LatestPanorama_20260517_021949.log,.log,VDF,TEST_VALIDATION,3574,dc5f08c0d698,OK,utf-8-sig,,8,,,,,
C:\Users\tonyk\Downloads\VIA_SSOT_Unified_v22_synonyms_patch (1).py,True,VIA_SSOT_Unified_v22_synonyms_patch (1).py,.py,VIA,SOURCE,16613,c61e3097ed2e,OK,utf-8-sig,,8,,,,,
C:\Users\tonyk\Downloads\VRN_StockOnlyVisualFull_v2.2 (1).ps1,True,VRN_StockOnlyVisualFull_v2.2 (1).ps1,.ps1,VRN,UI_VISUAL,75580,9062da570822,OK,utf-8-sig,,21,,,,,
C:\Users\tonyk\Downloads\Invoke-VIA-SSOT-v22-Append.ps1,True,Invoke-VIA-SSOT-v22-Append.ps1,.ps1,VIA,SOURCE,8415,d53cf8060fef,OK,utf-8-sig,,15,,,,,
C:\Users\tonyk\Downloads\VIA_SSOT_Unified_v22_synonyms_patch.py,True,VIA_SSOT_Unified_v22_synonyms_patch.py,.py,VIA,SOURCE,16613,c61e3097ed2e,OK,utf-8-sig,,8,,,,,
C:\Users\tonyk\Downloads\VIA_LL34_Append.ps1,True,VIA_LL34_Append.ps1,.ps1,VIA,SOURCE,11154,c7856b8a58ed,OK,utf-8-sig,,14,,,,,
C:\Users\tonyk\Downloads\LL34_entry.md,True,LL34_entry.md,.md,LL34,SOURCE,4912,8293ceaf88d6,OK,utf-8-sig,,28,,,,,
C:\Users\tonyk\Downloads\VIA_SSOT_PanoramicAugmenter_v2.ps1,True,VIA_SSOT_PanoramicAugmenter_v2.ps1,.ps1,VIA,SOURCE,74872,4444132714fd,OK,utf-8-sig,,26,,,,,
C:\Users\tonyk\Downloads\VRN_HealthCheck_Summary.json,True,VRN_HealthCheck_Summary.json,.json,VRN,REPORT,14281,499c9b49edad,OK,utf-8-sig,,410,True,,,,
C:\Users\tonyk\Downloads\VRN_Production_Manifest.json,True,VRN_Production_Manifest.json,.json,VRN,MANIFEST,8219,ae254558987f,OK,utf-8-sig,,202,True,,,,
C:\Users\tonyk\Downloads\cross_validation_summary.json,True,cross_validation_summary.json,.json,UNKNOWN,REPORT,5628,55cf671d912f,OK,utf-8-sig,,173,True,,,,
C:\Users\tonyk\Downloads\panorama_summary.json,True,panorama_summary.json,.json,UNKNOWN,REPORT,1482,7dbdb017ce80,OK,utf-8-sig,,48,True,,,,
C:\Users\tonyk\Downloads\VIF_AllInOne (6).py,True,VIF_AllInOne (6).py,.py,UNKNOWN,SOURCE,34256,23431a3145c8,OK,utf-8-sig,,65,,,,,
C:\Users\tonyk\Downloads\yfinance_universal_engine_v5 (2).py,True,yfinance_universal_engine_v5 (2).py,.py,UNKNOWN,ENGINE_MODULE,49935,104ab4c574be,OK,utf-8-sig,,108,,,,,
C:\Users\tonyk\Downloads\VIA_P7_TWFocus.html,True,VIA_P7_TWFocus.html,.html,VIA,UI_VISUAL,78049,35407469adf9,OK,utf-8-sig,,302,,,,,
C:\Users\tonyk\Downloads\VIA_P4B_USMacroPart2.html,True,VIA_P4B_USMacroPart2.html,.html,VIA,UI_VISUAL,50677,689120134607,OK,utf-8-sig,,248,,,,,
C:\Users\tonyk\Downloads\VIA_P2_GlobalFlow.html,True,VIA_P2_GlobalFlow.html,.html,VIA,UI_VISUAL,39805,5f50432e18b8,OK,utf-8-sig,,237,,,,,
C:\Users\tonyk\Downloads\VIA_P1_MarketOverview.html,True,VIA_P1_MarketOverview.html,.html,VIA,UI_VISUAL,32675,e6302fa89c42,OK,utf-8-sig,,198,,,,,
C:\Users\tonyk\Downloads\16_d2_d5_schema_chain.json,True,16_d2_d5_schema_chain.json,.json,UNKNOWN,SOURCE,4169,d77758a1fb0f,OK,utf-8-sig,,197,True,,,,
C:\Users\tonyk\Downloads\VPF_MDL005_族群輪動.py,True,VPF_MDL005_族群輪動.py,.py,VPF,ENGINE_MODULE,36933,fc4ad65ce8ab,OK,utf-8-sig,,52,,,,,
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_vdf_inputs\VDF_NexusCore_SentimentStrength_Input.json,True,VDF_NexusCore_SentimentStrength_Input.json,.json,VDF,SOURCE,2779,1689053a00c3,OK,utf-8-sig,,28,True,,,,
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_vdf_inputs\VDF_SentimentStrength_Input.json,True,VDF_SentimentStrength_Input.json,.json,VDF,SOURCE,2942,d6f512a30690,OK,utf-8-sig,,53,True,,,,
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_vdf_inputs\VDF_SupportiveTools_Implement_Input.json,True,VDF_SupportiveTools_Implement_Input.json,.json,VDF,SOURCE,6633,5a2ba2bc7124,OK,utf-8-sig,,95,True,,,,
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_vdf_registry\VDF_SentimentStrength_Registry.csv,True,VDF_SentimentStrength_Registry.csv,.csv,VDF,REGISTRY,1039,027dba2ea4bd,OK,utf-8-sig,,9,,,True,,"['def_indicator_id', 'def_indicator_name_zh', 'def_category_lv1', 'def_category_lv2', 'def_provider', 'def_frequency', 'def_unit', 'def_output_score', 'def_engine_file']"
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_vdf_registry\VDF_SentimentStrength_Registry.json,True,VDF_SentimentStrength_Registry.json,.json,VDF,REGISTRY,1858,9ac7e98087fd,OK,utf-8-sig,,30,True,,,,
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_vdf_registry\VDF_SupportiveTools_Registry.csv,True,VDF_SupportiveTools_Registry.csv,.csv,VDF,REGISTRY,1605,ee4862a2cedc,OK,utf-8-sig,,8,,,True,,"['def_order', 'def_tool_file', 'def_tool_type', 'def_path', 'def_exists', 'def_sha12', 'def_size_kb', 'def_status']"
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_vdf_registry\VDF_SupportiveTools_Registry.json,True,VDF_SupportiveTools_Registry.json,.json,VDF,REGISTRY,3188,c8e7f5f7c625,OK,utf-8-sig,,63,True,,,,
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_vdf_logs\RUN_20260619_130434_VDF_SUPPORTIVE_TOOLS_IMPLEMENT_v0100\VDF_SupportiveTools_Implement_Summary.json,True,VDF_SupportiveTools_Implement_Summary.json,.json,VDF,REPORT,22868,0e8dc2fd10a0,OK,utf-8-sig,,290,True,,,,
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_vdf_logs\RUN_20260619_130434_VDF_SUPPORTIVE_TOOLS_IMPLEMENT_v0100\VDF_SupportiveTools_Implement.log,True,VDF_SupportiveTools_Implement.log,.log,VDF,SOURCE,13188,ca6d3dfde3a5,OK,utf-8-sig,,63,,,,,
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_vdf_logs\RUN_20260619_130434_VDF_SUPPORTIVE_TOOLS_IMPLEMENT_v0100\VeritasNexusCore.ConfigPath_BaseDir.stderr.log,True,VeritasNexusCore.ConfigPath_BaseDir.stderr.log,.log,VDF,CONFIG_TEMPLATE,235,43e12c6ce558,OK,utf-8-sig,,1,,,,,
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_vdf_logs\RUN_20260619_130434_VDF_SUPPORTIVE_TOOLS_IMPLEMENT_v0100\VeritasNexusCore.ConfigPath_BaseDir.stdout.log,True,VeritasNexusCore.ConfigPath_BaseDir.stdout.log,.log,VDF,CONFIG_TEMPLATE,996,c3078343d63a,OK,utf-8-sig,,3,,,,,
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_vdf_logs\RUN_20260619_130434_VDF_SUPPORTIVE_TOOLS_IMPLEMENT_v0100\VeritasNexusCore.InputJson_BaseDir.stderr.log,True,VeritasNexusCore.InputJson_BaseDir.stderr.log,.log,VDF,SOURCE,235,43e12c6ce558,OK,utf-8-sig,,1,,,,,
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_vdf_logs\RUN_20260619_130434_VDF_SUPPORTIVE_TOOLS_IMPLEMENT_v0100\VeritasNexusCore.InputJson_BaseDir.stdout.log,True,VeritasNexusCore.InputJson_BaseDir.stdout.log,.log,VDF,SOURCE,996,c3078343d63a,OK,utf-8-sig,,3,,,,,
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_vdf_logs\RUN_20260619_130434_VDF_SUPPORTIVE_TOOLS_IMPLEMENT_v0100\VeritasNexusCore.InputJson_StaticValidation_BaseDir.stderr.log,True,VeritasNexusCore.InputJson_StaticValidation_BaseDir.stderr.log,.log,VDF,SOURCE,235,43e12c6ce558,OK,utf-8-sig,,1,,,,,
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_vdf_logs\RUN_20260619_130434_VDF_SUPPORTIVE_TOOLS_IMPLEMENT_v0100\VeritasNexusCore.InputJson_StaticValidation_BaseDir.stdout.log,True,VeritasNexusCore.InputJson_StaticValidation_BaseDir.stdout.log,.log,VDF,SOURCE,996,c3078343d63a,OK,utf-8-sig,,3,,,,,
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_vdf_logs\RUN_20260619_130434_VDF_SUPPORTIVE_TOOLS_IMPLEMENT_v0100\VeritasNexusCore.JsonPath_BaseDir.stderr.log,True,VeritasNexusCore.JsonPath_BaseDir.stderr.log,.log,VDF,SOURCE,235,43e12c6ce558,OK,utf-8-sig,,1,,,,,
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_vdf_logs\RUN_20260619_130434_VDF_SUPPORTIVE_TOOLS_IMPLEMENT_v0100\VeritasNexusCore.JsonPath_BaseDir.stdout.log,True,VeritasNexusCore.JsonPath_BaseDir.stdout.log,.log,VDF,SOURCE,996,c3078343d63a,OK,utf-8-sig,,3,,,,,
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_vdf_logs\RUN_20260619_130434_VDF_SUPPORTIVE_TOOLS_IMPLEMENT_v0100\VeritasNexusCore.RootPath_InputJson.stderr.log,True,VeritasNexusCore.RootPath_InputJson.stderr.log,.log,VDF,SOURCE,235,43e12c6ce558,OK,utf-8-sig,,1,,,,,
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_vdf_logs\RUN_20260619_130434_VDF_SUPPORTIVE_TOOLS_IMPLEMENT_v0100\VeritasNexusCore.RootPath_InputJson.stdout.log,True,VeritasNexusCore.RootPath_InputJson.stdout.log,.log,VDF,SOURCE,996,c3078343d63a,OK,utf-8-sig,,3,,,,,
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_vdf_logs\RUN_20260619_130434_VDF_SUPPORTIVE_TOOLS_IMPLEMENT_v0100\VeritasNexusCore.TargetRoot_InputJson.stderr.log,True,VeritasNexusCore.TargetRoot_InputJson.stderr.log,.log,VDF,SOURCE,235,43e12c6ce558,OK,utf-8-sig,,1,,,,,
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_vdf_logs\RUN_20260619_130434_VDF_SUPPORTIVE_TOOLS_IMPLEMENT_v0100\VeritasNexusCore.TargetRoot_InputJson.stdout.log,True,VeritasNexusCore.TargetRoot_InputJson.stdout.log,.log,VDF,SOURCE,996,c3078343d63a,OK,utf-8-sig,,3,,,,,
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_vdf_logs\RUN_20260619_130434_VDF_SUPPORTIVE_TOOLS_IMPLEMENT_v0100\VIA_PolyglotCheckTestRepair_v0101.ConfigPath_BaseDir.stderr.log,True,VIA_PolyglotCheckTestRepair_v0101.ConfigPath_BaseDir.stderr.log,.log,VDF,CONFIG_TEMPLATE,235,43e12c6ce558,OK,utf-8-sig,,1,,,,,
