"def_sim_id","def_source_candidate_id","def_registry_type","def_normalized_key","def_owner_engine","def_domain_family","def_candidate_canonical_value","def_simulation_action","def_source_mutation","def_canonical_merge","def_db_write"
"SIM_ROW_0011","ROWPATCH_0011","SANDBOX_ROW_MAPPING_SIMULATION","YFinanceTickerTPEX","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","WOULD_MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_ONLY","false","false","false"
"SIM_ROW_0012","ROWPATCH_0012","SANDBOX_ROW_MAPPING_SIMULATION","YFinanceTickerTWSE","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","WOULD_MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_ONLY","false","false","false"
"SIM_ROW_0013","ROWPATCH_0013","SANDBOX_ROW_MAPPING_SIMULATION","schema_first_12_json","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","WOULD_MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_ONLY","false","false","false"
"SIM_ROW_0014","ROWPATCH_0014","SANDBOX_ROW_MAPPING_SIMULATION","tw_ticker","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","WOULD_MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_ONLY","false","false","false"
"SIM_ROW_0015","ROWPATCH_0015","SANDBOX_ROW_MAPPING_SIMULATION","yfinance_ticker","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","WOULD_MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_ONLY","false","false","false"
"SIM_ROW_0016","ROWPATCH_0016","SANDBOX_ROW_MAPPING_SIMULATION","fred","VDF","DATA_SOURCE_CONTRACT","PROVIDER_REGISTRY_ONLY; API_KEYS_FROM_UI_RUNTIME_SECRET_OR_ENV_NAME_ONLY; RAW_SECRET_FORBIDDEN; FALLBACK_EXPLICIT","WOULD_MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_ONLY","false","false","false"
"SIM_ROW_0017","ROWPATCH_0017","SANDBOX_ROW_MAPPING_SIMULATION","tw_yfinance_ticker","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","WOULD_MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_ONLY","false","false","false"
"SIM_ROW_0018","ROWPATCH_0018","SANDBOX_ROW_MAPPING_SIMULATION","unit_mn_twd","VRN/VDF","SCHEMA_FIELD_CONTRACT","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","WOULD_MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_ONLY","false","false","false"
"SIM_ROW_0019","ROWPATCH_0019","SANDBOX_ROW_MAPPING_SIMULATION","timezone_policy","VDF","DATA_SOURCE_CONTRACT","PROVIDER_REGISTRY_ONLY; API_KEYS_FROM_UI_RUNTIME_SECRET_OR_ENV_NAME_ONLY; RAW_SECRET_FORBIDDEN; FALLBACK_EXPLICIT","WOULD_MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_ONLY","false","false","false"
"SIM_ROW_0020","ROWPATCH_0020","SANDBOX_ROW_MAPPING_SIMULATION","HardGate","VDF","DATA_SOURCE_CONTRACT","PROVIDER_REGISTRY_ONLY; API_KEYS_FROM_UI_RUNTIME_SECRET_OR_ENV_NAME_ONLY; RAW_SECRET_FORBIDDEN; FALLBACK_EXPLICIT","WOULD_MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_ONLY","false","false","false"
"SIM_ROW_0021","ROWPATCH_0021","SANDBOX_ROW_MAPPING_SIMULATION","schema_csv","VRN/VDF","SCHEMA_FIELD_CONTRACT","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","WOULD_MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_ONLY","false","false","false"
"SIM_ROW_0022","ROWPATCH_0022","SANDBOX_ROW_MAPPING_SIMULATION","TW_YFINANCE_REGEX","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","WOULD_MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_ONLY","false","false","false"
"SIM_ROW_0023","ROWPATCH_0023","SANDBOX_ROW_MAPPING_SIMULATION","akshare","VDF","DATA_SOURCE_CONTRACT","PROVIDER_REGISTRY_ONLY; API_KEYS_FROM_UI_RUNTIME_SECRET_OR_ENV_NAME_ONLY; RAW_SECRET_FORBIDDEN; FALLBACK_EXPLICIT","WOULD_MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_ONLY","false","false","false"
"SIM_ROW_0024","ROWPATCH_0024","SANDBOX_ROW_MAPPING_SIMULATION","TW_TICKER_REGEX","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","WOULD_MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_ONLY","false","false","false"
"SIM_ROW_0025","ROWPATCH_0025","SANDBOX_ROW_MAPPING_SIMULATION","RequiredFields","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","WOULD_MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_ONLY","false","false","false"
"SIM_ROW_0026","ROWPATCH_0026","SANDBOX_ROW_MAPPING_SIMULATION","changed_units","VRN/VDF","SCHEMA_FIELD_CONTRACT","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","WOULD_MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_ONLY","false","false","false"
"SIM_ROW_0027","ROWPATCH_0027","SANDBOX_ROW_MAPPING_SIMULATION","unit_x","VRN/VDF","SCHEMA_FIELD_CONTRACT","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","WOULD_MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_ONLY","false","false","false"
"SIM_ROW_0028","ROWPATCH_0028","SANDBOX_ROW_MAPPING_SIMULATION","target_field","VRN/VDF","SCHEMA_FIELD_CONTRACT","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","WOULD_MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_ONLY","false","false","false"
"SIM_ROW_0029","ROWPATCH_0029","SANDBOX_ROW_MAPPING_SIMULATION","mixing_policy","VDF","DATA_SOURCE_CONTRACT","PROVIDER_REGISTRY_ONLY; API_KEYS_FROM_UI_RUNTIME_SECRET_OR_ENV_NAME_ONLY; RAW_SECRET_FORBIDDEN; FALLBACK_EXPLICIT","WOULD_MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_ONLY","false","false","false"
"SIM_ROW_0030","ROWPATCH_0030","SANDBOX_ROW_MAPPING_SIMULATION","calendar_policy","VIA","GOVERNANCE_POLICY","VIA_GOVERNANCE_POLICY_REGISTRY","WOULD_MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_ONLY","false","false","false"
"SIM_ROW_0031","ROWPATCH_0031","SANDBOX_ROW_MAPPING_SIMULATION","fill_policy","VIA","GOVERNANCE_POLICY","VIA_GOVERNANCE_POLICY_REGISTRY","WOULD_MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_ONLY","false","false","false"
"SIM_ROW_0032","ROWPATCH_0032","SANDBOX_ROW_MAPPING_SIMULATION","left_ticker","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","WOULD_MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_ONLY","false","false","false"
"SIM_ROW_0033","ROWPATCH_0033","SANDBOX_ROW_MAPPING_SIMULATION","alignment_policy","VDF","DATA_SOURCE_CONTRACT","PROVIDER_REGISTRY_ONLY; API_KEYS_FROM_UI_RUNTIME_SECRET_OR_ENV_NAME_ONLY; RAW_SECRET_FORBIDDEN; FALLBACK_EXPLICIT","WOULD_MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_ONLY","false","false","false"
"SIM_ROW_0034","ROWPATCH_0034","SANDBOX_ROW_MAPPING_SIMULATION","addFields","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","WOULD_MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_ONLY","false","false","false"
"SIM_ROW_0035","ROWPATCH_0035","SANDBOX_ROW_MAPPING_SIMULATION","right_ticker","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","WOULD_MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_ONLY","false","false","false"
"SIM_ROW_0036","ROWPATCH_0036","SANDBOX_ROW_MAPPING_SIMULATION","schemas","VRN/VDF","SCHEMA_FIELD_CONTRACT","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","WOULD_MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_ONLY","false","false","false"
"SIM_ROW_0037","ROWPATCH_0037","SANDBOX_ROW_MAPPING_SIMULATION","EXTRA_TICKERS","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","WOULD_MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_ONLY","false","false","false"
"SIM_ROW_0038","ROWPATCH_0038","SANDBOX_ROW_MAPPING_SIMULATION","weekend_holiday_policy","VIA","GOVERNANCE_POLICY","VIA_GOVERNANCE_POLICY_REGISTRY","WOULD_MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_ONLY","false","false","false"
"SIM_ROW_0039","ROWPATCH_0039","SANDBOX_ROW_MAPPING_SIMULATION","unit_twd","VRN/VDF","SCHEMA_FIELD_CONTRACT","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","WOULD_MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_ONLY","false","false","false"
"SIM_ROW_0040","ROWPATCH_0040","SANDBOX_ROW_MAPPING_SIMULATION","fred_api_key_exists","VDF","DATA_SOURCE_CONTRACT","PROVIDER_REGISTRY_ONLY; API_KEYS_FROM_UI_RUNTIME_SECRET_OR_ENV_NAME_ONLY; RAW_SECRET_FORBIDDEN; FALLBACK_EXPLICIT","WOULD_MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_ONLY","false","false","false"
"SIM_ROW_0041","ROWPATCH_0041","SANDBOX_ROW_MAPPING_SIMULATION","merge_policy_gate","VDF","DATA_SOURCE_CONTRACT","PROVIDER_REGISTRY_ONLY; API_KEYS_FROM_UI_RUNTIME_SECRET_OR_ENV_NAME_ONLY; RAW_SECRET_FORBIDDEN; FALLBACK_EXPLICIT","WOULD_MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_ONLY","false","false","false"
"SIM_ROW_0042","ROWPATCH_0042","SANDBOX_ROW_MAPPING_SIMULATION","vrn_merge_yfinance_ticker","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","WOULD_MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_ONLY","false","false","false"
"SIM_ROW_0043","ROWPATCH_0043","SANDBOX_ROW_MAPPING_SIMULATION","ticker_regex","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","WOULD_MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_ONLY","false","false","false"
"SIM_ROW_0044","ROWPATCH_0044","SANDBOX_ROW_MAPPING_SIMULATION","schema_gate","VRN/VDF","SCHEMA_FIELD_CONTRACT","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","WOULD_MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_ONLY","false","false","false"
"SIM_ROW_0045","ROWPATCH_0045","SANDBOX_ROW_MAPPING_SIMULATION","factset_tw_ticker","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","WOULD_MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_ONLY","false","false","false"
"SIM_ROW_0046","ROWPATCH_0046","SANDBOX_ROW_MAPPING_SIMULATION","factset_tw_yfinance_ticker","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","WOULD_MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_ONLY","false","false","false"
"SIM_ROW_0047","ROWPATCH_0047","SANDBOX_ROW_MAPPING_SIMULATION","yf_tw_ticker","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","WOULD_MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_ONLY","false","false","false"
"SIM_ROW_0048","ROWPATCH_0048","SANDBOX_ROW_MAPPING_SIMULATION","vrn_merge_ticker","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","WOULD_MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_ONLY","false","false","false"
"SIM_ROW_0049","ROWPATCH_0049","SANDBOX_ROW_MAPPING_SIMULATION","schema_id","VDF","DATA_SOURCE_CONTRACT","PROVIDER_REGISTRY_ONLY; API_KEYS_FROM_UI_RUNTIME_SECRET_OR_ENV_NAME_ONLY; RAW_SECRET_FORBIDDEN; FALLBACK_EXPLICIT","WOULD_MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_ONLY","false","false","false"
"SIM_ROW_0050","ROWPATCH_0050","SANDBOX_ROW_MAPPING_SIMULATION","yf_tw_yfinance_ticker","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","WOULD_MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_ONLY","false","false","false"
"SIM_ROW_0051","ROWPATCH_0051","SANDBOX_ROW_MAPPING_SIMULATION","schema_rows","VRN/VDF","SCHEMA_FIELD_CONTRACT","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","WOULD_MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_ONLY","false","false","false"
"SIM_ROW_0052","ROWPATCH_0052","SANDBOX_ROW_MAPPING_SIMULATION","ticker_summary_csv","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","WOULD_MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_ONLY","false","false","false"
"SIM_ROW_0053","ROWPATCH_0053","SANDBOX_ROW_MAPPING_SIMULATION","missing_unit","VRN/VDF","SCHEMA_FIELD_CONTRACT","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","WOULD_MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_ONLY","false","false","false"
"SIM_ROW_0054","ROWPATCH_0054","SANDBOX_ROW_MAPPING_SIMULATION","unit_band_yellow","VRN/VDF","SCHEMA_FIELD_CONTRACT","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","WOULD_MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_ONLY","false","false","false"
"SIM_ROW_0055","ROWPATCH_0055","SANDBOX_ROW_MAPPING_SIMULATION","before_missing_ticker","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","WOULD_MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_ONLY","false","false","false"
"SIM_ROW_0056","ROWPATCH_0056","SANDBOX_ROW_MAPPING_SIMULATION","ticker_tokens","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","WOULD_MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_ONLY","false","false","false"
"SIM_ROW_0057","ROWPATCH_0057","SANDBOX_ROW_MAPPING_SIMULATION","def_PARAM_HARDGATE_DIR","VRN/VDF","SCHEMA_FIELD_CONTRACT","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","WOULD_MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_ONLY","false","false","false"
"SIM_ROW_0058","ROWPATCH_0058","SANDBOX_ROW_MAPPING_SIMULATION","unit_band_green","VRN/VDF","SCHEMA_FIELD_CONTRACT","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","WOULD_MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_ONLY","false","false","false"
"SIM_ROW_0059","ROWPATCH_0059","SANDBOX_ROW_MAPPING_SIMULATION","unit_review_rows","VRN/VDF","SCHEMA_FIELD_CONTRACT","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","WOULD_MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_ONLY","false","false","false"
"SIM_ROW_0060","ROWPATCH_0060","SANDBOX_ROW_MAPPING_SIMULATION","after_missing_ticker","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","WOULD_MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_ONLY","false","false","false"
"SIM_ROW_0061","ROWPATCH_0061","SANDBOX_ROW_MAPPING_SIMULATION","unit_review_csv","VRN/VDF","SCHEMA_FIELD_CONTRACT","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","WOULD_MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_ONLY","false","false","false"
"SIM_ROW_0062","ROWPATCH_0062","SANDBOX_ROW_MAPPING_SIMULATION","required_fields","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","WOULD_MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_ONLY","false","false","false"
"SIM_ROW_0063","ROWPATCH_0063","SANDBOX_ROW_MAPPING_SIMULATION","policy_id","VIA","GOVERNANCE_POLICY","VIA_GOVERNANCE_POLICY_REGISTRY","WOULD_MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_ONLY","false","false","false"
"SIM_ROW_0064","ROWPATCH_0064","SANDBOX_ROW_MAPPING_SIMULATION","tw_bloomberg_ticker","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","WOULD_MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_ONLY","false","false","false"
"SIM_ROW_0065","ROWPATCH_0065","SANDBOX_ROW_MAPPING_SIMULATION","write_policy","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","WOULD_MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_ONLY","false","false","false"
"SIM_ROW_0066","ROWPATCH_0066","SANDBOX_ROW_MAPPING_SIMULATION","VDF_Global_Macro","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","WOULD_MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_ONLY","false","false","false"
"SIM_ROW_0067","ROWPATCH_0067","SANDBOX_ROW_MAPPING_SIMULATION","text_fields","VRN/VDF","SCHEMA_FIELD_CONTRACT","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","WOULD_MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_ONLY","false","false","false"
"SIM_ROW_0068","ROWPATCH_0068","SANDBOX_ROW_MAPPING_SIMULATION","recommended_fields","VDF","DATA_SOURCE_CONTRACT","PROVIDER_REGISTRY_ONLY; API_KEYS_FROM_UI_RUNTIME_SECRET_OR_ENV_NAME_ONLY; RAW_SECRET_FORBIDDEN; FALLBACK_EXPLICIT","WOULD_MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_ONLY","false","false","false"
"SIM_ROW_0069","ROWPATCH_0069","SANDBOX_ROW_MAPPING_SIMULATION","fred_keys","VDF","DATA_SOURCE_CONTRACT","PROVIDER_REGISTRY_ONLY; API_KEYS_FROM_UI_RUNTIME_SECRET_OR_ENV_NAME_ONLY; RAW_SECRET_FORBIDDEN; FALLBACK_EXPLICIT","WOULD_MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_ONLY","false","false","false"
