"GroupType","GroupKey","Count","Sizes","Example","RecommendedAction"
"EXACT_DUPLICATE_SHA256","0215BF4551E975800E9999B6A724137A6BE4676875F5AC08A02DF9B66AE797B2","4","SIZE_709x402","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page10_img1__DUP__0215BF4551.png","KEEP_ONE_REVIEW_OTHERS_PLAN_ONLY"
"EXACT_DUPLICATE_SHA256","021D88F82861BA09465972B45FCAFDD16FB068641D739C6C43477EFDDF1AB654","12","SIZE_48x48","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\11_time_calendar_project\Events-Calendar-Icon__021D88F828.png","KEEP_ONE_REVIEW_OTHERS_PLAN_ONLY"
"EXACT_DUPLICATE_SHA256","025AB5AA2AE1D914DA17F0CA3A17F97D76918884BDE6003C910A68316CB5D112","6","SIZE_82x102","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page5_img2__DUP__025AB5AA2A.png","KEEP_ONE_REVIEW_OTHERS_PLAN_ONLY"
"EXACT_DUPLICATE_SHA256","02831C4323AC059AAA8BF953070175803466D874C760740E85FCE6D4FE232DB5","8","SIZE_130x130","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\03_chart_visualization_vap_core\marimekko_chart.svg","KEEP_ONE_REVIEW_OTHERS_PLAN_ONLY"
"EXACT_DUPLICATE_SHA256","02F8F2296E7597D8A578389938AE3DB77D776E59B4E97011C7CD45FDC03516A5","8","SIZE_40x40","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\04_file_format_export\sdk_36dp_EA3323_FILL0_wght400_GRAD0_opsz40.svg","KEEP_ONE_REVIEW_OTHERS_PLAN_ONLY"
"EXACT_DUPLICATE_SHA256","0313B1CE2BB248D2A5CF8D5A9FE1990836089425BC86BE92203DA55CA66422F4","2","SIZE_256x256","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\EXTRACTED_FROM_HTML\HTML_EMBED_000001.ico","KEEP_ONE_REVIEW_OTHERS_PLAN_ONLY"
"EXACT_DUPLICATE_SHA256","0330772E0AD07F288928B5404EE131C30391C372F82D7FBEB5D6E5C744D232B8","6","SIZE_750x450","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page5_img2__DUP__0330772E0A.png","KEEP_ONE_REVIEW_OTHERS_PLAN_ONLY"
"EXACT_DUPLICATE_SHA256","0333E4873EAFA0F6C124BF0745468598787B74C18A4FB71F24780CE4B68EBCA1","4","SIZE_665x448","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page6_img9__DUP__0333E4873E.png","KEEP_ONE_REVIEW_OTHERS_PLAN_ONLY"
"EXACT_DUPLICATE_SHA256","03BFBB8EFCEA46BDB4A4F445846E16AFBCF2F51AA065D59F9544DEF42E41BB3D","12","SIZE_256x256","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\12_seo_business_marketing_png\Email-Marketing-Icon__03BFBB8EFC.png","KEEP_ONE_REVIEW_OTHERS_PLAN_ONLY"
"EXACT_DUPLICATE_SHA256","03DD598A51BABA744544A9A3CFBD42ABE85F7F2D7F43DA8F2744E3F3924D4D00","2","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VAP\VeritasAutoPlot\7\index.html","KEEP_ONE_REVIEW_OTHERS_PLAN_ONLY"
"EXACT_DUPLICATE_SHA256","03DE3FE88C9A5A54C6CE95B0BC4E81E7532D97E7CEA995AD6EAA0C6830B6D80E","4","SIZE_750x319","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\managed_icons\MISC_ICON_STYLE\05_file_format_export\734a1733c544c50687c82d8799dc3c35__03DE3FE88C.jpg","KEEP_ONE_REVIEW_OTHERS_PLAN_ONLY"
"EXACT_DUPLICATE_SHA256","03E626499CFFABFDCF7D0684150DEAC3C555F3A0E12E188AB751711B52FDAB38","4","SIZE_98x98","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page15_img11__DUP__03E626499C.png","KEEP_ONE_REVIEW_OTHERS_PLAN_ONLY"
"EXACT_DUPLICATE_SHA256","0423CC8BFABDF149447DA75478B2C94C7AC8B17CC9EF572F3EC62F8AAB3FD832","4","SIZE_612x364","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\managed_icons\MISC_ICON_STYLE\05_file_format_export\istockphoto-2158084250-612x612__0423CC8BFA.jpg","KEEP_ONE_REVIEW_OTHERS_PLAN_ONLY"
"EXACT_DUPLICATE_SHA256","042D4AC7F456DF1CC3F0936D1C65A9A3E7C900E23F8738A422DA6A10FACF15C8","6","SIZE_853x617","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page5_img2__DUP__042D4AC7F4.png","KEEP_ONE_REVIEW_OTHERS_PLAN_ONLY"
"EXACT_DUPLICATE_SHA256","0456424F42CAA2D6B94BF01B942886476CEDFCDAAF5A2F5A6DA33772AE5B213D","4","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VAP\VeritasAutoPlot\8\stats.js","KEEP_ONE_REVIEW_OTHERS_PLAN_ONLY"
"EXACT_DUPLICATE_SHA256","04B118100645116703167D06C17973EAE78032665B5D147D91A7ED57DF81A150","2","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VAP\VeritasAutoPlot\5\index.html","KEEP_ONE_REVIEW_OTHERS_PLAN_ONLY"
"EXACT_DUPLICATE_SHA256","04C180E8B4FB92C25F0B5260AAB1B531410766F3FDB519F4FC33831555E7EE38","2","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VeritasIntelligenceAnalytics\_activation\VIA_ACTIVATION_GATEWAY_V04_INLINE_READY_20260609_035734\registry\VIA_ActivationGateway_v04_InlineReady_Manifest.json","KEEP_ONE_REVIEW_OTHERS_PLAN_ONLY"
"EXACT_DUPLICATE_SHA256","04EA21325780E7938A61B1C8423D303426094AF46EA2CE318593C688AF4939DB","12","SIZE_48x48","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\12_seo_business_marketing_png\Campaign-Tweaking-Icon__04EA213257.png","KEEP_ONE_REVIEW_OTHERS_PLAN_ONLY"
"EXACT_DUPLICATE_SHA256","0564737F46BB8CCB9E4937D100FD0277C3AB0B63DA5971D4681ED256239264E1","10","SIZE_528x614","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\managed_icons\PNG_MISC_STYLE_UNKNOWN_SIZE\05_file_format_export\page1_img9__0564737F46.png","KEEP_ONE_REVIEW_OTHERS_PLAN_ONLY"
"EXACT_DUPLICATE_SHA256","05B66285798D5FA84F0DB9E1C0BC74913E5945EADD05CD466281F3C01DBD65A7","2","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL245_vrn_broker_abbrev_ssot_final_patch_v06135__SUPPORT_RULE__v06135.py","KEEP_ONE_REVIEW_OTHERS_PLAN_ONLY"
"EXACT_DUPLICATE_SHA256","05D07E254549C3CDA6BEF03BBB42A7883F0B815D51844CA98DCBE017C0303FA6","4","SIZE_1920x1080;","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\VIA_AutoPilot_Chart__DUP__05D07E2545.png","KEEP_ONE_REVIEW_OTHERS_PLAN_ONLY"
"EXACT_DUPLICATE_SHA256","05D44099D659CD35869E8DDF68E36EC26A5A7B43F6D533B178971BD27AEFE8B3","6","SIZE_358x263","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page7_img3__DUP__05D44099D6.png","KEEP_ONE_REVIEW_OTHERS_PLAN_ONLY"
"EXACT_DUPLICATE_SHA256","05F8FB3D92C1DD613ECC3DFA893F730B654DD7CF0186987F7518E5DCFAE1D3BD","4","SIZE_800x600","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page32_img3__DUP__05F8FB3D92.png","KEEP_ONE_REVIEW_OTHERS_PLAN_ONLY"
"EXACT_DUPLICATE_SHA256","06F8AA49622BAF685EB73BA98E25EB9D98CD6808752F8CD868F72A0D7BF663C1","2","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VAP\VeritasAutoPlot\VIA_Notes_Pro.html","KEEP_ONE_REVIEW_OTHERS_PLAN_ONLY"
"EXACT_DUPLICATE_SHA256","0710F871E43BA14B650C53D08BD496B1A50E9FE76E39E7D3B6C2C1CAD6B838BF","4","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\managed_icons\MISC_ICON_STYLE\05_file_format_export\trump-powell-fed-split__0710F871E4.webp","KEEP_ONE_REVIEW_OTHERS_PLAN_ONLY"
"EXACT_DUPLICATE_SHA256","075F87C6CE47FE2A75695EB663D5E40A8D230C47CBF62FFFA99B6092C265F664","12","SIZE_72x72","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\12_seo_business_marketing_png\Page-Speed-Icon__075F87C6CE.png","KEEP_ONE_REVIEW_OTHERS_PLAN_ONLY"
"EXACT_DUPLICATE_SHA256","076C4467AC22FA0FE222EEE4C25B0B8B9A95C9E3DC445C1EF24410B18BE909BC","10","SIZE_100x10","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\01_finance_market_trading\yfinance_asset_class_matrix_(2).svg","KEEP_ONE_REVIEW_OTHERS_PLAN_ONLY"
"EXACT_DUPLICATE_SHA256","0779211E19F90FA5673A046A62D13A4BA5DD8EC8C9959FBAFE1AF70FF467C578","4","SIZE_1024x1536;","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\managed_icons\MISC_ICON_STYLE\04_vap_chart_visualization\infographic-how-to-trade-the-news-guide-for-beginner-investors__0779211E19.jpg","KEEP_ONE_REVIEW_OTHERS_PLAN_ONLY"
"EXACT_DUPLICATE_SHA256","078C78D507891328E8B3A4F466BC229BA5A5BC1EFAEF2C1C7EE2610F1D26E6F4","4","SIZE_2125x5438","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\managed_icons\PNG_MISC_STYLE_UNKNOWN_SIZE\05_file_format_export\etf_universe_matrix__078C78D507.png","KEEP_ONE_REVIEW_OTHERS_PLAN_ONLY"
"EXACT_DUPLICATE_SHA256","078DFD6BBB59FB217AA82F4B82E9B310BC6D9A269816ED19F0625F94F392E74B","6","SIZE_961x433","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page5_img2__DUP__078DFD6BBB.png","KEEP_ONE_REVIEW_OTHERS_PLAN_ONLY"
"EXACT_DUPLICATE_SHA256","079EAFF249313CAB02D5D97533731173B41D1353A71100BED84A621C0D2CBBA8","8","SIZE_653x368","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\managed_icons\PNG_MISC_STYLE_UNKNOWN_SIZE\05_file_format_export\page1_img24__079EAFF249.png","KEEP_ONE_REVIEW_OTHERS_PLAN_ONLY"
"EXACT_DUPLICATE_SHA256","07BC1AEB89FB00398FA3083C3E0226FC233B663ED10BAD826212563120A8E23F","4","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VAP\VeritasAutoPlot\4\data.json","KEEP_ONE_REVIEW_OTHERS_PLAN_ONLY"
"EXACT_DUPLICATE_SHA256","07D1C0FED951300315034B250A4F5D61B54E61DD3B27C7B68E456A1E7CCF8252","12","SIZE_48x48","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\12_seo_business_marketing_png\Social-Media-Sharing-Icon__07D1C0FED9.png","KEEP_ONE_REVIEW_OTHERS_PLAN_ONLY"
"EXACT_DUPLICATE_SHA256","07EA7C816AE2D9F55B843591F7CC0CFC41A8A207AFDBE110B773B93C546DF2C1","2","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL076_vrn_final_handover_commit_blocker_seal_v0615702__GOVERNANCE__v0615702.json","KEEP_ONE_REVIEW_OTHERS_PLAN_ONLY"
"EXACT_DUPLICATE_SHA256","080076F2E153B1C91CA35C1CE3E58B96357869EC58821BEF0EFC5BCD9684467B","6","SIZE_327x433","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page4_img4__DUP__080076F2E1.png","KEEP_ONE_REVIEW_OTHERS_PLAN_ONLY"
"EXACT_DUPLICATE_SHA256","080256DC3CAFC03433F772A3799983A5333EADBCC17711E779B06B503CDCE35A","8","SIZE_40x40","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\03_chart_visualization_vap_core\monitoring_36dp_EA3323_FILL0_wght400_GRAD0_opsz40.svg","KEEP_ONE_REVIEW_OTHERS_PLAN_ONLY"
"EXACT_DUPLICATE_SHA256","082600677BB52BCC5504191D3150F7B7E43BE86825C90460C1B76491BAD2C289","8","SIZE_40x40","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\01_finance_market_trading\finance_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","KEEP_ONE_REVIEW_OTHERS_PLAN_ONLY"
"EXACT_DUPLICATE_SHA256","082E0979EB16F4516CDAACE068306A4E02751EC9096F6BB4DE52FCD7411434B1","4","SIZE_1111x642","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\managed_icons\MISC_ICON_STYLE\05_file_format_export\daily-economic-dashboard-april-15-capture__082E0979EB.jpg","KEEP_ONE_REVIEW_OTHERS_PLAN_ONLY"
"EXACT_DUPLICATE_SHA256","088168D774837055C1DB1BCAA62BA9C9A28743A5F487A36031DE9C5C82D6C45D","8","SIZE_40x40","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\03_chart_visualization_vap_core\graph_2_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","KEEP_ONE_REVIEW_OTHERS_PLAN_ONLY"
"EXACT_DUPLICATE_SHA256","08CA1C5D2CF1F6C8E76A251A8F9E2D08ADABCE603F814A932CF59BD1CCB06DC5","6","SIZE_436x200","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page1_img3__DUP__08CA1C5D2C.png","KEEP_ONE_REVIEW_OTHERS_PLAN_ONLY"
"EXACT_DUPLICATE_SHA256","090E509613DE31F4A297F8B3C4AED47FDCF43F2051592A33939E045F42CB0D91","4","SIZE_833x150","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page16_img8__DUP__090E509613.png","KEEP_ONE_REVIEW_OTHERS_PLAN_ONLY"
"EXACT_DUPLICATE_SHA256","0921D86FB00DCCF9E355B992248575F2CA7F40120858032E4CFC5EA7C9DA243F","4","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VAP\_output\VAP_PROJECT_COMPLETION_20260506_224841\check_libs.py","KEEP_ONE_REVIEW_OTHERS_PLAN_ONLY"
"EXACT_DUPLICATE_SHA256","09AA9DBC79BFF253981FF3975444CD9156211FB7FDEBEDCB8F04E605BCBD5872","4","SIZE_934x612","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page39_img3__DUP__09AA9DBC79.png","KEEP_ONE_REVIEW_OTHERS_PLAN_ONLY"
"EXACT_DUPLICATE_SHA256","09DFC88A5EFB5A5C94AB079A7E74A1DE6BC63AA91F5FBA0400205682C361D22A","6","SIZE_82x100","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page5_img3__DUP__09DFC88A5E.png","KEEP_ONE_REVIEW_OTHERS_PLAN_ONLY"
"EXACT_DUPLICATE_SHA256","09E43B3948A42C581FA1C5A732B2B6A611891CC8AA513C0905459A3E863C425D","2","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VAP\_warehouse\parquet\warning_assets_v4.parquet","KEEP_ONE_REVIEW_OTHERS_PLAN_ONLY"
"EXACT_DUPLICATE_SHA256","09F95BF311965EC7A6E60B888D2DEBA74BE5A51FAAFC2971FE04314B1BC5D226","6","SIZE_690x830","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page8_img1__DUP__09F95BF311.png","KEEP_ONE_REVIEW_OTHERS_PLAN_ONLY"
"EXACT_DUPLICATE_SHA256","0A1CD8D2682D7B9DE3E7AEA8817A211D7353BC4F457E3230399A89BF54EF9767","4","SIZE_500x483","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page6_img3__DUP__0A1CD8D268.png","KEEP_ONE_REVIEW_OTHERS_PLAN_ONLY"
"EXACT_DUPLICATE_SHA256","0AA6A0C75C61B644A08B9D8A82B23B643BD531967EF50B08C02D70901D558C04","8","SIZE_130x130","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\03_chart_visualization_vap_core\network_diagram.svg","KEEP_ONE_REVIEW_OTHERS_PLAN_ONLY"
"EXACT_DUPLICATE_SHA256","0AEF6E1FC3D0B5408C8906C5818874ADDA9321825592EE2846E79AB2164E14D4","2","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VAP\_output\VAP_WAREHOUSE_V7_QUANT_20260507_104041\VAP_Warehouse_V7_Quant_Intelligence_Report.html","KEEP_ONE_REVIEW_OTHERS_PLAN_ONLY"
"EXACT_DUPLICATE_SHA256","0B02B351453B960E7B61595CCB514DF3C942979C2FB3D6C51BBDD0673ED361D1","12","SIZE_72x72","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\12_seo_business_marketing_png\SEO-Practice-Icon__0B02B35145.png","KEEP_ONE_REVIEW_OTHERS_PLAN_ONLY"
"EXACT_DUPLICATE_SHA256","0B1247C08C855E67149AE479C5E1FE34035475E298D9E9595FAAEFECA1F7A3C7","10","SIZE_528x416","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\managed_icons\PNG_MISC_STYLE_UNKNOWN_SIZE\05_file_format_export\page1_img35__0B1247C08C.png","KEEP_ONE_REVIEW_OTHERS_PLAN_ONLY"
"EXACT_DUPLICATE_SHA256","0B4ACB49761B985B57A0081060BA18CFCC5CDB81C75F778979364B08176AC365","2","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VAP\_output\VAP_WAREHOUSE_V4_20260506_222535\vap_warehouse_v4_payload.json","KEEP_ONE_REVIEW_OTHERS_PLAN_ONLY"
"EXACT_DUPLICATE_SHA256","0B671E1AC12D82FBE8E4BCA8BB796997C8720E4A20F08C5BD3FD7F9AE2698B1A","14","SIZE_128x128","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\12_seo_business_marketing_png\SEO-Goals-Icon.png","KEEP_ONE_REVIEW_OTHERS_PLAN_ONLY"
"EXACT_DUPLICATE_SHA256","0B834FF2012725C680110E7685C0B7211560D0018FC0B0AFDEBF4C00F7CCE55C","2","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VAP\VeritasAutoPlot\T04_Heatmap.html","KEEP_ONE_REVIEW_OTHERS_PLAN_ONLY"
"EXACT_DUPLICATE_SHA256","0BB6051AAF6B332C4DEB9AB8E166E8B5077456CAB6071E8A7D0CC14B57CCD291","2","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\COMPONENTS\DecisionStudio_Current_DecisionStudio_Registry\TABLE_BLOCK_0003_VAP_CMP_000008.html","KEEP_ONE_REVIEW_OTHERS_PLAN_ONLY"
"EXACT_DUPLICATE_SHA256","0BC83FCA331B8377375EED14515BDF16D97E3303FFA390ACCCEB7FC0CAFB1A44","4","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VAP\VeritasAutoPlot\8\data.js","KEEP_ONE_REVIEW_OTHERS_PLAN_ONLY"
"EXACT_DUPLICATE_SHA256","0BE5031D685149CCC98AFFB63949D3B35C9E3EA4DF67752E95CB25CABC349C0C","4","SIZE_258x196","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\managed_icons\PNG_MISC_STYLE_UNKNOWN_SIZE\05_file_format_export\images_(1)__0BE5031D68.png","KEEP_ONE_REVIEW_OTHERS_PLAN_ONLY"
