"AssetID","FileName","FullPath","Extension","AssetType","VisualRole","SizeKB","Width","Height","DimensionGroup","VisualHash","VisualHashGroup","ImageMetaMethod","Sha256","Sha256Group","IsExactDuplicate","IsSameImageDifferentSize","IsSameSizeGroup","ModifiedAt","Status"
"VAP_AST_000011","finance_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\01_finance_market_trading\finance_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg",".svg","SVG_VECTOR","ICON_IMAGE_LIBRARY","0.3","40","40","SIZE_40x40","","","SVG_PARSE","082600677BB52BCC5504191D3150F7B7E43BE86825C90460C1B76491BAD2C289","SHA_DUP_0047","True","False","True","2026-03-23 11:05:16","EXACT_DUPLICATE_REVIEW"
"VAP_AST_000012","Market-Analysis-Icon__18773E283C.png","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\01_finance_market_trading\Market-Analysis-Icon__18773E283C.png",".png","RASTER_IMAGE","ICON_IMAGE_LIBRARY","8.72","256","256","SIZE_256x256","000c02014d5c2418","VH_000c02014d5c2418","RASTER_AVERAGE_HASH_8X8","18773E283C0D8E2C15D0F5F5E4E13CFB2FCE99D6B7E34206A6113145CC5E80FC","SHA_DUP_0139","True","True","True","2026-06-08 21:09:01","EXACT_DUPLICATE_REVIEW"
"VAP_AST_000013","Market-Analysis-Icon__4E0D030A21.png","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\01_finance_market_trading\Market-Analysis-Icon__4E0D030A21.png",".png","RASTER_IMAGE","ICON_IMAGE_LIBRARY","2.56","72","72","SIZE_72x72","000c12014d5c2418","VH_000c12014d5c2418","RASTER_AVERAGE_HASH_8X8","4E0D030A2119BE0D9B90E460428B8B7CC34A0093EDB7F187DA6335FB7E48045F","SHA_DUP_0443","True","True","True","2026-06-08 21:09:02","EXACT_DUPLICATE_REVIEW"
"VAP_AST_000014","Market-Analysis-Icon__5186DE0127.png","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\01_finance_market_trading\Market-Analysis-Icon__5186DE0127.png",".png","RASTER_IMAGE","ICON_IMAGE_LIBRARY","1.75","48","48","SIZE_48x48","000c12014d5c2418","VH_000c12014d5c2418","RASTER_AVERAGE_HASH_8X8","5186DE0127DED58265153B4B1FC9BA40F2A1DB6ADEDC4EDD84E48AC66649190B","SHA_DUP_0467","True","True","True","2026-06-08 21:09:01","EXACT_DUPLICATE_REVIEW"
"VAP_AST_000015","Market-Analysis-Icon.png","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\01_finance_market_trading\Market-Analysis-Icon.png",".png","RASTER_IMAGE","ICON_IMAGE_LIBRARY","3.93","128","128","SIZE_128x128","000c02014d5c2418","VH_000c02014d5c2418","RASTER_AVERAGE_HASH_8X8","D51A87A911491AB6F7EDA89F70CFB7D2A4437AC28046750396E2EB51616BEBFB","SHA_DUP_1154","True","True","True","2026-06-08 21:09:01","EXACT_DUPLICATE_REVIEW"
"VAP_AST_000016","oil_barrel_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\01_finance_market_trading\oil_barrel_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg",".svg","SVG_VECTOR","ICON_IMAGE_LIBRARY","1.01","40","40","SIZE_40x40","","","SVG_PARSE","E88C4783AC06E65B9A0A2650F99C1772E44EBEF51EA7FC1D087405FF4A742D76","SHA_DUP_1258","True","False","True","2026-03-23 10:52:07","EXACT_DUPLICATE_REVIEW"
"VAP_AST_000017","trending_down_36dp_9DC384_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\01_finance_market_trading\trending_down_36dp_9DC384_FILL0_wght400_GRAD0_opsz40.svg",".svg","SVG_VECTOR","ICON_IMAGE_LIBRARY","0.25","40","40","SIZE_40x40","","","SVG_PARSE","D6ABBCFAAAD5B607C0708B42C53ACF4C01969B981D262A15AF1DD2E0E451F00E","SHA_DUP_1163","True","False","True","2026-03-23 11:04:40","EXACT_DUPLICATE_REVIEW"
"VAP_AST_000018","trending_up_36dp_EA3323_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\01_finance_market_trading\trending_up_36dp_EA3323_FILL0_wght400_GRAD0_opsz40.svg",".svg","SVG_VECTOR","ICON_IMAGE_LIBRARY","0.25","40","40","SIZE_40x40","","","SVG_PARSE","BE7C35DC09D4714A4F7497B5A25F8F401AC023D98396EF2C8A9ECD14D1C5DB00","SHA_DUP_1037","True","False","True","2026-03-23 10:48:28","EXACT_DUPLICATE_REVIEW"
"VAP_AST_000019","yfinance_asset_class_matrix_(2).svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\01_finance_market_trading\yfinance_asset_class_matrix_(2).svg",".svg","SVG_VECTOR","ICON_IMAGE_LIBRARY","125.01","100","10","SIZE_100x10","","","SVG_PARSE","076C4467AC22FA0FE222EEE4C25B0B8B9A95C9E3DC445C1EF24410B18BE909BC","SHA_DUP_0037","True","False","True","2026-03-22 22:37:14","EXACT_DUPLICATE_REVIEW"
"VAP_AST_000020","yfinance_asset_class_matrix_(3).svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\01_finance_market_trading\yfinance_asset_class_matrix_(3).svg",".svg","SVG_VECTOR","ICON_IMAGE_LIBRARY","162.45","100","1585","SIZE_100x1585","","","SVG_PARSE","4061A7B93DBAA3E03A46E31A2B8E1110525DD25C7F46683EAA912B51ECB30CF2","SHA_DUP_0365","True","False","True","2026-03-23 10:00:37","EXACT_DUPLICATE_REVIEW"
"VAP_AST_000021","yfinance_asset_class_matrix.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\01_finance_market_trading\yfinance_asset_class_matrix.svg",".svg","SVG_VECTOR","ICON_IMAGE_LIBRARY","162.45","100","1585","SIZE_100x1585","","","SVG_PARSE","1BA73171C783787C628AEB3C965FB4475B85AEA304DCDEB36BDCA648B3D67897","SHA_DUP_0162","True","False","True","2026-03-22 21:02:49","EXACT_DUPLICATE_REVIEW"
"VAP_AST_000022","emoji_symbols_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\01_registry_identity_anchor\emoji_symbols_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg",".svg","SVG_VECTOR","ICON_IMAGE_LIBRARY","1.27","40","40","SIZE_40x40","","","SVG_PARSE","BC31F91BC884007733598A117BFE6105B55C8AA280573DE12DBB1B18152B90EA","SHA_DUP_1028","True","False","True","2026-03-23 10:44:20","EXACT_DUPLICATE_REVIEW"
"VAP_AST_000023","family_history_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\01_registry_identity_anchor\family_history_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg",".svg","SVG_VECTOR","ICON_IMAGE_LIBRARY","0.88","40","40","SIZE_40x40","","","SVG_PARSE","0E4C859CBCCCC37A34943DAD0D216B4ED3338D2BE0A9589A1E78C41379ED13C0","SHA_DUP_0080","True","False","True","2026-03-23 11:05:26","EXACT_DUPLICATE_REVIEW"
"VAP_AST_000024","schema_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\01_registry_identity_anchor\schema_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg",".svg","SVG_VECTOR","ICON_IMAGE_LIBRARY","0.45","40","40","SIZE_40x40","","","SVG_PARSE","0C628B16C6B7E64B554FC990DDE9BD22A82C5C4E2F0BFF5F2A2934696B7E34CC","SHA_DUP_0068","True","False","True","2026-03-23 11:04:07","EXACT_DUPLICATE_REVIEW"
"VAP_AST_000025","token_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\01_registry_identity_anchor\token_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg",".svg","SVG_VECTOR","ICON_IMAGE_LIBRARY","0.68","40","40","SIZE_40x40","","","SVG_PARSE","3CEEACD14A57794AFC95B8B7B23AAB1AB747E3A957E4F3998E680CB1720E762F","SHA_DUP_0350","True","False","True","2026-03-23 10:41:44","EXACT_DUPLICATE_REVIEW"
"VAP_AST_000026","database_search_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\02_data_database_dataset\database_search_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg",".svg","SVG_VECTOR","ICON_IMAGE_LIBRARY","1.45","40","40","SIZE_40x40","","","SVG_PARSE","14D482E100DF60499962809E47C030FE2FE35FD5D52DAEA870271C7C8DF8866F","SHA_DUP_0117","True","False","True","2026-03-23 11:05:24","EXACT_DUPLICATE_REVIEW"
"VAP_AST_000027","dataset_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\02_data_database_dataset\dataset_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg",".svg","SVG_VECTOR","ICON_IMAGE_LIBRARY","0.53","40","40","SIZE_40x40","","","SVG_PARSE","8A953B18219B6F022B5E795F9A4BA9F08A89D259A3E177191F080AAAD1F5E045","SHA_DUP_0766","True","False","True","2026-03-23 10:41:15","EXACT_DUPLICATE_REVIEW"
"VAP_AST_000028","file_json_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\02_data_database_dataset\file_json_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg",".svg","SVG_VECTOR","ICON_IMAGE_LIBRARY","1.07","40","40","SIZE_40x40","","","SVG_PARSE","C4801F298DC49D0AFAF1EE220FEC8CD5181A0F70B05AA7D625805C52AE8C6177","SHA_DUP_1077","True","False","True","2026-03-23 10:51:05","EXACT_DUPLICATE_REVIEW"
"VAP_AST_000029","currency_exchange_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\02_finance_market_trading\currency_exchange_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg",".svg","SVG_VECTOR","ICON_IMAGE_LIBRARY","1.12","40","40","SIZE_40x40","","","SVG_PARSE","F5FF89AF3F7DA76AE7A47B51750B9F762046331D94DC2971FDFFD078C39B305E","SHA_DUP_1335","True","False","True","2026-03-23 11:03:49","EXACT_DUPLICATE_REVIEW"
"VAP_AST_000030","payments_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\02_finance_market_trading\payments_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg",".svg","SVG_VECTOR","ICON_IMAGE_LIBRARY","0.69","40","40","SIZE_40x40","","","SVG_PARSE","BAF7C2EB8FD0D38769FB6FB37469DEF07F385CAACC470435D50198B580E22B57","SHA_DUP_1024","True","False","True","2026-03-23 10:48:41","EXACT_DUPLICATE_REVIEW"
"VAP_AST_000031","target_36dp_EA3323_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\02_finance_market_trading\target_36dp_EA3323_FILL0_wght400_GRAD0_opsz40.svg",".svg","SVG_VECTOR","ICON_IMAGE_LIBRARY","0.81","40","40","SIZE_40x40","","","SVG_PARSE","DA21CA65A680633E9F0CAD0D83D317D56C6D68E167D63899778430C4452A3C02","SHA_DUP_1183","True","False","True","2026-03-23 10:46:05","EXACT_DUPLICATE_REVIEW"
"VAP_AST_000032","yfinance_asset_class_matrix.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\02_finance_market_trading\yfinance_asset_class_matrix.svg",".svg","SVG_VECTOR","ICON_IMAGE_LIBRARY","162.45","100","1585","SIZE_100x1585","","","SVG_PARSE","1BA73171C783787C628AEB3C965FB4475B85AEA304DCDEB36BDCA648B3D67897","SHA_DUP_0162","True","False","True","2026-03-22 21:02:49","EXACT_DUPLICATE_REVIEW"
"VAP_AST_000033","bar_graph.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\03_chart_visualization_vap_core\bar_graph.svg",".svg","SVG_VECTOR","ICON_IMAGE_LIBRARY","0.83","130","130","SIZE_130x130","","","SVG_PARSE","9D91F5B5003F4B62942054CBAEF7CAC83826B42076043FBB2FCBF744689A992F","SHA_DUP_0874","True","False","True","2026-06-06 07:57:22","EXACT_DUPLICATE_REVIEW"
"VAP_AST_000034","box_plot.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\03_chart_visualization_vap_core\box_plot.svg",".svg","SVG_VECTOR","ICON_IMAGE_LIBRARY","1.81","130","130","SIZE_130x130","","","SVG_PARSE","328DE333CB9DF6A28A19C8C411756A854CA36DB04D1AA9395CD4B40E69552F2A","SHA_DUP_0295","True","False","True","2026-06-06 07:57:33","EXACT_DUPLICATE_REVIEW"
"VAP_AST_000035","bubble_chart.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\03_chart_visualization_vap_core\bubble_chart.svg",".svg","SVG_VECTOR","ICON_IMAGE_LIBRARY","0.95","130","130","SIZE_130x130","","","SVG_PARSE","C07A6515E76FB7B62AF31AF380BDEB19AF81AE56415B633C54F9663CD89183B2","SHA_DUP_1047","True","False","True","2026-06-06 07:57:48","EXACT_DUPLICATE_REVIEW"
"VAP_AST_000036","bullet_chart.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\03_chart_visualization_vap_core\bullet_chart.svg",".svg","SVG_VECTOR","ICON_IMAGE_LIBRARY","1.53","130","130","SIZE_130x130","","","SVG_PARSE","BFDC097D62F7A4C265C659E357F05040B672AAA7115F25455180EBA3DB46AAC8","SHA_DUP_1043","True","False","True","2026-06-06 07:58:15","EXACT_DUPLICATE_REVIEW"
"VAP_AST_000037","calendar.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\03_chart_visualization_vap_core\calendar.svg",".svg","SVG_VECTOR","ICON_IMAGE_LIBRARY","4.97","130","130","SIZE_130x130","","","SVG_PARSE","38A43BF261AC9C661F435117EA001375C5AEBF38680A3F409236C55787FC405C","SHA_DUP_0329","True","False","True","2026-06-06 07:58:24","EXACT_DUPLICATE_REVIEW"
"VAP_AST_000038","circle_packing.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\03_chart_visualization_vap_core\circle_packing.svg",".svg","SVG_VECTOR","ICON_IMAGE_LIBRARY","2.32","130","130","SIZE_130x130","","","SVG_PARSE","F38C962897295F30725ED342B2D8E73A9F97C0F6EE4CE028C156DCAB0FB40728","SHA_DUP_1320","True","False","True","2026-06-06 07:58:44","EXACT_DUPLICATE_REVIEW"
"VAP_AST_000039","density_plot.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\03_chart_visualization_vap_core\density_plot.svg",".svg","SVG_VECTOR","ICON_IMAGE_LIBRARY","1.11","130","130","SIZE_130x130","","","SVG_PARSE","9A01DDC5BB70E208657134C9220BAE3CF035DA8E19A9228DEC30BAEB01D3FC10","SHA_DUP_0853","True","False","True","2026-06-06 07:58:55","EXACT_DUPLICATE_REVIEW"
"VAP_AST_000040","gantt_chart.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\03_chart_visualization_vap_core\gantt_chart.svg",".svg","SVG_VECTOR","ICON_IMAGE_LIBRARY","2.44","130","130","SIZE_130x130","","","SVG_PARSE","422C6903F5C54460E055B36186E7AC67744192E4B15F7E23C951ED73242BC7BB","SHA_DUP_0378","True","False","True","2026-06-06 08:00:09","EXACT_DUPLICATE_REVIEW"
"VAP_AST_000041","graph_2_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\03_chart_visualization_vap_core\graph_2_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg",".svg","SVG_VECTOR","ICON_IMAGE_LIBRARY","1.68","40","40","SIZE_40x40","","","SVG_PARSE","088168D774837055C1DB1BCAA62BA9C9A28743A5F487A36031DE9C5C82D6C45D","SHA_DUP_0049","True","False","True","2026-03-23 11:05:23","EXACT_DUPLICATE_REVIEW"
"VAP_AST_000042","grouped_bar_chart_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\03_chart_visualization_vap_core\grouped_bar_chart_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg",".svg","SVG_VECTOR","ICON_IMAGE_LIBRARY","0.21","40","40","SIZE_40x40","","","SVG_PARSE","2AA045FB7E086E6E212CE8BA967689104B8B5FF379A876202BDB169B3D3FA295","SHA_DUP_0244","True","False","True","2026-03-23 11:05:04","EXACT_DUPLICATE_REVIEW"
"VAP_AST_000043","marimekko_chart.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\03_chart_visualization_vap_core\marimekko_chart.svg",".svg","SVG_VECTOR","ICON_IMAGE_LIBRARY","1.29","130","130","SIZE_130x130","","","SVG_PARSE","02831C4323AC059AAA8BF953070175803466D874C760740E85FCE6D4FE232DB5","SHA_DUP_0014","True","False","True","2026-06-06 08:00:56","EXACT_DUPLICATE_REVIEW"
"VAP_AST_000044","monitoring_36dp_EA3323_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\03_chart_visualization_vap_core\monitoring_36dp_EA3323_FILL0_wght400_GRAD0_opsz40.svg",".svg","SVG_VECTOR","ICON_IMAGE_LIBRARY","0.38","40","40","SIZE_40x40","","","SVG_PARSE","080256DC3CAFC03433F772A3799983A5333EADBCC17711E779B06B503CDCE35A","SHA_DUP_0046","True","False","True","2026-03-23 10:48:23","EXACT_DUPLICATE_REVIEW"
"VAP_AST_000045","multiset_bar_chart.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\03_chart_visualization_vap_core\multiset_bar_chart.svg",".svg","SVG_VECTOR","ICON_IMAGE_LIBRARY","0.9","130","130","SIZE_130x130","","","SVG_PARSE","9364F8B42B984D6EAD413D9B906309D501CF4B95639B290E75E06AB7E1DC1D68","SHA_DUP_0821","True","False","True","2026-06-06 08:01:00","EXACT_DUPLICATE_REVIEW"
"VAP_AST_000046","network_diagram.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\03_chart_visualization_vap_core\network_diagram.svg",".svg","SVG_VECTOR","ICON_IMAGE_LIBRARY","2.33","130","130","SIZE_130x130","","","SVG_PARSE","0AA6A0C75C61B644A08B9D8A82B23B643BD531967EF50B08C02D70901D558C04","SHA_DUP_0058","True","False","True","2026-06-06 08:01:04","EXACT_DUPLICATE_REVIEW"
"VAP_AST_000047","radar_chart.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\03_chart_visualization_vap_core\radar_chart.svg",".svg","SVG_VECTOR","ICON_IMAGE_LIBRARY","8.52","130","130","SIZE_130x130","","","SVG_PARSE","A3ABFF28D7E79675694A2C1B94FA114EEEFAAE64843703D6E9487F4C04BCE516","SHA_DUP_0914","True","False","True","2026-06-06 08:04:03","EXACT_DUPLICATE_REVIEW"
"VAP_AST_000048","radial_bar_chart.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\03_chart_visualization_vap_core\radial_bar_chart.svg",".svg","SVG_VECTOR","ICON_IMAGE_LIBRARY","1.5","130","130","SIZE_130x130","","","SVG_PARSE","36161DF14DB6BD23F852BF23C5DA16A0DBE5C68C338E08C7126052AE4DED45FB","SHA_DUP_0312","True","False","True","2026-06-06 08:03:57","EXACT_DUPLICATE_REVIEW"
