"ID","Role","ProjectHint","FileName","BaseName","Extension","RelativePath","FullPath","FileUri","SizeBytes","SizeKB","Sha256","ShaShort","SameSizeGroup","SameShaGroup","SameSourceGroup","GroupType","ModifiedAt","Status"
"ICON_000013","Finance / Market","VETF","trending_down_36dp_9DC384_FILL0_wght400_GRAD0_opsz40.svg","trending_down_36dp_9dc384_fill0_wght400_grad0_opsz40",".svg","01_finance_market_trading\trending_down_36dp_9DC384_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICON_BASE_MANAGED\01_finance_market_trading\trending_down_36dp_9DC384_FILL0_wght400_GRAD0_opsz40.svg","file:///C:/Users/tonyk/Downloads/VeritasIntelligenceAnalytics/functional%20modules/VAP/ASSETS/ICON_BASE_MANAGED/01_finance_market_trading/trending_down_36dp_9DC384_FILL0_wght400_GRAD0_opsz40.svg","253","0.25","D6ABBCFAAAD5B607C0708B42C53ACF4C01969B981D262A15AF1DD2E0E451F00E","D6ABBCFAAAD5","SIZE_253","","","Same Size","2026-03-23 11:04:40","OK"
"ICON_000014","Finance / Market","VETF","trending_up_36dp_EA3323_FILL0_wght400_GRAD0_opsz40.svg","trending_up_36dp_ea3323_fill0_wght400_grad0_opsz40",".svg","01_finance_market_trading\trending_up_36dp_EA3323_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICON_BASE_MANAGED\01_finance_market_trading\trending_up_36dp_EA3323_FILL0_wght400_GRAD0_opsz40.svg","file:///C:/Users/tonyk/Downloads/VeritasIntelligenceAnalytics/functional%20modules/VAP/ASSETS/ICON_BASE_MANAGED/01_finance_market_trading/trending_up_36dp_EA3323_FILL0_wght400_GRAD0_opsz40.svg","254","0.25","BE7C35DC09D4714A4F7497B5A25F8F401AC023D98396EF2C8A9ECD14D1C5DB00","BE7C35DC09D4","","","","Unique","2026-03-23 10:48:28","OK"
"ICON_000015","Finance / Market","VAP;VDF;VETF","yfinance_asset_class_matrix_(2).svg","yfinance_asset_class_matrix",".svg","01_finance_market_trading\yfinance_asset_class_matrix_(2).svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICON_BASE_MANAGED\01_finance_market_trading\yfinance_asset_class_matrix_(2).svg","file:///C:/Users/tonyk/Downloads/VeritasIntelligenceAnalytics/functional%20modules/VAP/ASSETS/ICON_BASE_MANAGED/01_finance_market_trading/yfinance_asset_class_matrix_(2).svg","128006","125.01","076C4467AC22FA0FE222EEE4C25B0B8B9A95C9E3DC445C1EF24410B18BE909BC","076C4467AC22","","","SRC_yfinance_asset_class_matrix","Same Source","2026-03-22 22:37:14","OK"
"ICON_000016","Finance / Market","VAP;VDF;VETF","yfinance_asset_class_matrix_(3).svg","yfinance_asset_class_matrix",".svg","01_finance_market_trading\yfinance_asset_class_matrix_(3).svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICON_BASE_MANAGED\01_finance_market_trading\yfinance_asset_class_matrix_(3).svg","file:///C:/Users/tonyk/Downloads/VeritasIntelligenceAnalytics/functional%20modules/VAP/ASSETS/ICON_BASE_MANAGED/01_finance_market_trading/yfinance_asset_class_matrix_(3).svg","166348","162.45","4061A7B93DBAA3E03A46E31A2B8E1110525DD25C7F46683EAA912B51ECB30CF2","4061A7B93DBA","SIZE_166348","","SRC_yfinance_asset_class_matrix","Same Source + Same Size","2026-03-23 10:00:37","OK"
"ICON_000017","Finance / Market","VAP;VDF;VETF","yfinance_asset_class_matrix.svg","yfinance_asset_class_matrix",".svg","01_finance_market_trading\yfinance_asset_class_matrix.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICON_BASE_MANAGED\01_finance_market_trading\yfinance_asset_class_matrix.svg","file:///C:/Users/tonyk/Downloads/VeritasIntelligenceAnalytics/functional%20modules/VAP/ASSETS/ICON_BASE_MANAGED/01_finance_market_trading/yfinance_asset_class_matrix.svg","166348","162.45","1BA73171C783787C628AEB3C965FB4475B85AEA304DCDEB36BDCA648B3D67897","1BA73171C783","SIZE_166348","","SRC_yfinance_asset_class_matrix","Same Source + Same Size","2026-03-22 21:02:49","OK"
"ICON_000018","Registry / Identity","Shared","emoji_symbols_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","emoji_symbols_36dp_0000f5_fill0_wght400_grad0_opsz40",".svg","01_registry_identity_anchor\emoji_symbols_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICON_BASE_MANAGED\01_registry_identity_anchor\emoji_symbols_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","file:///C:/Users/tonyk/Downloads/VeritasIntelligenceAnalytics/functional%20modules/VAP/ASSETS/ICON_BASE_MANAGED/01_registry_identity_anchor/emoji_symbols_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","1303","1.27","BC31F91BC884007733598A117BFE6105B55C8AA280573DE12DBB1B18152B90EA","BC31F91BC884","","","","Unique","2026-03-23 10:44:20","OK"
"ICON_000019","Registry / Identity","Shared","family_history_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","family_history_36dp_0000f5_fill0_wght400_grad0_opsz40",".svg","01_registry_identity_anchor\family_history_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICON_BASE_MANAGED\01_registry_identity_anchor\family_history_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","file:///C:/Users/tonyk/Downloads/VeritasIntelligenceAnalytics/functional%20modules/VAP/ASSETS/ICON_BASE_MANAGED/01_registry_identity_anchor/family_history_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","905","0.88","0E4C859CBCCCC37A34943DAD0D216B4ED3338D2BE0A9589A1E78C41379ED13C0","0E4C859CBCCC","","","","Unique","2026-03-23 11:05:26","OK"
"ICON_000020","Registry / Identity","Shared","schema_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","schema_36dp_0000f5_fill0_wght400_grad0_opsz40",".svg","01_registry_identity_anchor\schema_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICON_BASE_MANAGED\01_registry_identity_anchor\schema_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","file:///C:/Users/tonyk/Downloads/VeritasIntelligenceAnalytics/functional%20modules/VAP/ASSETS/ICON_BASE_MANAGED/01_registry_identity_anchor/schema_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","460","0.45","0C628B16C6B7E64B554FC990DDE9BD22A82C5C4E2F0BFF5F2A2934696B7E34CC","0C628B16C6B7","","","","Unique","2026-03-23 11:04:07","OK"
"ICON_000021","Registry / Identity","Shared","token_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","token_36dp_0000f5_fill0_wght400_grad0_opsz40",".svg","01_registry_identity_anchor\token_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICON_BASE_MANAGED\01_registry_identity_anchor\token_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","file:///C:/Users/tonyk/Downloads/VeritasIntelligenceAnalytics/functional%20modules/VAP/ASSETS/ICON_BASE_MANAGED/01_registry_identity_anchor/token_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","692","0.68","3CEEACD14A57794AFC95B8B7B23AAB1AB747E3A957E4F3998E680CB1720E762F","3CEEACD14A57","","","","Unique","2026-03-23 10:41:44","OK"
"ICON_000022","Data / Database","VDF","database_search_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","database_search_36dp_0000f5_fill0_wght400_grad0_opsz40",".svg","02_data_database_dataset\database_search_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICON_BASE_MANAGED\02_data_database_dataset\database_search_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","file:///C:/Users/tonyk/Downloads/VeritasIntelligenceAnalytics/functional%20modules/VAP/ASSETS/ICON_BASE_MANAGED/02_data_database_dataset/database_search_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","1489","1.45","14D482E100DF60499962809E47C030FE2FE35FD5D52DAEA870271C7C8DF8866F","14D482E100DF","","","","Unique","2026-03-23 11:05:24","OK"
"ICON_000023","Data / Database","VDF","dataset_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","dataset_36dp_0000f5_fill0_wght400_grad0_opsz40",".svg","02_data_database_dataset\dataset_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICON_BASE_MANAGED\02_data_database_dataset\dataset_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","file:///C:/Users/tonyk/Downloads/VeritasIntelligenceAnalytics/functional%20modules/VAP/ASSETS/ICON_BASE_MANAGED/02_data_database_dataset/dataset_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","540","0.53","8A953B18219B6F022B5E795F9A4BA9F08A89D259A3E177191F080AAAD1F5E045","8A953B18219B","","","","Unique","2026-03-23 10:41:15","OK"
"ICON_000024","Data / Database","VDF","file_json_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","file_json_36dp_0000f5_fill0_wght400_grad0_opsz40",".svg","02_data_database_dataset\file_json_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICON_BASE_MANAGED\02_data_database_dataset\file_json_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","file:///C:/Users/tonyk/Downloads/VeritasIntelligenceAnalytics/functional%20modules/VAP/ASSETS/ICON_BASE_MANAGED/02_data_database_dataset/file_json_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","1096","1.07","C4801F298DC49D0AFAF1EE220FEC8CD5181A0F70B05AA7D625805C52AE8C6177","C4801F298DC4","","","","Unique","2026-03-23 10:51:05","OK"
"ICON_000025","Finance / Market","VETF","currency_exchange_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","currency_exchange_36dp_0000f5_fill0_wght400_grad0_opsz40",".svg","02_finance_market_trading\currency_exchange_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICON_BASE_MANAGED\02_finance_market_trading\currency_exchange_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","file:///C:/Users/tonyk/Downloads/VeritasIntelligenceAnalytics/functional%20modules/VAP/ASSETS/ICON_BASE_MANAGED/02_finance_market_trading/currency_exchange_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","1147","1.12","F5FF89AF3F7DA76AE7A47B51750B9F762046331D94DC2971FDFFD078C39B305E","F5FF89AF3F7D","","","","Unique","2026-03-23 11:03:49","OK"
"ICON_000026","Finance / Market","VETF","payments_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","payments_36dp_0000f5_fill0_wght400_grad0_opsz40",".svg","02_finance_market_trading\payments_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICON_BASE_MANAGED\02_finance_market_trading\payments_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","file:///C:/Users/tonyk/Downloads/VeritasIntelligenceAnalytics/functional%20modules/VAP/ASSETS/ICON_BASE_MANAGED/02_finance_market_trading/payments_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","705","0.69","BAF7C2EB8FD0D38769FB6FB37469DEF07F385CAACC470435D50198B580E22B57","BAF7C2EB8FD0","SIZE_705","","","Same Size","2026-03-23 10:48:41","OK"
"ICON_000027","Finance / Market","VETF","target_36dp_EA3323_FILL0_wght400_GRAD0_opsz40.svg","target_36dp_ea3323_fill0_wght400_grad0_opsz40",".svg","02_finance_market_trading\target_36dp_EA3323_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICON_BASE_MANAGED\02_finance_market_trading\target_36dp_EA3323_FILL0_wght400_GRAD0_opsz40.svg","file:///C:/Users/tonyk/Downloads/VeritasIntelligenceAnalytics/functional%20modules/VAP/ASSETS/ICON_BASE_MANAGED/02_finance_market_trading/target_36dp_EA3323_FILL0_wght400_GRAD0_opsz40.svg","827","0.81","DA21CA65A680633E9F0CAD0D83D317D56C6D68E167D63899778430C4452A3C02","DA21CA65A680","","","","Unique","2026-03-23 10:46:05","OK"
"ICON_000028","Chart / Visualization","VAP","bar_graph.svg","bar_graph",".svg","03_chart_visualization_vap_core\bar_graph.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICON_BASE_MANAGED\03_chart_visualization_vap_core\bar_graph.svg","file:///C:/Users/tonyk/Downloads/VeritasIntelligenceAnalytics/functional%20modules/VAP/ASSETS/ICON_BASE_MANAGED/03_chart_visualization_vap_core/bar_graph.svg","849","0.83","9D91F5B5003F4B62942054CBAEF7CAC83826B42076043FBB2FCBF744689A992F","9D91F5B5003F","","","","Unique","2026-06-06 07:57:22","OK"
"ICON_000029","Chart / Visualization","VAP","box_plot.svg","box_plot",".svg","03_chart_visualization_vap_core\box_plot.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICON_BASE_MANAGED\03_chart_visualization_vap_core\box_plot.svg","file:///C:/Users/tonyk/Downloads/VeritasIntelligenceAnalytics/functional%20modules/VAP/ASSETS/ICON_BASE_MANAGED/03_chart_visualization_vap_core/box_plot.svg","1855","1.81","328DE333CB9DF6A28A19C8C411756A854CA36DB04D1AA9395CD4B40E69552F2A","328DE333CB9D","","","","Unique","2026-06-06 07:57:33","OK"
"ICON_000030","Chart / Visualization","VAP","bubble_chart.svg","bubble_chart",".svg","03_chart_visualization_vap_core\bubble_chart.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICON_BASE_MANAGED\03_chart_visualization_vap_core\bubble_chart.svg","file:///C:/Users/tonyk/Downloads/VeritasIntelligenceAnalytics/functional%20modules/VAP/ASSETS/ICON_BASE_MANAGED/03_chart_visualization_vap_core/bubble_chart.svg","977","0.95","C07A6515E76FB7B62AF31AF380BDEB19AF81AE56415B633C54F9663CD89183B2","C07A6515E76F","","","","Unique","2026-06-06 07:57:48","OK"
"ICON_000031","Chart / Visualization","VAP","bullet_chart.svg","bullet_chart",".svg","03_chart_visualization_vap_core\bullet_chart.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICON_BASE_MANAGED\03_chart_visualization_vap_core\bullet_chart.svg","file:///C:/Users/tonyk/Downloads/VeritasIntelligenceAnalytics/functional%20modules/VAP/ASSETS/ICON_BASE_MANAGED/03_chart_visualization_vap_core/bullet_chart.svg","1566","1.53","BFDC097D62F7A4C265C659E357F05040B672AAA7115F25455180EBA3DB46AAC8","BFDC097D62F7","","","","Unique","2026-06-06 07:58:15","OK"
"ICON_000032","Chart / Visualization","VAP","calendar.svg","calendar",".svg","03_chart_visualization_vap_core\calendar.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICON_BASE_MANAGED\03_chart_visualization_vap_core\calendar.svg","file:///C:/Users/tonyk/Downloads/VeritasIntelligenceAnalytics/functional%20modules/VAP/ASSETS/ICON_BASE_MANAGED/03_chart_visualization_vap_core/calendar.svg","5091","4.97","38A43BF261AC9C661F435117EA001375C5AEBF38680A3F409236C55787FC405C","38A43BF261AC","","","","Unique","2026-06-06 07:58:24","OK"
"ICON_000033","Chart / Visualization","VAP","circle_packing.svg","circle_packing",".svg","03_chart_visualization_vap_core\circle_packing.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICON_BASE_MANAGED\03_chart_visualization_vap_core\circle_packing.svg","file:///C:/Users/tonyk/Downloads/VeritasIntelligenceAnalytics/functional%20modules/VAP/ASSETS/ICON_BASE_MANAGED/03_chart_visualization_vap_core/circle_packing.svg","2379","2.32","F38C962897295F30725ED342B2D8E73A9F97C0F6EE4CE028C156DCAB0FB40728","F38C96289729","","","","Unique","2026-06-06 07:58:44","OK"
