key,name_zh,source,id,frequency,unit,transform,panels,note,source_section,group,panels_joined
PMI_NMF,美國ISM非製造業採購經理人指數,fred,NMFBAI,monthly,指數,raw,['⑧'],同上,datasets,fred_activity,⑧
RETAIL,美國零售銷售,fred,RSAFS,monthly,年增率%,yoy,['⑪'],,datasets,fred_activity,⑪
NFP,美國非農就業人數,fred,PAYEMS,monthly,千人(月變動),diff,['⑩'],取月變動 diff,datasets,fred_employment,⑩
UNRATE,美國失業率,fred,UNRATE,monthly,%,raw,['⑩'],,datasets,fred_employment,⑩
ICSA,美國初次申請失業救濟金人數,fred,ICSA,weekly,千人,div1000,['⑪'],,datasets,fred_employment,⑪
U_LT5,失業未滿5週人數,fred,UEMPLT5,monthly,千人→比重%,share,['⑪'],"÷總和×100,堆疊,≤100%",datasets,fred_employment,⑪
U_5_14,失業5至14週人數,fred,UEMP5TO14,monthly,千人→比重%,share,['⑪'],,datasets,fred_employment,⑪
U_15_26,失業15至26週人數,fred,UEMP15T26,monthly,千人→比重%,share,['⑪'],,datasets,fred_employment,⑪
U_27,失業27週以上人數,fred,UEMP27OV,monthly,千人→比重%,share,['⑪'],,datasets,fred_employment,⑪
UMCSENT,美國密西根大學消費者信心指數,fred,UMCSENT,monthly,指數,raw,['⑪'],,datasets,fred_sentiment,⑪
OECDCC,美國OECD消費者信心指數,fred,CSCICP03USM665S,monthly,指數,raw,['⑪'],,datasets,fred_sentiment,⑪
yield_curve_10y3m,殖利率曲線10年-3月,fred,T10Y3M,daily,bp,level,[],權重0.25,engine_inputs_風險引擎因子,triggers,
hy_oas,高收益債信用利差,fred,BAMLH0A0HYM2,daily,bp,level,[],"權重0.30,ICE BofA HY OAS",engine_inputs_風險引擎因子,triggers,
sahm,Sahm 衰退指標,fred,SAHMREALTIME,monthly,ppt,level,[],權重0.15,engine_inputs_風險引擎因子,triggers,
earnings_rev,盈餘修正方向,vdf/manual,—,monthly,±,level,[],"權重0.20,需賣方共識(VDF/I/B/E/S 或人工)",engine_inputs_風險引擎因子,triggers,
oil_infl_shock,油價通膨衝擊,derived,BRENT/WTI,daily,norm,scenario,[],"權重0.10,由原油情境推導",engine_inputs_風險引擎因子,triggers,
move_repo,MOVE/回購壓力,manual/vendor,^MOVE,daily,idx,overlay,[],"覆蓋層,MOVE 指數需 ICE/Bloomberg",engine_inputs_風險引擎因子,triggers,
valuation_cape,CAPE 估值,vendor,Shiller CAPE,monthly,x,level,[],"權重0.40,Shiller 官網/multpl",engine_inputs_風險引擎因子,fragility,
concentration,市值集中度(前10大),vdf/manual,—,monthly,%,level,[],"權重0.25,需成分權重",engine_inputs_風險引擎因子,fragility,
leverage_margin,融資保證金債務,fred,BOGZ1FL663067003Q,quarterly,$,level,[],"權重0.20,FINRA margin debt",engine_inputs_風險引擎因子,fragility,
liquidity_basis,流動性基差,vendor,—,daily,bp,level,[],"權重0.15,需專業流動性指標",engine_inputs_風險引擎因子,fragility,
policy_space,政策空間,derived,DGS10/UNRATE,monthly,idx,overlay,[],覆蓋層,engine_inputs_風險引擎因子,fragility,
sovereign_debt,主權債務壓力,fred,GFDEGDQ188S,quarterly,%GDP,overlay,[],"覆蓋層,債務/GDP",engine_inputs_風險引擎因子,fragility,
