path,exists,rows,size,columns
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE\VDF_TW_DividendAction.parquet,True,0,4060,"['ticker', 'ex_date', 'cash_dividend', 'stock_dividend', 'yield', 'payout_ratio', 'record_date', 'payment_date']"
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE\VDF_TW_ETFHoldings.parquet,True,0,3441,"['etf_code', 'date', 'ticker', 'name', 'weight', 'shares', 'market_value']"
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE\VDF_TW_ETFProfile.parquet,True,0,3545,"['etf_code', 'name', 'issuer', 'category', 'benchmark', 'expense_ratio', 'listed_date']"
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE\VDF_TW_EquityUniverse.parquet,True,1362,26696,"['ticker', 'name', 'market', 'industry', 'isin', 'security_type', 'listed_date', 'status']"
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE\VDF_TW_FinancialRatio.parquet,True,0,4327,"['ticker', 'period', 'gross_margin', 'op_margin', 'net_margin', 'roe', 'roa', 'debt_ratio', 'current_ratio']"
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE\VDF_TW_FinancialStatement.parquet,True,0,5261,"['ticker', 'period', 'revenue', 'gross_profit', 'op_income', 'net_income', 'eps', 'total_assets', 'total_liabilities', 'equity', 'cash_flow_ops']"
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE\VDF_TW_FlowChip.parquet,True,0,4212,"['ticker', 'date', 'foreign_buy_sell', 'trust_buy_sell', 'dealer_buy_sell', 'margin_balance', 'short_balance', 'securities_lending']"
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE\VDF_TW_IndexDaily.parquet,True,20,5752,"['index_code', 'date', 'name', 'open', 'high', 'low', 'close', 'volume', 'return_1d']"
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE\VDF_TW_MarginShort.parquet,True,0,4515,"['ticker', 'date', 'margin_buy', 'margin_sell', 'margin_balance', 'short_buy', 'short_sell', 'short_balance', 'margin_short_ratio']"
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE\VDF_TW_MonthlyRevenue.parquet,True,1078,61037,"['ticker', 'yyyymm', 'revenue', 'mom', 'yoy', 'cum_revenue', 'cum_yoy', 'name', 'market', 'industry', 'report_date', 'source', 'updated_at']"
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE\VDF_TW_PriceDaily.parquet,True,10,7660,"['ticker', 'date', 'open', 'high', 'low', 'close', 'adj_close', 'volume', 'turnover', 'return_1d', 'return_5d', 'return_20d', 'return_60d']"
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE\VDF_TW_ThemeMapping.parquet,True,0,3465,"['theme_id', 'theme_name', 'ticker', 'name', 'weight', 'source', 'updated_at']"
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE\VDF_TW_TradingStats.parquet,True,1078,22578,"['ticker', 'date', 'market_cap', 'turnover_rate', 'pe', 'pb', 'dividend_yield']"
