"FileID","RelativePath","FullPath","FileName","Extension","Role","SizeBytes","SizeKB","Sha256","ModifiedAt","Status"
"VAP_FILE_000012","ASSETS\ICONS\01_finance_market_trading\finance_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\01_finance_market_trading\finance_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","finance_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg",".svg","IMAGE_OR_ICON","311","0.3","082600677BB52BCC5504191D3150F7B7E43BE86825C90460C1B76491BAD2C289","2026-03-23 11:05:16","OK"
"VAP_FILE_000013","ASSETS\ICONS\01_finance_market_trading\Market-Analysis-Icon__18773E283C.png","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\01_finance_market_trading\Market-Analysis-Icon__18773E283C.png","Market-Analysis-Icon__18773E283C.png",".png","IMAGE_OR_ICON","8931","8.72","18773E283C0D8E2C15D0F5F5E4E13CFB2FCE99D6B7E34206A6113145CC5E80FC","2026-06-08 21:09:01","OK"
"VAP_FILE_000014","ASSETS\ICONS\01_finance_market_trading\Market-Analysis-Icon__4E0D030A21.png","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\01_finance_market_trading\Market-Analysis-Icon__4E0D030A21.png","Market-Analysis-Icon__4E0D030A21.png",".png","IMAGE_OR_ICON","2617","2.56","4E0D030A2119BE0D9B90E460428B8B7CC34A0093EDB7F187DA6335FB7E48045F","2026-06-08 21:09:02","OK"
"VAP_FILE_000015","ASSETS\ICONS\01_finance_market_trading\Market-Analysis-Icon__5186DE0127.png","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\01_finance_market_trading\Market-Analysis-Icon__5186DE0127.png","Market-Analysis-Icon__5186DE0127.png",".png","IMAGE_OR_ICON","1794","1.75","5186DE0127DED58265153B4B1FC9BA40F2A1DB6ADEDC4EDD84E48AC66649190B","2026-06-08 21:09:01","OK"
"VAP_FILE_000016","ASSETS\ICONS\01_finance_market_trading\Market-Analysis-Icon.png","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\01_finance_market_trading\Market-Analysis-Icon.png","Market-Analysis-Icon.png",".png","IMAGE_OR_ICON","4021","3.93","D51A87A911491AB6F7EDA89F70CFB7D2A4437AC28046750396E2EB51616BEBFB","2026-06-08 21:09:01","OK"
"VAP_FILE_000017","ASSETS\ICONS\01_finance_market_trading\oil_barrel_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\01_finance_market_trading\oil_barrel_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","oil_barrel_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg",".svg","IMAGE_OR_ICON","1038","1.01","E88C4783AC06E65B9A0A2650F99C1772E44EBEF51EA7FC1D087405FF4A742D76","2026-03-23 10:52:07","OK"
"VAP_FILE_000018","ASSETS\ICONS\01_finance_market_trading\trending_down_36dp_9DC384_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\01_finance_market_trading\trending_down_36dp_9DC384_FILL0_wght400_GRAD0_opsz40.svg","trending_down_36dp_9DC384_FILL0_wght400_GRAD0_opsz40.svg",".svg","IMAGE_OR_ICON","253","0.25","D6ABBCFAAAD5B607C0708B42C53ACF4C01969B981D262A15AF1DD2E0E451F00E","2026-03-23 11:04:40","OK"
"VAP_FILE_000019","ASSETS\ICONS\01_finance_market_trading\trending_up_36dp_EA3323_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\01_finance_market_trading\trending_up_36dp_EA3323_FILL0_wght400_GRAD0_opsz40.svg","trending_up_36dp_EA3323_FILL0_wght400_GRAD0_opsz40.svg",".svg","IMAGE_OR_ICON","254","0.25","BE7C35DC09D4714A4F7497B5A25F8F401AC023D98396EF2C8A9ECD14D1C5DB00","2026-03-23 10:48:28","OK"
"VAP_FILE_000020","ASSETS\ICONS\01_finance_market_trading\yfinance_asset_class_matrix_(2).svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\01_finance_market_trading\yfinance_asset_class_matrix_(2).svg","yfinance_asset_class_matrix_(2).svg",".svg","IMAGE_OR_ICON","128006","125.01","076C4467AC22FA0FE222EEE4C25B0B8B9A95C9E3DC445C1EF24410B18BE909BC","2026-03-22 22:37:14","OK"
"VAP_FILE_000021","ASSETS\ICONS\01_finance_market_trading\yfinance_asset_class_matrix_(3).svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\01_finance_market_trading\yfinance_asset_class_matrix_(3).svg","yfinance_asset_class_matrix_(3).svg",".svg","IMAGE_OR_ICON","166348","162.45","4061A7B93DBAA3E03A46E31A2B8E1110525DD25C7F46683EAA912B51ECB30CF2","2026-03-23 10:00:37","OK"
"VAP_FILE_000022","ASSETS\ICONS\01_finance_market_trading\yfinance_asset_class_matrix.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\01_finance_market_trading\yfinance_asset_class_matrix.svg","yfinance_asset_class_matrix.svg",".svg","IMAGE_OR_ICON","166348","162.45","1BA73171C783787C628AEB3C965FB4475B85AEA304DCDEB36BDCA648B3D67897","2026-03-22 21:02:49","OK"
"VAP_FILE_000023","ASSETS\ICONS\01_registry_identity_anchor\emoji_symbols_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\01_registry_identity_anchor\emoji_symbols_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","emoji_symbols_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg",".svg","IMAGE_OR_ICON","1303","1.27","BC31F91BC884007733598A117BFE6105B55C8AA280573DE12DBB1B18152B90EA","2026-03-23 10:44:20","OK"
"VAP_FILE_000024","ASSETS\ICONS\01_registry_identity_anchor\family_history_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\01_registry_identity_anchor\family_history_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","family_history_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg",".svg","IMAGE_OR_ICON","905","0.88","0E4C859CBCCCC37A34943DAD0D216B4ED3338D2BE0A9589A1E78C41379ED13C0","2026-03-23 11:05:26","OK"
"VAP_FILE_000025","ASSETS\ICONS\01_registry_identity_anchor\schema_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\01_registry_identity_anchor\schema_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","schema_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg",".svg","IMAGE_OR_ICON","460","0.45","0C628B16C6B7E64B554FC990DDE9BD22A82C5C4E2F0BFF5F2A2934696B7E34CC","2026-03-23 11:04:07","OK"
"VAP_FILE_000026","ASSETS\ICONS\01_registry_identity_anchor\token_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\01_registry_identity_anchor\token_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","token_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg",".svg","IMAGE_OR_ICON","692","0.68","3CEEACD14A57794AFC95B8B7B23AAB1AB747E3A957E4F3998E680CB1720E762F","2026-03-23 10:41:44","OK"
"VAP_FILE_000027","ASSETS\ICONS\02_data_database_dataset\database_search_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\02_data_database_dataset\database_search_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","database_search_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg",".svg","IMAGE_OR_ICON","1489","1.45","14D482E100DF60499962809E47C030FE2FE35FD5D52DAEA870271C7C8DF8866F","2026-03-23 11:05:24","OK"
"VAP_FILE_000028","ASSETS\ICONS\02_data_database_dataset\dataset_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\02_data_database_dataset\dataset_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","dataset_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg",".svg","IMAGE_OR_ICON","540","0.53","8A953B18219B6F022B5E795F9A4BA9F08A89D259A3E177191F080AAAD1F5E045","2026-03-23 10:41:15","OK"
"VAP_FILE_000029","ASSETS\ICONS\02_data_database_dataset\file_json_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\02_data_database_dataset\file_json_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","file_json_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg",".svg","IMAGE_OR_ICON","1096","1.07","C4801F298DC49D0AFAF1EE220FEC8CD5181A0F70B05AA7D625805C52AE8C6177","2026-03-23 10:51:05","OK"
"VAP_FILE_000030","ASSETS\ICONS\02_finance_market_trading\currency_exchange_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\02_finance_market_trading\currency_exchange_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","currency_exchange_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg",".svg","IMAGE_OR_ICON","1147","1.12","F5FF89AF3F7DA76AE7A47B51750B9F762046331D94DC2971FDFFD078C39B305E","2026-03-23 11:03:49","OK"
"VAP_FILE_000031","ASSETS\ICONS\02_finance_market_trading\payments_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\02_finance_market_trading\payments_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","payments_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg",".svg","IMAGE_OR_ICON","705","0.69","BAF7C2EB8FD0D38769FB6FB37469DEF07F385CAACC470435D50198B580E22B57","2026-03-23 10:48:41","OK"
"VAP_FILE_000032","ASSETS\ICONS\02_finance_market_trading\target_36dp_EA3323_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\02_finance_market_trading\target_36dp_EA3323_FILL0_wght400_GRAD0_opsz40.svg","target_36dp_EA3323_FILL0_wght400_GRAD0_opsz40.svg",".svg","IMAGE_OR_ICON","827","0.81","DA21CA65A680633E9F0CAD0D83D317D56C6D68E167D63899778430C4452A3C02","2026-03-23 10:46:05","OK"
"VAP_FILE_000033","ASSETS\ICONS\02_finance_market_trading\yfinance_asset_class_matrix.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\02_finance_market_trading\yfinance_asset_class_matrix.svg","yfinance_asset_class_matrix.svg",".svg","IMAGE_OR_ICON","166348","162.45","1BA73171C783787C628AEB3C965FB4475B85AEA304DCDEB36BDCA648B3D67897","2026-03-22 21:02:49","OK"
"VAP_FILE_000034","ASSETS\ICONS\03_chart_visualization_vap_core\bar_graph.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\03_chart_visualization_vap_core\bar_graph.svg","bar_graph.svg",".svg","IMAGE_OR_ICON","849","0.83","9D91F5B5003F4B62942054CBAEF7CAC83826B42076043FBB2FCBF744689A992F","2026-06-06 07:57:22","OK"
"VAP_FILE_000035","ASSETS\ICONS\03_chart_visualization_vap_core\box_plot.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\03_chart_visualization_vap_core\box_plot.svg","box_plot.svg",".svg","IMAGE_OR_ICON","1855","1.81","328DE333CB9DF6A28A19C8C411756A854CA36DB04D1AA9395CD4B40E69552F2A","2026-06-06 07:57:33","OK"
"VAP_FILE_000036","ASSETS\ICONS\03_chart_visualization_vap_core\bubble_chart.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\03_chart_visualization_vap_core\bubble_chart.svg","bubble_chart.svg",".svg","IMAGE_OR_ICON","977","0.95","C07A6515E76FB7B62AF31AF380BDEB19AF81AE56415B633C54F9663CD89183B2","2026-06-06 07:57:48","OK"
"VAP_FILE_000037","ASSETS\ICONS\03_chart_visualization_vap_core\bullet_chart.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\03_chart_visualization_vap_core\bullet_chart.svg","bullet_chart.svg",".svg","IMAGE_OR_ICON","1566","1.53","BFDC097D62F7A4C265C659E357F05040B672AAA7115F25455180EBA3DB46AAC8","2026-06-06 07:58:15","OK"
"VAP_FILE_000038","ASSETS\ICONS\03_chart_visualization_vap_core\calendar.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\03_chart_visualization_vap_core\calendar.svg","calendar.svg",".svg","IMAGE_OR_ICON","5091","4.97","38A43BF261AC9C661F435117EA001375C5AEBF38680A3F409236C55787FC405C","2026-06-06 07:58:24","OK"
"VAP_FILE_000039","ASSETS\ICONS\03_chart_visualization_vap_core\circle_packing.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\03_chart_visualization_vap_core\circle_packing.svg","circle_packing.svg",".svg","IMAGE_OR_ICON","2379","2.32","F38C962897295F30725ED342B2D8E73A9F97C0F6EE4CE028C156DCAB0FB40728","2026-06-06 07:58:44","OK"
"VAP_FILE_000040","ASSETS\ICONS\03_chart_visualization_vap_core\density_plot.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\03_chart_visualization_vap_core\density_plot.svg","density_plot.svg",".svg","IMAGE_OR_ICON","1137","1.11","9A01DDC5BB70E208657134C9220BAE3CF035DA8E19A9228DEC30BAEB01D3FC10","2026-06-06 07:58:55","OK"
"VAP_FILE_000041","ASSETS\ICONS\03_chart_visualization_vap_core\gantt_chart.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\03_chart_visualization_vap_core\gantt_chart.svg","gantt_chart.svg",".svg","IMAGE_OR_ICON","2495","2.44","422C6903F5C54460E055B36186E7AC67744192E4B15F7E23C951ED73242BC7BB","2026-06-06 08:00:09","OK"
"VAP_FILE_000042","ASSETS\ICONS\03_chart_visualization_vap_core\graph_2_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\03_chart_visualization_vap_core\graph_2_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","graph_2_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg",".svg","IMAGE_OR_ICON","1722","1.68","088168D774837055C1DB1BCAA62BA9C9A28743A5F487A36031DE9C5C82D6C45D","2026-03-23 11:05:23","OK"
"VAP_FILE_000043","ASSETS\ICONS\03_chart_visualization_vap_core\grouped_bar_chart_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\03_chart_visualization_vap_core\grouped_bar_chart_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","grouped_bar_chart_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg",".svg","IMAGE_OR_ICON","217","0.21","2AA045FB7E086E6E212CE8BA967689104B8B5FF379A876202BDB169B3D3FA295","2026-03-23 11:05:04","OK"
"VAP_FILE_000044","ASSETS\ICONS\03_chart_visualization_vap_core\marimekko_chart.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\03_chart_visualization_vap_core\marimekko_chart.svg","marimekko_chart.svg",".svg","IMAGE_OR_ICON","1324","1.29","02831C4323AC059AAA8BF953070175803466D874C760740E85FCE6D4FE232DB5","2026-06-06 08:00:56","OK"
"VAP_FILE_000045","ASSETS\ICONS\03_chart_visualization_vap_core\monitoring_36dp_EA3323_FILL0_wght400_GRAD0_opsz40.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\03_chart_visualization_vap_core\monitoring_36dp_EA3323_FILL0_wght400_GRAD0_opsz40.svg","monitoring_36dp_EA3323_FILL0_wght400_GRAD0_opsz40.svg",".svg","IMAGE_OR_ICON","388","0.38","080256DC3CAFC03433F772A3799983A5333EADBCC17711E779B06B503CDCE35A","2026-03-23 10:48:23","OK"
"VAP_FILE_000046","ASSETS\ICONS\03_chart_visualization_vap_core\multiset_bar_chart.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\03_chart_visualization_vap_core\multiset_bar_chart.svg","multiset_bar_chart.svg",".svg","IMAGE_OR_ICON","923","0.9","9364F8B42B984D6EAD413D9B906309D501CF4B95639B290E75E06AB7E1DC1D68","2026-06-06 08:01:00","OK"
"VAP_FILE_000047","ASSETS\ICONS\03_chart_visualization_vap_core\network_diagram.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\03_chart_visualization_vap_core\network_diagram.svg","network_diagram.svg",".svg","IMAGE_OR_ICON","2386","2.33","0AA6A0C75C61B644A08B9D8A82B23B643BD531967EF50B08C02D70901D558C04","2026-06-06 08:01:04","OK"
"VAP_FILE_000048","ASSETS\ICONS\03_chart_visualization_vap_core\radar_chart.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\03_chart_visualization_vap_core\radar_chart.svg","radar_chart.svg",".svg","IMAGE_OR_ICON","8729","8.52","A3ABFF28D7E79675694A2C1B94FA114EEEFAAE64843703D6E9487F4C04BCE516","2026-06-06 08:04:03","OK"
"VAP_FILE_000049","ASSETS\ICONS\03_chart_visualization_vap_core\radial_bar_chart.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\03_chart_visualization_vap_core\radial_bar_chart.svg","radial_bar_chart.svg",".svg","IMAGE_OR_ICON","1533","1.5","36161DF14DB6BD23F852BF23C5DA16A0DBE5C68C338E08C7126052AE4DED45FB","2026-06-06 08:03:57","OK"
"VAP_FILE_000050","ASSETS\ICONS\03_chart_visualization_vap_core\sankey_diagram.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\03_chart_visualization_vap_core\sankey_diagram.svg","sankey_diagram.svg",".svg","IMAGE_OR_ICON","1516","1.48","14836116A9E23F0743BA860523148360A712AEFC90CF08F5532522E51A260B90","2026-06-06 08:02:34","OK"
"VAP_FILE_000051","ASSETS\ICONS\03_chart_visualization_vap_core\scatterplot.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\03_chart_visualization_vap_core\scatterplot.svg","scatterplot.svg",".svg","IMAGE_OR_ICON","1852","1.81","A346A3146C609A9D0BEB9CAB6796BF9D92F66D55FAEA76ABF40673E13250036C","2026-06-06 08:02:29","OK"
"VAP_FILE_000052","ASSETS\ICONS\03_chart_visualization_vap_core\SEO-Monitoring-Icon__21CE0D7DEA.png","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\03_chart_visualization_vap_core\SEO-Monitoring-Icon__21CE0D7DEA.png","SEO-Monitoring-Icon__21CE0D7DEA.png",".png","IMAGE_OR_ICON","1272","1.24","21CE0D7DEAE72EAE5E067ECB97F10089BE4F0E807A8A24475174CB5659CD4DBE","2026-06-08 21:09:02","OK"
"VAP_FILE_000053","ASSETS\ICONS\03_chart_visualization_vap_core\SEO-Monitoring-Icon__5C739AA9CF.png","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\03_chart_visualization_vap_core\SEO-Monitoring-Icon__5C739AA9CF.png","SEO-Monitoring-Icon__5C739AA9CF.png",".png","IMAGE_OR_ICON","1705","1.67","5C739AA9CF2D0DCAF38A5E6BE648F9519AB31D69D23BEA3897AC386540B438CC","2026-06-08 21:09:02","OK"
"VAP_FILE_000054","ASSETS\ICONS\03_chart_visualization_vap_core\SEO-Monitoring-Icon__A1EE52CE1E.png","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\03_chart_visualization_vap_core\SEO-Monitoring-Icon__A1EE52CE1E.png","SEO-Monitoring-Icon__A1EE52CE1E.png",".png","IMAGE_OR_ICON","6393","6.24","A1EE52CE1EF381E68CF6D2D1E5557DEB8997FA94259721BF640AE79CF419F48C","2026-06-08 21:09:01","OK"
