"ModuleNo","ModuleId","Name","Role","Phase","SourcePath","TargetPath","Extension","SizeBytes","Sha256","Status","Risk"
"13","VRN_MDL013","VRN_MDL013_VRN_v139K_DualCore_Coverage_Matrix__MODULE__v139K.json","MODULE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL013_VRN_v139K_DualCore_Coverage_Matrix__MODULE__v139K.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL013_VRN_v139K_DualCore_Coverage_Matrix__MODULE__v139K.json",".json","13773712","8881eda94040b4603aefee803dbdfe95eea9747a287f9d95ec10af069d96e9f9","OK","LOW"
"14","VRN_MDL014","VRN_MDL014_vrn_final_control_center_v061575__MODULE__v061575.py","MODULE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL014_vrn_final_control_center_v061575__MODULE__v061575.py","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL014_vrn_final_control_center_v061575__MODULE__v061575.py",".py","26069","6ed5443d6aeb3e9ca8c061932f8e4e84e023a4c7ca50ef8978749db90d1a6ac9","OK","LOW"
"15","VRN_MDL015","VRN_MDL015_vrn_final_production_lock_registry_v061573__SUPPORT_RULE__v061573.py","SUPPORT_RULE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL015_vrn_final_production_lock_registry_v061573__SUPPORT_RULE__v061573.py","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL015_vrn_final_production_lock_registry_v061573__SUPPORT_RULE__v061573.py",".py","18239","6ce8cacd8e247b4688271ceab12961716a2a26f6cf1aaedc3cfdfd3804d744ec","OK","LOW"
"16","VRN_MDL016","VRN_MDL016_vrn_final_integration_governance_seal_v0615703__GOVERNANCE__v0615703.py","GOVERNANCE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL016_vrn_final_integration_governance_seal_v0615703__GOVERNANCE__v0615703.py","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL016_vrn_final_integration_governance_seal_v0615703__GOVERNANCE__v0615703.py",".py","24927","786391a3562d18aedea0f5b063e37b6e0408b7fe049138566bf65b52633661b3","OK","LOW"
"17","VRN_MDL017","VRN_MDL017_VRN_v141D5B_Test_Debug_Activator__MODULE__v141D5B.json","MODULE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL017_VRN_v141D5B_Test_Debug_Activator__MODULE__v141D5B.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL017_VRN_v141D5B_Test_Debug_Activator__MODULE__v141D5B.json",".json","31270","fddac1a4711500581914078814d4574e7ddac9eb7787e8ba5af4e3f42ad0bcf7","OK","LOW"
"18","VRN_MDL018","VRN_MDL018_VRN_MDL_SummaryPipelineBridge_AIO_v01__CORE__v01.py","CORE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL018_VRN_MDL_SummaryPipelineBridge_AIO_v01__CORE__v01.py","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL018_VRN_MDL_SummaryPipelineBridge_AIO_v01__CORE__v01.py",".py","40895","ac509d720d8a3a1595d0cd1ee8bc441ecb1c060d70e4be543efba757d4acc191","OK","LOW"
"19","VRN_MDL019","VRN_MDL019_VRN_v141D6B_NoHang_Accelerator__BRIDGE__v141D6B.json","BRIDGE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL019_VRN_v141D6B_NoHang_Accelerator__BRIDGE__v141D6B.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL019_VRN_v141D6B_NoHang_Accelerator__BRIDGE__v141D6B.json",".json","98138150","003874023c0db228760ef4cbc8a4a6a98cf1c95aadfc7029b89817cac9df9047","OK","LOW"
"20","VRN_MDL020","VRN_MDL020_VRN_v139S_Final_Freeze_Snapshot__GOVERNANCE__v139S.json","GOVERNANCE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL020_VRN_v139S_Final_Freeze_Snapshot__GOVERNANCE__v139S.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL020_VRN_v139S_Final_Freeze_Snapshot__GOVERNANCE__v139S.json",".json","7957","7eaeb0d8197d8eaae2fa28388dfd199a684c09752f58dbbfa179d137c90e517e","OK","LOW"
"21","VRN_MDL021","VRN_MDL021_VRN_v139R_Final_Production_Bridge_Seal__GOVERNANCE__v139R.json","GOVERNANCE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL021_VRN_v139R_Final_Production_Bridge_Seal__GOVERNANCE__v139R.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL021_VRN_v139R_Final_Production_Bridge_Seal__GOVERNANCE__v139R.json",".json","23131","f20dcaa94a37dc480a5d718e400e6adc3ed81a169f149b0804e2175d297eb182","OK","LOW"
"22","VRN_MDL022","VRN_MDL022_SOURCE_VRN_v139R_Final_Production_Bridge_Seal__GOVERNANCE__v139R.json","GOVERNANCE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL022_SOURCE_VRN_v139R_Final_Production_Bridge_Seal__GOVERNANCE__v139R.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL022_SOURCE_VRN_v139R_Final_Production_Bridge_Seal__GOVERNANCE__v139R.json",".json","23131","f20dcaa94a37dc480a5d718e400e6adc3ed81a169f149b0804e2175d297eb182","OK","LOW"
"23","VRN_MDL023","VRN_MDL023_VRN_v139R_Final_Production_Bridge_Seal__GOVERNANCE__v139R.json","GOVERNANCE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL023_VRN_v139R_Final_Production_Bridge_Seal__GOVERNANCE__v139R.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL023_VRN_v139R_Final_Production_Bridge_Seal__GOVERNANCE__v139R.json",".json","23131","b683b9d648ea28a528019080c1e2d5a2ef8ac31983d3ec63fc823bc4a6939b08","OK","LOW"
"24","VRN_MDL024","VRN_MDL024_VRN_v139O_AppendOnly_Bridge_Injector_Matrix__MODULE__v139O.json","MODULE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL024_VRN_v139O_AppendOnly_Bridge_Injector_Matrix__MODULE__v139O.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL024_VRN_v139O_AppendOnly_Bridge_Injector_Matrix__MODULE__v139O.json",".json","28125","5b05803a69da6ab308f9b966a4012ab36ab71982d86a2deb27825485d25e092c","OK","LOW"
"25","VRN_MDL025","VRN_MDL025_vrn_production_home_v061575__SUPPORT_RULE__v061575.json","SUPPORT_RULE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL025_vrn_production_home_v061575__SUPPORT_RULE__v061575.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL025_vrn_production_home_v061575__SUPPORT_RULE__v061575.json",".json","2801","17dee856f4896384447264258e0fe304ea783558873bc1a144624299393dec27","OK","LOW"
"26","VRN_MDL026","VRN_MDL026_vrn_production_home_v061575__MODULE__v061575.json","MODULE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL026_vrn_production_home_v061575__MODULE__v061575.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL026_vrn_production_home_v061575__MODULE__v061575.json",".json","2801","17dee856f4896384447264258e0fe304ea783558873bc1a144624299393dec27","OK","LOW"
"27","VRN_MDL027","VRN_MDL027_vrn_final_production_lock_registry_v061573__SUPPORT_RULE__v061573.json","SUPPORT_RULE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL027_vrn_final_production_lock_registry_v061573__SUPPORT_RULE__v061573.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL027_vrn_final_production_lock_registry_v061573__SUPPORT_RULE__v061573.json",".json","2633","a3551db9a2174eda9920cbd06c4eb1698b8b2b48514f531cc7331eb3972be3bf","OK","LOW"
"28","VRN_MDL028","VRN_MDL028_vrn_final_production_lock_registry_v061573__SUPPORT_RULE__v061573.json","SUPPORT_RULE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL028_vrn_final_production_lock_registry_v061573__SUPPORT_RULE__v061573.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL028_vrn_final_production_lock_registry_v061573__SUPPORT_RULE__v061573.json",".json","2633","a3551db9a2174eda9920cbd06c4eb1698b8b2b48514f531cc7331eb3972be3bf","OK","LOW"
"29","VRN_MDL029","VRN_MDL029_vrn_final_integration_governance_seal_v0615703__GOVERNANCE__v0615703.json","GOVERNANCE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL029_vrn_final_integration_governance_seal_v0615703__GOVERNANCE__v0615703.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL029_vrn_final_integration_governance_seal_v0615703__GOVERNANCE__v0615703.json",".json","2757","84a30cd0646a0f18d88632876380044a6329c98a6c5d63726c1b1d64faf77283","OK","LOW"
"30","VRN_MDL030","VRN_MDL030_vrn_final_integration_governance_seal_v0615703__GOVERNANCE__v0615703.json","GOVERNANCE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL030_vrn_final_integration_governance_seal_v0615703__GOVERNANCE__v0615703.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL030_vrn_final_integration_governance_seal_v0615703__GOVERNANCE__v0615703.json",".json","2757","84a30cd0646a0f18d88632876380044a6329c98a6c5d63726c1b1d64faf77283","OK","LOW"
"31","VRN_MDL031","VRN_MDL031_vrn_canonical_english_system_seal_fix_v0569__GOVERNANCE__v0569.json","GOVERNANCE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL031_vrn_canonical_english_system_seal_fix_v0569__GOVERNANCE__v0569.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL031_vrn_canonical_english_system_seal_fix_v0569__GOVERNANCE__v0569.json",".json","5556","a4defbc5fe15d5f74a5cfc41c32bac32574e5ae2dbfe377692536128cedc70ef","OK","LOW"
"32","VRN_MDL032","VRN_MDL032_vrn_canonical_english_system_seal_fix_v0569__GOVERNANCE__v0569.json","GOVERNANCE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL032_vrn_canonical_english_system_seal_fix_v0569__GOVERNANCE__v0569.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL032_vrn_canonical_english_system_seal_fix_v0569__GOVERNANCE__v0569.json",".json","5556","a4defbc5fe15d5f74a5cfc41c32bac32574e5ae2dbfe377692536128cedc70ef","OK","LOW"
"33","VRN_MDL033","VRN_MDL033_VRN_Hydra_Containment_Registry__SUPPORT_RULE__v0_0.json","SUPPORT_RULE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL033_VRN_Hydra_Containment_Registry__SUPPORT_RULE__v0_0.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL033_VRN_Hydra_Containment_Registry__SUPPORT_RULE__v0_0.json",".json","463006","9c54eb3907e2dc77b2a01b51cfba3cbca0c5b7600296cba51a1f05b263cbff28","OK","LOW"
"34","VRN_MDL034","VRN_MDL034_VRN_v139N2_Header_Normalized_Rescore_Matrix__MODULE__v139N2.json","MODULE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL034_VRN_v139N2_Header_Normalized_Rescore_Matrix__MODULE__v139N2.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL034_VRN_v139N2_Header_Normalized_Rescore_Matrix__MODULE__v139N2.json",".json","118590","8deb2ac2973ccc6573ce1d57aea9af4c86a9a9a710d9a18ec1bbbde066e40cf4","OK","LOW"
"35","VRN_MDL035","VRN_MDL035_vrn_real_commit_argfix_backup_postcheck_v0615711__MODULE__v0615711.py","MODULE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL035_vrn_real_commit_argfix_backup_postcheck_v0615711__MODULE__v0615711.py","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL035_vrn_real_commit_argfix_backup_postcheck_v0615711__MODULE__v0615711.py",".py","31295","0ff906cd9d9f65eb4f544b6ab9bf43c0c8208748b2b6cc9401fba0e8e878c7f5","OK","LOW"
"36","VRN_MDL036","VRN_MDL036_vrn_real_commit_backup_postcheck_rollback_v061571__MODULE__v061571.py","MODULE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL036_vrn_real_commit_backup_postcheck_rollback_v061571__MODULE__v061571.py","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL036_vrn_real_commit_backup_postcheck_rollback_v061571__MODULE__v061571.py",".py","33183","989a92d8642dce8a602bb420f16ecd76812eba116ff2bffdafa1ff091c4db534","OK","LOW"
"37","VRN_MDL037","VRN_MDL037_vrn_real_commit_backup_postcheck_rollback_v061571__MODULE__v061571.py","MODULE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL037_vrn_real_commit_backup_postcheck_rollback_v061571__MODULE__v061571.py","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL037_vrn_real_commit_backup_postcheck_rollback_v061571__MODULE__v061571.py",".py","33183","989a92d8642dce8a602bb420f16ecd76812eba116ff2bffdafa1ff091c4db534","OK","LOW"
"38","VRN_MDL038","VRN_MDL038_VRN_HYDRA_CONTAINMENT_POLICY__SUPPORT_RULE__v0_0.json","SUPPORT_RULE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL038_VRN_HYDRA_CONTAINMENT_POLICY__SUPPORT_RULE__v0_0.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL038_VRN_HYDRA_CONTAINMENT_POLICY__SUPPORT_RULE__v0_0.json",".json","209304","ee877f64973ce78ff662d9b50699c0675942af1fce68f41d4f8cf10be590fd12","OK","LOW"
