record_id,source_path,name,domain,file_type,exists_check,read_policy,cross_analysis_role
VIA-20260702-PATH-0014,C:\Users\tonyk\Downloads\PMIS-Lite (4).zip,PMIS-Lite (4).zip,PMIS_PROJECT,archive,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,project / task / registry / process flow input
VIA-20260702-PATH-0015,C:\Users\tonyk\Downloads\PMIS-Lite_PRO_2026.md,PMIS-Lite_PRO_2026.md,PMIS_PROJECT,markdown,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,project / task / registry / process flow input
VIA-20260702-PATH-0016,C:\Users\tonyk\Downloads\PMIS-Lite_UX_FEEDBACK_2026.md,PMIS-Lite_UX_FEEDBACK_2026.md,PMIS_PROJECT,markdown,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,project / task / registry / process flow input
VIA-20260702-PATH-0017,C:\Users\tonyk\Downloads\SAP-MRO-Master-Data-Management.png,SAP-MRO-Master-Data-Management.png,SAP_PLM,image,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,"SAP terms, PLM, PMBOK and canonical dictionary input"
VIA-20260702-PATH-0018,C:\Users\tonyk\Downloads\SuperBOM_Financial_Model.html,SuperBOM_Financial_Model.html,SUPER_BOM,html,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,BOM / SAP / supplier / customer / product matrix input
VIA-20260702-PATH-0019,C:\Users\tonyk\Downloads\SuperBOM_Template_Sample.csv,SuperBOM_Template_Sample.csv,SUPER_BOM,csv,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,BOM / SAP / supplier / customer / product matrix input
VIA-20260702-PATH-0020,C:\Users\tonyk\Downloads\VIA_Capability_Matrix (1).html,VIA_Capability_Matrix (1).html,REGISTRY_ENGINE,html,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,"engine, function registry and code capability input"
VIA-20260702-PATH-0021,C:\Users\tonyk\Downloads\VIA_Capability_Matrix (2).html,VIA_Capability_Matrix (2).html,REGISTRY_ENGINE,html,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,"engine, function registry and code capability input"
VIA-20260702-PATH-0022,C:\Users\tonyk\Downloads\VIA_Capability_Matrix (3).html,VIA_Capability_Matrix (3).html,REGISTRY_ENGINE,html,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,"engine, function registry and code capability input"
VIA-20260702-PATH-0023,C:\Users\tonyk\Downloads\VIA_Capability_Matrix.html,VIA_Capability_Matrix.html,REGISTRY_ENGINE,html,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,"engine, function registry and code capability input"
VIA-20260702-PATH-0024,C:\Users\tonyk\Downloads\VIA_Central_Management.html,VIA_Central_Management.html,UI_PLATFORM,html,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,"UI shell, dashboard and parameter library input"
VIA-20260702-PATH-0025,C:\Users\tonyk\Downloads\VIA_CostStructure_Peer_Verify.html,VIA_CostStructure_Peer_Verify.html,FINANCIAL_MODEL,html,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,"financial statement, valuation, cost and driver model input"
VIA-20260702-PATH-0026,C:\Users\tonyk\Downloads\VIA_Doomsday_Intake.html,VIA_Doomsday_Intake.html,MISC,html,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,manual review
VIA-20260702-PATH-0027,C:\Users\tonyk\Downloads\VIA_Electric_SuperBOM.html,VIA_Electric_SuperBOM.html,SUPER_BOM,html,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,BOM / SAP / supplier / customer / product matrix input
VIA-20260702-PATH-0028,C:\Users\tonyk\Downloads\VIA_Financial_Statements (1).html,VIA_Financial_Statements (1).html,FINANCIAL_MODEL,html,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,"financial statement, valuation, cost and driver model input"
VIA-20260702-PATH-0029,C:\Users\tonyk\Downloads\VIA_Hierarchy_Index_Valuation.html,VIA_Hierarchy_Index_Valuation.html,FINANCIAL_MODEL,html,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,"financial statement, valuation, cost and driver model input"
VIA-20260702-PATH-0030,C:\Users\tonyk\Downloads\VIA_Industry_CapexProcessEquipment (1).html,VIA_Industry_CapexProcessEquipment (1).html,UI_PLATFORM,html,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,"UI shell, dashboard and parameter library input"
VIA-20260702-PATH-0031,C:\Users\tonyk\Downloads\VIA_Industry_CapexProcessEquipment.html,VIA_Industry_CapexProcessEquipment.html,UI_PLATFORM,html,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,"UI shell, dashboard and parameter library input"
VIA-20260702-PATH-0032,C:\Users\tonyk\Downloads\VIA_Integrated_Platform (1).html,VIA_Integrated_Platform (1).html,UI_PLATFORM,html,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,"UI shell, dashboard and parameter library input"
VIA-20260702-PATH-0033,C:\Users\tonyk\Downloads\VIA_Integrated_Platform (2).html,VIA_Integrated_Platform (2).html,UI_PLATFORM,html,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,"UI shell, dashboard and parameter library input"
VIA-20260702-PATH-0034,C:\Users\tonyk\Downloads\VIA_INTEGRATED_UI_SYSTEM_v20260702.zip,VIA_INTEGRATED_UI_SYSTEM_v20260702.zip,UI_PLATFORM,archive,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,"UI shell, dashboard and parameter library input"
VIA-20260702-PATH-0035,C:\Users\tonyk\Downloads\VIA_Master_Codex (1).md,VIA_Master_Codex (1).md,REGISTRY_ENGINE,markdown,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,"engine, function registry and code capability input"
VIA-20260702-PATH-0036,C:\Users\tonyk\Downloads\VIA_Master_Codex (2).md,VIA_Master_Codex (2).md,REGISTRY_ENGINE,markdown,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,"engine, function registry and code capability input"
VIA-20260702-PATH-0037,C:\Users\tonyk\Downloads\VIA_Master_Codex (3).md,VIA_Master_Codex (3).md,REGISTRY_ENGINE,markdown,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,"engine, function registry and code capability input"
VIA-20260702-PATH-0038,C:\Users\tonyk\Downloads\VIA_Master_Codex.md,VIA_Master_Codex.md,REGISTRY_ENGINE,markdown,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,"engine, function registry and code capability input"
VIA-20260702-PATH-0039,C:\Users\tonyk\Downloads\VIA_MSProject_SSOT_Sync (1).html,VIA_MSProject_SSOT_Sync (1).html,PMIS_PROJECT,html,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,project / task / registry / process flow input
VIA-20260702-PATH-0040,C:\Users\tonyk\Downloads\VIA_MSProject_SSOT_Sync (2).html,VIA_MSProject_SSOT_Sync (2).html,PMIS_PROJECT,html,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,project / task / registry / process flow input
VIA-20260702-PATH-0041,C:\Users\tonyk\Downloads\VIA_MSProject_SSOT_Sync (3).html,VIA_MSProject_SSOT_Sync (3).html,PMIS_PROJECT,html,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,project / task / registry / process flow input
VIA-20260702-PATH-0042,C:\Users\tonyk\Downloads\VIA_MSProject_SSOT_Sync.html,VIA_MSProject_SSOT_Sync.html,PMIS_PROJECT,html,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,project / task / registry / process flow input
VIA-20260702-PATH-0043,C:\Users\tonyk\Downloads\VIA_PMIS_ReadOnly_SuperRegistry_v0100.ps1,VIA_PMIS_ReadOnly_SuperRegistry_v0100.ps1,PMIS_PROJECT,script,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,project / task / registry / process flow input
VIA-20260702-PATH-0044,C:\Users\tonyk\Downloads\via_pmis_registry_builder_v0100.py,via_pmis_registry_builder_v0100.py,PMIS_PROJECT,script,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,project / task / registry / process flow input
VIA-20260702-PATH-0045,C:\Users\tonyk\Downloads\VIA_PowerThermal_Registry.html,VIA_PowerThermal_Registry.html,REGISTRY_ENGINE,html,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,"engine, function registry and code capability input"
VIA-20260702-PATH-0046,C:\Users\tonyk\Downloads\VIA_PowerThermal_SAP_SuperBOM.html,VIA_PowerThermal_SAP_SuperBOM.html,SUPER_BOM,html,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,BOM / SAP / supplier / customer / product matrix input
VIA-20260702-PATH-0047,C:\Users\tonyk\Downloads\VIA_PSU_Thermal_AllInOne (1).html,VIA_PSU_Thermal_AllInOne (1).html,COMPANY_INDUSTRY,html,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,company / industry specific evidence input
VIA-20260702-PATH-0048,C:\Users\tonyk\Downloads\VIA_PSU_Thermal_AllInOne.html,VIA_PSU_Thermal_AllInOne.html,COMPANY_INDUSTRY,html,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,company / industry specific evidence input
VIA-20260702-PATH-0049,C:\Users\tonyk\Downloads\VIA_PSU_Thermal_SSOT.html,VIA_PSU_Thermal_SSOT.html,COMPANY_INDUSTRY,html,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,company / industry specific evidence input
VIA-20260702-PATH-0050,C:\Users\tonyk\Downloads\VIA_SAP_FixedCode_CostObject_Registry_20260702.json,VIA_SAP_FixedCode_CostObject_Registry_20260702.json,SAP_PLM,json,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,"SAP terms, PLM, PMBOK and canonical dictionary input"
VIA-20260702-PATH-0051,C:\Users\tonyk\Downloads\VIA_Super_BOM_Dashboard_Delta_AcBel_LiteOn_v20260701.html,VIA_Super_BOM_Dashboard_Delta_AcBel_LiteOn_v20260701.html,SUPER_BOM,html,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,BOM / SAP / supplier / customer / product matrix input
VIA-20260702-PATH-0052,C:\Users\tonyk\Downloads\VIA_Super_BOM_OnePage_SAP_ManagementAccounting_Delta_LiteOn_AcBel_v20260701.html,VIA_Super_BOM_OnePage_SAP_ManagementAccounting_Delta_LiteOn_AcBel_v20260701.html,SUPER_BOM,html,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,BOM / SAP / supplier / customer / product matrix input
VIA-20260702-PATH-0053,C:\Users\tonyk\Downloads\VIA_Super_Engine.html,VIA_Super_Engine.html,REGISTRY_ENGINE,html,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,"engine, function registry and code capability input"
VIA-20260702-PATH-0054,C:\Users\tonyk\Downloads\VIA_SuperBOM_Relational_Intelligence_Console_20260702.html,VIA_SuperBOM_Relational_Intelligence_Console_20260702.html,SUPER_BOM,html,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,BOM / SAP / supplier / customer / product matrix input
VIA-20260702-PATH-0055,C:\Users\tonyk\Downloads\VIA_SuperBOM_Relational_SSOT_20260702 (1).json,VIA_SuperBOM_Relational_SSOT_20260702 (1).json,SUPER_BOM,json,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,BOM / SAP / supplier / customer / product matrix input
VIA-20260702-PATH-0056,C:\Users\tonyk\Downloads\VIA_SuperBOM_Relational_SSOT_20260702.json,VIA_SuperBOM_Relational_SSOT_20260702.json,SUPER_BOM,json,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,BOM / SAP / supplier / customer / product matrix input
VIA-20260702-PATH-0057,C:\Users\tonyk\Downloads\VIA_Synonym_SSOT_PLM_PMBOK (1).html,VIA_Synonym_SSOT_PLM_PMBOK (1).html,SAP_PLM,html,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,"SAP terms, PLM, PMBOK and canonical dictionary input"
VIA-20260702-PATH-0058,C:\Users\tonyk\Downloads\VIA_Synonym_SSOT_PLM_PMBOK.html,VIA_Synonym_SSOT_PLM_PMBOK.html,SAP_PLM,html,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,"SAP terms, PLM, PMBOK and canonical dictionary input"
VIA-20260702-PATH-0059,C:\Users\tonyk\Downloads\VIA_UI_COMPLETE_CHECKLIST_AND_GAP_MATRIX_v20260702 (1).xlsx,VIA_UI_COMPLETE_CHECKLIST_AND_GAP_MATRIX_v20260702 (1).xlsx,UI_PLATFORM,spreadsheet,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,"UI shell, dashboard and parameter library input"
VIA-20260702-PATH-0060,C:\Users\tonyk\Downloads\VIA_UI_COMPLETE_CHECKLIST_AND_GAP_MATRIX_v20260702.xlsx,VIA_UI_COMPLETE_CHECKLIST_AND_GAP_MATRIX_v20260702.xlsx,UI_PLATFORM,spreadsheet,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,"UI shell, dashboard and parameter library input"
VIA-20260702-PATH-0061,C:\Users\tonyk\Downloads\VIA_UI_FILE_READER_GAP_AUDITOR_v20260702 (1).zip,VIA_UI_FILE_READER_GAP_AUDITOR_v20260702 (1).zip,UI_PLATFORM,archive,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,"UI shell, dashboard and parameter library input"
VIA-20260702-PATH-0062,C:\Users\tonyk\Downloads\VIA_UI_FILE_READER_GAP_AUDITOR_v20260702.zip,VIA_UI_FILE_READER_GAP_AUDITOR_v20260702.zip,UI_PLATFORM,archive,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,"UI shell, dashboard and parameter library input"
VIA-20260702-PATH-0063,C:\Users\tonyk\Downloads\VIA_UI_MASTER_PARAMETER_LIBRARY_v20260702.zip,VIA_UI_MASTER_PARAMETER_LIBRARY_v20260702.zip,UI_PLATFORM,archive,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,"UI shell, dashboard and parameter library input"
VIA-20260702-PATH-0064,C:\Users\tonyk\Downloads\VIA_Unified_Code_Registry.html,VIA_Unified_Code_Registry.html,REGISTRY_ENGINE,html,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,"engine, function registry and code capability input"
VIA-20260702-PATH-0065,C:\Users\tonyk\Downloads\VIS_Launch_All.ps1,VIS_Launch_All.ps1,CODE_SCRIPT,script,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,code to inspect by AST/static scan only
VIA-20260702-PATH-0066,C:\Users\tonyk\Downloads\VISWorkbench_AUTO_CODING_SSOT.md,VISWorkbench_AUTO_CODING_SSOT.md,DOC_SOURCE,markdown,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,document text/table extraction source
VIA-20260702-PATH-0067,C:\Users\tonyk\Downloads\VISWorkbench_BOM_TEMPLATE_PLAN (1).md,VISWorkbench_BOM_TEMPLATE_PLAN (1).md,SUPER_BOM,markdown,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,BOM / SAP / supplier / customer / product matrix input
VIA-20260702-PATH-0068,C:\Users\tonyk\Downloads\VISWorkbench_BOM_TEMPLATE_PLAN.md,VISWorkbench_BOM_TEMPLATE_PLAN.md,SUPER_BOM,markdown,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,BOM / SAP / supplier / customer / product matrix input
VIA-20260702-PATH-0069,C:\Users\tonyk\Downloads\VISWorkbench_ENTERPRISE_SSOT.md,VISWorkbench_ENTERPRISE_SSOT.md,DOC_SOURCE,markdown,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,document text/table extraction source
VIA-20260702-PATH-0070,C:\Users\tonyk\Downloads\VISWorkbench_OAUTH_2026.md,VISWorkbench_OAUTH_2026.md,DOC_SOURCE,markdown,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,document text/table extraction source
VIA-20260702-PATH-0071,C:\Users\tonyk\Downloads\VISWorkbench_PSU_INDUSTRY_SSOT (1).md,VISWorkbench_PSU_INDUSTRY_SSOT (1).md,DOC_SOURCE,markdown,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,document text/table extraction source
VIA-20260702-PATH-0072,C:\Users\tonyk\Downloads\VISWorkbench_PSU_INDUSTRY_SSOT.md,VISWorkbench_PSU_INDUSTRY_SSOT.md,DOC_SOURCE,markdown,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,document text/table extraction source
VIA-20260702-PATH-0073,C:\Users\tonyk\Downloads\VISWorkbench_SAP_PLM_REFERENCE.md,VISWorkbench_SAP_PLM_REFERENCE.md,SAP_PLM,markdown,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,"SAP terms, PLM, PMBOK and canonical dictionary input"
VIA-20260702-PATH-0074,C:\Users\tonyk\Downloads\VISWorkbench_SUPER_BOM_PLAN (1).md,VISWorkbench_SUPER_BOM_PLAN (1).md,SUPER_BOM,markdown,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,BOM / SAP / supplier / customer / product matrix input
VIA-20260702-PATH-0075,C:\Users\tonyk\Downloads\VISWorkbench_SUPER_BOM_PLAN.md,VISWorkbench_SUPER_BOM_PLAN.md,SUPER_BOM,markdown,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,BOM / SAP / supplier / customer / product matrix input
VIA-20260702-PATH-0076,C:\Users\tonyk\Downloads\VISWorkbench_VIA_IMPORT_PROMPT.md,VISWorkbench_VIA_IMPORT_PROMPT.md,DOC_SOURCE,markdown,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,document text/table extraction source
VIA-20260702-PATH-0077,C:\Users\tonyk\Downloads\1520187732429.jpg,1520187732429.jpg,IMAGE_REFERENCE,image,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,"visual reference, SAP diagram or process image input"
VIA-20260702-PATH-0078,C:\Users\tonyk\Downloads\Benefits-of-Process-Mining (1).png,Benefits-of-Process-Mining (1).png,PROCESS_MINING,image,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,process mining and workflow evidence input
VIA-20260702-PATH-0079,C:\Users\tonyk\Downloads\Benefits-of-Process-Mining.png,Benefits-of-Process-Mining.png,PROCESS_MINING,image,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,process mining and workflow evidence input
VIA-20260702-PATH-0080,C:\Users\tonyk\Downloads\How-Does-Process-Mining-Work.png,How-Does-Process-Mining-Work.png,PROCESS_MINING,image,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,process mining and workflow evidence input
VIA-20260702-PATH-0081,C:\Users\tonyk\Downloads\indices_flow (1).html,indices_flow (1).html,PROCESS_MINING,html,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,process mining and workflow evidence input
VIA-20260702-PATH-0082,C:\Users\tonyk\Downloads\indices_flow.html,indices_flow.html,PROCESS_MINING,html,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,process mining and workflow evidence input
VIA-20260702-PATH-0083,C:\Users\tonyk\Downloads\p766 (1).pdf,p766 (1).pdf,DOC_SOURCE,pdf,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,document text/table extraction source
VIA-20260702-PATH-0084,C:\Users\tonyk\Downloads\p766.pdf,p766.pdf,DOC_SOURCE,pdf,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,document text/table extraction source
VIA-20260702-PATH-0085,C:\Users\tonyk\Downloads\PMIS-Lite (1).zip,PMIS-Lite (1).zip,PMIS_PROJECT,archive,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,project / task / registry / process flow input
VIA-20260702-PATH-0086,C:\Users\tonyk\Downloads\PMIS-Lite (2).zip,PMIS-Lite (2).zip,PMIS_PROJECT,archive,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,project / task / registry / process flow input
VIA-20260702-PATH-0087,C:\Users\tonyk\Downloads\PMIS-Lite (3).zip,PMIS-Lite (3).zip,PMIS_PROJECT,archive,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,project / task / registry / process flow input
VIA-20260702-PATH-0088,C:\Users\tonyk\Downloads\PMIS-Lite.zip,PMIS-Lite.zip,PMIS_PROJECT,archive,TO_BE_CHECKED_ON_LOCAL_WINDOWS,READ_ONLY_NO_EXECUTE_NO_MUTATION,project / task / registry / process flow input
