id,domain,category,item,granularity,source,code,source_light,freq,completeness,light
DET-036,通膨,PCE 分項,Headline/Core/Supercore,pce,FRED,PCEPI / PCEPILFE / 計算,green,M,partial,g
DET-037,通膨,PCE 替代量度,Trimmed-mean PCE,Dallas,FRED,PCETRIM12M159SFRBDAL,green,M,have,g
DET-038,情緒,AAII,Bullish %,weekly,AAII,aaii_bull,teal,W,partial,c
DET-039,情緒,AAII,Neutral %,weekly,AAII,aaii_neutral,teal,W,partial,c
DET-040,情緒,AAII,Bearish %,weekly,AAII,aaii_bear,teal,W,partial,c
DET-041,情緒,AAII,Bull-Bear Spread + 8wk MA,derived,計算,—,teal,W,have,c
DET-042,情緒,AAII,歷史均值(38/31.5/30.5),benchmark,AAII,—,red,static,have,r
DET-043,情緒,CNN F&G,綜合指數 0–100,composite,CNN dataviz API,fng_index,teal,D,partial,c
DET-044,情緒,CNN F&G 子指標,Market Momentum,S&P vs 125d MA,CNN API,fng_momentum,teal,D,partial,c
DET-045,情緒,CNN F&G 子指標,Stock Price Strength,52wk H/L NYSE,CNN API,fng_strength,teal,D,partial,c
DET-046,情緒,CNN F&G 子指標,Stock Price Breadth,McClellan Vol Summation,CNN API,fng_breadth,teal,D,partial,c
DET-047,情緒,CNN F&G 子指標,Put/Call Ratio,options,CNN API,fng_putcall,teal,D,partial,c
DET-048,情緒,CNN F&G 子指標,Market Volatility,VIX,CNN API,fng_vix,teal,D,partial,c
DET-049,情緒,CNN F&G 子指標,Safe Haven Demand,stocks vs bonds 20d,CNN API,fng_safehaven,teal,D,partial,c
DET-050,情緒,CNN F&G 子指標,Junk Bond Demand,HY spread,CNN API,fng_junk,teal,D,partial,c
DET-051,情緒,其他,VIX / NAAIM / Inv Intel / Put-Call,various,yf/CBOE/NAAIM/II,^VIX / —,teal,D/W,partial,c
DET-052,美債結構,到期別,Bills/Notes/Bonds/TIPS/FRN,by maturity,Treasury MSPD,—,amber,M,need,y
DET-053,美債結構,可流通性,marketable vs non-marketable,type,Treasury MSPD,—,amber,M,need,y
DET-054,美債結構,持有者,Fed SOMA 持有,holder,Fed H.4.1 / FRED,WSHOTSL / TREAST,green,W,have,g
DET-055,美債結構,持有者,公眾持有 vs 政府內部,held by public/intragov,FRED,FYGFDPUB / FYGFDPUN,green,Q,have,g
DET-056,美債結構,持有者,國內(銀行/MMF/退休/家庭),domestic,Fed Z.1 / TIC,—,amber,Q,need,y
DET-057,美債·外國持有(TIC),國家別,日本,country,Treasury TIC MFH,TIC_JP,amber,M,need,y
DET-058,美債·外國持有(TIC),國家別,中國,country,Treasury TIC MFH,TIC_CN,amber,M,need,y
DET-059,美債·外國持有(TIC),國家別,英國,country,Treasury TIC MFH,TIC_UK,amber,M,need,y
DET-060,美債·外國持有(TIC),國家別,盧森堡/開曼/比利時(通道),country,Treasury TIC MFH,TIC_LU/KY/BE,amber,M,need,y
DET-061,美債·外國持有(TIC),國家別,加拿大/法國/愛爾蘭/瑞士,country,Treasury TIC MFH,—,amber,M,need,y
DET-062,美債·外國持有(TIC),國家別,台灣/印度/巴西/香港/新加坡,country,Treasury TIC MFH,TIC_TW/IN/BR/HK/SG,amber,M,need,y
DET-063,美債·外國持有(TIC),官民別,官方 vs 私人,official/private,Treasury TIC,—,amber,M,need,y
DET-064,債務/GDP,主要國,美國,gen gov gross debt %GDP,IMF WEO / FRED,GFDEGDQ188S,green,Q/A,have,g
DET-065,債務/GDP,主要國,日本,%GDP,IMF WEO,—,amber,A,need,y
DET-066,債務/GDP,主要國,中國,%GDP,IMF WEO,—,amber,A,need,y
DET-067,債務/GDP,主要國,歐元區(DE/FR/IT/ES),%GDP,Eurostat / IMF,—,amber,Q/A,need,y
DET-068,債務/GDP,主要國,英國/加拿大/澳洲,%GDP,IMF WEO / OECD,—,amber,A,need,y
DET-069,債務/GDP,主要國,印度/巴西/韓國/台灣,%GDP,IMF WEO / 各國,—,amber,A,need,y
DET-070,指數成分,成分清單,S&P 500,~500 成分 + 權重 + GICS,SSGA SPY holdings / S&P / yfinance,SPY.xlsx,amber,D,partial,y
DET-071,指數成分,成分清單,道瓊 DJIA,30 成分(價格加權),S&P DJI / Slickcharts,^DJI,amber,D,partial,y
DET-072,指數成分,成分清單,Nasdaq-100,100 成分,Invesco QQQ holdings / Nasdaq,QQQ.csv,amber,D,partial,y
DET-073,指數成分,成分清單,費半 PHLX SOX,~30 半導體成分,iShares SOXX holdings / Nasdaq,SOXX.csv,amber,D,partial,y
DET-074,S&P產業,GICS 指數,能源 Energy,sector index,yf/S&P,^SP500-10 / XLE,teal,D,have,c
DET-075,S&P產業,GICS 指數,原物料 Materials,sector,yf,^SP500-15 / XLB,teal,D,have,c
DET-076,S&P產業,GICS 指數,工業 Industrials,sector,yf,^SP500-20 / XLI,teal,D,have,c
DET-077,S&P產業,GICS 指數,非必需消費 Cons Disc,sector,yf,^SP500-25 / XLY,teal,D,have,c
DET-078,S&P產業,GICS 指數,必需消費 Cons Staples,sector,yf,^SP500-30 / XLP,teal,D,have,c
DET-079,S&P產業,GICS 指數,醫療 Health Care,sector,yf,^SP500-35 / XLV,teal,D,have,c
DET-080,S&P產業,GICS 指數,金融 Financials,sector,yf,^SP500-40 / XLF,teal,D,have,c
DET-081,S&P產業,GICS 指數,資訊科技 Info Tech,sector,yf,^SP500-45 / XLK,teal,D,have,c
DET-082,S&P產業,GICS 指數,通訊服務 Comm Svc,sector,yf,^SP500-50 / XLC,teal,D,have,c
DET-083,S&P產業,GICS 指數,公用事業 Utilities,sector,yf,^SP500-55 / XLU,teal,D,have,c
DET-084,S&P產業,GICS 指數,房地產 Real Estate,sector,yf,^SP500-60 / XLRE,teal,D,have,c
DET-085,融資/信用,FINRA,保證金借款餘額(margin debt),debit balances,FINRA Margin Stats,—,amber,M,need,y
DET-086,融資/信用,FINRA,現金帳戶自由貸方,free credit cash,FINRA,—,amber,M,need,y
DET-087,融資/信用,FINRA,保證金帳戶自由貸方,free credit margin,FINRA,—,amber,M,need,y
DET-088,融資/信用,FINRA,空單餘額/空單比,short interest,FINRA biweekly,—,amber,2W,need,y
DET-089,融資/信用,衍生,margin debt YoY / vs S&P,derived,計算,—,red,M,partial,r
DET-090,機構預估,賣方 S&P 目標,年底點位 + EPS,GS/MS/JPM/BofA/Citi/UBS/Barclays/DB/WF/RBC/Evercore/Yardeni,各券商研報,—,red,Q,need,r
DET-091,機構預估,聯準會,SEP 點陣圖 / 經濟預測,dot plot / SEP,Fed SEP,—,red,Q,need,r
DET-092,機構預估,共識調查,Bloomberg / Reuters poll,consensus,Bloomberg/Reuters,—,red,M,need,r
DET-093,機構預估,專業預測,Philly Fed SPF / Blue Chip,survey,Philly Fed,—,amber,Q,need,y
DET-094,機構預估,官方,IMF WEO / OECD / CBO,macro outlook,IMF/OECD/CBO,—,amber,Q/A,need,y
DET-095,機構預估,即時 Nowcast,Atlanta GDPNow / NY Fed Nowcast,gdp nowcast,Atlanta/NY Fed,—,amber,W,partial,y
