ticker,name,market,industry,isin,security_type,listed_date,status
00652,富邦印度,TWSE,,,LISTED,,ACTIVE_SEED
00653L,富邦印度正2,TWSE,,,LISTED,,ACTIVE_SEED
00654R,富邦印度反1,TWSE,,,LISTED,,ACTIVE_SEED
00655L,國泰中國A50正2,TWSE,,,LISTED,,ACTIVE_SEED
00656R,國泰中國A50反1,TWSE,,,LISTED,,ACTIVE_SEED
00657,國泰日經225,TWSE,,,LISTED,,ACTIVE_SEED
00657K,國泰日經225+U,TWSE,,,LISTED,,ACTIVE_SEED
00660,元大歐洲50,TWSE,,,LISTED,,ACTIVE_SEED
00661,元大日經225,TWSE,,,LISTED,,ACTIVE_SEED
00662,富邦NASDAQ,TWSE,,,LISTED,,ACTIVE_SEED
00663L,國泰臺灣加權正2,TWSE,,,LISTED,,ACTIVE_SEED
00664R,國泰臺灣加權反1,TWSE,,,LISTED,,ACTIVE_SEED
00665L,富邦恒生國企正2,TWSE,,,LISTED,,ACTIVE_SEED
00666R,富邦恒生國企反1,TWSE,,,LISTED,,ACTIVE_SEED
00668,國泰美國道瓊,TWSE,,,LISTED,,ACTIVE_SEED
00668K,國泰美國道瓊+U,TWSE,,,LISTED,,ACTIVE_SEED
00669R,國泰美國道瓊反1,TWSE,,,LISTED,,ACTIVE_SEED
00670L,富邦NASDAQ正2,TWSE,,,LISTED,,ACTIVE_SEED
00671R,富邦NASDAQ反1,TWSE,,,LISTED,,ACTIVE_SEED
00673R,期元大S&P原油反1,TWSE,,,LISTED,,ACTIVE_SEED
00674R,期元大S&P黃金反1,TWSE,,,LISTED,,ACTIVE_SEED
00675L,富邦臺灣加權正2,TWSE,,,LISTED,,ACTIVE_SEED
00676R,富邦臺灣加權反1,TWSE,,,LISTED,,ACTIVE_SEED
00678,群益那斯達克生技,TWSE,,,LISTED,,ACTIVE_SEED
00680L,元大美債20正2,TWSE,,,LISTED,,ACTIVE_SEED
00681R,元大美債20反1,TWSE,,,LISTED,,ACTIVE_SEED
00682U,期元大美元指數,TWSE,,,LISTED,,ACTIVE_SEED
00683L,期元大美元指正2,TWSE,,,LISTED,,ACTIVE_SEED
00684R,期元大美元指反1,TWSE,,,LISTED,,ACTIVE_SEED
00685L,群益臺灣加權正2,TWSE,,,LISTED,,ACTIVE_SEED
00686R,群益臺灣加權反1,TWSE,,,LISTED,,ACTIVE_SEED
00688L,國泰20年美債正2,TWSE,,,LISTED,,ACTIVE_SEED
00689R,國泰20年美債反1,TWSE,,,LISTED,,ACTIVE_SEED
00690,兆豐藍籌30,TWSE,,,LISTED,,ACTIVE_SEED
00692,富邦公司治理,TWSE,,,LISTED,,ACTIVE_SEED
00693U,期街口S&P黃豆,TWSE,,,LISTED,,ACTIVE_SEED
00700,富邦恒生國企,TWSE,,,LISTED,,ACTIVE_SEED
00701,國泰股利精選30,TWSE,,,LISTED,,ACTIVE_SEED
00702,國泰標普低波高息,TWSE,,,LISTED,,ACTIVE_SEED
00703,台新MSCI中國,TWSE,,,LISTED,,ACTIVE_SEED
00706L,期元大S&P日圓正2,TWSE,,,LISTED,,ACTIVE_SEED
00707R,期元大S&P日圓反1,TWSE,,,LISTED,,ACTIVE_SEED
00708L,期元大S&P黃金正2,TWSE,,,LISTED,,ACTIVE_SEED
00709,富邦歐洲,TWSE,,,LISTED,,ACTIVE_SEED
00710B,復華彭博非投等債,TWSE,,,LISTED,,ACTIVE_SEED
00711B,復華彭博新興債,TWSE,,,LISTED,,ACTIVE_SEED
00712,復華富時不動產,TWSE,,,LISTED,,ACTIVE_SEED
00713,元大台灣高息低波,TWSE,,,LISTED,,ACTIVE_SEED
00714,群益道瓊美國地產,TWSE,,,LISTED,,ACTIVE_SEED
00715L,期街口布蘭特正2,TWSE,,,LISTED,,ACTIVE_SEED
00717,富邦美國特別股,TWSE,,,LISTED,,ACTIVE_SEED
00728,第一金工業30,TWSE,,,LISTED,,ACTIVE_SEED
00730,富邦臺灣優質高息,TWSE,,,LISTED,,ACTIVE_SEED
00731,復華富時高息低波,TWSE,,,LISTED,,ACTIVE_SEED
00733,富邦臺灣中小,TWSE,,,LISTED,,ACTIVE_SEED
00735,國泰臺韓科技,TWSE,,,LISTED,,ACTIVE_SEED
00736,國泰新興市場,TWSE,,,LISTED,,ACTIVE_SEED
00737,國泰AI機器人,TWSE,,,LISTED,,ACTIVE_SEED
00738U,期元大道瓊白銀,TWSE,,,LISTED,,ACTIVE_SEED
00739,元大MSCI A股,TWSE,,,LISTED,,ACTIVE_SEED
00752,中信中國50,TWSE,,,LISTED,,ACTIVE_SEED
00753L,中信中國50正2,TWSE,,,LISTED,,ACTIVE_SEED
00757,統一FANG+,TWSE,,,LISTED,,ACTIVE_SEED
00762,元大全球AI,TWSE,,,LISTED,,ACTIVE_SEED
00763U,期街口道瓊銅,TWSE,,,LISTED,,ACTIVE_SEED
00770,國泰北美科技,TWSE,,,LISTED,,ACTIVE_SEED
00771,元大US高息特別股,TWSE,,,LISTED,,ACTIVE_SEED
00775B,新光投等債15+,TWSE,,,LISTED,,ACTIVE_SEED
00783,富邦中証500,TWSE,,,LISTED,,ACTIVE_SEED
00830,國泰費城半導體,TWSE,,,LISTED,,ACTIVE_SEED
00850,元大臺灣ESG永續,TWSE,,,LISTED,,ACTIVE_SEED
00851,台新全球AI,TWSE,,,LISTED,,ACTIVE_SEED
00852L,國泰美國道瓊正2,TWSE,,,LISTED,,ACTIVE_SEED
00861,元大全球未來通訊,TWSE,,,LISTED,,ACTIVE_SEED
00865B,國泰US短期公債,TWSE,,,LISTED,,ACTIVE_SEED
00875,國泰網路資安,TWSE,,,LISTED,,ACTIVE_SEED
00876,元大全球5G,TWSE,,,LISTED,,ACTIVE_SEED
00878,國泰永續高股息,TWSE,,,LISTED,,ACTIVE_SEED
00881,國泰台灣科技龍頭,TWSE,,,LISTED,,ACTIVE_SEED
00882,中信中國高股息,TWSE,,,LISTED,,ACTIVE_SEED
00885,富邦越南,TWSE,,,LISTED,,ACTIVE_SEED
00891,中信關鍵半導體,TWSE,,,LISTED,,ACTIVE_SEED
00892,富邦台灣半導體,TWSE,,,LISTED,,ACTIVE_SEED
00893,國泰智能電動車,TWSE,,,LISTED,,ACTIVE_SEED
00894,中信小資高價30,TWSE,,,LISTED,,ACTIVE_SEED
00895,富邦未來車,TWSE,,,LISTED,,ACTIVE_SEED
00896,中信綠能及電動車,TWSE,,,LISTED,,ACTIVE_SEED
00897,富邦基因免疫生技,TWSE,,,LISTED,,ACTIVE_SEED
00898,國泰基因免疫革命,TWSE,,,LISTED,,ACTIVE_SEED
00899,FT潔淨能源,TWSE,,,LISTED,,ACTIVE_SEED
00900,富邦特選高股息30,TWSE,,,LISTED,,ACTIVE_SEED
00901,永豐智能車供應鏈,TWSE,,,LISTED,,ACTIVE_SEED
00902,中信電池及儲能,TWSE,,,LISTED,,ACTIVE_SEED
00903,富邦元宇宙,TWSE,,,LISTED,,ACTIVE_SEED
00904,新光臺灣半導體30,TWSE,,,LISTED,,ACTIVE_SEED
00905,FT臺灣Smart,TWSE,,,LISTED,,ACTIVE_SEED
00907,永豐優息存股,TWSE,,,LISTED,,ACTIVE_SEED
00908,富邦入息REITs+,TWSE,,,LISTED,,ACTIVE_SEED
00909,國泰數位支付服務,TWSE,,,LISTED,,ACTIVE_SEED
00910,第一金太空衛星,TWSE,,,LISTED,,ACTIVE_SEED
00911,兆豐洲際半導體,TWSE,,,LISTED,,ACTIVE_SEED
00912,中信臺灣智慧50,TWSE,,,LISTED,,ACTIVE_SEED
00913,兆豐台灣晶圓製造,TWSE,,,LISTED,,ACTIVE_SEED
00915,凱基優選高股息30,TWSE,,,LISTED,,ACTIVE_SEED
00916,國泰全球品牌50,TWSE,,,LISTED,,ACTIVE_SEED
00917,中信特選金融,TWSE,,,LISTED,,ACTIVE_SEED
00918,大華優利高填息30,TWSE,,,LISTED,,ACTIVE_SEED
00919,群益台灣精選高息,TWSE,,,LISTED,,ACTIVE_SEED
00920,富邦ESG綠色電力,TWSE,,,LISTED,,ACTIVE_SEED
00921,兆豐龍頭等權重,TWSE,,,LISTED,,ACTIVE_SEED
00922,國泰台灣領袖50,TWSE,,,LISTED,,ACTIVE_SEED
00923,群益台ESG低碳50,TWSE,,,LISTED,,ACTIVE_SEED
00924,復華S&P500成長,TWSE,,,LISTED,,ACTIVE_SEED
00926,凱基全球菁英55,TWSE,,,LISTED,,ACTIVE_SEED
00927,群益半導體收益,TWSE,,,LISTED,,ACTIVE_SEED
00929,復華台灣科技優息,TWSE,,,LISTED,,ACTIVE_SEED
00930,永豐ESG低碳高息,TWSE,,,LISTED,,ACTIVE_SEED
00932,兆豐永續高息等權,TWSE,,,LISTED,,ACTIVE_SEED
00934,中信成長高股息,TWSE,,,LISTED,,ACTIVE_SEED
00935,野村臺灣新科技50,TWSE,,,LISTED,,ACTIVE_SEED
00936,台新永續高息中小,TWSE,,,LISTED,,ACTIVE_SEED
00938,凱基優選30,TWSE,,,LISTED,,ACTIVE_SEED
00939,統一台灣高息動能,TWSE,,,LISTED,,ACTIVE_SEED
00940,元大台灣價值高息,TWSE,,,LISTED,,ACTIVE_SEED
00941,中信上游半導體,TWSE,,,LISTED,,ACTIVE_SEED
00943,兆豐電子高息等權,TWSE,,,LISTED,,ACTIVE_SEED
00944,野村趨勢動能高息,TWSE,,,LISTED,,ACTIVE_SEED
00945B,凱基美國非投等債,TWSE,,,LISTED,,ACTIVE_SEED
00946,群益科技高息成長,TWSE,,,LISTED,,ACTIVE_SEED
00947,台新臺灣IC設計,TWSE,,,LISTED,,ACTIVE_SEED
00949,復華日本龍頭,TWSE,,,LISTED,,ACTIVE_SEED
00951,台新日本半導體,TWSE,,,LISTED,,ACTIVE_SEED
00952,凱基台灣AI50,TWSE,,,LISTED,,ACTIVE_SEED
00953B,群益優選非投等債,TWSE,,,LISTED,,ACTIVE_SEED
00954,中信日本半導體,TWSE,,,LISTED,,ACTIVE_SEED
00956,中信日經高股息,TWSE,,,LISTED,,ACTIVE_SEED
00960,野村全球航運龍頭,TWSE,,,LISTED,,ACTIVE_SEED
00961,FT臺灣永續高息,TWSE,,,LISTED,,ACTIVE_SEED
00962,台新AI優息動能,TWSE,,,LISTED,,ACTIVE_SEED
00963,中信全球高股息,TWSE,,,LISTED,,ACTIVE_SEED
00964,中信亞太高股息,TWSE,,,LISTED,,ACTIVE_SEED
00965,元大航太防衛科技,TWSE,,,LISTED,,ACTIVE_SEED
00971,野村美國研發龍頭,TWSE,,,LISTED,,ACTIVE_SEED
00972,野村日本動能高息,TWSE,,,LISTED,,ACTIVE_SEED
009800,中信NASDAQ,TWSE,,,LISTED,,ACTIVE_SEED
009801,中信美國創新科技,TWSE,,,LISTED,,ACTIVE_SEED
009802,富邦旗艦50,TWSE,,,LISTED,,ACTIVE_SEED
009803,玉山市值動能50,TWSE,,,LISTED,,ACTIVE_SEED
009804,聯邦台精彩50,TWSE,,,LISTED,,ACTIVE_SEED
009805,新光美國電力基建,TWSE,,,LISTED,,ACTIVE_SEED
009808,華南永昌優選50,TWSE,,,LISTED,,ACTIVE_SEED
009809,富邦淨零ESG50,TWSE,,,LISTED,,ACTIVE_SEED
00980A,主動野村臺灣優選,TWSE,,,LISTED,,ACTIVE_SEED
009810,玉山全球藍籌100,TWSE,,,LISTED,,ACTIVE_SEED
009811,統一美國50,TWSE,,,LISTED,,ACTIVE_SEED
009812,野村日本東證,TWSE,,,LISTED,,ACTIVE_SEED
009813,貝萊德標普卓越50,TWSE,,,LISTED,,ACTIVE_SEED
009816,凱基台灣TOP50,TWSE,,,LISTED,,ACTIVE_SEED
009817,國泰日本不動產,TWSE,,,LISTED,,ACTIVE_SEED
009818,華南永昌NASDAQxT,TWSE,,,LISTED,,ACTIVE_SEED
009819,中信數據及電力,TWSE,,,LISTED,,ACTIVE_SEED
00981A,主動統一台股增長,TWSE,,,LISTED,,ACTIVE_SEED
00981T,平衡凱基雙核收息,TWSE,,,LISTED,,ACTIVE_SEED
009820,元大納斯達克精選,TWSE,,,LISTED,,ACTIVE_SEED
00982A,主動群益台灣強棒,TWSE,,,LISTED,,ACTIVE_SEED
00982D,主動富邦動態入息,TWSE,,,LISTED,,ACTIVE_SEED
00982T,平衡兆豐台美動能,TWSE,,,LISTED,,ACTIVE_SEED
00983A,主動中信ARK創新,TWSE,,,LISTED,,ACTIVE_SEED
00983D,主動富邦複合收益,TWSE,,,LISTED,,ACTIVE_SEED
00984A,主動安聯台灣高息,TWSE,,,LISTED,,ACTIVE_SEED
00984D,主動聯博全球非投,TWSE,,,LISTED,,ACTIVE_SEED
00985A,主動野村台灣50,TWSE,,,LISTED,,ACTIVE_SEED
00985B,群益ESG投等債0-5,TWSE,,,LISTED,,ACTIVE_SEED
00986A,主動台新龍頭成長,TWSE,,,LISTED,,ACTIVE_SEED
00987A,主動台新優勢成長,TWSE,,,LISTED,,ACTIVE_SEED
00988A,主動統一全球創新,TWSE,,,LISTED,,ACTIVE_SEED
00989A,主動摩根美國科技,TWSE,,,LISTED,,ACTIVE_SEED
00990A,主動元大AI新經濟,TWSE,,,LISTED,,ACTIVE_SEED
00991A,主動復華未來50,TWSE,,,LISTED,,ACTIVE_SEED
00992A,主動群益科技創新,TWSE,,,LISTED,,ACTIVE_SEED
00993A,主動安聯台灣,TWSE,,,LISTED,,ACTIVE_SEED
00994A,主動第一金台股優,TWSE,,,LISTED,,ACTIVE_SEED
00995A,主動中信台灣卓越,TWSE,,,LISTED,,ACTIVE_SEED
00996A,主動兆豐台灣豐收,TWSE,,,LISTED,,ACTIVE_SEED
00997A,主動群益美國增長,TWSE,,,LISTED,,ACTIVE_SEED
00999A,主動野村臺灣高息,TWSE,,,LISTED,,ACTIVE_SEED
01001T,土銀富邦R1,TWSE,,,LISTED,,ACTIVE_SEED
01002T,土銀國泰R1,TWSE,,,LISTED,,ACTIVE_SEED
01004T,土銀富邦R2,TWSE,,,LISTED,,ACTIVE_SEED
01007T,兆豐國泰R2,TWSE,,,LISTED,,ACTIVE_SEED
01009T,王道圓滿R1,TWSE,,,LISTED,,ACTIVE_SEED
01010T,京城樂富R1,TWSE,,,LISTED,,ACTIVE_SEED
020000,富邦特選蘋果N,TWSE,,,LISTED,,ACTIVE_SEED
020011,統一微波高息20N,TWSE,,,LISTED,,ACTIVE_SEED
020012,富邦行動通訊N,TWSE,,,LISTED,,ACTIVE_SEED
02001L,富邦蘋果正二N,TWSE,,,LISTED,,ACTIVE_SEED
020020,元大台股領航N,TWSE,,,LISTED,,ACTIVE_SEED
020028,元大特選電動車N,TWSE,,,LISTED,,ACTIVE_SEED
020029,元大ESG高股息N,TWSE,,,LISTED,,ACTIVE_SEED
020030,統一智慧電動車N,TWSE,,,LISTED,,ACTIVE_SEED
020031,統一IC設計臺灣N,TWSE,,,LISTED,,ACTIVE_SEED
020032,元大綠能N,TWSE,,,LISTED,,ACTIVE_SEED
020034,元大IC設計N,TWSE,,,LISTED,,ACTIVE_SEED
020036,元大金融配息N,TWSE,,,LISTED,,ACTIVE_SEED
020037,元大金融高股息N,TWSE,,,LISTED,,ACTIVE_SEED
020038,元大ESG配息N,TWSE,,,LISTED,,ACTIVE_SEED
020039,元大加權N,TWSE,,,LISTED,,ACTIVE_SEED
1101,台泥,TWSE,,,LISTED,,ACTIVE_SEED
1101B,台泥乙特,TWSE,,,LISTED,,ACTIVE_SEED
1102,亞泥,TWSE,,,LISTED,,ACTIVE_SEED
1103,嘉泥,TWSE,,,LISTED,,ACTIVE_SEED
1104,環泥,TWSE,,,LISTED,,ACTIVE_SEED
1108,幸福,TWSE,,,LISTED,,ACTIVE_SEED
1109,信大,TWSE,,,LISTED,,ACTIVE_SEED
1110,東泥,TWSE,,,LISTED,,ACTIVE_SEED
1201,味全,TWSE,,,LISTED,,ACTIVE_SEED
1203,味王,TWSE,,,LISTED,,ACTIVE_SEED
1210,大成,TWSE,,,LISTED,,ACTIVE_SEED
1213,大飲,TWSE,,,LISTED,,ACTIVE_SEED
1215,卜蜂,TWSE,,,LISTED,,ACTIVE_SEED
1216,統一,TWSE,,,LISTED,,ACTIVE_SEED
1217,愛之味,TWSE,,,LISTED,,ACTIVE_SEED
1218,泰山,TWSE,,,LISTED,,ACTIVE_SEED
1219,福壽,TWSE,,,LISTED,,ACTIVE_SEED
1220,台榮,TWSE,,,LISTED,,ACTIVE_SEED
1225,福懋油,TWSE,,,LISTED,,ACTIVE_SEED
1227,佳格,TWSE,,,LISTED,,ACTIVE_SEED
1229,聯華,TWSE,,,LISTED,,ACTIVE_SEED
1231,聯華食,TWSE,,,LISTED,,ACTIVE_SEED
1232,大統益,TWSE,,,LISTED,,ACTIVE_SEED
1233,天仁,TWSE,,,LISTED,,ACTIVE_SEED
1234,黑松,TWSE,,,LISTED,,ACTIVE_SEED
1235,興泰,TWSE,,,LISTED,,ACTIVE_SEED
1236,宏亞,TWSE,,,LISTED,,ACTIVE_SEED
1256,鮮活果汁-KY,TWSE,,,LISTED,,ACTIVE_SEED
1301,台塑,TWSE,,,LISTED,,ACTIVE_SEED
1303,南亞,TWSE,,,LISTED,,ACTIVE_SEED
1304,台聚,TWSE,,,LISTED,,ACTIVE_SEED
1305,華夏,TWSE,,,LISTED,,ACTIVE_SEED
1307,三芳,TWSE,,,LISTED,,ACTIVE_SEED
1308,亞聚,TWSE,,,LISTED,,ACTIVE_SEED
1309,台達化,TWSE,,,LISTED,,ACTIVE_SEED
1310,台苯,TWSE,,,LISTED,,ACTIVE_SEED
1312,國喬,TWSE,,,LISTED,,ACTIVE_SEED
1312A,國喬特,TWSE,,,LISTED,,ACTIVE_SEED
1313,聯成,TWSE,,,LISTED,,ACTIVE_SEED
1314,中石化,TWSE,,,LISTED,,ACTIVE_SEED
1315,達新,TWSE,,,LISTED,,ACTIVE_SEED
1316,上曜,TWSE,,,LISTED,,ACTIVE_SEED
1319,東陽,TWSE,,,LISTED,,ACTIVE_SEED
1321,大洋,TWSE,,,LISTED,,ACTIVE_SEED
1323,永裕,TWSE,,,LISTED,,ACTIVE_SEED
1324,地球,TWSE,,,LISTED,,ACTIVE_SEED
1325,恆大,TWSE,,,LISTED,,ACTIVE_SEED
1326,台化,TWSE,,,LISTED,,ACTIVE_SEED
1337,再生-KY,TWSE,,,LISTED,,ACTIVE_SEED
1338,廣華-KY,TWSE,,,LISTED,,ACTIVE_SEED
1339,昭輝,TWSE,,,LISTED,,ACTIVE_SEED
1340,勝悅-KY,TWSE,,,LISTED,,ACTIVE_SEED
1341,富林-KY,TWSE,,,LISTED,,ACTIVE_SEED
1342,八貫,TWSE,,,LISTED,,ACTIVE_SEED
1402,遠東新,TWSE,,,LISTED,,ACTIVE_SEED
1409,新纖,TWSE,,,LISTED,,ACTIVE_SEED
1410,南染,TWSE,,,LISTED,,ACTIVE_SEED
1413,宏洲,TWSE,,,LISTED,,ACTIVE_SEED
1414,東和,TWSE,,,LISTED,,ACTIVE_SEED
1416,廣豐,TWSE,,,LISTED,,ACTIVE_SEED
1417,嘉裕,TWSE,,,LISTED,,ACTIVE_SEED
1418,東華,TWSE,,,LISTED,,ACTIVE_SEED
1419,新紡,TWSE,,,LISTED,,ACTIVE_SEED
1423,利華,TWSE,,,LISTED,,ACTIVE_SEED
1432,大魯閣,TWSE,,,LISTED,,ACTIVE_SEED
1434,福懋,TWSE,,,LISTED,,ACTIVE_SEED
1436,華友聯,TWSE,,,LISTED,,ACTIVE_SEED
1437,勤益控,TWSE,,,LISTED,,ACTIVE_SEED
1438,三地開發,TWSE,,,LISTED,,ACTIVE_SEED
1439,雋揚,TWSE,,,LISTED,,ACTIVE_SEED
1440,南紡,TWSE,,,LISTED,,ACTIVE_SEED
1441,大東,TWSE,,,LISTED,,ACTIVE_SEED
1442,名軒,TWSE,,,LISTED,,ACTIVE_SEED
1443,立益物流,TWSE,,,LISTED,,ACTIVE_SEED
1444,力麗,TWSE,,,LISTED,,ACTIVE_SEED
1445,大宇,TWSE,,,LISTED,,ACTIVE_SEED
1446,宏和,TWSE,,,LISTED,,ACTIVE_SEED
1447,力鵬,TWSE,,,LISTED,,ACTIVE_SEED
1449,佳和,TWSE,,,LISTED,,ACTIVE_SEED
1451,年興,TWSE,,,LISTED,,ACTIVE_SEED
1452,宏益,TWSE,,,LISTED,,ACTIVE_SEED
1453,大將,TWSE,,,LISTED,,ACTIVE_SEED
1454,台富,TWSE,,,LISTED,,ACTIVE_SEED
1455,集盛,TWSE,,,LISTED,,ACTIVE_SEED
1456,怡華,TWSE,,,LISTED,,ACTIVE_SEED
1457,宜進,TWSE,,,LISTED,,ACTIVE_SEED
1459,聯發,TWSE,,,LISTED,,ACTIVE_SEED
1460,宏遠,TWSE,,,LISTED,,ACTIVE_SEED
1463,強盛新,TWSE,,,LISTED,,ACTIVE_SEED
1464,得力,TWSE,,,LISTED,,ACTIVE_SEED
1465,偉全,TWSE,,,LISTED,,ACTIVE_SEED
1466,聚隆,TWSE,,,LISTED,,ACTIVE_SEED
1467,南緯,TWSE,,,LISTED,,ACTIVE_SEED
1468,昶和,TWSE,,,LISTED,,ACTIVE_SEED
1470,大統新創,TWSE,,,LISTED,,ACTIVE_SEED
1471,首利,TWSE,,,LISTED,,ACTIVE_SEED
1472,三洋實業,TWSE,,,LISTED,,ACTIVE_SEED
1473,台南,TWSE,,,LISTED,,ACTIVE_SEED
1474,弘裕,TWSE,,,LISTED,,ACTIVE_SEED
1475,業旺,TWSE,,,LISTED,,ACTIVE_SEED
1476,儒鴻,TWSE,,,LISTED,,ACTIVE_SEED
1477,聚陽,TWSE,,,LISTED,,ACTIVE_SEED
1503,士電,TWSE,,,LISTED,,ACTIVE_SEED
1504,東元,TWSE,,,LISTED,,ACTIVE_SEED
1506,正道,TWSE,,,LISTED,,ACTIVE_SEED
1512,瑞利,TWSE,,,LISTED,,ACTIVE_SEED
1513,中興電,TWSE,,,LISTED,,ACTIVE_SEED
1514,亞力,TWSE,,,LISTED,,ACTIVE_SEED
1515,力山,TWSE,,,LISTED,,ACTIVE_SEED
1516,川飛,TWSE,,,LISTED,,ACTIVE_SEED
1517,利奇,TWSE,,,LISTED,,ACTIVE_SEED
1519,華城,TWSE,,,LISTED,,ACTIVE_SEED
1521,大億,TWSE,,,LISTED,,ACTIVE_SEED
1522,堤維西,TWSE,,,LISTED,,ACTIVE_SEED
1522A,堤維西甲特,TWSE,,,LISTED,,ACTIVE_SEED
1524,耿鼎,TWSE,,,LISTED,,ACTIVE_SEED
1525,江申,TWSE,,,LISTED,,ACTIVE_SEED
1526,日馳,TWSE,,,LISTED,,ACTIVE_SEED
1527,鑽全,TWSE,,,LISTED,,ACTIVE_SEED
1528,恩德,TWSE,,,LISTED,,ACTIVE_SEED
1529,樂事綠能,TWSE,,,LISTED,,ACTIVE_SEED
1530,亞崴,TWSE,,,LISTED,,ACTIVE_SEED
1531,高林股,TWSE,,,LISTED,,ACTIVE_SEED
1532,勤美,TWSE,,,LISTED,,ACTIVE_SEED
1533,車王電,TWSE,,,LISTED,,ACTIVE_SEED
1535,中宇,TWSE,,,LISTED,,ACTIVE_SEED
1536,和大,TWSE,,,LISTED,,ACTIVE_SEED
1537,廣隆,TWSE,,,LISTED,,ACTIVE_SEED
1538,正峰,TWSE,,,LISTED,,ACTIVE_SEED
1539,巨庭,TWSE,,,LISTED,,ACTIVE_SEED
1540,喬福,TWSE,,,LISTED,,ACTIVE_SEED
1541,錩泰,TWSE,,,LISTED,,ACTIVE_SEED
1558,伸興,TWSE,,,LISTED,,ACTIVE_SEED
1560,中砂,TWSE,,,LISTED,,ACTIVE_SEED
1563,巧新,TWSE,,,LISTED,,ACTIVE_SEED
1568,倉佑,TWSE,,,LISTED,,ACTIVE_SEED
1582,信錦,TWSE,,,LISTED,,ACTIVE_SEED
1583,程泰,TWSE,,,LISTED,,ACTIVE_SEED
1587,吉茂,TWSE,,,LISTED,,ACTIVE_SEED
1590,亞德客-KY,TWSE,,,LISTED,,ACTIVE_SEED
1597,直得,TWSE,,,LISTED,,ACTIVE_SEED
1598,岱宇,TWSE,,,LISTED,,ACTIVE_SEED
1603,華電,TWSE,,,LISTED,,ACTIVE_SEED
1604,聲寶,TWSE,,,LISTED,,ACTIVE_SEED
1605,華新,TWSE,,,LISTED,,ACTIVE_SEED
1608,華榮,TWSE,,,LISTED,,ACTIVE_SEED
1609,大亞,TWSE,,,LISTED,,ACTIVE_SEED
1611,中電,TWSE,,,LISTED,,ACTIVE_SEED
1612,宏泰,TWSE,,,LISTED,,ACTIVE_SEED
1614,三洋電,TWSE,,,LISTED,,ACTIVE_SEED
1615,大山,TWSE,,,LISTED,,ACTIVE_SEED
1616,億泰,TWSE,,,LISTED,,ACTIVE_SEED
1617,榮星,TWSE,,,LISTED,,ACTIVE_SEED
1618,合機,TWSE,,,LISTED,,ACTIVE_SEED
1623,大東電,TWSE,,,LISTED,,ACTIVE_SEED
1626,艾美特-KY,TWSE,,,LISTED,,ACTIVE_SEED
