bucket,name,extension,bytes,modified,path,sha256
Other,6933_AMAX-KY_個股介紹報告.pdf,.pdf,1109127,2023-10-21 15:32:46,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\6933_AMAX-KY_個股介紹報告.pdf,
Other,Citi-3231 20250604.pdf,.pdf,677991,2025-06-08 05:16:17,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\Citi-3231 20250604.pdf,
Other,CLST-6669 20251001.pdf,.pdf,530185,2025-10-08 23:17:34,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\CLST-6669 20251001.pdf,
Other,Daiwa-1319 20231011.pdf,.pdf,931065,2023-10-21 15:50:48,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\Daiwa-1319 20231011.pdf,
Other,Daiwa-3653 20251002.pdf,.pdf,969997,2025-10-08 23:17:20,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\Daiwa-3653 20251002.pdf,
Other,Daiwa-6278 20260521.pdf,.pdf,1018815,2026-05-25 01:01:40,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\Daiwa-6278 20260521.pdf,
Other,Daiwa-PCB 20251204.pdf,.pdf,278165,2025-12-05 23:05:14,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\Daiwa-PCB 20251204.pdf,
Other,GF-Thoughts on TPU Competition with GPU 20251126.pdf,.pdf,226266,2025-12-02 17:52:07,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\GF-Thoughts on TPU Competition with GPU 20251126.pdf,
Other,GS-1590 20231012.pdf,.pdf,1001187,2023-10-21 15:35:04,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\GS-1590 20231012.pdf,
Other,GS-1590 20251203.pdf,.pdf,508885,2025-12-05 23:07:52,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\GS-1590 20251203.pdf,
Other,GS-2317 20251205.pdf,.pdf,536180,2025-12-11 17:45:34,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\GS-2317 20251205.pdf,
Other,GS-2382 20231012.pdf,.pdf,570820,2023-10-21 15:35:13,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\GS-2382 20231012.pdf,
Other,GS-2383 20260519.pdf,.pdf,846483,2026-05-25 01:03:06,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\GS-2383 20260519.pdf,
Other,GS-3706 20251130.pdf,.pdf,685565,2025-12-05 23:10:01,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\GS-3706 20251130.pdf,
Other,GS-6415 20260517.pdf,.pdf,1945114,2026-05-25 01:03:29,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\GS-6415 20260517.pdf,
Other,GS-AI PCB CCL 20251204.pdf,.pdf,698563,2025-12-05 23:05:12,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\GS-AI PCB CCL 20251204.pdf,
Other,JP-2330 20250718.pdf,.pdf,1381011,2025-07-20 12:35:01,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\JP-2330 20250718.pdf,
Other,JP-3653 20251003.pdf,.pdf,983562,2025-10-08 23:17:18,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\JP-3653 20251003.pdf,
Other,MQ-1560 20260520.pdf,.pdf,1147112,2026-05-25 01:01:35,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\MQ-1560 20260520.pdf,
Other,MS-1590 20251202.pdf,.pdf,231874,2025-12-05 23:08:41,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\MS-1590 20251202.pdf,
Other,MS-2308 20251128.pdf,.pdf,1077594,2025-12-05 23:09:59,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\MS-2308 20251128.pdf,
Other,MS-3661 20251203.pdf,.pdf,1033562,2025-12-05 23:07:56,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\MS-3661 20251203.pdf,
Other,MS-3665 20251202.pdf,.pdf,238127,2025-12-05 23:08:40,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\MS-3665 20251202.pdf,
Other,MS-6669 20251007.pdf,.pdf,252084,2025-10-08 23:14:57,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\MS-6669 20251007.pdf,
Other,MS-8210 20251007.pdf,.pdf,246018,2025-10-08 23:15:04,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\MS-8210 20251007.pdf,
Other,MS-ABF 20260518.pdf,.pdf,2846718,2026-05-25 01:03:11,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\MS-ABF 20260518.pdf,
Other,MS-Automation 20251126.pdf,.pdf,257309,2025-12-02 17:51:59,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\MS-Automation 20251126.pdf,
Other,MS-Memory 20251204.pdf,.pdf,640925,2025-12-05 23:05:16,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\MS-Memory 20251204.pdf,
Other,MS-Thermal Solutions 20251007.pdf,.pdf,260109,2025-10-08 23:15:18,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\MS-Thermal Solutions 20251007.pdf,
Other,MS-Thermal Solutions 20251208.pdf,.pdf,249920,2025-12-11 17:44:40,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\MS-Thermal Solutions 20251208.pdf,
Other,UBS-Asia Hardware Insights 20251205.pdf,.pdf,6007919,2025-12-05 23:05:24,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\UBS-Asia Hardware Insights 20251205.pdf,
Other,【國泰證期研究部】神達(3706 TT)-初次評等買進(+30.4_)-大顯神威，營運騰達-20250822.pdf,.pdf,1572918,2025-08-26 00:03:31,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\【國泰證期研究部】神達(3706 TT)-初次評等買進(+30.4_)-大顯神威，營運騰達-20250822.pdf,
Other,凱基投顧_1476 儒鴻_劉昃恩_20260519.pdf,.pdf,634863,2026-05-25 01:02:08,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\凱基投顧_1476 儒鴻_劉昃恩_20260519.pdf,
Other,凱基投顧_2891 中信金_施志鴻_20260519.pdf,.pdf,747972,2026-05-25 01:02:22,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\凱基投顧_2891 中信金_施志鴻_20260519.pdf,
Other,凱基投顧_3665 貿聯-KY_李承泰_20260519.pdf,.pdf,1030556,2026-05-25 01:02:25,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\凱基投顧_3665 貿聯-KY_李承泰_20260519.pdf,
Other,凱基投顧_6147 頎邦_劉宇程_20260519.pdf,.pdf,667687,2026-05-25 01:02:17,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\凱基投顧_6147 頎邦_劉宇程_20260519.pdf,
Other,凱基投顧_鋼鐵產業_劉昃恩_20260518.pdf,.pdf,660344,2026-05-25 01:03:20,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\凱基投顧_鋼鐵產業_劉昃恩_20260518.pdf,
Other,凱基日股分析20251205-軍工股及機器人股上漲推升日股收漲.pdf,.pdf,1781822,2025-12-05 23:05:43,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\凱基日股分析20251205-軍工股及機器人股上漲推升日股收漲.pdf,
Other,凱基期貨晨間解盤20251205.pdf,.pdf,654622,2025-12-05 23:05:36,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\凱基期貨晨間解盤20251205.pdf,
Other,凱基港股分析20251205-機器人概念受資金追捧，港股收漲.pdf,.pdf,1523333,2025-12-05 23:05:39,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\凱基港股分析20251205-機器人概念受資金追捧，港股收漲.pdf,
Other,凱基美股分析20251205-Meta大砍元宇宙預算，標普、那指續漲.pdf,.pdf,1643701,2025-12-05 23:05:41,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\凱基美股分析20251205-Meta大砍元宇宙預算，標普、那指續漲.pdf,
Other,投資早報251209.pdf,.pdf,438919,2025-12-11 17:44:55,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\投資早報251209.pdf,
Other,"晶心科(6533,N,中立)-CTBC251208.pdf",.pdf,1496311,2025-12-11 17:46:03,"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\晶心科(6533,N,中立)-CTBC251208.pdf",
Other,"瑞基(4171,NR_未評等)-CTBC251208.pdf",.pdf,729214,2025-12-11 17:45:48,"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\瑞基(4171,NR_未評等)-CTBC251208.pdf",
Other,第一場 2026年投資大趨勢 - 華南投顧 -1141201.pdf,.pdf,3762097,2025-12-05 23:06:25,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\第一場 2026年投資大趨勢 - 華南投顧 -1141201.pdf,
Other,第三場 AI潮流下展望2026半導體產業趨勢 - 陳子昂.pdf,.pdf,2637379,2025-12-05 23:07:03,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\第三場 AI潮流下展望2026半導體產業趨勢 - 陳子昂.pdf,
Other,第二場 2026海外投資展望 - 華南永昌海外商品部.pdf,.pdf,3426311,2025-12-05 23:06:53,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\第二場 2026海外投資展望 - 華南永昌海外商品部.pdf,
Other,統一投顧-20251209投資早報.pdf,.pdf,1100533,2025-12-11 17:44:59,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\統一投顧-20251209投資早報.pdf,
Other,華南投顧-2606-裕民-1141202.pdf,.pdf,1080042,2025-12-05 23:09:05,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\華南投顧-2606-裕民-1141202.pdf,
Other,華南投顧-2637-慧洋-KY-1141202.pdf,.pdf,1122849,2025-12-05 23:09:24,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\華南投顧-2637-慧洋-KY-1141202.pdf,
Other,華南投顧-2762-世界健身-KY-Memo-20251209.docx,.docx,179533,2025-12-11 17:44:25,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\華南投顧-2762-世界健身-KY-Memo-20251209.docx,
Other,華南投顧-3017-奇鋐-1141202.pdf,.pdf,1048912,2025-12-05 23:09:35,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\華南投顧-3017-奇鋐-1141202.pdf,
Other,華南投顧-3038-全台-Memo-20251209.docx,.docx,318494,2025-12-11 17:44:22,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\華南投顧-3038-全台-Memo-20251209.docx,
Other,華南投顧-3675-德微-Memo-20260518.docx,.docx,197763,2026-05-25 01:02:44,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\華南投顧-3675-德微-Memo-20260518.docx,
Other,華南投顧-4153-鈺緯-Memo-20251208.docx,.docx,318899,2025-12-11 17:45:23,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\華南投顧-4153-鈺緯-Memo-20251208.docx,
Other,華南投顧-6143-振曜-1141128.pdf,.pdf,1032324,2025-12-05 23:10:37,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\華南投顧-6143-振曜-1141128.pdf,
Other,VIA_ACTIVE_ONCE_POINTER.json,.json,1807,2026-06-09 20:09:17,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_active\VIA_ACTIVE_ONCE_POINTER.json,D3889DC7A635DC9617F3E7DFA83771309804F301D6402B2FCDA02F36A9F9CD51
Other,VIA_ACTIVE_POINTER.json,.json,923,2026-06-09 04:03:29,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_active\VIA_ACTIVE_POINTER.json,F7B49DD8D7E07E1DA453780B69F1B78DE00EEE57456150E5CD61F3F82DEE026E
Other,Invoke-VIA-SupportiveDocking-VDFVRN-v02861.ps1,.ps1,53525,2026-06-11 11:20:12,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_oneclick\Invoke-VIA-SupportiveDocking-VDFVRN-v02861.ps1,5D2A1A8C5A69DF972C13C300E418280522923920635FF587D089A2AD0557BF8A
Other,pyvenv.cfg,.cfg,353,2026-06-11 11:11:41,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\.venv\vdf_core\pyvenv.cfg,
Other,pyvenv.cfg,.cfg,353,2026-06-11 11:10:06,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\.venv\via_core\pyvenv.cfg,
Other,Invoke-VAP.ps1,.ps1,1740,2026-06-09 17:26:52,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\Invoke-VAP.ps1,E9AD0010A251B803078AC7E6F11EC00BB8E9EF11F9206E6AFF54B959BBD842C7
VDF,Invoke-VDF-Fetch.ps1,.ps1,2646,2026-06-09 22:03:41,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\Invoke-VDF-Fetch.ps1,C625DA53435FBC27CDE102F634D8BC9BF4BD22DEA728E2B6499F0077305F7364
VDF,Invoke-VDF.ps1,.ps1,2084,2026-06-09 21:55:17,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\Invoke-VDF.ps1,DC72773B64F027CC8699199F3E315586AFB2BF0DEAF7D0B7B3430CF57A3A73FD
VDF,VDF_MDL000_README.md,.md,5606,2026-06-08 20:25:08,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL000_README.md,26C50C22648E9ADC3588473FF4119BFEB94EE8B8A9DA9C8972A89934C6C44288
VDF,VDF_MDL001_TWEquityEngine.py,.py,108742,2026-06-02 18:18:11,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL001_TWEquityEngine.py,F89F2A53F8A5E89B25EB2C701BD26D5D3D3FAB88F2BB63E27D36C848E9C5FA16
VDF,VDF_MDL001_TWUniverseVerify.py,.py,26227,2026-06-02 18:17:12,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL001_TWUniverseVerify.py,67EF6FCE465F43364EBBE4E43B41A54EABF9B3A78B7A20843DD18A92362F1231
VDF,VDF_MDL002_YFinanceFetchingEngine.py,.py,85299,2026-06-08 17:53:57,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL002_YFinanceFetchingEngine.py,E5DBB168E8CCCE8DFCE00CB6BBB485D9B30B72202B39E9F2E832392E27E7D676
VDF,VDF_MDL003_SentimentMacroEngine.py,.py,73800,2026-06-08 17:53:59,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL003_SentimentMacroEngine.py,CB9C413E7C1F6162FA12BE99995170A340F661F9B7BA30F44493956B57A38D14
VDF,VDF_MDL004_TWFullMarketEngine.py,.py,47065,2026-06-08 17:52:53,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL004_TWFullMarketEngine.py,B5748EA4A58344D7223D4D6C815C6B5F5EFDBA4A97CFD81F83C95C0A972F0072
VDF,VDF_MDL005_TWStockFilter.py,.py,45762,2026-06-02 18:17:03,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL005_TWStockFilter.py,49861A44FCF1EF06F21C446F3D49534D8A3B0FA3AB841D6BF4665CDF0BCF2D29
VDF,VDF_MDL006_FinancialModel.py,.py,67390,2026-06-08 17:53:56,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL006_FinancialModel.py,3DA0113E352DEC5CE30176586B876C5C862E2564B209A2E3F900CCFD4974A1A5
VDF,VDF_MDL007_SSOTResolver.py,.py,54262,2026-06-08 17:50:41,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL007_SSOTResolver.py,AF23FD2DB2B9C0BBF8DB1ED0655EB344BE2698ED03203F7F114AEE723ACE158F
VDF,VDF_MDL101_OutputManager.py,.py,14620,2026-06-02 18:16:22,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL101_OutputManager.py,DD77E5EBC763DECAEEBDA87D58051D84A4B32F4EA274656D181A5F1F09A948A9
VDF,VDF_MDL102_FormatUpgrader.py,.py,15595,2026-06-08 20:25:15,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL102_FormatUpgrader.py,5492D891E29378AE9E61FBBADA205C948957797623FB4592B2897754BBDDF0AB
VDF,VDF_MDL103_MasterRegistry.py,.py,38755,2026-06-08 17:53:44,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL103_MasterRegistry.py,0CA82C6C55D6DFDE6C40032A7789E703A3CF5CA5EFC5774A6F3ADF220E74117E
VDF,VDF_MDL104_RegistryLoader.py,.py,18249,2026-06-08 20:33:34,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL104_RegistryLoader.py,5B61190FCA8F77EA18683AC1303D5E5FDD572B740874CC162AEFFEBAD3665239
VDF,VDF_MDL105_CrossValidator.py,.py,19486,2026-06-08 17:53:43,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL105_CrossValidator.py,50EDFF072CDE465CDC1EF06C33AA7C8DBD47E9817A95A543DA48E031CD0EE0CE
VDF,VDF_MDL201_GenerateFullRegistry.py,.py,22332,2026-06-08 17:53:40,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL201_GenerateFullRegistry.py,E84832CB993BE108B7D0CD2C4D92138E4543E95DC4CA4D99D51CC516D46B1782
VDF,VDF_MDL301_SystemTest.py,.py,21501,2026-06-08 17:53:40,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL301_SystemTest.py,0036D630D8806F8B9F5CDFA1085B0AEED68AC6EAC06DEF00AA7C8A9C9A0D5495
VDF,VDF_MDL302_FinalActivation.py,.py,49291,2026-06-08 20:25:15,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL302_FinalActivation.py,6E36B665E0EB518938E2B25A4F3A3174D3389CBDC28919CCC86E6F60723FA27B
VDF,VDF_MDL303_RegistryActivation.py,.py,17116,2026-06-08 20:33:41,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL303_RegistryActivation.py,FE35BCD1B64FE252FCA4C0494605714271799DDCB441042248E0AE555835A939
VDF,VDF_MDL401_RegistrySchema.json,.json,10390,2026-06-08 17:53:30,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL401_RegistrySchema.json,FFFC87E8C61ACE0D75875AFEA598A23495E7E4F67F7A660484FBBCF3D8269CAB
VDF,VDF_MDL402_RegistrySample.json,.json,18582,2026-06-08 17:53:17,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL402_RegistrySample.json,49A5BB5914C0D323D85D0B2DEA8622878282ABB7E7D53192ACE19D48C6B3EC10
VDF,VDF_MDL403_RegistryFull.json,.json,198561,2026-06-08 17:53:17,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL403_RegistryFull.json,BD1A251FF4A8940E038EB504487AC0EC526C5C87F066D47C4C0EA0B269E82B7B
VDF,VDF_MDL501_DataModuleController.html,.html,46875,2026-06-08 17:53:09,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL501_DataModuleController.html,7FD4D0599171848E3BB7616EC3E4CB42BE6A03AD5AD07D41CEF647ED08DB53EB
VRN,VRN_MDL001_Converter.py,.py,42780,2026-05-05 05:27:50,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VRN\VRN_MDL001_Converter.py,F09DC35C41B9BB0D01CB4ED189C15C9B5CB0E4FB3A6171C3BF889822AB2E87B2
VRN,VRN_MDL002_LayoutExtractor.py,.py,49783,2026-05-05 05:27:51,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VRN\VRN_MDL002_LayoutExtractor.py,9A9C8E51641B4ABEE7B7F58986D88BFFEB5CC0AF9B37603A49EC4CEEF2C662E4
VRN,VRN_MDL003_TableRestorer.py,.py,52317,2026-05-05 05:27:52,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VRN\VRN_MDL003_TableRestorer.py,E4A8560F6A417A7B8CCF9F793D37B06FC9BB814572C8E81AEE1ACEE0AE1ED14D
VRN,VRN_MDL004_OCR_FetchingPDFTable_v1.py,.py,95829,2026-05-05 14:48:40,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VRN\VRN_MDL004_OCR_FetchingPDFTable_v1.py,B35E669373FCB014838EE4A6AD2F0740C02225067771E1068E079B5514C3DECA
VRN,VRN_MDL005_OCRFetchingPDFText_v1.py,.py,81748,2026-05-05 05:27:47,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VRN\VRN_MDL005_OCRFetchingPDFText_v1.py,E423837C4C09514763BEDC8C490F4CA198A252402F2A998EDF34ABD63F27E8E3
VRN,VRN_MDL006_ConsolidatorAndPhaseValidator.py,.py,37354,2026-05-05 05:27:46,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VRN\VRN_MDL006_ConsolidatorAndPhaseValidator.py,D77D222218EDE13F28343DEC5AF47E77739ADF5A9C90F8D200CC875FA6CE7420
VRN,VRN_MDL007_APIDataFetcher.py,.py,38493,2026-05-05 05:27:45,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VRN\VRN_MDL007_APIDataFetcher.py,0A9BDD0A595493F8D55E965E61DFF3858CCD849F61E56BDCAE08487886886A1C
VRN,VRN_MDL008_CrossValidator.py,.py,42984,2026-05-05 05:27:44,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VRN\VRN_MDL008_CrossValidator.py,49030BFB4C48E42DA1E7C52415DB1F021675BEAC5E0F04F477142F6B8388B543
Supportive,VIA_RuntimeImportFirewall.py,.py,9658,2026-05-26 16:35:45,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\10_Core_Runtime\VIA_RuntimeImportFirewall.py,44E6514C7D2B242208611A36E9D725E2AD27A0BC05F16D731DED8F95A2A80900
Supportive,VIA_RuntimeImportFirewall.py.freeze.lock.json,.json,1063,2026-06-08 20:10:15,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\10_Core_Runtime\VIA_RuntimeImportFirewall.py.freeze.lock.json,7167308BBF556A824EE4F233EBC7A85477EA08CEEE3B33B3C16DE3CDDF058DD9
Supportive,VIA_Runtime_Bridge_All_in_One.py,.py,29537,2026-05-26 16:47:58,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\10_Core_Runtime\VIA_Runtime_Bridge_All_in_One.py,B5BDD7A1F29DF1325C2E2D9C26A62E7F287F05951AD27EF907AB7E6CB43E442F
