"def_priority","def_gate_type","def_accept_status","def_user_accept","def_suggested_action","def_owner_engine","def_domain_family","def_normalized_key","def_distinct_values","def_selected_canonical_value","def_suggested_canonical_value","def_reject_reason","def_secret_risk","def_suggestion_note","def_next_allowed_phase","def_sample_values_masked"
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","MASK_SECRET_AND_DEFER","VDF","DATA_SOURCE_CONTRACT","HardGate","10","","USE_ENV_VAR_OR_SECRET_STORE; DO_NOT_PRINT_VALUE","","True","Potential secret/API key appears in sample values. Rotate key if real; do not propagate into canonical registry.","v0114_only_after_MANUAL_YES","""TWSE v018 manifest exists; rows >= 2460; CSV/JSON/Parquet/DuckDB exist."" || ""Do not execute all 20 paths. Select one quote/list endpoint first."" || ""First safe table = VDF_TW_MonthlyRevenue."" || ""MonthlyRevenue seal must exist first."" || ""FRED_API_KEY exists; package env ready."" || ""Capability probe seal must exist first."""
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","MASK_SECRET_AND_DEFER","VRN/VDF","SCHEMA_FIELD_CONTRACT","schema_csv","9","","USE_ENV_VAR_OR_SECRET_STORE; DO_NOT_PRINT_VALUE","","True","Potential secret/API key appears in sample values. Rotate key if real; do not propagate into canonical registry.","v0114_only_after_MANUAL_YES","""C:\\Users\\tonyk\\OneDrive\\VeritasIntelligenceAnalytics\\module\\VRN\\output\\_route_lock_runs\\***MASKED_LONG_TOKEN***\\VRN_v141A_Consumer_Loader_... || OUT_SCHEMA_CSV || str(run_dir / ""vrn_post_commit_schema_v0615721.csv"") || ""C:\\Users\\tonyk\\OneDrive\\VeritasIntelligenceAnalytics\\module\\VRN\\output\\_route_lock_runs\\***MASKED_LONG_TOKEN***\\VRN_v140L_Table_Sc... || ""C:\\Users\\tonyk\\OneDrive\\VeritasIntelligenceAnalytics\\module\\VRN\\_vrn_operation_ui_runs\\***MASKED_LONG_TOKEN***\\vrn_post_commit_schema_v06... || ""C:\\Users\\tonyk\\OneDrive\\VeritasIntelligenceAnalytics\\module\\VRN\\output\\_route_lock_runs\\***MASKED_LONG_TOKEN***\\VRN_v140H_Production_Tab..."
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","ACCEPT_GROUP_POLICY_AFTER_REVIEW","VDF","MARKET_TICKER_IDENTITY","TW_YFINANCE_REGEX","9","","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","","False","Accept as policy group, not each observed sample value.","v0114_only_after_MANUAL_YES","TW_YFINANCE_REGEX  = r""[1-9]\d{3}\.(TW|TWO)"" || TW_YFINANCE_REGEX   = XXXX.TW / XXXX.TWO format || TW_YFINANCE_REGEX  = r""^([1-9]\d{3})\.(TW|TWO)$"" || TW_YFINANCE_REGEX  = re.compile(r""\b[1-9]\d{3}\.(TW|TWO)\b"") || TW_YFINANCE_REGEX   = r""([1-9]\d{3})\.(TW|TWO)"" || TW_YFINANCE_REGEX  = r""([1-9]\d{3})\.(TW|TWO)"""
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","ACCEPT_PROVIDER_CONTRACT_AFTER_REVIEW","VDF","DATA_SOURCE_CONTRACT","akshare","9","","PROVIDER_REGISTRY_ONLY; API_KEYS_FROM_ENV; FALLBACK_EXPLICIT","","False","Accept only provider contract and env-key policy. Do not accept raw credentials.","v0114_only_after_MANUAL_YES","{ || {""enabled"": True,  ""timeout_sec"": 45, ""retries"": 3} || true || [ || False || akshare = None"
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","ACCEPT_GROUP_POLICY_AFTER_REVIEW","VDF","MARKET_TICKER_IDENTITY","TW_TICKER_REGEX","9","","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","","False","Accept as policy group, not each observed sample value.","v0114_only_after_MANUAL_YES","""(?<!\\d)([1-9]\\d{3})(?!\\d)"" || TW_TICKER_REGEX    = r""(?!202\d|2030)[1-9]\d{3}"" || TW_TICKER_REGEX = re.compile(r""^(?!202[1-9])(?!2030)[1-9]\d{3}$"") || TW_TICKER_REGEX     = r""(?!0)(?!202[1-9])(?!2030)([1-9]\d{3})"" || TW_TICKER_REGEX    = r""(?!0)(?!202[1-9])(?!2030)([1-9]\d{3})"" || TW_TICKER_REGEX    = re.compile(r""^(?!202[1-9])(?!2030)[1-9]\d{3}$"")"
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","ACCEPT_GROUP_POLICY_AFTER_REVIEW","VDF","MARKET_TICKER_IDENTITY","RequiredFields","9","","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","","False","Accept as policy group, not each observed sample value.","v0114_only_after_MANUAL_YES","""ticker,name,market"" || ""ticker,name"" || ""ticker,date,close,volume"" || ""ticker,yyyymm,revenue"" || ""ticker,period"" || ""ticker,date"""
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","ACCEPT_SCHEMA_OWNER_AFTER_REVIEW","VRN/VDF","SCHEMA_FIELD_CONTRACT","changed_units","9","","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","","False","Accept schema ownership, not every conflicting field value.","v0114_only_after_MANUAL_YES","0 || 57 || 70 || 91 || 82 || 113"
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","ACCEPT_SCHEMA_OWNER_AFTER_REVIEW","VRN/VDF","SCHEMA_FIELD_CONTRACT","unit_x","8","","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","","False","Accept schema ownership, not every conflicting field value.","v0114_only_after_MANUAL_YES","66 || 104 || 61 || 118 || 60 || 109"
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","ACCEPT_SCHEMA_OWNER_AFTER_REVIEW","VRN/VDF","SCHEMA_FIELD_CONTRACT","target_field","8","","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","","False","Accept schema ownership, not every conflicting field value.","v0114_only_after_MANUAL_YES","""AI_PRJ"" || ""AI_PROC"" || ""AI_MAT"" || ""AI_ORG"" || ""AI_COST"" || ""AI_BGT"""
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","MASK_SECRET_AND_DEFER","VDF","DATA_SOURCE_CONTRACT","mixing_policy","8","","USE_ENV_VAR_OR_SECRET_STORE; DO_NOT_PRINT_VALUE","","True","Potential secret/API key appears in sample values. Rotate key if real; do not propagate into canonical registry.","v0114_only_after_MANUAL_YES","""official_source_only_when_row.other_source == not_allowed"" || ""allowed_only_when_registry_row.source includes MOPS"" || ""***MASKED_LONG_TOKEN***"" || ""allowed_only_when fallback_allowed == true"" || ""allowed_only_for_macro/rates/long_series or fallback_allowed == true"" || ""not primary unless explicitly allowed by historical_validation_policy"""
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","ACCEPT_POLICY_OWNER_AFTER_REVIEW","VIA","GOVERNANCE_POLICY","calendar_policy","8","","VIA_GOVERNANCE_POLICY_REGISTRY","","False","Policy should remain registry-owned; no auto merge.","v0114_only_after_MANUAL_YES","calendar_policy = ""NO_CALENDAR_ALIGNMENT"" || calendar_policy = ""TW_TRADING_DAY"" || calendar_policy = ""US_TRADING_DAY_SHIFTED_TO_TW_VIEW"" || calendar_policy = ""MACRO_CALENDAR_FORWARD_FILL"" || calendar_policy || r.get(""calendar_policy"", ""NO_CALENDAR_ALIGNMENT"")"
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","ACCEPT_POLICY_OWNER_AFTER_REVIEW","VIA","GOVERNANCE_POLICY","fill_policy","7","","VIA_GOVERNANCE_POLICY_REGISTRY","","False","Policy should remain registry-owned; no auto merge.","v0114_only_after_MANUAL_YES","fill_policy = ""NO_FILL"" || fill_policy = ""FORWARD_FILL_ALLOWED_FOR_MACRO_ONLY"" || fill_policy = ""FORWARD_FILL_ALLOWED"" || fill_policy || r.get(""fill_policy"", ""NO_FILL"") || ""FORWARD_FILL_ALLOWED_FOR_MACRO_ONLY"""
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","ACCEPT_GROUP_POLICY_AFTER_REVIEW","VDF","MARKET_TICKER_IDENTITY","left_ticker","7","","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","","False","Accept as policy group, not each observed sample value.","v0114_only_after_MANUAL_YES","left || ""2330.TW"" || ""2317.TW"" || ""2454.TW"" || ""NVDA"" || ""SPY"""
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","ACCEPT_PROVIDER_CONTRACT_AFTER_REVIEW","VDF","DATA_SOURCE_CONTRACT","alignment_policy","7","","PROVIDER_REGISTRY_ONLY; API_KEYS_FROM_ENV; FALLBACK_EXPLICIT","","False","Accept only provider contract and env-key policy. Do not accept raw credentials.","v0114_only_after_MANUAL_YES","alignment_policy = ""TW_TRADING_DATE"" || alignment_policy = ""US_TO_TAIPEI_SHIFT_PLUS_1"" || alignment_policy = ""SOURCE_AS_IS"" || alignment_policy || ""TW_TRADING_DATE"" || ""US_TO_TAIPEI_SHIFT_PLUS_1"""
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","ACCEPT_GROUP_POLICY_AFTER_REVIEW","VDF","MARKET_TICKER_IDENTITY","addFields","7","","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","","False","Accept as policy group, not each observed sample value.","v0114_only_after_MANUAL_YES","[{k:'code',ph:'2330'},{k:'name',ph:'台積電'},{k:'market',ph:'TWSE'},{k:'sector',ph:'半導體'}] || [{k:'ticker',ph:'^GSPC'},{k:'name',ph:'S&P 500'},{k:'group',ph:'INDICES_US'},{k:'asset_class',ph:'INDEX'}] || [{k:'via_code',ph:'US.Custom.Foo'},{k:'fred_id',ph:'FRED_ID'},{k:'indicator',ph:'指標名'},{k:'theme',ph:'Rates'},{k:'freq',ph:'D'}] || [{k:'code',ph:'cn_custom'},{k:'name',ph:'自訂'},{k:'theme',ph:'Futures'},{k:'sub_theme',ph:'?'},{k:'func',ph:'futures_main_sina'}] || [] || [{k:'ticker',ph:'2330 or NVDA'},{k:'name',ph:'名稱'},{k:'market',ph:'TWSE/TPEX/US'},{k:'role',ph:'用途'}]"
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","ACCEPT_GROUP_POLICY_AFTER_REVIEW","VDF","MARKET_TICKER_IDENTITY","right_ticker","7","","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","","False","Accept as policy group, not each observed sample value.","v0114_only_after_MANUAL_YES","right || ""2317.TW"" || ""2454.TW"" || ""NVDA"" || ""SPY"" || ""^TWII"""
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","ACCEPT_SCHEMA_OWNER_AFTER_REVIEW","VRN/VDF","SCHEMA_FIELD_CONTRACT","schemas","6","","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","","False","Accept schema ownership, not every conflicting field value.","v0114_only_after_MANUAL_YES","s.get(""schemas"", """") || 45 || """" || int(v4_summary.get(""schemas"", next((x.get(""rows"", 0) for x in tables if x.get(""table"") == ""schema_intelligence_registry""), 0))) || int(v4_summary.get(""schemas"", table_map.get(""schema_intelligence_registry"", 0))) || int(len(schema_df))"
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","ACCEPT_GROUP_POLICY_AFTER_REVIEW","VDF","MARKET_TICKER_IDENTITY","EXTRA_TICKERS","6","","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","","False","Accept as policy group, not each observed sample value.","v0114_only_after_MANUAL_YES","EXTRA_TICKERS      = [""""NVDA"""", """"TSM"""", """"AAPL""""]          # 額外加入的海外股 || EXTRA_TICKERS      = [""""NVDA"""", """"TSM"""", """"AAPL""""] || EXTRA_TICKERS      = [&quot;NVDA&quot;, &quot;TSM&quot;, &quot;AAPL&quot;]          # 額外加入的海外股 || EXTRA_TICKERS      = [&quot;NVDA&quot;, &quot;TSM&quot;, &quot;AAPL&quot;] || EXTRA_TICKERS      = [""NVDA"", ""TSM"", ""AAPL""]          # 額外加入的海外股 || EXTRA_TICKERS      = [""NVDA"", ""TSM"", ""AAPL""]"
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","ACCEPT_POLICY_OWNER_AFTER_REVIEW","VIA","GOVERNANCE_POLICY","weekend_holiday_policy","6","","VIA_GOVERNANCE_POLICY_REGISTRY","","False","Policy should remain registry-owned; no auto merge.","v0114_only_after_MANUAL_YES","""strict"" if ""Crypto"" in theme else ""forward_fill""} || ""skip""} || { || ""forward_fill"" || ""skip"" || ""strict"""
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","ACCEPT_SCHEMA_OWNER_AFTER_REVIEW","VRN/VDF","SCHEMA_FIELD_CONTRACT","unit_twd","6","","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","","False","Accept schema ownership, not every conflicting field value.","v0114_only_after_MANUAL_YES","42 || 47 || 41 || 46 || 33 || 31"
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","MASK_SECRET_AND_DEFER","VDF","DATA_SOURCE_CONTRACT","fred_api_key_exists","5","","USE_ENV_VAR_OR_SECRET_STORE; DO_NOT_PRINT_VALUE","","True","Potential secret/API key appears in sample values. Rotate key if real; do not propagate into canonical registry.","v0114_only_after_MANUAL_YES","true || fred_key_exists || result[""fred_api_key_exists""] || bool(os.environ.get(""FRED_API_KEY"")) || any(bool(os.environ.get(k, """").strip()) for k in fred_keys)"
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","ACCEPT_PROVIDER_CONTRACT_AFTER_REVIEW","VDF","DATA_SOURCE_CONTRACT","merge_policy_gate","5","","PROVIDER_REGISTRY_ONLY; API_KEYS_FROM_ENV; FALLBACK_EXPLICIT","","False","Accept only provider contract and env-key policy. Do not accept raw credentials.","v0114_only_after_MANUAL_YES","""***MASKED_LONG_TOKEN***; allowed=False; next=v027.7 AkShare canonical mapping gate only; no DB write"" || { || {} || merge_policy_gate = { || result[""merge_policy_gate""]"
