"def_priority","def_normalized_key","def_owner_engine","def_domain_family","def_action","def_user_accept","def_sample_values_masked"
"SECRET_REVIEW","VRN_TickerRegexSSOT","VDF","MARKET_TICKER_IDENTITY","MASKED_IN_v0113A_OUTPUT; ROTATE_IF_REAL; USE_ENV_OR_SECRET_STORE","","""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VRN\\SSOT\\_runs\\***MASKED_LONG_TOKEN***\\parquet\\VRN_TickerRegexSSOT_v029SSOT1B.par... || ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VRN\\SSOT\\_runs\\***MASKED_LONG_TOKEN***\\json\\VRN_TickerRegexSSOT_v029SSOT1B.json"" || ticker_regex"
"SECRET_REVIEW","schema_run","VRN/VDF","SCHEMA_FIELD_CONTRACT","MASKED_IN_v0113A_OUTPUT; ROTATE_IF_REAL; USE_ENV_OR_SECRET_STORE","","schema_run = def_find_latest_dir(run_root, [""***MASKED_LONG_TOKEN***""]) || ""C:\\Users\\tonyk\\OneDrive\\VeritasIntelligenceAnalytics\\module\\VRN\\_vrn_operation_ui_runs\\***MASKED_LONG_TOKEN***"" || str(schema_run) if schema_run else """""
"SECRET_REVIEW","missing_yfinance_csv","VDF","MARKET_TICKER_IDENTITY","MASKED_IN_v0113A_OUTPUT; ROTATE_IF_REAL; USE_ENV_OR_SECRET_STORE","","""C:\\Users\\tonyk\\OneDrive\\VeritasIntelligenceAnalytics\\module\\VRN\\output\\_route_lock_runs\\***MASKED_LONG_TOKEN***\\CleanConsensus_Missing_YFin... || ""C:\\Users\\tonyk\\OneDrive\\VeritasIntelligenceAnalytics\\module\\VRN\\output\\_route_lock_runs\\***MASKED_LONG_TOKEN***\\LocalConsensus_Missing_YFi... || ""C:\\Users\\tonyk\\OneDrive\\VeritasIntelligenceAnalytics\\module\\VRN\\output\\_route_lock_runs\\***MASKED_LONG_TOKEN***\\BasicInfo_Missing_YFina..."
"SECRET_REVIEW","schema_audit_csv","VDF","DATA_SOURCE_CONTRACT","MASKED_IN_v0113A_OUTPUT; ROTATE_IF_REAL; USE_ENV_OR_SECRET_STORE","","""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\***MASKED_LONG_TOKEN***\\registry\\VDF_AkShare_v0279_SchemaAudi... || schema_audit_csv = Path(r""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\***MASKED_LONG_TOKEN***\\registry\\VDF... || str(schema_audit_csv)"
"SECRET_REVIEW","OUT_SCHEMA_CSV","VRN/VDF","SCHEMA_FIELD_CONTRACT","MASKED_IN_v0113A_OUTPUT; ROTATE_IF_REAL; USE_ENV_OR_SECRET_STORE","","OUT_SCHEMA_CSV = r""C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\***MASKED_LONG_TOKEN***\VRN_v141A_Consumer... || OUT_SCHEMA_CSV = r""C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_staging\***MASKED_LONG_TOKEN***\BasicInfo_Consensus_Schema..."
"SECRET_REVIEW","yfinance_matrix_csv","VDF","MARKET_TICKER_IDENTITY","MASKED_IN_v0113A_OUTPUT; ROTATE_IF_REAL; USE_ENV_OR_SECRET_STORE","","""C:\\Users\\tonyk\\OneDrive\\VeritasIntelligenceAnalytics\\module\\VRN\\_vrn_operation_ui_runs\\***MASKED_LONG_TOKEN***\\vrn_v06147_yfinance_re... || str(yf_csv)"
"SECRET_REVIEW","fred_akshare_capability_seal","VDF","DATA_SOURCE_CONTRACT","MASKED_IN_v0113A_OUTPUT; ROTATE_IF_REAL; USE_ENV_OR_SECRET_STORE","","""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_freeze\\***MASKED_LONG_TOKEN***\\seal\\VDF_FRED_AKSHARE_CAPABILITY_SEAL_v0241... || {"
"SECRET_REVIEW","_vdf_v02784_policy","VDF","GOVERNANCE_POLICY","MASKED_IN_v0113A_OUTPUT; ROTATE_IF_REAL; USE_ENV_OR_SECRET_STORE","","""PRESERVED_VALID_ROW_NO_MUTATION"" || ""***MASKED_LONG_TOKEN***"""
"SECRET_REVIEW","FRED_API_KEY","VDF","DATA_SOURCE_CONTRACT","MASKED_IN_v0113A_OUTPUT; ROTATE_IF_REAL; USE_ENV_OR_SECRET_STORE","","""ENV:FRED_API_KEY"" || FRED_API_KEY = ""***MASKED_SECRET***""   # 使用者提供"
"SECRET_REVIEW","fred_api_key_env","VDF","DATA_SOURCE_CONTRACT","MASKED_IN_v0113A_OUTPUT; ROTATE_IF_REAL; USE_ENV_OR_SECRET_STORE","","""FRED_API_KEY"" || {"
"SECRET_REVIEW","source_policy","VDF","MARKET_TICKER_IDENTITY","MASKED_IN_v0113A_OUTPUT; ROTATE_IF_REAL; USE_ENV_OR_SECRET_STORE","","""***MASKED_LONG_TOKEN***"" || ""***MASKED_LONG_TOKEN***"""
"SECRET_REVIEW","schema_compare_csv","VRN/VDF","SCHEMA_FIELD_CONTRACT","MASKED_IN_v0113A_OUTPUT; ROTATE_IF_REAL; USE_ENV_OR_SECRET_STORE","","str(run_dir / ""vrn_post_commit_schema_compare_v0615721.csv"") || ""C:\\Users\\tonyk\\OneDrive\\VeritasIntelligenceAnalytics\\module\\VRN\\_vrn_operation_ui_runs\\***MASKED_LONG_TOKEN***\\vrn_post_commit_schema_com..."
"SECRET_REVIEW","schema_gate_json","VDF","DATA_SOURCE_CONTRACT","MASKED_IN_v0113A_OUTPUT; ROTATE_IF_REAL; USE_ENV_OR_SECRET_STORE","","""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\***MASKED_LONG_TOKEN***\\registry\\VDF_AkShare_Sc... || schema_gate_json = Path(r""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\***MASKED_LONG_TOKEN***\..."
"SECRET_REVIEW","schema_map","VDF","DATA_SOURCE_CONTRACT","MASKED_IN_v0113A_OUTPUT; ROTATE_IF_REAL; USE_ENV_OR_SECRET_STORE","","""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\***MASKED_LONG_TOKEN***\\registry\\VDF_FredAkshare_SmallScope_Sc... || ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\***MASKED_LONG_TOKEN***\\registry\\VDF_FredAkshare_SmallScope_Sc..."
