code,id,group,zh,en,axes,axisMode,axisContract,dataShape,fields,rule,renderer,engines,templateGovernance,sourceEvidence
VAP-CH-11,dline,雙軸 Dual-Axis,底色面積 × 對比折線,Area × Line,2,DUAL_LOCKED,4_INTERVALS_5_TICKS_EACH_SIDE,series×2,date|left|right,底色序列置右軸 α0.75；折線置左軸 lw1,make_subplots(secondary_y),VAP SVG|Plotly 2.35.0,APPEND_ONLY_VERSION_ARCHIVE_RESTORE,VAP_Workbench_v015|Chart_Library_Builder_28
VAP-CH-12,dbarline,雙軸 Dual-Axis,條 + 線 雙軸,Bar × Line,2,DUAL_LOCKED,4_INTERVALS_5_TICKS_EACH_SIDE,mixed,date|bar|line,Bar 使用 92% 格寬／8% 可見間距；Bar 與 Line 使用互補色且左右軸同格數,go.Bar + go.Scatter,VAP SVG|Plotly 2.35.0,APPEND_ONLY_VERSION_ARCHIVE_RESTORE,VAP_Workbench_v015|Chart_Library_Builder_28
VAP-CH-13,evtmx,進階 Advanced,事件矩陣,Event Matrix,1,SINGLE,4_INTERVALS_5_TICKS_SINGLE,series+events,date|value|events[],垂直虛線 0.8／0.8；陰影 0.3；無水平線,add_vline + add_vrect,VAP SVG|Plotly 2.35.0,APPEND_ONLY_VERSION_ARCHIVE_RESTORE,VAP_Workbench_v015|Chart_Library_Builder_28
VAP-CH-14,corrheat,進階 Advanced,相關熱力圖,Masked Corr,0,NONE,NOT_APPLICABLE,matrix,corr,下三角遮罩；zmid 0；15 級雙向色階,go.Heatmap,VAP SVG|Plotly 2.35.0,APPEND_ONLY_VERSION_ARCHIVE_RESTORE,VAP_Workbench_v015|Chart_Library_Builder_28
VAP-CH-15,brush,進階 Advanced,區間量測,Brush Measure,1,SINGLE,4_INTERVALS_5_TICKS_SINGLE,series,date|value,High／Low／MaxDD／Duration／Recovery,drag select,VAP SVG|Plotly 2.35.0,APPEND_ONLY_VERSION_ARCHIVE_RESTORE,VAP_Workbench_v015|Chart_Library_Builder_28
VAP-CH-16,map,進階 Advanced,地圖 × 數據,Map,0,NONE,NOT_APPLICABLE,geo,region|value|change,漲跌以上下三角標示；圓形旗標,Leaflet / scattergeo,VAP SVG|Plotly 2.35.0,APPEND_ONLY_VERSION_ARCHIVE_RESTORE,VAP_Workbench_v015|Chart_Library_Builder_28
VAP-CH-17,roll,滾動績效 Rolling Performance,滾動報酬,Rolling Returns,1,SINGLE,4_INTERVALS_5_TICKS_SINGLE,series,date|return,固定窗口並標示年化方法,rolling return,VAP SVG|Plotly 2.35.0,APPEND_ONLY_VERSION_ARCHIVE_RESTORE,VAP_Workbench_v015|Chart_Library_Builder_28
VAP-CH-18,rollcorr,滾動績效 Rolling Performance,滾動相關,Rolling Correlation,1,SINGLE,4_INTERVALS_5_TICKS_SINGLE,series×2,date|a|b,相關軸固定 −1～1；台美採 lead-lag,rolling correlation,VAP SVG|Plotly 2.35.0,APPEND_ONLY_VERSION_ARCHIVE_RESTORE,VAP_Workbench_v015|Chart_Library_Builder_28
VAP-CH-19,rollsharpe,滾動績效 Rolling Performance,移動夏普,Trailing Sharpe,1,SINGLE,4_INTERVALS_5_TICKS_SINGLE,series,date|sharpe,無風險利率與年化頻率必須標示,rolling sharpe,VAP SVG|Plotly 2.35.0,APPEND_ONLY_VERSION_ARCHIVE_RESTORE,VAP_Workbench_v015|Chart_Library_Builder_28
VAP-CH-20,sortino,滾動績效 Rolling Performance,Sharpe × Sortino 比較,Sharpe × Sortino,2,DUAL_LOCKED,4_INTERVALS_5_TICKS_EACH_SIDE,series×2,date|sharpe|sortino,左 Sharpe、右 Sortino、相同格數,secondary_y lines,VAP SVG|Plotly 2.35.0,APPEND_ONLY_VERSION_ARCHIVE_RESTORE,VAP_Workbench_v015|Chart_Library_Builder_28
VAP-CH-21,radar,滾動績效 Rolling Performance,風險雷達,Risk Radar,0,NONE,NOT_APPLICABLE,radial,metric|value|benchmark,基準為外圈虛線；填色 α0.3,go.Scatterpolar,VAP SVG|Plotly 2.35.0,APPEND_ONLY_VERSION_ARCHIVE_RESTORE,VAP_Workbench_v015|Chart_Library_Builder_28
VAP-CH-22,alpha,滾動績效 Rolling Performance,Alpha 策略,Alpha Strategy,2,DUAL_LOCKED,4_INTERVALS_5_TICKS_EACH_SIDE,series×3,date|strategy|benchmark|excess,累積績效左軸；超額報酬右軸直條（漲紅跌綠）；0 軸紅線,lines + excess bars,VAP SVG|Plotly 2.35.0,APPEND_ONLY_VERSION_ARCHIVE_RESTORE,VAP_Workbench_v015|Chart_Library_Builder_28
VAP-CH-23,econcal,滾動績效 Rolling Performance,經濟日曆,Economic Calendar,0,NONE,NOT_APPLICABLE,events,date|event|importance|actual|forecast|previous,重要度紅黃綠三階；Actual／Forecast／Previous 並列,calendar table,VAP SVG|Plotly 2.35.0,APPEND_ONLY_VERSION_ARCHIVE_RESTORE,VAP_Workbench_v015|Chart_Library_Builder_28
VAP-CH-24,consensus,基本面 Consensus,共識總覽,Consensus Overview,1,SINGLE,4_INTERVALS_5_TICKS_SINGLE,table,dilutedEPS|targetPrice|rating|analystCount|forwardPER|forwardPBR,綠黃紅 Spectrum；目標價取左右最長,indicator + bullet,VAP SVG|Plotly 2.35.0,APPEND_ONLY_VERSION_ARCHIVE_RESTORE,VAP_Workbench_v015|Chart_Library_Builder_28
VAP-CH-25,backtest,滾動績效 Rolling Performance,回測驗證,Backtest Validation,2,DUAL_LOCKED,4_INTERVALS_5_TICKS_EACH_SIDE,matrix+series,lag|rankIC|tStat|pValue,Rank-IC 直條＋t 統計折線；|t|=1.96 基準線,bar + line + hline,VAP SVG|Plotly 2.35.0,APPEND_ONLY_VERSION_ARCHIVE_RESTORE,VAP_Workbench_v015|Chart_Library_Builder_28
VAP-CH-26,intraday,技術分析 Technical,當日走勢 + 成交量,Intraday + Volume,2,DUAL_LOCKED,4_INTERVALS_5_TICKS_EACH_SIDE,ohlcv,time|price|volume,上下兩列 .72／.28；shared_xaxes,make_subplots rows=2,VAP SVG|Plotly 2.35.0,APPEND_ONLY_VERSION_ARCHIVE_RESTORE,VAP_Workbench_v015|Chart_Library_Builder_28
VAP-CH-27,candle,技術分析 Technical,K線 × SMA/EMA/BB × Volume,Candlestick TA,2,DUAL_LOCKED,4_INTERVALS_5_TICKS_EACH_SIDE,ohlcv,date|open|high|low|close|volume,close ≥ open：K棒、影線、Volume 全部使用上漲紅 #c96b5a；close < open：全部使用下跌綠 #5a9e6f；ADJ Price；Split-adjusted Volume,go.Candlestick + indicators,VAP SVG|Plotly 2.35.0,APPEND_ONLY_VERSION_ARCHIVE_RESTORE,VAP_Workbench_v015|Chart_Library_Builder_28
VAP-CH-28,spotfut,技術分析 Technical,現貨 × 期貨,Spot × Futures,1,SINGLE,4_INTERVALS_5_TICKS_SINGLE,series[],date|spot|futures,同色：現貨實線、期貨虛線；基差標籤 ≥9px,normalized lines,VAP SVG|Plotly 2.35.0,APPEND_ONLY_VERSION_ARCHIVE_RESTORE,VAP_Workbench_v015|Chart_Library_Builder_28
VAP-CH-29,hist,統計分布 Statistical,直方圖,Histogram,1,SINGLE,4_INTERVALS_5_TICKS_SINGLE,distribution,value,Freedman-Diaconis 或 10 組自動分箱；Bar 間距保留 8%,Plotly Histogram · VAP Seaborn SVG,VAP SVG|Plotly 2.35.0|Seaborn 0.13.2 visual grammar,APPEND_ONLY_VERSION_ARCHIVE_RESTORE,VAP_Workbench_v015|STATISTICAL_EXTENSION_v011_TO_v015
VAP-CH-30,box,統計分布 Statistical,箱型圖,Box Plot,1,SINGLE,4_INTERVALS_5_TICKS_SINGLE,distribution[],value|group?,顯示 Q1、Median、Q3、Whisker 與 Outlier；禁止截斷離群值,Plotly Box · VAP Seaborn SVG,VAP SVG|Plotly 2.35.0|Seaborn 0.13.2 visual grammar,APPEND_ONLY_VERSION_ARCHIVE_RESTORE,VAP_Workbench_v015|STATISTICAL_EXTENSION_v011_TO_v015
VAP-CH-31,violin,統計分布 Statistical,小提琴圖,Violin,1,SINGLE,4_INTERVALS_5_TICKS_SINGLE,distribution[],value|group?,KDE 對稱寬度；內嵌 Median 與 IQR；填色 Opacity 0.5,Plotly Violin · VAP Seaborn SVG,VAP SVG|Plotly 2.35.0|Seaborn 0.13.2 visual grammar,APPEND_ONLY_VERSION_ARCHIVE_RESTORE,VAP_Workbench_v015|STATISTICAL_EXTENSION_v011_TO_v015
VAP-CH-32,kde,統計分布 Statistical,核密度分布,KDE Distribution,1,SINGLE,4_INTERVALS_5_TICKS_SINGLE,distribution[],value|group?,Gaussian KDE；Bandwidth 來源必須可追溯；面積正規化為 1,Plotly Scatter fill · VAP Seaborn SVG,VAP SVG|Plotly 2.35.0|Seaborn 0.13.2 visual grammar,APPEND_ONLY_VERSION_ARCHIVE_RESTORE,VAP_Workbench_v015|STATISTICAL_EXTENSION_v011_TO_v015
VAP-CH-33,reg,統計分布 Statistical,迴歸散點圖,Regression Plot,1,SINGLE,4_INTERVALS_5_TICKS_SINGLE,xy,x|y,Scatter 加 OLS 迴歸線；顯示 n、slope、R²；不可暗示因果,Plotly Scatter · VAP Seaborn SVG,VAP SVG|Plotly 2.35.0|Seaborn 0.13.2 visual grammar,APPEND_ONLY_VERSION_ARCHIVE_RESTORE,VAP_Workbench_v015|STATISTICAL_EXTENSION_v011_TO_v015
VAP-CH-34,density,統計分布 Statistical,雙變量密度圖,Density Contour,2,DUAL_LOCKED,4_INTERVALS_5_TICKS_EACH_SIDE,xy,x|y,2D density contour 加低透明散點；色階使用核准 Seaborn 單向色階,Plotly Histogram2dContour · VAP Seaborn SVG,VAP SVG|Plotly 2.35.0|Seaborn 0.13.2 visual grammar,APPEND_ONLY_VERSION_ARCHIVE_RESTORE,VAP_Workbench_v015|STATISTICAL_EXTENSION_v011_TO_v015
VAP-CH-35,pairgrid,統計分布 Statistical,配對關係矩陣,Pair Grid,0,NONE,NOT_APPLICABLE,numeric[],numeric≥3,對角線顯示分布；下三角顯示散點；上三角顯示相關係數,Plotly Splom · VAP Seaborn SVG,VAP SVG|Plotly 2.35.0|Seaborn 0.13.2 visual grammar,APPEND_ONLY_VERSION_ARCHIVE_RESTORE,VAP_Workbench_v015|STATISTICAL_EXTENSION_v011_TO_v015
VAP-CH-36,facet,統計分布 Statistical,分面網格,Facet Grid,1,SINGLE,4_INTERVALS_5_TICKS_SINGLE,series[]+facet,x|y|facet,所有面板共用色盤與尺度規約；預設 2×2；標題不得重疊；row／col／hue 語意需同步,Plotly Subplots · VAP Seaborn SVG,VAP SVG|Plotly 2.35.0|Seaborn 0.13.2 visual grammar,APPEND_ONLY_VERSION_ARCHIVE_RESTORE,VAP_Workbench_v015|STATISTICAL_EXTENSION_v011_TO_v015
VAP-CH-37,ecdf,統計分布 Statistical,經驗累積分布,ECDF,1,SINGLE,4_INTERVALS_5_TICKS_SINGLE,distribution[],value|group?,排序後以 proportion 顯示累積機率；不需分箱或 bandwidth；終點必須為 1,Plotly Step Line · VAP Seaborn SVG,VAP SVG|Plotly 2.35.0|Seaborn 0.13.2 visual grammar,APPEND_ONLY_VERSION_ARCHIVE_RESTORE,VAP_Workbench_v015|STATISTICAL_EXTENSION_v011_TO_v015
VAP-CH-38,rug,統計分布 Statistical,邊際刻度圖,Rug Plot,1,SINGLE,4_INTERVALS_5_TICKS_SINGLE,distribution[],value|group?,每筆觀測以等長刻度顯示；僅作分布輔助層，不得用高度暗示頻數,Plotly Marker Ticks · VAP Seaborn SVG,VAP SVG|Plotly 2.35.0|Seaborn 0.13.2 visual grammar,APPEND_ONLY_VERSION_ARCHIVE_RESTORE,VAP_Workbench_v015|STATISTICAL_EXTENSION_v011_TO_v015
VAP-CH-39,resid,統計分布 Statistical,迴歸殘差圖,Residual Plot,1,SINGLE,4_INTERVALS_5_TICKS_SINGLE,xy,x|y,先移除簡單線性迴歸，再繪 residual；固定 y=0 基準；結構性殘差表示線性模型可能不適用,Plotly Scatter + Zero Line · VAP Seaborn SVG,VAP SVG|Plotly 2.35.0|Seaborn 0.13.2 visual grammar,APPEND_ONLY_VERSION_ARCHIVE_RESTORE,VAP_Workbench_v015|STATISTICAL_EXTENSION_v011_TO_v015
VAP-CH-40,joint,統計分布 Statistical,聯合分布網格,Joint Grid,2,DUAL_LOCKED,4_INTERVALS_5_TICKS_EACH_SIDE,xy+marginals,x|y|group?,中央顯示二變量關係；上方與右側顯示同步邊際分布；共同篩選、色盤與樣本範圍,Plotly Cartesian Domains · VAP Seaborn SVG,VAP SVG|Plotly 2.35.0|Seaborn 0.13.2 visual grammar,APPEND_ONLY_VERSION_ARCHIVE_RESTORE,VAP_Workbench_v015|STATISTICAL_EXTENSION_v011_TO_v015
