index,Date,ticker,Open,High,Low,Close,adj_close,Volume,Main_Price
28,2021-09-22,NVDA,516.88,517.24,512.71,512.84,513.01,5954301,513.01
29,2021-09-23,NVDA,492.96,498.05,483.01,489.27,489.31,3612089,489.31
30,2021-09-24,NVDA,493.38,498.46,484.54,491.92,490.69,4782467,490.69
31,2021-09-27,NVDA,522.66,527.9,521.21,521.32,520.86,3901919,520.86
32,2021-09-28,NVDA,540.27,540.97,525.37,538.4,538.41,2927897,538.41
33,2021-09-29,NVDA,556.7,555.89,551.1,553.97,554.08,5202939,554.08
34,2021-09-30,NVDA,561.55,567.15,556.63,557.92,557.24,3885095,557.24
35,2021-10-01,NVDA,562.83,566.45,557.54,563.5,563.08,2021823,563.08
36,2021-10-04,NVDA,533.41,540.54,524.65,529.91,530.21,1993483,530.21
37,2021-10-05,NVDA,541.47,542.24,534.11,540.55,539.8,3521555,539.8
38,2021-10-06,NVDA,534.99,534.63,527.84,533.26,533.33,5145993,533.33
39,2021-10-07,NVDA,528.06,525.44,522.87,524.44,525.08,7420153,525.08
40,2021-10-08,NVDA,522.67,524.55,515.54,520.72,520.92,1344312,520.92
41,2021-10-11,NVDA,518.96,519.43,516.59,516.6,516.77,3311228,516.77
42,2021-10-12,NVDA,506.85,509.83,500.76,507.84,506.82,4175830,506.82
43,2021-10-13,NVDA,512.34,509.6,507.8,508.53,508.11,3789840,508.11
44,2021-10-14,NVDA,503.68,505.31,497.66,501.94,502.97,5414892,502.97
45,2021-10-15,NVDA,504.02,504.18,498.12,503.7,503.4,4536956,503.4
46,2021-10-18,NVDA,488.15,488.04,482.53,485.48,486.09,1997186,486.09
47,2021-10-19,NVDA,489.62,483.97,481.85,483.36,483.07,1968149,483.07
48,2021-10-20,NVDA,467.85,471.62,469.93,470.6,470.47,3821782,470.47
49,2021-10-21,NVDA,461.66,466.19,457.46,463.52,463.76,5364172,463.76
50,2021-10-22,NVDA,471.9,467.5,462.14,465.65,465.69,3512044,465.69
51,2021-10-25,NVDA,448.4,452.96,440.49,447.44,447.61,1485160,447.61
52,2021-10-26,NVDA,439.11,439.9,438.45,438.69,438.33,1936541,438.33
53,2021-10-27,NVDA,445.11,450.67,441.23,445.37,444.86,4619319,444.86
54,2021-10-28,NVDA,432.68,431.37,429.08,430.08,429.7,2746059,429.7
55,2021-10-29,NVDA,455.49,451.05,443.71,449.62,449.38,3467618,449.38
56,2021-11-01,NVDA,462.07,463.81,454.35,463.61,463.51,5568905,463.51
57,2021-11-02,NVDA,458.12,461.73,457.48,458.34,458.82,1792094,458.82
58,2021-11-03,NVDA,448.99,450.62,442.38,449.78,449.82,2657452,449.82
59,2021-11-04,NVDA,454.16,454.56,448.18,452.5,452.72,2516963,452.72
60,2021-11-05,NVDA,439.25,441.41,430.79,436.58,436.64,3904738,436.64
61,2021-11-08,NVDA,418.53,417.37,415.14,415.16,414.7,4811137,414.7
62,2021-11-09,NVDA,412.39,414.47,408.61,410.81,410.82,1559485,410.82
63,2021-11-10,NVDA,415.01,414.38,405.64,409.85,409.9,3259980,409.9
64,2021-11-11,NVDA,410.04,413.55,406.71,411.22,411.54,5048817,411.54
65,2021-11-12,NVDA,403.62,410.38,402.04,405.32,404.88,1293169,404.88
66,2021-11-15,NVDA,421.7,418.74,416.48,418.63,417.78,3165443,417.78
67,2021-11-16,NVDA,403.65,404.22,403.13,403.4,403.47,1779971,403.47
68,2021-11-17,NVDA,389.63,394.27,390.33,392.32,392.46,2371934,392.46
69,2021-11-18,NVDA,396.86,398.06,396.92,397.49,397.42,934234,397.42
70,2021-11-19,NVDA,386.84,389.32,382.63,386.34,386.35,6559120,386.35
71,2021-11-22,NVDA,373.92,376.86,371.56,375.14,375.47,2736213,375.47
72,2021-11-23,NVDA,374.76,377.31,372.65,376.67,376.5,2183422,376.5
73,2021-11-24,NVDA,366.74,368.01,366.12,367.12,367.02,3852117,367.02
74,2021-11-25,NVDA,364.32,370.53,360.16,366.27,366.3,1941254,366.3
75,2021-11-26,NVDA,361.37,361.15,359.75,360.23,359.79,1851261,359.79
76,2021-11-29,NVDA,349.4,357.18,350.7,352.83,352.77,6956343,352.77
77,2021-11-30,NVDA,334.79,339.9,330.24,334.64,334.62,8075388,334.62
78,2021-12-01,NVDA,337.01,337.36,334.74,336.14,336.69,2431376,336.69
79,2021-12-02,NVDA,325.85,328.47,325.96,325.99,325.9,5574300,325.9
80,2021-12-03,NVDA,326.73,327.12,324.19,324.95,325.01,3905983,325.01
81,2021-12-06,NVDA,318.91,325.39,320.22,321.11,321.41,1612158,321.41
82,2021-12-07,NVDA,318.66,321.5,316.03,319.78,319.51,2055303,319.51
83,2021-12-08,NVDA,318.37,323.14,318.73,318.9,319.34,7099606,319.34
84,2021-12-09,NVDA,321.91,322.16,315.46,320.76,321.33,1601742,321.33
85,2021-12-10,NVDA,315.59,317.29,314.51,315.25,315.24,10226568,315.24
86,2021-12-13,NVDA,328.84,326.46,323.92,325.36,325.18,2456673,325.18
87,2021-12-14,NVDA,309.4,314.03,310.24,310.66,311.16,7205876,311.16
88,2021-12-15,NVDA,307.05,311.51,307.48,309.21,309.45,2805852,309.45
89,2021-12-16,NVDA,318.81,316.72,311.22,315.98,316.01,4876565,316.01
90,2021-12-17,NVDA,317.77,325.46,318.89,320.06,320.52,6566664,320.52
91,2021-12-20,NVDA,313.65,313.34,309.67,312.58,313.0,6550008,313.0
92,2021-12-21,NVDA,305.08,311.23,302.71,306.58,306.48,2440753,306.48
93,2021-12-22,NVDA,296.07,299.71,291.87,299.17,299.24,2129304,299.24
94,2021-12-23,NVDA,303.38,308.47,298.81,303.95,304.13,3138934,304.13
95,2021-12-24,NVDA,299.97,300.45,295.06,298.63,298.64,1706167,298.64
96,2021-12-27,NVDA,299.0,302.73,299.61,300.83,300.42,3684450,300.42
97,2021-12-28,NVDA,304.0,309.61,303.05,303.12,302.84,2168620,302.84
98,2021-12-29,NVDA,322.6,326.73,321.1,321.37,320.94,5617261,320.94
99,2021-12-30,NVDA,322.15,326.58,323.99,324.21,324.37,2458209,324.37
100,2021-12-31,NVDA,317.6,319.05,310.31,317.96,317.59,1368013,317.59
101,2022-01-03,NVDA,309.09,310.36,303.36,306.67,306.73,6586004,306.73
102,2022-01-04,NVDA,305.86,308.32,302.69,304.87,305.42,3582903,305.42
103,2022-01-05,NVDA,303.86,307.54,299.26,304.26,304.7,3316987,304.7
104,2022-01-06,NVDA,288.35,290.42,285.98,287.75,287.22,5650176,287.22
105,2022-01-07,NVDA,281.93,283.33,281.79,282.9,282.54,5054493,282.54
106,2022-01-10,NVDA,286.88,288.54,282.34,285.29,285.07,2233483,285.07
107,2022-01-11,NVDA,283.35,283.04,280.41,281.78,281.45,2610648,281.45
108,2022-01-12,NVDA,289.06,292.54,288.33,288.88,288.41,1873881,288.41
109,2022-01-13,NVDA,278.24,280.64,275.31,277.92,277.91,1571865,277.91
110,2022-01-14,NVDA,281.49,283.14,280.37,282.9,283.1,4365731,283.1
111,2022-01-17,NVDA,287.69,291.39,288.21,289.64,289.92,3977214,289.92
112,2022-01-18,NVDA,296.3,302.27,295.27,296.86,296.72,4782216,296.72
113,2022-01-19,NVDA,285.41,287.6,279.63,285.54,285.46,6204607,285.46
114,2022-01-20,NVDA,289.6,288.48,283.99,288.07,288.17,4814955,288.17
115,2022-01-21,NVDA,284.85,287.99,282.68,283.54,283.51,5034021,283.51
116,2022-01-24,NVDA,274.11,275.69,273.44,273.85,274.08,1156627,274.08
117,2022-01-25,NVDA,272.91,273.19,266.87,271.3,271.41,2803859,271.41
118,2022-01-26,NVDA,264.18,267.96,262.01,265.43,265.33,5295077,265.33
119,2022-01-27,NVDA,273.27,273.24,270.72,271.8,271.3,1822820,271.3
120,2022-01-28,NVDA,274.47,277.6,273.34,275.56,275.98,3422342,275.98
121,2022-01-31,NVDA,269.56,268.53,262.34,267.9,267.71,4238551,267.71
122,2022-02-01,NVDA,263.3,263.52,261.24,263.32,263.41,4079262,263.41
123,2022-02-02,NVDA,258.46,261.8,260.13,261.07,260.57,3930975,260.57
124,2022-02-03,NVDA,261.81,263.05,260.28,260.86,260.86,4410313,260.86
125,2022-02-04,NVDA,268.77,267.88,267.01,267.69,267.71,3578205,267.71
126,2022-02-07,NVDA,271.95,278.18,271.84,272.58,272.62,1573064,272.62
127,2022-02-08,NVDA,272.69,273.6,271.25,273.2,274.02,4212124,274.02
128,2022-02-09,NVDA,271.48,274.89,269.99,271.69,271.52,3769199,271.52
129,2022-02-10,NVDA,257.42,263.62,253.89,259.92,260.13,1583464,260.13
130,2022-02-11,NVDA,265.4,269.87,267.36,268.57,268.71,6516627,268.71
131,2022-02-14,NVDA,267.57,267.46,265.43,265.84,265.66,4269122,265.66
132,2022-02-15,NVDA,275.3,278.66,275.49,276.44,276.66,1639375,276.66
133,2022-02-16,NVDA,280.65,278.51,272.99,278.07,278.03,2172496,278.03
134,2022-02-17,NVDA,294.43,293.61,290.21,292.43,292.68,2465669,292.68
135,2022-02-18,NVDA,299.48,297.35,293.44,297.15,297.74,2464792,297.74
136,2022-02-21,NVDA,285.88,290.62,286.62,286.81,286.86,3784881,286.86
137,2022-02-22,NVDA,280.42,283.68,282.26,282.69,282.61,2006342,282.61
138,2022-02-23,NVDA,280.25,283.77,281.73,281.78,282.08,5746309,282.08
139,2022-02-24,NVDA,275.29,276.18,272.68,275.91,276.29,5514556,276.29
140,2022-02-25,NVDA,270.34,274.59,273.44,273.58,273.34,4455539,273.34
141,2022-02-28,NVDA,263.88,264.94,263.38,264.51,264.39,3342136,264.39
142,2022-03-01,NVDA,264.54,265.92,264.66,264.81,264.99,5223737,264.99
143,2022-03-02,NVDA,264.92,268.45,265.01,266.65,266.61,2847711,266.61
144,2022-03-03,NVDA,258.87,260.74,256.59,260.22,259.97,2275602,259.97
145,2022-03-04,NVDA,272.8,273.25,272.73,273.1,273.25,5927154,273.25
146,2022-03-07,NVDA,274.3,276.72,271.67,273.81,273.99,3831517,273.99
147,2022-03-08,NVDA,267.3,269.61,264.58,268.49,268.4,2322073,268.4
148,2022-03-09,NVDA,258.2,262.93,254.32,257.82,257.84,2652806,257.84
149,2022-03-10,NVDA,258.64,259.41,257.47,258.47,258.32,2262058,258.32
150,2022-03-11,NVDA,257.1,261.22,254.38,257.04,256.76,8985182,256.76
151,2022-03-14,NVDA,261.48,263.42,261.68,262.33,262.2,3275723,262.2
152,2022-03-15,NVDA,259.91,266.03,258.73,261.65,261.67,3537340,261.67
153,2022-03-16,NVDA,256.26,256.62,252.66,254.11,253.73,4688435,253.73
154,2022-03-17,NVDA,265.81,265.93,264.24,264.97,264.86,1780348,264.86
155,2022-03-18,NVDA,269.47,272.26,266.96,268.12,268.15,5656261,268.15
156,2022-03-21,NVDA,266.58,269.55,266.01,266.69,267.01,2412265,267.01
157,2022-03-22,NVDA,267.83,268.09,267.26,268.05,267.97,8162068,267.97
158,2022-03-23,NVDA,272.16,273.07,271.07,271.5,271.16,2795916,271.16
159,2022-03-24,NVDA,259.67,265.96,261.41,262.07,262.02,5492093,262.02
160,2022-03-25,NVDA,261.9,265.41,258.72,263.37,263.22,938089,263.22
161,2022-03-28,NVDA,259.63,263.52,259.42,260.67,260.81,1816520,260.81
162,2022-03-29,NVDA,263.63,266.52,262.72,264.23,264.14,2822677,264.14
163,2022-03-30,NVDA,258.47,262.75,258.89,259.61,258.9,1184236,258.9
164,2022-03-31,NVDA,256.37,256.86,253.24,255.94,256.89,4414663,256.89
165,2022-04-01,NVDA,266.95,269.1,264.87,266.84,266.88,3822744,266.88
166,2022-04-04,NVDA,277.23,277.95,271.24,275.32,275.34,1991873,275.34
167,2022-04-05,NVDA,256.04,254.37,249.35,252.91,252.52,3243036,252.52
168,2022-04-06,NVDA,258.83,262.57,255.97,260.48,260.09,4892620,260.09
169,2022-04-07,NVDA,260.45,262.27,256.88,260.26,260.23,1142209,260.23
170,2022-04-08,NVDA,256.09,256.09,252.89,255.91,255.99,1729348,255.99
171,2022-04-11,NVDA,249.7,250.52,246.26,249.72,249.9,2764736,249.9
172,2022-04-12,NVDA,242.72,247.17,243.93,244.05,244.1,3308024,244.1
173,2022-04-13,NVDA,239.04,240.3,239.27,240.14,239.86,3174606,239.86
174,2022-04-14,NVDA,233.9,234.94,230.24,233.61,233.03,5099471,233.03
175,2022-04-15,NVDA,224.87,226.49,225.61,225.94,225.91,4149944,225.91
176,2022-04-18,NVDA,220.46,222.8,216.46,220.29,220.17,4631157,220.17
177,2022-04-19,NVDA,222.01,222.68,221.47,222.29,222.01,1631584,222.01
178,2022-04-20,NVDA,222.95,223.77,218.19,222.79,222.97,3514514,222.97
179,2022-04-21,NVDA,225.03,228.93,224.61,226.11,225.75,2803638,225.75
180,2022-04-22,NVDA,226.14,228.96,225.48,225.96,226.1,6790505,226.1
181,2022-04-25,NVDA,217.84,221.38,217.27,218.8,218.49,3566865,218.49
182,2022-04-26,NVDA,221.9,222.18,220.57,221.73,221.76,2339559,221.76
183,2022-04-27,NVDA,217.83,216.64,214.65,216.38,216.58,5006515,216.58
184,2022-04-28,NVDA,220.38,220.69,216.34,220.09,220.02,4332472,220.02
185,2022-04-29,NVDA,214.24,214.56,211.45,213.9,214.26,2167747,214.26
186,2022-05-02,NVDA,211.29,212.03,209.69,210.43,210.84,2746272,210.84
187,2022-05-03,NVDA,207.28,210.95,208.11,208.74,208.79,2769775,208.79
188,2022-05-04,NVDA,214.3,213.41,210.48,212.47,212.59,6038888,212.59
189,2022-05-05,NVDA,212.49,214.58,212.23,213.62,213.85,3618683,213.85
190,2022-05-06,NVDA,214.88,214.29,213.28,213.94,214.06,4701495,214.06
191,2022-05-09,NVDA,225.08,225.08,222.75,224.24,224.34,2554492,224.34
192,2022-05-10,NVDA,213.2,214.62,212.91,214.17,214.05,3864721,214.05
193,2022-05-11,NVDA,209.87,209.64,208.31,208.82,208.47,6272467,208.47
194,2022-05-12,NVDA,203.89,203.4,199.91,203.38,203.1,2729043,203.1
195,2022-05-13,NVDA,196.42,196.17,193.29,194.59,195.05,3462763,195.05
196,2022-05-16,NVDA,191.46,192.85,188.7,191.28,191.34,1653404,191.34
197,2022-05-17,NVDA,194.65,198.21,192.47,194.76,194.71,2229350,194.71
198,2022-05-18,NVDA,191.58,193.94,188.67,192.07,192.32,2765628,192.32
199,2022-05-19,NVDA,189.0,192.7,190.33,190.67,190.52,1923352,190.52
200,2022-05-20,NVDA,182.36,182.93,181.21,182.65,182.75,6331114,182.75
201,2022-05-23,NVDA,178.94,179.36,175.47,179.19,179.21,2150038,179.21
202,2022-05-24,NVDA,177.54,179.17,176.71,177.3,177.38,4844716,177.38
203,2022-05-25,NVDA,179.04,180.45,178.86,180.33,180.27,3589121,180.27
204,2022-05-26,NVDA,172.75,174.73,172.63,172.96,172.79,3319836,172.79
205,2022-05-27,NVDA,171.66,172.66,169.48,171.16,171.02,6872797,171.02
206,2022-05-30,NVDA,176.58,176.69,175.06,175.98,175.85,1055684,175.85
207,2022-05-31,NVDA,172.58,174.98,173.15,174.2,174.2,2963547,174.2
208,2022-06-01,NVDA,165.75,166.07,164.69,165.16,164.91,1904651,164.91
209,2022-06-02,NVDA,170.4,171.6,168.96,170.61,170.4,1226027,170.4
210,2022-06-03,NVDA,173.75,176.68,172.83,173.92,173.94,1798806,173.94
211,2022-06-06,NVDA,175.77,177.88,177.84,177.87,177.85,3297314,177.85
212,2022-06-07,NVDA,171.56,170.63,170.0,170.29,170.33,2274626,170.33
213,2022-06-08,NVDA,177.06,179.61,176.88,176.9,176.89,5118166,176.89
214,2022-06-09,NVDA,172.33,173.69,172.91,173.66,174.1,2937522,174.1
215,2022-06-10,NVDA,171.94,172.05,171.62,171.62,171.64,2779080,171.64
216,2022-06-13,NVDA,169.07,169.64,167.95,168.78,168.71,2785281,168.71
217,2022-06-14,NVDA,174.0,173.08,172.72,172.94,172.96,3111927,172.96
218,2022-06-15,NVDA,172.07,173.28,171.61,172.34,172.51,2651830,172.51
219,2022-06-16,NVDA,174.6,176.2,173.12,174.59,174.58,2135845,174.58
220,2022-06-17,NVDA,174.53,178.98,174.03,175.09,175.21,5360632,175.21
221,2022-06-20,NVDA,175.37,174.96,173.57,174.85,174.92,2392746,174.92
222,2022-06-21,NVDA,170.22,173.9,169.92,170.89,170.84,2698581,170.84
223,2022-06-22,NVDA,178.0,180.43,176.5,178.8,178.82,4051924,178.82
224,2022-06-23,NVDA,172.38,173.34,171.18,172.44,172.71,3833813,172.71
225,2022-06-24,NVDA,173.32,176.61,172.51,174.39,174.43,2091267,174.43
226,2022-06-27,NVDA,177.61,178.71,175.43,176.2,176.03,4768255,176.03
227,2022-06-28,NVDA,183.21,185.79,180.76,181.46,181.41,4277311,181.41
228,2022-06-29,NVDA,187.52,190.5,186.66,187.94,187.55,3573254,187.55
229,2022-06-30,NVDA,186.19,190.58,184.7,187.48,187.51,2634862,187.51
230,2022-07-01,NVDA,190.48,190.49,188.31,190.16,190.41,2667453,190.41
231,2022-07-04,NVDA,198.26,199.78,196.03,198.74,198.47,2955272,198.47
232,2022-07-05,NVDA,199.78,199.74,198.51,198.61,198.64,1765746,198.64
233,2022-07-06,NVDA,192.76,196.1,191.69,193.52,193.71,3205458,193.71
234,2022-07-07,NVDA,192.37,194.05,190.36,191.85,192.06,5106633,192.06
235,2022-07-08,NVDA,185.89,186.73,185.16,185.79,186.02,5066625,186.02
236,2022-07-11,NVDA,187.06,189.29,187.45,187.7,187.35,2702192,187.35
237,2022-07-12,NVDA,193.11,193.44,192.69,192.88,192.98,5565189,192.98
238,2022-07-13,NVDA,193.34,194.61,191.91,192.49,192.2,8477721,192.2
239,2022-07-14,NVDA,184.96,185.83,184.86,184.88,184.7,2790960,184.7
240,2022-07-15,NVDA,189.88,193.22,189.71,189.79,189.94,4619316,189.94
241,2022-07-18,NVDA,180.76,181.87,180.61,181.55,181.58,1054518,181.58
242,2022-07-19,NVDA,175.71,175.1,171.96,174.72,174.84,1742665,174.84
243,2022-07-20,NVDA,175.02,174.67,172.16,174.11,173.95,3421400,173.95
244,2022-07-21,NVDA,175.02,175.63,174.12,175.38,175.64,1976095,175.64
245,2022-07-22,NVDA,177.3,178.91,176.87,177.41,177.53,9062005,177.53
246,2022-07-25,NVDA,178.55,177.71,176.11,177.29,177.45,4408036,177.45
247,2022-07-26,NVDA,184.22,186.73,182.67,185.27,185.07,5298401,185.07
248,2022-07-27,NVDA,186.32,187.51,182.56,185.76,185.97,3221916,185.97
249,2022-07-28,NVDA,190.22,191.57,189.41,190.75,190.69,1979581,190.69
250,2022-07-29,NVDA,196.42,195.67,192.96,194.69,194.57,2522080,194.57
251,2022-08-01,NVDA,188.65,190.5,187.54,188.59,188.71,3712404,188.71
252,2022-08-02,NVDA,189.17,189.02,187.23,187.98,188.09,2376269,188.09
253,2022-08-03,NVDA,197.39,199.82,196.95,198.15,197.98,4572615,197.98
254,2022-08-04,NVDA,194.63,198.64,194.6,195.85,196.25,4665508,196.25
255,2022-08-05,NVDA,192.52,196.48,192.06,192.74,193.09,3277169,193.09
256,2022-08-08,NVDA,194.01,194.86,191.37,193.76,193.87,1312156,193.87
257,2022-08-09,NVDA,191.19,191.73,191.16,191.68,191.76,7705095,191.76
258,2022-08-10,NVDA,188.78,189.72,184.62,188.07,188.13,2939245,188.13
259,2022-08-11,NVDA,185.79,187.51,182.65,185.98,185.7,12668616,185.7
260,2022-08-12,NVDA,190.82,193.74,191.89,192.83,192.85,4530160,192.85
261,2022-08-15,NVDA,192.89,195.4,192.1,192.36,192.38,2943242,192.38
262,2022-08-16,NVDA,185.35,189.95,185.6,186.17,186.06,4089408,186.06
263,2022-08-17,NVDA,178.99,179.62,178.75,179.32,179.26,1191063,179.26
264,2022-08-18,NVDA,190.86,190.27,189.31,189.39,188.94,5460610,188.94
265,2022-08-19,NVDA,190.19,189.99,187.69,188.52,188.32,11798354,188.32
266,2022-08-22,NVDA,190.21,191.37,190.36,190.76,190.93,1150127,190.93
267,2022-08-23,NVDA,187.81,190.57,186.68,187.27,187.6,2831438,187.6
268,2022-08-24,NVDA,188.44,189.02,186.7,188.96,188.78,3101296,188.78
269,2022-08-25,NVDA,195.76,198.62,195.14,196.04,196.08,5063731,196.08
270,2022-08-26,NVDA,192.46,194.29,191.5,193.04,193.26,9369664,193.26
271,2022-08-29,NVDA,193.76,195.56,195.39,195.45,195.35,3958758,195.35
272,2022-08-30,NVDA,188.87,191.07,188.21,188.78,188.9,9538968,188.9
273,2022-08-31,NVDA,198.8,200.3,197.95,198.51,198.5,3559804,198.5
274,2022-09-01,NVDA,199.37,200.28,197.92,200.04,200.28,4096780,200.28
275,2022-09-02,NVDA,199.26,198.89,197.71,198.18,197.92,3852056,197.92
276,2022-09-05,NVDA,196.47,197.52,194.89,196.9,196.68,6017304,196.68
277,2022-09-06,NVDA,193.97,195.73,192.47,194.59,194.64,2646740,194.64
278,2022-09-07,NVDA,193.06,193.31,190.23,192.55,192.57,4921595,192.57
279,2022-09-08,NVDA,179.56,182.76,180.2,180.96,180.95,1766660,180.95
280,2022-09-09,NVDA,181.52,182.39,179.36,180.7,180.8,2835554,180.8
281,2022-09-12,NVDA,179.88,180.3,177.33,180.25,180.08,2377661,180.08
282,2022-09-13,NVDA,183.53,183.83,181.14,182.63,182.38,3415999,182.38
283,2022-09-14,NVDA,181.59,183.78,179.75,180.42,180.33,2791138,180.33
284,2022-09-15,NVDA,177.69,177.66,176.37,177.13,177.06,5757804,177.06
285,2022-09-16,NVDA,176.55,179.05,176.85,177.27,177.22,2106768,177.22
286,2022-09-19,NVDA,169.24,173.05,169.12,170.3,170.52,1375519,170.52
287,2022-09-20,NVDA,169.85,174.52,170.27,171.08,171.21,1658390,171.21
288,2022-09-21,NVDA,164.19,164.28,162.76,163.29,163.38,5374005,163.38
289,2022-09-22,NVDA,167.91,168.11,167.9,168.03,168.07,2013170,168.07
290,2022-09-23,NVDA,170.56,171.35,169.32,171.07,171.0,3988485,171.0
291,2022-09-26,NVDA,167.17,169.13,165.76,167.28,167.14,2821012,167.14
292,2022-09-27,NVDA,171.13,171.61,169.28,170.21,170.01,4936277,170.01
293,2022-09-28,NVDA,171.52,174.12,170.03,170.86,170.74,2912776,170.74
294,2022-09-29,NVDA,167.08,168.37,164.84,166.72,166.71,13022305,166.71
295,2022-09-30,NVDA,158.96,160.05,157.74,158.45,158.27,8444775,158.27
296,2022-10-03,NVDA,160.01,160.99,159.63,159.87,159.89,2792352,159.89
297,2022-10-04,NVDA,157.09,158.73,156.26,156.85,156.82,2607578,156.82
298,2022-10-05,NVDA,161.48,161.33,160.82,161.3,161.24,15652842,161.24
299,2022-10-06,NVDA,161.52,163.28,158.15,161.52,161.71,1906108,161.71
300,2022-10-07,NVDA,159.45,159.83,157.42,158.86,158.47,3180306,158.47
301,2022-10-10,NVDA,166.45,168.44,164.54,166.15,166.09,3305917,166.09
302,2022-10-11,NVDA,167.97,169.21,166.97,168.72,168.32,3265198,168.32
303,2022-10-12,NVDA,153.87,153.55,152.69,153.47,153.5,1370442,153.5
304,2022-10-13,NVDA,151.94,153.28,150.88,151.75,151.87,4190376,151.87
305,2022-10-14,NVDA,147.1,147.32,146.57,146.66,146.46,2012372,146.46
306,2022-10-17,NVDA,143.79,144.24,143.16,143.87,143.69,6702522,143.69
307,2022-10-18,NVDA,144.08,143.71,143.29,143.49,143.25,1578550,143.25
308,2022-10-19,NVDA,144.86,145.04,144.52,144.91,144.92,3367674,144.92
309,2022-10-20,NVDA,146.53,146.57,143.39,146.0,145.95,1079425,145.95
310,2022-10-21,NVDA,149.74,150.91,148.77,150.08,150.04,1113265,150.04
311,2022-10-24,NVDA,152.32,155.44,151.77,152.62,152.56,2148593,152.56
312,2022-10-25,NVDA,155.43,155.84,154.52,154.96,154.81,2305700,154.81
313,2022-10-26,NVDA,155.64,157.01,155.5,155.9,156.07,6802924,156.07
314,2022-10-27,NVDA,162.85,162.44,160.91,161.07,161.11,3203338,161.11
315,2022-10-28,NVDA,160.41,160.71,158.24,159.96,159.77,6238207,159.77
316,2022-10-31,NVDA,158.98,161.02,154.47,158.96,158.84,2703632,158.84
317,2022-11-01,NVDA,152.16,151.59,150.64,151.54,151.41,4426158,151.41
318,2022-11-02,NVDA,155.32,157.78,152.98,155.7,155.91,2274480,155.91
319,2022-11-03,NVDA,156.27,158.12,153.69,155.55,155.66,2198450,155.66
320,2022-11-04,NVDA,167.86,169.15,163.1,167.12,167.09,1315299,167.09
321,2022-11-07,NVDA,166.63,166.21,164.6,165.59,165.87,3866564,165.87
322,2022-11-08,NVDA,165.75,168.14,164.54,166.12,166.36,3726729,166.36
323,2022-11-09,NVDA,167.53,172.36,168.42,168.56,168.52,4821793,168.52
324,2022-11-10,NVDA,163.58,164.73,162.84,164.08,164.01,3639872,164.01
325,2022-11-11,NVDA,165.48,166.39,162.79,165.72,165.66,9003266,165.66
326,2022-11-14,NVDA,167.41,167.18,164.3,166.03,165.87,3569777,165.87
327,2022-11-15,NVDA,166.74,166.67,163.58,164.93,165.22,5367717,165.22
328,2022-11-16,NVDA,170.22,170.86,169.03,169.93,169.76,2779955,169.76
329,2022-11-17,NVDA,166.27,168.33,165.42,166.26,166.41,2075608,166.41
330,2022-11-18,NVDA,167.28,169.9,167.04,167.57,167.69,4680182,167.69
