"ToolID","ToolName","FileName","Category","Layer","ToolType","Path","Status","Risk","SizeBytes","ModifiedTime"
"VIA-SUP-0011","NEXUSCORE_AI_ONBOARDING","NEXUSCORE_AI_ONBOARDING.md","_nexuscore_ai_onboarding","L9_Supportive_Tool","markdown","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_ai_onboarding\RUN_20260610_161032\NEXUSCORE_AI_ONBOARDING.md","FOUND","LOW","2266","2026-06-10 16:10:38"
"VIA-SUP-0012","NEXUSCORE_PROGRESS","NEXUSCORE_PROGRESS.html","_nexuscore_ai_onboarding","L6_Report_Matrix","html","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_ai_onboarding\RUN_20260610_161032\NEXUSCORE_PROGRESS.html","FOUND","LOW","7188","2026-06-10 16:10:38"
"VIA-SUP-0013","NEXUSCORE_TOOL_MATRIX","NEXUSCORE_TOOL_MATRIX.csv","_nexuscore_ai_onboarding","L6_Report_Matrix","csv","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_ai_onboarding\RUN_20260610_161032\NEXUSCORE_TOOL_MATRIX.csv","FOUND","LOW","2768","2026-06-10 16:10:38"
"VIA-SUP-0014","NEXUSCORE_TOOL_MATRIX","NEXUSCORE_TOOL_MATRIX.html","_nexuscore_ai_onboarding","L6_Report_Matrix","html","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_ai_onboarding\RUN_20260610_161032\NEXUSCORE_TOOL_MATRIX.html","FOUND","LOW","5110","2026-06-10 16:10:38"
"VIA-SUP-0015","NEXUSCORE_TOOL_MATRIX","NEXUSCORE_TOOL_MATRIX.json","_nexuscore_ai_onboarding","L6_Report_Matrix","json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_ai_onboarding\RUN_20260610_161032\NEXUSCORE_TOOL_MATRIX.json","FOUND","LOW","4034","2026-06-10 16:10:38"
"VIA-SUP-0016","NEXUSCORE_AI_ONBOARDING","NEXUSCORE_AI_ONBOARDING.md","_nexuscore_ai_onboarding","L9_Supportive_Tool","markdown","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_ai_onboarding\RUN_20260610_161210\NEXUSCORE_AI_ONBOARDING.md","FOUND","LOW","2266","2026-06-10 16:12:21"
"VIA-SUP-0017","NEXUSCORE_PROGRESS","NEXUSCORE_PROGRESS.html","_nexuscore_ai_onboarding","L6_Report_Matrix","html","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_ai_onboarding\RUN_20260610_161210\NEXUSCORE_PROGRESS.html","FOUND","LOW","7188","2026-06-10 16:12:21"
"VIA-SUP-0018","NEXUSCORE_TOOL_MATRIX","NEXUSCORE_TOOL_MATRIX.csv","_nexuscore_ai_onboarding","L6_Report_Matrix","csv","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_ai_onboarding\RUN_20260610_161210\NEXUSCORE_TOOL_MATRIX.csv","FOUND","LOW","2768","2026-06-10 16:12:21"
"VIA-SUP-0019","NEXUSCORE_TOOL_MATRIX","NEXUSCORE_TOOL_MATRIX.html","_nexuscore_ai_onboarding","L6_Report_Matrix","html","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_ai_onboarding\RUN_20260610_161210\NEXUSCORE_TOOL_MATRIX.html","FOUND","LOW","5110","2026-06-10 16:12:21"
"VIA-SUP-0020","NEXUSCORE_TOOL_MATRIX","NEXUSCORE_TOOL_MATRIX.json","_nexuscore_ai_onboarding","L6_Report_Matrix","json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_ai_onboarding\RUN_20260610_161210\NEXUSCORE_TOOL_MATRIX.json","FOUND","LOW","4034","2026-06-10 16:12:21"
"VIA-SUP-0021","Invoke-VeritasNexusCore.snapshot","Invoke-VeritasNexusCore.snapshot.txt","_supportive_nexuscore_onboarding","L1_Control_Entry","text","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_supportive_nexuscore_onboarding\RUN_20260610_153602\Invoke-VeritasNexusCore.snapshot.txt","FOUND","LOW","2913","2026-06-10 15:36:06"
"VIA-SUP-0022","Read_Me_VeritasNexusCore.snapshot","Read_Me_VeritasNexusCore.snapshot.txt","_supportive_nexuscore_onboarding","L0_SSOT_Documentation","text","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_supportive_nexuscore_onboarding\RUN_20260610_153602\Read_Me_VeritasNexusCore.snapshot.txt","FOUND","LOW","11110","2026-06-10 15:36:05"
"VIA-SUP-0023","supportive_modules_onboarding_report","supportive_modules_onboarding_report.html","_supportive_nexuscore_onboarding","L6_Report_Matrix","html","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_supportive_nexuscore_onboarding\RUN_20260610_153602\supportive_modules_onboarding_report.html","FOUND","LOW","60581","2026-06-10 15:36:06"
"VIA-SUP-0024","supportive_modules_registry","supportive_modules_registry.csv","_supportive_nexuscore_onboarding","L2_SSOT_Registry","csv","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_supportive_nexuscore_onboarding\RUN_20260610_153602\supportive_modules_registry.csv","FOUND","LOW","47854","2026-06-10 15:36:06"
"VIA-SUP-0025","supportive_modules_registry","supportive_modules_registry.json","_supportive_nexuscore_onboarding","L2_SSOT_Registry","json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_supportive_nexuscore_onboarding\RUN_20260610_153602\supportive_modules_registry.json","FOUND","LOW","1731","2026-06-10 15:36:06"
"VIA-SUP-0026","Invoke-VeritasNexusCore.snapshot","Invoke-VeritasNexusCore.snapshot.txt","_supportive_nexuscore_onboarding","L1_Control_Entry","text","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_supportive_nexuscore_onboarding\RUN_20260610_154007\Invoke-VeritasNexusCore.snapshot.txt","FOUND","LOW","2913","2026-06-10 15:40:10"
"VIA-SUP-0027","Read_Me_VeritasNexusCore.snapshot","Read_Me_VeritasNexusCore.snapshot.txt","_supportive_nexuscore_onboarding","L0_SSOT_Documentation","text","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_supportive_nexuscore_onboarding\RUN_20260610_154007\Read_Me_VeritasNexusCore.snapshot.txt","FOUND","LOW","11110","2026-06-10 15:40:10"
"VIA-SUP-0028","supportive_modules_onboarding_report","supportive_modules_onboarding_report.html","_supportive_nexuscore_onboarding","L6_Report_Matrix","html","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_supportive_nexuscore_onboarding\RUN_20260610_154007\supportive_modules_onboarding_report.html","FOUND","LOW","62533","2026-06-10 15:40:10"
"VIA-SUP-0029","supportive_modules_registry","supportive_modules_registry.csv","_supportive_nexuscore_onboarding","L2_SSOT_Registry","csv","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_supportive_nexuscore_onboarding\RUN_20260610_154007\supportive_modules_registry.csv","FOUND","LOW","49551","2026-06-10 15:40:10"
"VIA-SUP-0030","supportive_modules_registry","supportive_modules_registry.json","_supportive_nexuscore_onboarding","L2_SSOT_Registry","json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_supportive_nexuscore_onboarding\RUN_20260610_154007\supportive_modules_registry.json","FOUND","LOW","1731","2026-06-10 15:40:10"
"VIA-SUP-0031","VIA_Runtime_Bridge_All_in_One.cpython-313","VIA_Runtime_Bridge_All_in_One.cpython-313.pyc","10_Core_Runtime","L5_Acceleration_InstallPlanner","other","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\10_Core_Runtime\__pycache__\VIA_Runtime_Bridge_All_in_One.cpython-313.pyc","FOUND","LOW","25583","2026-06-10 12:33:57"
"VIA-SUP-0032","VIA_RuntimeImportFirewall.cpython-313","VIA_RuntimeImportFirewall.cpython-313.pyc","10_Core_Runtime","L3_HardGate_Protection","other","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\10_Core_Runtime\__pycache__\VIA_RuntimeImportFirewall.cpython-313.pyc","FOUND","LOW","12289","2026-06-10 12:33:57"
"VIA-SUP-0033","VIA_Supportive_Runtime_HardGate_Bridge.cpython-313","VIA_Supportive_Runtime_HardGate_Bridge.cpython-313.pyc","10_Core_Runtime","L3_HardGate_Protection","other","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\10_Core_Runtime\__pycache__\VIA_Supportive_Runtime_HardGate_Bridge.cpython-313.pyc","FOUND","LOW","17901","2026-06-10 12:33:57"
"VIA-SUP-0034","VIA_Runtime_Bridge_All_in_One","VIA_Runtime_Bridge_All_in_One.py","10_Core_Runtime","L5_Acceleration_InstallPlanner","python","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\10_Core_Runtime\VIA_Runtime_Bridge_All_in_One.py","FOUND","LOW","29537","2026-05-26 16:47:58"
"VIA-SUP-0035","VIA_Runtime_Bridge_All_in_One.py.freeze.lock","VIA_Runtime_Bridge_All_in_One.py.freeze.lock.json","10_Core_Runtime","L5_Acceleration_InstallPlanner","json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\10_Core_Runtime\VIA_Runtime_Bridge_All_in_One.py.freeze.lock.json","FOUND","LOW","1079","2026-06-08 20:10:15"
"VIA-SUP-0036","VIA_RuntimeImportFirewall","VIA_RuntimeImportFirewall.py","10_Core_Runtime","L3_HardGate_Protection","python","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\10_Core_Runtime\VIA_RuntimeImportFirewall.py","FOUND","LOW","9658","2026-05-26 16:35:45"
"VIA-SUP-0037","VIA_RuntimeImportFirewall.py.freeze.lock","VIA_RuntimeImportFirewall.py.freeze.lock.json","10_Core_Runtime","L3_HardGate_Protection","json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\10_Core_Runtime\VIA_RuntimeImportFirewall.py.freeze.lock.json","FOUND","LOW","1063","2026-06-08 20:10:15"
"VIA-SUP-0038","VIA_Supportive_Runtime_HardGate_Bridge","VIA_Supportive_Runtime_HardGate_Bridge.py","10_Core_Runtime","L3_HardGate_Protection","python","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\10_Core_Runtime\VIA_Supportive_Runtime_HardGate_Bridge.py","FOUND","LOW","14829","2026-05-26 16:47:59"
"VIA-SUP-0039","VIA_Supportive_Runtime_HardGate_Bridge.py.freeze.lock","VIA_Supportive_Runtime_HardGate_Bridge.py.freeze.lock.json","10_Core_Runtime","L3_HardGate_Protection","json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\10_Core_Runtime\VIA_Supportive_Runtime_HardGate_Bridge.py.freeze.lock.json","FOUND","LOW","1115","2026-06-08 20:10:15"
"VIA-SUP-0040","VIA_RegistryCore_v1.cpython-313","VIA_RegistryCore_v1.cpython-313.pyc","20_Registry_SSOT","L2_SSOT_Registry","other","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\20_Registry_SSOT\__pycache__\VIA_RegistryCore_v1.cpython-313.pyc","FOUND","LOW","47261","2026-06-10 12:33:57"
"VIA-SUP-0041","VIA_SSOT_Unified.cpython-313","VIA_SSOT_Unified.cpython-313.pyc","20_Registry_SSOT","L2_SSOT_Registry","other","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\20_Registry_SSOT\__pycache__\VIA_SSOT_Unified.cpython-313.pyc","FOUND","LOW","273840","2026-06-10 12:33:57"
"VIA-SUP-0042","VIA_RegistryCore_v1","VIA_RegistryCore_v1.py","20_Registry_SSOT","L2_SSOT_Registry","python","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\20_Registry_SSOT\VIA_RegistryCore_v1.py","FOUND","LOW","49130","2026-05-26 16:47:57"
"VIA-SUP-0043","VIA_RegistryCore_v1.py.freeze.lock","VIA_RegistryCore_v1.py.freeze.lock.json","20_Registry_SSOT","L2_SSOT_Registry","json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\20_Registry_SSOT\VIA_RegistryCore_v1.py.freeze.lock.json","FOUND","LOW","1042","2026-06-08 20:10:15"
"VIA-SUP-0044","VIA_SSOT_Unified","VIA_SSOT_Unified.py","20_Registry_SSOT","L2_SSOT_Registry","python","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\20_Registry_SSOT\VIA_SSOT_Unified.py","FOUND","LOW","306724","2026-05-26 16:47:58"
"VIA-SUP-0045","VIA_SSOT_Unified.py.freeze.lock","VIA_SSOT_Unified.py.freeze.lock.json","20_Registry_SSOT","L2_SSOT_Registry","json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\20_Registry_SSOT\VIA_SSOT_Unified.py.freeze.lock.json","FOUND","LOW","1031","2026-06-08 20:10:15"
"VIA-SUP-0046","VIS_Supportive_Module_Index","VIS_Supportive_Module_Index.html","20_Registry_SSOT","L2_SSOT_Registry","html","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\20_Registry_SSOT\VIS_Supportive_Module_Index.html","FOUND","LOW","1934207","2026-05-23 09:00:08"
"VIA-SUP-0047","VIS_Supportive_Module_Index.html.freeze.lock","VIS_Supportive_Module_Index.html.freeze.lock.json","20_Registry_SSOT","L2_SSOT_Registry","json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\20_Registry_SSOT\VIS_Supportive_Module_Index.html.freeze.lock.json","FOUND","LOW","1128","2026-06-08 20:10:15"
"VIA-SUP-0048","VIS_Supportive_Module_Index","VIS_Supportive_Module_Index.json","20_Registry_SSOT","L2_SSOT_Registry","json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\20_Registry_SSOT\VIS_Supportive_Module_Index.json","FOUND","LOW","2652","2026-05-23 09:00:08"
"VIA-SUP-0049","VIS_Supportive_Module_Index.json.freeze.lock","VIS_Supportive_Module_Index.json.freeze.lock.json","20_Registry_SSOT","L2_SSOT_Registry","json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\20_Registry_SSOT\VIS_Supportive_Module_Index.json.freeze.lock.json","FOUND","LOW","1017","2026-06-08 20:10:15"
"VIA-SUP-0050","VIA_HardGate_SealEngine.cpython-313","VIA_HardGate_SealEngine.cpython-313.pyc","30_HardGate_Governance","L3_HardGate_Protection","other","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\30_HardGate_Governance\__pycache__\VIA_HardGate_SealEngine.cpython-313.pyc","FOUND","LOW","5051","2026-06-10 12:33:57"
"VIA-SUP-0051","VIA_Panorama_AST_RuntimeInjector.cpython-313","VIA_Panorama_AST_RuntimeInjector.cpython-313.pyc","30_HardGate_Governance","L3_HardGate_Protection","other","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\30_HardGate_Governance\__pycache__\VIA_Panorama_AST_RuntimeInjector.cpython-313.pyc","FOUND","LOW","15009","2026-06-10 12:33:57"
"VIA-SUP-0052","VIA_HardGate_SealEngine","VIA_HardGate_SealEngine.py","30_HardGate_Governance","L3_HardGate_Protection","python","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\30_HardGate_Governance\VIA_HardGate_SealEngine.py","FOUND","LOW","4582","2026-05-26 16:35:45"
"VIA-SUP-0053","VIA_HardGate_SealEngine.py.freeze.lock","VIA_HardGate_SealEngine.py.freeze.lock.json","30_HardGate_Governance","L3_HardGate_Protection","json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\30_HardGate_Governance\VIA_HardGate_SealEngine.py.freeze.lock.json","FOUND","LOW","1068","2026-06-08 20:10:15"
"VIA-SUP-0054","VIA_Panorama_AST_RuntimeInjector","VIA_Panorama_AST_RuntimeInjector.py","30_HardGate_Governance","L3_HardGate_Protection","python","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\30_HardGate_Governance\VIA_Panorama_AST_RuntimeInjector.py","FOUND","LOW","13403","2026-05-26 16:47:57"
"VIA-SUP-0055","VIA_Panorama_AST_RuntimeInjector.py.freeze.lock","VIA_Panorama_AST_RuntimeInjector.py.freeze.lock.json","30_HardGate_Governance","L3_HardGate_Protection","json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\30_HardGate_Governance\VIA_Panorama_AST_RuntimeInjector.py.freeze.lock.json","FOUND","LOW","1105","2026-06-08 20:10:15"
"VIA-SUP-0056","VIA_Supportive_HardGate_Seal","VIA_Supportive_HardGate_Seal.json","30_HardGate_Governance","L3_HardGate_Protection","json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\30_HardGate_Governance\VIA_Supportive_HardGate_Seal.json","FOUND","LOW","714","2026-04-30 15:51:22"
"VIA-SUP-0057","VIA_Supportive_HardGate_Seal.json.freeze.lock","VIA_Supportive_HardGate_Seal.json.freeze.lock.json","30_HardGate_Governance","L3_HardGate_Protection","json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\30_HardGate_Governance\VIA_Supportive_HardGate_Seal.json.freeze.lock.json","FOUND","LOW","1033","2026-06-08 20:10:15"
"VIA-SUP-0058","VIA_Supportive_HardGate_Seal","VIA_Supportive_HardGate_Seal.ps1","30_HardGate_Governance","L3_HardGate_Protection","powershell","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\30_HardGate_Governance\VIA_Supportive_HardGate_Seal.ps1","FOUND","LOW","366","2026-04-28 11:44:50"
"VIA-SUP-0059","VIA_Supportive_HardGate_Seal.ps1.freeze.lock","VIA_Supportive_HardGate_Seal.ps1.freeze.lock.json","30_HardGate_Governance","L3_HardGate_Protection","json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\30_HardGate_Governance\VIA_Supportive_HardGate_Seal.ps1.freeze.lock.json","FOUND","LOW","1041","2026-06-08 20:10:15"
"VIA-SUP-0060","VIA_VRN_HardGate_Bridge_Seal","VIA_VRN_HardGate_Bridge_Seal.json","30_HardGate_Governance","L3_HardGate_Protection","json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\30_HardGate_Governance\VIA_VRN_HardGate_Bridge_Seal.json","FOUND","LOW","898","2026-05-06 14:46:08"
"VIA-SUP-0061","VIA_VRN_HardGate_Bridge_Seal.json.freeze.lock","VIA_VRN_HardGate_Bridge_Seal.json.freeze.lock.json","30_HardGate_Governance","L3_HardGate_Protection","json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\30_HardGate_Governance\VIA_VRN_HardGate_Bridge_Seal.json.freeze.lock.json","FOUND","LOW","1033","2026-06-08 20:10:15"
"VIA-SUP-0062","VIA_EnvManager.cpython-313","VIA_EnvManager.cpython-313.pyc","40_Environment_Health","L4_EnvManager","other","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\40_Environment_Health\__pycache__\VIA_EnvManager.cpython-313.pyc","FOUND","LOW","69578","2026-06-10 12:33:57"
"VIA-SUP-0063","VIS_InstallHealthRegistry.cpython-313","VIS_InstallHealthRegistry.cpython-313.pyc","40_Environment_Health","L2_SSOT_Registry","other","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\40_Environment_Health\__pycache__\VIS_InstallHealthRegistry.cpython-313.pyc","FOUND","LOW","7265","2026-06-10 12:33:57"
"VIA-SUP-0064","VIA_EnvManager","VIA_EnvManager.py","40_Environment_Health","L4_EnvManager","python","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\40_Environment_Health\VIA_EnvManager.py","FOUND","LOW","68497","2026-04-26 02:33:51"
"VIA-SUP-0065","VIA_EnvManager.py.freeze.lock","VIA_EnvManager.py.freeze.lock.json","40_Environment_Health","L4_EnvManager","json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\40_Environment_Health\VIA_EnvManager.py.freeze.lock.json","FOUND","LOW","1032","2026-06-08 20:10:15"
"VIA-SUP-0066","VIS_InstallHealthRegistry","VIS_InstallHealthRegistry.py","40_Environment_Health","L2_SSOT_Registry","python","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\40_Environment_Health\VIS_InstallHealthRegistry.py","FOUND","LOW","5107","2026-05-26 16:35:46"
"VIA-SUP-0067","VIS_InstallHealthRegistry.py.freeze.lock","VIS_InstallHealthRegistry.py.freeze.lock.json","40_Environment_Health","L2_SSOT_Registry","json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\40_Environment_Health\VIS_InstallHealthRegistry.py.freeze.lock.json","FOUND","LOW","1074","2026-06-08 20:10:15"
"VIA-SUP-0068","VeritasAegisNexus.cpython-313","VeritasAegisNexus.cpython-313.pyc","50_Protection_Acceleration","L3_HardGate_Protection","other","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\50_Protection_Acceleration\__pycache__\VeritasAegisNexus.cpython-313.pyc","FOUND","LOW","233225","2026-06-10 12:33:57"
"VIA-SUP-0069","VeritasCeleritas.cpython-313","VeritasCeleritas.cpython-313.pyc","50_Protection_Acceleration","L3_HardGate_Protection","other","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\50_Protection_Acceleration\__pycache__\VeritasCeleritas.cpython-313.pyc","FOUND","LOW","305509","2026-06-10 12:33:57"
"VIA-SUP-0070","VeritasAegisNexus","VeritasAegisNexus.py","50_Protection_Acceleration","L3_HardGate_Protection","python","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\50_Protection_Acceleration\VeritasAegisNexus.py","FOUND","LOW","208495","2026-05-26 02:51:15"
"VIA-SUP-0071","VeritasAegisNexus.py.freeze.lock","VeritasAegisNexus.py.freeze.lock.json","50_Protection_Acceleration","L3_HardGate_Protection","json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\50_Protection_Acceleration\VeritasAegisNexus.py.freeze.lock.json","FOUND","LOW","1056","2026-06-08 20:10:15"
"VIA-SUP-0072","VeritasCeleritas","VeritasCeleritas.py","50_Protection_Acceleration","L3_HardGate_Protection","python","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\50_Protection_Acceleration\VeritasCeleritas.py","FOUND","LOW","242127","2026-05-06 00:35:34"
"VIA-SUP-0073","VeritasCeleritas.py.freeze.lock","VeritasCeleritas.py.freeze.lock.json","50_Protection_Acceleration","L3_HardGate_Protection","json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\50_Protection_Acceleration\VeritasCeleritas.py.freeze.lock.json","FOUND","LOW","1053","2026-06-08 20:10:15"
"VIA-SUP-0074","Invoke-VIA-ALL","Invoke-VIA-ALL.ps1","60_PowerShell_Entry_Internal","L9_Supportive_Tool","powershell","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\60_PowerShell_Entry_Internal\Invoke-VIA-ALL.ps1","FOUND","LOW","23138","2026-06-06 08:50:39"
"VIA-SUP-0075","Invoke-VIA-ALL.ps1.freeze.lock","Invoke-VIA-ALL.ps1.freeze.lock.json","60_PowerShell_Entry_Internal","L9_Supportive_Tool","json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\60_PowerShell_Entry_Internal\Invoke-VIA-ALL.ps1.freeze.lock.json","FOUND","LOW","997","2026-06-08 20:10:15"
