file_name,file_path,row_count,column_count,symbol_col,date_col,value_col,source_col,symbol_score,date_score,value_score,source_score,selection_risk
VDF_AkShare_SmartRepairedPreview_v027811.json,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_KEY_REPAIR_ROOTCAUSE_SMART_REMAP_v027811_20260610_221501\preview\VDF_AkShare_SmartRepairedPreview_v027811.json,150,22,symbol,date,value,vdf_original_row_hash,85,100,55,90,LOW
VDF_AkShare_SmartRemapReadinessGate_v027811.json,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_KEY_REPAIR_ROOTCAUSE_SMART_REMAP_v027811_20260610_221501\registry\VDF_AkShare_SmartRemapReadinessGate_v027811.json,1,12,status,generated_at,allowed_to_write_database_now,generated_at,25,40,60,10,LOW
VDF_AkShare_SmartRemapRules_v027811.json,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_KEY_REPAIR_ROOTCAUSE_SMART_REMAP_v027811_20260610_221501\registry\VDF_AkShare_SmartRemapRules_v027811.json,5,1,0,0,0,0,15,0,0,10,LOW
VDF_AkShare_CandidateSeedStagingPlan_v0274.json,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_SMALL_SCOPE_CANDIDATE_SEED_STAGING_v0274_20260610_145643\plan\VDF_AkShare_CandidateSeedStagingPlan_v0274.json,7,1,0,0,0,0,15,0,0,10,LOW
VDF_AkShare_CandidateSeedManifest_v0274.json,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_SMALL_SCOPE_CANDIDATE_SEED_STAGING_v0274_20260610_145643\registry\VDF_AkShare_CandidateSeedManifest_v0274.json,6,12,symbol_hint,function,priority,function,75,0,45,90,LOW
VDF_AkShare_CandidateSeedRun_Result_v0274.csv,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_SMALL_SCOPE_CANDIDATE_SEED_STAGING_v0274_20260610_145643\registry\VDF_AkShare_CandidateSeedRun_Result_v0274.csv,6,12,symbol_hint,function,priority,function,75,0,45,90,LOW
VDF_AkShare_CandidateSeedRun_Result_v0274.json,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_SMALL_SCOPE_CANDIDATE_SEED_STAGING_v0274_20260610_145643\registry\VDF_AkShare_CandidateSeedRun_Result_v0274.json,6,12,symbol_hint,function,priority,function,75,0,45,90,LOW
VDF_Global_Commodity_AkShare_Candidate_v0274.csv,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_SMALL_SCOPE_CANDIDATE_SEED_STAGING_v0274_20260610_145643\staging\VDF_Global_Commodity_AkShare_Candidate_v0274.csv,150,12,vdf_symbol_hint,时间,value,vdf_source_function,85,100,60,90,LOW
VDF_Global_Commodity_AkShare_Candidate_v0274.json,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_SMALL_SCOPE_CANDIDATE_SEED_STAGING_v0274_20260610_145643\staging\VDF_Global_Commodity_AkShare_Candidate_v0274.json,150,12,vdf_symbol_hint,时间,value,vdf_source_function,85,100,60,90,LOW
VDF_AkShare_CandidateStagingFinalSealPlan_v0275.json,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_freeze\VDF_AKSHARE_CANDIDATE_STAGING_FINAL_SEAL_v0275_20260610_150853\plan\VDF_AkShare_CandidateStagingFinalSealPlan_v0275.json,3,1,0,0,0,0,15,0,0,10,LOW
VDF_AkShare_CandidateIntegrityAudit_v0275.json,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_freeze\VDF_AKSHARE_CANDIDATE_STAGING_FINAL_SEAL_v0275_20260610_150853\registry\VDF_AkShare_CandidateIntegrityAudit_v0275.json,1,9,target_table,target_table,expected_rows,expected_rows,25,0,45,10,LOW
VDF_AKSHARE_CANDIDATE_STAGING_FINAL_SEAL_v0275.json,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_freeze\VDF_AKSHARE_CANDIDATE_STAGING_FINAL_SEAL_v0275_20260610_150853\seal\VDF_AKSHARE_CANDIDATE_STAGING_FINAL_SEAL_v0275.json,8,1,0,0,0,0,15,0,0,10,LOW
