file_id,qualified,status,risk,score,elapsed_sec,pages,text_chars,ticker,report_date,broker,keyword_hits,reason,file_name,path
2ffbf03c7485,True,QUALIFIED_FAST,LOW,100,0.2837,6,5194,6147,2026-05-19,凱基,rating;eps;持有;目標價;評等;調升;調降;營收;獲利;每股盈餘;財測,,凱基投顧_6147 頎邦_劉宇程_20260519.pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\凱基投顧_6147 頎邦_劉宇程_20260519.pdf
513089807e2e,True,QUALIFIED_FAST,LOW,100,0.4259,13,3700,2891,2026-05-19,凱基,持有;目標價;評等;調升;獲利;每股盈餘,,凱基投顧_2891 中信金_施志鴻_20260519.pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\凱基投顧_2891 中信金_施志鴻_20260519.pdf
0b267eb81814,False,REVIEW_REQUIRED_FAST,MEDIUM,50,0.6846,41,225,2026,,華南,,date_missing; keyword_missing,第三場 AI潮流下展望2026半導體產業趨勢 - 陳子昂.pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\第三場 AI潮流下展望2026半導體產業趨勢 - 陳子昂.pdf
e6270450a0cb,True,QUALIFIED_FAST,LOW,85,0.5858,15,2225,6533,2025-12-06,,neutral;eps;中立;目標價;評等;營收;獲利;個股報告,broker_missing,"晶心科(6533,N,中立)-CTBC251208.pdf","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\晶心科(6533,N,中立)-CTBC251208.pdf"
bec2e8821841,True,QUALIFIED_FAST,LOW,100,0.543,8,2509,2606,2025-09-12,華南,eps;買進;目標價;評等;營收;投資評等,,華南投顧-2606-裕民-1141202.pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\華南投顧-2606-裕民-1141202.pdf
aaf37d8b44ad,True,QUALIFIED_FAST,LOW,100,0.664,8,6331,1476,2026-05-19,凱基,持有;目標價;評等;調升;營收;獲利;每股盈餘,,凱基投顧_1476 儒鴻_劉昃恩_20260519.pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\凱基投顧_1476 儒鴻_劉昃恩_20260519.pdf
7f6338fb959d,True,QUALIFIED_FAST,LOW,100,0.4623,8,3410,3017,2025-11-13,華南,eps;買進;持有;目標價;評等;營收;投資評等,,華南投顧-3017-奇鋐-1141202.pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\華南投顧-3017-奇鋐-1141202.pdf
a9762ff02efe,True,QUALIFIED_FAST,LOW,100,0.4506,8,1418,4171,2025-12-08,GS,評等;營收;個股報告,,"瑞基(4171,NR_未評等)-CTBC251208.pdf","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\瑞基(4171,NR_未評等)-CTBC251208.pdf"
d04a4946c88f,True,QUALIFIED_FAST,LOW,100,0.2544,5,8419,1319,2023-10-11,GS,buy;hold;target price;rating;eps;revenue;earnings,,Daiwa-1319 20231011.pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\Daiwa-1319 20231011.pdf
cd1804f88763,True,QUALIFIED_FAST,LOW,100,0.6844,7,2768,2637,2025-08-14,華南,eps;買進;持有;目標價;評等;營收;獲利;投資評等,,華南投顧-2637-慧洋-KY-1141202.pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\華南投顧-2637-慧洋-KY-1141202.pdf
0e3a7ffea317,True,QUALIFIED_FAST,LOW,100,0.3961,13,3229,3231,2025-06-04,Citi,buy;target price;eps;earnings,,Citi-3231 20250604.pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\Citi-3231 20250604.pdf
73c0ed880dcd,True,QUALIFIED_FAST,LOW,100,0.3102,4,5884,3653,2025-10-02,GS,hold;target price;revenue;valuation,,Daiwa-3653 20251002.pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\Daiwa-3653 20251002.pdf
1ce8f7a19d5b,True,QUALIFIED_FAST,LOW,100,0.7978,8,2992,6143,2025-09-09,華南,eps;買進;目標價;評等;營收;投資評等,,華南投顧-6143-振曜-1141128.pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\華南投顧-6143-振曜-1141128.pdf
8bc5fab0f44d,True,QUALIFIED_FAST,LOW,90,0.1951,8,4667,1590,2025-12-03,Goldman,revenue,,GS-1590 20251203.pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\GS-1590 20251203.pdf
002075ad1390,True,QUALIFIED_FAST,LOW,100,0.1506,8,5261,2317,2025-12-05,Goldman,buy;revenue,,GS-2317 20251205.pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\GS-2317 20251205.pdf
c8bcf1de430d,True,QUALIFIED_FAST,LOW,100,0.2851,8,6694,1590,2023-10-12,Goldman,buy;outperform;revenue,,GS-1590 20231012.pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\GS-1590 20231012.pdf
9015d064e179,True,QUALIFIED_FAST,LOW,100,0.14,8,6995,3706,2025-11-30,Goldman,buy;rating;revenue;valuation,,GS-3706 20251130.pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\GS-3706 20251130.pdf
6ad043d05d31,True,QUALIFIED_FAST,LOW,100,0.1926,8,9180,2383,2026-05-19,Goldman,buy;eps;revenue;earnings,,GS-2383 20260519.pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\GS-2383 20260519.pdf
c0e1841bbcfd,True,QUALIFIED_FAST,LOW,100,0.4791,4,7024,6278,2026-05-21,Daiwa,hold;target price;eps;revenue;valuation,,Daiwa-6278 20260521.pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\Daiwa-6278 20260521.pdf
857093b8833a,True,QUALIFIED_FAST,LOW,100,0.5813,11,7709,6669,2025-10-01,GS,hold;outperform;eps;revenue;earnings;valuation,,CLST-6669 20251001.pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\CLST-6669 20251001.pdf
60182f2345d3,True,QUALIFIED_FAST,LOW,100,0.1662,26,7646,2330,2025-07-18,GS,rating;eps;revenue;earnings,,JP-2330 20250718.pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\JP-2330 20250718.pdf
da66bcad430c,True,QUALIFIED_FAST,LOW,100,0.1995,13,9145,6415,2026-05-17,Goldman,buy;neutral;eps;revenue;earnings;upgrade,,GS-6415 20260517.pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\GS-6415 20260517.pdf
ee80f5489c73,True,QUALIFIED_FAST,LOW,100,0.2143,13,7332,3653,2025-10-03,JPM,buy;hold;outperform;eps;upgrade,,JP-3653 20251003.pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\JP-3653 20251003.pdf
d7fc40eba962,True,QUALIFIED_FAST,LOW,60,0.1312,4,0,1560,2026-05-20,,,broker_missing; keyword_missing,MQ-1560 20260520.pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\MQ-1560 20260520.pdf
012d1f99030a,True,QUALIFIED_FAST,LOW,100,0.0588,9,3915,6669,2025-10-07,Morgan Stanley,rating;eps;revenue;downgrade,,MS-6669 20251007.pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\MS-6669 20251007.pdf
bb3578cff8f2,True,QUALIFIED_FAST,LOW,100,0.1377,17,6942,3661,2025-12-03,GS,rating;eps;revenue;earnings,,MS-3661 20251203.pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\MS-3661 20251203.pdf
9fa64d802d5c,True,QUALIFIED_FAST,LOW,100,0.1514,16,6216,2308,2025-11-28,GS,rating;eps;revenue;earnings;upgrade,,MS-2308 20251128.pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\MS-2308 20251128.pdf
415d87f21003,True,QUALIFIED_FAST,LOW,100,0.1573,9,5195,3665,2025-12-02,Morgan Stanley,hold;rating;eps;revenue,,MS-3665 20251202.pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\MS-3665 20251202.pdf
3635a2681a48,True,QUALIFIED_FAST,LOW,100,0.5749,8,5446,2382,2023-10-12,Goldman,buy;revenue,,GS-2382 20231012.pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\GS-2382 20231012.pdf
e337b0a2e05d,True,QUALIFIED_FAST,LOW,100,0.2461,13,3582,3706,2025-08-22,國泰,eps;買進;目標價;評等;營收;獲利;每股盈餘;個股報告,,【國泰證期研究部】神達(3706 TT)-初次評等買進(+30.4_)-大顯神威，營運騰達-20250822.pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_193542_VRN_GO_EXTRACTOR_SMOKE_V116\smoke_input\【國泰證期研究部】神達(3706 TT)-初次評等買進(+30.4_)-大顯神威，營運騰達-20250822.pdf
8837f1ff87a8,True,QUALIFIED_FAST,LOW,95,0.2424,7,0,3706,2025-08-22,國泰,買進;評等,,【國泰證期研究部】神達(3706 TT)-初次評等買進(+30.4_)-大顯神威，營運騰達-20250822__COVER_FIN.pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_193542_VRN_GO_EXTRACTOR_SMOKE_V116\smoke_output\m01_pdf_temp\【國泰證期研究部】神達(3706 TT)-初次評等買進(+30.4_)-大顯神威，營運騰達-20250822__COVER_FIN.pdf
e337b0a2e05d,True,QUALIFIED_FAST,LOW,100,0.2826,13,3582,3706,2025-08-22,國泰,eps;買進;目標價;評等;營收;獲利;每股盈餘;個股報告,,【國泰證期研究部】神達(3706 TT)-初次評等買進(+30.4_)-大顯神威，營運騰達-20250822.pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_193922_VRN_GO_M01_3PDF_SMOKE_V117\smoke_input_3pdf\【國泰證期研究部】神達(3706 TT)-初次評等買進(+30.4_)-大顯神威，營運騰達-20250822.pdf
f411c84d8859,True,QUALIFIED_FAST,LOW,85,0.0541,6,0,6873,2025-08-19,兆豐,個股報告,,20250819兆豐個股報告-泓德能源(6873)__COVER_FIN.pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_193922_VRN_GO_M01_3PDF_SMOKE_V117\smoke_output_3pdf\m01_pdf_temp\20250819兆豐個股報告-泓德能源(6873)__COVER_FIN.pdf
55c6a90bffa6,True,QUALIFIED_FAST,LOW,100,0.327,9,3674,8210,2025-10-07,GS,rating;eps;revenue;valuation,,MS-8210 20251007.pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\MS-8210 20251007.pdf
2bdd74d5ad28,True,QUALIFIED_FAST,LOW,100,0.4555,9,4101,1590,2025-12-02,GS,rating;eps;revenue;valuation,,MS-1590 20251202.pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\MS-1590 20251202.pdf
fc9e9d1ffdf9,True,QUALIFIED_FAST,LOW,100,0.1706,5,2878,3706,2025-11-28,兆豐,eps;買進;賣出;目標價;評等;營收;投資評等,,20251128兆豐訪談速報-神達(3706).pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_193922_VRN_GO_M01_3PDF_SMOKE_V117\smoke_input_3pdf\20251128兆豐訪談速報-神達(3706).pdf
e337b0a2e05d,True,QUALIFIED_FAST,LOW,100,0.4871,13,3582,3706,2025-08-22,國泰,eps;買進;目標價;評等;營收;獲利;每股盈餘;個股報告,,【國泰證期研究部】神達(3706 TT)-初次評等買進(+30.4_)-大顯神威，營運騰達-20250822.pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_193217_VRN_GO_M01_SMOKE_V115\smoke_input\【國泰證期研究部】神達(3706 TT)-初次評等買進(+30.4_)-大顯神威，營運騰達-20250822.pdf
144913c917d9,True,QUALIFIED_FAST,LOW,100,0.4012,8,2738,6873,2025-08-19,兆豐,eps;買進;賣出;目標價;評等;調降;營收;獲利;投資評等;個股報告,,20250819兆豐個股報告-泓德能源(6873).pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_193922_VRN_GO_M01_3PDF_SMOKE_V117\smoke_input_3pdf\20250819兆豐個股報告-泓德能源(6873).pdf
144913c917d9,True,QUALIFIED_FAST,LOW,100,0.1834,8,2738,6873,2025-08-19,兆豐,eps;買進;賣出;目標價;評等;調降;營收;獲利;投資評等;個股報告,,20250819兆豐個股報告-泓德能源(6873).pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_194320_VRN_GO_M01_10PDF_SMOKE_V118\smoke_input_10pdf\20250819兆豐個股報告-泓德能源(6873).pdf
1c6725421e5f,True,QUALIFIED_FAST,LOW,75,0.1991,5,0,3706,2025-11-28,兆豐,,keyword_missing,20251128兆豐訪談速報-神達(3706)__COVER_FIN.pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_193922_VRN_GO_M01_3PDF_SMOKE_V117\smoke_output_3pdf\m01_pdf_temp\20251128兆豐訪談速報-神達(3706)__COVER_FIN.pdf
e337b0a2e05d,True,QUALIFIED_FAST,LOW,100,0.2007,13,3582,3706,2025-08-22,國泰,eps;買進;目標價;評等;營收;獲利;每股盈餘;個股報告,,【國泰證期研究部】神達(3706 TT)-初次評等買進(+30.4_)-大顯神威，營運騰達-20250822.pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_194320_VRN_GO_M01_10PDF_SMOKE_V118\smoke_input_10pdf\【國泰證期研究部】神達(3706 TT)-初次評等買進(+30.4_)-大顯神威，營運騰達-20250822.pdf
8837f1ff87a8,True,QUALIFIED_FAST,LOW,95,0.3401,7,0,3706,2025-08-22,國泰,買進;評等,,【國泰證期研究部】神達(3706 TT)-初次評等買進(+30.4_)-大顯神威，營運騰達-20250822__COVER_FIN.pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_193922_VRN_GO_M01_3PDF_SMOKE_V117\smoke_output_3pdf\m01_pdf_temp\【國泰證期研究部】神達(3706 TT)-初次評等買進(+30.4_)-大顯神威，營運騰達-20250822__COVER_FIN.pdf
482e52f26cf4,True,QUALIFIED_FAST,LOW,60,0.1918,9,2977,6933,,,eps;評等;營收,date_missing; broker_missing,6933_AMAX-KY_個股介紹報告.pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_194320_VRN_GO_M01_10PDF_SMOKE_V118\smoke_input_10pdf\6933_AMAX-KY_個股介紹報告.pdf
a647dd1af7a3,True,QUALIFIED_FAST,LOW,100,0.3777,7,3395,6768,2025-12-04,兆豐,eps;買進;賣出;目標價;評等;營收;投資評等;個股報告,,20251204兆豐個股報告-志強-KY(6768).pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_194320_VRN_GO_M01_10PDF_SMOKE_V118\smoke_input_10pdf\20251204兆豐個股報告-志強-KY(6768).pdf
b94683a9c9e6,True,QUALIFIED_FAST,LOW,100,0.2856,9,4096,3014,2023-10-05,國泰,eps;買進;目標價;評等;營收;每股盈餘;個股報告,,3014TT-20231005.pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_194320_VRN_GO_M01_10PDF_SMOKE_V118\smoke_input_10pdf\3014TT-20231005.pdf
f411c84d8859,True,QUALIFIED_FAST,LOW,85,0.2868,6,0,6873,2025-08-19,兆豐,個股報告,,20250819兆豐個股報告-泓德能源(6873)__COVER_FIN.pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_194320_VRN_GO_M01_10PDF_SMOKE_V118\smoke_output_10pdf\m01_pdf_temp\20250819兆豐個股報告-泓德能源(6873)__COVER_FIN.pdf
fc9e9d1ffdf9,True,QUALIFIED_FAST,LOW,100,0.5009,5,2878,3706,2025-11-28,兆豐,eps;買進;賣出;目標價;評等;營收;投資評等,,20251128兆豐訪談速報-神達(3706).pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_194320_VRN_GO_M01_10PDF_SMOKE_V118\smoke_input_10pdf\20251128兆豐訪談速報-神達(3706).pdf
8837f1ff87a8,True,QUALIFIED_FAST,LOW,95,0.3234,7,0,3706,2025-08-22,國泰,買進;評等,,【國泰證期研究部】神達(3706 TT)-初次評等買進(+30.4_)-大顯神威，營運騰達-20250822__COVER_FIN.pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_194320_VRN_GO_M01_10PDF_SMOKE_V118\smoke_output_10pdf\m01_pdf_temp\【國泰證期研究部】神達(3706 TT)-初次評等買進(+30.4_)-大顯神威，營運騰達-20250822__COVER_FIN.pdf
dc367a89b6fb,True,QUALIFIED_FAST,LOW,100,0.3723,9,2774,4771,2026-05-19,兆豐,eps;買進;賣出;目標價;評等;營收;獲利;投資評等;個股報告,,20260519兆豐個股報告-望隼(4771).pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_194320_VRN_GO_M01_10PDF_SMOKE_V118\smoke_input_10pdf\20260519兆豐個股報告-望隼(4771).pdf
1c6725421e5f,True,QUALIFIED_FAST,LOW,75,0.283,5,0,3706,2025-11-28,兆豐,,keyword_missing,20251128兆豐訪談速報-神達(3706)__COVER_FIN.pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_194320_VRN_GO_M01_10PDF_SMOKE_V118\smoke_output_10pdf\m01_pdf_temp\20251128兆豐訪談速報-神達(3706)__COVER_FIN.pdf
12548b012a8b,True,QUALIFIED_FAST,LOW,85,0.2575,6,0,6768,2025-12-04,兆豐,個股報告,,20251204兆豐個股報告-志強-KY(6768)__COVER_FIN.pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_194320_VRN_GO_M01_10PDF_SMOKE_V118\smoke_output_10pdf\m01_pdf_temp\20251204兆豐個股報告-志強-KY(6768)__COVER_FIN.pdf
c2e26fd52da5,False,REVIEW_REQUIRED_FAST,MEDIUM,35,0.2185,2,0,6933,,,,date_missing; broker_missing; keyword_missing,6933_AMAX-KY_個股介紹報告__COVER_FIN.pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_194320_VRN_GO_M01_10PDF_SMOKE_V118\smoke_output_10pdf\m01_pdf_temp\6933_AMAX-KY_個股介紹報告__COVER_FIN.pdf
4c4bcf631547,True,QUALIFIED_FAST,LOW,60,0.3193,6,0,3014,2023-10-05,,,broker_missing; keyword_missing,3014TT-20231005__COVER_FIN.pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_194320_VRN_GO_M01_10PDF_SMOKE_V118\smoke_output_10pdf\m01_pdf_temp\3014TT-20231005__COVER_FIN.pdf
f076f1152b4b,True,QUALIFIED_FAST,LOW,85,0.3456,7,0,4771,2026-05-19,兆豐,個股報告,,20260519兆豐個股報告-望隼(4771)__COVER_FIN.pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_194320_VRN_GO_M01_10PDF_SMOKE_V118\smoke_output_10pdf\m01_pdf_temp\20260519兆豐個股報告-望隼(4771)__COVER_FIN.pdf
e337b0a2e05d,True,QUALIFIED_FAST,LOW,100,0.4195,13,3582,3706,2025-08-22,國泰,eps;買進;目標價;評等;營收;獲利;每股盈餘;個股報告,,【國泰證期研究部】神達(3706 TT)-初次評等買進(+30.4_)-大顯神威，營運騰達-20250822.pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_194703_VRN_GO_M01_30PDF_SMOKE_V119\smoke_input_30pdf\【國泰證期研究部】神達(3706 TT)-初次評等買進(+30.4_)-大顯神威，營運騰達-20250822.pdf
144913c917d9,True,QUALIFIED_FAST,LOW,100,0.4452,8,2738,6873,2025-08-19,兆豐,eps;買進;賣出;目標價;評等;調降;營收;獲利;投資評等;個股報告,,20250819兆豐個股報告-泓德能源(6873).pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_194703_VRN_GO_M01_30PDF_SMOKE_V119\smoke_input_30pdf\20250819兆豐個股報告-泓德能源(6873).pdf
a647dd1af7a3,True,QUALIFIED_FAST,LOW,100,0.464,7,3395,6768,2025-12-04,兆豐,eps;買進;賣出;目標價;評等;營收;投資評等;個股報告,,20251204兆豐個股報告-志強-KY(6768).pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_194703_VRN_GO_M01_30PDF_SMOKE_V119\smoke_input_30pdf\20251204兆豐個股報告-志強-KY(6768).pdf
9db99ee86da3,True,QUALIFIED_FAST,LOW,75,0.2636,57,384,2026,2025-12-01,華南,,keyword_missing,第一場 2026年投資大趨勢 - 華南投顧 -1141201.pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_194703_VRN_GO_M01_30PDF_SMOKE_V119\smoke_input_30pdf\第一場 2026年投資大趨勢 - 華南投顧 -1141201.pdf
dc367a89b6fb,True,QUALIFIED_FAST,LOW,100,0.4295,9,2774,4771,2026-05-19,兆豐,eps;買進;賣出;目標價;評等;營收;獲利;投資評等;個股報告,,20260519兆豐個股報告-望隼(4771).pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_194703_VRN_GO_M01_30PDF_SMOKE_V119\smoke_input_30pdf\20260519兆豐個股報告-望隼(4771).pdf
b94683a9c9e6,True,QUALIFIED_FAST,LOW,100,0.3622,9,4096,3014,2023-10-05,國泰,eps;買進;目標價;評等;營收;每股盈餘;個股報告,,3014TT-20231005.pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_194703_VRN_GO_M01_30PDF_SMOKE_V119\smoke_input_30pdf\3014TT-20231005.pdf
fc9e9d1ffdf9,True,QUALIFIED_FAST,LOW,100,0.5194,5,2878,3706,2025-11-28,兆豐,eps;買進;賣出;目標價;評等;營收;投資評等,,20251128兆豐訪談速報-神達(3706).pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_194703_VRN_GO_M01_30PDF_SMOKE_V119\smoke_input_30pdf\20251128兆豐訪談速報-神達(3706).pdf
