"Time","Category","FixClass","Priority","Risk","Action","Reason","Path"
"2026-06-11T20:29:18.298+08:00","PowerShell Parse","SEQUENTIAL_REQUIRED","P0","HIGH","Repair one PS file at a time after backup.","L5:33 The assignment expression is not valid. The input to an assignment operator must be an object that is able to accept assignments, such as a variable or a property.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VeritasIntelligenceAnalytics\_freeze\VIA_UNIFIED_INPUT_SSOT_FREEZE_GATEWAY_20260609_034130\gateway\Invoke-VIA-UnifiedInputGateway.ps1"
"2026-06-11T20:29:18.298+08:00","PowerShell Parse","SEQUENTIAL_REQUIRED","P0","HIGH","Repair one PS file at a time after backup.","L1040:13 The string is missing the terminator: '@.","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\VeritasGlyphForge\VeritasGlyphForge_AllInOne.ps1"
"2026-06-11T20:29:18.299+08:00","PowerShell Parse","SEQUENTIAL_REQUIRED","P0","HIGH","Repair one PS file at a time after backup.","L23:27 The assignment expression is not valid. The input to an assignment operator must be an object that is able to accept assignments, such as a variable or a property. | L24:27 The assignment expression is not valid. The input to an assignment operator must be an object that is able to accept assignments, such as a variable or a property.","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\VIAO\VIA_Panoramic_Inspector_v1.ps1"
"2026-06-11T20:29:18.299+08:00","PowerShell Parse","SEQUENTIAL_REQUIRED","P0","HIGH","Repair one PS file at a time after backup.","L69:1 Variable reference is not valid. '$' was not followed by a valid variable name character. Consider using ${} to delimit the name. | L69:9 Unexpected token '{' in expression or statement. | L69:22 Unexpected token '_VERSION' in expression or statement. | L71:1 Variable reference is not valid. '$' was not followed by a valid variable name character. Consider using ${} to delimit the name. | L71:9 Unexpected token '{' in expression or statement. | L71:22 Unexpected token '_CONFIG' in expression or statement. | L159:18 Variable reference is not valid. '$' was not followed by a valid variable name character. Consider using ${} to delimit the name. | L159:26 Unexpected token '{' in expression or statement. | L159:39 Unexpected token '_CONFIG' in expression or statement.","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\template\via_ps_standard_template.ps1"
"2026-06-11T20:29:18.299+08:00","PowerShell Parse","SEQUENTIAL_REQUIRED","P0","HIGH","Repair one PS file at a time after backup.","L906:148 Missing ')' in method call. | L906:148 Unexpected token 'if' in expression or statement. | L911:88 Missing ')' in method call. | L911:88 Unexpected token 'if' in expression or statement. | L911:129 The string is missing the terminator: "". | L911:128 Missing closing '}' in statement block or type definition. | L911:134 Missing closing ')' in subexpression. | L911:225 Missing ')' in method call. | L911:225 Unexpected token 'if' in expression or statement. | L911:268 The string is missing the terminator: "". | L911:267 Missing closing '}' in statement block or type definition. | L911:273 Missing closing ')' in subexpression. | L911:324 Missing ')' in method call. | L911:324 Unexpected token 'if' in expression or statement. | L911:359 The string is missing the terminator: "". | L911:358 Missing closing '}' in statement block or type definition. | L911:364 Missing closing ')' in subexpression. | L911:637 Missing ')' in method call. | L911:637 Unexpected token 'if' in expression or statement. | L911:668 The string is missing the terminator: "". | L911:667 Missing closing '}' in statement block or type definition. | L911:673 Missing closing ')' in subexpression. | L911:713 Missing ')' in method call. | L911:713 Unexpected token 'if' in expression or statement. | L911:744 The string is missing the terminator: "". | L911:743 Missing closing '}' in statement block or type definition. | L911:749 Missing closing ')' in subexpression. | L911:866 The string is missing the terminator: "". | L911:865 Missing closing '}' in statement block or type definition. | L911:890 Missing closing ')' in expression. | L911:890 Missing ')' in method call. | L911:890 Missing closing ')' in subexpression. | L911:965 Missing ')' in method call. | L911:965 Unexpected token 'if' in expression or statement. | L911:1012 The string is missing the terminator: "". | L911:1011 Missing closing '}' in statement block or type definition. | L911:1017 Missing closing ')' in subexpression. | L911:1086 Missing ')' in method call. | L911:1086 Unexpected token 'if' in expression or statement. | L911:1258 The string is missing the terminator: "". | L911:1257 Missing closing '}' in statement block or type definition. | L911:1279 Missing closing ')' in expression. | L911:1279 Missing ')' in method call. | L911:1279 Missing closing ')' in subexpression. | L915:60 Missing ')' in method call. | L915:60 Unexpected token 'if' in expression or statement. | L915:95 The string is missing the terminator: "". | L915:94 Missing closing '}' in statement block or type definition. | L915:100 Missing closing ')' in subexpression. | L915:179 Missing ')' in method call. | L915:179 Unexpected token 'if' in expression or statement. | L915:214 The string is missing the terminator: "". | L915:213 Missing closing '}' in statement block or type definition. | L915:219 Missing closing ')' in subexpression. | L915:267 Missing ')' in method call. | L915:267 Unexpected token 'if' in expression or statement. | L915:314 The string is missing the terminator: "". | L915:313 Missing closing '}' in statement block or type definition. | L915:319 Missing closing ')' in subexpression. | L926:60 Missing ')' in method call. | L926:60 Unexpected token 'if' in expression or statement. | L931:60 Missing ')' in method call. | L931:60 Unexpected token 'if' in expression or statement. | L931:95 The string is missing the terminator: "". | L931:94 Missing closing '}' in statement block or type definition. | L931:100 Missing closing ')' in subexpression. | L931:179 Missing ')' in method call. | L931:179 Unexpected token 'if' in expression or statement. | L931:214 The string is missing the terminator: "". | L931:213 Missing closing '}' in statement block or type definition. | L931:219 Missing closing ')' in subexpression. | L931:429 Missing ')' in method call. | L931:429 Unexpected token 'if' in expression or statement. | L931:476 The string is missing the terminator: "". | L931:475 Missing closing '}' in statement block or type definition. | L931:481 Missing closing ')' in subexpression. | L931:550 Missing ')' in method call. | L931:550 Unexpected token 'if' in expression or statement. | L931:589 The string is missing the terminator: "". | L931:588 Missing closing '}' in statement block or type definition. | L931:594 Missing closing ')' in subexpression. | L931:686 Missing ')' in method call. | L931:686 Unexpected token 'if' in expression or statement. | L931:725 The string is missing the terminator: "". | L931:724 Missing closing '}' in statement block or type definition. | L931:730 Missing closing ')' in subexpression. | L935:60 Missing ')' in method call. | L935:60 Unexpected token 'if' in expression or statement. | L935:103 The string is missing the terminator: "". | L935:102 Missing closing '}' in statement block or type definition. | L935:108 Missing closing ')' in subexpression. | L935:180 Missing ')' in method call. | L935:180 Unexpected token 'if' in expression or statement. | L935:219 The string is missing the terminator: "". | L935:218 Missing closing '}' in statement block or type definition. | L935:224 Missing closing ')' in subexpression. | L935:316 Missing ')' in method call. | L935:316 Unexpected token 'if' in expression or statement. | L935:355 The string is missing the terminator: "". | L935:354 Missing closing '}' in statement block or type definition. | L935:360 Missing closing ')' in subexpression. | L935:461 Missing ')' in method call. | L935:461 Unexpected token 'if' in expression or statement. | L935:500 The string is missing the terminator: "". | L935:499 Missing closing '}' in statement block or type definition. | L935:505 Missing closing ')' in subexpression. | L942:60 Missing ')' in method call. | L942:60 Unexpected token 'if' in expression or statement. | L942:216 Missing ')' in method call. | L942:216 Unexpected token 'if' in expression or statement. | L947:60 Missing ')' in method call. | L947:60 Unexpected token 'if' in expression or statement. | L947:150 Missing ')' in method call. | L947:150 Unexpected token 'if' in expression or statement. | L952:56 Missing ')' in method call. | L952:56 Unexpected token 'if' in expression or statement. | L869:24 Missing closing '}' in statement block or type definition. | L952:93 Unexpected token ')' in expression or statement. | L1259:1 Unexpected token '}' in expression or statement.","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VAP\VIA_VEGN_Step1_v32.ps1"
"2026-06-11T20:29:18.299+08:00","PowerShell Parse","SEQUENTIAL_REQUIRED","P0","HIGH","Repair one PS file at a time after backup.","L193:9 Variable reference is not valid. ':' was not followed by a valid variable name character. Consider using ${} to delimit the name. | L311:9 Expression is not allowed in a Using expression.","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VCNC\VIA_Integrated_Supreme_v1_r2.ps1"
"2026-06-11T20:29:18.299+08:00","PowerShell Parse","SEQUENTIAL_REQUIRED","P0","HIGH","Repair one PS file at a time after backup.","L42:28 The assignment expression is not valid. The input to an assignment operator must be an object that is able to accept assignments, such as a variable or a property.","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VCNC\VIA_PSInspectFix_Launch.ps1"
"2026-06-11T20:29:18.299+08:00","PowerShell Parse","SEQUENTIAL_REQUIRED","P0","HIGH","Repair one PS file at a time after backup.","L102:32 Missing type name after '['. | L102:31 Parameter declarations are a comma-separated list of variable names with optional initializer expressions. | L102:31 Missing ')' in function parameter list.","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VCNC\via_ps_ai_template (2).ps1"
"2026-06-11T20:29:18.300+08:00","PowerShell Parse","SEQUENTIAL_REQUIRED","P0","HIGH","Repair one PS file at a time after backup.","L102:32 Missing type name after '['. | L102:31 Parameter declarations are a comma-separated list of variable names with optional initializer expressions. | L102:31 Missing ')' in function parameter list.","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VCNC\via_ps_ai_template (3).ps1"
"2026-06-11T20:29:18.300+08:00","PowerShell Parse","SEQUENTIAL_REQUIRED","P0","HIGH","Repair one PS file at a time after backup.","L102:32 Missing type name after '['. | L102:31 Parameter declarations are a comma-separated list of variable names with optional initializer expressions. | L102:31 Missing ')' in function parameter list.","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VCNC\via_ps_ai_template.ps1"
"2026-06-11T20:29:18.300+08:00","PowerShell Parse","SEQUENTIAL_REQUIRED","P0","HIGH","Repair one PS file at a time after backup.","L69:1 Variable reference is not valid. '$' was not followed by a valid variable name character. Consider using ${} to delimit the name. | L69:9 Unexpected token '{' in expression or statement. | L69:22 Unexpected token '_VERSION' in expression or statement. | L71:1 Variable reference is not valid. '$' was not followed by a valid variable name character. Consider using ${} to delimit the name. | L71:9 Unexpected token '{' in expression or statement. | L71:22 Unexpected token '_CONFIG' in expression or statement. | L159:18 Variable reference is not valid. '$' was not followed by a valid variable name character. Consider using ${} to delimit the name. | L159:26 Unexpected token '{' in expression or statement. | L159:39 Unexpected token '_CONFIG' in expression or statement.","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VCNC\via_ps_standard_template (3).ps1"
"2026-06-11T20:29:18.300+08:00","PowerShell Parse","SEQUENTIAL_REQUIRED","P0","HIGH","Repair one PS file at a time after backup.","L69:1 Variable reference is not valid. '$' was not followed by a valid variable name character. Consider using ${} to delimit the name. | L69:9 Unexpected token '{' in expression or statement. | L69:22 Unexpected token '_VERSION' in expression or statement. | L71:1 Variable reference is not valid. '$' was not followed by a valid variable name character. Consider using ${} to delimit the name. | L71:9 Unexpected token '{' in expression or statement. | L71:22 Unexpected token '_CONFIG' in expression or statement. | L159:18 Variable reference is not valid. '$' was not followed by a valid variable name character. Consider using ${} to delimit the name. | L159:26 Unexpected token '{' in expression or statement. | L159:39 Unexpected token '_CONFIG' in expression or statement.","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VCNC\via_ps_standard_template.ps1"
"2026-06-11T20:29:18.308+08:00","PowerShell Parse","SEQUENTIAL_REQUIRED","P0","HIGH","Repair one PS file at a time after backup.","L242:38 Missing argument in parameter list. | L595:78 Missing ')' in method call. | L595:32 Missing closing '}' in statement block or type definition. | L567:26 Missing closing '}' in statement block or type definition. | L595:104 Unexpected token ')' in expression or statement. | L595:106 Unexpected token '}' in expression or statement. | L673:1 Unexpected token '}' in expression or statement.","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VCNC\VIA_VEGN_Step1_v31.ps1"
