"Step","FixClass","Scope","ErrorTypes","FailCount","WarnCount","BlockerCount","AnchorCount","IsRuntimeArtifact","IsSourceFile","Strategy","Path"
"10","FALSE_POSITIVE_RUNTIME_REVIEW","VDF_Dict","LargeTextSkipped","0","1","0","1","True","False","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_REMAINING_PROCESSES_SAFE_PARALLEL_STARTER_v029DUAL0B_20260615_102905\runtime\lanes\VRN-1_ModuleSupportiveConnectionMatrix.json"
"11","FALSE_POSITIVE_RUNTIME_REVIEW","VDF_Dict","RuntimeTextContainsConflictMarker","1","0","0","1","True","False","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_REMAINING_PROCESSES_SAFE_PARALLEL_STARTER_v029DUAL0B_20260615_102905\runtime\VIA_RemainingProcessesSafeParallelStarter_v029DUAL0B_Transcript_20260615_102905.txt"
"12","FALSE_POSITIVE_RUNTIME_REVIEW","VDF_Dict","RuntimeTextContainsConflictMarker","1","0","0","1","True","False","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_SSOT_NEXUSCORE_STATUS_INSPECTOR_v029SSOT1A_20260615_135136\runtime\VIA_SSOT_NexusCoreStatusInspector_v029SSOT1A_Transcript_20260615_135136.txt"
"13","FALSE_POSITIVE_RUNTIME_REVIEW","VDF_Dict","RuntimeTextContainsConflictMarker","1","0","0","1","True","False","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_SSOT_NEXUSCORE_STATUS_INSPECTOR_v029SSOT1A_20260615_143518\runtime\VIA_SSOT_NexusCoreStatusInspector_v029SSOT1A_Transcript_20260615_143518.txt"
"14","FALSE_POSITIVE_RUNTIME_REVIEW","VDF_Dict","RuntimeTextContainsConflictMarker","1","0","0","1","True","False","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_SUPPORTIVE_DOCKING_VDF_VRN_v02861_20260611_112018\report\VIA_SupportiveDocking_VDF_VRN_Report_v02861.html"
"15","FALSE_POSITIVE_RUNTIME_REVIEW","VDF_Dict","RuntimeTextContainsConflictMarker","1","0","0","1","True","False","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_SUPPORTIVE_DOCKING_VDF_VRN_v02861_20260611_112018\runtime\VIA_SupportiveDocking_v02861_Transcript_20260611_112018.txt"
"16","FALSE_POSITIVE_RUNTIME_REVIEW","VDF_Dict","RuntimeTextContainsConflictMarker","1","0","0","1","True","False","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_TEST_DEBUG_CONSOLIDATE_v02864_20260611_114523\runtime\VIA_DebugConsolidate_v02864_Transcript_20260611_114523.txt"
"17","FALSE_POSITIVE_RUNTIME_REVIEW","VDF_Dict","RuntimeTextContainsConflictMarker","1","0","0","1","True","False","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_TEST_DEBUG_VDF_VRN_v02863_20260611_113944\report\VIA_TestDebug_VDF_VRN_Report_v02863.html"
"18","FALSE_POSITIVE_RUNTIME_REVIEW","VDF_Dict","RuntimeTextContainsConflictMarker","1","0","0","1","True","False","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_TEST_DEBUG_VDF_VRN_v02863_20260611_113944\runtime\VIA_TestDebug_v02863_Transcript_20260611_113944.txt"
"19","FALSE_POSITIVE_RUNTIME_REVIEW","VDF_Dict","RuntimeTextContainsConflictMarker","1","0","0","1","True","False","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_THREEROUND_PANORAMIC_CONSOLIDATION_v029DUAL0E_20260615_121827\runtime\VIA_ThreeRoundPanoramicConsolidation_v029DUAL0E_Transcript_20260615_121827.txt"
"20","FALSE_POSITIVE_RUNTIME_REVIEW","VDF_Dict","RuntimeTextContainsConflictMarker","1","0","0","1","True","False","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_TWO_SYSTEM_NEXT_GATE_STARTER_v029DUAL0C_20260615_103315\runtime\VIA_TwoSystemNextGateStarter_v029DUAL0C_Transcript_20260615_103315.txt"
"21","FALSE_POSITIVE_RUNTIME_REVIEW","VDF_Dict","RuntimeTextContainsConflictMarker","1","0","0","1","True","False","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_TWO_SYSTEM_NEXT_GATE_TURBO_HOTFIX_v029DUAL0C1_20260615_114931\runtime\VIA_TwoSystemNextGateTurboHotfix_v029DUAL0C1_Transcript_20260615_114931.txt"
"22","FALSE_POSITIVE_RUNTIME_REVIEW","VDF_Dict","RuntimeTextContainsConflictMarker","1","0","0","1","True","False","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VRN_BROKER_BACKFILL_GATE_v029VRN1C4_20260615_130609\runtime\VRN_BrokerBackfillGate_v029VRN1C4_Transcript_20260615_130609.txt"
"23","FALSE_POSITIVE_RUNTIME_REVIEW","VDF_Dict","RuntimeTextContainsConflictMarker","1","0","0","1","True","False","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VRN_BROKER_BACKFILL_GATE_v029VRN1C41_20260615_131349\runtime\VRN_BrokerBackfillGate_v029VRN1C41_Transcript_20260615_131349.txt"
"24","FALSE_POSITIVE_RUNTIME_REVIEW","VDF_Dict","RuntimeTextContainsConflictMarker","1","0","0","1","True","False","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VRN_BROKER_BACKFILL_GATE_v029VRN1C41_20260615_131852\runtime\VRN_BrokerBackfillGate_v029VRN1C41_Transcript_20260615_131852.txt"
"25","FALSE_POSITIVE_RUNTIME_REVIEW","VDF_Dict","RuntimeTextContainsConflictMarker","1","0","0","1","True","False","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VRN_PARQUET_UNIFIED_STAGE_REPAIR_GATE_v029VRN1C2_20260615_123205\runtime\VRN_ParquetUnifiedStageRepairGate_v029VRN1C2_Transcript_20260615_123205.txt"
"26","FALSE_POSITIVE_RUNTIME_REVIEW","VDF_Dict","RuntimeTextContainsConflictMarker","1","0","0","1","True","False","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VRN_PARQUET_UNIFIED_STAGE_REPAIR_GATE_v029VRN1C3_20260615_125541\runtime\VRN_ParquetUnifiedStageRepairGate_v029VRN1C3_Transcript_20260615_125541.txt"
"27","FALSE_POSITIVE_RUNTIME_REVIEW","VDF_Dict","RuntimeTextContainsConflictMarker","1","0","0","1","True","False","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VRN_STAGING_IDENTITY_REPAIR_REKEY_VERIFY_HOTFIX_v029VRN1C11_20260615_122758\runtime\VRN_StagingIdentityRepairHotfix_v029VRN1C11_Transcript_20260615_122758.txt"
"28","FALSE_POSITIVE_RUNTIME_REVIEW","VDF_Dict","RuntimeTextContainsConflictMarker","1","0","0","1","True","False","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VRN_STAGING_IDENTITY_REPAIR_REKEY_VERIFY_v029VRN1C1_20260615_122419\runtime\VRN_StagingIdentityRepairRekeyVerify_v029VRN1C1_Transcript_20260615_122419.txt"
"29","FALSE_POSITIVE_RUNTIME_REVIEW","VDF_Dict","RuntimeTextContainsConflictMarker","1","0","0","1","True","False","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_PANORAMIC_CONTINUITY_AUDIT_v02871_20260611_202443\runtime\VIA_PanoramicContinuityAudit_v02871_Transcript_20260611_202443.txt"
"30","FALSE_POSITIVE_RUNTIME_REVIEW","VDF_Dict","RuntimeTextContainsConflictMarker","1","0","0","1","True","False","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_PANORAMIC_CONTINUITY_AUDIT_HOTFIX_v028711_20260611_202803\runtime\VIA_PanoramicContinuityAudit_Hotfix_v028711_Transcript_20260611_202803.txt"
"31","FALSE_POSITIVE_RUNTIME_REVIEW","VDF_Dict","LargeTextSkipped","0","1","0","1","True","False","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_PANORAMA3ROUND_VDF_VRN_SCRIPT_REPAIR_v02851_20260611_104333\registry\VIA_Panorama_FileInventory_v02851.json"
"32","FALSE_POSITIVE_RUNTIME_REVIEW","VDF_Dict","RuntimeTextContainsConflictMarker","1","0","0","1","True","False","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_FINAL_PROMOTE_ACTIVE_POINTER_LOCK_v02868_20260611_123905\runtime\VIA_FinalPromote_v02868_Transcript_20260611_123905.txt"
"33","FALSE_POSITIVE_RUNTIME_REVIEW","VDF_Dict","RuntimeTextContainsConflictMarker","1","0","0","1","True","False","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_BACKUP_ROLLBACK_STAGING_PLAN_v0283_20260611_024903\runtime\VDF_AkShare_BackupRollbackStagingPlan_Transcript_v0283_20260611_024903.txt"
"34","FALSE_POSITIVE_RUNTIME_REVIEW","VDF_Dict","RuntimeTextContainsConflictMarker","1","0","0","1","True","False","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_GENERATED_SCRIPT_REVIEW_v0285_20260611_100744\runtime\VDF_AkShare_GeneratedScriptReview_Transcript_v0285_20260611_100744.txt"
"35","FALSE_POSITIVE_RUNTIME_REVIEW","VDF_Dict","RuntimeTextContainsConflictMarker","1","0","0","1","True","False","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_RAW_COLUMN_PROFILE_CANONICAL_CONTRACT_v027812_20260611_001630\runtime\VDF_AkShare_RawColumnProfile_CanonicalContract_Transcript_v027812_20260611_001630.txt"
"36","FALSE_POSITIVE_RUNTIME_REVIEW","VDF_Dict","LargeTextSkipped","0","1","0","1","True","False","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_TPEX_SMALL_SCOPE_SEED_v021_20260609_232145\staging\VDF_TPEX_Raw_MainboardDailyCloseQuotes.raw.json"
"37","FALSE_POSITIVE_RUNTIME_REVIEW","VDF_Dict","RuntimeTextContainsConflictMarker","1","0","0","1","True","False","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_VRN_SYNC5_ORCHESTRATION_v0280_20260611_000806\runtime\VDF_VRN_Sync5_Transcript_v0280_20260611_000806.txt"
"38","FALSE_POSITIVE_RUNTIME_REVIEW","VDF_Dict","RuntimeTextContainsConflictMarker","1","0","0","1","True","False","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_ACTIVATION_SMOKE_TEST_v02866_20260611_121401\runtime\VIA_ActivationSmokeTest_v02866_Transcript_20260611_121401.txt"
"39","FALSE_POSITIVE_RUNTIME_REVIEW","VDF_Dict","RuntimeTextContainsConflictMarker","1","0","0","1","True","False","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_ACTIVATION_USERTEST_GATE_HOTFIX_v028651_20260611_115157\runtime\VIA_Hotfix_v028651_Transcript_20260611_115157.txt"
"40","FALSE_POSITIVE_RUNTIME_REVIEW","VDF_Dict","RuntimeTextContainsConflictMarker","1","0","0","1","True","False","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_ACTIVATION_USERTEST_GATE_v02865_20260611_114925\runtime\VIA_ActivationUserTestGate_v02865_Transcript_20260611_114925.txt"
"41","FALSE_POSITIVE_RUNTIME_REVIEW","VDF_Dict","RuntimeTextContainsConflictMarker","1","0","0","1","True","False","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_ACTIVE_PATH_DEPENDENCY_FILTER_v028712_20260611_203308\runtime\VIA_ActivePathDependencyFilter_v028712_Transcript_20260611_203308.txt"
"42","FALSE_POSITIVE_RUNTIME_REVIEW","VDF_Dict","RuntimeTextContainsConflictMarker","1","0","0","1","True","False","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DAILY_HEALTH_FAST_REPAIR_v028752_20260611_214008\runtime\VIA_DailyHealthFastRepair_v028752_Transcript_20260611_214008.txt"
"43","FALSE_POSITIVE_RUNTIME_REVIEW","VDF_Dict","RuntimeTextContainsConflictMarker","1","0","0","1","True","False","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DAILY_HEALTH_LAUNCHER_CONSOLE_v02870_20260611_130315\runtime\VIA_DailyHealthLauncherConsole_v02870_Transcript_20260611_130315.txt"
"44","FALSE_POSITIVE_RUNTIME_REVIEW","VDF_Dict","RuntimeTextContainsConflictMarker","1","0","0","1","True","False","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DAILY_HEALTH_LAUNCHER_CONSOLE_v02870_20260611_195255\runtime\VIA_DailyHealthLauncherConsole_v02870_Transcript_20260611_195255.txt"
"45","FALSE_POSITIVE_RUNTIME_REVIEW","VDF_Dict","RuntimeTextContainsConflictMarker","1","0","0","1","True","False","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DAILY_HEALTH_MINIMAL_STABLE_v028753_20260611_214855\runtime\VIA_DailyHealthMinimalStable_v028753_Transcript_20260611_214855.txt"
"46","PARALLEL_SAFE_REVIEW","VDF_Dict","LargeTextSkipped","0","1","0","1","False","False","大文字檔跳過，不等於 blocker。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE\VDF_TPEX_Raw_MainboardDailyCloseQuotes.json"
"47","FALSE_POSITIVE_RUNTIME_REVIEW","VDF_Dict","RuntimeTextContainsConflictMarker","1","0","0","1","True","False","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DAILY_HEALTH_NONTHROWING_MONITOR_v028754_20260611_225535\runtime\daily_health_nonthrowing_smoke.stdout.txt"
"48","FALSE_POSITIVE_RUNTIME_REVIEW","VDF_Dict","RuntimeTextContainsConflictMarker","1","0","0","1","True","False","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUAL_PROJECT_DAILY_HEALTH_SCHEDULER_v02875_20260611_213209\runtime\VIA_DualProjectDailyHealthScheduler_v02875_Transcript_20260611_213209.txt"
"49","FALSE_POSITIVE_RUNTIME_REVIEW","VDF_Dict","RuntimeTextContainsConflictMarker","1","0","0","1","True","False","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUAL_PROJECT_SAFE_PARALLEL_GATE_v02872_20260611_205436\runtime\VIA_DualProjectSafeParallelGate_v02872_Transcript_20260611_205436.txt"
"50","FALSE_POSITIVE_RUNTIME_REVIEW","VDF_Dict","PowerShellSyntax","1","0","0","1","True","False","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUAL_PROJECT_USERTEST_CONSOLE_HOTFIX_v028731_20260611_210904\backup\Start-VIA-DualProjectUserTestConsole.before_v028731_20260611_210904.ps1"
"51","FALSE_POSITIVE_RUNTIME_REVIEW","VDF_Dict","RuntimeTextContainsConflictMarker","1","0","0","1","True","False","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUAL_PROJECT_USERTEST_CONSOLE_HOTFIX_v028731_20260611_210904\runtime\VIA_DualProjectUserTestConsole_Hotfix_v028731_Transcript_20260611_210904.txt"
"52","FALSE_POSITIVE_RUNTIME_REVIEW","VDF_Dict","RuntimeTextContainsConflictMarker","1","0","0","1","True","False","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUAL_PROJECT_USERTEST_CONSOLE_v02873_20260611_205808\runtime\VIA_DualProjectUserTestConsole_v02873_Transcript_20260611_205808.txt"
"53","FALSE_POSITIVE_RUNTIME_REVIEW","VDF_Dict","RuntimeTextContainsConflictMarker","1","0","0","1","True","False","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUAL_SYSTEM_PROGRESS_CONSOLIDATOR_HOTFIX_v029DUAL0D1_20260615_120923\runtime\VIA_DualSystemProgressConsolidatorHotfix_v029DUAL0D1_Transcript_20260615_120923.txt"
"54","FALSE_POSITIVE_RUNTIME_REVIEW","VDF_Dict","RuntimeTextContainsConflictMarker","1","0","0","1","True","False","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUAL_SYSTEM_PROGRESS_CONSOLIDATOR_v029DUAL0D_20260615_120339\runtime\VIA_DualSystemProgressConsolidator_v029DUAL0D_Transcript_20260615_120339.txt"
"55","FALSE_POSITIVE_RUNTIME_REVIEW","VDF_Dict","RuntimeTextContainsConflictMarker","1","0","0","1","True","False","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUALPROJECT_SIXLANE_CONCURRENT_GATE_v029DUAL1B_20260615_162518\runtime\VIA_DualProjectSixLaneConcurrentGate_v029DUAL1B_Transcript_20260615_162518.txt"
"56","FALSE_POSITIVE_RUNTIME_REVIEW","VDF_Dict","RuntimeTextContainsConflictMarker","1","0","0","1","True","False","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUALPROJECT_SIXLANE_PANORAMA_GATE_v029DUAL1A_20260615_153539\runtime\VIA_DualProjectSixLanePanoramaGate_v029DUAL1A_Transcript_20260615_153539.txt"
"57","FALSE_POSITIVE_RUNTIME_REVIEW","VDF_Dict","RuntimeTextContainsConflictMarker","1","0","0","1","True","False","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_FINAL_LONGRUN_SEAL_v02867_20260611_123524\runtime\VIA_FinalLongRunSeal_v02867_Transcript_20260611_123524.txt"
"58","FALSE_POSITIVE_RUNTIME_REVIEW","VDF_Dict","RuntimeTextContainsConflictMarker","1","0","0","1","True","False","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_FINAL_LONGRUN_SEAL_v02867_20260611_123639\runtime\VIA_FinalLongRunSeal_v02867_Transcript_20260611_123639.txt"
"59","FALSE_POSITIVE_RUNTIME_REVIEW","VDF_Dict","RuntimeTextContainsConflictMarker","1","0","0","1","True","False","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_FINAL_OPERATIONS_SEAL_v02876_20260611_230029\runtime\VIA_FinalOperationsSeal_v02876_Transcript_20260611_230029.txt"
