review_type,report_id,file_id,tw_ticker,broker,report_date,severity,action,source
missing_broker,62e38503102c06b4297b,191e050f585d,3006,,2026-05-10,MEDIUM,manual_or_alias_review,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\DATABASE\StockReportBasicInfo.parquet
missing_broker,2cee86413731fa0d3598,482e52f26cf4,2021,,2026-05-10,MEDIUM,manual_or_alias_review,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\DATABASE\StockReportBasicInfo.parquet
missing_broker,917ed6f50657b0b1c1c3,e6270450a0cb,2021,,2025-12-06,MEDIUM,manual_or_alias_review,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\DATABASE\StockReportBasicInfo.parquet
missing_broker,54cc47cd01c9b2bfdffc,191e050f585d,2021,,2026-05-10,MEDIUM,manual_or_alias_review,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\DATABASE\StockReportBasicInfo.parquet
missing_broker,8e8782998089112513b0,482e52f26cf4,6933,,2026-05-10,MEDIUM,manual_or_alias_review,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\DATABASE\StockReportBasicInfo.parquet
missing_broker,3ea76b2dd0430d74b62e,e6270450a0cb,6533,,2025-12-06,MEDIUM,manual_or_alias_review,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\DATABASE\StockReportBasicInfo.parquet
missing_broker,6ff7e08b621a3d4d6084,191e050f585d,3006,,2026-05-10,MEDIUM,manual_or_alias_review,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\DATABASE\StockReportBasicInfo.parquet
missing_broker,95f64e615bf4eceb54db,e6270450a0cb,2021,,2025-12-06,MEDIUM,manual_or_alias_review,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\DATABASE\StockReportBasicInfo.parquet
missing_broker,a58e3558a90c165e769f,482e52f26cf4,2021,,2026-05-10,MEDIUM,manual_or_alias_review,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\DATABASE\StockReportBasicInfo.parquet
missing_broker,8da2020c95b761d25755,191e050f585d,2021,,2026-05-10,MEDIUM,manual_or_alias_review,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\DATABASE\StockReportBasicInfo.parquet
missing_broker,e79da650d50c7da878c2,e6270450a0cb,6533,,2025-12-06,MEDIUM,manual_or_alias_review,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\DATABASE\StockReportBasicInfo.parquet
missing_broker,0afbfc02773ead676184,191e050f585d,3006,,2026-05-10,MEDIUM,manual_or_alias_review,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\DATABASE\StockReportBasicInfo.parquet
missing_broker,e4e21d762eebf238b035,482e52f26cf4,6933,,2026-05-10,MEDIUM,manual_or_alias_review,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\DATABASE\StockReportBasicInfo.parquet
missing_broker,9e0c816fad67829e01be,482e52f26cf4,2021,,2026-05-10,MEDIUM,manual_or_alias_review,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\DATABASE\StockReportBasicInfo.parquet
missing_broker,adfbc94a0a2ac47c2d49,e6270450a0cb,2021,,2025-12-06,MEDIUM,manual_or_alias_review,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\DATABASE\StockReportBasicInfo.parquet
missing_broker,deab2fdade28e8ecde05,191e050f585d,2021,,2026-05-10,MEDIUM,manual_or_alias_review,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\DATABASE\StockReportBasicInfo.parquet
missing_report_date,d7ae43544da11d894a9f,482e52f26cf4,6933,,,MEDIUM,manual_or_alias_review,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\DATABASE\StockReportBasicInfo.parquet
