"Time","Round","Project","Lane","Layer","Name","Status","Risk","Class","Priority","Metric","Value","Message","Path"
"2026-06-15T16:25:21.042+08:00","Round1","VIA","VRN3_EXCEPTION_REVIEW","START","VRN3_EXCEPTION_REVIEW","OK_CREATED","LOW","PARALLEL_SAFE","P0","job","started","Concurrent lane started.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUALPROJECT_SIXLANE_CONCURRENT_GATE_v029DUAL1B_20260615_162518\lanes"
"2026-06-15T16:25:35.824+08:00","Round2","VDF","VDF1_RUNTIME","RESULT","VDF1_RUNTIME","VDF_RUNTIME_FOUND","LOW","PARALLEL_SAFE","P2","runtime","found","Lane runtime collected.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUALPROJECT_SIXLANE_CONCURRENT_GATE_v029DUAL1B_20260615_162518\lanes\VDF1_RUNTIME_Runtime.json"
"2026-06-15T16:25:35.829+08:00","Round2","VDF","VDF2_DATA","RESULT","VDF2_DATA","VDF_DATA_INTEGRITY_READY","LOW","PARALLEL_SAFE","P2","runtime","found","Lane runtime collected.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUALPROJECT_SIXLANE_CONCURRENT_GATE_v029DUAL1B_20260615_162518\lanes\VDF2_DATA_Runtime.json"
"2026-06-15T16:25:35.832+08:00","Round2","VDF","VDF3_GAP_PLAN","RESULT","VDF3_GAP_PLAN","VDF_GAP_PLAN_READY","LOW","PARALLEL_SAFE","P2","runtime","found","Lane runtime collected.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUALPROJECT_SIXLANE_CONCURRENT_GATE_v029DUAL1B_20260615_162518\lanes\VDF3_GAP_PLAN_Runtime.json"
"2026-06-15T16:25:35.834+08:00","Round2","VRN","VRN1_TABLE_GEOMETRY","RESULT","VRN1_TABLE_GEOMETRY","VRN_1D1_TABLELIKE_EXPANSION_READY","LOW","PARALLEL_SAFE","P2","runtime","found","Lane runtime collected.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUALPROJECT_SIXLANE_CONCURRENT_GATE_v029DUAL1B_20260615_162518\lanes\VRN1_TABLE_GEOMETRY_Runtime.json"
"2026-06-15T16:25:35.836+08:00","Round2","VRN","VRN2_VALIDATION","RESULT","VRN2_VALIDATION","VRN_VALIDATION_READY","LOW","PARALLEL_SAFE","P2","runtime","found","Lane runtime collected.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUALPROJECT_SIXLANE_CONCURRENT_GATE_v029DUAL1B_20260615_162518\lanes\VRN2_VALIDATION_Runtime.json"
"2026-06-15T16:25:35.837+08:00","Round2","VRN","VRN3_EXCEPTION_REVIEW","RESULT","VRN3_EXCEPTION_REVIEW","VRN_REVIEW_MATRIX_READY","MEDIUM","SEQUENTIAL_REQUIRED","P1","runtime","found","Lane runtime collected.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUALPROJECT_SIXLANE_CONCURRENT_GATE_v029DUAL1B_20260615_162518\lanes\VRN3_EXCEPTION_REVIEW_Runtime.json"
"2026-06-15T16:25:35.847+08:00","Round2","VDF","VDF1_RUNTIME","METRIC","runtime_total","OK_FOUND","LOW","PARALLEL_SAFE","P2","runtime_total","69","Lane metric.",""
"2026-06-15T16:25:35.848+08:00","Round2","VDF","VDF1_RUNTIME","METRIC","vdf_runtime_count","OK_FOUND","LOW","PARALLEL_SAFE","P2","vdf_runtime_count","2","Lane metric.",""
"2026-06-15T16:25:35.848+08:00","Round2","VDF","VDF1_RUNTIME","METRIC","final_seal_found","OK_FOUND","LOW","PARALLEL_SAFE","P2","final_seal_found","True","Lane metric.",""
"2026-06-15T16:25:35.848+08:00","Round2","VDF","VDF1_RUNTIME","METRIC","daily_health_found","OK_FOUND","LOW","PARALLEL_SAFE","P2","daily_health_found","True","Lane metric.",""
"2026-06-15T16:25:35.849+08:00","Round2","VDF","VDF2_DATA","METRIC","parquet_count","OK_FOUND","LOW","PARALLEL_SAFE","P2","parquet_count","25","Lane metric.",""
"2026-06-15T16:25:35.849+08:00","Round2","VDF","VDF2_DATA","METRIC","duckdb_count","OK_FOUND","LOW","PARALLEL_SAFE","P2","duckdb_count","1","Lane metric.",""
"2026-06-15T16:25:35.849+08:00","Round2","VDF","VDF2_DATA","METRIC","bad_parquet","OK_FOUND","LOW","PARALLEL_SAFE","P2","bad_parquet","0","Lane metric.",""
"2026-06-15T16:25:35.849+08:00","Round2","VDF","VDF2_DATA","METRIC","bad_duckdb","OK_FOUND","LOW","PARALLEL_SAFE","P2","bad_duckdb","0","Lane metric.",""
"2026-06-15T16:25:35.850+08:00","Round2","VDF","VDF3_GAP_PLAN","METRIC","expected_categories","OK_FOUND","LOW","PARALLEL_SAFE","P2","expected_categories","10","Lane metric.",""
"2026-06-15T16:25:35.850+08:00","Round2","VDF","VDF3_GAP_PLAN","METRIC","found_categories","OK_FOUND","LOW","PARALLEL_SAFE","P2","found_categories","9","Lane metric.",""
"2026-06-15T16:25:35.850+08:00","Round2","VDF","VDF3_GAP_PLAN","METRIC","missing_categories","OK_FOUND","LOW","PARALLEL_SAFE","P2","missing_categories","1","Lane metric.",""
"2026-06-15T16:25:35.851+08:00","Round2","VRN","VRN1_TABLE_GEOMETRY","METRIC","text_rows","OK_FOUND","LOW","PARALLEL_SAFE","P2","text_rows","3878","Lane metric.",""
"2026-06-15T16:25:35.851+08:00","Round2","VRN","VRN1_TABLE_GEOMETRY","METRIC","scanned_text_rows","OK_FOUND","LOW","PARALLEL_SAFE","P2","scanned_text_rows","3878","Lane metric.",""
"2026-06-15T16:25:35.851+08:00","Round2","VRN","VRN1_TABLE_GEOMETRY","METRIC","matched_text_rows","OK_FOUND","LOW","PARALLEL_SAFE","P2","matched_text_rows","1656","Lane metric.",""
"2026-06-15T16:25:35.852+08:00","Round2","VRN","VRN1_TABLE_GEOMETRY","METRIC","stage_rows","OK_FOUND","LOW","PARALLEL_SAFE","P2","stage_rows","28868","Lane metric.",""
"2026-06-15T16:25:35.852+08:00","Round2","VRN","VRN1_TABLE_GEOMETRY","METRIC","merged_total_rows","OK_FOUND","LOW","PARALLEL_SAFE","P2","merged_total_rows","29114","Lane metric.",""
"2026-06-15T16:25:35.852+08:00","Round2","VRN","VRN2_VALIDATION","METRIC","financial_rows","OK_FOUND","LOW","PARALLEL_SAFE","P2","financial_rows","246","Lane metric.",""
"2026-06-15T16:25:35.866+08:00","Round2","VRN","VRN2_VALIDATION","METRIC","fail","OK_FOUND","LOW","PARALLEL_SAFE","P2","fail","0","Lane metric.",""
"2026-06-15T16:25:35.867+08:00","Round2","VRN","VRN2_VALIDATION","METRIC","warn","OK_FOUND","LOW","PARALLEL_SAFE","P2","warn","0","Lane metric.",""
"2026-06-15T16:25:35.867+08:00","Round2","VRN","VRN2_VALIDATION","METRIC","checks","OK_FOUND","LOW","PARALLEL_SAFE","P2","checks","4","Lane metric.",""
"2026-06-15T16:25:35.868+08:00","Round2","VRN","VRN3_EXCEPTION_REVIEW","METRIC","review_rows","OK_FOUND","LOW","PARALLEL_SAFE","P2","review_rows","34","Lane metric.",""
"2026-06-15T16:25:35.868+08:00","Round2","VRN","VRN3_EXCEPTION_REVIEW","METRIC","high","OK_FOUND","LOW","PARALLEL_SAFE","P2","high","0","Lane metric.",""
"2026-06-15T16:25:35.869+08:00","Round2","VRN","VRN3_EXCEPTION_REVIEW","METRIC","medium","OK_FOUND","LOW","PARALLEL_SAFE","P2","medium","34","Lane metric.",""
"2026-06-15T16:25:36.016+08:00","Round3","VIA","FINAL","FINAL","VDF Status","DATA_READY_BUT_COMPLETION_SEAL_REVIEW","MEDIUM","SEQUENTIAL_REQUIRED","P0","status","DATA_READY_BUT_COMPLETION_SEAL_REVIEW","VDF data exists but completion seal still needs targeted review.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE"
"2026-06-15T16:25:36.016+08:00","Round3","VIA","FINAL","FINAL","VRN Status","OK_READY","LOW","PARALLEL_SAFE","P0","financial_rows","29114","VRN FinancialData table-like expansion completed or reviewed.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\DATABASE"
"2026-06-15T16:25:36.017+08:00","Round3","VIA","FINAL","FINAL","Six-Lane Concurrent Gate","VIA_DUALPROJECT_SIXLANE_CONCURRENT_READY_WITH_REVIEW","MEDIUM","SEQUENTIAL_GATED","P0","hard_blocks","0","Final six-lane concurrent decision.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUALPROJECT_SIXLANE_CONCURRENT_GATE_v029DUAL1B_20260615_162518"
