"Path","Pattern","LineNumber","OriginalClass","OriginalRisk","FinalClass","FinalRisk","FinalDecision","FinalReason","FinalAction","LineText"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\60_PowerShell_Entry_Internal\Invoke-VIA-FinishProject-SafeFast.ps1","Stop-Process","28","SCANNER_RULE_TEXT","LOW","SCANNER_RULE_OR_LITERAL_TEXT","LOW","SAFE_TO_PROCEED","Pattern is policy scanner / regex / literal text; not an executable command.","Do not block optional active lock.","""DESTRUCTIVE"" = ""Remove-Item|Stop-Process|taskkill|rm -rf|shutil\.rmtree|os\.remove|unlink\("""
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\60_PowerShell_Entry_Internal\Invoke-VIA-FinishProject-SafeFast.ps1","pip install","30","SCANNER_RULE_TEXT","LOW","SCANNER_RULE_OR_LITERAL_TEXT","LOW","SAFE_TO_PROCEED","Pattern is policy scanner / regex / literal text; not an executable command.","Do not block optional active lock.","""ENV_MUTATION"" = ""pip install|pip uninstall|conda install|uv pip|poetry add"""
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\60_PowerShell_Entry_Internal\Invoke-VIA-PanoramaHardGateSafeFix.ps1","Stop-Process","37","SCANNER_RULE_TEXT","LOW","SCANNER_RULE_OR_LITERAL_TEXT","LOW","SAFE_TO_PROCEED","Pattern is policy scanner / regex / literal text; not an executable command.","Do not block optional active lock.","""DESTRUCTIVE"" = ""Remove-Item|rm -rf|shutil\.rmtree|os\.remove|unlink|Stop-Process|taskkill|exit\("""
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\60_PowerShell_Entry_Internal\Invoke-VIA-PanoramaHardGateSafeFix.ps1","pip install","39","SCANNER_RULE_TEXT","LOW","SCANNER_RULE_OR_LITERAL_TEXT","LOW","SAFE_TO_PROCEED","Pattern is policy scanner / regex / literal text; not an executable command.","Do not block optional active lock.","""ENV_MUTATION"" = ""pip install|pip uninstall|conda install|uv pip|poetry add"""
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\80_VETF_Supportive_Sort\VETF_VIA_SSOT_Unified.py","Stop-Process","1134","LIST_LITERAL_TEXT","LOW","SCANNER_RULE_OR_LITERAL_TEXT","LOW","SAFE_TO_PROCEED","Pattern is policy scanner / regex / literal text; not an executable command.","Do not block optional active lock.","""Stop-Process"","
"C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260526_151553_VRN_V139K_DUAL_CORE_SUPPORTIVE_COVERAGE\VRN_v139K_DualCore_Coverage_Analyzer.py","Stop-Process","174","SCANNER_RULE_TEXT","LOW","SCANNER_RULE_OR_LITERAL_TEXT","LOW","SAFE_TO_PROCEED","Pattern is policy scanner / regex / literal text; not an executable command.","Do not block optional active lock.","row[""has_stop_process_risk""] = ""stop-process"" in lower or ""os.kill"" in lower or "".kill("" in lower"
"C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260526_151553_VRN_V139K_DUAL_CORE_SUPPORTIVE_COVERAGE\VRN_v139K_DualCore_Coverage_Analyzer.py","Stop-Process","248","SCANNER_RULE_TEXT","LOW","SCANNER_RULE_OR_LITERAL_TEXT","LOW","SAFE_TO_PROCEED","Pattern is policy scanner / regex / literal text; not an executable command.","Do not block optional active lock.","row[""has_stop_process_risk""] = ""stop-process"" in lower or "".kill()"" in lower"
"C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260526_151553_VRN_V139K_DUAL_CORE_SUPPORTIVE_COVERAGE\VRN_v139K_DualCore_Coverage_Analyzer.py","pip install","249","SCANNER_RULE_TEXT","LOW","SCANNER_RULE_OR_LITERAL_TEXT","LOW","SAFE_TO_PROCEED","Pattern is policy scanner / regex / literal text; not an executable command.","Do not block optional active lock.","row[""has_network_text""] = any(x in lower for x in [""invoke-webrequest"", ""invoke-restmethod"", ""yfinance"", ""pip install"", ""openapi""])"
"C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260526_154258_VRN_V139L_TOP10_ACCELERATOR\VRN_v139L_Top10_Accelerator_Analyzer.py","Stop-Process","211","SCANNER_RULE_TEXT","LOW","SCANNER_RULE_OR_LITERAL_TEXT","LOW","SAFE_TO_PROCEED","Pattern is policy scanner / regex / literal text; not an executable command.","Do not block optional active lock.","row[""has_stop_process_risk""] = ""stop-process"" in lower or ""os.kill"" in lower or "".kill("" in lower"
"C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260526_154258_VRN_V139L_TOP10_ACCELERATOR\VRN_v139L_Top10_Accelerator_Analyzer.py","Stop-Process","292","SCANNER_RULE_TEXT","LOW","SCANNER_RULE_OR_LITERAL_TEXT","LOW","SAFE_TO_PROCEED","Pattern is policy scanner / regex / literal text; not an executable command.","Do not block optional active lock.","row[""has_stop_process_risk""] = ""stop-process"" in lower or "".kill()"" in lower"
"C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260526_154258_VRN_V139L_TOP10_ACCELERATOR\VRN_v139L_Top10_Accelerator_Analyzer.py","pip install","293","SCANNER_RULE_TEXT","LOW","SCANNER_RULE_OR_LITERAL_TEXT","LOW","SAFE_TO_PROCEED","Pattern is policy scanner / regex / literal text; not an executable command.","Do not block optional active lock.","row[""has_network_text""] = any(x in lower for x in [""invoke-webrequest"", ""invoke-restmethod"", ""yfinance"", ""pip install"", ""openapi"", ""twstock"", ""finmind""])"
"C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260526_154445_VRN_V139L_TOP10_ACCELERATOR\VRN_v139L_Top10_Accelerator_Analyzer.py","Stop-Process","211","SCANNER_RULE_TEXT","LOW","SCANNER_RULE_OR_LITERAL_TEXT","LOW","SAFE_TO_PROCEED","Pattern is policy scanner / regex / literal text; not an executable command.","Do not block optional active lock.","row[""has_stop_process_risk""] = ""stop-process"" in lower or ""os.kill"" in lower or "".kill("" in lower"
"C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260526_154445_VRN_V139L_TOP10_ACCELERATOR\VRN_v139L_Top10_Accelerator_Analyzer.py","Stop-Process","292","SCANNER_RULE_TEXT","LOW","SCANNER_RULE_OR_LITERAL_TEXT","LOW","SAFE_TO_PROCEED","Pattern is policy scanner / regex / literal text; not an executable command.","Do not block optional active lock.","row[""has_stop_process_risk""] = ""stop-process"" in lower or "".kill()"" in lower"
"C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260526_154445_VRN_V139L_TOP10_ACCELERATOR\VRN_v139L_Top10_Accelerator_Analyzer.py","pip install","293","SCANNER_RULE_TEXT","LOW","SCANNER_RULE_OR_LITERAL_TEXT","LOW","SAFE_TO_PROCEED","Pattern is policy scanner / regex / literal text; not an executable command.","Do not block optional active lock.","row[""has_network_text""] = any(x in lower for x in [""invoke-webrequest"", ""invoke-restmethod"", ""yfinance"", ""pip install"", ""openapi"", ""twstock"", ""finmind""])"
"C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260526_155826_VRN_V139M_RED_FALSE_POSITIVE_CRUSHER\VRN_v139M_RedFalsePositiveCrusher.py","Stop-Process","194","REVIEW_REQUIRED","MEDIUM","DISPLAY_OR_POLICY_TEXT","LOW","SAFE_TO_PROCEED","Pattern appears in display/policy text, not execution.","Do not block optional active lock.","if ""stop-process"" in lower and ""no stop-process"" in lower:"
"C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260526_155826_VRN_V139M_RED_FALSE_POSITIVE_CRUSHER\VRN_v139M_RedFalsePositiveCrusher.py","Stop-Process","199","SCANNER_RULE_TEXT","LOW","SCANNER_RULE_OR_LITERAL_TEXT","LOW","SAFE_TO_PROCEED","Pattern is policy scanner / regex / literal text; not an executable command.","Do not block optional active lock.","return bool(re.search(r""(?im)^\\s*stop-process\\b"", active))"
"C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260526_155826_VRN_V139M_RED_FALSE_POSITIVE_CRUSHER\VRN_v139M_RedFalsePositiveCrusher.py","pip install","285","SCANNER_RULE_TEXT","LOW","SCANNER_RULE_OR_LITERAL_TEXT","LOW","SAFE_TO_PROCEED","Pattern is policy scanner / regex / literal text; not an executable command.","Do not block optional active lock.","""has_network_text"": any(x in lower for x in [""invoke-webrequest"", ""invoke-restmethod"", ""pip install"", ""openapi""]),"
"C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260526_164003_VRN_V139P_POST_BRIDGE_RESCORE\VRN_v139P_PostBridge_Rescore.py","Stop-Process","130","SCANNER_RULE_TEXT","LOW","SCANNER_RULE_OR_LITERAL_TEXT","LOW","SAFE_TO_PROCEED","Pattern is policy scanner / regex / literal text; not an executable command.","Do not block optional active lock.","return bool(re.search(r""(?im)^\\s*stop-process\\b"", active))"
"C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_u4d_u4f_smoke_basicinfo_normalizer_runs\U4D_U4F_SMOKE_BASICINFO_NORMALIZER_20260510_233208\U4D_U4F_SMOKE_BASICINFO_NORMALIZER.py","Stop-Process","245","SCANNER_RULE_TEXT","LOW","SCANNER_RULE_OR_LITERAL_TEXT","LOW","SAFE_TO_PROCEED","Pattern is policy scanner / regex / literal text; not an executable command.","Do not block optional active lock.","forbidden = [""Remove-Item"", ""Move-Item"", ""Invoke-WebRequest"", ""curl "", ""Stop-Process"", ""exit ""]"
"C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_v23_normalized_ui_runs\VRN_V23_SCHEMA_UI_20260516_191102\VIA_SSOT_Unified.before_v23_20260516_191102.py","Stop-Process","1134","LIST_LITERAL_TEXT","LOW","SCANNER_RULE_OR_LITERAL_TEXT","LOW","SAFE_TO_PROCEED","Pattern is policy scanner / regex / literal text; not an executable command.","Do not block optional active lock.","""Stop-Process"","
"C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_via_vrn_panorama_runs\VRN_PANORAMA_SAFE_AUDIT_20260505_131453\VRN_AST_AUDITOR.py","Stop-Process","38","POSSIBLE_ACTIVE_STOP_PROCESS","HIGH","SCANNER_RULE_OR_LITERAL_TEXT","LOW","SAFE_TO_PROCEED","Pattern is policy scanner / regex / literal text; not an executable command.","Do not block optional active lock.","""EXIT_STOP"": r""\bexit\b|sys\.exit|Stop-Process"","
