"Time","Round","Flow","Layer","Name","Status","Risk","FixClass","Priority","Metric","Value","Message","Path"
"2026-06-09 22:56:43","Round2","PENDING_SCHEMA_SYNC","SCHEMA_READY","VDF_TW_IndexDaily","OK_SCHEMA_READY","LOW","PARALLEL_SAFE","P2","files","csv/json/parquet","Schema files exist for pending-flow table.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE\VDF_TW_IndexDaily.csv"
"2026-06-09 22:56:43","Round2","PENDING_SCHEMA_SYNC","SCHEMA_READY","VDF_TW_MonthlyRevenue","OK_SCHEMA_READY","LOW","PARALLEL_SAFE","P2","files","csv/json/parquet","Schema files exist for pending-flow table.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE\VDF_TW_MonthlyRevenue.csv"
"2026-06-09 22:56:43","Round2","PENDING_SCHEMA_SYNC","SCHEMA_READY","VDF_TW_FinancialStatement","OK_SCHEMA_READY","LOW","PARALLEL_SAFE","P2","files","csv/json/parquet","Schema files exist for pending-flow table.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE\VDF_TW_FinancialStatement.csv"
"2026-06-09 22:56:43","Round2","PENDING_SCHEMA_SYNC","SCHEMA_READY","VDF_TW_FinancialRatio","OK_SCHEMA_READY","LOW","PARALLEL_SAFE","P2","files","csv/json/parquet","Schema files exist for pending-flow table.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE\VDF_TW_FinancialRatio.csv"
"2026-06-09 22:56:43","Round2","PENDING_SCHEMA_SYNC","SCHEMA_READY","VDF_TW_CompanyProfile","OK_SCHEMA_READY","LOW","PARALLEL_SAFE","P2","files","csv/json/parquet","Schema files exist for pending-flow table.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE\VDF_TW_CompanyProfile.csv"
"2026-06-09 22:56:43","Round2","PENDING_SCHEMA_SYNC","SCHEMA_READY","VDF_Global_Macro","OK_SCHEMA_READY","LOW","PARALLEL_SAFE","P2","files","csv/json/parquet","Schema files exist for pending-flow table.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE\VDF_Global_Macro.csv"
"2026-06-09 22:56:43","Round2","PENDING_SCHEMA_SYNC","SCHEMA_READY","VDF_Global_Commodity","OK_SCHEMA_READY","LOW","PARALLEL_SAFE","P2","files","csv/json/parquet","Schema files exist for pending-flow table.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE\VDF_Global_Commodity.csv"
"2026-06-09 22:56:43","Round2","PENDING_SCHEMA_SYNC","SCHEMA_READY","VDF_Global_Freight","OK_SCHEMA_READY","LOW","PARALLEL_SAFE","P2","files","csv/json/parquet","Schema files exist for pending-flow table.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE\VDF_Global_Freight.csv"
"2026-06-09 22:56:43","Round2","PENDING_SCHEMA_SYNC","SCHEMA_READY","VDF_Global_FXRate","OK_SCHEMA_READY","LOW","PARALLEL_SAFE","P2","files","csv/json/parquet","Schema files exist for pending-flow table.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE\VDF_Global_FXRate.csv"
"2026-06-09 22:56:43","Round2","PENDING_SCHEMA_SYNC","SCHEMA_READY","VDF_RiskEventCalendar","OK_SCHEMA_READY","LOW","PARALLEL_SAFE","P2","files","csv/json/parquet","Schema files exist for pending-flow table.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE\VDF_RiskEventCalendar.csv"
"2026-06-09 22:56:43","Round2","PENDING_SCHEMA_SYNC","DUCKDB","VDF_ACTIVE_SCHEMA.duckdb","OK","LOW","PARALLEL_SAFE","P0","exists_sha256","8A2206DDFA2A6FADEF214A9A23B2BC864DC8070C9EBB084B29E941BFB8B2A335","File exists.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE\VDF_ACTIVE_SCHEMA.duckdb"
"2026-06-09 22:56:43","Round3","PENDING_SYNC","LOCAL_FREE_LIBS","VDF_Top10_LocalFreeLibs_PendingTriFlowSyncSeal_v0202.json","OK","LOW","PARALLEL_SAFE","P0","json_parse","ok","JSON parse OK.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_freeze\VDF_PENDING_TRIFLOW_SYNC_SEAL_v0202_20260609_225643\registry\VDF_Top10_LocalFreeLibs_PendingTriFlowSyncSeal_v0202.json"
"2026-06-09 22:56:43","Round3","PENDING_SYNC","SEAL_JSON","VDF_PENDING_TRIFLOW_SYNC_SEAL_v0202.json","OK","LOW","PARALLEL_SAFE","P0","json_parse","ok","JSON parse OK.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_freeze\VDF_PENDING_TRIFLOW_SYNC_SEAL_v0202_20260609_225643\seal\VDF_PENDING_TRIFLOW_SYNC_SEAL_v0202.json"
"2026-06-09 22:56:43","Round3","PENDING_SYNC","LATEST_POINTER","VDF_LATEST_PENDING_TRIFLOW_SYNC_POINTER.json","OK","LOW","PARALLEL_SAFE","P0","json_parse","ok","JSON parse OK.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_freeze\VDF_LATEST_PENDING_TRIFLOW_SYNC_POINTER.json"
"2026-06-09 22:56:43","Round3","PENDING_SYNC","PENDING_POINTER_UPDATE","VDF_PENDING_TRIFLOW_POINTER.json","OK","LOW","PARALLEL_SAFE","P0","json_parse","ok","JSON parse OK.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_PENDING_TRIFLOW_POINTER.json"
"2026-06-09 22:56:43","Round3","PENDING_SYNC","ACTIVE_POINTER_UPDATE","VDF_ACTIVE_POINTER.json","OK","LOW","PARALLEL_SAFE","P0","update","complete","Active pointer updated with v020.2 pending tri-flow sync seal.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_ACTIVE_POINTER.json"
