"def_project","def_engine_file","def_file_role","def_engine_param_count","def_total_param_count","def_path"
"VDF","vdf_akshare_narrow_source_filelist_canonicalizer_v027822.py","SOURCE","10","148","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_NARROW_SOURCE_FILELIST_CANONICALIZER_v027822_20260611_004445\runtime\vdf_akshare_narrow_source_filelist_canonicalizer_v027822.py"
"VDF","vdf_akshare_raw_column_profile_contract_hotfix_v0278121.py","SOURCE","11","194","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_RAW_COLUMN_PROFILE_CANONICAL_CONTRACT_HOTFIX_v0278121_20260611_001912\runtime\vdf_akshare_raw_column_profile_contract_hotfix_v0278121.py"
"VDF","VDF_AkShare_RawColumnProfile_CanonicalContract_Transcript_v027812_20260611_001630.txt","SOURCE","35","586","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_RAW_COLUMN_PROFILE_CANONICAL_CONTRACT_v027812_20260611_001630\runtime\VDF_AkShare_RawColumnProfile_CanonicalContract_Transcript_v027812_20260611_001630.txt"
"VDF","vdf_akshare_sample_call_gate_v0272.py","SOURCE","11","135","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_SAMPLE_CALL_GATE_v0272_20260610_143930\runtime\vdf_akshare_sample_call_gate_v0272.py"
"VDF","vdf_akshare_selector_gate_v027.py","SOURCE","4","72","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_SELECTOR_GATE_v027_20260610_141147\runtime\vdf_akshare_selector_gate_v027.py"
"VDF","vdf_akshare_signature_doc_probe_v0271.py","SOURCE","7","119","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_SIGNATURE_DOC_PROBE_v0271_20260610_141608\runtime\vdf_akshare_signature_doc_probe_v0271.py"
"VDF","vdf_akshare_candidate_seed_staging_v0274.py","SOURCE","11","120","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_SMALL_SCOPE_CANDIDATE_SEED_STAGING_v0274_20260610_145249\runtime\vdf_akshare_candidate_seed_staging_v0274.py"
"VDF","vdf_akshare_candidate_seed_staging_v0274.py","SOURCE","11","120","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_SMALL_SCOPE_CANDIDATE_SEED_STAGING_v0274_20260610_145643\runtime\vdf_akshare_candidate_seed_staging_v0274.py"
"VDF","vdf_akshare_small_scope_seed_plan_gate_hotfix_v02731.py","SOURCE","4","119","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_SMALL_SCOPE_SEED_PLAN_GATE_HOTFIX_v02731_20260610_144716\runtime\vdf_akshare_small_scope_seed_plan_gate_hotfix_v02731.py"
"VDF","vdf_akshare_small_scope_seed_plan_gate_v0273.py","SOURCE","4","119","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_SMALL_SCOPE_SEED_PLAN_GATE_v0273_20260610_144413\runtime\vdf_akshare_small_scope_seed_plan_gate_v0273.py"
"VDF","Invoke-VDF-AkShare-StagingWrite-GENERATED-NOT-RUN-v0285.ps1","SOURCE","2","13","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_STAGING_WRITE_SCRIPT_GENERATION_APPROVAL_v0284_20260611_033432\generated_script\Invoke-VDF-AkShare-StagingWrite-GENERATED-NOT-RUN-v0285.ps1"
"VDF","vdf_akshare_user_approval_gate_write_stage_design_v0281.py","SOURCE","6","104","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_USER_APPROVAL_GATE_WRITE_STAGE_DESIGN_v0281_20260611_021402\runtime\vdf_akshare_user_approval_gate_write_stage_design_v0281.py"
"VDF","vdf_akshare_write_dryrun_compare_v0282.py","SOURCE","6","107","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_WRITE_DRYRUN_COMPARE_v0282_20260611_024351\runtime\vdf_akshare_write_dryrun_compare_v0282.py"
"VDF","vdf_fred_akshare_small_scope_gate_probe_v025.py","SOURCE","3","26","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_FRED_AKSHARE_SMALL_SCOPE_SEED_GATE_v025_20260610_125014\runtime\vdf_fred_akshare_small_scope_gate_probe_v025.py"
"VDF","vdf_fred_akshare_small_scope_gate_probe_v025.py","SOURCE","3","26","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_FRED_AKSHARE_SMALL_SCOPE_SEED_GATE_v025_20260610_125256\runtime\vdf_fred_akshare_small_scope_gate_probe_v025.py"
"VDF","vdf_fred_candidate_to_canonical_merge_dryrun_v0261.py","SOURCE","4","65","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_FRED_CANDIDATE_TO_CANONICAL_MERGE_DRYRUN_v0261_20260610_133556\runtime\vdf_fred_candidate_to_canonical_merge_dryrun_v0261.py"
"VDF","vdf_fred_candidate_to_canonical_merge_gate_v026.py","SOURCE","4","35","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_FRED_CANDIDATE_TO_CANONICAL_MERGE_GATE_v026_20260610_132856\runtime\vdf_fred_candidate_to_canonical_merge_gate_v026.py"
"VDF","vdf_fred_canonical_key_hygiene_gate_v02611.py","SOURCE","6","58","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_FRED_CANONICAL_KEY_HYGIENE_GATE_v02611_20260610_133957\runtime\vdf_fred_canonical_key_hygiene_gate_v02611.py"
"VDF","vdf_fred_canonical_key_repair_dryrun_v02612.py","SOURCE","5","86","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_FRED_CANONICAL_KEY_REPAIR_DRYRUN_v02612_20260610_135521\runtime\vdf_fred_canonical_key_repair_dryrun_v02612.py"
"VDF","vdf_fred_small_scope_seed_v0251.py","SOURCE","10","95","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_FRED_SMALL_SCOPE_SEED_v0251_20260610_130027\runtime\vdf_fred_small_scope_seed_v0251.py"
"VDF","VDF_FullSystem_ModuleIntegrationAudit_Report_v023.html","REPORT","1","11","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_FULL_SYSTEM_MODULE_INTEGRATION_AUDIT_v023_20260610_123356\report\VDF_FullSystem_ModuleIntegrationAudit_Report_v023.html"
"VDF","vdf_python_compile_probe_v023.py","SOURCE","2","12","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_FULL_SYSTEM_MODULE_INTEGRATION_AUDIT_v023_20260610_123356\runtime\vdf_python_compile_probe_v023.py"
"VDF","vdf_mops_monthly_revenue_seed_v022.py","SOURCE","13","109","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_MOPS_MONTHLY_REVENUE_SEED_v022_20260609_233356\runtime\vdf_mops_monthly_revenue_seed_v022.py"
"VDF","vdf_pending_triflow_env_probe_v0203.py","SOURCE","3","16","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_PENDING_TRIFLOW_EXECUTION_GATE_v0203_20260609_230242\runtime\vdf_pending_triflow_env_probe_v0203.py"
"VDF","VDF_ProductionFetchController_ProbeReclassify_Matrix_v0161.csv","ENGINE_MODULE","0","0","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_PRODUCTION_FETCH_CONTROLLER_v0161_PROBE_RECLASSIFY_20260609_220558\registry\VDF_ProductionFetchController_ProbeReclassify_Matrix_v0161.csv"
"VDF","VDF_ProductionFetchController_ProbeReclassify_Matrix_v0161.json","ENGINE_MODULE","0","340","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_PRODUCTION_FETCH_CONTROLLER_v0161_PROBE_RECLASSIFY_20260609_220558\registry\VDF_ProductionFetchController_ProbeReclassify_Matrix_v0161.json"
"VDF","VDF_ProductionFetchController_ProbeSeal_v0161.json","ENGINE_MODULE","0","18","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_PRODUCTION_FETCH_CONTROLLER_v0161_PROBE_RECLASSIFY_20260609_220558\registry\VDF_ProductionFetchController_ProbeSeal_v0161.json"
"VDF","VDF_ProductionFetchController_AuditMatrix_v016.csv","ENGINE_MODULE","0","0","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_PRODUCTION_FETCH_CONTROLLER_v016_20260609_220337\registry\VDF_ProductionFetchController_AuditMatrix_v016.csv"
"VDF","VDF_ProductionFetchController_AuditMatrix_v016.json","ENGINE_MODULE","0","752","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_PRODUCTION_FETCH_CONTROLLER_v016_20260609_220337\registry\VDF_ProductionFetchController_AuditMatrix_v016.json"
"VDF","VDF_ProductionFetchPlan_v016.json","ENGINE_MODULE","0","290","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_PRODUCTION_FETCH_CONTROLLER_v016_20260609_220337\registry\VDF_ProductionFetchPlan_v016.json"
"VDF","VDF_Top10_LocalFreeLibs_ProductionFetch_v016.json","ENGINE_MODULE","0","21","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_PRODUCTION_FETCH_CONTROLLER_v016_20260609_220337\registry\VDF_Top10_LocalFreeLibs_ProductionFetch_v016.json"
"VDF","vdf_production_fetch_controller_v016.py","ENGINE_MODULE","12","129","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_PRODUCTION_FETCH_CONTROLLER_v016_20260609_220337\runtime\vdf_production_fetch_controller_v016.py"
"VDF","vdf_production_fetch_result_v016.json","ENGINE_MODULE","0","235","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_PRODUCTION_FETCH_CONTROLLER_v016_20260609_220337\runtime\vdf_production_fetch_result_v016.json"
"VDF","vdf_three_deferred_flow_capability_probe_v024.py","SOURCE","3","23","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_THREE_DEFERRED_FLOW_SYNC_GATE_v024_20260610_123806\runtime\vdf_three_deferred_flow_capability_probe_v024.py"
"VDF","vdf_tpex_small_scope_seed_v021.py","SOURCE","9","65","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_TPEX_SMALL_SCOPE_SEED_v021_20260609_232145\runtime\vdf_tpex_small_scope_seed_v021.py"
"VDF","vdf_twse_official_seed_v018.py","SOURCE","17","119","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_TWSE_OFFICIAL_SEED_v018_20260609_223313\runtime\vdf_twse_official_seed_v018.py"
"VDF","vdf_twse_official_seed_v018.py","SOURCE","17","119","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_TWSE_OFFICIAL_SEED_v018_20260609_223420\runtime\vdf_twse_official_seed_v018.py"
"VDF","vdf_twse_official_seed_v018.py","SOURCE","17","119","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_TWSE_OFFICIAL_SEED_v018_20260609_223749\runtime\vdf_twse_official_seed_v018.py"
"VDF","VDF_VRN_Sync5_Transcript_v0280_20260611_000806.txt","SOURCE","23","500","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_VRN_SYNC5_ORCHESTRATION_v0280_20260611_000806\runtime\VDF_VRN_Sync5_Transcript_v0280_20260611_000806.txt"
"VDF","VDF_YFinanceSeedFetch_AuditMatrix_v017.csv","ENGINE_MODULE","0","0","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_YFINANCE_SEED_FETCH_v017_20260609_221249\registry\VDF_YFinanceSeedFetch_AuditMatrix_v017.csv"
"VDF","VDF_YFinanceSeedFetch_AuditMatrix_v017.json","ENGINE_MODULE","0","611","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_YFINANCE_SEED_FETCH_v017_20260609_221249\registry\VDF_YFinanceSeedFetch_AuditMatrix_v017.json"
"VDF","VDF_YFinanceSeedFetch_TargetPlan_v017.json","ENGINE_MODULE","0","27","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_YFINANCE_SEED_FETCH_v017_20260609_221249\registry\VDF_YFinanceSeedFetch_TargetPlan_v017.json"
"VDF","vdf_yfinance_seed_fetch_result_v017.json","ENGINE_MODULE","0","67","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_YFINANCE_SEED_FETCH_v017_20260609_221249\runtime\vdf_yfinance_seed_fetch_result_v017.json"
"VDF","vdf_yfinance_seed_fetch_v017.py","ENGINE_MODULE","13","95","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_YFINANCE_SEED_FETCH_v017_20260609_221249\runtime\vdf_yfinance_seed_fetch_v017.py"
"VDF","VIA_ActivationSmokeTest_Report_v02866.html","TEST_VALIDATION","5","11","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_ACTIVATION_SMOKE_TEST_v02866_20260611_121401\report\VIA_ActivationSmokeTest_Report_v02866.html"
"VDF","_temp_Invoke_VIA_ALL_replaced_20260611_115158.ps1","SOURCE","7","110","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_ACTIVATION_USERTEST_GATE_HOTFIX_v028651_20260611_115157\backup\_temp_Invoke_VIA_ALL_replaced_20260611_115158.ps1"
"VDF","VIA_Hotfix_Report_v028651.html","REPORT","5","11","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_ACTIVATION_USERTEST_GATE_HOTFIX_v028651_20260611_115157\report\VIA_Hotfix_Report_v028651.html"
"VDF","VIA_ActivationUserTestGate_Report_v02865.html","TEST_VALIDATION","5","10","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_ACTIVATION_USERTEST_GATE_v02865_20260611_114925\report\VIA_ActivationUserTestGate_Report_v02865.html"
"VDF","VIA_ActivePathDependencyFilter_Report_v028712.html","REPORT","5","11","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_ACTIVE_PATH_DEPENDENCY_FILTER_v028712_20260611_203308\report\VIA_ActivePathDependencyFilter_Report_v028712.html"
"VDF","Invoke-VIA-DualProjectDailyHealth.before_v028752.ps1","SOURCE","5","60","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DAILY_HEALTH_FAST_REPAIR_v028752_20260611_214008\backup\Invoke-VIA-DualProjectDailyHealth.before_v028752.ps1"
"VDF","VIA_DailyHealthLauncherConsole_Report_v02870.html","REPORT","5","8","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DAILY_HEALTH_LAUNCHER_CONSOLE_v02870_20260611_130315\report\VIA_DailyHealthLauncherConsole_Report_v02870.html"
"VDF","VIA_DailyHealthLauncherConsole_Report_v02870.html","REPORT","5","8","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DAILY_HEALTH_LAUNCHER_CONSOLE_v02870_20260611_195255\report\VIA_DailyHealthLauncherConsole_Report_v02870.html"
"VDF","Invoke-VIA-DualProjectDailyHealth.before_v028753.ps1","SOURCE","4","60","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DAILY_HEALTH_MINIMAL_STABLE_v028753_20260611_214855\backup\Invoke-VIA-DualProjectDailyHealth.before_v028753.ps1"
"VDF","Invoke-VIA-DualProjectDailyHealth.before_v028754.ps1","SOURCE","5","65","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DAILY_HEALTH_NONTHROWING_MONITOR_v028754_20260611_225535\backup\Invoke-VIA-DualProjectDailyHealth.before_v028754.ps1"
"VDF","VIA_DualProjectSixLaneConcurrent_Report_v029DUAL1B.html","REPORT","5","8","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUALPROJECT_SIXLANE_CONCURRENT_GATE_v029DUAL1B_20260615_162518\report\VIA_DualProjectSixLaneConcurrent_Report_v029DUAL1B.html"
