"Time","Round","System","Layer","Name","Status","Risk","Class","Priority","Metric","Value","Message","Path"
"2026-06-15T12:18:30.673+08:00","Round2","VRN","STAGE_OUTPUT","FileRegistry Stage","OK_VERIFIED","LOW","PARALLEL_SAFE","P0","lines","401","FileRegistry stage exists.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VRN_ALL_TURBO_QUALIFIED_STAGING_EXTRACTION_v029VRN1C_20260615_115316\stage\VRN_FileRegistry_Stage_v029VRN1C.csv"
"2026-06-15T12:18:30.674+08:00","Round2","VRN","STAGE_OUTPUT","ReportText Stage","OK_VERIFIED","LOW","PARALLEL_SAFE","P0","lines","431428","ReportText stage exists and large enough.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VRN_ALL_TURBO_QUALIFIED_STAGING_EXTRACTION_v029VRN1C_20260615_115316\stage\VRN_ReportText_Stage_v029VRN1C.csv"
"2026-06-15T12:18:30.675+08:00","Round2","VRN","STAGE_OUTPUT","ExceptionQueue Stage","OK_FOUND","MEDIUM","SEQUENTIAL_REQUIRED","P1","lines","50","Exception queue exists; requires review before canonical.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VRN_ALL_TURBO_QUALIFIED_STAGING_EXTRACTION_v029VRN1C_20260615_115316\stage\VRN_ExceptionQueue_Stage_v029VRN1C.csv"
"2026-06-15T12:18:31.170+08:00","Round2","VRN","CONSISTENCY","BasicInfo vs FileRegistry vs Runtime","OK_VERIFIED","LOW","PARALLEL_SAFE","P0","rows","400","Stage row counts match extracted report count.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VRN_ALL_TURBO_QUALIFIED_STAGING_EXTRACTION_v029VRN1C_20260615_115316\stage\VRN_ReportBasicInfo_Stage_v029VRN1C.csv"
"2026-06-15T12:18:31.171+08:00","Round2","VRN","CONSISTENCY","ReportID Dedup","WARN_DUPLICATE_REPORT_ID","MEDIUM","SEQUENTIAL_REQUIRED","P1","duplicates","101","Duplicate report_id requires sequential repair.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VRN_ALL_TURBO_QUALIFIED_STAGING_EXTRACTION_v029VRN1C_20260615_115316\stage\VRN_ReportBasicInfo_Stage_v029VRN1C.csv"
"2026-06-15T12:18:31.172+08:00","Round2","VRN","IDENTITY","Missing Ticker","OK_VERIFIED","LOW","SEQUENTIAL_REQUIRED","P1","missing","0","Ticker missing count.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VRN_ALL_TURBO_QUALIFIED_STAGING_EXTRACTION_v029VRN1C_20260615_115316\stage\VRN_ReportBasicInfo_Stage_v029VRN1C.csv"
"2026-06-15T12:18:31.173+08:00","Round2","VRN","IDENTITY","Missing Report Date","WARN_REVIEW_REQUIRED","MEDIUM","SEQUENTIAL_REQUIRED","P1","missing","16","Report date missing count.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VRN_ALL_TURBO_QUALIFIED_STAGING_EXTRACTION_v029VRN1C_20260615_115316\stage\VRN_ReportBasicInfo_Stage_v029VRN1C.csv"
"2026-06-15T12:18:31.174+08:00","Round2","VRN","IDENTITY","Missing Broker","WARN_REVIEW_REQUIRED","MEDIUM","SEQUENTIAL_REQUIRED","P2","missing","33","Broker missing count.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VRN_ALL_TURBO_QUALIFIED_STAGING_EXTRACTION_v029VRN1C_20260615_115316\stage\VRN_ReportBasicInfo_Stage_v029VRN1C.csv"
"2026-06-15T12:18:31.174+08:00","Round2","VRN","IDENTITY","Review Required","WARN_REVIEW_REQUIRED","MEDIUM","SEQUENTIAL_REQUIRED","P1","review","16","Review-required count.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VRN_ALL_TURBO_QUALIFIED_STAGING_EXTRACTION_v029VRN1C_20260615_115316\stage\VRN_ReportBasicInfo_Stage_v029VRN1C.csv"
"2026-06-15T12:18:31.868+08:00","Round2","VDF","PROCESS","VeritasDataForge Run","WARN_NOT_RUNNING_OR_COMPLETED","MEDIUM","SEQUENTIAL_REQUIRED","P1","processes","0","No running VDF process detected. Check final output/log separately.",""
"2026-06-15T12:20:04.579+08:00","Round2","VDF","DATA","DuckDB Inventory","OK_FOUND","LOW","PARALLEL_SAFE","P2","files","14","Read-only DB file inventory.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics"
"2026-06-15T12:20:04.581+08:00","Round2","VDF","DATA","Parquet Inventory","OK_FOUND","LOW","PARALLEL_SAFE","P2","files","100","Read-only parquet inventory.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics"
"2026-06-15T12:20:04.582+08:00","Round2","VDF","DATA","CSV Inventory","OK_FOUND","LOW","PARALLEL_SAFE","P2","files","100","Read-only CSV inventory.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics"
"2026-06-15T12:20:04.612+08:00","Round3","VRN","FINALIZE","1C Stage Finalization","OK_SEALED","MEDIUM","PARALLEL_SAFE_FINALIZATION","P0","status","VRN_1C_STAGE_FINALIZED_READY_WITH_REVIEW","Created final stage runtime from existing outputs. No extraction rerun.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_THREEROUND_PANORAMIC_CONSOLIDATION_v029DUAL0E_20260615_121827\seal\VRN_1C_StageFinalized_Runtime_v029DUAL0E.json"
"2026-06-15T12:20:04.726+08:00","Round3","VIA","FINAL","Three-Round Consolidation","THREEROUND_PANORAMIC_CONSOLIDATION_READY_WITH_REVIEW","MEDIUM","SEQUENTIAL_GATED","P0","hard_blocks","0","Three-round panoramic consolidation complete.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_THREEROUND_PANORAMIC_CONSOLIDATION_v029DUAL0E_20260615_121827"
