"RowNo","Scope","Category","OriginalStatus","IsBlocker","Priority","FixClass","RepairLane","ErrorType","FileExists","IsRuntimeArtifact","IsSourceFile","AnchorFound","Line","Column","FileSize","AnchorLineText","OriginalMessage","Context","Strategy","Path","RelativePath"
"11","VDF_Dict","TextDocument","FAIL","False","P3","PARALLEL_SAFE_REVIEW","PAR_RUNTIME_FALSE_POSITIVE","RuntimeTextContainsConflictMarker","True","True","False","False","0","0","117.91 KB","","merge conflict marker","SKIP_CONTEXT_RUNTIME_OR_NON_SOURCE","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_BACKUP_ROLLBACK_STAGING_PLAN_HOTFIX_v02831_20260611_031152\runtime\VDF_AkShare_BackupRollbackStagingPlan_Hotfix_Transcript_v02831_20260611_031152.txt","dict\VDF\_active\VDF_AKSHARE_BACKUP_ROLLBACK_STAGING_PLAN_HOTFIX_v02831_20260611_031152\runtime\VDF_AkShare_BackupRollbackStagingPlan_Hotfix_Transcript_v02831_20260611_031152.txt"
"12","VDF_Functional","HtmlUIOrReport","FAIL","True","P0","SEQUENTIAL_REQUIRED","SEQ_CONFLICT","MergeConflict","True","False","True","True","0","0","45.78 KB","// ============================================================================","merge conflict marker","  L204: 
  L205: <script>
> L206: // ============================================================================
  L207: // FULL ECOSYSTEM REGISTRY (31 modules)
  L208: // ============================================================================","source conflict 必須逐檔人工判斷，不可批量修。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL501_DataModuleController.html","functional modules\VDF\VDF_MDL501_DataModuleController.html"
"13","VDF_Dict","TextDocument","FAIL","False","P3","PARALLEL_SAFE_REVIEW","PAR_RUNTIME_FALSE_POSITIVE","RuntimeTextContainsConflictMarker","True","True","False","False","0","0","4.44 KB","","merge conflict marker","SKIP_CONTEXT_RUNTIME_OR_NON_SOURCE","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_REMAINING_PROCESSES_SAFE_PARALLEL_STARTER_v029DUAL0B_20260615_102905\runtime\VIA_RemainingProcessesSafeParallelStarter_v029DUAL0B_Transcript_20260615_102905.txt","dict\VDF\_active\VIA_REMAINING_PROCESSES_SAFE_PARALLEL_STARTER_v029DUAL0B_20260615_102905\runtime\VIA_RemainingProcessesSafeParallelStarter_v029DUAL0B_Transcript_20260615_102905.txt"
"14","VDF_Dict","TextDocument","FAIL","False","P3","PARALLEL_SAFE_REVIEW","PAR_RUNTIME_FALSE_POSITIVE","RuntimeTextContainsConflictMarker","True","True","False","False","0","0","4.22 KB","","merge conflict marker","SKIP_CONTEXT_RUNTIME_OR_NON_SOURCE","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_SUPPORTIVE_DOCKING_VDF_VRN_v02861_20260611_112018\runtime\VIA_SupportiveDocking_v02861_Transcript_20260611_112018.txt","dict\VDF\_active\VIA_SUPPORTIVE_DOCKING_VDF_VRN_v02861_20260611_112018\runtime\VIA_SupportiveDocking_v02861_Transcript_20260611_112018.txt"
"15","VDF_Dict","TextDocument","FAIL","False","P3","PARALLEL_SAFE_REVIEW","PAR_RUNTIME_FALSE_POSITIVE","RuntimeTextContainsConflictMarker","True","True","False","False","0","0","4.14 KB","","merge conflict marker","SKIP_CONTEXT_RUNTIME_OR_NON_SOURCE","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_THREEROUND_PANORAMIC_CONSOLIDATION_v029DUAL0E_20260615_121827\runtime\VIA_ThreeRoundPanoramicConsolidation_v029DUAL0E_Transcript_20260615_121827.txt","dict\VDF\_active\VIA_THREEROUND_PANORAMIC_CONSOLIDATION_v029DUAL0E_20260615_121827\runtime\VIA_ThreeRoundPanoramicConsolidation_v029DUAL0E_Transcript_20260615_121827.txt"
"16","VDF_Dict","TextDocument","FAIL","False","P3","PARALLEL_SAFE_REVIEW","PAR_RUNTIME_FALSE_POSITIVE","RuntimeTextContainsConflictMarker","True","True","False","False","0","0","4.05 KB","","merge conflict marker","SKIP_CONTEXT_RUNTIME_OR_NON_SOURCE","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_TWO_SYSTEM_NEXT_GATE_TURBO_HOTFIX_v029DUAL0C1_20260615_114931\runtime\VIA_TwoSystemNextGateTurboHotfix_v029DUAL0C1_Transcript_20260615_114931.txt","dict\VDF\_active\VIA_TWO_SYSTEM_NEXT_GATE_TURBO_HOTFIX_v029DUAL0C1_20260615_114931\runtime\VIA_TwoSystemNextGateTurboHotfix_v029DUAL0C1_Transcript_20260615_114931.txt"
"17","VDF_Dict","TextDocument","FAIL","False","P3","PARALLEL_SAFE_REVIEW","PAR_RUNTIME_FALSE_POSITIVE","RuntimeTextContainsConflictMarker","True","True","False","False","0","0","3.95 KB","","merge conflict marker","SKIP_CONTEXT_RUNTIME_OR_NON_SOURCE","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_FINAL_OPERATIONS_SEAL_v02876_20260611_230029\runtime\VIA_FinalOperationsSeal_v02876_Transcript_20260611_230029.txt","dict\VDF\_active\VIA_FINAL_OPERATIONS_SEAL_v02876_20260611_230029\runtime\VIA_FinalOperationsSeal_v02876_Transcript_20260611_230029.txt"
"18","VDF_Dict","TextDocument","FAIL","False","P3","PARALLEL_SAFE_REVIEW","PAR_RUNTIME_FALSE_POSITIVE","RuntimeTextContainsConflictMarker","True","True","False","False","0","0","3.95 KB","","merge conflict marker","SKIP_CONTEXT_RUNTIME_OR_NON_SOURCE","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_FINAL_OPERATIONS_SEAL_v02876_20260611_230723\runtime\VIA_FinalOperationsSeal_v02876_Transcript_20260611_230723.txt","dict\VDF\_active\VIA_FINAL_OPERATIONS_SEAL_v02876_20260611_230723\runtime\VIA_FinalOperationsSeal_v02876_Transcript_20260611_230723.txt"
"19","VDF_Dict","TextDocument","FAIL","False","P3","PARALLEL_SAFE_REVIEW","PAR_RUNTIME_FALSE_POSITIVE","RuntimeTextContainsConflictMarker","True","True","False","False","0","0","3.87 KB","","merge conflict marker","SKIP_CONTEXT_RUNTIME_OR_NON_SOURCE","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUAL_PROJECT_DAILY_HEALTH_SCHEDULER_v02875_20260611_213209\runtime\VIA_DualProjectDailyHealthScheduler_v02875_Transcript_20260611_213209.txt","dict\VDF\_active\VIA_DUAL_PROJECT_DAILY_HEALTH_SCHEDULER_v02875_20260611_213209\runtime\VIA_DualProjectDailyHealthScheduler_v02875_Transcript_20260611_213209.txt"
"20","VDF_Dict","TextDocument","FAIL","False","P3","PARALLEL_SAFE_REVIEW","PAR_RUNTIME_FALSE_POSITIVE","RuntimeTextContainsConflictMarker","True","True","False","False","0","0","3.86 KB","","merge conflict marker","SKIP_CONTEXT_RUNTIME_OR_NON_SOURCE","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DAILY_HEALTH_MINIMAL_STABLE_v028753_20260611_214855\runtime\VIA_DailyHealthMinimalStable_v028753_Transcript_20260611_214855.txt","dict\VDF\_active\VIA_DAILY_HEALTH_MINIMAL_STABLE_v028753_20260611_214855\runtime\VIA_DailyHealthMinimalStable_v028753_Transcript_20260611_214855.txt"
"21","VDF_Dict","TextDocument","FAIL","False","P3","PARALLEL_SAFE_REVIEW","PAR_RUNTIME_FALSE_POSITIVE","RuntimeTextContainsConflictMarker","True","True","False","False","0","0","3.82 KB","","merge conflict marker","SKIP_CONTEXT_RUNTIME_OR_NON_SOURCE","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUAL_PROJECT_SAFE_PARALLEL_GATE_v02872_20260611_205436\runtime\VIA_DualProjectSafeParallelGate_v02872_Transcript_20260611_205436.txt","dict\VDF\_active\VIA_DUAL_PROJECT_SAFE_PARALLEL_GATE_v02872_20260611_205436\runtime\VIA_DualProjectSafeParallelGate_v02872_Transcript_20260611_205436.txt"
"22","VDF_Dict","TextDocument","FAIL","False","P3","PARALLEL_SAFE_REVIEW","PAR_RUNTIME_FALSE_POSITIVE","RuntimeTextContainsConflictMarker","True","True","False","False","0","0","3.78 KB","","merge conflict marker","SKIP_CONTEXT_RUNTIME_OR_NON_SOURCE","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUAL_PROJECT_USERTEST_CONSOLE_HOTFIX_v028731_20260611_210904\runtime\VIA_DualProjectUserTestConsole_Hotfix_v028731_Transcript_20260611_210904.txt","dict\VDF\_active\VIA_DUAL_PROJECT_USERTEST_CONSOLE_HOTFIX_v028731_20260611_210904\runtime\VIA_DualProjectUserTestConsole_Hotfix_v028731_Transcript_20260611_210904.txt"
"23","VDF_Dict","TextDocument","FAIL","False","P3","PARALLEL_SAFE_REVIEW","PAR_RUNTIME_FALSE_POSITIVE","RuntimeTextContainsConflictMarker","True","True","False","False","0","0","3.76 KB","","merge conflict marker","SKIP_CONTEXT_RUNTIME_OR_NON_SOURCE","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DAILY_HEALTH_FAST_REPAIR_v028752_20260611_214008\runtime\VIA_DailyHealthFastRepair_v028752_Transcript_20260611_214008.txt","dict\VDF\_active\VIA_DAILY_HEALTH_FAST_REPAIR_v028752_20260611_214008\runtime\VIA_DailyHealthFastRepair_v028752_Transcript_20260611_214008.txt"
"24","VDF_Dict","TextDocument","FAIL","False","P3","PARALLEL_SAFE_REVIEW","PAR_RUNTIME_FALSE_POSITIVE","RuntimeTextContainsConflictMarker","True","True","False","False","0","0","3.73 KB","","merge conflict marker","SKIP_CONTEXT_RUNTIME_OR_NON_SOURCE","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DAILY_HEALTH_NONTHROWING_MONITOR_v028754_20260611_225535\runtime\VIA_DailyHealthNonThrowingMonitor_v028754_Transcript_20260611_225535.txt","dict\VDF\_active\VIA_DAILY_HEALTH_NONTHROWING_MONITOR_v028754_20260611_225535\runtime\VIA_DailyHealthNonThrowingMonitor_v028754_Transcript_20260611_225535.txt"
"25","VDF_Dict","TextDocument","FAIL","False","P3","PARALLEL_SAFE_REVIEW","PAR_RUNTIME_FALSE_POSITIVE","RuntimeTextContainsConflictMarker","True","True","False","False","0","0","3.72 KB","","merge conflict marker","SKIP_CONTEXT_RUNTIME_OR_NON_SOURCE","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUALPROJECT_SIXLANE_CONCURRENT_GATE_v029DUAL1B_20260615_162518\runtime\VIA_DualProjectSixLaneConcurrentGate_v029DUAL1B_Transcript_20260615_162518.txt","dict\VDF\_active\VIA_DUALPROJECT_SIXLANE_CONCURRENT_GATE_v029DUAL1B_20260615_162518\runtime\VIA_DualProjectSixLaneConcurrentGate_v029DUAL1B_Transcript_20260615_162518.txt"
"26","VDF_Dict","TextDocument","FAIL","False","P3","PARALLEL_SAFE_REVIEW","PAR_RUNTIME_FALSE_POSITIVE","RuntimeTextContainsConflictMarker","True","True","False","False","0","0","3.71 KB","","merge conflict marker","SKIP_CONTEXT_RUNTIME_OR_NON_SOURCE","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_TEST_DEBUG_VDF_VRN_v02863_20260611_113944\runtime\VIA_TestDebug_v02863_Transcript_20260611_113944.txt","dict\VDF\_active\VIA_TEST_DEBUG_VDF_VRN_v02863_20260611_113944\runtime\VIA_TestDebug_v02863_Transcript_20260611_113944.txt"
"27","VDF_Dict","TextDocument","FAIL","False","P3","PARALLEL_SAFE_REVIEW","PAR_RUNTIME_FALSE_POSITIVE","RuntimeTextContainsConflictMarker","True","True","False","False","0","0","3.65 KB","","merge conflict marker","SKIP_CONTEXT_RUNTIME_OR_NON_SOURCE","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_READONLY_LANE_EXECUTION_SMOKE_TEST_v02874_20260611_211312\runtime\VIA_ReadOnlyLaneExecutionSmokeTest_v02874_Transcript_20260611_211312.txt","dict\VDF\_active\VIA_READONLY_LANE_EXECUTION_SMOKE_TEST_v02874_20260611_211312\runtime\VIA_ReadOnlyLaneExecutionSmokeTest_v02874_Transcript_20260611_211312.txt"
"28","VDF_Dict","TextDocument","FAIL","False","P3","PARALLEL_SAFE_REVIEW","PAR_RUNTIME_FALSE_POSITIVE","RuntimeTextContainsConflictMarker","True","True","False","False","0","0","3.64 KB","","merge conflict marker","SKIP_CONTEXT_RUNTIME_OR_NON_SOURCE","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_ACTIVE_PATH_DEPENDENCY_FILTER_v028712_20260611_203308\runtime\VIA_ActivePathDependencyFilter_v028712_Transcript_20260611_203308.txt","dict\VDF\_active\VIA_ACTIVE_PATH_DEPENDENCY_FILTER_v028712_20260611_203308\runtime\VIA_ActivePathDependencyFilter_v028712_Transcript_20260611_203308.txt"
"29","VDF_Dict","TextDocument","FAIL","False","P3","PARALLEL_SAFE_REVIEW","PAR_RUNTIME_FALSE_POSITIVE","RuntimeTextContainsConflictMarker","True","True","False","False","0","0","3.63 KB","","merge conflict marker","SKIP_CONTEXT_RUNTIME_OR_NON_SOURCE","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUALPROJECT_SIXLANE_PANORAMA_GATE_v029DUAL1A_20260615_153539\runtime\VIA_DualProjectSixLanePanoramaGate_v029DUAL1A_Transcript_20260615_153539.txt","dict\VDF\_active\VIA_DUALPROJECT_SIXLANE_PANORAMA_GATE_v029DUAL1A_20260615_153539\runtime\VIA_DualProjectSixLanePanoramaGate_v029DUAL1A_Transcript_20260615_153539.txt"
"30","VDF_Dict","TextDocument","FAIL","False","P3","PARALLEL_SAFE_REVIEW","PAR_RUNTIME_FALSE_POSITIVE","RuntimeTextContainsConflictMarker","True","True","False","False","0","0","3.62 KB","","merge conflict marker","SKIP_CONTEXT_RUNTIME_OR_NON_SOURCE","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VRN_PARQUET_UNIFIED_STAGE_REPAIR_GATE_v029VRN1C3_20260615_125541\runtime\VRN_ParquetUnifiedStageRepairGate_v029VRN1C3_Transcript_20260615_125541.txt","dict\VDF\_active\VRN_PARQUET_UNIFIED_STAGE_REPAIR_GATE_v029VRN1C3_20260615_125541\runtime\VRN_ParquetUnifiedStageRepairGate_v029VRN1C3_Transcript_20260615_125541.txt"
"31","VDF_Dict","TextDocument","FAIL","False","P3","PARALLEL_SAFE_REVIEW","PAR_RUNTIME_FALSE_POSITIVE","RuntimeTextContainsConflictMarker","True","True","False","False","0","0","3.58 KB","","merge conflict marker","SKIP_CONTEXT_RUNTIME_OR_NON_SOURCE","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_SSOT_NEXUSCORE_STATUS_INSPECTOR_v029SSOT1A_20260615_143518\runtime\VIA_SSOT_NexusCoreStatusInspector_v029SSOT1A_Transcript_20260615_143518.txt","dict\VDF\_active\VIA_SSOT_NEXUSCORE_STATUS_INSPECTOR_v029SSOT1A_20260615_143518\runtime\VIA_SSOT_NexusCoreStatusInspector_v029SSOT1A_Transcript_20260615_143518.txt"
"32","VDF_Dict","TextDocument","FAIL","False","P3","PARALLEL_SAFE_REVIEW","PAR_RUNTIME_FALSE_POSITIVE","RuntimeTextContainsConflictMarker","True","True","False","False","0","0","3.58 KB","","merge conflict marker","SKIP_CONTEXT_RUNTIME_OR_NON_SOURCE","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_SSOT_NEXUSCORE_STATUS_INSPECTOR_v029SSOT1A_20260615_135136\runtime\VIA_SSOT_NexusCoreStatusInspector_v029SSOT1A_Transcript_20260615_135136.txt","dict\VDF\_active\VIA_SSOT_NEXUSCORE_STATUS_INSPECTOR_v029SSOT1A_20260615_135136\runtime\VIA_SSOT_NexusCoreStatusInspector_v029SSOT1A_Transcript_20260615_135136.txt"
"33","VDF_Dict","TextDocument","FAIL","False","P3","PARALLEL_SAFE_REVIEW","PAR_RUNTIME_FALSE_POSITIVE","RuntimeTextContainsConflictMarker","True","True","False","False","0","0","3.53 KB","","merge conflict marker","SKIP_CONTEXT_RUNTIME_OR_NON_SOURCE","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_FINAL_PROMOTE_ACTIVE_POINTER_LOCK_v02868_20260611_123905\runtime\VIA_FinalPromote_v02868_Transcript_20260611_123905.txt","dict\VDF\_active\VIA_FINAL_PROMOTE_ACTIVE_POINTER_LOCK_v02868_20260611_123905\runtime\VIA_FinalPromote_v02868_Transcript_20260611_123905.txt"
"34","VDF_Dict","TextDocument","FAIL","False","P3","PARALLEL_SAFE_REVIEW","PAR_RUNTIME_FALSE_POSITIVE","RuntimeTextContainsConflictMarker","True","True","False","False","0","0","3.52 KB","","merge conflict marker","SKIP_CONTEXT_RUNTIME_OR_NON_SOURCE","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUAL_PROJECT_USERTEST_CONSOLE_v02873_20260611_205808\runtime\VIA_DualProjectUserTestConsole_v02873_Transcript_20260611_205808.txt","dict\VDF\_active\VIA_DUAL_PROJECT_USERTEST_CONSOLE_v02873_20260611_205808\runtime\VIA_DualProjectUserTestConsole_v02873_Transcript_20260611_205808.txt"
