"signal","path","extension","risk_class","risk","action"
"DATABASE","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\Invoke-VDF.ps1",".ps1","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"Stop-Process","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\Invoke-VDF.ps1",".ps1","NEEDS_AST_CONFIRMATION","MEDIUM","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL007_SSOTResolver.py",".py","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL103_MasterRegistry.py",".py","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL401_RegistrySchema.json",".json","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VRN\VRN_MDL003_TableRestorer.py",".py","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VRN\VRN_MDL004_OCR_FetchingPDFTable_v1.py",".py","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VRN\VRN_MDL005_OCRFetchingPDFText_v1.py",".py","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VRN\VRN_MDL006_ConsolidatorAndPhaseValidator.py",".py","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VRN\VRN_MDL007_APIDataFetcher.py",".py","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VRN\VRN_MDL008_CrossValidator.py",".py","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\10_Core_Runtime\VIA_RuntimeImportFirewall.py",".py","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"DATABASE","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\20_Registry_SSOT\VIA_SSOT_Unified.py",".py","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\20_Registry_SSOT\VIA_SSOT_Unified.py",".py","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"Stop-Process","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\20_Registry_SSOT\VIA_SSOT_Unified.py",".py","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"Remove-Item","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\20_Registry_SSOT\VIA_SSOT_Unified.py",".py","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"Invoke-Expression","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\20_Registry_SSOT\VIA_SSOT_Unified.py",".py","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\20_Registry_SSOT\VIS_Supportive_Module_Index.html",".html","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\20_Registry_SSOT\VIS_Supportive_Module_Index.json",".json","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"Remove-Item","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\40_Environment_Health\VIA_EnvManager.py",".py","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"DATABASE","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\50_Protection_Acceleration\VeritasCeleritas.py",".py","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"Remove-Item","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\60_PowerShell_Entry_Internal\Invoke-VIA-ALL.ps1",".ps1","NEEDS_AST_CONFIRMATION","MEDIUM","Do not block unless AST confirms executable command or write boundary is enabled."
"Stop-Process","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\60_PowerShell_Entry_Internal\Invoke-VIA-FinishProject-SafeFast.ps1",".ps1","NEEDS_AST_CONFIRMATION","MEDIUM","Do not block unless AST confirms executable command or write boundary is enabled."
"Remove-Item","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\60_PowerShell_Entry_Internal\Invoke-VIA-FinishProject-SafeFast.ps1",".ps1","NEEDS_AST_CONFIRMATION","MEDIUM","Do not block unless AST confirms executable command or write boundary is enabled."
"Stop-Process","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\60_PowerShell_Entry_Internal\Invoke-VIA-PanoramaHardGateSafeFix.ps1",".ps1","NEEDS_AST_CONFIRMATION","MEDIUM","Do not block unless AST confirms executable command or write boundary is enabled."
"Remove-Item","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\60_PowerShell_Entry_Internal\Invoke-VIA-PanoramaHardGateSafeFix.ps1",".ps1","NEEDS_AST_CONFIRMATION","MEDIUM","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\60_PowerShell_Entry_Internal\Invoke-VRN-MQ-NoOCR-Staging-v222.ps1",".ps1","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\70_VRN_Rules\VIS_VRN_BrokerAlias_Compatibility_v0222.py",".py","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\70_VRN_Rules\VIS_VRN_BrokerAlias_Extension_v0224.py",".py","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\70_VRN_Rules\VIS_VRN_BrokerAnalystAdapters_v06146.py",".py","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\70_VRN_Rules\VIS_VRN_FinancialRescueRules_v06126.py",".py","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\70_VRN_Rules\VIS_VRN_FinancialSSOT_v05910.py",".py","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\70_VRN_Rules\VIS_VRN_FinancialSSOT_v05911.py",".py","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\70_VRN_Rules\VIS_VRN_FinancialSSOT_v05912.py",".py","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\70_VRN_Rules\VIS_VRN_FinancialSSOT_v0599.py",".py","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\70_VRN_Rules\VIS_VRN_FinancialSSOT_v0600.py",".py","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"DATABASE","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\70_VRN_Rules\VIS_VRN_HistoricalValidationPolicy_v0100.py",".py","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\70_VRN_Rules\VIS_VRN_InputRoutePolicy_v0224.py",".py","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\70_VRN_Rules\VIS_VRN_NewReportCompatibilityGate_v01.py",".py","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\70_VRN_Rules\VIS_VRN_Q1_AliasRoutePatch_v0100.py",".py","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\70_VRN_Rules\VIS_VRN_SupportiveGapRegistry_v0224.json",".json","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\70_VRN_Rules\VIS_VRN_TableGeometryReconstructorPolicy_v0101.json",".json","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\70_VRN_Rules\VIS_VRN_TableGeometryReconstructor_v0101.py",".py","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\70_VRN_Rules\VIS_VRN_TableHeaderPeriodOriginalRestore_v0100.py",".py","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\80_VETF_Supportive_Sort\VETF_VIA_RuntimeImportFirewall.py",".py","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"DATABASE","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\80_VETF_Supportive_Sort\VETF_VIA_SSOT_Unified.py",".py","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\80_VETF_Supportive_Sort\VETF_VIA_SSOT_Unified.py",".py","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"Stop-Process","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\80_VETF_Supportive_Sort\VETF_VIA_SSOT_Unified.py",".py","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"Remove-Item","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\80_VETF_Supportive_Sort\VETF_VIA_SSOT_Unified.py",".py","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"Invoke-Expression","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\80_VETF_Supportive_Sort\VETF_VIA_SSOT_Unified.py",".py","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\80_VETF_Supportive_Sort\VETF_VIS_InstallHealthRegistry_VRN_v02143.json",".json","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\80_VETF_Supportive_Sort\VETF_VIS_VRN_FinancialRescueRules_v06126.py",".py","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"DATABASE","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\80_VETF_Supportive_Sort\VETF_VIS_VRN_HistoricalValidationPolicy_v0100.py",".py","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexus_registry\VDF_VRN_CrossLinks.json",".json","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\toolkits\VIA_TurboOptimizer\VIA_TurboOptimizer_v3.ps1",".ps1","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"Remove-Item","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\toolkits\VIA_TurboOptimizer\VIA_TurboOptimizer_v3.ps1",".ps1","NEEDS_AST_CONFIRMATION","MEDIUM","Do not block unless AST confirms executable command or write boundary is enabled."
"Remove-Item","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\.venv\vdf_core\Scripts\Activate.ps1",".ps1","NEEDS_AST_CONFIRMATION","MEDIUM","Do not block unless AST confirms executable command or write boundary is enabled."
"Remove-Item","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\.venv\via_core\Scripts\Activate.ps1",".ps1","NEEDS_AST_CONFIRMATION","MEDIUM","Do not block unless AST confirms executable command or write boundary is enabled."
"DATABASE","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE\VDF_RiskEventCalendar.csv",".csv","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_ACTIVE_POINTER.json",".json","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"DATABASE","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_ACTIVE_TRIFLOW_POINTER.json",".json","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_ACTIVE_TRIFLOW_POINTER.json",".json","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_ALLFLOW_MASTER_POINTER.json",".json","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_freeze\VDF_LATEST_AKSHARE_CANDIDATE_STAGING_SEAL_POINTER.json",".json","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"DATABASE","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_freeze\VDF_LATEST_FINAL_SEAL_POINTER.json",".json","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_freeze\VDF_LATEST_FRED_CANONICAL_POST_MERGE_AUDIT_SEAL_POINTER.json",".json","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_freeze\VDF_LATEST_FRED_GLOBAL_MACRO_MERGE_SEAL_POINTER.json",".json","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_freeze\VDF_LATEST_FRED_SMALL_SCOPE_SEAL_POINTER.json",".json","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_freeze\VDF_LATEST_MOPS_MONTHLY_REVENUE_RECLASSIFY_POINTER.json",".json","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_freeze\VDF_LATEST_MOPS_MONTHLY_REVENUE_SEAL_POINTER.json",".json","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"DATABASE","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_freeze\VDF_LATEST_YFINANCE_SEED_SEAL_POINTER.json",".json","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"DATABASE","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_ssot\VDF_DataScope_HeaderRegistry_Matrix.csv",".csv","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"DATABASE","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_ssot\VDF_DataScope_HeaderRegistry_Matrix.html",".html","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"Stop-Process","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_ssot\VDF_DataScope_HeaderRegistry_Matrix.html",".html","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"DATABASE","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_ssot\VDF_DataScope_HeaderRegistry_Matrix.json",".json","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"DATABASE","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_ssot\VDF_DataScope_HeaderRegistry_SSOT.json",".json","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"DATABASE","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_ssot\VDF_Extraction_FieldMatrix.csv",".csv","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"DATABASE","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_ssot\VDF_Extraction_FieldMatrix.html",".html","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"Stop-Process","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_ssot\VDF_Extraction_FieldMatrix.html",".html","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"DATABASE","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_ssot\VDF_Extraction_FieldMatrix.json",".json","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"DATABASE","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_ssot\VDF_Extraction_Params_SSOT.json",".json","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"DATABASE","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_ssot\VDF_OutputDatabase_DataScope_Matrix.csv",".csv","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"DATABASE","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_ssot\VDF_OutputDatabase_DataScope_Matrix.html",".html","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"Stop-Process","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_ssot\VDF_OutputDatabase_DataScope_Matrix.html",".html","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"DATABASE","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_ssot\VDF_OutputDatabase_DataScope_Matrix.json",".json","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"DATABASE","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_ssot\VDF_SupportiveTools_ImportManifest.json",".json","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"DATABASE","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\COCKPIT\VAP_Gallery_Cockpit.html",".html","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"DATABASE","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\COCKPIT\VAP_Master_Cockpit.html",".html","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"Stop-Process","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\COCKPIT\VAP_Master_Cockpit.html",".html","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"DATABASE","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\CONFIG\VAP_VISUAL_SPEC_SSOT.json",".json","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"DATABASE","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\DATABASE\VAP_Asset_Registry.csv",".csv","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"DATABASE","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\DATABASE\VAP_Dedupe_Registry.csv",".csv","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"Stop-Process","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\DATABASE\VAP_Delete_IconBase_Delete_Result.json",".json","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"DATABASE","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\DATABASE\VAP_Delete_IconBase_Verification.json",".json","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"Stop-Process","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\DATABASE\VAP_IconBase_Delete_Original_Result.json",".json","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
