Group,Date,StrategySignal,TargetPosition,EffectivePosition,BasketRet,GrossPnlRet,NetPnlRet,CostDrag
A 上游材料,2025-02-14,HOLD,0.0,0.0,-0.01508858228667713,-0.0,-0.0,0.0
A 上游材料,2025-02-17,HOLD,0.0,0.0,0.014146528223042673,0.0,0.0,0.0
A 上游材料,2025-02-18,HOLD,0.0,0.0,-0.000435933079841919,-0.0,-0.0,0.0
A 上游材料,2025-02-19,HOLD,0.0,0.0,-0.009910882769855352,-0.0,-0.0,0.0
A 上游材料,2025-02-20,HOLD,0.0,0.0,0.01293798039885643,0.0,0.0,0.0
A 上游材料,2025-02-21,HOLD,0.0,0.0,0.017002311773764524,0.0,0.0,0.0
A 上游材料,2025-02-24,HOLD,0.0,0.0,-0.007199586736335904,-0.0,-0.0,0.0
A 上游材料,2025-02-25,HOLD,0.0,0.0,-0.008261579292948237,-0.0,-0.0,0.0
A 上游材料,2025-02-26,HOLD,0.0,0.0,0.010008748394141198,0.0,0.0,0.0
A 上游材料,2025-02-27,HOLD,0.0,0.0,0.0069974004270857,0.0,0.0,0.0
A 上游材料,2025-02-28,HOLD,0.0,0.0,-0.021861925840330185,-0.0,-0.0,0.0
A 上游材料,2025-03-03,HOLD,0.0,0.0,-0.0026926145450365617,-0.0,-0.0,0.0
A 上游材料,2025-03-04,HOLD,0.0,0.0,-0.01380451793484825,-0.0,-0.0,0.0
A 上游材料,2025-03-05,HOLD,0.0,0.0,0.019588912265415967,0.0,0.0,0.0
A 上游材料,2025-03-06,HOLD,0.0,0.0,0.041500503703875126,0.0,0.0,0.0
A 上游材料,2025-03-07,HOLD,0.0,0.0,0.04138894776299858,0.0,0.0,0.0
A 上游材料,2025-03-10,HOLD,0.0,0.0,0.001960528324283388,0.0,0.0,0.0
A 上游材料,2025-03-11,HOLD,0.0,0.0,0.016254182077661977,0.0,0.0,0.0
A 上游材料,2025-03-12,HOLD,0.0,0.0,0.0017256217603184836,0.0,0.0,0.0
A 上游材料,2025-03-13,HOLD,0.0,0.0,0.008259903461839952,0.0,0.0,0.0
A 上游材料,2025-03-14,HOLD,0.0,0.0,-0.006358273859858837,-0.0,-0.0,0.0
A 上游材料,2025-03-17,HOLD,0.0,0.0,-0.012369784370219265,-0.0,-0.0,0.0
A 上游材料,2025-03-18,HOLD,0.0,0.0,-0.04530826395955288,-0.0,-0.0,0.0
A 上游材料,2025-03-19,HOLD,0.0,0.0,-0.01848472080619108,-0.0,-0.0,0.0
A 上游材料,2025-03-20,HOLD,0.0,0.0,-0.013430434003746194,-0.0,-0.0,0.0
A 上游材料,2025-03-21,HOLD,0.0,0.0,0.01836890673467101,0.0,0.0,0.0
A 上游材料,2025-03-24,HOLD,0.0,0.0,0.00615746576012524,0.0,0.0,0.0
A 上游材料,2025-03-25,HOLD,0.0,0.0,-0.00548305298235547,-0.0,-0.0,0.0
A 上游材料,2025-03-26,HOLD,0.0,0.0,0.007861114651127292,0.0,0.0,0.0
A 上游材料,2025-03-27,HOLD,0.0,0.0,0.004163848608528974,0.0,0.0,0.0
A 上游材料,2025-03-28,HOLD,0.0,0.0,0.013437322464464507,0.0,0.0,0.0
A 上游材料,2025-03-31,HOLD,0.0,0.0,0.0006012547740962349,0.0,0.0,0.0
A 上游材料,2025-04-01,HOLD,0.0,0.0,0.03547584101130017,0.0,0.0,0.0
A 上游材料,2025-04-02,HOLD,0.0,0.0,0.025303309941819133,0.0,0.0,0.0
A 上游材料,2025-04-03,HOLD,0.0,0.0,0.006390455034948482,0.0,0.0,0.0
A 上游材料,2025-04-04,HOLD,0.0,0.0,-0.016882267547810297,-0.0,-0.0,0.0
A 上游材料,2025-04-07,HOLD,0.0,0.0,0.010439268152596316,0.0,0.0,0.0
A 上游材料,2025-04-08,HOLD,0.0,0.0,0.02235429725108812,0.0,0.0,0.0
A 上游材料,2025-04-09,HOLD,0.0,0.0,-0.008187787065778069,-0.0,-0.0,0.0
A 上游材料,2025-04-10,HOLD,0.0,0.0,0.01460993435800086,0.0,0.0,0.0
A 上游材料,2025-04-11,HOLD,0.0,0.0,0.004773943115531067,0.0,0.0,0.0
A 上游材料,2025-04-14,HOLD,0.0,0.0,0.013948408947779968,0.0,0.0,0.0
A 上游材料,2025-04-15,HOLD,0.0,0.0,-0.007197885877261743,-0.0,-0.0,0.0
A 上游材料,2025-04-16,HOLD,0.0,0.0,0.001994720727373246,0.0,0.0,0.0
A 上游材料,2025-04-17,HOLD,0.0,0.0,0.017318946911730075,0.0,0.0,0.0
A 上游材料,2025-04-18,HOLD,0.0,0.0,0.023535897718148107,0.0,0.0,0.0
A 上游材料,2025-04-21,HOLD,0.0,0.0,0.008248876195864629,0.0,0.0,0.0
A 上游材料,2025-04-22,HOLD,0.0,0.0,-0.014440201233255186,-0.0,-0.0,0.0
A 上游材料,2025-04-23,HOLD,0.0,0.0,-0.02541572034083148,-0.0,-0.0,0.0
A 上游材料,2025-04-24,HOLD,0.0,0.0,0.005553747595421383,0.0,0.0,0.0
A 上游材料,2025-04-25,HOLD,0.0,0.0,0.004567667996727555,0.0,0.0,0.0
A 上游材料,2025-04-28,HOLD,0.0,0.0,0.006453154488426473,0.0,0.0,0.0
A 上游材料,2025-04-29,HOLD,0.0,0.0,0.01029962767492599,0.0,0.0,0.0
A 上游材料,2025-04-30,HOLD,0.0,0.0,-0.0035455137621828413,-0.0,-0.0,0.0
A 上游材料,2025-05-01,HOLD,0.0,0.0,-0.010459821471690191,-0.0,-0.0,0.0
A 上游材料,2025-05-02,HOLD,0.0,0.0,0.019910932116674666,0.0,0.0,0.0
A 上游材料,2025-05-05,HOLD,0.0,0.0,0.036690827117467885,0.0,0.0,0.0
A 上游材料,2025-05-06,HOLD,0.0,0.0,0.028758840630991437,0.0,0.0,0.0
A 上游材料,2025-05-07,HOLD,0.0,0.0,-0.006216444818036908,-0.0,-0.0,0.0
A 上游材料,2025-05-08,HOLD,0.0,0.0,0.009241668990048158,0.0,0.0,0.0
A 上游材料,2025-05-09,HOLD,0.0,0.0,0.004580506556528963,0.0,0.0,0.0
A 上游材料,2025-05-12,HOLD,0.0,0.0,0.0019654308837381298,0.0,0.0,0.0
A 上游材料,2025-05-13,HOLD,0.0,0.0,0.017990908560332298,0.0,0.0,0.0
A 上游材料,2025-05-14,HOLD,0.0,0.0,0.01084529751944438,0.0,0.0,0.0
A 上游材料,2025-05-15,HOLD,0.0,0.0,-0.015923995423747672,-0.0,-0.0,0.0
A 上游材料,2025-05-16,DYNAMIC_EXIT,0.0,0.0,0.01467599484178637,0.0,0.0,0.0
A 上游材料,2025-05-19,HOLD,0.0,0.0,0.014983767923867665,0.0,0.0,0.0
A 上游材料,2025-05-20,DYNAMIC_EXIT,0.0,0.0,0.04040511509114862,0.0,0.0,0.0
A 上游材料,2025-05-21,HOLD,0.0,0.0,0.004687383021026203,0.0,0.0,0.0
A 上游材料,2025-05-22,DYNAMIC_EXIT,0.0,0.0,-0.002937131738263218,-0.0,-0.0,0.0
A 上游材料,2025-05-23,DYNAMIC_EXIT,0.0,0.0,-0.005263947975398517,-0.0,-0.0,0.0
A 上游材料,2025-05-26,HOLD,0.0,0.0,-0.012121426591662243,-0.0,-0.0,0.0
A 上游材料,2025-05-27,DYNAMIC_EXIT,0.0,0.0,-0.005102364041039701,-0.0,-0.0,0.0
A 上游材料,2025-05-28,DYNAMIC_EXIT,0.0,0.0,0.025512728069767066,0.0,0.0,0.0
A 上游材料,2025-05-29,HOLD,0.0,0.0,-0.014607750019448135,-0.0,-0.0,0.0
A 上游材料,2025-05-30,DYNAMIC_EXIT,0.0,0.0,-0.011549153191983153,-0.0,-0.0,0.0
A 上游材料,2025-06-02,DYNAMIC_EXIT,0.0,0.0,-0.026024072502845528,-0.0,-0.0,0.0
A 上游材料,2025-06-03,HOLD,0.0,0.0,0.006941209428746454,0.0,0.0,0.0
A 上游材料,2025-06-04,HOLD,0.0,0.0,-0.0013499108901797495,-0.0,-0.0,0.0
A 上游材料,2025-06-05,HOLD,0.0,0.0,-0.0011018167561257161,-0.0,-0.0,0.0
A 上游材料,2025-06-06,HOLD,0.0,0.0,0.03402277361103375,0.0,0.0,0.0
A 上游材料,2025-06-09,HOLD,0.0,0.0,0.01892250865306681,0.0,0.0,0.0
A 上游材料,2025-06-10,HOLD,0.0,0.0,0.030631850158488533,0.0,0.0,0.0
A 上游材料,2025-06-11,HOLD,0.0,0.0,0.00911829923222786,0.0,0.0,0.0
A 上游材料,2025-06-12,HOLD,0.0,0.0,-0.017244935563656666,-0.0,-0.0,0.0
A 上游材料,2025-06-13,HOLD,0.0,0.0,-0.0070112224147342115,-0.0,-0.0,0.0
A 上游材料,2025-06-16,HOLD,0.0,0.0,-0.01335687920558076,-0.0,-0.0,0.0
A 上游材料,2025-06-17,HOLD,0.0,0.0,-0.0022956609699629296,-0.0,-0.0,0.0
A 上游材料,2025-06-18,HOLD,0.0,0.0,-0.0025618609811947453,-0.0,-0.0,0.0
A 上游材料,2025-06-19,HOLD,0.0,0.0,0.011989755799855874,0.0,0.0,0.0
A 上游材料,2025-06-20,HOLD,0.0,0.0,-0.015869712973648042,-0.0,-0.0,0.0
A 上游材料,2025-06-23,HOLD,0.0,0.0,0.01755776975932239,0.0,0.0,0.0
A 上游材料,2025-06-24,HOLD,0.0,0.0,-0.0011957341297442175,-0.0,-0.0,0.0
A 上游材料,2025-06-25,HOLD,0.0,0.0,0.0001301070872906868,0.0,0.0,0.0
A 上游材料,2025-06-26,HOLD,0.0,0.0,-0.01764450291931581,-0.0,-0.0,0.0
A 上游材料,2025-06-27,DYNAMIC_SETUP,0.0,0.0,-0.009399990533617328,-0.0,-0.0,0.0
A 上游材料,2025-06-30,DYNAMIC_SETUP,0.0,0.0,-0.011318461136458702,-0.0,-0.0,0.0
A 上游材料,2025-07-01,DYNAMIC_SETUP,0.0,0.0,0.008067578039008674,0.0,0.0,0.0
A 上游材料,2025-07-02,DYNAMIC_SETUP,0.25,0.0,0.019622515245114505,0.0,-0.00048125,0.00048125
A 上游材料,2025-07-03,HOLD,0.25,0.25,0.004197339523700966,0.0010493348809252415,0.0010493348809252415,0.0
A 上游材料,2025-07-04,HOLD,0.25,0.25,0.004046750057853973,0.0010116875144634933,0.0010116875144634933,0.0
A 上游材料,2025-07-07,DYNAMIC_EXIT,0.0,0.25,0.015903838672590705,0.003975959668147676,0.002744709668147676,0.0012312500000000001
A 上游材料,2025-07-08,DYNAMIC_SETUP,0.0,0.0,-0.022503333884032202,-0.0,-0.0,0.0
A 上游材料,2025-07-09,DYNAMIC_SETUP,0.0,0.0,0.016500695827431168,0.0,0.0,0.0
A 上游材料,2025-07-10,DYNAMIC_SETUP,0.0,0.0,-0.030147085266477098,-0.0,-0.0,0.0
A 上游材料,2025-07-11,DYNAMIC_EXIT,0.0,0.0,0.01368262041020078,0.0,0.0,0.0
A 上游材料,2025-07-14,DYNAMIC_SETUP,0.0,0.0,0.016748626305063807,0.0,0.0,0.0
A 上游材料,2025-07-15,DYNAMIC_EXIT,0.0,0.0,-0.009170675793997532,-0.0,-0.0,0.0
A 上游材料,2025-07-16,DYNAMIC_EXIT,0.0,0.0,0.012348336862302519,0.0,0.0,0.0
A 上游材料,2025-07-17,DYNAMIC_SETUP,0.0,0.0,0.013656261032219468,0.0,0.0,0.0
A 上游材料,2025-07-18,DYNAMIC_EXIT,0.0,0.0,0.038595500060341965,0.0,0.0,0.0
A 上游材料,2025-07-21,DYNAMIC_EXIT,0.0,0.0,0.0021702198219178052,0.0,0.0,0.0
A 上游材料,2025-07-22,DYNAMIC_SETUP,0.0,0.0,0.036544816157089544,0.0,0.0,0.0
A 上游材料,2025-07-23,HOLD,0.0,0.0,-0.005148577891851867,-0.0,-0.0,0.0
A 上游材料,2025-07-24,DYNAMIC_SETUP,0.0,0.0,-0.0004266242813921326,-0.0,-0.0,0.0
A 上游材料,2025-07-25,DYNAMIC_SETUP,0.0,0.0,-0.024280817424811613,-0.0,-0.0,0.0
A 上游材料,2025-07-28,DYNAMIC_SETUP,0.0,0.0,0.009568975056613938,0.0,0.0,0.0
A 上游材料,2025-07-29,DYNAMIC_SETUP,0.125,0.0,0.012422226788825945,0.0,-0.000240625,0.000240625
A 上游材料,2025-07-30,DYNAMIC_SETUP,0.125,0.125,0.011764830652049828,0.0014706038315062285,0.0014706038315062285,0.0
A 上游材料,2025-07-31,DYNAMIC_EXIT,0.0,0.125,0.006121873259952265,0.0007652341574940332,0.0001496091574940331,0.0006156250000000001
A 上游材料,2025-08-01,DYNAMIC_SETUP,0.0,0.0,0.02298973606829663,0.0,0.0,0.0
A 上游材料,2025-08-04,DYNAMIC_SETUP,0.0,0.0,-0.02956142603994106,-0.0,-0.0,0.0
A 上游材料,2025-08-05,DYNAMIC_SETUP,0.0,0.0,-0.0015168052910524872,-0.0,-0.0,0.0
A 上游材料,2025-08-06,DYNAMIC_SETUP,0.125,0.0,0.018192871557132718,0.0,-0.000240625,0.000240625
A 上游材料,2025-08-07,DYNAMIC_SETUP,0.125,0.125,0.010804761287627168,0.001350595160953396,0.001350595160953396,0.0
A 上游材料,2025-08-08,DYNAMIC_EXIT,0.0,0.125,-0.007054820388959109,-0.0008818525486198886,-0.0014974775486198888,0.0006156250000000001
A 上游材料,2025-08-11,DYNAMIC_EXIT,0.0,0.0,-0.016144515770877704,-0.0,-0.0,0.0
A 上游材料,2025-08-12,DYNAMIC_SETUP,0.0,0.0,-0.002979521995245562,-0.0,-0.0,0.0
A 上游材料,2025-08-13,DYNAMIC_SETUP,0.0,0.0,0.008475728677875282,0.0,0.0,0.0
A 上游材料,2025-08-14,DYNAMIC_SETUP,0.0,0.0,0.01926094571735131,0.0,0.0,0.0
A 上游材料,2025-08-15,DYNAMIC_SETUP,0.125,0.0,0.00888227577102314,0.0,-0.000240625,0.000240625
A 上游材料,2025-08-18,DYNAMIC_SETUP,0.125,0.125,0.015617195046304013,0.0019521493807880016,0.0019521493807880016,0.0
A 上游材料,2025-08-19,DYNAMIC_SETUP,0.125,0.125,-0.008360429157875594,-0.0010450536447344492,-0.0010450536447344492,0.0
A 上游材料,2025-08-20,DYNAMIC_SETUP,0.25,0.125,0.012805365696094197,0.0016006707120117746,0.0013600457120117747,0.000240625
A 上游材料,2025-08-21,DYNAMIC_EXIT,0.0,0.25,0.004389018047200204,0.001097254511800051,-0.00013399548819994903,0.0012312500000000001
A 上游材料,2025-08-22,DYNAMIC_SETUP,0.0,0.0,-0.0007116352136206957,-0.0,-0.0,0.0
A 上游材料,2025-08-25,DYNAMIC_EXIT,0.0,0.0,-0.01379342354776946,-0.0,-0.0,0.0
A 上游材料,2025-08-26,DYNAMIC_SETUP,0.0,0.0,0.04459182954285761,0.0,0.0,0.0
A 上游材料,2025-08-27,DYNAMIC_EXIT,0.0,0.0,0.017970936330299697,0.0,0.0,0.0
A 上游材料,2025-08-28,DYNAMIC_EXIT,0.0,0.0,0.0036270680929356286,0.0,0.0,0.0
A 上游材料,2025-08-29,DYNAMIC_EXIT,0.0,0.0,-0.004694635825120551,-0.0,-0.0,0.0
A 上游材料,2025-09-01,DYNAMIC_EXIT,0.0,0.0,0.01394852829788473,0.0,0.0,0.0
A 上游材料,2025-09-02,DYNAMIC_SETUP,0.0,0.0,0.004307057300163782,0.0,0.0,0.0
A 上游材料,2025-09-03,DYNAMIC_SETUP,0.0,0.0,0.021568619575477496,0.0,0.0,0.0
A 上游材料,2025-09-04,DYNAMIC_SETUP,0.0,0.0,0.03705455215034103,0.0,0.0,0.0
A 上游材料,2025-09-05,DYNAMIC_SETUP,0.125,0.0,-0.005176693602211139,-0.0,-0.000240625,0.000240625
A 上游材料,2025-09-08,DYNAMIC_SETUP,0.125,0.125,-0.0011335833338678059,-0.00014169791673347573,-0.00014169791673347573,0.0
A 上游材料,2025-09-09,DYNAMIC_SETUP,0.125,0.125,-0.010597857871946911,-0.0013247322339933639,-0.0013247322339933639,0.0
A 上游材料,2025-09-10,HOLD,0.125,0.125,-0.013059832000887941,-0.0016324790001109926,-0.0016324790001109926,0.0
A 上游材料,2025-09-11,HOLD,0.125,0.125,0.04086844567605333,0.005108555709506666,0.005108555709506666,0.0
A 上游材料,2025-09-12,DYNAMIC_SETUP,0.125,0.125,0.03731449065002534,0.004664311331253167,0.004664311331253167,0.0
A 上游材料,2025-09-15,DYNAMIC_SETUP,0.125,0.125,0.016984971929152246,0.0021231214911440308,0.0021231214911440308,0.0
A 上游材料,2025-09-16,DYNAMIC_SETUP,0.125,0.125,0.02187420792614505,0.002734275990768131,0.002734275990768131,0.0
A 上游材料,2025-09-17,DYNAMIC_SETUP,0.125,0.125,0.017344205101694966,0.002168025637711871,0.002168025637711871,0.0
A 上游材料,2025-09-18,DYNAMIC_SETUP,0.25,0.125,0.007575331807106055,0.0009469164758882569,0.0007062914758882569,0.000240625
A 上游材料,2025-09-19,DYNAMIC_SETUP,0.25,0.25,0.024800876528463925,0.006200219132115981,0.006200219132115981,0.0
A 上游材料,2025-09-22,HOLD,0.25,0.25,0.007145476779453794,0.0017863691948634484,0.0017863691948634484,0.0
A 上游材料,2025-09-23,DYNAMIC_SETUP,0.25,0.25,0.03951329935283583,0.009878324838208958,0.009878324838208958,0.0
A 上游材料,2025-09-24,DYNAMIC_SETUP,0.25,0.25,0.027227846739249936,0.006806961684812484,0.006806961684812484,0.0
A 上游材料,2025-09-25,DYNAMIC_SETUP,0.25,0.25,0.004718429200699768,0.001179607300174942,0.001179607300174942,0.0
A 上游材料,2025-09-26,DYNAMIC_SETUP,0.25,0.25,-0.0036943309534068843,-0.0009235827383517211,-0.0009235827383517211,0.0
A 上游材料,2025-09-29,DYNAMIC_SETUP,0.25,0.25,0.008667937039645137,0.002166984259911284,0.002166984259911284,0.0
A 上游材料,2025-09-30,DYNAMIC_EXIT,0.0,0.25,0.016763006887631077,0.004190751721907769,0.002959501721907769,0.0012312500000000001
A 上游材料,2025-10-01,DYNAMIC_SETUP,0.0,0.0,0.00029257820702164824,0.0,0.0,0.0
A 上游材料,2025-10-02,DYNAMIC_SETUP,0.0,0.0,0.006921982955462497,0.0,0.0,0.0
A 上游材料,2025-10-03,DYNAMIC_SETUP,0.0,0.0,0.012952156792526297,0.0,0.0,0.0
A 上游材料,2025-10-06,DYNAMIC_SETUP,0.125,0.0,0.027281220876037293,0.0,-0.000240625,0.000240625
A 上游材料,2025-10-07,DYNAMIC_SETUP,0.125,0.125,-0.0069453356893605794,-0.0008681669611700724,-0.0008681669611700724,0.0
A 上游材料,2025-10-08,DYNAMIC_SETUP,0.125,0.125,-0.011584644824104819,-0.0014480806030131024,-0.0014480806030131024,0.0
A 上游材料,2025-10-09,DYNAMIC_SETUP,0.125,0.125,0.009913133775877265,0.001239141721984658,0.001239141721984658,0.0
A 上游材料,2025-10-10,DYNAMIC_SETUP,0.25,0.125,-0.007533723904813295,-0.0009417154881016618,-0.0011823404881016618,0.000240625
A 上游材料,2025-10-13,DYNAMIC_SETUP,0.25,0.25,-0.016193335662903933,-0.004048333915725983,-0.004048333915725983,0.0
A 上游材料,2025-10-14,DYNAMIC_SETUP,0.25,0.25,0.004542942807997137,0.0011357357019992844,0.0011357357019992844,0.0
A 上游材料,2025-10-15,DYNAMIC_SETUP,0.0,0.25,-0.005602956005103063,-0.0014007390012757658,-0.002631989001275766,0.0012312500000000001
A 上游材料,2025-10-16,DYNAMIC_SETUP,0.0,0.0,-0.00444123785558272,-0.0,-0.0,0.0
A 上游材料,2025-10-17,DYNAMIC_SETUP,0.0,0.0,0.005985970391900927,0.0,0.0,0.0
A 上游材料,2025-10-20,HOLD,0.0,0.0,0.04983224010387194,0.0,0.0,0.0
A 上游材料,2025-10-21,HOLD,0.0,0.0,0.01715401796854935,0.0,0.0,0.0
A 上游材料,2025-10-22,HOLD,0.0,0.0,-0.01595748269605955,-0.0,-0.0,0.0
A 上游材料,2025-10-23,HOLD,0.0,0.0,-0.018379811725241814,-0.0,-0.0,0.0
A 上游材料,2025-10-24,HOLD,0.0,0.0,-0.019361810140005067,-0.0,-0.0,0.0
A 上游材料,2025-10-27,HOLD,0.0,0.0,-0.014785470455888305,-0.0,-0.0,0.0
A 上游材料,2025-10-28,HOLD,0.0,0.0,0.041766659316342,0.0,0.0,0.0
A 上游材料,2025-10-29,HOLD,0.0,0.0,0.0350482795719151,0.0,0.0,0.0
A 上游材料,2025-10-30,HOLD,0.0,0.0,0.00034561758584800877,0.0,0.0,0.0
A 上游材料,2025-10-31,HOLD,0.0,0.0,0.015099755557596763,0.0,0.0,0.0
A 上游材料,2025-11-03,HOLD,0.0,0.0,-0.004861179865390294,-0.0,-0.0,0.0
A 上游材料,2025-11-04,HOLD,0.0,0.0,-0.0021758127804229616,-0.0,-0.0,0.0
A 上游材料,2025-11-05,HOLD,0.0,0.0,0.0013477283721847221,0.0,0.0,0.0
A 上游材料,2025-11-06,HOLD,0.0,0.0,0.007032604952919646,0.0,0.0,0.0
A 上游材料,2025-11-07,HOLD,0.0,0.0,-0.0036988420159449736,-0.0,-0.0,0.0
A 上游材料,2025-11-10,HOLD,0.0,0.0,-0.0013158114571003169,-0.0,-0.0,0.0
A 上游材料,2025-11-11,HOLD,0.0,0.0,-0.01232831378095558,-0.0,-0.0,0.0
A 上游材料,2025-11-12,HOLD,0.0,0.0,-0.0025786511468902347,-0.0,-0.0,0.0
A 上游材料,2025-11-13,HOLD,0.0,0.0,-0.021757162189431717,-0.0,-0.0,0.0
A 上游材料,2025-11-14,HOLD,0.0,0.0,0.006036447824422758,0.0,0.0,0.0
A 上游材料,2025-11-17,HOLD,0.0,0.0,0.013473581610978816,0.0,0.0,0.0
A 上游材料,2025-11-18,HOLD,0.0,0.0,0.011046055484175619,0.0,0.0,0.0
A 上游材料,2025-11-19,HOLD,0.0,0.0,-0.022647991609587543,-0.0,-0.0,0.0
A 上游材料,2025-11-20,HOLD,0.0,0.0,-0.007089060566057693,-0.0,-0.0,0.0
A 上游材料,2025-11-21,HOLD,0.0,0.0,-0.006565630248432533,-0.0,-0.0,0.0
A 上游材料,2025-11-24,HOLD,0.0,0.0,6.386682852205099e-05,0.0,0.0,0.0
A 上游材料,2025-11-25,DYNAMIC_EXIT,0.0,0.0,-0.0011056481454956326,-0.0,-0.0,0.0
A 上游材料,2025-11-26,HOLD,0.0,0.0,-0.014387832338578863,-0.0,-0.0,0.0
A 上游材料,2025-11-27,HOLD,0.0,0.0,-0.023809873316703895,-0.0,-0.0,0.0
A 上游材料,2025-11-28,HOLD,0.0,0.0,0.0001487731363887118,0.0,0.0,0.0
A 上游材料,2025-12-01,HOLD,0.0,0.0,0.05860107847379668,0.0,0.0,0.0
A 上游材料,2025-12-02,HOLD,0.0,0.0,0.003231458458152805,0.0,0.0,0.0
A 上游材料,2025-12-03,DYNAMIC_EXIT,0.0,0.0,0.007021750954652553,0.0,0.0,0.0
A 上游材料,2025-12-04,HOLD,0.0,0.0,0.025220458044499853,0.0,0.0,0.0
A 上游材料,2025-12-05,HOLD,0.0,0.0,0.023151802192353205,0.0,0.0,0.0
A 上游材料,2025-12-08,DYNAMIC_EXIT,0.0,0.0,-0.002628697528574485,-0.0,-0.0,0.0
A 上游材料,2025-12-09,DYNAMIC_EXIT,0.0,0.0,0.01662244349252657,0.0,0.0,0.0
A 上游材料,2025-12-10,HOLD,0.0,0.0,0.0026154168001707215,0.0,0.0,0.0
A 上游材料,2025-12-11,HOLD,0.0,0.0,-0.010754233511686306,-0.0,-0.0,0.0
A 上游材料,2025-12-12,DYNAMIC_EXIT,0.0,0.0,0.013811216476097489,0.0,0.0,0.0
A 上游材料,2025-12-15,HOLD,0.0,0.0,0.01440399448024116,0.0,0.0,0.0
A 上游材料,2025-12-16,HOLD,0.0,0.0,0.023369834802988647,0.0,0.0,0.0
A 上游材料,2025-12-17,HOLD,0.0,0.0,0.0018644660093181564,0.0,0.0,0.0
A 上游材料,2025-12-18,HOLD,0.0,0.0,-0.014587582531823537,-0.0,-0.0,0.0
A 上游材料,2025-12-19,HOLD,0.0,0.0,0.03597009373081811,0.0,0.0,0.0
A 上游材料,2025-12-22,HOLD,0.0,0.0,0.005464280789392073,0.0,0.0,0.0
A 上游材料,2025-12-23,HOLD,0.0,0.0,-0.002200946322276957,-0.0,-0.0,0.0
A 上游材料,2025-12-24,HOLD,0.0,0.0,-0.011953255411556288,-0.0,-0.0,0.0
A 上游材料,2025-12-25,HOLD,0.0,0.0,-0.0038104623352331066,-0.0,-0.0,0.0
A 上游材料,2025-12-26,HOLD,0.0,0.0,-0.0005245706643420007,-0.0,-0.0,0.0
