record_index,source_id,filename,extension,extraction_method,status,quality_before,quality_after,quality_delta,numeric_tokens_preserved,change_count,boilerplate_count,graph_noise_count,ticker,report_date,rating,target_price,financial_data_count,summary_sentence_count,warning_count
13,SRC-62A1068337A4CFF5,Daiwa-3653 20251002.pdf,pdf,DUAL_ZONES,PASS,100.0,100.0,0.0,True,330,0,8,3653,2025/10/02,,,0,5,0
14,SRC-FBA676975F0E33B4,Daiwa-6278 20260521.pdf,pdf,DUAL_ZONES,PASS,100.0,100.0,0.0,True,375,0,8,6278,2026/05/21,,,1,5,0
15,SRC-02FF93BB25B06AE6,Daiwa-PCB 20251204.pdf,pdf,DUAL_ZONES,PASS,100.0,100.0,0.0,True,307,0,0,,2025/12/04,,,0,5,0
16,SRC-868D49DF24649E11,GF-Thoughts on TPU Competition with GPU 20251126.pdf,pdf,DUAL_ZONES,PASS,100.0,100.0,0.0,True,332,0,0,,2025/11/26,,,0,5,0
17,SRC-BD61E3F4047DBE4C,GS-1590 20231012.pdf,pdf,DUAL_ZONES,PASS,97.5,97.5,0.0,True,332,0,0,1590,2023/10/12,Buy,,0,5,0
18,SRC-650DB61283D09EB5,GS-1590 20251203.pdf,pdf,DUAL_ZONES,PASS,97.5,97.5,0.0,True,347,0,0,1590,2025/12/03,,,0,5,0
19,SRC-7839B253C8C61636,GS-2317 20251205.pdf,pdf,DUAL_ZONES,PASS,100.0,100.0,0.0,True,354,0,8,2317,2025/12/05,Buy,,1,5,0
20,SRC-F56D7C2F06DE8939,GS-2382 20231012.pdf,pdf,DUAL_ZONES,PASS,98.75,98.75,0.0,True,386,0,0,2382,2023/10/12,Buy,,4,5,0
21,SRC-A6CB63722971636C,GS-2383 20260519.pdf,pdf,DUAL_ZONES,PASS,96.25,96.25,0.0,True,412,0,0,2383,2026/05/19,BUY,,2,5,0
22,SRC-0B3E62998709B7ED,GS-3706 20251130.pdf,pdf,DUAL_ZONES,PASS,100.0,100.0,0.0,True,345,0,0,3706,2025/11/30,Buy,,0,5,0
23,SRC-8D4DDA966A83C2A8,GS-6415 20260517.pdf,pdf,DUAL_ZONES,PASS,95.0,95.0,0.0,True,410,0,0,6415,2026/05/17,BUY,,3,5,0
24,SRC-43208D5A0B5D4548,GS-AI PCB CCL 20251204.pdf,pdf,DUAL_ZONES,PASS,98.75,98.75,0.0,True,361,0,0,,2025/12/04,Buy,,0,5,0
25,SRC-B2AA2D0829E34978,JP-2330 20250718.pdf,pdf,DUAL_ZONES,PASS,100.0,100.0,0.0,True,396,0,0,2330,2025/07/18,,,2,5,0
26,SRC-8E32F985785C3E04,JP-3653 20251003.pdf,pdf,DUAL_ZONES,PASS,100.0,100.0,0.0,True,361,0,0,3653,2025/10/03,buy,,0,5,0
27,SRC-ADE7751FC379F1A2,MQ-1560 20260520.pdf,pdf,NEEDS_OCR,NEEDS_OCR,100.0,100.0,0.0,True,4,0,0,1560,2026/05/20,,,0,1,1
28,SRC-56D2F6C619B41847,MS-1590 20251202.pdf,pdf,DUAL_ZONES,PASS,100.0,100.0,0.0,True,241,0,0,1590,2025/12/02,,,2,5,0
29,SRC-F80EB57FE6E9C84E,MS-2308 20251128.pdf,pdf,DUAL_ZONES,PASS,100.0,100.0,0.0,True,405,0,0,2308,2025/11/28,,,2,5,0
30,SRC-6E3052CD909452B0,MS-3661 20251203.pdf,pdf,DUAL_ZONES,PASS,100.0,100.0,0.0,True,398,0,0,3661,2025/12/03,,,2,5,0
31,SRC-96C2536C5B0EB109,MS-3665 20251202.pdf,pdf,DUAL_ZONES,PASS,98.75,98.75,0.0,True,413,0,0,3665,2025/12/02,,,2,5,0
32,SRC-AB9FCF4828283961,MS-6669 20251007.pdf,pdf,DUAL_ZONES,PASS,100.0,100.0,0.0,True,249,0,0,6669,2025/10/07,,,2,4,0
33,SRC-6844064D3C33DCFF,MS-8210 20251007.pdf,pdf,DUAL_ZONES,PASS,100.0,100.0,0.0,True,204,0,0,8210,2025/10/07,,,1,5,0
34,SRC-ACA92954B62DDFB2,MS-ABF 20260518.pdf,pdf,DUAL_ZONES,PASS,100.0,100.0,0.0,True,362,0,30,3037,2026/05/18,,,0,5,0
35,SRC-E5CD71D3324FF89A,MS-Automation 20251126.pdf,pdf,DUAL_ZONES,PASS,100.0,100.0,0.0,True,204,0,0,,2025/11/26,,,0,5,0
36,SRC-F3346CF3E2537BC0,MS-Memory 20251204.pdf,pdf,DUAL_ZONES,PASS,100.0,100.0,0.0,True,385,0,0,,2025/12/04,,,0,5,0
37,SRC-53B30C6DB78E20FF,MS-Thermal Solutions 20251007.pdf,pdf,DUAL_ZONES,PASS,100.0,100.0,0.0,True,217,0,0,3324,2025/10/07,,,0,5,0
38,SRC-F66A374BF8053481,MS-Thermal Solutions 20251208.pdf,pdf,DUAL_ZONES,PASS,100.0,100.0,0.0,True,306,0,0,6805,2025/12/08,hold,,0,5,0
39,SRC-975A48B930611622,UBS-Asia Hardware Insights 20251205.pdf,pdf,DUAL_ZONES,PASS,100.0,100.0,0.0,True,315,0,0,,2025/12/05,Buy,,0,5,0
40,SRC-AB5C75D6E517B9ED,【國泰證期研究部】神達(3706 TT)-初次評等買進(+30.4_)-大顯神威，營運騰達-20250822.pdf,pdf,DUAL_ZONES,PASS,98.8,100.0,1.2,True,170,0,0,3706,2025/08/22,,120.0,12,5,0
41,SRC-0169162A144645CE,凱基投顧_1476 儒鴻_劉昃恩_20260519.pdf,pdf,DUAL_ZONES,PASS,100.0,100.0,0.0,True,149,0,0,1476,2026/05/19,,367.0,7,5,0
42,SRC-81A66313A26D24A6,凱基投顧_2891 中信金_施志鴻_20260519.pdf,pdf,DUAL_ZONES,PASS,100.0,100.0,0.0,True,164,0,0,2891,2026/05/19,,,2,5,0
43,SRC-83465380286EE76B,凱基投顧_3665 貿聯-KY_李承泰_20260519.pdf,pdf,DUAL_ZONES,PASS,100.0,100.0,0.0,True,198,0,0,3665,2026/05/19,,2600.0,9,5,0
44,SRC-79D006A5D7F44965,凱基投顧_6147 頎邦_劉宇程_20260519.pdf,pdf,DUAL_ZONES,PASS,100.0,100.0,0.0,True,177,0,0,6147,2026/05/19,,280.0,3,5,0
45,SRC-3CB64CF7F95C8B69,凱基投顧_鋼鐵產業_劉昃恩_20260518.pdf,pdf,DUAL_ZONES,PASS,100.0,100.0,0.0,True,100,0,0,2002,2026/05/18,,20.3,1,5,0
46,SRC-128A3C058A1B5950,凱基日股分析20251205-軍工股及機器人股上漲推升日股收漲.pdf,pdf,DUAL_ZONES,PASS,100.0,100.0,0.0,True,3,0,0,,2025/12/05,,,0,2,0
47,SRC-97B027C8C03DCD81,凱基期貨晨間解盤20251205.pdf,pdf,DUAL_ZONES,PASS,100.0,100.0,0.0,True,0,0,0,,2025/12/05,,,0,1,0
48,SRC-3278E508F88D590C,凱基港股分析20251205-機器人概念受資金追捧，港股收漲.pdf,pdf,DUAL_ZONES,PASS,100.0,100.0,0.0,True,4,0,0,,2025/12/05,,,0,2,0
49,SRC-E9C8D7C5BAB60DDB,凱基美股分析20251205-Meta大砍元宇宙預算，標普、那指續漲.pdf,pdf,DUAL_ZONES,PASS,100.0,100.0,0.0,True,4,0,0,,2025/12/05,,,0,2,0
50,SRC-1DFD658084C38DFB,投資早報251209.pdf,pdf,DUAL_ZONES,PASS,99.7,100.0,0.3,True,13,0,0,,2025/12/09,,,0,3,0
51,SRC-918DA96FD5E75F88,"晶心科(6533,N,中立)-CTBC251208.pdf",pdf,DUAL_ZONES,PASS,100.0,100.0,0.0,True,132,0,0,6533,2025/12/06,中立,300.0,7,5,0
52,SRC-4DEB6310BFA8F89A,"瑞基(4171,NR_未評等)-CTBC251208.pdf",pdf,DUAL_ZONES,PASS,100.0,100.0,0.0,True,50,0,0,4171,2025/12/08,,,2,5,0
53,SRC-8C34F99996C987AC,第一場 2026年投資大趨勢 - 華南投顧 -1141201.pdf,pdf,DUAL_ZONES,PASS,100.0,100.0,0.0,True,0,0,0,,,,,0,1,0
54,SRC-582E8BD673908CE5,第三場 AI潮流下展望2026半導體產業趨勢 - 陳子昂.pdf,pdf,DUAL_ZONES,PASS,100.0,100.0,0.0,True,0,0,0,,,,,0,1,0
55,SRC-6CFEFE00AEB84DAF,第二場 2026海外投資展望 - 華南永昌海外商品部.pdf,pdf,DUAL_ZONES,PASS,100.0,100.0,0.0,True,1,0,0,,,,,0,0,0
56,SRC-4319673453DFA26B,統一投顧-20251209投資早報.pdf,pdf,DUAL_ZONES,PASS,97.9,88.75,-9.15,True,151,0,0,,2025/12/09,,,2,5,0
57,SRC-9D0BFFE79FA51B79,華南投顧-2606-裕民-1141202.pdf,pdf,DUAL_ZONES,PASS,87.5,87.5,0.0,True,87,1,0,2606,2025/09/12,買進,70.0,2,5,0
58,SRC-D4CA57B768AF123D,華南投顧-2637-慧洋-KY-1141202.pdf,pdf,DUAL_ZONES,PASS,87.5,87.5,0.0,True,91,1,0,2637,2025/08/14,買進,78.0,2,5,0
59,SRC-B092EBA4217B7ADB,華南投顧-2762-世界健身-KY-Memo-20251209.docx,docx,DOCX_HEAD,PASS,100.0,100.0,0.0,True,31,0,0,2762,2025/12/09,,,3,5,0
60,SRC-A27FBFAE3CEC1D79,華南投顧-3017-奇鋐-1141202.pdf,pdf,DUAL_ZONES,PASS,86.6,87.5,0.9,True,115,1,0,3017,2025/11/13,強力買進,1780.0,2,5,0
61,SRC-BEF8877A3CA1A52F,華南投顧-3038-全台-Memo-20251209.docx,docx,DOCX_HEAD,PASS,100.0,100.0,0.0,True,112,0,0,3038,2025/12/09,,,18,5,1
62,SRC-612703C4354BFF73,華南投顧-3675-德微-Memo-20260518.docx,docx,DOCX_HEAD,PASS,100.0,96.25,-3.75,True,238,0,0,3675,2026/05/18,,,15,5,0
63,SRC-25A48037E315063E,華南投顧-4153-鈺緯-Memo-20251208.docx,docx,DOCX_HEAD,PASS,100.0,100.0,0.0,True,95,0,0,4153,2025/12/08,,,14,5,1
64,SRC-1E0D227F86FAA6CE,華南投顧-6143-振曜-1141128.pdf,pdf,DUAL_ZONES,PASS,87.5,87.5,0.0,True,98,1,0,6143,2025/09/09,買進,146.0,5,5,0
