"def_pack_layer","def_row_preview_state","def_include_in_v0114_sandbox_input","def_group_final_decision","def_normalized_key","def_owner_engine","def_domain_family","def_final_canonical_value","def_source_mutation","def_canonical_merge","def_db_write"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","fred","VDF","DATA_SOURCE_CONTRACT","PROVIDER_REGISTRY_ONLY; API_KEYS_FROM_UI_RUNTIME_SECRET_OR_ENV_NAME_ONLY; RAW_SECRET_FORBIDDEN; FALLBACK_EXPLICIT","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","tw_yfinance_ticker","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","unit_mn_twd","VRN/VDF","SCHEMA_FIELD_CONTRACT","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","timezone_policy","VDF","DATA_SOURCE_CONTRACT","PROVIDER_REGISTRY_ONLY; API_KEYS_FROM_UI_RUNTIME_SECRET_OR_ENV_NAME_ONLY; RAW_SECRET_FORBIDDEN; FALLBACK_EXPLICIT","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","HardGate","VDF","DATA_SOURCE_CONTRACT","PROVIDER_REGISTRY_ONLY; API_KEYS_FROM_UI_RUNTIME_SECRET_OR_ENV_NAME_ONLY; RAW_SECRET_FORBIDDEN; FALLBACK_EXPLICIT","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","schema_csv","VRN/VDF","SCHEMA_FIELD_CONTRACT","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","TW_YFINANCE_REGEX","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","akshare","VDF","DATA_SOURCE_CONTRACT","PROVIDER_REGISTRY_ONLY; API_KEYS_FROM_UI_RUNTIME_SECRET_OR_ENV_NAME_ONLY; RAW_SECRET_FORBIDDEN; FALLBACK_EXPLICIT","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","TW_TICKER_REGEX","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","RequiredFields","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","changed_units","VRN/VDF","SCHEMA_FIELD_CONTRACT","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","unit_x","VRN/VDF","SCHEMA_FIELD_CONTRACT","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","target_field","VRN/VDF","SCHEMA_FIELD_CONTRACT","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","mixing_policy","VDF","DATA_SOURCE_CONTRACT","PROVIDER_REGISTRY_ONLY; API_KEYS_FROM_UI_RUNTIME_SECRET_OR_ENV_NAME_ONLY; RAW_SECRET_FORBIDDEN; FALLBACK_EXPLICIT","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","calendar_policy","VIA","GOVERNANCE_POLICY","VIA_GOVERNANCE_POLICY_REGISTRY","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","fill_policy","VIA","GOVERNANCE_POLICY","VIA_GOVERNANCE_POLICY_REGISTRY","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","left_ticker","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","alignment_policy","VDF","DATA_SOURCE_CONTRACT","PROVIDER_REGISTRY_ONLY; API_KEYS_FROM_UI_RUNTIME_SECRET_OR_ENV_NAME_ONLY; RAW_SECRET_FORBIDDEN; FALLBACK_EXPLICIT","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","addFields","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","right_ticker","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","schemas","VRN/VDF","SCHEMA_FIELD_CONTRACT","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","EXTRA_TICKERS","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","weekend_holiday_policy","VIA","GOVERNANCE_POLICY","VIA_GOVERNANCE_POLICY_REGISTRY","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","unit_twd","VRN/VDF","SCHEMA_FIELD_CONTRACT","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","fred_api_key_exists","VDF","DATA_SOURCE_CONTRACT","PROVIDER_REGISTRY_ONLY; API_KEYS_FROM_UI_RUNTIME_SECRET_OR_ENV_NAME_ONLY; RAW_SECRET_FORBIDDEN; FALLBACK_EXPLICIT","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","merge_policy_gate","VDF","DATA_SOURCE_CONTRACT","PROVIDER_REGISTRY_ONLY; API_KEYS_FROM_UI_RUNTIME_SECRET_OR_ENV_NAME_ONLY; RAW_SECRET_FORBIDDEN; FALLBACK_EXPLICIT","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","vrn_merge_yfinance_ticker","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","ticker_regex","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","schema_gate","VRN/VDF","SCHEMA_FIELD_CONTRACT","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","factset_tw_ticker","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","factset_tw_yfinance_ticker","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","yf_tw_ticker","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","vrn_merge_ticker","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","schema_id","VDF","DATA_SOURCE_CONTRACT","PROVIDER_REGISTRY_ONLY; API_KEYS_FROM_UI_RUNTIME_SECRET_OR_ENV_NAME_ONLY; RAW_SECRET_FORBIDDEN; FALLBACK_EXPLICIT","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","yf_tw_yfinance_ticker","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","schema_rows","VRN/VDF","SCHEMA_FIELD_CONTRACT","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","ticker_summary_csv","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","missing_unit","VRN/VDF","SCHEMA_FIELD_CONTRACT","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","unit_band_yellow","VRN/VDF","SCHEMA_FIELD_CONTRACT","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","before_missing_ticker","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","ticker_tokens","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","def_PARAM_HARDGATE_DIR","VRN/VDF","SCHEMA_FIELD_CONTRACT","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","unit_band_green","VRN/VDF","SCHEMA_FIELD_CONTRACT","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","unit_review_rows","VRN/VDF","SCHEMA_FIELD_CONTRACT","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","after_missing_ticker","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","unit_review_csv","VRN/VDF","SCHEMA_FIELD_CONTRACT","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","required_fields","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","policy_id","VIA","GOVERNANCE_POLICY","VIA_GOVERNANCE_POLICY_REGISTRY","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","tw_bloomberg_ticker","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","write_policy","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","false","false","false"
"ROW_POLICY_PACK","EXCLUDED_BY_EXPLICIT_DEFER","false","DEFER","MACRO_CHINA","VIA_REVIEW_BOARD","DOMAIN_GENERAL","","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","VDF_Global_Macro","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","text_fields","VRN/VDF","SCHEMA_FIELD_CONTRACT","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","recommended_fields","VDF","DATA_SOURCE_CONTRACT","PROVIDER_REGISTRY_ONLY; API_KEYS_FROM_UI_RUNTIME_SECRET_OR_ENV_NAME_ONLY; RAW_SECRET_FORBIDDEN; FALLBACK_EXPLICIT","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","fred_keys","VDF","DATA_SOURCE_CONTRACT","PROVIDER_REGISTRY_ONLY; API_KEYS_FROM_UI_RUNTIME_SECRET_OR_ENV_NAME_ONLY; RAW_SECRET_FORBIDDEN; FALLBACK_EXPLICIT","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","VRN_TickerRegexSSOT","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","VDF_Global_Commodity_AkShare_Candidate","VDF","DATA_SOURCE_CONTRACT","PROVIDER_REGISTRY_ONLY; API_KEYS_FROM_UI_RUNTIME_SECRET_OR_ENV_NAME_ONLY; RAW_SECRET_FORBIDDEN; FALLBACK_EXPLICIT","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","schema_warn_count","VRN/VDF","SCHEMA_FIELD_CONTRACT","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","has_yfinance_data","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","schema_role","VRN/VDF","SCHEMA_FIELD_CONTRACT","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","akshare_import","VDF","DATA_SOURCE_CONTRACT","PROVIDER_REGISTRY_ONLY; API_KEYS_FROM_UI_RUNTIME_SECRET_OR_ENV_NAME_ONLY; RAW_SECRET_FORBIDDEN; FALLBACK_EXPLICIT","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","EQUITY_FLAT_SCHEMA","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","consensus_by_ticker","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","akshare_version","VDF","DATA_SOURCE_CONTRACT","PROVIDER_REGISTRY_ONLY; API_KEYS_FROM_UI_RUNTIME_SECRET_OR_ENV_NAME_ONLY; RAW_SECRET_FORBIDDEN; FALLBACK_EXPLICIT","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","schema_run","VRN/VDF","SCHEMA_FIELD_CONTRACT","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","duplicate_after_collision_policy","VIA","GOVERNANCE_POLICY","VIA_GOVERNANCE_POLICY_REGISTRY","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","missing_yfinance_csv","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","schema_audit_csv","VDF","DATA_SOURCE_CONTRACT","PROVIDER_REGISTRY_ONLY; API_KEYS_FROM_UI_RUNTIME_SECRET_OR_ENV_NAME_ONLY; RAW_SECRET_FORBIDDEN; FALLBACK_EXPLICIT","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","dedup_policy_required","VIA","GOVERNANCE_POLICY","VIA_GOVERNANCE_POLICY_REGISTRY","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","financialdata_fields","VRN/VDF","SCHEMA_FIELD_CONTRACT","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","OUT_SCHEMA_CSV","VRN/VDF","SCHEMA_FIELD_CONTRACT","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","fred_api_key_sources_checked","VDF","DATA_SOURCE_CONTRACT","PROVIDER_REGISTRY_ONLY; API_KEYS_FROM_UI_RUNTIME_SECRET_OR_ENV_NAME_ONLY; RAW_SECRET_FORBIDDEN; FALLBACK_EXPLICIT","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","fred_id","VDF","DATA_SOURCE_CONTRACT","PROVIDER_REGISTRY_ONLY; API_KEYS_FROM_UI_RUNTIME_SECRET_OR_ENV_NAME_ONLY; RAW_SECRET_FORBIDDEN; FALLBACK_EXPLICIT","false","false","false"
