MotherSector,MotherTicker,MotherName,MotherRole,TickerValid,MatchType,LocalTicker,LocalName,LocalGroup,NameAgrees
ASIC 設計服務,3661,世芯-KY,LEADER,True,EXACT_TICKER_MATCH,3661,世芯-KY,D 記憶體,True
ASIC 設計服務,3443,創意,LEADER,True,EXACT_TICKER_MATCH,3443,創意,D 記憶體,True
ASIC 設計服務,3035,智原,PEER,True,EXACT_TICKER_MATCH,3035,智原,E IC 設計與 IP,True
ASIC 設計服務,2569,揚智,LAGGARD,True,EXACT_TICKER_MATCH,2569,揚智,E IC 設計與 IP,True
矽智財 IP,3529,力旺,LEADER,True,EXACT_TICKER_MATCH,3529,力旺,E IC 設計與 IP,True
矽智財 IP,6533,晶心科,PEER,True,EXACT_TICKER_MATCH,6533,晶心科,E IC 設計與 IP,True
矽智財 IP,6643,M31,PEER,True,EXACT_TICKER_MATCH,6643,M31,E IC 設計與 IP,True
網通設備,2345,智邦,LEADER,True,EXACT_TICKER_MATCH,2345,智邦,I 光通訊與矽光子,True
網通設備,3596,智易,PEER,True,EXACT_TICKER_MATCH,3596,智易,I 光通訊與矽光子,True
網通設備,5388,中磊,PEER,True,EXACT_TICKER_MATCH,5388,中磊,I 光通訊與矽光子,True
網通設備,3380,明泰,LAGGARD,True,EXACT_TICKER_MATCH,3380,明泰,I 光通訊與矽光子,True
貨櫃航運,2603,長榮,LEADER,True,EXACT_TICKER_MATCH,2603,長榮,M 傳產輪動,True
貨櫃航運,2609,陽明,PEER,True,EXACT_TICKER_MATCH,2609,陽明,M 傳產輪動,True
貨櫃航運,2615,萬海,LAGGARD,True,EXACT_TICKER_MATCH,2615,萬海,M 傳產輪動,True
金融,2881,富邦金,LEADER,True,EXACT_TICKER_MATCH,2881,富邦金,M 傳產輪動,True
金融,2882,國泰金,PEER,True,EXACT_TICKER_MATCH,2882,國泰金,M 傳產輪動,True
金融,2886,兆豐金,PEER,True,EXACT_TICKER_MATCH,2886,兆豐金,M 傳產輪動,True
金融,2884,玉山金,LAGGARD,True,EXACT_TICKER_MATCH,2884,玉山金,M 傳產輪動,True
