Group,Subgroup,Rank,Ticker,YFTicker,Name,Market,Dimension,CountingFlag,SourceID,EvidenceStatus
低軌衛星,,L,3491,3491.TWO,昇達科,TPEX,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
低軌衛星,,P,2314,2314.TW,台揚,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
低軌衛星,,P,6285,6285.TW,啟碁,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
低軌衛星,,G,6271,6271.TW,同欣電,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
散裝航運,,L,2637,2637.TW,慧洋-KY,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
散裝航運,,P,2606,2606.TW,裕民,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
散裝航運,,P,2605,2605.TW,新興,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
散裝航運,,G,5608,5608.TW,四維航,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
航空,,L,2618,2618.TW,長榮航,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
航空,,P,2610,2610.TW,華航,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
航空,,G,2646,2646.TW,星宇,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
鋼鐵,,L,2002,2002.TW,中鋼,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
鋼鐵,,P,2014,2014.TW,中鴻,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
鋼鐵,,P,2023,2023.TW,燁輝,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
鋼鐵,,G,2017,2017.TW,官田鋼,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
條鋼,,L,2015,2015.TW,豐興,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
條鋼,,P,2006,2006.TW,東和鋼鐵,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
條鋼,,P,2028,2028.TW,威致,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
條鋼,,G,2012,2012.TW,春雨,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
重電,,L,1519,1519.TW,華城,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
重電,,P,1503,1503.TW,士電,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
重電,,P,1513,1513.TW,中興電,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
重電,,G,1514,1514.TW,亞力,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
軍工航太,,L,2634,2634.TW,漢翔,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
軍工航太,,P,8033,8033.TW,雷虎,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
軍工航太,,P,8222,8222.TW,寶一,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
軍工航太,,G,8383,8383.TW,千附,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
ABF 載板,,L,3037,3037.TW,欣興,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
ABF 載板,,P,8046,8046.TW,南電,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
ABF 載板,,P,3189,3189.TW,景碩,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
ABF 載板,,G,3167,3167.TWO,大量,TPEX,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
記憶體,,L,2408,2408.TW,南亞科,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
記憶體,,P,2344,2344.TW,華邦電,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
記憶體,,P,2337,2337.TW,旺宏,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
記憶體,,G,8299,8299.TWO,群聯,TPEX,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
半導體,,P,6488,6488.TWO,環球晶,TPEX,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
AI OEM/ODM,,P,2356,2356.TW,英業達,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
AI OEM/ODM,,P,8210,8210.TW,勤誠,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
被動元件,,P,6173,6173.TWO,信昌電,TPEX,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
光學,,P,3362,3362.TW,先進光,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
機器人,,L,1590,1590.TW,亞德客-KY,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
機器人,,P,2464,2464.TW,盟立,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
AI 散熱,,P,6275,6275.TWO,元山,TPEX,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
重電,,P,1504,1504.TW,東元,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
重電,,P,2371,2371.TW,大同,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
鋼鐵,,P,9957,9957.TW,燁聯,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
鋼鐵,,G,2029,2029.TW,盛餘,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
PCB,,L,2383,2383.TW,台光電,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
PCB,,L,4958,4958.TW,臻鼎-KY,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
PCB,,P,3044,3044.TW,健鼎,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
PCB,,P,2368,2368.TW,金像電,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
PCB,,G,2367,2367.TW,燿華,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
台積電擴廠,,L,6196,6196.TW,帆宣,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
台積電擴廠,,L,2404,2404.TW,漢唐,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
台積電擴廠,,P,6139,6139.TW,亞翔,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
台積電擴廠,,P,6667,6667.TWO,信紘科,TPEX,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
台積電擴廠,,P,3413,3413.TWO,京鼎,TPEX,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
散裝航運,,P,2612,2612.TW,中航,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
散裝航運,,P,2617,2617.TW,台航,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
散裝航運,,G,2641,2641.TW,正德,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
AI 散熱,,P,3483,3483.TW,力致,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
AI 散熱,,P,6591,6591.TW,動力-KY,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
AI 散熱,,G,6125,6125.TW,廣運,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
生技醫療,,L,6472,6472.TWO,保瑞,TPEX,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
生技醫療,,L,6446,6446.TW,藥華藥,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
生技醫療,,P,1795,1795.TW,美時,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
生技醫療,,G,4162,4162.TWO,智擎,TPEX,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
生技醫療,,G,6562,6562.TWO,聯亞藥,TPEX,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
IC設計,,L,3034,3034.TW,聯詠,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
IC設計,,P,2379,2379.TW,瑞昱,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
IC設計,,P,6415,6415.TW,矽力-KY,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
IC設計,,G,3545,3545.TW,敦泰,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
電源管理,,L,2308,2308.TW,台達電,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
電源管理,,P,2301,2301.TW,光寶科,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
電源管理,,P,3015,3015.TW,全漢,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
電源管理,,G,5263,5263.TWO,僑威,TPEX,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
ASIC 設計服務,,L,3661,3661.TW,世芯-KY,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
ASIC 設計服務,,L,3443,3443.TW,創意,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
ASIC 設計服務,,P,3035,3035.TW,智原,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
ASIC 設計服務,,P,3529,3529.TWO,力旺,TPEX,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
ASIC 設計服務,,G,6533,6533.TWO,晶心科,TPEX,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
ASIC 設計服務,,G,6643,6643.TWO,M31,TPEX,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
CoWoS 先進封裝,,L,3711,3711.TW,日月光投控,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
CoWoS 先進封裝,,L,2449,2449.TW,京元電子,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
CoWoS 先進封裝,,P,3583,3583.TWO,辛耘,TPEX,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
CoWoS 先進封裝,,P,3131,3131.TWO,弘塑,TPEX,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
CoWoS 先進封裝,,P,6187,6187.TWO,萬潤,TPEX,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
CoWoS 先進封裝,,G,6640,6640.TWO,均華,TPEX,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
CoWoS 先進封裝,,P,6239,6239.TW,力成,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
AI OEM/ODM,,L,2382,2382.TW,廣達,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
AI OEM/ODM,,L,6669,6669.TW,緯穎,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
AI OEM/ODM,,L,2317,2317.TW,鴻海,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
AI OEM/ODM,,P,3231,3231.TW,緯創,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
AI OEM/ODM,,P,3706,3706.TW,神達,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
AI OEM/ODM,,G,2376,2376.TW,技嘉,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
AI 散熱,,L,3017,3017.TW,奇鋐,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
AI 散熱,,L,3324,3324.TW,雙鴻,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
AI 散熱,,L,3653,3653.TW,健策,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
AI 散熱,,P,2421,2421.TW,建準,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
AI 散熱,,P,6230,6230.TWO,尼得科超眾,TPEX,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
AI 散熱,,G,3338,3338.TWO,泰碩,TPEX,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
零售通路,,L,2912,2912.TW,統一超,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
零售通路,,P,5903,5903.TWO,全家,TPEX,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
零售通路,,P,8454,8454.TW,富邦媒,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
零售通路,,P,2915,2915.TW,潤泰全,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
零售通路,,G,2903,2903.TW,遠百,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
零售通路,,G,2905,2905.TW,三商,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
餐飲,,L,2727,2727.TW,王品,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
餐飲,,P,2729,2729.TW,瓦城,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
餐飲,,P,2752,2752.TW,豆府,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
餐飲,,P,1259,1259.TW,安心,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
餐飲,,G,2732,2732.TW,六角,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
餐飲,,G,2754,2754.TW,亞洲藏壽司,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
低基期原物料,,L,1301,1301.TW,台塑,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
低基期原物料,,P,1303,1303.TW,南亞,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
低基期原物料,,P,1326,1326.TW,台化,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
低基期原物料,,P,6505,6505.TW,台塑化,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
低基期原物料,,P,1102,1102.TW,亞泥,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
低基期原物料,,G,1904,1904.TW,正隆,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
低基期原物料,,G,1304,1304.TW,台聚,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
低基期原物料,,G,2105,2105.TW,正新,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
