Date,Open,High,Low,Close,Volume
2023-01-06,563.76,569.15,562.69,564.57,4676289
2023-01-09,568.79,571.13,566.11,566.64,5741511
2023-01-10,566.09,576.83,563.91,566.91,2254397
2023-01-11,567.74,575.32,559.31,567.91,1233201
2023-01-12,562.88,570.83,559.69,561.5,3417145
2023-01-13,562.69,567.68,552.01,561.87,3798441
2023-01-16,560.59,572.62,566.14,566.24,3847072
2023-01-17,575.49,585.05,577.43,578.73,3082729
2023-01-18,589.96,589.65,583.17,587.24,3734966
2023-01-19,605.98,613.08,598.68,606.38,8110868
2023-01-20,598.01,600.87,589.37,599.58,4178252
2023-01-23,603.48,609.48,606.38,607.61,2893841
2023-01-24,606.17,614.21,599.51,609.46,2584484
2023-01-25,623.3,637.91,625.05,629.66,3500532
2023-01-26,621.9,630.9,610.9,622.22,7848324
2023-01-27,612.73,618.02,609.8,614.57,3166105
2023-01-30,606.28,610.5,605.85,609.22,3377477
2023-01-31,589.8,599.93,588.62,590.0,2973820
2023-02-01,586.59,590.24,584.07,585.52,5877967
2023-02-02,585.09,584.62,572.08,579.03,9192252
2023-02-03,576.12,589.89,579.7,580.51,4147453
2023-02-06,587.04,590.86,572.18,583.66,3499590
2023-02-07,603.18,603.82,593.56,600.26,3803220
2023-02-08,606.63,609.16,607.87,609.0,1064591
2023-02-09,604.53,605.6,602.04,603.91,4943056
2023-02-10,594.59,600.78,595.62,595.95,3726145
2023-02-13,601.09,603.08,593.21,600.53,4205258
2023-02-14,593.26,591.61,577.33,588.82,2513834
2023-02-15,607.0,605.26,604.3,605.17,3071875
2023-02-16,617.63,619.42,604.86,616.06,2901175
2023-02-17,610.59,611.95,607.26,611.91,5631828
2023-02-20,591.94,598.97,595.8,596.37,3048517
2023-02-21,608.02,609.32,606.1,608.66,10215334
2023-02-22,611.46,608.33,602.54,607.79,4083629
2023-02-23,614.53,621.55,611.34,619.26,1890414
2023-02-24,601.45,606.2,598.34,604.64,3427499
2023-02-27,599.76,608.96,595.88,599.38,2462525
2023-02-28,596.66,602.97,598.83,599.61,1093288
2023-03-01,597.83,601.98,596.73,600.21,7309945
2023-03-02,595.08,600.5,592.12,596.34,4796115
2023-03-03,597.98,604.1,596.94,602.09,4473542
2023-03-06,589.74,599.58,582.85,592.63,3829862
2023-03-07,593.62,593.73,585.21,591.54,1653042
2023-03-08,588.91,593.42,588.46,592.79,2593862
2023-03-09,592.76,600.21,595.38,597.54,5179353
2023-03-10,602.19,613.58,596.28,604.09,2038670
2023-03-13,596.26,600.78,590.68,594.09,998201
2023-03-14,580.02,587.52,577.98,580.59,3249487
2023-03-15,590.52,592.74,580.83,591.89,3341723
2023-03-16,595.15,605.33,588.11,595.02,3590716
2023-03-17,583.38,601.65,586.85,588.52,4962675
2023-03-20,603.88,606.23,600.58,602.39,5026316
2023-03-21,604.77,606.64,596.31,603.62,3758419
2023-03-22,613.22,625.54,612.08,614.47,6477822
2023-03-23,618.38,618.62,613.73,615.28,1539637
2023-03-24,630.91,639.48,633.25,634.48,4863676
2023-03-27,655.05,655.43,646.46,651.38,5067058
2023-03-28,649.65,650.24,642.34,649.14,1789139
2023-03-29,657.69,661.91,647.89,658.8,1656631
2023-03-30,665.31,678.54,662.16,665.37,2363672
2023-03-31,678.87,684.31,675.08,679.23,2592939
2023-04-03,673.69,676.79,666.32,669.61,5102190
2023-04-04,673.05,678.32,674.28,676.7,2531518
2023-04-05,685.02,701.91,686.69,687.64,2302723
2023-04-06,673.18,675.87,664.76,669.71,2721678
2023-04-07,656.06,674.67,645.46,658.02,6218023
2023-04-10,640.97,639.92,629.68,638.09,3788713
2023-04-11,641.11,642.71,635.24,635.71,3044682
2023-04-12,641.45,655.33,640.09,642.74,3265218
2023-04-13,659.66,665.5,656.83,657.42,6949261
2023-04-14,654.55,661.61,658.1,658.34,2263553
2023-04-17,677.17,677.76,662.95,674.62,7090972
2023-04-18,661.52,661.56,650.98,660.86,4002308
2023-04-19,645.7,661.21,643.91,644.17,3397964
2023-04-20,641.75,653.51,640.98,643.83,11445563
2023-04-21,642.35,649.38,641.57,647.73,1986798
2023-04-24,649.24,650.64,641.0,647.61,2741754
2023-04-25,621.24,634.54,624.75,627.72,2036280
2023-04-26,626.07,627.68,625.39,627.07,5290385
2023-04-27,617.88,616.88,609.78,614.99,8339947
2023-04-28,621.95,623.78,608.13,621.35,7923895
2023-05-01,631.04,626.64,624.33,624.95,6203082
2023-05-02,619.49,618.45,612.61,616.33,3165763
2023-05-03,609.76,615.57,609.12,611.76,2824240
2023-05-04,602.31,604.45,599.4,602.23,1527996
2023-05-05,601.7,604.11,597.58,601.84,9075895
2023-05-08,605.81,610.82,606.3,610.65,4435158
2023-05-09,598.97,608.58,601.13,601.8,2741314
2023-05-10,604.83,606.84,601.09,606.53,6599993
2023-05-11,595.76,612.56,596.82,601.89,2086863
2023-05-12,595.05,602.42,592.71,594.91,4238240
2023-05-15,593.39,599.51,576.86,594.13,3018261
2023-05-16,580.19,588.91,582.89,585.09,4841436
2023-05-17,581.58,583.86,574.37,580.4,3293484
2023-05-18,572.19,577.98,560.85,570.15,1722333
2023-05-19,587.79,599.66,579.86,587.12,3900258
2023-05-22,586.66,606.05,586.97,587.61,5545893
2023-05-23,583.34,587.76,573.89,581.62,3385845
2023-05-24,585.64,584.96,581.83,583.66,4901019
2023-05-25,583.75,583.17,579.32,582.85,1951552
2023-05-26,578.7,582.75,578.44,581.09,3275004
2023-05-29,587.43,589.68,583.93,586.62,2506031
2023-05-30,597.01,597.29,589.34,593.46,5026158
2023-05-31,587.16,592.19,582.12,588.92,3448047
2023-06-01,590.13,584.53,573.78,584.01,4808413
2023-06-02,580.24,582.92,579.51,581.77,5739045
2023-06-05,561.95,562.71,560.97,561.86,5410166
2023-06-06,547.41,550.33,548.73,549.26,4167574
2023-06-07,561.31,567.04,558.35,560.69,2190954
2023-06-08,569.68,578.1,569.25,574.69,3672108
2023-06-09,571.15,589.55,569.23,572.71,2547152
2023-06-12,574.68,581.63,570.23,577.84,2875501
2023-06-13,581.1,581.84,576.2,580.71,2778086
2023-06-14,610.72,607.82,601.61,607.7,2468234
2023-06-15,620.09,620.49,613.44,618.09,1333532
2023-06-16,609.77,624.03,608.04,617.09,2359569
2023-06-19,614.64,614.2,605.38,608.43,3853541
2023-06-20,594.83,598.54,588.16,593.95,1864180
2023-06-21,593.63,598.37,592.87,595.94,3349970
2023-06-22,589.82,595.09,583.59,589.36,8920740
2023-06-23,577.47,584.92,573.95,576.96,6025593
2023-06-26,569.64,575.12,565.23,571.54,7784872
2023-06-27,563.0,567.29,560.58,562.44,4291596
2023-06-28,575.09,582.34,572.34,576.84,6610915
2023-06-29,583.46,587.64,576.87,584.64,2430122
2023-06-30,582.74,588.99,577.75,584.75,2370784
2023-07-03,593.62,600.99,592.56,597.91,924525
2023-07-04,599.22,602.62,593.43,598.78,5958616
2023-07-05,592.95,593.78,580.41,591.22,7507009
2023-07-06,606.47,609.75,602.43,604.91,2766031
2023-07-07,612.48,614.58,605.63,609.98,2999894
2023-07-10,601.65,607.81,586.97,600.67,2413508
2023-07-11,597.54,603.38,595.44,599.14,4008875
2023-07-12,593.93,593.53,582.37,591.45,6105268
2023-07-13,575.43,585.56,568.47,579.36,1507451
2023-07-14,584.93,587.74,583.39,587.58,4296356
2023-07-17,585.99,594.02,577.74,588.83,2877006
2023-07-18,585.06,582.87,579.76,581.92,3662717
2023-07-19,585.87,587.46,580.57,583.12,4154620
2023-07-20,591.9,594.44,589.36,590.46,3162619
2023-07-21,593.75,591.44,588.07,590.59,3107451
2023-07-24,588.0,595.28,589.28,590.6,2937696
2023-07-25,580.65,581.43,572.23,579.64,5802820
2023-07-26,569.1,580.24,564.03,569.45,4384538
2023-07-27,551.24,550.09,545.2,548.92,4308421
2023-07-28,572.05,572.38,567.96,572.38,2101570
2023-07-31,552.94,558.53,549.41,554.01,3139412
2023-08-01,545.33,547.44,538.96,543.86,5592802
2023-08-02,535.88,538.55,531.14,533.54,3647019
2023-08-03,543.13,553.71,538.5,544.95,5031848
2023-08-04,540.22,544.51,534.02,540.38,8238030
2023-08-07,553.75,560.98,547.42,556.7,6324276
