Date,Ticker,MarginBalanceValue,ShortBalanceValue
2026-01-21,1503.TW,1139916156.927315,97518463.39517392
2026-01-22,1503.TW,1139930955.3377244,97532549.70689774
2026-01-23,1503.TW,1139590331.356615,97624728.01775467
2026-01-26,1503.TW,1138705021.6610897,97852932.85492006
2026-01-27,1503.TW,1137592034.4895527,98136297.06602791
2026-01-28,1503.TW,1137653359.2566023,98127579.61077729
2026-01-29,1503.TW,1137267601.0470972,98235058.1800834
2026-01-30,1503.TW,1136932082.1074913,98326607.06375663
2026-02-02,1503.TW,1137111647.1433685,98287744.78807677
2026-02-03,1503.TW,1137565671.0497847,98182732.67434083
2026-02-04,1503.TW,1137775541.5824087,98136940.14146742
2026-02-05,1503.TW,1136876753.7910013,98358127.12090504
2026-02-06,1503.TW,1136959223.468944,98341495.2702238
2026-02-09,1503.TW,1137278975.0373325,98264983.5557603
2026-02-10,1503.TW,1137322843.2839808,98254789.78070037
2026-02-11,1503.TW,1136999659.150786,98332025.45726353
2026-02-12,1503.TW,1138000459.6447861,98086626.86775647
2026-02-13,1503.TW,1137244618.0794516,98265947.89690575
2026-02-16,1503.TW,1136885866.8979213,98345137.2156073
2026-02-17,1503.TW,1136216470.2362287,98498846.33093923
2026-02-18,1503.TW,1135628050.9569979,98635358.24960087
2026-02-19,1503.TW,1135011469.0265262,98779795.1227184
2026-02-20,1503.TW,1135570841.2726884,98632472.26088043
2026-02-23,1503.TW,1135884359.6924179,98550689.80796604
2026-02-24,1503.TW,1136376468.5349784,98421395.849714
2026-02-25,1503.TW,1136735258.4760025,98320722.5043401
2026-02-26,1503.TW,1136092900.8990805,98467899.13874696
2026-02-27,1503.TW,1136523486.175813,98353357.0298682
2026-03-02,1503.TW,1137139497.5842545,98190358.44258872
2026-03-03,1503.TW,1137518672.8422322,98088922.44496174
2026-03-04,1503.TW,1138286943.34789,97886521.64232558
2026-03-05,1503.TW,1138934822.6056411,97707821.37379335
2026-03-06,1503.TW,1140294133.995163,97353223.51901579
2026-03-09,1503.TW,1140610632.4652305,97245695.4344628
2026-03-10,1503.TW,1140574056.86077,97231138.625521
2026-03-11,1503.TW,1141293253.116166,97016038.6251174
2026-03-12,1503.TW,1141547497.004548,96940557.43449219
2026-03-13,1503.TW,1141746249.7747657,96874192.26440074
2026-03-16,1503.TW,1142489088.9343057,96675574.54524697
2026-03-17,1503.TW,1142842725.138757,96574999.71510138
2026-03-18,1503.TW,1143802253.7974951,96318032.07214803
2026-03-19,1503.TW,1143413805.6378114,96400833.59298946
2026-03-20,1503.TW,1144846056.5816476,96030306.69926499
2026-03-23,1503.TW,1145072847.52647,95961350.58688408
2026-03-24,1503.TW,1145348376.318737,95878102.28750254
2026-03-25,1503.TW,1145134793.8801677,95900340.4190908
2026-03-26,1503.TW,1145316370.7335832,95840274.8902781
2026-03-27,1503.TW,1145574156.1295333,95761222.5969627
2026-03-30,1503.TW,1145868360.5824413,95674653.23871653
2026-03-31,1503.TW,1146470635.1685126,95520410.99100919
2026-04-01,1503.TW,1146320841.981944,95540119.4909141
2026-04-02,1503.TW,1146300981.1032968,95534087.62963921
2026-04-03,1503.TW,1146006060.6715844,95597729.89973521
2026-04-06,1503.TW,1146751519.2876995,95404393.84048998
2026-04-07,1503.TW,1147216230.6882052,95282565.03076823
2026-04-08,1503.TW,1147419171.034285,95229212.37225057
2026-04-09,1503.TW,1149023080.7313085,94830234.91338556
2026-04-10,1503.TW,1148273581.8745818,95008360.93810324
2026-04-13,1503.TW,1148377963.6251676,94977462.18234481
2026-04-14,1503.TW,1148255160.1360931,95005908.23948765
2026-04-15,1503.TW,1148952819.5162947,94834481.27461556
2026-04-16,1503.TW,1148686661.0828388,94898538.99064845
2026-04-17,1503.TW,1148522644.7681327,94939523.6334073
2026-04-20,1503.TW,1147884759.7091238,95096846.69509916
2026-04-21,1503.TW,1148436911.542019,94966732.09263535
2026-04-22,1503.TW,1146917492.0343657,95341759.60431798
2026-04-23,1503.TW,1146457812.6629207,95456311.74179064
2026-04-24,1503.TW,1145429155.8974953,95715985.66825195
2026-04-27,1503.TW,1144912549.7621262,95851181.11958194
2026-04-28,1503.TW,1144881178.766006,95869576.28890403
2026-04-29,1503.TW,1144483226.3856008,95976880.88768809
2026-04-30,1503.TW,1144437651.0358565,95995984.98252217
2026-05-01,1503.TW,1144044713.09419,96100001.90744194
2026-05-04,1503.TW,1143589350.8799534,96224980.76433127
2026-05-05,1503.TW,1142895232.253457,96413437.86798784
2026-05-06,1503.TW,1140591194.6468308,96990450.75335743
2026-05-07,1503.TW,1139986926.3946862,97147684.1883145
2026-05-08,1503.TW,1139419639.6676786,97302117.72781715
2026-05-11,1503.TW,1139340803.9190078,97339024.10938157
2026-05-12,1503.TW,1139117175.960893,97405440.78197776
2026-05-13,1503.TW,1139217268.8889835,97395336.32570061
2026-05-14,1503.TW,1138900231.9117308,97486501.94739902
2026-05-15,1503.TW,1137974261.0927503,97728311.1680261
2026-05-18,1503.TW,1137887152.281411,97775541.18900673
2026-05-19,1503.TW,1137912548.810319,97783868.47811367
2026-05-20,1503.TW,1138313994.9442418,97709267.24597736
2026-05-21,1503.TW,1138494545.809383,97688567.13974993
2026-05-22,1503.TW,1137705188.9142847,97898567.62595783
2026-05-25,1503.TW,1137401628.7673633,97984532.37577206
2026-05-26,1503.TW,1137396690.5652559,97997638.19879362
2026-05-27,1503.TW,1136874354.7278917,98142390.89669982
2026-05-28,1503.TW,1136964258.1956522,98135880.21685535
2026-05-29,1503.TW,1137115622.8536174,98127562.92364754
2026-06-01,1503.TW,1136371610.5389125,98329120.01996149
2026-06-02,1503.TW,1137287794.975598,98125712.89844647
2026-06-03,1503.TW,1137856297.4708834,98004328.25248997
2026-06-04,1503.TW,1137329393.957384,98146745.36348888
2026-06-05,1503.TW,1136242587.8645127,98429760.58537726
2026-06-08,1503.TW,1136645030.4287329,98347085.7469736
2026-06-09,1503.TW,1136229276.6712677,98457874.32246353
2026-06-10,1503.TW,1137478504.8322842,98168650.01551259
2026-06-11,1503.TW,1137073202.5652442,98272271.01012059
2026-06-12,1503.TW,1136682123.0500557,98376802.2777802
2026-06-15,1503.TW,1136111638.8245466,98520324.82495111
2026-06-16,1503.TW,1135604944.692902,98646881.88298675
2026-06-17,1503.TW,1135419048.5805588,98696528.95123643
2026-06-18,1503.TW,1135052450.5885673,98789855.53506501
2026-06-19,1503.TW,1134962508.2233584,98813949.49718526
2026-06-22,1503.TW,1134954675.52186,98816637.8391058
2026-06-23,1503.TW,1134516290.1001546,98922760.58774537
2026-06-24,1503.TW,1134810560.5857663,98849000.06563368
2026-06-25,1503.TW,1135007955.9178343,98799320.12422492
2026-06-26,1503.TW,1134050765.8591082,99025840.997696
2026-06-29,1503.TW,1133561579.7016494,99137579.54713686
2026-06-30,1503.TW,1133523427.9398174,99137562.9161629
2026-07-01,1503.TW,1135360579.3112252,98674979.7343305
2026-07-02,1503.TW,1135764187.6815042,98565372.03109473
2026-07-03,1503.TW,1136971274.7930427,98250332.42349377
2026-07-06,1503.TW,1137632858.640471,98074502.0619489
2026-07-07,1503.TW,1137647737.055939,98057133.13027577
2026-07-08,1503.TW,1135641712.4120445,98527549.62623174
2026-07-09,1503.TW,1134437349.882694,98804345.3301778
2026-07-10,1503.TW,1135230254.7826564,98591323.60972826
2026-07-13,1503.TW,1135524177.1632454,98509097.5478753
2026-07-14,1503.TW,1135400125.392015,98529922.05469322
2026-07-15,1503.TW,1135324093.126408,98531093.9967466
2026-07-16,1503.TW,1135832310.9757364,98388880.9539508
2026-07-17,1503.TW,1134768738.2910047,98618872.92959885
2026-07-20,1503.TW,1134696849.1206224,98612761.8911245
2026-07-21,1503.TW,1135029988.8686154,98516339.00502938
2026-07-22,1503.TW,1136493964.668772,98113188.20163226
2026-07-23,1503.TW,1137422096.6552088,97857557.83560544
2026-07-24,1503.TW,1138468466.079488,97570453.5500917
2026-07-27,1503.TW,1138943343.4307315,97440678.4668753
2026-07-28,1503.TW,1140304540.630569,97090193.09379864
2026-07-29,1503.TW,1140509984.6113236,97017878.54465234
2026-07-30,1503.TW,1141305109.384314,96805153.9676404
2026-07-31,1503.TW,1141150901.914545,96824126.32259552
2026-08-03,1503.TW,1140870198.30309,96875343.7326229
2026-08-04,1503.TW,1141305090.2913728,96757319.86678304
2025-10-01,1504.TW,1142000000.0,97100000.0
2025-10-02,1504.TW,1142178476.999061,97056207.67100775
2025-10-03,1504.TW,1141955485.454792,97108476.65907693
2025-10-06,1504.TW,1142238382.7152684,97036466.14042324
2025-10-07,1504.TW,1142475433.015231,96975026.74897836
2025-10-08,1504.TW,1142261430.2330275,97020351.10699254
2025-10-09,1504.TW,1142985907.8234835,96836525.96610917
2025-10-10,1504.TW,1143087583.314889,96804265.16611911
2025-10-13,1504.TW,1143184933.4252808,96774152.90449706
2025-10-14,1504.TW,1143535802.9231684,96681711.00477538
2025-10-15,1504.TW,1143243072.437174,96740881.447145
2025-10-16,1504.TW,1143431355.4619946,96684826.26304996
2025-10-17,1504.TW,1144167672.9137206,96490740.20618992
2025-10-20,1504.TW,1144083728.1498013,96499750.99142209
2025-10-21,1504.TW,1144322642.9380746,96429070.48514114
2025-10-22,1504.TW,1144445369.376832,96390003.91254881
2025-10-23,1504.TW,1144398445.915861,96393286.11370926
2025-10-24,1504.TW,1143693835.7138436,96549783.56028453
2025-10-27,1504.TW,1144040306.2443922,96451693.8721393
2025-10-28,1504.TW,1144667343.8593285,96289994.42616935
2025-10-29,1504.TW,1145254863.340182,96137465.3784109
2025-10-30,1504.TW,1144552823.274824,96294084.63528156
2025-10-31,1504.TW,1144406657.0605783,96317793.44107883
2025-11-03,1504.TW,1144694972.7952452,96227592.93799148
2025-11-04,1504.TW,1144190379.2619047,96336931.25229433
2025-11-05,1504.TW,1144289661.333096,96303265.41314557
2025-11-06,1504.TW,1144652834.5748317,96190392.62327918
2025-11-07,1504.TW,1144809580.7887416,96136450.88159993
2025-11-10,1504.TW,1144992975.4863942,96081054.96758544
2025-11-11,1504.TW,1144904085.367059,96091345.02291551
2025-11-12,1504.TW,1144789666.4453783,96101448.26362243
2025-11-13,1504.TW,1144625519.1942306,96133479.38640638
2025-11-14,1504.TW,1144378407.9755445,96180643.43315922
2025-11-17,1504.TW,1145303956.799705,95939235.08399731
2025-11-18,1504.TW,1145327058.2075825,95919321.70689423
2025-11-19,1504.TW,1145295314.469334,95912681.56833024
2025-11-20,1504.TW,1145319122.3170516,95892513.35597664
2025-11-21,1504.TW,1145382567.33782,95865743.70714383
2025-11-24,1504.TW,1145698766.6310048,95776919.42428526
2025-11-25,1504.TW,1146073462.5194001,95679470.46202318
2025-11-26,1504.TW,1146214455.3414938,95640955.39236371
2025-11-27,1504.TW,1146051346.2517939,95675214.98566754
2025-11-28,1504.TW,1145623976.6300347,95774402.74092923
2025-12-01,1504.TW,1145747810.858928,95740591.53929989
2025-12-02,1504.TW,1145769375.4378304,95732589.74579768
2025-12-03,1504.TW,1145698196.6880941,95747363.02822323
2025-12-04,1504.TW,1146284718.7579699,95603571.37407297
2025-12-05,1504.TW,1146832040.2920403,95470436.8624834
2025-12-08,1504.TW,1147092468.4490979,95407773.92279404
2025-12-09,1504.TW,1146897312.8508697,95457462.42275304
2025-12-10,1504.TW,1146748447.531295,95496584.28840835
2025-12-11,1504.TW,1145533375.4522946,95797528.16962963
2025-12-12,1504.TW,1144998822.1331484,95930091.6224547
2025-12-15,1504.TW,1144756259.603198,95994144.63231872
2025-12-16,1504.TW,1144030872.8940778,96178347.60000908
2025-12-17,1504.TW,1143703804.330222,96265880.81886747
2025-12-18,1504.TW,1143363768.3202004,96356544.46795008
2025-12-19,1504.TW,1143124885.7950993,96418271.41082281
2025-12-22,1504.TW,1143036693.3518922,96450858.02406602
2025-12-23,1504.TW,1143091789.718144,96448064.31516595
2025-12-24,1504.TW,1142976414.9197226,96487043.61746825
2025-12-25,1504.TW,1142838646.9619296,96529580.83915038
2025-12-26,1504.TW,1142712925.3219507,96574883.33066021
2025-12-29,1504.TW,1142532284.6532304,96625618.06176072
2025-12-30,1504.TW,1141909148.978124,96793419.59059405
2025-12-31,1504.TW,1142294276.432339,96716813.52843148
2026-01-01,1504.TW,1142495644.9491675,96681918.24208687
2026-01-02,1504.TW,1142500819.5052726,96700424.97888225
2026-01-05,1504.TW,1142281947.3415902,96770671.1661625
2026-01-06,1504.TW,1141767321.0317695,96904632.24747567
2026-01-07,1504.TW,1140721864.6062899,97183161.92310785
2026-01-08,1504.TW,1139852923.0519664,97413383.9390403
2026-01-09,1504.TW,1139565038.8155046,97511001.99646874
2026-01-12,1504.TW,1137810296.2030945,97959220.75911795
2026-01-13,1504.TW,1136897564.660428,98191659.71467605
2026-01-14,1504.TW,1136948423.8828034,98189632.82313293
2026-01-15,1504.TW,1136474495.8529375,98317938.00415221
2026-01-16,1504.TW,1136527091.8036392,98316444.6564716
2026-01-19,1504.TW,1136330258.606374,98375367.96529675
2026-01-20,1504.TW,1136433921.2723937,98362764.89761661
2026-01-21,1504.TW,1136340128.2009184,98397850.43357763
2026-01-22,1504.TW,1136235553.1905684,98455374.33622846
2026-01-23,1504.TW,1135944519.323074,98545458.93549448
2026-01-26,1504.TW,1135288510.9747589,98714964.55146784
2026-01-27,1504.TW,1135004933.2045557,98793872.57787292
2026-01-28,1504.TW,1135167584.884433,98762462.55827397
2026-01-29,1504.TW,1134389033.6576178,98967845.34125106
2026-01-30,1504.TW,1133974190.5735166,99073724.53194979
2026-02-02,1504.TW,1133604562.9137566,99174662.62253349
2026-02-03,1504.TW,1134415309.9322813,98983789.8302262
2026-02-04,1504.TW,1134242376.5690265,99030107.00754532
2026-02-05,1504.TW,1133585314.9297233,99193436.49284989
2026-02-06,1504.TW,1133947067.623921,99108219.00085598
2026-02-09,1504.TW,1134107818.391582,99070582.84109715
2026-02-10,1504.TW,1133866873.5107944,99129321.12340903
2026-02-11,1504.TW,1133822495.6276813,99139583.91473228
2026-02-12,1504.TW,1133642674.491236,99181334.36081333
2026-02-13,1504.TW,1133114776.2120523,99307014.83453773
2026-02-16,1504.TW,1133027647.6554098,99322566.00374387
2026-02-17,1504.TW,1132194099.3077304,99517149.36122483
2026-02-18,1504.TW,1131502563.0433369,99675578.00254022
2026-02-19,1504.TW,1131032109.081072,99782746.75562507
2026-02-20,1504.TW,1131558272.1762793,99643591.26415448
2026-02-23,1504.TW,1131888929.382002,99552937.45643392
2026-02-24,1504.TW,1131810643.5668457,99558835.8398681
2026-02-25,1504.TW,1131809440.6495016,99537989.28264745
2026-02-26,1504.TW,1131189091.5511303,99675478.1631796
2026-02-27,1504.TW,1131414157.5755048,99607164.29209302
2026-03-02,1504.TW,1132029033.4070258,99446379.5415119
2026-03-03,1504.TW,1133872838.5350828,98966738.85847539
2026-03-04,1504.TW,1135452885.113699,98555878.21191971
2026-03-05,1504.TW,1135753990.6573725,98471879.82425976
2026-03-06,1504.TW,1136605628.0106137,98245637.35236719
2026-03-09,1504.TW,1137094191.678339,98110276.49713208
2026-03-10,1504.TW,1137486469.2988517,97998654.14806202
2026-03-11,1504.TW,1138101035.0030203,97831055.70263432
2026-03-12,1504.TW,1138196117.7094524,97794474.73898965
2026-03-13,1504.TW,1138048469.650614,97814245.11335313
2026-03-16,1504.TW,1138923304.8507493,97583547.28119555
2026-03-17,1504.TW,1139091955.7937596,97528247.53936495
2026-03-18,1504.TW,1139657429.9483602,97376709.65307209
2026-03-19,1504.TW,1140614900.3882837,97114584.4473202
2026-03-20,1504.TW,1141216599.5528126,96943629.51294984
2026-03-23,1504.TW,1141094630.2558446,96950339.61328383
2026-03-24,1504.TW,1140683412.2565598,97029264.04588354
2026-03-25,1504.TW,1140742800.7265835,96995847.87581886
2026-03-26,1504.TW,1140995394.4657269,96914991.86203074
2026-03-27,1504.TW,1141188326.1146376,96845045.7437349
2026-03-30,1504.TW,1141620678.733775,96720783.2380087
2026-03-31,1504.TW,1142148484.9399078,96570380.01207888
2026-04-01,1504.TW,1142146419.6176982,96549730.45007429
2026-04-02,1504.TW,1142124772.9052656,96541316.98686802
2026-04-03,1504.TW,1142136382.4638488,96527299.67225687
2026-04-06,1504.TW,1142882321.918019,96337379.28383972
2026-04-07,1504.TW,1143346312.1240497,96214720.123358
2026-04-08,1504.TW,1143709953.677055,96119527.3437199
2026-04-09,1504.TW,1144119726.7997267,96016178.44213322
2026-04-10,1504.TW,1143286491.9275577,96211566.94206047
2026-04-13,1504.TW,1142591035.0633543,96372869.52957718
2026-04-14,1504.TW,1142934078.4557,96287571.72970949
2026-04-15,1504.TW,1143530327.4510753,96140914.59355462
2026-04-16,1504.TW,1143384323.2603183,96175722.662123
2026-04-17,1504.TW,1142702206.3343775,96342499.86746007
2026-04-20,1504.TW,1142531131.737652,96385360.2109886
2026-04-21,1504.TW,1142574569.6480536,96377843.44895066
2026-04-22,1504.TW,1141751610.98579,96581735.66657655
2026-04-23,1504.TW,1140375989.5440035,96922905.70404437
2026-04-24,1504.TW,1140183238.7020922,96976919.55526032
2026-04-27,1504.TW,1138581374.0262768,97379736.7513955
2026-04-28,1504.TW,1137410518.9344327,97685626.75129253
2026-04-29,1504.TW,1135751557.201659,98101111.24096338
2026-04-30,1504.TW,1135627342.2625675,98141755.77538939
2026-05-01,1504.TW,1135945699.6151485,98076335.49275777
2026-05-04,1504.TW,1135187941.544481,98271901.2713762
2026-05-05,1504.TW,1135470888.5901954,98223806.74851845
2026-05-06,1504.TW,1133884834.4561713,98628967.18498307
2026-05-07,1504.TW,1134147665.299437,98588642.89473712
2026-05-08,1504.TW,1133119500.8638644,98856186.88566242
2026-05-11,1504.TW,1134002413.854209,98677509.14748314
2026-05-12,1504.TW,1132475132.043065,99080909.92130868
2026-05-13,1504.TW,1132060064.5136878,99210611.78693227
2026-05-14,1504.TW,1132293393.478627,99173527.48562512
2026-05-15,1504.TW,1131200565.6302989,99468823.10480708
2026-05-18,1504.TW,1131197799.2988114,99488846.25144242
2026-05-19,1504.TW,1131503270.861445,99447771.71376207
2026-05-20,1504.TW,1131805418.1116807,99403646.10806419
2026-05-21,1504.TW,1131134958.7787433,99602680.97004488
2026-05-22,1504.TW,1130092421.2264264,99874983.1978906
2026-05-25,1504.TW,1128854054.9568088,100201448.73595366
2026-05-26,1504.TW,1129022564.4355764,100179669.26993737
2026-05-27,1504.TW,1128782108.0186336,100259174.7343603
2026-05-28,1504.TW,1128654359.0164716,100307435.06686963
2026-05-29,1504.TW,1128390365.234703,100383076.11011499
2026-06-01,1504.TW,1127587285.3017375,100593531.59828924
2026-06-02,1504.TW,1126764160.821721,100817811.63530174
2026-06-03,1504.TW,1127011399.2336366,100773110.55302016
2026-06-04,1504.TW,1126329222.166572,100952379.00710176
2026-06-05,1504.TW,1125114135.6020794,101273317.20730989
2026-06-08,1504.TW,1124980130.5679512,101318436.7457225
2026-06-09,1504.TW,1124113298.5460186,101541712.15837039
2026-06-10,1504.TW,1125164561.2113833,101295690.00858225
2026-06-11,1504.TW,1124888651.5585876,101374285.14052044
2026-06-12,1504.TW,1124837770.1678672,101395793.71956433
2026-06-15,1504.TW,1123903051.1463766,101631507.26393706
2026-06-16,1504.TW,1123306321.4453204,101781736.56024292
2026-06-17,1504.TW,1122825480.7719448,101903301.27267116
2026-06-18,1504.TW,1122860771.021377,101899102.14897197
2026-06-19,1504.TW,1123074756.9920712,101848228.89657533
2026-06-22,1504.TW,1122706783.608288,101938754.8486288
2026-06-23,1504.TW,1121983323.0988615,102113783.78625044
2026-06-24,1504.TW,1121599991.7008743,102204693.76715744
2026-06-25,1504.TW,1121729832.2936418,102170299.68303926
2026-06-26,1504.TW,1121014976.5237532,102338625.107904
2026-06-29,1504.TW,1120469137.627691,102464301.90129746
2026-06-30,1504.TW,1121625495.244438,102174148.47107406
2026-07-01,1504.TW,1121754864.086265,102136197.9124034
2026-07-02,1504.TW,1121649117.9844868,102153472.56471577
2026-07-03,1504.TW,1122250178.473155,101994665.15362717
2026-07-06,1504.TW,1122573635.1926322,101904701.81160001
2026-07-07,1504.TW,1122810981.3646877,101834114.84233883
2026-07-08,1504.TW,1122221939.4495883,101967623.24902453
2026-07-09,1504.TW,1121969632.5225933,102017280.34812978
2026-07-10,1504.TW,1124645624.5076303,101336495.5263111
2026-07-13,1504.TW,1124495183.4633093,101352619.20024781
2026-07-14,1504.TW,1124668236.5076096,101293944.76906192
2026-07-15,1504.TW,1125312836.6148248,101102302.3379025
2026-07-16,1504.TW,1125599909.286683,101007261.74156438
2026-07-17,1504.TW,1125300499.4021754,101065410.75056191
2026-07-20,1504.TW,1125095506.7365494,101107121.47609153
2026-07-21,1504.TW,1125333206.503562,101029664.43897991
2026-07-22,1504.TW,1126663875.782836,100677130.0032691
2026-07-23,1504.TW,1127831079.1982403,100363588.35855108
2026-07-24,1504.TW,1129194906.0579524,100017744.79705486
2026-07-27,1504.TW,1129778179.9165761,99851391.4356218
2026-07-28,1504.TW,1130094652.1572654,99753944.99350543
2026-07-29,1504.TW,1131690190.7116957,99341090.17950709
2026-07-30,1504.TW,1131891556.1215556,99277957.71091947
2026-07-31,1504.TW,1131839891.4559216,99263798.57384804
2026-08-03,1504.TW,1131810592.9070573,99245961.45574577
2026-08-04,1504.TW,1132389423.5431447,99086287.47368936
2025-10-01,1513.TW,1142000000.0,97100000.0
2025-10-02,1513.TW,1142638652.953276,96942558.86817335
2025-10-03,1513.TW,1143253984.9792001,96790499.96617745
2025-10-06,1513.TW,1143218867.6983414,96796585.10110717
2025-10-07,1513.TW,1143339243.6792834,96763251.68937196
2025-10-08,1513.TW,1143944299.0522761,96607129.21162274
2025-10-09,1513.TW,1144170581.1535912,96544917.24033828
2025-10-10,1513.TW,1144507308.1132925,96455736.06349403
2025-10-13,1513.TW,1144909024.0110536,96350276.19710514
2025-10-14,1513.TW,1145310035.6585755,96240298.18754563
2025-10-15,1513.TW,1145773167.947055,96119383.92541307
2025-10-16,1513.TW,1146091476.6355205,96025438.62755986
2025-10-17,1513.TW,1146876015.7548313,95825503.01168782
2025-10-20,1513.TW,1147097458.2204134,95756355.63819243
2025-10-21,1513.TW,1147393309.875257,95677303.93973525
2025-10-22,1513.TW,1147288676.9715788,95695285.04896896
2025-10-23,1513.TW,1147481545.0642724,95635878.9401937
2025-10-24,1513.TW,1147204654.1813018,95691486.71259846
2025-10-27,1513.TW,1148169045.7942636,95432278.65990719
2025-10-28,1513.TW,1148955895.9054391,95228215.19534858
2025-10-29,1513.TW,1149560031.9676943,95067738.10615984
2025-10-30,1513.TW,1149195664.4367702,95142063.75785391
2025-10-31,1513.TW,1149461646.8676689,95064422.24320948
2025-11-03,1513.TW,1149893182.962122,94947278.70644604
2025-11-04,1513.TW,1149687233.9887662,94984275.56442636
2025-11-05,1513.TW,1149887273.7427,94916121.60232131
2025-11-06,1513.TW,1149434110.7434018,95012313.60765976
2025-11-07,1513.TW,1149157449.0117068,95069982.16393848
2025-11-10,1513.TW,1149558455.207132,94960789.24007903
