Date,Ticker,ForeignNetAmount,InvestmentTrustNetAmount,DealerNetAmount
2025-11-06,1503.TW,482258.64990994416,110520.73448004136,365036.72553230246
2025-11-07,1503.TW,-786990.7029943356,-1354714.8630303587,-594128.994304257
2025-11-10,1503.TW,667149.5588598324,1552275.3956905717,192079.88369848172
2025-11-11,1503.TW,-350598.530799382,-465323.5418676258,-26404.8076468952
2025-11-12,1503.TW,15811.465292638051,991463.1431719019,859435.7951700706
2025-11-13,1503.TW,-994742.4880290226,-323815.4099138458,-1357547.657691942
2025-11-14,1503.TW,113770.14871373487,701088.3037761388,693831.1793207946
2025-11-17,1503.TW,1091953.9460954377,-128858.56691136415,-64018.48912619531
2025-11-18,1503.TW,-107813.43301256547,-287555.22194446,-172997.07618970767
2025-11-19,1503.TW,632611.4060125246,-546548.1073593729,304830.8626579172
2025-11-20,1503.TW,300596.64867954014,-1118760.2513481707,-353133.91334507655
2025-11-21,1503.TW,895824.9129355755,-10424.391487350484,303266.7697433323
2025-11-24,1503.TW,-1213923.629223804,-3135896.038469865,-656524.8945432226
2025-11-25,1503.TW,538656.855885406,-1685195.7909820124,-70978.18492899928
2025-11-26,1503.TW,-2112939.2347560613,-952299.6394199047,103288.14083312283
2025-11-27,1503.TW,-1028969.4186801391,693597.542454453,512464.4120588561
2025-11-28,1503.TW,421187.6547005712,916788.5572264516,321452.57107890863
2025-12-01,1503.TW,277206.5190592995,836431.3830757481,-112980.57351645187
2025-12-02,1503.TW,-834372.8466280699,970334.8401894836,327025.25202637666
2025-12-03,1503.TW,1848511.26521485,301049.9854134303,471271.5518690287
2025-12-04,1503.TW,-331355.0319832355,-26130.36237384042,-15753.669534387895
2025-12-05,1503.TW,-588477.6470858664,-82367.62060963508,192267.777237926
2025-12-08,1503.TW,-74291.49870193507,-385430.1232838309,-62985.220791377986
2025-12-09,1503.TW,879582.1359235729,-485424.62378658884,74087.6552593364
2025-12-10,1503.TW,-622940.3871646707,2141840.342950811,1022685.1380731375
2025-12-11,1503.TW,-8807.446746137051,763418.5202513403,111974.8139102198
2025-12-12,1503.TW,928800.9317680802,902030.6196297631,-50959.03505782572
2025-12-15,1503.TW,400102.7388422205,-939709.6545594563,-367506.700801427
2025-12-16,1503.TW,1042125.0669048355,-921698.2942887034,-662961.6540563996
2025-12-17,1503.TW,169373.62998903665,1103716.866796457,248678.6796507195
2025-12-18,1503.TW,-88976.77820183744,2440967.154259629,760464.1281641244
2025-12-19,1503.TW,275835.0509595322,102220.53020704395,141769.5127950174
2025-12-22,1503.TW,-174359.06418389885,209577.53167549986,380187.07204713265
2025-12-23,1503.TW,-2051021.6902288352,-2445418.6685375557,-859597.905885635
2025-12-24,1503.TW,-766622.6187715662,-1532460.763354892,-35640.2207851999
2025-12-25,1503.TW,161190.81235383957,-1391540.7240627017,-106050.6292201195
2025-12-26,1503.TW,374328.85239625804,-1534585.162391549,131289.07376384066
2025-12-29,1503.TW,-1876138.440500367,-2145658.006740866,561099.935279531
2025-12-30,1503.TW,-332334.52247023815,-297902.8550608991,-573274.5450951367
2025-12-31,1503.TW,-249576.90247856418,489217.26611277205,-97397.6714424544
2026-01-01,1503.TW,1370631.940639964,461523.22115267045,318694.31198412174
2026-01-02,1503.TW,416432.0446929543,793296.0723896702,47973.266505287975
2026-01-05,1503.TW,-1466307.5438599028,-2035872.6359917377,-11217.159660981677
2026-01-06,1503.TW,434488.4108720268,-148555.6801029342,2786.0142424631267
2026-01-07,1503.TW,175857.9135416089,1228919.2933888917,131956.30893916189
2026-01-08,1503.TW,417916.758439487,973004.1128562085,-52843.7115052476
2026-01-09,1503.TW,-1701891.2352721235,2102995.033865822,375390.6357107558
2026-01-12,1503.TW,660141.2570272099,427618.93488839566,200809.70902769006
2026-01-13,1503.TW,509445.61610097525,2361932.7130590426,334381.0089436904
2026-01-14,1503.TW,1240859.013927371,-985787.333852561,-76441.66319636426
2026-01-15,1503.TW,100401.50775434727,353530.84200650116,209492.52033029136
2026-01-16,1503.TW,-273679.6804003208,-294915.8114156131,-191990.28379726963
2026-01-19,1503.TW,1019966.5572894785,1444844.0981291812,695777.2228254733
2026-01-20,1503.TW,208376.50709229617,858638.9977896606,283498.7757856216
2026-01-21,1503.TW,-547110.6977275457,-1391470.9425625778,-620192.9714916424
2026-01-22,1503.TW,-829196.924147378,-1618420.3730690312,2618.0811990233487
2026-01-23,1503.TW,647073.6940781354,309151.65087364154,-424716.6427004001
2026-01-26,1503.TW,-898480.6138891676,1538626.8510718895,-298757.77703410934
2026-01-27,1503.TW,477740.1092857726,1923985.4224537844,-510459.4279842311
2026-01-28,1503.TW,-331120.1942041543,-517303.9162041361,191829.15612231975
2026-01-29,1503.TW,-1151205.8813818053,515585.5054394582,-568693.5261631015
2026-01-30,1503.TW,2119311.56277239,57644.00398803331,-489104.9456662969
2026-02-02,1503.TW,120858.71916023715,-1067601.1022341894,-433574.2540403367
2026-02-03,1503.TW,-326460.0419543501,-1373071.2441591322,-386422.2904182845
2026-02-04,1503.TW,53817.12861614165,-834974.1349073104,-1043548.3366911141
2026-02-05,1503.TW,755196.3186748193,2259781.646421875,-13518.058126895223
2026-02-06,1503.TW,-513484.24249269,648754.5456917521,6102.956852450108
2026-02-09,1503.TW,921.7920184880204,-790317.3968598783,-293389.06484368903
2026-02-10,1503.TW,-1210705.9692674435,243080.82670690925,34950.970816473826
2026-02-11,1503.TW,449366.66996436653,1603071.0905598355,692327.2086931698
2026-02-12,1503.TW,-199868.5991414605,-2450895.092851319,-47341.203586706426
2026-02-13,1503.TW,2378540.36159253,2071789.2418359402,398182.73634597374
2026-02-16,1503.TW,2822.818694159505,1847090.5482377624,-320012.24034365907
2026-02-17,1503.TW,1591907.4885263122,2615460.071185824,480532.32497817266
2026-02-18,1503.TW,-53870.886384235055,1943287.9943867177,226149.0786454361
2026-02-19,1503.TW,109498.95171186904,2263473.128644431,659906.8270543409
2026-02-20,1503.TW,-265418.53406658315,-1138491.989755194,653289.3223598343
2026-02-23,1503.TW,-475408.59910469083,-406298.0715186892,-94146.78392642693
2026-02-24,1503.TW,269366.81237657607,-498533.1651666854,-397490.4112130516
2026-02-25,1503.TW,2546774.383212868,34883.42268802388,11384.111433376953
2026-02-26,1503.TW,348281.44832237985,2536942.5033208844,319543.1555702895
2026-02-27,1503.TW,120372.72695257208,-235201.34078051554,500063.50195259415
2026-03-02,1503.TW,-406256.27532569924,-822406.2416076607,-684789.1637210313
2026-03-03,1503.TW,-129883.41032356795,-479797.043619615,57784.38458861552
2026-03-04,1503.TW,-305739.15155468264,-600213.217588862,-241963.860012591
2026-03-05,1503.TW,925470.9567619658,-200913.84246328688,-379680.94177626766
2026-03-06,1503.TW,-1103028.1445544777,-1342194.74336786,-495222.2657889874
2026-03-09,1503.TW,2164123.123438346,1791576.7567145664,-259435.48974634253
2026-03-10,1503.TW,738806.6817811842,1724299.340409558,483465.0675028381
2026-03-11,1503.TW,-566329.7929191759,946539.4599105928,554664.7662728801
2026-03-12,1503.TW,-663550.6584440004,69783.89357867319,77587.9859551261
2026-03-13,1503.TW,215772.67627656372,1003061.8854781473,-466265.6658801728
2026-03-16,1503.TW,-804880.5864518555,-960316.591495662,427786.37939320935
2026-03-17,1503.TW,621319.6049568071,395623.6884072112,329606.92394102813
2026-03-18,1503.TW,741698.2039944753,-791031.5058469789,70720.4152897076
2026-03-19,1503.TW,595552.7911366901,1773138.3689533311,338309.6054152953
2026-03-20,1503.TW,-243419.98057520375,-1432655.1031326621,-225296.55126850033
2026-03-23,1503.TW,-155520.7549621352,484564.02687944897,469785.24565602676
2026-03-24,1503.TW,-630549.6014270366,593992.3635404157,142379.59712481647
2026-03-25,1503.TW,-146892.01655901293,3179747.66535636,1081860.9898332225
2026-03-26,1503.TW,383606.5678044228,548976.2337824376,-50032.61678315679
2026-03-27,1503.TW,1629634.0289699498,505044.15157233516,612706.3089337961
2026-03-30,1503.TW,1238881.6433701515,94402.46313699195,157464.66178669786
2026-03-31,1503.TW,-388693.27986714686,-998428.2208208696,-429070.8392655378
2026-04-01,1503.TW,-130865.21216381929,1625515.5405922434,71166.04750997561
2026-04-02,1503.TW,1858379.4484558038,1028329.9815737819,403016.6411680579
2026-04-03,1503.TW,677704.9697299318,1933218.3979349483,-179744.22536425895
2026-04-06,1503.TW,-699622.6464585976,-1238116.0396265974,-1091106.935950848
2026-04-07,1503.TW,207358.66788831138,-725476.4090340219,76834.06568977213
2026-04-08,1503.TW,-66634.07239832534,-204472.7970372044,94672.59984950544
2026-04-09,1503.TW,-1565339.6936061773,-3229437.95248055,-450470.37396708503
2026-04-10,1503.TW,-721877.1588259065,2340368.716380004,-84972.82638857875
2026-04-13,1503.TW,-524355.6659976551,324645.0995072139,145988.74414880268
2026-04-14,1503.TW,53092.76056939125,414673.0491888636,481569.14407469734
2026-04-15,1503.TW,1295577.8905794937,-1420024.0859642366,-825891.3336017258
2026-04-16,1503.TW,-271764.11632261076,396247.0830736922,701111.5259480021
2026-04-17,1503.TW,1308347.875769054,-20973.88681932335,-512341.49639229506
2026-04-20,1503.TW,1118017.5284261073,1791010.358303721,823942.6228750909
2026-04-21,1503.TW,86394.43350844533,-1913470.0610752683,21885.60382568714
2026-04-22,1503.TW,-1536428.7744954387,3417925.7200332796,767987.5276129744
2026-04-23,1503.TW,-353954.374151791,1052810.2068324857,-203506.9774946354
2026-04-24,1503.TW,-2130519.309626158,1914550.2467773259,175162.96669586917
2026-04-27,1503.TW,1283334.5153951163,379349.20782787947,396293.79989886394
2026-04-28,1503.TW,-1441910.592058466,-247131.9182918715,-369535.6858144288
2026-04-29,1503.TW,-189437.0018381381,272877.1166922822,-16724.875248992277
2026-04-30,1503.TW,-1026706.986762121,-439062.25082662015,214392.47048949852
2026-05-01,1503.TW,580116.7964043213,189821.09557246353,223607.84441440998
2026-05-04,1503.TW,-759398.5638097111,379176.77549081075,297659.00053251453
2026-05-05,1503.TW,1147567.4492192443,20932.168065272446,578563.303148515
2026-05-06,1503.TW,-238285.94157750392,4773281.4293701975,481611.0557453148
2026-05-07,1503.TW,-1264149.1523518704,909841.2696822975,-50318.76521195777
2026-05-08,1503.TW,-928210.552216954,-236457.8205923702,-828270.8049482105
2026-05-11,1503.TW,-45780.08644691072,-723319.3167036487,733684.7833976765
2026-05-12,1503.TW,582289.78403455,-465223.1335066605,349579.5877162706
2026-05-13,1503.TW,-1517127.9342734448,-1390496.509930449,453606.627334742
2026-05-14,1503.TW,457771.92974244757,-152452.47045675956,-400557.74629529315
2026-05-15,1503.TW,1537592.2779608688,303605.3757122749,-386378.6212043314
2026-05-18,1503.TW,-684475.4884484992,-2062192.72164034,89900.74069166882
2026-05-19,1503.TW,-173386.6330575687,-892593.6219558306,-341513.36107933195
2026-05-20,1503.TW,-2508160.5114746196,-2721360.6029992253,-200017.59537502046
2026-05-21,1503.TW,1085322.1566800412,-3233786.749584067,-986559.5530474337
2026-05-22,1503.TW,200933.70131236495,612042.0861195922,-84294.31463011824
2026-05-25,1503.TW,531237.188047162,-168508.10625490392,188501.77982987923
2026-05-26,1503.TW,-378806.6352026579,-721470.7863342214,148717.93657387627
2026-05-27,1503.TW,690651.6463266759,98076.30008259983,-187878.89584184485
2026-05-28,1503.TW,-1201380.974558972,-1508076.6156888523,-85242.5800935876
2026-05-29,1503.TW,-748458.5461224958,-2740018.7578280508,-461101.0104249623
2026-06-01,1503.TW,-490663.14805989683,-187570.35393090727,696400.5337707215
2026-06-02,1503.TW,-2408329.3682851284,-4365063.130094581,-1856158.5563484428
2026-06-03,1503.TW,-1185508.9319301164,-2887047.6563679883,-606856.5262585582
2026-06-04,1503.TW,36389.431185708716,224830.61218334362,-711526.4675875461
2026-06-05,1503.TW,191389.65679994813,1519473.0599674077,-170926.95049517628
2026-06-08,1503.TW,427193.5500609021,-1822934.5889845241,-914256.1891502339
2026-06-09,1503.TW,-527589.0101869394,107306.91144458752,149432.53982654616
2026-06-10,1503.TW,-578040.6060133488,-4119172.8992532855,-629114.7871718042
2026-06-11,1503.TW,229693.06087332306,626891.3043107062,229271.1090956664
2026-06-12,1503.TW,773745.4732809751,547646.2633661476,-905588.7844590128
2026-06-15,1503.TW,287433.62999507086,1092315.718217986,81602.21637078763
2026-06-16,1503.TW,1331412.5615354641,1267021.818241177,17612.725124002172
2026-06-17,1503.TW,-704471.174549892,380349.87611104845,-283643.4222302641
2026-06-18,1503.TW,46629.019381766324,1043181.6878485375,977596.1547789621
2026-06-19,1503.TW,-1312267.1109117265,232191.79725171695,248725.3131924137
2026-06-22,1503.TW,117858.42785972128,641562.1871050369,-179331.40801693415
2026-06-23,1503.TW,-269281.6706123971,1020449.2612496752,562718.971025522
2026-06-24,1503.TW,-2694722.621830426,-638028.5463173704,423128.4220987404
2026-06-25,1503.TW,92673.77164147813,-211106.82472642994,-173937.73416787872
2026-06-26,1503.TW,-643244.489624161,2914418.714079847,213619.53832909907
2026-06-29,1503.TW,325027.61576131993,2574495.9337700596,-531493.9130000607
2026-06-30,1503.TW,162732.4681361466,577791.5120129413,164423.4775215147
2026-07-01,1503.TW,2432530.8720824793,-3727049.0427401448,-121543.97862343257
2026-07-02,1503.TW,-208860.97029090306,306502.3982585515,203663.9127624081
2026-07-03,1503.TW,-2959874.5876397523,-1029251.493944804,1982772.5386096267
2026-07-06,1503.TW,-760277.5098891162,-399872.78114599094,-536077.576015339
2026-07-07,1503.TW,-771930.4930643323,618878.9404837869,931259.3901460227
2026-07-08,1503.TW,622864.7398000248,6285218.654325105,1639364.383313627
2026-07-09,1503.TW,310285.0434370405,4058918.8318332667,732025.7555011862
2026-07-10,1503.TW,-455004.0768256949,-573583.4353674051,132215.7515133528
2026-07-13,1503.TW,462777.31927493005,136821.3736033757,-75812.28542672434
2026-07-14,1503.TW,533378.2846130253,1137795.9445529399,558072.6614801517
2026-07-15,1503.TW,871217.965861717,1945575.615739639,15916.43988188202
2026-07-16,1503.TW,595653.4364281265,64144.89964933584,-45790.67338404367
2026-07-17,1503.TW,1579700.932022295,4709416.357172901,1522614.9900887557
2026-07-20,1503.TW,252305.69789110648,1829274.396249977,353195.6937375361
2026-07-21,1503.TW,1315072.2584918411,384648.708434801,-7852.85600870198
2026-07-22,1503.TW,918392.1366765766,-1103281.1066481606,1150014.9108694787
2026-07-23,1503.TW,-950135.5155916843,-379641.9141129922,870481.3548770539
2026-07-24,1503.TW,1660307.5976437228,-80691.97294476259,-422784.8411105505
2026-07-27,1503.TW,-36692.178574442914,-241137.13216840895,371277.20283212495
2026-07-28,1503.TW,-1494483.4767369048,-2217718.8482129145,-500330.563522314
2026-07-29,1503.TW,268576.2796844808,1517482.9275330296,260377.64064110033
2026-07-30,1503.TW,345704.90161653614,-798044.0696644242,242725.44514021213
2026-07-31,1503.TW,998578.8634600095,2236518.0640271422,403169.2452715047
2026-08-03,1503.TW,515465.418783183,2120903.141557751,1366859.3534439185
2026-08-04,1503.TW,-1531800.422523442,-251556.8000088377,-262889.8259461504
2025-10-01,1504.TW,-602520.7366187375,-231248.12913700717,35565.58988802066
2025-10-02,1504.TW,-7259.330879329122,-524421.9546745404,262038.0781208778
2025-10-03,1504.TW,57849.79523583247,1055372.1094202138,109862.36238829643
2025-10-06,1504.TW,-171573.06001904287,-104063.18949426623,-107215.3186659253
2025-10-07,1504.TW,-275853.2084899228,-598600.1253842278,-173517.0456258871
2025-10-08,1504.TW,2101642.9092525863,1128569.3530269486,-203950.148880862
2025-10-09,1504.TW,-409235.2031457058,-1155071.5745890327,-156235.06736172125
2025-10-10,1504.TW,-358437.09133305866,469546.57365063776,-218640.95495872025
2025-10-13,1504.TW,-700499.5345340477,214748.01144927918,87424.68832456456
2025-10-14,1504.TW,2679.2814367082174,-541668.6520823762,-191953.33243030967
2025-10-15,1504.TW,547535.5566219011,1722076.2937277472,-264875.96382073103
2025-10-16,1504.TW,-378658.68563699257,224400.58821486958,-471623.45169573085
2025-10-17,1504.TW,-1538082.4975541646,-601424.5980773461,-915259.6054136222
2025-10-20,1504.TW,49426.384438586654,1199304.6261520775,281895.33596703736
2025-10-21,1504.TW,35282.00697616364,165244.04780088173,221470.69599345882
2025-10-22,1504.TW,-278177.9030581495,239187.88098307693,22714.91487491235
2025-10-23,1504.TW,570628.8818235076,854710.2504439787,176000.29674913018
2025-10-24,1504.TW,700922.1276850209,2853111.778009685,489190.2939422584
2025-10-27,1504.TW,395947.28800826176,263645.7923759874,-204572.10268582945
2025-10-28,1504.TW,-135242.9363935062,-753803.1649955538,-399069.04505965003
2025-10-29,1504.TW,-1205265.3053320851,-831950.4854453497,66072.33470595299
2025-10-30,1504.TW,-357467.51777430053,2850152.9837622116,-151850.0488026259
2025-10-31,1504.TW,-1291974.2671056394,1466496.9076836435,87134.57151504188
2025-11-03,1504.TW,265020.0051628774,961780.9834157656,132296.80180043218
2025-11-04,1504.TW,1042704.8672363847,2488310.7797850794,706276.1875490904
2025-11-05,1504.TW,681057.7741813937,741300.8636276035,5606.71323058875
2025-11-06,1504.TW,47233.69496320275,663964.550226361,333228.2661138866
2025-11-07,1504.TW,548175.8298807042,575980.3298330164,-18503.175487987057
2025-11-10,1504.TW,153629.0610376167,329127.84997522004,25132.724652277415
2025-11-11,1504.TW,-702739.6768460636,1102851.553279016,475688.4894660219
2025-11-12,1504.TW,-442339.6014729472,1945822.6883078194,-100544.86827560392
2025-11-13,1504.TW,-46205.44160490122,990317.3749624784,268388.209533878
2025-11-14,1504.TW,-188147.2634013414,1750495.2019200784,-119779.01516440528
2025-11-17,1504.TW,-534748.482076657,-1506648.2502195495,-431448.3005201169
2025-11-18,1504.TW,-530056.17167259,1492362.96820508,-101339.77630478342
2025-11-19,1504.TW,655809.5933446176,975515.3220637505,77839.16679513533
2025-11-20,1504.TW,-675690.969416448,1180629.2036864297,-73028.16371262458
2025-11-21,1504.TW,1029343.9552891167,1116289.4998943596,56279.93399666632
2025-11-24,1504.TW,-598787.2206103207,317630.86759986216,137022.25089679545
2025-11-25,1504.TW,253170.30638839072,-295583.16572353337,-97661.39766096158
2025-11-26,1504.TW,-331785.3958901525,-240171.00688933165,116233.48204091266
2025-11-27,1504.TW,-80303.8357919621,1013858.1709579567,-175205.0484456717
2025-11-28,1504.TW,541563.2698510487,1512109.862861083,-75934.049095475
2025-12-01,1504.TW,1334966.6406960126,214180.2807356929,190717.30894082325
2025-12-02,1504.TW,-26442.90039147873,165069.64962426756,-52578.7646976868
2025-12-03,1504.TW,328489.6619015173,145747.02593138846,-675931.0192583739
2025-12-04,1504.TW,596102.0721580067,-1457148.206083848,-742982.2036535424
2025-12-05,1504.TW,3221854.3676275234,-1516178.58132968,-332638.4932449011
2025-12-08,1504.TW,-65888.76805574898,-637747.332186446,185024.26006208014
2025-12-09,1504.TW,2265736.6321025626,74386.51103652979,-92932.02001158686
2025-12-10,1504.TW,-768802.1017307438,213790.80790855992,-46145.455410403636
2025-12-11,1504.TW,366022.41973027645,2258425.686109407,-42257.83023955906
2025-12-12,1504.TW,739744.2046011593,1351655.6810935526,239234.8393019483
2025-12-15,1504.TW,1116561.5679379203,532044.2327513484,261771.1998152944
2025-12-16,1504.TW,1285663.2673401434,1300006.9268374976,-310186.1923587245
2025-12-17,1504.TW,-556876.5287183718,123994.02052739557,-150206.109375477
2025-12-18,1504.TW,514417.47174358775,396094.1027148611,-161987.2910640194
2025-12-19,1504.TW,-434516.9857452634,530449.2960192369,172213.3198673978
2025-12-22,1504.TW,-352575.5875759949,-749235.120755121,344988.2308952092
2025-12-23,1504.TW,-810637.1283237259,-957838.4629913456,-236453.61653806857
2025-12-24,1504.TW,975551.0710020652,-289871.41171248234,-391730.13129015843
2025-12-25,1504.TW,774108.0741983989,-452464.96101053467,432339.5369620786
2025-12-26,1504.TW,650504.743089448,-571536.8911059366,-594131.151157417
2025-12-29,1504.TW,-157761.01551410323,-52220.757477406965,487462.86667355325
2025-12-30,1504.TW,-419677.0401148425,273503.86109945155,-48369.73398790002
2025-12-31,1504.TW,-879355.1868132199,-2457538.1907818504,-348622.2270266528
2026-01-01,1504.TW,209470.18268344447,-1538522.5223066981,-427303.32646171446
2026-01-02,1504.TW,-521456.30449924216,-1624991.0282297216,75475.4768334646
2026-01-05,1504.TW,532070.7671447017,-813604.4318037804,201011.08195512556
2026-01-06,1504.TW,326073.0904771532,748976.4407451564,76693.01407522438
2026-01-07,1504.TW,-742968.7350065261,941108.0793934811,-427325.1771949171
2026-01-08,1504.TW,-951169.1773905768,1489945.9910588984,424446.550631623
2026-01-09,1504.TW,-950207.4243195355,-1822047.2912601926,-302231.97938398994
2026-01-12,1504.TW,-898665.3861155385,3523474.2982197255,-311760.3626287027
2026-01-13,1504.TW,273892.8457853406,1735803.572090243,-58504.952267640096
2026-01-14,1504.TW,-409023.1803621293,-576820.6819588786,-219721.8464710455
2026-01-15,1504.TW,-305500.7658629896,253522.9697304132,364249.95187387615
2026-01-16,1504.TW,527654.0058878108,-963966.4004662634,118781.68542918668
2026-01-19,1504.TW,-1179715.3692201478,-259049.45156754312,51048.87847337399
2026-01-20,1504.TW,-201231.35547538093,-1063865.6712965367,-499119.7455418003
2026-01-21,1504.TW,41725.84997414041,-588913.656520876,-11058.442750753791
2026-01-22,1504.TW,2867445.6031310433,-2591450.3470813464,145435.70130931557
2026-01-23,1504.TW,3107690.503555769,-823167.8455452907,124922.57138317636
2026-01-26,1504.TW,-222306.08145340404,1078589.3640521667,464180.197249515
2026-01-27,1504.TW,-107996.52447216903,87726.98353002216,-171727.81594464998
2026-01-28,1504.TW,-544113.9649492489,-1251561.260781114,-395004.21830445295
2026-01-29,1504.TW,71594.34614784791,407285.7794129508,-457803.34059946064
2026-01-30,1504.TW,555080.9957113999,885370.0583826228,-71637.34367193487
2026-02-02,1504.TW,-2262174.636912144,-59090.08555306334,-875985.1087063991
2026-02-03,1504.TW,-2333617.1394521305,-2589036.6188399377,-278943.6221198588
2026-02-04,1504.TW,-1287995.648196854,16962.164441980713,470401.9829361285
2026-02-05,1504.TW,-9579.192900251015,1457736.664277108,918112.5770054493
2026-02-06,1504.TW,1011960.1713858929,-1024527.1875917527,-47131.41802465101
2026-02-09,1504.TW,329973.8497172529,-580393.6354731666,153685.2778240915
2026-02-10,1504.TW,123234.1774264144,881908.1208409132,398526.71872529684
2026-02-11,1504.TW,-88833.16499929153,202930.4132909226,184585.90026015713
2026-02-12,1504.TW,-913800.6835413822,656762.918019483,504973.56509857305
2026-02-13,1504.TW,-217958.12577044521,1668869.347363354,620230.3036049502
2026-02-16,1504.TW,580084.3586958272,190151.23585462506,-390337.20221242215
2026-02-17,1504.TW,1464585.9634229164,2772773.109931398,1031122.2824974327
2026-02-18,1504.TW,-79087.22952363605,2219638.0806478355,846590.8102276116
2026-02-19,1504.TW,-538734.570709347,1091546.4321391527,543115.6378514916
2026-02-20,1504.TW,-279907.3607871338,-405190.14938641974,145670.27699433215
2026-02-23,1504.TW,143821.40028934262,-209805.54982530052,502230.05709708773
2026-02-24,1504.TW,304377.0316693393,1048053.2714592502,298726.48137997417
2026-02-25,1504.TW,1278089.5406921115,1503952.7750558779,1597640.3238590849
2026-02-26,1504.TW,823046.8379523319,2603318.5017585354,51427.18477950804
2026-02-27,1504.TW,452535.3054518204,453454.90816975385,378871.73553865764
2026-03-02,1504.TW,-178860.64714612346,-683519.4254172666,291650.6442887269
2026-03-03,1504.TW,-209576.93542810593,-2286607.749997723,-1318630.7501602713
2026-03-04,1504.TW,1818663.808632823,-1779210.1240025647,-771017.2184837952
2026-03-05,1504.TW,173058.10195726046,22568.242747053795,-31716.3972649449
2026-03-06,1504.TW,-929680.6299286654,-871546.1529439874,-334864.9187366039
2026-03-09,1504.TW,685303.7114458056,-73324.25497620228,-136931.86311416866
2026-03-10,1504.TW,-198766.1198922729,528365.6720638081,-89436.89579907974
2026-03-11,1504.TW,-536708.1007703075,-24513.271667755325,723403.4168585364
2026-03-12,1504.TW,-17223.826409914735,789783.7849979805,126159.50285680158
2026-03-13,1504.TW,989522.8108583493,1430438.375318152,-4976.907105169783
2026-03-16,1504.TW,325553.0817790644,-953580.7239774643,98551.95512962606
2026-03-17,1504.TW,50376.39737964756,679237.0702934915,77470.21564323804
2026-03-18,1504.TW,-392965.27355113934,-193884.17311900697,-45919.632601567675
2026-03-19,1504.TW,-1253244.2421233894,-1021220.8779338883,59756.08242053129
2026-03-20,1504.TW,665195.5641880826,296457.9403207738,-49319.18358001553
2026-03-23,1504.TW,3274122.4208506555,1555818.8037841984,124784.13502794574
2026-03-24,1504.TW,-238139.8266608416,2788561.57005844,72083.80500626349
2026-03-25,1504.TW,1812805.9165973228,1426219.2467160928,-781121.9647470608
2026-03-26,1504.TW,-31747.61641784187,569353.2253644415,216834.12912868193
2026-03-27,1504.TW,1552523.3780428888,1043774.2437427333,378861.593654069
2026-03-30,1504.TW,-6825.755215210331,-423484.06503454805,-805392.097970981
2026-03-31,1504.TW,-338966.33750247944,412955.36692640843,-41007.411718215306
2026-04-01,1504.TW,549714.1810582821,1937730.2797626578,-266816.39673801756
2026-04-02,1504.TW,-188778.24256597768,849161.3939850747,-445595.69655883464
2026-04-03,1504.TW,716569.5982245954,814691.2905776496,254769.40567341956
2026-04-06,1504.TW,-1358149.5809800187,-1526302.3102539813,-58584.51712016092
2026-04-07,1504.TW,565122.2649313565,-368891.67176925397,230819.00702093693
2026-04-08,1504.TW,-559787.9385791844,-869452.0657668947,565915.9308005462
2026-04-09,1504.TW,78823.56272482112,-835566.6576686552,17050.218992393202
2026-04-10,1504.TW,-228832.75727023254,3380187.1331100063,131230.30233801767
2026-04-13,1504.TW,1545586.9516824114,3053628.539805703,-1262130.0900286334
2026-04-14,1504.TW,1061764.7654270113,-763768.7013299186,-122920.06950666136
