group,file,reason
OTHER,VIA_Supportive_HardGate_Seal.json,HardGate/封印/防火牆（VRN runtime 治理）
OTHER,VIA_Supportive_HardGate_Seal.ps1,HardGate/封印/防火牆（VRN runtime 治理）
OTHER,VIA_Supportive_Runtime_HardGate_Bridge - 複製.py,備份/複本
OTHER,VIA_Supportive_Runtime_HardGate_Bridge.py,HardGate/封印/防火牆（VRN runtime 治理）
OTHER,VIA_Supportive_Runtime_HardGate_Bridge.py - 複製.bak_v139Q_20260526_164759,備份/複本
OTHER,VIA_Supportive_Runtime_HardGate_Bridge.py.bak_v139Q_20260526_164759,備份/複本
OTHER,VIA_VRN_HardGate_Bridge_Seal - 複製.json,備份/複本
OTHER,VIA_VRN_HardGate_Bridge_Seal.json,VRN 財報管線/政策/指令中心
OTHER,VIS_InstallHealthRegistry.py,安裝健康登錄
OTHER,VIS_InstallHealthRegistry.py - 複製.bak_v139O_20260526_163546,備份/複本
OTHER,VIS_InstallHealthRegistry.py.bak_v139O_20260526_163546,備份/複本
OTHER,VIS_InstallHealthRegistry_VRN_v0213.json,VRN 財報管線/政策/指令中心
OTHER,VIS_InstallHealthRegistry_VRN_v0213.md,VRN 財報管線/政策/指令中心
OTHER,VIS_InstallHealthRegistry_VRN_v02141.json,VRN 財報管線/政策/指令中心
OTHER,VIS_InstallHealthRegistry_VRN_v02141.md,VRN 財報管線/政策/指令中心
OTHER,VIS_InstallHealthRegistry_VRN_v02142.json,VRN 財報管線/政策/指令中心
OTHER,VIS_InstallHealthRegistry_VRN_v02142.md,VRN 財報管線/政策/指令中心
OTHER,VIS_InstallHealthRegistry_VRN_v02143.json,VRN 財報管線/政策/指令中心
OTHER,VIS_InstallHealthRegistry_VRN_v02143.md,VRN 財報管線/政策/指令中心
OTHER,VIS_Supportive_Module_ActiveRoot_Index - 複製.csv,備份/複本
OTHER,VIS_Supportive_Module_ActiveRoot_Index.csv,索引/設定/清單
OTHER,VIS_Supportive_Module_Index.json,索引/設定/清單
OTHER,VIS_Supportive_Module_OthersArchive_Index - 複製.csv,備份/複本
OTHER,VIS_Supportive_Module_OthersArchive_Index.csv,索引/設定/清單
OTHER,VIS_VRN_BasicInfoFinancialQualityRules_v0100.py,VRN 財報管線/政策/指令中心
OTHER,VIS_VRN_BrokerAlias_Compatibility_v0222 - 複製.py,備份/複本
OTHER,VIS_VRN_BrokerAlias_Compatibility_v0222.py,VRN 財報管線/政策/指令中心
OTHER,VIS_VRN_BrokerAlias_Compatibility_v0222.py - 複製.bak_v139O_20260526_163546,備份/複本
OTHER,VIS_VRN_BrokerAlias_Compatibility_v0222.py.bak_v139O_20260526_163546,備份/複本
OTHER,VIS_VRN_BrokerAlias_Extension_v0224.py,VRN 財報管線/政策/指令中心
OTHER,VIS_VRN_BrokerAlias_Extension_v0224.py - 複製.bak_v139O_20260526_163546,備份/複本
OTHER,VIS_VRN_BrokerAlias_Extension_v0224.py.bak_v139O_20260526_163546,備份/複本
OTHER,VIS_VRN_BrokerAnalystAdapters_v06146 - 複製.py,備份/複本
OTHER,VIS_VRN_BrokerAnalystAdapters_v06146.py,VRN 財報管線/政策/指令中心
OTHER,VIS_VRN_BrokerAnalystAdapters_v06146.py - 複製.bak_v139O_20260526_163546,備份/複本
OTHER,VIS_VRN_BrokerAnalystAdapters_v06146.py.bak_v139O_20260526_163546,備份/複本
OTHER,VIS_VRN_EligibleRed_SingleFileRerunManifest_v0101.json,VRN 財報管線/政策/指令中心
OTHER,VIS_VRN_EligibleRed_SingleFileRerunManifest_v0102.json,VRN 財報管線/政策/指令中心
OTHER,VIS_VRN_EligibleRed_SourceAliasMap_v0100.json,VRN 財報管線/政策/指令中心
OTHER,VIS_VRN_EligibleRed_SourceAliasMap_v0100.py,VRN 財報管線/政策/指令中心
OTHER,VIS_VRN_EligibleRed_SourceAliasMap_v0101.json,VRN 財報管線/政策/指令中心
OTHER,VIS_VRN_EligibleRed_SourceAliasMap_v0101.py,VRN 財報管線/政策/指令中心
OTHER,VIS_VRN_EligibleRed_SourceAliasMap_v0102.json,VRN 財報管線/政策/指令中心
OTHER,VIS_VRN_EligibleRed_SourceAliasMap_v0102.py,VRN 財報管線/政策/指令中心
OTHER,VIS_VRN_EligibleYellow_TableSplitQueue_v0100.json,VRN 財報管線/政策/指令中心
OTHER,VIS_VRN_FinancialRescueRules_v06126 - 複製.py,備份/複本
OTHER,VIS_VRN_FinancialRescueRules_v06126.py,VRN 財報管線/政策/指令中心
OTHER,VIS_VRN_FinancialRescueRules_v06126.py - 複製.bak_v139O_20260526_163546,備份/複本
OTHER,VIS_VRN_FinancialRescueRules_v06126.py.bak_v139O_20260526_163546,備份/複本
OTHER,VIS_VRN_FinancialSSOT_v0599 - 複製.py,備份/複本
OTHER,VIS_VRN_FinancialSSOT_v0599.py,VRN 財報管線/政策/指令中心
OTHER,VIS_VRN_FinancialSSOT_v0599.py - 複製.bak_v139O_20260526_163546,備份/複本
OTHER,VIS_VRN_FinancialSSOT_v0599.py.bak_v139O_20260526_163546,備份/複本
OTHER,VIS_VRN_FinancialSSOT_v0608 - 複製.py,備份/複本
OTHER,VIS_VRN_FinancialSSOT_v0608.py,VRN 財報管線/政策/指令中心
OTHER,VIS_VRN_FinancialSSOT_v0608.py - 複製.bak_v139O_20260526_163547,備份/複本
OTHER,VIS_VRN_FinancialSSOT_v0608.py.bak_v139O_20260526_163547,備份/複本
OTHER,VIS_VRN_GeometryReconstructor_v0100.py,VRN 財報管線/政策/指令中心
OTHER,VIS_VRN_HistoricalValidationPolicy_v0100.py,VRN 財報管線/政策/指令中心
OTHER,VIS_VRN_InputRoutePolicy_v0224 - 複製.py,備份/複本
OTHER,VIS_VRN_InputRoutePolicy_v0224.py,VRN 財報管線/政策/指令中心
OTHER,VIS_VRN_InputRoutePolicy_v0224.py - 複製.bak_v139O_20260526_163547,備份/複本
OTHER,VIS_VRN_InputRoutePolicy_v0224.py.bak_v139O_20260526_163547,備份/複本
OTHER,VIS_VRN_InstallHealth_Precheck_v0216.ps1,VRN 財報管線/政策/指令中心
OTHER,VIS_VRN_MasterRegistryBridge_v0611.py,VRN 財報管線/政策/指令中心
OTHER,VIS_VRN_MasterRegistryBridge_v0611.py - 複製.bak_v139O_20260526_163547,備份/複本
OTHER,VIS_VRN_MasterRegistryBridge_v0611.py.bak_v139O_20260526_163547,備份/複本
OTHER,VIS_VRN_NewReportCompatibilityGate_v01 - 複製.py,備份/複本
OTHER,VIS_VRN_NewReportCompatibilityGate_v01.py,VRN 財報管線/政策/指令中心
OTHER,VIS_VRN_NewReportCompatibilityGate_v01.py - 複製.bak_v139O_20260526_163547,備份/複本
OTHER,VIS_VRN_NewReportCompatibilityGate_v01.py.bak_v139O_20260526_163547,備份/複本
OTHER,VIS_VRN_PDFTextLayerFallbackPlan_v0222 - 複製.py,備份/複本
OTHER,VIS_VRN_PDFTextLayerFallbackPlan_v0222.py,VRN 財報管線/政策/指令中心
OTHER,VIS_VRN_PDFTextLayerFallbackPlan_v0222.py.bak_v139O_20260526_163547,備份/複本
OTHER,VIS_VRN_Q1_AliasRoutePatch_v0100.md,VRN 財報管線/政策/指令中心
OTHER,VIS_VRN_Q1_AliasRoutePatch_v0100.py,VRN 財報管線/政策/指令中心
OTHER,VIS_VRN_SupportiveGapRegistry_v0224.json,VRN 財報管線/政策/指令中心
OTHER,VIS_VRN_TWOfficialYFinance_v06051.py,VRN 財報管線/政策/指令中心
OTHER,VIS_VRN_TWOfficialYFinance_v06051.py.bak_v139O_20260526_163547,備份/複本
OTHER,VIS_VRN_TableGeometryReconstructorPolicy_v0101.json,VRN 財報管線/政策/指令中心
OTHER,VIS_VRN_TableGeometryReconstructor_v0100.py,VRN 財報管線/政策/指令中心
OTHER,VIS_VRN_TableGeometryReconstructor_v0101.py,VRN 財報管線/政策/指令中心
OTHER,VIS_VRN_TableHeaderPeriodOriginalRestore_v0100.py,VRN 財報管線/政策/指令中心
OTHER,VRN_BasicInfoFinancialQualityRules_v0100.md,VRN 財報管線/政策/指令中心
OTHER,VRN_Guarded_Command_Index_v217.html,VRN 財報管線/政策/指令中心
OTHER,VRN_HistoricalValidationPolicy_v0100.md,VRN 財報管線/政策/指令中心
OTHER,VRN_Resonance_Command_Center_v2192_PURE_NOHANG - 複製.html,備份/複本
OTHER,VRN_Resonance_Command_Center_v2192_PURE_NOHANG.html,VRN 財報管線/政策/指令中心
OTHER,VRN_Resonance_Dashboard_UI_Lock_v2191_NOHANG - 複製.html,備份/複本
OTHER,VRN_Resonance_Dashboard_UI_Lock_v2191_NOHANG.html,VRN 財報管線/政策/指令中心
OTHER,VRN_VisualLock_Command_Center_v2193_VPN35 - 複製.html,備份/複本
OTHER,VRN_VisualLock_Command_Center_v2193_VPN35.html,VRN 財報管線/政策/指令中心
OTHER,VeritasAegisNexus.py - 複製.bak_v139G_20260526_025057,備份/複本
OTHER,VeritasAegisNexus.py.bak_v139G_20260526_025057,備份/複本
OTHER,via_hardgate_config.json,HardGate/封印/防火牆（VRN runtime 治理）
