"category","mode","risk","priority","path","reason","action"
"Risk Signal","SEQUENTIAL_GATED","MEDIUM","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\Invoke-VDF-Fetch.ps1","Signal: DATABASE","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","HIGH","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\Invoke-VDF-Fetch.ps1","Signal: Stop-Process","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","MEDIUM","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\Invoke-VDF.ps1","Signal: DATABASE","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","HIGH","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\Invoke-VDF.ps1","Signal: Stop-Process","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","MEDIUM","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL007_SSOTResolver.py","Signal: canonical","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","MEDIUM","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL103_MasterRegistry.py","Signal: canonical","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","MEDIUM","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL401_RegistrySchema.json","Signal: canonical","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","MEDIUM","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VRN\VRN_MDL003_TableRestorer.py","Signal: canonical","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","MEDIUM","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VRN\VRN_MDL004_OCR_FetchingPDFTable_v1.py","Signal: canonical","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","MEDIUM","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VRN\VRN_MDL005_OCRFetchingPDFText_v1.py","Signal: canonical","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","MEDIUM","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VRN\VRN_MDL006_ConsolidatorAndPhaseValidator.py","Signal: canonical","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","MEDIUM","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VRN\VRN_MDL007_APIDataFetcher.py","Signal: canonical","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","MEDIUM","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VRN\VRN_MDL008_CrossValidator.py","Signal: canonical","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","MEDIUM","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\10_Core_Runtime\VIA_RuntimeImportFirewall.py","Signal: canonical","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","MEDIUM","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\20_Registry_SSOT\VIA_SSOT_Unified.py","Signal: DATABASE","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","MEDIUM","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\20_Registry_SSOT\VIA_SSOT_Unified.py","Signal: canonical","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","HIGH","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\20_Registry_SSOT\VIA_SSOT_Unified.py","Signal: Stop-Process","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","HIGH","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\20_Registry_SSOT\VIA_SSOT_Unified.py","Signal: Remove-Item","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","HIGH","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\20_Registry_SSOT\VIA_SSOT_Unified.py","Signal: Invoke-Expression","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","MEDIUM","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\20_Registry_SSOT\VIS_Supportive_Module_Index.html","Signal: canonical","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","MEDIUM","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\20_Registry_SSOT\VIS_Supportive_Module_Index.json","Signal: canonical","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","HIGH","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\40_Environment_Health\VIA_EnvManager.py","Signal: Remove-Item","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","MEDIUM","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\50_Protection_Acceleration\VeritasCeleritas.py","Signal: DATABASE","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","HIGH","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\60_PowerShell_Entry_Internal\Invoke-VIA-ALL.ps1","Signal: Remove-Item","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","HIGH","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\60_PowerShell_Entry_Internal\Invoke-VIA-FinishProject-SafeFast.ps1","Signal: Stop-Process","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","HIGH","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\60_PowerShell_Entry_Internal\Invoke-VIA-FinishProject-SafeFast.ps1","Signal: Remove-Item","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","HIGH","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\60_PowerShell_Entry_Internal\Invoke-VIA-PanoramaHardGateSafeFix.ps1","Signal: Stop-Process","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","HIGH","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\60_PowerShell_Entry_Internal\Invoke-VIA-PanoramaHardGateSafeFix.ps1","Signal: Remove-Item","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","MEDIUM","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\60_PowerShell_Entry_Internal\Invoke-VRN-MQ-NoOCR-Staging-v222.ps1","Signal: canonical","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","MEDIUM","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\70_VRN_Rules\VIS_VRN_BrokerAlias_Compatibility_v0222.py","Signal: canonical","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","MEDIUM","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\70_VRN_Rules\VIS_VRN_BrokerAlias_Extension_v0224.py","Signal: canonical","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","MEDIUM","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\70_VRN_Rules\VIS_VRN_BrokerAnalystAdapters_v06146.py","Signal: canonical","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","MEDIUM","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\70_VRN_Rules\VIS_VRN_FinancialRescueRules_v06126.py","Signal: canonical","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","MEDIUM","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\70_VRN_Rules\VIS_VRN_FinancialSSOT_v05910.py","Signal: canonical","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","MEDIUM","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\70_VRN_Rules\VIS_VRN_FinancialSSOT_v05911.py","Signal: canonical","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","MEDIUM","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\70_VRN_Rules\VIS_VRN_FinancialSSOT_v05912.py","Signal: canonical","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","MEDIUM","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\70_VRN_Rules\VIS_VRN_FinancialSSOT_v0599.py","Signal: canonical","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","MEDIUM","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\70_VRN_Rules\VIS_VRN_FinancialSSOT_v0600.py","Signal: canonical","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","MEDIUM","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\70_VRN_Rules\VIS_VRN_HistoricalValidationPolicy_v0100.py","Signal: DATABASE","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","MEDIUM","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\70_VRN_Rules\VIS_VRN_InputRoutePolicy_v0224.py","Signal: canonical","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","MEDIUM","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\70_VRN_Rules\VIS_VRN_NewReportCompatibilityGate_v01.py","Signal: canonical","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","MEDIUM","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\70_VRN_Rules\VIS_VRN_Q1_AliasRoutePatch_v0100.py","Signal: canonical","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","MEDIUM","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\70_VRN_Rules\VIS_VRN_SupportiveGapRegistry_v0224.json","Signal: canonical","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","MEDIUM","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\70_VRN_Rules\VIS_VRN_TableGeometryReconstructorPolicy_v0101.json","Signal: canonical","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","MEDIUM","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\70_VRN_Rules\VIS_VRN_TableGeometryReconstructor_v0101.py","Signal: canonical","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","MEDIUM","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\70_VRN_Rules\VIS_VRN_TableHeaderPeriodOriginalRestore_v0100.py","Signal: canonical","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","MEDIUM","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\80_VETF_Supportive_Sort\VETF_VIA_RuntimeImportFirewall.py","Signal: canonical","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","MEDIUM","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\80_VETF_Supportive_Sort\VETF_VIA_SSOT_Unified.py","Signal: DATABASE","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","MEDIUM","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\80_VETF_Supportive_Sort\VETF_VIA_SSOT_Unified.py","Signal: canonical","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","HIGH","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\80_VETF_Supportive_Sort\VETF_VIA_SSOT_Unified.py","Signal: Stop-Process","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","HIGH","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\80_VETF_Supportive_Sort\VETF_VIA_SSOT_Unified.py","Signal: Remove-Item","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","HIGH","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\80_VETF_Supportive_Sort\VETF_VIA_SSOT_Unified.py","Signal: Invoke-Expression","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","MEDIUM","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\80_VETF_Supportive_Sort\VETF_VIS_InstallHealthRegistry_VRN_v02143.json","Signal: canonical","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","MEDIUM","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\80_VETF_Supportive_Sort\VETF_VIS_VRN_FinancialRescueRules_v06126.py","Signal: canonical","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","MEDIUM","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\80_VETF_Supportive_Sort\VETF_VIS_VRN_HistoricalValidationPolicy_v0100.py","Signal: DATABASE","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","MEDIUM","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexus_registry\VDF_VRN_CrossLinks.json","Signal: canonical","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","MEDIUM","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\toolkits\VIA_TurboOptimizer\VIA_TurboOptimizer_v3.ps1","Signal: canonical","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","HIGH","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\toolkits\VIA_TurboOptimizer\VIA_TurboOptimizer_v3.ps1","Signal: Remove-Item","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","HIGH","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\.venv\vdf_core\Scripts\Activate.ps1","Signal: Remove-Item","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","HIGH","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\.venv\via_core\Scripts\Activate.ps1","Signal: Remove-Item","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","MEDIUM","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE\VDF_RiskEventCalendar.csv","Signal: DATABASE","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","MEDIUM","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_ACTIVE_POINTER.json","Signal: canonical","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","MEDIUM","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_ACTIVE_TRIFLOW_POINTER.json","Signal: DATABASE","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","MEDIUM","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_ACTIVE_TRIFLOW_POINTER.json","Signal: canonical","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","MEDIUM","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_ALLFLOW_MASTER_POINTER.json","Signal: canonical","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","MEDIUM","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_freeze\VDF_LATEST_AKSHARE_CANDIDATE_STAGING_SEAL_POINTER.json","Signal: canonical","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","MEDIUM","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_freeze\VDF_LATEST_FINAL_SEAL_POINTER.json","Signal: DATABASE","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","MEDIUM","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_freeze\VDF_LATEST_FRED_CANONICAL_POST_MERGE_AUDIT_SEAL_POINTER.json","Signal: canonical","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","MEDIUM","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_freeze\VDF_LATEST_FRED_GLOBAL_MACRO_MERGE_SEAL_POINTER.json","Signal: canonical","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","MEDIUM","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_freeze\VDF_LATEST_FRED_SMALL_SCOPE_SEAL_POINTER.json","Signal: canonical","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","MEDIUM","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_freeze\VDF_LATEST_MOPS_MONTHLY_REVENUE_RECLASSIFY_POINTER.json","Signal: canonical","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","MEDIUM","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_freeze\VDF_LATEST_MOPS_MONTHLY_REVENUE_SEAL_POINTER.json","Signal: canonical","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","MEDIUM","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_freeze\VDF_LATEST_YFINANCE_SEED_SEAL_POINTER.json","Signal: DATABASE","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","MEDIUM","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_ssot\VDF_DataScope_HeaderRegistry_Matrix.csv","Signal: DATABASE","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","MEDIUM","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_ssot\VDF_DataScope_HeaderRegistry_Matrix.html","Signal: DATABASE","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","HIGH","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_ssot\VDF_DataScope_HeaderRegistry_Matrix.html","Signal: Stop-Process","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","MEDIUM","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_ssot\VDF_DataScope_HeaderRegistry_Matrix.json","Signal: DATABASE","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","MEDIUM","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_ssot\VDF_DataScope_HeaderRegistry_SSOT.json","Signal: DATABASE","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","MEDIUM","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_ssot\VDF_Extraction_FieldMatrix.csv","Signal: DATABASE","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","MEDIUM","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_ssot\VDF_Extraction_FieldMatrix.html","Signal: DATABASE","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","HIGH","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_ssot\VDF_Extraction_FieldMatrix.html","Signal: Stop-Process","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","MEDIUM","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_ssot\VDF_Extraction_FieldMatrix.json","Signal: DATABASE","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","MEDIUM","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_ssot\VDF_Extraction_Params_SSOT.json","Signal: DATABASE","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","MEDIUM","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_ssot\VDF_OutputDatabase_DataScope_Matrix.csv","Signal: DATABASE","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","MEDIUM","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_ssot\VDF_OutputDatabase_DataScope_Matrix.html","Signal: DATABASE","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","HIGH","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_ssot\VDF_OutputDatabase_DataScope_Matrix.html","Signal: Stop-Process","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","MEDIUM","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_ssot\VDF_OutputDatabase_DataScope_Matrix.json","Signal: DATABASE","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","MEDIUM","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_ssot\VDF_SupportiveTools_ImportManifest.json","Signal: DATABASE","Review before execution. Keep read-only until approved."
