"Layer","Class","Risk","Metric","Value","Reason","Action","Path"
"ManualReview","REVIEW_BUT_NOT_BLOCKER","MEDIUM","pattern","Stop-Process","Active script path; review required, but not blocker unless execution risk confirmed.","Manual review required; not auto-fix. Confirm whether pattern is guarded/commented/non-executing.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUAL_PROJECT_SAFE_PARALLEL_GATE_v02872_20260611_205436\launchers\Start-VDF-Lane1-FinalSealHealth.ps1"
"ManualReview","REVIEW_BUT_NOT_BLOCKER","MEDIUM","pattern","Stop-Process","Active script path; review required, but not blocker unless execution risk confirmed.","Manual review required; not auto-fix. Confirm whether pattern is guarded/commented/non-executing.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUAL_PROJECT_SAFE_PARALLEL_GATE_v02872_20260611_205436\launchers\Start-VDF-Lane2-ReadOnlyInventory.ps1"
"ManualReview","REVIEW_BUT_NOT_BLOCKER","MEDIUM","pattern","Stop-Process","Active script path; review required, but not blocker unless execution risk confirmed.","Manual review required; not auto-fix. Confirm whether pattern is guarded/commented/non-executing.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUAL_PROJECT_SAFE_PARALLEL_GATE_v02872_20260611_205436\launchers\Start-VDF-Lane3-EnvSupportiveHardGate.ps1"
"ManualReview","REVIEW_BUT_NOT_BLOCKER","MEDIUM","pattern","Stop-Process","Active script path; review required, but not blocker unless execution risk confirmed.","Manual review required; not auto-fix. Confirm whether pattern is guarded/commented/non-executing.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUAL_PROJECT_SAFE_PARALLEL_GATE_v02872_20260611_205436\launchers\Start-VRN-Lane1-EntryHealth.ps1"
"ManualReview","REVIEW_BUT_NOT_BLOCKER","MEDIUM","pattern","Stop-Process","Active script path; review required, but not blocker unless execution risk confirmed.","Manual review required; not auto-fix. Confirm whether pattern is guarded/commented/non-executing.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUAL_PROJECT_SAFE_PARALLEL_GATE_v02872_20260611_205436\launchers\Start-VRN-Lane2-IOInventory.ps1"
"ManualReview","REVIEW_BUT_NOT_BLOCKER","MEDIUM","pattern","Stop-Process","Active script path; review required, but not blocker unless execution risk confirmed.","Manual review required; not auto-fix. Confirm whether pattern is guarded/commented/non-executing.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUAL_PROJECT_SAFE_PARALLEL_GATE_v02872_20260611_205436\launchers\Start-VRN-Lane3-EngineCapability.ps1"
"ManualReview","REVIEW_BUT_NOT_BLOCKER","MEDIUM","pattern","Stop-Process","Active script path; review required, but not blocker unless execution risk confirmed.","Manual review required; not auto-fix. Confirm whether pattern is guarded/commented/non-executing.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUAL_PROJECT_USERTEST_CONSOLE_v02873_20260611_205808\commands\UserTest-Start-VDF-Lane1-FinalSealHealth.ps1"
"ManualReview","REVIEW_BUT_NOT_BLOCKER","MEDIUM","pattern","Stop-Process","Active script path; review required, but not blocker unless execution risk confirmed.","Manual review required; not auto-fix. Confirm whether pattern is guarded/commented/non-executing.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUAL_PROJECT_USERTEST_CONSOLE_v02873_20260611_205808\commands\UserTest-Start-VDF-Lane2-ReadOnlyInventory.ps1"
"ManualReview","REVIEW_BUT_NOT_BLOCKER","MEDIUM","pattern","Stop-Process","Active script path; review required, but not blocker unless execution risk confirmed.","Manual review required; not auto-fix. Confirm whether pattern is guarded/commented/non-executing.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUAL_PROJECT_USERTEST_CONSOLE_v02873_20260611_205808\commands\UserTest-Start-VDF-Lane3-EnvSupportiveHardGate.ps1"
"ManualReview","REVIEW_BUT_NOT_BLOCKER","MEDIUM","pattern","Stop-Process","Active script path; review required, but not blocker unless execution risk confirmed.","Manual review required; not auto-fix. Confirm whether pattern is guarded/commented/non-executing.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUAL_PROJECT_USERTEST_CONSOLE_v02873_20260611_205808\commands\UserTest-Start-VRN-Lane1-EntryHealth.ps1"
"ManualReview","REVIEW_BUT_NOT_BLOCKER","MEDIUM","pattern","Stop-Process","Active script path; review required, but not blocker unless execution risk confirmed.","Manual review required; not auto-fix. Confirm whether pattern is guarded/commented/non-executing.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUAL_PROJECT_USERTEST_CONSOLE_v02873_20260611_205808\commands\UserTest-Start-VRN-Lane2-IOInventory.ps1"
"ManualReview","REVIEW_BUT_NOT_BLOCKER","MEDIUM","pattern","Stop-Process","Active script path; review required, but not blocker unless execution risk confirmed.","Manual review required; not auto-fix. Confirm whether pattern is guarded/commented/non-executing.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUAL_PROJECT_USERTEST_CONSOLE_v02873_20260611_205808\commands\UserTest-Start-VRN-Lane3-EngineCapability.ps1"
"ManualReview","REVIEW_BUT_NOT_BLOCKER","MEDIUM","pattern","Stop-Process","Active script path; review required, but not blocker unless execution risk confirmed.","Manual review required; not auto-fix. Confirm whether pattern is guarded/commented/non-executing.","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\Invoke-VRN.ps1"
"ManualReview","REVIEW_BUT_NOT_BLOCKER","MEDIUM","pattern","pip install","Active script path; review required, but not blocker unless execution risk confirmed.","Manual review required; not auto-fix. Confirm whether pattern is guarded/commented/non-executing.","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\VRN_GO.ps1"
"ManualReview","REVIEW_BUT_NOT_BLOCKER","MEDIUM","pattern","Stop-Process","Active script path; review required, but not blocker unless execution risk confirmed.","Manual review required; not auto-fix. Confirm whether pattern is guarded/commented/non-executing.","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260526_151553_VRN_V139K_DUAL_CORE_SUPPORTIVE_COVERAGE\VRN_v139K_DualCore_Coverage_Analyzer.py"
"ManualReview","REVIEW_BUT_NOT_BLOCKER","MEDIUM","pattern","pip install","Active script path; review required, but not blocker unless execution risk confirmed.","Manual review required; not auto-fix. Confirm whether pattern is guarded/commented/non-executing.","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260526_151553_VRN_V139K_DUAL_CORE_SUPPORTIVE_COVERAGE\VRN_v139K_DualCore_Coverage_Analyzer.py"
"ManualReview","REVIEW_BUT_NOT_BLOCKER","MEDIUM","pattern","Stop-Process","Active script path; review required, but not blocker unless execution risk confirmed.","Manual review required; not auto-fix. Confirm whether pattern is guarded/commented/non-executing.","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260526_154258_VRN_V139L_TOP10_ACCELERATOR\VRN_v139L_Top10_Accelerator_Analyzer.py"
"ManualReview","REVIEW_BUT_NOT_BLOCKER","MEDIUM","pattern","pip install","Active script path; review required, but not blocker unless execution risk confirmed.","Manual review required; not auto-fix. Confirm whether pattern is guarded/commented/non-executing.","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260526_154258_VRN_V139L_TOP10_ACCELERATOR\VRN_v139L_Top10_Accelerator_Analyzer.py"
"ManualReview","REVIEW_BUT_NOT_BLOCKER","MEDIUM","pattern","Stop-Process","Active script path; review required, but not blocker unless execution risk confirmed.","Manual review required; not auto-fix. Confirm whether pattern is guarded/commented/non-executing.","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260526_154445_VRN_V139L_TOP10_ACCELERATOR\VRN_v139L_Top10_Accelerator_Analyzer.py"
"ManualReview","REVIEW_BUT_NOT_BLOCKER","MEDIUM","pattern","pip install","Active script path; review required, but not blocker unless execution risk confirmed.","Manual review required; not auto-fix. Confirm whether pattern is guarded/commented/non-executing.","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260526_154445_VRN_V139L_TOP10_ACCELERATOR\VRN_v139L_Top10_Accelerator_Analyzer.py"
"ManualReview","REVIEW_BUT_NOT_BLOCKER","MEDIUM","pattern","Stop-Process","Active script path; review required, but not blocker unless execution risk confirmed.","Manual review required; not auto-fix. Confirm whether pattern is guarded/commented/non-executing.","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260526_155826_VRN_V139M_RED_FALSE_POSITIVE_CRUSHER\VRN_v139M_RedFalsePositiveCrusher.py"
"ManualReview","REVIEW_BUT_NOT_BLOCKER","MEDIUM","pattern","pip install","Active script path; review required, but not blocker unless execution risk confirmed.","Manual review required; not auto-fix. Confirm whether pattern is guarded/commented/non-executing.","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260526_155826_VRN_V139M_RED_FALSE_POSITIVE_CRUSHER\VRN_v139M_RedFalsePositiveCrusher.py"
"ManualReview","REVIEW_BUT_NOT_BLOCKER","MEDIUM","pattern","Stop-Process","Active script path; review required, but not blocker unless execution risk confirmed.","Manual review required; not auto-fix. Confirm whether pattern is guarded/commented/non-executing.","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260526_164003_VRN_V139P_POST_BRIDGE_RESCORE\VRN_v139P_PostBridge_Rescore.py"
"ManualReview","REVIEW_BUT_NOT_BLOCKER","MEDIUM","pattern","Stop-Process","Active script path; review required, but not blocker unless execution risk confirmed.","Manual review required; not auto-fix. Confirm whether pattern is guarded/commented/non-executing.","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_u4d_u4f_smoke_basicinfo_normalizer_runs\U4D_U4F_SMOKE_BASICINFO_NORMALIZER_20260510_233208\U4D_U4F_SMOKE_BASICINFO_NORMALIZER.py"
"ManualReview","REVIEW_BUT_NOT_BLOCKER","MEDIUM","pattern","Stop-Process","Active script path; review required, but not blocker unless execution risk confirmed.","Manual review required; not auto-fix. Confirm whether pattern is guarded/commented/non-executing.","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_v23_normalized_ui_runs\VRN_V23_SCHEMA_UI_20260516_191102\VIA_SSOT_Unified.before_v23_20260516_191102.py"
"ManualReview","REVIEW_BUT_NOT_BLOCKER","MEDIUM","pattern","Stop-Process","Active script path; review required, but not blocker unless execution risk confirmed.","Manual review required; not auto-fix. Confirm whether pattern is guarded/commented/non-executing.","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_via_vrn_panorama_runs\VRN_PANORAMA_SAFE_AUDIT_20260505_131453\VRN_AST_AUDITOR.py"
"ManualReview","REVIEW_BUT_NOT_BLOCKER","MEDIUM","pattern","Stop-Process","Active script path; review required, but not blocker unless execution risk confirmed.","Manual review required; not auto-fix. Confirm whether pattern is guarded/commented/non-executing.","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_via_vrn_red_safe_runs\VRN_RED_SAFE_NEUTRALIZER_NEXT3_20260505_132304\Invoke-VRN-Next3-Processes.ps1"
