"Kind","Status","Risk","GeneratedAt","Path"
"JSON_RECORD","","","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_ACTIVATION_SMOKE_TEST_v02866_20260611_121401\registry\VIA_ActivationSmokeTest_Matrix_v02866.json"
"RUNTIME","ACTIVATION_SMOKE_READY_WITH_REVIEW","MEDIUM","06/11/2026 12:15:31","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_ACTIVATION_SMOKE_TEST_v02866_20260611_121401\runtime\VIA_ActivationSmokeTest_Runtime_v02866.json"
"JSON_RECORD","","","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_ACTIVATION_USERTEST_GATE_HOTFIX_v028651_20260611_115157\registry\VIA_Hotfix_Matrix_v028651.json"
"RUNTIME","ACTIVATION_USER_TEST_READY","LOW","06/11/2026 11:51:58","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_ACTIVATION_USERTEST_GATE_HOTFIX_v028651_20260611_115157\runtime\VIA_Hotfix_Runtime_v028651.json"
"JSON_RECORD","","","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_ACTIVATION_USERTEST_GATE_v02865_20260611_114925\registry\VIA_ActivationUserTestGate_Matrix_v02865.json"
"RUNTIME","BLOCKED_PARSE_REVIEW_REQUIRED","HIGH","06/11/2026 11:49:25","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_ACTIVATION_USERTEST_GATE_v02865_20260611_114925\runtime\VIA_ActivationUserTestGate_Runtime_v02865.json"
"JSON_RECORD","","","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_TEST_DEBUG_CONSOLIDATE_v02864_20260611_114523\registry\VIA_DebugConsolidate_Matrix_v02864.json"
"RUNTIME","READY_WITH_EXEC_RISK_REVIEW","MEDIUM","06/11/2026 11:45:31","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_TEST_DEBUG_CONSOLIDATE_v02864_20260611_114523\runtime\VIA_DebugConsolidate_Runtime_v02864.json"
"JSON_RECORD","USER_TEST_READY_WITH_EXEC_RISK_REVIEW","MEDIUM","06/11/2026 11:45:31","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_TEST_DEBUG_CONSOLIDATE_v02864_20260611_114523\plan\VIA_UserTestGate_v02864.json"
"JSON_RECORD","","","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_TEST_DEBUG_VDF_VRN_v02863_20260611_113944\registry\VIA_TestDebug_Matrix_v02863.json"
"RUNTIME","READY_WITH_BLOCKS_REVIEW_REQUIRED","HIGH","06/11/2026 11:40:09","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_TEST_DEBUG_VDF_VRN_v02863_20260611_113944\runtime\VIA_TestDebug_Runtime_v02863.json"
"JSON_RECORD","USER_TEST_READY_WITH_PARSE_REVIEW","MEDIUM","06/11/2026 11:40:09","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_TEST_DEBUG_VDF_VRN_v02863_20260611_113944\plan\VIA_UserTestGate_v02863.json"
"JSON_RECORD","","","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_SUPPORTIVE_DOCKING_VDF_VRN_v02861_20260611_112018\registry\VIA_SupportiveDocking_Matrix_v02861.json"
"RUNTIME","READY_WITH_BLOCKS_REVIEW_REQUIRED","HIGH","06/11/2026 11:20:51","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_SUPPORTIVE_DOCKING_VDF_VRN_v02861_20260611_112018\runtime\VIA_SupportiveDocking_RuntimeResult_v02861.json"
"JSON_RECORD","USER_TEST_READY_WITH_PARSE_REVIEW","MEDIUM","06/11/2026 11:20:51","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_SUPPORTIVE_DOCKING_VDF_VRN_v02861_20260611_112018\plan\VIA_UserTestGate_v02861.json"
"JSON_RECORD","VIA_VDF_VRN_LANE_PLAN_READY","MEDIUM","06/11/2026 11:20:51","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_SUPPORTIVE_DOCKING_VDF_VRN_v02861_20260611_112018\plan\VIA_VDF_VRN_LanePlan_v02861.json"
"JSON_RECORD","VIA_NEXUSCORE_ENV_PATH_VENV_PLAN_READY","MEDIUM","06/11/2026 11:10:04","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_PANORAMA3ROUND_VDF_VRN_ONECLICK_v02853_20260611_110956\plan\VIA_NexusCore_EnvPathVenvPlan_v02853.json"
"JSON_RECORD","","","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_PANORAMA3ROUND_VDF_VRN_SCRIPT_REPAIR_v02851_20260611_104333\registry\VIA_Panorama3Round_VDFVRN_Matrix_v02851.json"
"POINTER","VDF_ACTIVE_READER_USERTEST_READY","LOW","2026-06-09 21:55:17","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_PANORAMA3ROUND_VDF_VRN_ONECLICK_v02853_20260611_110956\backup\VDF_ACTIVE_POINTER_before_v02853_20260611_110956.json"
"JSON_RECORD","VIA_PANORAMA3ROUND_VDF_VRN_REPAIR_BLOCKED","HIGH","06/11/2026 10:43:40","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_PANORAMA3ROUND_VDF_VRN_SCRIPT_REPAIR_v02851_20260611_104333\runtime\via_panorama3round_vdf_vrn_result_v02851.json"
"JSON_RECORD","VIA_PANORAMA3ROUND_VDF_VRN_REPAIR_BLOCKED","HIGH","06/11/2026 10:43:40","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_PANORAMA3ROUND_VDF_VRN_SCRIPT_REPAIR_v02851_20260611_104333\plan\VIA_v0286_NextGatePlan_NO_DB_WRITE.json"
"JSON_RECORD","","","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_PANORAMA3ROUND_VDF_VRN_SCRIPT_REPAIR_v02851_20260611_104333\registry\VIA_Top10_LocalFreeLibs_Panorama3Round_v02851.json"
"AUDIT","VDF_AKSHARE_GENERATED_SCRIPT_REPAIR_BLOCKED","HIGH","06/11/2026 10:43:40","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_PANORAMA3ROUND_VDF_VRN_SCRIPT_REPAIR_v02851_20260611_104333\registry\VDF_AkShare_v02851_RepairedStaticAudit.json"
"JSON_RECORD","VDF_AKSHARE_GENERATED_SCRIPT_REPAIR_BLOCKED","HIGH","06/11/2026 10:43:40","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_PANORAMA3ROUND_VDF_VRN_SCRIPT_REPAIR_v02851_20260611_104333\plan\VDF_AkShare_v02851_RepairedGeneratedScriptReview.json"
"JSON_RECORD","VIA_VDF_VRN_5LANE_PLAN_READY","MEDIUM","06/11/2026 10:43:40","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_PANORAMA3ROUND_VDF_VRN_SCRIPT_REPAIR_v02851_20260611_104333\plan\VIA_VDF_VRN_5Lane_Plan_v02851.json"
"JSON_RECORD","VIA_TOOL_BUNDLE_INSTALL_PLAN_READY_NOT_RUN","MEDIUM","06/11/2026 10:43:37","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_PANORAMA3ROUND_VDF_VRN_SCRIPT_REPAIR_v02851_20260611_104333\plan\VIA_ToolBundle_InstallPlan_GUARDED_NOT_RUN_v02851.json"
"JSON_RECORD","","","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_PANORAMA3ROUND_VDF_VRN_SCRIPT_REPAIR_v02851_20260611_104333\registry\VIA_Panorama_ToolAvailability_v02851.json"
"JSON_RECORD","","","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_PANORAMA3ROUND_VDF_VRN_SCRIPT_REPAIR_v02851_20260611_104333\registry\VIA_Panorama_FileInventory_v02851.json"
"POINTER","VDF_ACTIVE_READER_USERTEST_READY","LOW","2026-06-09 21:55:17","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_PANORAMA3ROUND_VDF_VRN_SCRIPT_REPAIR_v02851_20260611_104333\backup\VDF_ACTIVE_POINTER_before_v02851_20260611_104333.json"
"JSON_RECORD","","","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_GENERATED_SCRIPT_REVIEW_v0285_20260611_101304\registry\VDF_AkShare_GeneratedScriptReview_Matrix_v0285.json"
"JSON_RECORD","","","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_GENERATED_SCRIPT_REVIEW_v0285_20260611_101304\registry\VDF_Top10_LocalFreeLibs_GeneratedScriptReview_v0285.json"
"JSON_RECORD","VDF_AKSHARE_GENERATED_SCRIPT_REVIEW_BLOCKED","HIGH","06/11/2026 10:13:04","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_GENERATED_SCRIPT_REVIEW_v0285_20260611_101304\plan\VDF_AkShare_v0285_UserApprovalGate.json"
"JSON_RECORD","VDF_AKSHARE_GENERATED_SCRIPT_REVIEW_BLOCKED","HIGH","06/11/2026 10:13:04","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_GENERATED_SCRIPT_REVIEW_v0285_20260611_101304\runtime\vdf_akshare_generated_script_review_result_v0285.json"
"AUDIT","VDF_AKSHARE_GENERATED_SCRIPT_REVIEW_BLOCKED","HIGH","06/11/2026 10:13:04","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_GENERATED_SCRIPT_REVIEW_v0285_20260611_101304\registry\VDF_AkShare_v0285_StaticAudit.json"
"JSON_RECORD","VDF_AKSHARE_GENERATED_SCRIPT_REVIEW_BLOCKED","HIGH","06/11/2026 10:13:04","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_GENERATED_SCRIPT_REVIEW_v0285_20260611_101304\plan\VDF_AkShare_v0285_GeneratedScriptReview.json"
"JSON_RECORD","","","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_STAGING_WRITE_SCRIPT_GENERATION_APPROVAL_v0284_20260611_033432\registry\VDF_AkShare_StagingWriteScriptGenerationApproval_Matrix_v0284.json"
"POINTER","VDF_ACTIVE_READER_USERTEST_READY","LOW","2026-06-09 21:55:17","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_GENERATED_SCRIPT_REVIEW_v0285_20260611_100744\backup\VDF_ACTIVE_POINTER_before_v0285_20260611_100744.json"
"POINTER","VDF_ACTIVE_READER_USERTEST_READY","LOW","2026-06-09 21:55:17","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_GENERATED_SCRIPT_REVIEW_v0285_20260611_101304\backup\VDF_ACTIVE_POINTER_before_v0285_20260611_101304.json"
"JSON_RECORD","","","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_STAGING_WRITE_SCRIPT_GENERATION_APPROVAL_v0284_20260611_033432\registry\VDF_Top10_LocalFreeLibs_StagingWriteScriptGenerationApproval_v0284.json"
"JSON_RECORD","VDF_AKSHARE_STAGING_WRITE_SCRIPT_GENERATION_APPROVAL_READY","MEDIUM","06/11/2026 03:34:32","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_STAGING_WRITE_SCRIPT_GENERATION_APPROVAL_v0284_20260611_033432\runtime\vdf_akshare_staging_write_script_generation_approval_result_v0284.json"
"JSON_RECORD","VDF_AKSHARE_STAGING_WRITE_SCRIPT_GENERATION_READY","MEDIUM","06/11/2026 03:34:32","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_STAGING_WRITE_SCRIPT_GENERATION_APPROVAL_v0284_20260611_033432\plan\VDF_AkShare_v0284_GeneratedScriptReview.json"
"JSON_RECORD","VDF_AKSHARE_V0284_USER_APPROVAL_GATE_READY","MEDIUM","06/11/2026 03:34:32","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_STAGING_WRITE_SCRIPT_GENERATION_APPROVAL_v0284_20260611_033432\plan\VDF_AkShare_v0284_UserApprovalGate.json"
"JSON_RECORD","","","06/11/2026 03:34:32","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_STAGING_WRITE_SCRIPT_GENERATION_APPROVAL_v0284_20260611_033432\registry\VDF_AkShare_v0284_GeneratedScriptHash.json"
"JSON_RECORD","","","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_BACKUP_ROLLBACK_STAGING_PLAN_HOTFIX_v02832_20260611_031541\registry\VDF_AkShare_BackupRollbackStagingPlan_Hotfix_Matrix_v02832.json"
"JSON_RECORD","","","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_BACKUP_ROLLBACK_STAGING_PLAN_HOTFIX_v02832_20260611_031541\registry\VDF_Top10_LocalFreeLibs_BackupRollbackStagingPlan_Hotfix_v02832.json"
"POINTER","VDF_ACTIVE_READER_USERTEST_READY","LOW","2026-06-09 21:55:17","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_STAGING_WRITE_SCRIPT_GENERATION_APPROVAL_v0284_20260611_033432\backup\VDF_ACTIVE_POINTER_before_v0284_20260611_033432.json"
"JSON_RECORD","VDF_AKSHARE_BACKUP_ROLLBACK_STAGING_PLAN_HOTFIX_READY","MEDIUM","06/11/2026 03:15:41","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_BACKUP_ROLLBACK_STAGING_PLAN_HOTFIX_v02832_20260611_031541\plan\VDF_AkShare_v02832_PostWriteValidationPlan.json"
"JSON_RECORD","VDF_AKSHARE_BACKUP_ROLLBACK_STAGING_PLAN_HOTFIX_READY","MEDIUM","06/11/2026 03:15:41","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_BACKUP_ROLLBACK_STAGING_PLAN_HOTFIX_v02832_20260611_031541\plan\VDF_AkShare_v02832_WriteApprovalGate.json"
"JSON_RECORD","VDF_AKSHARE_BACKUP_ROLLBACK_STAGING_PLAN_HOTFIX_READY","MEDIUM","06/11/2026 03:15:41","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_BACKUP_ROLLBACK_STAGING_PLAN_HOTFIX_v02832_20260611_031541\runtime\vdf_akshare_backup_rollback_staging_plan_hotfix_result_v02832.json"
"JSON_RECORD","VDF_AKSHARE_BACKUP_ROLLBACK_STAGING_PLAN_HOTFIX_READY","MEDIUM","06/11/2026 03:15:41","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_BACKUP_ROLLBACK_STAGING_PLAN_HOTFIX_v02832_20260611_031541\plan\VDF_AkShare_v02832_BackupPlan.json"
"JSON_RECORD","VDF_AKSHARE_BACKUP_ROLLBACK_STAGING_PLAN_HOTFIX_READY","MEDIUM","06/11/2026 03:15:41","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_BACKUP_ROLLBACK_STAGING_PLAN_HOTFIX_v02832_20260611_031541\plan\VDF_AkShare_v02832_RollbackPlan.json"
"JSON_RECORD","VDF_AKSHARE_BACKUP_ROLLBACK_STAGING_PLAN_HOTFIX_READY","MEDIUM","06/11/2026 03:15:41","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_BACKUP_ROLLBACK_STAGING_PLAN_HOTFIX_v02832_20260611_031541\plan\VDF_AkShare_v02832_StagingWritePlan.json"
"POINTER","VDF_ACTIVE_READER_USERTEST_READY","LOW","2026-06-09 21:55:17","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_BACKUP_ROLLBACK_STAGING_PLAN_HOTFIX_v02832_20260611_031541\backup\VDF_ACTIVE_POINTER_before_v02832_20260611_031541.json"
"JSON_RECORD","","","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_BACKUP_ROLLBACK_STAGING_PLAN_HOTFIX_v02831_20260611_031152\registry\VDF_AkShare_BackupRollbackStagingPlan_Hotfix_Matrix_v02831.json"
"JSON_RECORD","","","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_BACKUP_ROLLBACK_STAGING_PLAN_HOTFIX_v02831_20260611_031152\registry\VDF_Top10_LocalFreeLibs_BackupRollbackStagingPlan_Hotfix_v02831.json"
"JSON_RECORD","VDF_AKSHARE_BACKUP_ROLLBACK_STAGING_PLAN_HOTFIX_READY","MEDIUM","06/11/2026 03:11:52","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_BACKUP_ROLLBACK_STAGING_PLAN_HOTFIX_v02831_20260611_031152\runtime\vdf_akshare_backup_rollback_staging_plan_hotfix_result_v02831.json"
"JSON_RECORD","VDF_AKSHARE_BACKUP_ROLLBACK_STAGING_PLAN_HOTFIX_READY","MEDIUM","06/11/2026 03:11:52","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_BACKUP_ROLLBACK_STAGING_PLAN_HOTFIX_v02831_20260611_031152\plan\VDF_AkShare_v02831_WriteApprovalGate.json"
"JSON_RECORD","VDF_AKSHARE_BACKUP_ROLLBACK_STAGING_PLAN_HOTFIX_READY","MEDIUM","06/11/2026 03:11:52","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_BACKUP_ROLLBACK_STAGING_PLAN_HOTFIX_v02831_20260611_031152\plan\VDF_AkShare_v02831_StagingWritePlan.json"
"JSON_RECORD","VDF_AKSHARE_BACKUP_ROLLBACK_STAGING_PLAN_HOTFIX_READY","MEDIUM","06/11/2026 03:11:52","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_BACKUP_ROLLBACK_STAGING_PLAN_HOTFIX_v02831_20260611_031152\plan\VDF_AkShare_v02831_RollbackPlan.json"
"JSON_RECORD","VDF_AKSHARE_BACKUP_ROLLBACK_STAGING_PLAN_HOTFIX_READY","MEDIUM","06/11/2026 03:11:52","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_BACKUP_ROLLBACK_STAGING_PLAN_HOTFIX_v02831_20260611_031152\plan\VDF_AkShare_v02831_PostWriteValidationPlan.json"
"JSON_RECORD","VDF_AKSHARE_BACKUP_ROLLBACK_STAGING_PLAN_HOTFIX_READY","MEDIUM","06/11/2026 03:11:52","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_BACKUP_ROLLBACK_STAGING_PLAN_HOTFIX_v02831_20260611_031152\plan\VDF_AkShare_v02831_BackupPlan.json"
"JSON_RECORD","","","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_WRITE_DRYRUN_COMPARE_v0282_20260611_024351\registry\VDF_AkShare_WriteDryRunCompare_Matrix_v0282.json"
"POINTER","VDF_ACTIVE_READER_USERTEST_READY","LOW","2026-06-09 21:55:17","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_BACKUP_ROLLBACK_STAGING_PLAN_v0283_20260611_024903\backup\VDF_ACTIVE_POINTER_before_v0283_20260611_024903.json"
"POINTER","VDF_ACTIVE_READER_USERTEST_READY","LOW","2026-06-09 21:55:17","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_BACKUP_ROLLBACK_STAGING_PLAN_HOTFIX_v02831_20260611_031152\backup\VDF_ACTIVE_POINTER_before_v02831_20260611_031152.json"
"JSON_RECORD","","","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_WRITE_DRYRUN_COMPARE_v0282_20260611_024351\registry\VDF_Top10_LocalFreeLibs_WriteDryRunCompare_v0282.json"
