"Root","Lang","Ext","Bytes","Modified","Path"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","DOC",".pdf","1129733","2023-10-21 15:32:21","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\3014TT-20231005.pdf"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","DOC",".pdf","1109127","2023-10-21 15:32:46","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\6933_AMAX-KY_個股介紹報告.pdf"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","DOC",".pdf","677991","2025-06-08 05:16:17","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\Citi-3231 20250604.pdf"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","DOC",".pdf","530185","2025-10-08 23:17:34","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\CLST-6669 20251001.pdf"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","DOC",".pdf","931065","2023-10-21 15:50:48","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\Daiwa-1319 20231011.pdf"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","DOC",".pdf","969997","2025-10-08 23:17:20","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\Daiwa-3653 20251002.pdf"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","DOC",".pdf","1018815","2026-05-25 01:01:40","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\Daiwa-6278 20260521.pdf"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","DOC",".pdf","278165","2025-12-05 23:05:14","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\Daiwa-PCB 20251204.pdf"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","DOC",".pdf","226266","2025-12-02 17:52:07","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\GF-Thoughts on TPU Competition with GPU 20251126.pdf"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","DOC",".pdf","1001187","2023-10-21 15:35:04","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\GS-1590 20231012.pdf"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","DOC",".pdf","508885","2025-12-05 23:07:52","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\GS-1590 20251203.pdf"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","DOC",".pdf","536180","2025-12-11 17:45:34","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\GS-2317 20251205.pdf"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","DOC",".pdf","570820","2023-10-21 15:35:13","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\GS-2382 20231012.pdf"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","DOC",".pdf","846483","2026-05-25 01:03:06","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\GS-2383 20260519.pdf"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","DOC",".pdf","685565","2025-12-05 23:10:01","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\GS-3706 20251130.pdf"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","DOC",".pdf","1945114","2026-05-25 01:03:29","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\GS-6415 20260517.pdf"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","DOC",".pdf","698563","2025-12-05 23:05:12","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\GS-AI PCB CCL 20251204.pdf"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","DOC",".pdf","1381011","2025-07-20 12:35:01","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\JP-2330 20250718.pdf"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","DOC",".pdf","983562","2025-10-08 23:17:18","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\JP-3653 20251003.pdf"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","DOC",".pdf","1147112","2026-05-25 01:01:35","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\MQ-1560 20260520.pdf"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","DOC",".pdf","231874","2025-12-05 23:08:41","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\MS-1590 20251202.pdf"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","DOC",".pdf","1077594","2025-12-05 23:09:59","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\MS-2308 20251128.pdf"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","DOC",".pdf","1033562","2025-12-05 23:07:56","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\MS-3661 20251203.pdf"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","DOC",".pdf","238127","2025-12-05 23:08:40","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\MS-3665 20251202.pdf"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","DOC",".pdf","252084","2025-10-08 23:14:57","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\MS-6669 20251007.pdf"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","DOC",".pdf","246018","2025-10-08 23:15:04","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\MS-8210 20251007.pdf"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","DOC",".pdf","2846718","2026-05-25 01:03:11","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\MS-ABF 20260518.pdf"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","DOC",".pdf","257309","2025-12-02 17:51:59","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\MS-Automation 20251126.pdf"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","DOC",".pdf","640925","2025-12-05 23:05:16","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\MS-Memory 20251204.pdf"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","DOC",".pdf","260109","2025-10-08 23:15:18","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\MS-Thermal Solutions 20251007.pdf"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","DOC",".pdf","249920","2025-12-11 17:44:40","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\MS-Thermal Solutions 20251208.pdf"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","DOC",".pdf","6007919","2025-12-05 23:05:24","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\UBS-Asia Hardware Insights 20251205.pdf"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","DOC",".pdf","1572918","2025-08-26 00:03:31","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\【國泰證期研究部】神達(3706 TT)-初次評等買進(+30.4_)-大顯神威，營運騰達-20250822.pdf"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","DOC",".pdf","634863","2026-05-25 01:02:08","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\凱基投顧_1476 儒鴻_劉昃恩_20260519.pdf"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","DOC",".pdf","747972","2026-05-25 01:02:22","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\凱基投顧_2891 中信金_施志鴻_20260519.pdf"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","DOC",".pdf","1030556","2026-05-25 01:02:25","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\凱基投顧_3665 貿聯-KY_李承泰_20260519.pdf"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","DOC",".pdf","667687","2026-05-25 01:02:17","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\凱基投顧_6147 頎邦_劉宇程_20260519.pdf"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","DOC",".pdf","660344","2026-05-25 01:03:20","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\凱基投顧_鋼鐵產業_劉昃恩_20260518.pdf"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","DOC",".pdf","1781822","2025-12-05 23:05:43","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\凱基日股分析20251205-軍工股及機器人股上漲推升日股收漲.pdf"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","DOC",".pdf","654622","2025-12-05 23:05:36","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\凱基期貨晨間解盤20251205.pdf"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","DOC",".pdf","1523333","2025-12-05 23:05:39","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\凱基港股分析20251205-機器人概念受資金追捧，港股收漲.pdf"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","DOC",".pdf","1643701","2025-12-05 23:05:41","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\凱基美股分析20251205-Meta大砍元宇宙預算，標普、那指續漲.pdf"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","DOC",".pdf","438919","2025-12-11 17:44:55","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\投資早報251209.pdf"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","DOC",".pdf","1496311","2025-12-11 17:46:03","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\晶心科(6533,N,中立)-CTBC251208.pdf"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","DOC",".pdf","729214","2025-12-11 17:45:48","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\瑞基(4171,NR_未評等)-CTBC251208.pdf"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","DOC",".pdf","3762097","2025-12-05 23:06:25","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\第一場 2026年投資大趨勢 - 華南投顧 -1141201.pdf"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","DOC",".pdf","2637379","2025-12-05 23:07:03","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\第三場 AI潮流下展望2026半導體產業趨勢 - 陳子昂.pdf"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","DOC",".pdf","3426311","2025-12-05 23:06:53","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\第二場 2026海外投資展望 - 華南永昌海外商品部.pdf"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","DOC",".pdf","1100533","2025-12-11 17:44:59","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\統一投顧-20251209投資早報.pdf"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","DOC",".pdf","1080042","2025-12-05 23:09:05","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\華南投顧-2606-裕民-1141202.pdf"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","DOC",".pdf","1122849","2025-12-05 23:09:24","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\華南投顧-2637-慧洋-KY-1141202.pdf"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","DOC",".pdf","1048912","2025-12-05 23:09:35","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\華南投顧-3017-奇鋐-1141202.pdf"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","DOC",".pdf","1032324","2025-12-05 23:10:37","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\華南投顧-6143-振曜-1141128.pdf"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","DOC",".json","1807","2026-06-09 20:09:17","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_active\VIA_ACTIVE_ONCE_POINTER.json"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","DOC",".json","923","2026-06-09 04:03:29","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_active\VIA_ACTIVE_POINTER.json"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","PS",".ps1","53525","2026-06-11 11:20:12","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_oneclick\Invoke-VIA-SupportiveDocking-VDFVRN-v02861.ps1"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","PS",".ps1","53875","2026-06-11 11:39:40","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_oneclick\Invoke-VIA-TestDebug-VDFVRN-v02863.ps1"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","PS",".ps1","1740","2026-06-09 17:26:52","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\Invoke-VAP.ps1"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","PS",".ps1","2646","2026-06-09 22:03:41","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\Invoke-VDF-Fetch.ps1"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","PS",".ps1","2084","2026-06-09 21:55:17","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\Invoke-VDF.ps1"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","DOC",".md","5606","2026-06-08 20:25:08","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL000_README.md"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","PY",".py","108742","2026-06-02 18:18:11","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL001_TWEquityEngine.py"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","PY",".py","26227","2026-06-02 18:17:12","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL001_TWUniverseVerify.py"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","PY",".py","85299","2026-06-08 17:53:57","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL002_YFinanceFetchingEngine.py"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","PY",".py","73800","2026-06-08 17:53:59","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL003_SentimentMacroEngine.py"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","PY",".py","47065","2026-06-08 17:52:53","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL004_TWFullMarketEngine.py"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","PY",".py","45762","2026-06-02 18:17:03","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL005_TWStockFilter.py"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","PY",".py","67390","2026-06-08 17:53:56","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL006_FinancialModel.py"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","PY",".py","54262","2026-06-08 17:50:41","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL007_SSOTResolver.py"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","PY",".py","14620","2026-06-02 18:16:22","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL101_OutputManager.py"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","PY",".py","15595","2026-06-08 20:25:15","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL102_FormatUpgrader.py"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","PY",".py","38755","2026-06-08 17:53:44","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL103_MasterRegistry.py"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","PY",".py","18249","2026-06-08 20:33:34","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL104_RegistryLoader.py"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","PY",".py","19486","2026-06-08 17:53:43","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL105_CrossValidator.py"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","PY",".py","22332","2026-06-08 17:53:40","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL201_GenerateFullRegistry.py"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","PY",".py","21501","2026-06-08 17:53:40","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL301_SystemTest.py"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","PY",".py","49291","2026-06-08 20:25:15","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL302_FinalActivation.py"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","PY",".py","17116","2026-06-08 20:33:41","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL303_RegistryActivation.py"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","DOC",".json","10390","2026-06-08 17:53:30","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL401_RegistrySchema.json"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","DOC",".json","18582","2026-06-08 17:53:17","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL402_RegistrySample.json"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","DOC",".json","198561","2026-06-08 17:53:17","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL403_RegistryFull.json"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","DOC",".html","46875","2026-06-08 17:53:09","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL501_DataModuleController.html"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","PY",".py","42780","2026-05-05 05:27:50","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VRN\VRN_MDL001_Converter.py"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","PY",".py","49783","2026-05-05 05:27:51","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VRN\VRN_MDL002_LayoutExtractor.py"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","PY",".py","52317","2026-05-05 05:27:52","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VRN\VRN_MDL003_TableRestorer.py"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","PY",".py","95829","2026-05-05 14:48:40","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VRN\VRN_MDL004_OCR_FetchingPDFTable_v1.py"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","PY",".py","81748","2026-05-05 05:27:47","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VRN\VRN_MDL005_OCRFetchingPDFText_v1.py"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","PY",".py","37354","2026-05-05 05:27:46","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VRN\VRN_MDL006_ConsolidatorAndPhaseValidator.py"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","PY",".py","38493","2026-05-05 05:27:45","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VRN\VRN_MDL007_APIDataFetcher.py"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","PY",".py","42984","2026-05-05 05:27:44","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VRN\VRN_MDL008_CrossValidator.py"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","PY",".py","9658","2026-05-26 16:35:45","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\10_Core_Runtime\VIA_RuntimeImportFirewall.py"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","DOC",".json","1063","2026-06-08 20:10:15","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\10_Core_Runtime\VIA_RuntimeImportFirewall.py.freeze.lock.json"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","PY",".py","29537","2026-05-26 16:47:58","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\10_Core_Runtime\VIA_Runtime_Bridge_All_in_One.py"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","DOC",".json","1079","2026-06-08 20:10:15","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\10_Core_Runtime\VIA_Runtime_Bridge_All_in_One.py.freeze.lock.json"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","PY",".py","14829","2026-05-26 16:47:59","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\10_Core_Runtime\VIA_Supportive_Runtime_HardGate_Bridge.py"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","DOC",".json","1115","2026-06-08 20:10:15","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\10_Core_Runtime\VIA_Supportive_Runtime_HardGate_Bridge.py.freeze.lock.json"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","PY",".py","49130","2026-05-26 16:47:57","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\20_Registry_SSOT\VIA_RegistryCore_v1.py"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","DOC",".json","1042","2026-06-08 20:10:15","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\20_Registry_SSOT\VIA_RegistryCore_v1.py.freeze.lock.json"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","PY",".py","306724","2026-05-26 16:47:58","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\20_Registry_SSOT\VIA_SSOT_Unified.py"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","DOC",".json","1031","2026-06-08 20:10:15","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\20_Registry_SSOT\VIA_SSOT_Unified.py.freeze.lock.json"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","DOC",".html","1934207","2026-05-23 09:00:08","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\20_Registry_SSOT\VIS_Supportive_Module_Index.html"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","DOC",".json","1128","2026-06-08 20:10:15","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\20_Registry_SSOT\VIS_Supportive_Module_Index.html.freeze.lock.json"
