"file_name","qualified_by_filename","score","ticker","report_date","bytes","last_write_time","path"
"投資早報251209.pdf","False","10","","","438919","2025-12-11 17:44:55","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\投資早報251209.pdf"
"第一場 2026年投資大趨勢 - 華南投顧 -1141201.pdf","True","45","2026","","3762097","2025-12-05 23:06:25","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\第一場 2026年投資大趨勢 - 華南投顧 -1141201.pdf"
"第二場 2026海外投資展望 - 華南永昌海外商品部.pdf","True","45","2026","","3426311","2025-12-05 23:06:53","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\第二場 2026海外投資展望 - 華南永昌海外商品部.pdf"
"第三場 AI潮流下展望2026半導體產業趨勢 - 陳子昂.pdf","True","45","2026","","2637379","2025-12-05 23:07:03","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\第三場 AI潮流下展望2026半導體產業趨勢 - 陳子昂.pdf"
"凱基日股分析20251205-軍工股及機器人股上漲推升日股收漲.pdf","False","35","","2025-12-05","1781822","2025-12-05 23:05:43","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\凱基日股分析20251205-軍工股及機器人股上漲推升日股收漲.pdf"
"凱基投顧_1476 儒鴻_劉昃恩_20260519.pdf","True","70","1476","2026-05-19","634863","2026-05-25 01:02:08","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\凱基投顧_1476 儒鴻_劉昃恩_20260519.pdf"
"凱基投顧_2891 中信金_施志鴻_20260519.pdf","True","70","2891","2026-05-19","747972","2026-05-25 01:02:22","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\凱基投顧_2891 中信金_施志鴻_20260519.pdf"
"凱基投顧_3665 貿聯-KY_李承泰_20260519.pdf","True","70","3665","2026-05-19","1030556","2026-05-25 01:02:25","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\凱基投顧_3665 貿聯-KY_李承泰_20260519.pdf"
"凱基投顧_6147 頎邦_劉宇程_20260519.pdf","True","70","6147","2026-05-19","667687","2026-05-25 01:02:17","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\凱基投顧_6147 頎邦_劉宇程_20260519.pdf"
"凱基投顧_鋼鐵產業_劉昃恩_20260518.pdf","False","35","","2026-05-18","660344","2026-05-25 01:03:20","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\凱基投顧_鋼鐵產業_劉昃恩_20260518.pdf"
"凱基美股分析20251205-Meta大砍元宇宙預算，標普、那指續漲.pdf","False","35","","2025-12-05","1643701","2025-12-05 23:05:41","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\凱基美股分析20251205-Meta大砍元宇宙預算，標普、那指續漲.pdf"
"凱基期貨晨間解盤20251205.pdf","False","35","","2025-12-05","654622","2025-12-05 23:05:36","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\凱基期貨晨間解盤20251205.pdf"
"凱基港股分析20251205-機器人概念受資金追捧，港股收漲.pdf","False","35","","2025-12-05","1523333","2025-12-05 23:05:39","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\凱基港股分析20251205-機器人概念受資金追捧，港股收漲.pdf"
"晶心科(6533,N,中立)-CTBC251208.pdf","True","65","6533","","1496311","2025-12-11 17:46:03","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\晶心科(6533,N,中立)-CTBC251208.pdf"
"統一投顧-20251209投資早報.pdf","False","35","","2025-12-09","1100533","2025-12-11 17:44:59","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\統一投顧-20251209投資早報.pdf"
"華南投顧-2606-裕民-1141202.pdf","True","45","2606","","1080042","2025-12-05 23:09:05","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\華南投顧-2606-裕民-1141202.pdf"
"華南投顧-2637-慧洋-KY-1141202.pdf","True","45","2637","","1122849","2025-12-05 23:09:24","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\華南投顧-2637-慧洋-KY-1141202.pdf"
"華南投顧-3017-奇鋐-1141202.pdf","True","45","3017","","1048912","2025-12-05 23:09:35","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\華南投顧-3017-奇鋐-1141202.pdf"
"華南投顧-6143-振曜-1141128.pdf","True","45","6143","","1032324","2025-12-05 23:10:37","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\華南投顧-6143-振曜-1141128.pdf"
"瑞基(4171,NR_未評等)-CTBC251208.pdf","True","65","4171","","729214","2025-12-11 17:45:48","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\瑞基(4171,NR_未評等)-CTBC251208.pdf"
"Citi-3231 20250604.pdf","True","70","3231","2025-06-04","677991","2025-06-08 05:16:17","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\Citi-3231 20250604.pdf"
"CLST-6669 20251001.pdf","True","70","6669","2025-10-01","530185","2025-10-08 23:17:34","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\CLST-6669 20251001.pdf"
"Daiwa-1319 20231011.pdf","True","70","1319","2023-10-11","931065","2023-10-21 15:50:48","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\Daiwa-1319 20231011.pdf"
"Daiwa-3653 20251002.pdf","True","70","3653","2025-10-02","969997","2025-10-08 23:17:20","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\Daiwa-3653 20251002.pdf"
"Daiwa-6278 20260521.pdf","True","70","6278","2026-05-21","1018815","2026-05-25 01:01:40","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\Daiwa-6278 20260521.pdf"
"Daiwa-PCB 20251204.pdf","False","35","","2025-12-04","278165","2025-12-05 23:05:14","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\Daiwa-PCB 20251204.pdf"
"GF-Thoughts on TPU Competition with GPU 20251126.pdf","False","35","","2025-11-26","226266","2025-12-02 17:52:07","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\GF-Thoughts on TPU Competition with GPU 20251126.pdf"
"GS-1590 20231012.pdf","True","70","1590","2023-10-12","1001187","2023-10-21 15:35:04","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\GS-1590 20231012.pdf"
"GS-1590 20251203.pdf","True","70","1590","2025-12-03","508885","2025-12-05 23:07:52","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\GS-1590 20251203.pdf"
"GS-2317 20251205.pdf","True","70","2317","2025-12-05","536180","2025-12-11 17:45:34","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\GS-2317 20251205.pdf"
"GS-2382 20231012.pdf","True","70","2382","2023-10-12","570820","2023-10-21 15:35:13","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\GS-2382 20231012.pdf"
"GS-2383 20260519.pdf","True","70","2383","2026-05-19","846483","2026-05-25 01:03:06","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\GS-2383 20260519.pdf"
"GS-3706 20251130.pdf","True","70","3706","2025-11-30","685565","2025-12-05 23:10:01","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\GS-3706 20251130.pdf"
"GS-6415 20260517.pdf","True","70","6415","2026-05-17","1945114","2026-05-25 01:03:29","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\GS-6415 20260517.pdf"
"GS-AI PCB CCL 20251204.pdf","False","35","","2025-12-04","698563","2025-12-05 23:05:12","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\GS-AI PCB CCL 20251204.pdf"
"JP-2330 20250718.pdf","True","70","2330","2025-07-18","1381011","2025-07-20 12:35:01","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\JP-2330 20250718.pdf"
"JP-3653 20251003.pdf","True","70","3653","2025-10-03","983562","2025-10-08 23:17:18","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\JP-3653 20251003.pdf"
"MQ-1560 20260520.pdf","True","70","1560","2026-05-20","1147112","2026-05-25 01:01:35","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\MQ-1560 20260520.pdf"
"MS-1590 20251202.pdf","True","70","1590","2025-12-02","231874","2025-12-05 23:08:41","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\MS-1590 20251202.pdf"
"MS-2308 20251128.pdf","True","70","2308","2025-11-28","1077594","2025-12-05 23:09:59","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\MS-2308 20251128.pdf"
"MS-3661 20251203.pdf","True","70","3661","2025-12-03","1033562","2025-12-05 23:07:56","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\MS-3661 20251203.pdf"
"MS-3665 20251202.pdf","True","70","3665","2025-12-02","238127","2025-12-05 23:08:40","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\MS-3665 20251202.pdf"
"MS-6669 20251007.pdf","True","70","6669","2025-10-07","252084","2025-10-08 23:14:57","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\MS-6669 20251007.pdf"
"MS-8210 20251007.pdf","True","70","8210","2025-10-07","246018","2025-10-08 23:15:04","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\MS-8210 20251007.pdf"
"MS-ABF 20260518.pdf","False","35","","2026-05-18","2846718","2026-05-25 01:03:11","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\MS-ABF 20260518.pdf"
"MS-Automation 20251126.pdf","False","35","","2025-11-26","257309","2025-12-02 17:51:59","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\MS-Automation 20251126.pdf"
"MS-Memory 20251204.pdf","False","35","","2025-12-04","640925","2025-12-05 23:05:16","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\MS-Memory 20251204.pdf"
"MS-Thermal Solutions 20251007.pdf","False","35","","2025-10-07","260109","2025-10-08 23:15:18","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\MS-Thermal Solutions 20251007.pdf"
"MS-Thermal Solutions 20251208.pdf","False","35","","2025-12-08","249920","2025-12-11 17:44:40","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\MS-Thermal Solutions 20251208.pdf"
"UBS-Asia Hardware Insights 20251205.pdf","False","35","","2025-12-05","6007919","2025-12-05 23:05:24","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\UBS-Asia Hardware Insights 20251205.pdf"
"【國泰證期研究部】神達(3706 TT)-初次評等買進(+30.4_)-大顯神威，營運騰達-20250822.pdf","True","90","3706","2025-08-22","1572918","2025-08-26 00:03:31","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_193217_VRN_GO_M01_SMOKE_V115\smoke_input\【國泰證期研究部】神達(3706 TT)-初次評等買進(+30.4_)-大顯神威，營運騰達-20250822.pdf"
"【國泰證期研究部】神達(3706 TT)-初次評等買進(+30.4_)-大顯神威，營運騰達-20250822.pdf","True","90","3706","2025-08-22","1572918","2025-08-26 00:03:31","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_193542_VRN_GO_EXTRACTOR_SMOKE_V116\smoke_input\【國泰證期研究部】神達(3706 TT)-初次評等買進(+30.4_)-大顯神威，營運騰達-20250822.pdf"
"【國泰證期研究部】神達(3706 TT)-初次評等買進(+30.4_)-大顯神威，營運騰達-20250822__COVER_FIN.pdf","True","90","3706","2025-08-22","7142756","2026-05-25 19:36:02","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_193542_VRN_GO_EXTRACTOR_SMOKE_V116\smoke_output\m01_pdf_temp\【國泰證期研究部】神達(3706 TT)-初次評等買進(+30.4_)-大顯神威，營運騰達-20250822__COVER_FIN.pdf"
"【國泰證期研究部】神達(3706 TT)-初次評等買進(+30.4_)-大顯神威，營運騰達-20250822.pdf","True","90","3706","2025-08-22","1572918","2025-08-26 00:03:31","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_193922_VRN_GO_M01_3PDF_SMOKE_V117\smoke_input_3pdf\【國泰證期研究部】神達(3706 TT)-初次評等買進(+30.4_)-大顯神威，營運騰達-20250822.pdf"
"20250819兆豐個股報告-泓德能源(6873).pdf","True","70","6873","2025-08-19","698089","2025-08-26 00:06:08","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_193922_VRN_GO_M01_3PDF_SMOKE_V117\smoke_input_3pdf\20250819兆豐個股報告-泓德能源(6873).pdf"
"20251128兆豐訪談速報-神達(3706).pdf","True","70","3706","2025-11-28","397184","2025-12-05 23:10:14","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_193922_VRN_GO_M01_3PDF_SMOKE_V117\smoke_input_3pdf\20251128兆豐訪談速報-神達(3706).pdf"
"【國泰證期研究部】神達(3706 TT)-初次評等買進(+30.4_)-大顯神威，營運騰達-20250822__COVER_FIN.pdf","True","90","3706","2025-08-22","7142756","2026-05-25 19:39:39","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_193922_VRN_GO_M01_3PDF_SMOKE_V117\smoke_output_3pdf\m01_pdf_temp\【國泰證期研究部】神達(3706 TT)-初次評等買進(+30.4_)-大顯神威，營運騰達-20250822__COVER_FIN.pdf"
"20250819兆豐個股報告-泓德能源(6873)__COVER_FIN.pdf","True","70","6873","2025-08-19","6545782","2026-05-25 19:39:30","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_193922_VRN_GO_M01_3PDF_SMOKE_V117\smoke_output_3pdf\m01_pdf_temp\20250819兆豐個股報告-泓德能源(6873)__COVER_FIN.pdf"
"20251128兆豐訪談速報-神達(3706)__COVER_FIN.pdf","True","70","3706","2025-11-28","5123436","2026-05-25 19:39:34","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_193922_VRN_GO_M01_3PDF_SMOKE_V117\smoke_output_3pdf\m01_pdf_temp\20251128兆豐訪談速報-神達(3706)__COVER_FIN.pdf"
"【國泰證期研究部】神達(3706 TT)-初次評等買進(+30.4_)-大顯神威，營運騰達-20250822.pdf","True","90","3706","2025-08-22","1572918","2025-08-26 00:03:31","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_194320_VRN_GO_M01_10PDF_SMOKE_V118\smoke_input_10pdf\【國泰證期研究部】神達(3706 TT)-初次評等買進(+30.4_)-大顯神威，營運騰達-20250822.pdf"
"20250819兆豐個股報告-泓德能源(6873).pdf","True","70","6873","2025-08-19","698089","2025-08-26 00:06:08","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_194320_VRN_GO_M01_10PDF_SMOKE_V118\smoke_input_10pdf\20250819兆豐個股報告-泓德能源(6873).pdf"
"20251128兆豐訪談速報-神達(3706).pdf","True","70","3706","2025-11-28","397184","2025-12-05 23:10:14","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_194320_VRN_GO_M01_10PDF_SMOKE_V118\smoke_input_10pdf\20251128兆豐訪談速報-神達(3706).pdf"
"20251204兆豐個股報告-志強-KY(6768).pdf","True","70","6768","2025-12-04","608844","2025-12-05 23:05:59","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_194320_VRN_GO_M01_10PDF_SMOKE_V118\smoke_input_10pdf\20251204兆豐個股報告-志強-KY(6768).pdf"
"20251205兆豐晨會報告(一)-當日新聞與重要訊息評論.pdf","False","35","","2025-12-05","327072","2025-12-05 23:05:29","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_194320_VRN_GO_M01_10PDF_SMOKE_V118\smoke_input_10pdf\20251205兆豐晨會報告(一)-當日新聞與重要訊息評論.pdf"
"20251205兆豐晨會報告(二)-公司訪談摘要.pdf","False","35","","2025-12-05","317766","2025-12-05 23:05:33","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_194320_VRN_GO_M01_10PDF_SMOKE_V118\smoke_input_10pdf\20251205兆豐晨會報告(二)-公司訪談摘要.pdf"
"20251208_台新台股盤勢分析.pdf","False","35","","2025-12-08","928509","2025-12-11 17:45:58","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_194320_VRN_GO_M01_10PDF_SMOKE_V118\smoke_input_10pdf\20251208_台新台股盤勢分析.pdf"
"20260519兆豐個股報告-望隼(4771).pdf","True","70","4771","2026-05-19","818339","2026-05-25 01:02:39","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_194320_VRN_GO_M01_10PDF_SMOKE_V118\smoke_input_10pdf\20260519兆豐個股報告-望隼(4771).pdf"
"3014TT-20231005.pdf","True","70","3014","2023-10-05","1129733","2023-10-21 15:32:21","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_194320_VRN_GO_M01_10PDF_SMOKE_V118\smoke_input_10pdf\3014TT-20231005.pdf"
"6933_AMAX-KY_個股介紹報告.pdf","True","45","6933","","1109127","2023-10-21 15:32:46","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_194320_VRN_GO_M01_10PDF_SMOKE_V118\smoke_input_10pdf\6933_AMAX-KY_個股介紹報告.pdf"
"【國泰證期研究部】神達(3706 TT)-初次評等買進(+30.4_)-大顯神威，營運騰達-20250822__COVER_FIN.pdf","True","90","3706","2025-08-22","7142756","2026-05-25 19:43:58","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_194320_VRN_GO_M01_10PDF_SMOKE_V118\smoke_output_10pdf\m01_pdf_temp\【國泰證期研究部】神達(3706 TT)-初次評等買進(+30.4_)-大顯神威，營運騰達-20250822__COVER_FIN.pdf"
"20250819兆豐個股報告-泓德能源(6873)__COVER_FIN.pdf","True","70","6873","2025-08-19","6545782","2026-05-25 19:43:28","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_194320_VRN_GO_M01_10PDF_SMOKE_V118\smoke_output_10pdf\m01_pdf_temp\20250819兆豐個股報告-泓德能源(6873)__COVER_FIN.pdf"
"20251128兆豐訪談速報-神達(3706)__COVER_FIN.pdf","True","70","3706","2025-11-28","5123436","2026-05-25 19:43:32","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_194320_VRN_GO_M01_10PDF_SMOKE_V118\smoke_output_10pdf\m01_pdf_temp\20251128兆豐訪談速報-神達(3706)__COVER_FIN.pdf"
"20251204兆豐個股報告-志強-KY(6768)__COVER_FIN.pdf","True","70","6768","2025-12-04","6308457","2026-05-25 19:43:37","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_194320_VRN_GO_M01_10PDF_SMOKE_V118\smoke_output_10pdf\m01_pdf_temp\20251204兆豐個股報告-志強-KY(6768)__COVER_FIN.pdf"
"20260519兆豐個股報告-望隼(4771)__COVER_FIN.pdf","True","70","4771","2026-05-19","7015701","2026-05-25 19:43:43","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_194320_VRN_GO_M01_10PDF_SMOKE_V118\smoke_output_10pdf\m01_pdf_temp\20260519兆豐個股報告-望隼(4771)__COVER_FIN.pdf"
"3014TT-20231005__COVER_FIN.pdf","True","70","3014","2023-10-05","5984045","2026-05-25 19:43:49","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_194320_VRN_GO_M01_10PDF_SMOKE_V118\smoke_output_10pdf\m01_pdf_temp\3014TT-20231005__COVER_FIN.pdf"
"6933_AMAX-KY_個股介紹報告__COVER_FIN.pdf","True","45","6933","","2040818","2026-05-25 19:43:53","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_194320_VRN_GO_M01_10PDF_SMOKE_V118\smoke_output_10pdf\m01_pdf_temp\6933_AMAX-KY_個股介紹報告__COVER_FIN.pdf"
"【國泰證期研究部】神達(3706 TT)-初次評等買進(+30.4_)-大顯神威，營運騰達-20250822.pdf","True","90","3706","2025-08-22","1572918","2025-08-26 00:03:31","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_194703_VRN_GO_M01_30PDF_SMOKE_V119\smoke_input_30pdf\【國泰證期研究部】神達(3706 TT)-初次評等買進(+30.4_)-大顯神威，營運騰達-20250822.pdf"
"20250819兆豐個股報告-泓德能源(6873).pdf","True","70","6873","2025-08-19","698089","2025-08-26 00:06:08","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_194703_VRN_GO_M01_30PDF_SMOKE_V119\smoke_input_30pdf\20250819兆豐個股報告-泓德能源(6873).pdf"
"20251128兆豐訪談速報-神達(3706).pdf","True","70","3706","2025-11-28","397184","2025-12-05 23:10:14","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_194703_VRN_GO_M01_30PDF_SMOKE_V119\smoke_input_30pdf\20251128兆豐訪談速報-神達(3706).pdf"
"20251204兆豐個股報告-志強-KY(6768).pdf","True","70","6768","2025-12-04","608844","2025-12-05 23:05:59","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_194703_VRN_GO_M01_30PDF_SMOKE_V119\smoke_input_30pdf\20251204兆豐個股報告-志強-KY(6768).pdf"
"20251205兆豐晨會報告(一)-當日新聞與重要訊息評論.pdf","False","35","","2025-12-05","327072","2025-12-05 23:05:29","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_194703_VRN_GO_M01_30PDF_SMOKE_V119\smoke_input_30pdf\20251205兆豐晨會報告(一)-當日新聞與重要訊息評論.pdf"
"20251205兆豐晨會報告(二)-公司訪談摘要.pdf","False","35","","2025-12-05","317766","2025-12-05 23:05:33","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_194703_VRN_GO_M01_30PDF_SMOKE_V119\smoke_input_30pdf\20251205兆豐晨會報告(二)-公司訪談摘要.pdf"
"20251208_台新台股盤勢分析.pdf","False","35","","2025-12-08","928509","2025-12-11 17:45:58","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_194703_VRN_GO_M01_30PDF_SMOKE_V119\smoke_input_30pdf\20251208_台新台股盤勢分析.pdf"
"20260519兆豐個股報告-望隼(4771).pdf","True","70","4771","2026-05-19","818339","2026-05-25 01:02:39","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_194703_VRN_GO_M01_30PDF_SMOKE_V119\smoke_input_30pdf\20260519兆豐個股報告-望隼(4771).pdf"
"3014TT-20231005.pdf","True","70","3014","2023-10-05","1129733","2023-10-21 15:32:21","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_194703_VRN_GO_M01_30PDF_SMOKE_V119\smoke_input_30pdf\3014TT-20231005.pdf"
