SourceFile,SourcePath,FileHash,Ticker,CompanyName,Broker,ReportDate,FileSizeBytes,ModifiedTime,InputStatus,ValidationStatus,ValidationRisk,IncrementalAction
20251205兆豐晨會報告(二)-公司訪談摘要.pdf,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\20251205兆豐晨會報告(二)-公司訪談摘要.pdf,7df73dcb813fb4111fa9807495ca43ec4fac1f2526754d42412874f0578f93b9,,,,2025-12-05,317766,2025-12-05 23:05:33,DISCOVERED,VALID_BASICINFO_CANDIDATE,GREEN,NEW_OR_CHANGED
20251208_台新台股盤勢分析.pdf,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\20251208_台新台股盤勢分析.pdf,caf2660a6b6de38149bf3e51f708dfba4016e180e6226dc7dda351801fc1a603,,,,2025-12-08,928509,2025-12-11 17:45:58,DISCOVERED,VALID_BASICINFO_CANDIDATE,GREEN,NEW_OR_CHANGED
20260519兆豐個股報告-望隼(4771).pdf,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\20260519兆豐個股報告-望隼(4771).pdf,47df7a8ddf6059a2a1d8f8374943ae019f72308f053c868687612e78690d1cfb,4771,,,2026-05-19,818339,2026-05-25 01:02:39,DISCOVERED,VALID_BASICINFO_CANDIDATE,GREEN,NEW_OR_CHANGED
3014TT-20231005.pdf,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\3014TT-20231005.pdf,b8ab20aedc0cb965cd373c5d9e877080981c4fb420c249b4ed5c9d5cec05a856,3014,20231005,,2023-10-05,1129733,2023-10-21 15:32:21,DISCOVERED,VALID_BASICINFO_CANDIDATE,GREEN,NEW_OR_CHANGED
6933_AMAX-KY_個股介紹報告.pdf,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\6933_AMAX-KY_個股介紹報告.pdf,3eff0c91594e0aede51bd2491b137de4ede4c5ce4d745ba0ffefd847dc4caaf2,6933,AMAX,,2023-10-21,1109127,2023-10-21 15:32:46,DISCOVERED,VALID_BASICINFO_CANDIDATE,GREEN,NEW_OR_CHANGED
Citi-3231 20250604.pdf,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\Citi-3231 20250604.pdf,3bd909165b536b7f1cf45d409cbe047e527bb3a8d5013569424d441d1be86a64,3231,20250604,Citi,2025-06-04,677991,2025-06-08 05:16:17,DISCOVERED,VALID_BASICINFO_CANDIDATE,GREEN,NEW_OR_CHANGED
CLST-6669 20251001.pdf,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\CLST-6669 20251001.pdf,d18c4388914bf3e7b4278246f3edd1fd46ac59b632cc4cc26c8c1d7d2eab2590,6669,20251001,,2025-10-01,530185,2025-10-08 23:17:34,DISCOVERED,VALID_BASICINFO_CANDIDATE,GREEN,NEW_OR_CHANGED
Daiwa-1319 20231011.pdf,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\Daiwa-1319 20231011.pdf,8117029e75b120c8e0eee65ea40d8eb92ddf13c6922a7d80353ec5bbb29a7cf8,1319,20231011,Daiwa,2023-10-11,931065,2023-10-21 15:50:48,DISCOVERED,VALID_BASICINFO_CANDIDATE,GREEN,NEW_OR_CHANGED
Daiwa-3653 20251002.pdf,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\Daiwa-3653 20251002.pdf,72879834cf83d92dcf3497f874f52688eba5faced89b66a7aa1261aecc0f7793,3653,20251002,Daiwa,2025-10-02,969997,2025-10-08 23:17:20,DISCOVERED,VALID_BASICINFO_CANDIDATE,GREEN,NEW_OR_CHANGED
Daiwa-6278 20260521.pdf,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\Daiwa-6278 20260521.pdf,703238d58cf057037fbd171d2bf2cf64c4934bd5f35a7f7c6d87a0602c72537b,6278,20260521,Daiwa,2026-05-21,1018815,2026-05-25 01:01:40,DISCOVERED,VALID_BASICINFO_CANDIDATE,GREEN,NEW_OR_CHANGED
Daiwa-PCB 20251204.pdf,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\Daiwa-PCB 20251204.pdf,b6aefbe3ef0b94f4f4659f627c0f965732af8cbff31b883b7ec55746c4dc882e,,,Daiwa,2025-12-04,278165,2025-12-05 23:05:14,DISCOVERED,VALID_BASICINFO_CANDIDATE,GREEN,NEW_OR_CHANGED
GF-Thoughts on TPU Competition with GPU 20251126.pdf,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\GF-Thoughts on TPU Competition with GPU 20251126.pdf,ab3bdcb5e4bdf7e597329b8e0c2b1d80e556a9010b51f4fd2751a0dc65398b95,,,,2025-11-26,226266,2025-12-02 17:52:07,DISCOVERED,VALID_BASICINFO_CANDIDATE,GREEN,NEW_OR_CHANGED
GS-1590 20231012.pdf,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\GS-1590 20231012.pdf,90837a932a6cce5994b594c7002e7a9cc6f2c7e02a1423a9fdbdd754560a0060,1590,20231012,Goldman Sachs,2023-10-12,1001187,2023-10-21 15:35:04,DISCOVERED,VALID_BASICINFO_CANDIDATE,GREEN,NEW_OR_CHANGED
GS-1590 20251203.pdf,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\GS-1590 20251203.pdf,a3483a409926504f6c8c921ee8831fd76a627d8e95fdb0b543d01c0cb9b9c1e0,1590,20251203,Goldman Sachs,2025-12-03,508885,2025-12-05 23:07:52,DISCOVERED,VALID_BASICINFO_CANDIDATE,GREEN,NEW_OR_CHANGED
GS-2317 20251205.pdf,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\GS-2317 20251205.pdf,dc499b93874c236d3f9a08315ff7bfeaafc00a508bb6b522b251560fbe069a13,2317,20251205,Goldman Sachs,2025-12-05,536180,2025-12-11 17:45:34,DISCOVERED,VALID_BASICINFO_CANDIDATE,GREEN,NEW_OR_CHANGED
GS-2382 20231012.pdf,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\GS-2382 20231012.pdf,c12c3e91df7a07f06165bda3342d726c8cb0ee5de88e23203e86b286cbe45bb6,2382,20231012,Goldman Sachs,2023-10-12,570820,2023-10-21 15:35:13,DISCOVERED,VALID_BASICINFO_CANDIDATE,GREEN,NEW_OR_CHANGED
GS-2383 20260519.pdf,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\GS-2383 20260519.pdf,40db45e56ca009ee5583f1d10ff8a3453d323b3042c5bcdbdd4c3640f4993e40,2383,20260519,Goldman Sachs,2026-05-19,846483,2026-05-25 01:03:06,DISCOVERED,VALID_BASICINFO_CANDIDATE,GREEN,NEW_OR_CHANGED
GS-3706 20251130.pdf,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\GS-3706 20251130.pdf,4495ce17ce233cfece2023cf35a4392f6b3cf804bc8fd39ac064c7f9411fd041,3706,20251130,Goldman Sachs,2025-11-30,685565,2025-12-05 23:10:01,DISCOVERED,VALID_BASICINFO_CANDIDATE,GREEN,NEW_OR_CHANGED
GS-6415 20260517.pdf,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\GS-6415 20260517.pdf,ce1ebbbcf776b901428970539963c7d7f9b12ff41f78fe93c58646d115aa6992,6415,20260517,Goldman Sachs,2026-05-17,1945114,2026-05-25 01:03:29,DISCOVERED,VALID_BASICINFO_CANDIDATE,GREEN,NEW_OR_CHANGED
GS-AI PCB CCL 20251204.pdf,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\GS-AI PCB CCL 20251204.pdf,f34ee79e603f68a93da1be1b7a8a1797cc4faba1e624816a6123657cc9f37fc9,,,Goldman Sachs,2025-12-04,698563,2025-12-05 23:05:12,DISCOVERED,VALID_BASICINFO_CANDIDATE,GREEN,NEW_OR_CHANGED
JP-2330 20250718.pdf,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\JP-2330 20250718.pdf,681de7210e2c50df56bfd251457a52ee1111999fcde41a8b1c03d665efa32eda,2330,20250718,J.P. Morgan,2025-07-18,1381011,2025-07-20 12:35:01,DISCOVERED,VALID_BASICINFO_CANDIDATE,GREEN,NEW_OR_CHANGED
JP-3653 20251003.pdf,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\JP-3653 20251003.pdf,162eb85406340cc54afd835d890e0affa2d0a226a3a5cea1ba1d1a63e14b702a,3653,20251003,J.P. Morgan,2025-10-03,983562,2025-10-08 23:17:18,DISCOVERED,VALID_BASICINFO_CANDIDATE,GREEN,NEW_OR_CHANGED
MQ-1560 20260520.pdf,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\MQ-1560 20260520.pdf,f70abc4f53e38e0ec88574748aa88d164570a58eba29712bb0e6793cbd088d69,1560,20260520,,2026-05-20,1147112,2026-05-25 01:01:35,DISCOVERED,VALID_BASICINFO_CANDIDATE,GREEN,NEW_OR_CHANGED
MS-1590 20251202.pdf,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\MS-1590 20251202.pdf,a2418c6e84225d6c198de0edbb0df7ecdea0635d1ea84c2b576a01bfe017a603,1590,20251202,Morgan Stanley,2025-12-02,231874,2025-12-05 23:08:41,DISCOVERED,VALID_BASICINFO_CANDIDATE,GREEN,NEW_OR_CHANGED
MS-2308 20251128.pdf,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\MS-2308 20251128.pdf,85f3d1eff2a36709258badcab2b19e71fddc72e45d86597f57fc3cd997684a8e,2308,20251128,Morgan Stanley,2025-11-28,1077594,2025-12-05 23:09:59,DISCOVERED,VALID_BASICINFO_CANDIDATE,GREEN,NEW_OR_CHANGED
MS-3661 20251203.pdf,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\MS-3661 20251203.pdf,358c2b3a8507a07522a3bbf4bba87aeb282cb2e2dcb6bd267d293c47a889b860,3661,20251203,Morgan Stanley,2025-12-03,1033562,2025-12-05 23:07:56,DISCOVERED,VALID_BASICINFO_CANDIDATE,GREEN,NEW_OR_CHANGED
MS-3665 20251202.pdf,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\MS-3665 20251202.pdf,1c5af4da469d22ffbe5cc687cd214032e5373a35836c1134aa929791e4d1e9ed,3665,20251202,Morgan Stanley,2025-12-02,238127,2025-12-05 23:08:40,DISCOVERED,VALID_BASICINFO_CANDIDATE,GREEN,NEW_OR_CHANGED
MS-6669 20251007.pdf,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\MS-6669 20251007.pdf,bf77e8f9e2ff704ee53e40ebc8816bd970aa7d572720b7b554a33778e4fa7b27,6669,20251007,Morgan Stanley,2025-10-07,252084,2025-10-08 23:14:57,DISCOVERED,VALID_BASICINFO_CANDIDATE,GREEN,NEW_OR_CHANGED
MS-8210 20251007.pdf,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\MS-8210 20251007.pdf,687eb36ff8f36a04208e61cf8598bb0add49d00f18b70d933e6019504260614e,8210,20251007,Morgan Stanley,2025-10-07,246018,2025-10-08 23:15:04,DISCOVERED,VALID_BASICINFO_CANDIDATE,GREEN,NEW_OR_CHANGED
MS-ABF 20260518.pdf,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\MS-ABF 20260518.pdf,331d8dceb9db7a730ebefa447c3883ac93f0067f1bc2b4a74236bb8df32158c6,,,Morgan Stanley,2026-05-18,2846718,2026-05-25 01:03:11,DISCOVERED,VALID_BASICINFO_CANDIDATE,GREEN,NEW_OR_CHANGED
MS-Automation 20251126.pdf,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\MS-Automation 20251126.pdf,b1230905e4b8a56e25f1b9bed4fae6d8e56adae3fa93b1e51e24491811cc6e99,,,Morgan Stanley,2025-11-26,257309,2025-12-02 17:51:59,DISCOVERED,VALID_BASICINFO_CANDIDATE,GREEN,NEW_OR_CHANGED
MS-Memory 20251204.pdf,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\MS-Memory 20251204.pdf,05c1c77e80943a80979d7099e2f505bcb78005f4f58378d095c89fcb1ae16059,,,Morgan Stanley,2025-12-04,640925,2025-12-05 23:05:16,DISCOVERED,VALID_BASICINFO_CANDIDATE,GREEN,NEW_OR_CHANGED
MS-Thermal Solutions 20251007.pdf,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\MS-Thermal Solutions 20251007.pdf,816d701f84c096744980f7f392f083d694a7a6df79930b2f222e259212665d22,,,Morgan Stanley,2025-10-07,260109,2025-10-08 23:15:18,DISCOVERED,VALID_BASICINFO_CANDIDATE,GREEN,NEW_OR_CHANGED
MS-Thermal Solutions 20251208.pdf,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\MS-Thermal Solutions 20251208.pdf,a8f8bbdb35f0413036c4588926783cff1bcecd023b60814b51fe3ef48ede57e2,,,Morgan Stanley,2025-12-08,249920,2025-12-11 17:44:40,DISCOVERED,VALID_BASICINFO_CANDIDATE,GREEN,NEW_OR_CHANGED
UBS-Asia Hardware Insights 20251205.pdf,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\UBS-Asia Hardware Insights 20251205.pdf,bd3128d975612a86c5f23a96f7f051f10c921a56510956dd25b5288d757f5007,,,UBS,2025-12-05,6007919,2025-12-05 23:05:24,DISCOVERED,VALID_BASICINFO_CANDIDATE,GREEN,NEW_OR_CHANGED
【國泰證期研究部】神達(3706 TT)-初次評等買進(+30.4_)-大顯神威，營運騰達-20250822.pdf,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\【國泰證期研究部】神達(3706 TT)-初次評等買進(+30.4_)-大顯神威，營運騰達-20250822.pdf,91597dedea0192b966c82a071db166bee45d76ca7a7cd935d4a9b7702c99c162,3706,TT),,2025-08-22,1572918,2025-08-26 00:03:31,DISCOVERED,VALID_BASICINFO_CANDIDATE,GREEN,NEW_OR_CHANGED
凱基投顧_1476 儒鴻_劉昃恩_20260519.pdf,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\凱基投顧_1476 儒鴻_劉昃恩_20260519.pdf,b193200777fa9472d6f34195ae806c516f0d247a314f161e644f3186e62a1c69,1476,儒鴻,凱基投顧,2026-05-19,634863,2026-05-25 01:02:08,DISCOVERED,VALID_BASICINFO_CANDIDATE,GREEN,NEW_OR_CHANGED
凱基投顧_2891 中信金_施志鴻_20260519.pdf,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\凱基投顧_2891 中信金_施志鴻_20260519.pdf,d603ab72d2ac0f09073aaf568d0339f66fbc7c63778df1dc0d715032b49fc40a,2891,中信金,凱基投顧,2026-05-19,747972,2026-05-25 01:02:22,DISCOVERED,VALID_BASICINFO_CANDIDATE,GREEN,NEW_OR_CHANGED
凱基投顧_3665 貿聯-KY_李承泰_20260519.pdf,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\凱基投顧_3665 貿聯-KY_李承泰_20260519.pdf,92a0caf1f25ed0dcc42d9cbd98f2f883da4ec4c265e403b85ac5852c8c3ed5cd,3665,貿聯,凱基投顧,2026-05-19,1030556,2026-05-25 01:02:25,DISCOVERED,VALID_BASICINFO_CANDIDATE,GREEN,NEW_OR_CHANGED
凱基投顧_6147 頎邦_劉宇程_20260519.pdf,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\凱基投顧_6147 頎邦_劉宇程_20260519.pdf,2aafc0d55ff794cdc10b0f07ca530e22f431719e49f8155e2b00cde6fd43fc8c,6147,頎邦,凱基投顧,2026-05-19,667687,2026-05-25 01:02:17,DISCOVERED,VALID_BASICINFO_CANDIDATE,GREEN,NEW_OR_CHANGED
凱基投顧_鋼鐵產業_劉昃恩_20260518.pdf,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\凱基投顧_鋼鐵產業_劉昃恩_20260518.pdf,2fd8323fcdde40e6c024f7fdb712d0bfadba374d6bd4de0b3c6f2d59fc4fa962,,,凱基投顧,2026-05-18,660344,2026-05-25 01:03:20,DISCOVERED,VALID_BASICINFO_CANDIDATE,GREEN,NEW_OR_CHANGED
凱基日股分析20251205-軍工股及機器人股上漲推升日股收漲.pdf,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\凱基日股分析20251205-軍工股及機器人股上漲推升日股收漲.pdf,5bc16028599ed1a5c951f75d3aa905dfd976803e861347d570ce05715daf23eb,,,凱基投顧,2025-12-05,1781822,2025-12-05 23:05:43,DISCOVERED,VALID_BASICINFO_CANDIDATE,GREEN,NEW_OR_CHANGED
凱基期貨晨間解盤20251205.pdf,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\凱基期貨晨間解盤20251205.pdf,21d13c3b0e7e896bd815c066710b3855e742bc5cb581780c04adc7db785b6c0f,,,凱基投顧,2025-12-05,654622,2025-12-05 23:05:36,DISCOVERED,VALID_BASICINFO_CANDIDATE,GREEN,NEW_OR_CHANGED
凱基港股分析20251205-機器人概念受資金追捧，港股收漲.pdf,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\凱基港股分析20251205-機器人概念受資金追捧，港股收漲.pdf,761a882ef4587000ef7256d13283afdfaf07b5d08d8867296a4008249f6cba66,,,凱基投顧,2025-12-05,1523333,2025-12-05 23:05:39,DISCOVERED,VALID_BASICINFO_CANDIDATE,GREEN,NEW_OR_CHANGED
凱基美股分析20251205-Meta大砍元宇宙預算，標普、那指續漲.pdf,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\凱基美股分析20251205-Meta大砍元宇宙預算，標普、那指續漲.pdf,4efc6f31368bf320e1142315fe967c6812fe0a5d2fc1ed190ab97070fa23bfc7,,,凱基投顧,2025-12-05,1643701,2025-12-05 23:05:41,DISCOVERED,VALID_BASICINFO_CANDIDATE,GREEN,NEW_OR_CHANGED
投資早報251209.pdf,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\投資早報251209.pdf,c3133f3deeb22d9dd9e6be22cba19ebffdeca73365348c8335ae2049f2b4f64d,,,,2025-12-11,438919,2025-12-11 17:44:55,DISCOVERED,VALID_BASICINFO_CANDIDATE,GREEN,NEW_OR_CHANGED
"晶心科(6533,N,中立)-CTBC251208.pdf","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\晶心科(6533,N,中立)-CTBC251208.pdf",13d6c7db1d7017bb410cf6ae1825cfdbf2712e64b61094394c9cd21a60380d3e,6533,CTBC251208,,2025-12-11,1496311,2025-12-11 17:46:03,DISCOVERED,VALID_BASICINFO_CANDIDATE,GREEN,NEW_OR_CHANGED
"瑞基(4171,NR_未評等)-CTBC251208.pdf","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\瑞基(4171,NR_未評等)-CTBC251208.pdf",47933b9924468f2af9b4a31c101210471a3c68d5c4be9efd43b7fc2486ec3853,4171,未評等),,2025-12-11,729214,2025-12-11 17:45:48,DISCOVERED,VALID_BASICINFO_CANDIDATE,GREEN,NEW_OR_CHANGED
第一場 2026年投資大趨勢 - 華南投顧 -1141201.pdf,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\第一場 2026年投資大趨勢 - 華南投顧 -1141201.pdf,998b45d387f868a0a1fd8bdb06da28a01da52b78553c1751a5db27ebeb320799,2026,華南投顧,,2025-12-05,3762097,2025-12-05 23:06:25,DISCOVERED,VALID_BASICINFO_CANDIDATE,GREEN,NEW_OR_CHANGED
第三場 AI潮流下展望2026半導體產業趨勢 - 陳子昂.pdf,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\第三場 AI潮流下展望2026半導體產業趨勢 - 陳子昂.pdf,e290112be051e55fd1c1db4c0706a5b1cfe40ef913aa25e692db8df2fc5446a8,2026,陳子昂,,2025-12-05,2637379,2025-12-05 23:07:03,DISCOVERED,VALID_BASICINFO_CANDIDATE,GREEN,NEW_OR_CHANGED
第二場 2026海外投資展望 - 華南永昌海外商品部.pdf,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\第二場 2026海外投資展望 - 華南永昌海外商品部.pdf,c82a301cf3c4ceee903da880e7652f47ae5308981d2a83927d033c0526d87415,2026,華南永昌海外商品部,,2025-12-05,3426311,2025-12-05 23:06:53,DISCOVERED,VALID_BASICINFO_CANDIDATE,GREEN,NEW_OR_CHANGED
統一投顧-20251209投資早報.pdf,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\統一投顧-20251209投資早報.pdf,b22b3be4cf2eea4558fb7fa24ca42a9dc7bf8c8d273b83d33375175302efa13e,,,,2025-12-09,1100533,2025-12-11 17:44:59,DISCOVERED,VALID_BASICINFO_CANDIDATE,GREEN,NEW_OR_CHANGED
華南投顧-2606-裕民-1141202.pdf,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\華南投顧-2606-裕民-1141202.pdf,1f5ead19721877611a80e68a0587b07baad4f2af3f5d61a656ed8d290f9a714a,2606,裕民,,2025-12-05,1080042,2025-12-05 23:09:05,DISCOVERED,VALID_BASICINFO_CANDIDATE,GREEN,NEW_OR_CHANGED
華南投顧-2637-慧洋-KY-1141202.pdf,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\華南投顧-2637-慧洋-KY-1141202.pdf,e8dd0e88f1be916588617995655e1cded995568509188d6ded021bf5a849061e,2637,慧洋,,2025-12-05,1122849,2025-12-05 23:09:24,DISCOVERED,VALID_BASICINFO_CANDIDATE,GREEN,NEW_OR_CHANGED
華南投顧-3017-奇鋐-1141202.pdf,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\華南投顧-3017-奇鋐-1141202.pdf,e234c75d51ba1f4015d7f471e6c9d13badfb67fb74922b63fa48d1d980517ebc,3017,奇鋐,,2025-12-05,1048912,2025-12-05 23:09:35,DISCOVERED,VALID_BASICINFO_CANDIDATE,GREEN,NEW_OR_CHANGED
華南投顧-6143-振曜-1141128.pdf,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\華南投顧-6143-振曜-1141128.pdf,93d864302c9b92b2cec68f4726c802d4ee219a1d5a106525aaab18449172c8e3,6143,振曜,,2025-12-05,1032324,2025-12-05 23:10:37,DISCOVERED,VALID_BASICINFO_CANDIDATE,GREEN,NEW_OR_CHANGED
